Block,Time Block,CHAMERA3,BRBCL,BSIUL,CHAMERA1,CHAMERA2,DULHASTI,DHAULIGNGA,DADRT2,FSTPP I & II,JHAJJAR,KUDGI,MAPS,KGSU3AND4,KGSU1AND2,KISHANGANGA,KKNP,KHSTPP-I,KHSTPP-II,KOLDAM,KOTESHWR,KKNPPU2,NNTPP,NLCTS2EXP,NLCIIST2,PARBATI2,PARBATI3,NTPL,RAMPUR,RIHAND1,RAPPC,RAPPB,RSTPSU1TO6,RSTPSU7,RIHAND3,RIHAND2,SIMHST1,SIMHST2,SALAL,SASAN,SEWA2,SINGRAULI,SINGRAULI_HYDRO,NLCEXP,NLCIIST1,NAPP,NJPC,TANAKPUR,TANDA2,TALA,TALST2,TEHRI,TelanganaSTPP,UNCHAHAR3,URI,UNCHAHAR4,UNCHAHAR1,UNCHAHAR2,URI2,VALLURNTECL,ANTA_LF,ANTA_RF,AURY_GF,AURY_CRF,ANTA_CRF,ANTA_GF,DADRI_CRF,DADRI_LF,DADRI_GF,AURY_LF,AURY_RF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
32,07:45-08:00,0,19.24,12.54,0,15.63,38.11,10.51,326.61,12.16,454.05,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,2.1,92.32,67.6,0,0,0,123.74,117.51,0,0,12.85,402.81,0,105.43,0.68,0,0,50.67,53.15,0,3.94,0,0,12.18,0,22.02,33.98,1.75,16.64,29.95,38.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

33,08:00-08:15,0,19.24,12.54,0,15.63,38.11,10.51,331.3,11.6,365.13,0,0,0,0,8.13,0,37.57,141.26,0,10.01,0,0,0,0,0,0,0,2.1,92.32,67.6,0,0,0,123.74,117.51,0,0,68.18,402.81,0,105.43,0.68,0,0,50.67,53.15,0,3.94,0,0,12.18,0,18.51,33.98,1.75,13.88,26.58,38.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

34,08:15-08:30,0,19.24,12.54,0,15.63,38.11,10.51,331.31,11.33,365.13,0,0,0,0,8.13,0,38,121.56,0,10.01,0,0,0,0,0,0,0,1.69,92.32,67.6,0,0,0,123.74,117.51,0,0,68.18,402.81,0,105.43,0.68,0,0,50.67,43.04,0,3.94,0,0,0,0,18.51,38.24,1.75,13.88,26.58,38.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

35,08:30-08:45,0,19.24,12.54,0,15.63,19.06,10.51,331.31,11.33,365.13,0,0,0,0,8.13,0,38,122.95,0,10.01,0,0,0,0,0,0,0,1.69,92.32,67.6,0,0,0,123.74,117.51,0,0,68.18,402.81,0,105.43,0.68,0,0,50.67,43.04,0,3.94,0,0,0,0,18.51,38.24,1.75,13.88,26.58,34.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

36,08:45-09:00,0,19.24,12.54,0,0,19.06,10.51,331.31,11.33,356.45,0,0,0,0,8.13,0,29.21,122.95,0,10.01,0,0,0,0,0,0,0,1.69,92.32,67.6,0,0,0,123.74,117.51,0,0,68.18,402.81,0,105.43,0.68,0,0,50.67,43.04,0,2.99,0,0,0,0,14.64,38.24,0.82,11.85,23.79,34.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

37,09:00-09:15,0,19.24,12.54,0,0,19.06,10.51,331.31,11.33,356.45,0,0,0,0,8.13,0,29.21,122.95,0,10.01,0,0,0,0,0,0,0,1.69,93.48,67.6,0,0,0,125.77,119.79,0,0,68.18,402.81,0,107.77,0.68,0,0,50.67,43.04,0,3.93,0,0,0,0,16.02,38.24,0.82,12.92,26.14,34.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

38,09:15-09:30,0,19.24,12.54,0,0,19.06,10.51,331.31,11.33,356.45,0,0,0,0,8.13,0,29.21,122.95,0,10.01,0,0,0,0,0,0,0,1.69,93.48,67.6,0,0,0,125.77,119.79,0,0,68.18,402.81,0,107.77,0.68,0,0,50.67,43.04,0,3.93,0,0,0,0,16.02,33.98,0.82,12.92,26.14,34.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

39,09:30-09:45,0,19.24,12.54,0,0,19.06,0,331.31,11.33,356.45,0,0,0,0,8.13,0,24.55,97.53,0,10.01,0,0,0,0,0,0,0,1.69,93.48,67.6,0,0,0,125.77,119.79,0,0,25.71,402.81,0,107.77,0.68,0,0,50.67,43.04,0,3.93,0,0,0,0,16.97,33.98,0.82,12.92,28.39,34.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

40,09:45-10:00,0,19.24,12.54,0,0,19.06,0,331.31,11.33,356.45,0,0,0,0,8.13,0,24.55,97.53,0,10.01,0,0,0,0,0,0,0,1.69,93.48,67.6,0,0,0,125.77,119.79,0,0,25.71,402.81,0,107.77,0.68,0,0,50.67,43.04,0,3.93,0,0,0,0,16.97,33.98,0.82,12.92,28.39,34.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

41,10:00-10:15,0,19.24,12.54,0,0,19.06,0,331.31,11.33,356.45,0,0,0,0,8.13,0,24.55,100.43,0,10.01,0,0,0,0,0,0,0,1.69,93.48,67.6,0,0,0,125.77,119.79,0,0,25.71,402.81,0,107.77,0.68,0,0,50.67,43.04,0,3.93,0,0,0,0,16.97,33.98,0.82,12.92,28.39,38.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

42,10:15-10:30,0,19.24,12.54,0,0,19.06,0,331.31,11.33,356.45,0,0,0,0,8.13,0,24.55,100.43,0,10.01,0,0,0,0,0,0,0,1.05,93.48,67.6,0,0,0,125.77,119.79,0,0,25.71,402.81,0,107.77,0.68,0,0,50.67,26.58,0,3.93,0,0,0,0,16.97,33.98,0.82,12.92,28.39,38.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

43,10:30-10:45,0,19.24,12.54,0,0,0,0,331.31,11.33,356.45,0,0,0,0,8.13,0,24.55,103.52,0,10.01,0,0,0,0,0,0,0,0,93.48,67.6,0,0,0,125.77,119.79,0,0,25.71,402.81,0,107.77,0.68,0,0,50.67,0,0,3.93,0,0,0,0,16.97,33.98,0.82,12.92,28.39,38.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

44,10:45-11:00,0,19.24,12.54,0,0,0,0,331.31,11.33,356.45,0,0,0,0,8.13,0,24.55,103.52,0,10.01,0,0,0,0,0,0,0,0,93.48,67.6,0,0,0,125.77,119.79,0,0,25.71,402.81,0,107.77,0.68,0,0,50.67,0,0,3.93,0,0,0,0,16.97,33.98,0.82,12.92,28.39,38.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

45,11:00-11:15,0,19.24,12.54,0,0,0,0,331.31,11.33,356.45,0,0,0,0,8.13,0,24.55,103.52,0,10.01,0,0,0,0,0,0,0,0,93.48,67.6,0,0,0,125.77,119.79,0,0,25.71,402.81,0,107.77,0.68,0,0,50.67,0,0,3.93,0,0,0,0,16.97,33.98,0.82,12.92,28.39,38.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

46,11:15-11:30,0,19.24,12.54,0,0,0,0,331.31,11.33,356.45,0,0,0,0,8.13,0,24.55,96.72,0,10.01,0,0,0,0,0,0,0,0,93.48,67.6,0,0,0,125.77,119.79,0,0,25.71,402.81,0,107.77,0.68,0,0,50.67,0,0,3.93,0,0,0,0,16.97,33.98,0.82,12.92,28.39,38.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

47,11:30-11:45,0,19.24,6.27,0,0,0,0,331.31,11.33,356.45,0,0,0,0,8.13,0,24.55,98.73,0,10.01,0,0,0,0,0,0,0,0,93.48,67.6,0,0,0,125.77,119.79,0,0,38.56,402.81,0,107.77,0.68,0,0,50.67,0,0,3.93,0,0,0,0,16.97,33.98,0.82,12.92,28.39,34.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

48,11:45-12:00,0,19.24,6.27,0,0,0,0,331.31,11.33,356.45,0,0,0,0,8.13,0,24.55,98.73,0,10.01,0,0,0,0,0,0,0,0,93.48,67.6,0,0,0,125.77,119.79,0,0,38.56,402.81,0,107.77,0.68,0,0,50.67,0,0,3.93,0,0,0,0,16.97,33.98,0.82,12.92,28.39,34.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

49,12:00-12:15,0,19.24,6.27,0,0,0,0,331.31,11.33,356.45,0,0,0,0,8.13,0,24.55,94.76,0,10.01,0,0,0,0,0,0,0,0,93.48,67.6,0,0,0,125.77,119.79,0,0,38.56,402.81,0,107.77,0.68,0,0,50.67,0,0,3.93,0,0,0,0,16.97,33.98,0.82,12.92,28.39,34.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

50,12:15-12:30,0,19.24,6.27,0,0,0,0,331.31,11.33,356.45,0,0,0,0,8.13,0,24.55,94.76,0,10.01,0,0,0,0,0,0,0,0,93.48,67.6,0,0,0,125.77,119.79,0,0,38.56,402.81,0,107.77,0.68,0,0,50.67,0,0,3.93,0,0,0,0,16.97,33.98,0.82,12.92,28.39,34.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

51,12:30-12:45,0,19.24,6.27,0,0,0,0,331.31,11.33,356.45,0,0,0,0,8.13,0,24.55,91.35,0,10.01,0,0,0,0,0,0,0,0,93.48,67.6,0,0,0,125.77,119.79,0,0,38.56,402.81,0,107.77,0.68,0,0,50.67,0,0,3.93,0,0,0,0,16.97,33.98,0.82,12.92,28.39,34.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

52,12:45-13:00,0,19.24,6.27,0,0,0,0,331.31,11.33,356.45,0,0,0,0,8.13,0,24.55,91.35,0,10.01,0,0,0,0,0,0,0,0,93.48,67.6,0,0,0,125.77,119.79,0,0,38.56,402.81,0,107.77,0.68,0,0,50.67,0,0,3.93,0,0,0,0,16.97,33.98,0.82,12.92,28.39,34.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

53,13:00-13:15,0,19.24,6.27,0,0,0,0,331.31,11.33,356.45,0,0,0,0,8.13,0,24.55,91.35,0,10.01,0,0,0,0,0,0,0,0,93.48,67.6,0,0,0,125.77,119.79,0,0,38.56,402.81,0,107.77,0.68,0,0,50.67,0,0,3.93,0,0,0,0,16.97,33.98,0.82,12.92,28.39,34.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

54,13:15-13:30,0,19.24,6.27,0,0,0,0,331.31,11.33,356.45,0,0,0,0,8.13,0,24.55,91.35,0,10.01,0,0,0,0,0,0,0,0,93.48,67.6,0,0,0,125.77,119.79,0,0,38.56,402.81,0,107.77,0.68,0,0,50.67,0,0,3.93,0,0,0,0,16.97,33.98,0.82,12.92,28.39,34.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

55,13:30-13:45,0,19.24,6.27,0,0,0,0,331.31,11.33,356.45,0,0,0,0,8.13,0,24.55,91.35,0,10.01,0,0,0,0,0,0,0,0,91.15,67.6,0,0,0,125.77,111.16,0,0,38.56,402.81,0,102.73,0.68,0,0,50.67,0,0,3.93,0,0,0,0,16.97,33.98,0.82,12.92,28.39,34.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

56,13:45-14:00,0,19.24,6.27,0,0,0,0,331.31,11.33,356.45,0,0,0,0,8.13,0,24.55,91.35,0,10.01,0,0,0,0,0,0,0,0,90.85,67.6,0,0,0,125.77,110.3,0,0,38.56,402.81,0,102.73,0.68,0,0,50.67,0,0,3.93,0,0,0,0,16.97,33.98,0.82,12.92,28.39,34.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

57,14:00-14:15,0,19.24,6.27,0,0,0,0,331.31,11.33,356.45,0,0,0,0,8.13,0,24.55,91.35,0,10.01,0,0,0,0,0,0,0,0,89.72,67.6,0,0,0,125.77,106.29,0,0,12.85,402.81,0,99.51,0.68,0,0,50.67,0,0,3.93,0,0,0,0,16.97,33.98,0.82,12.92,28.39,36.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

58,14:15-14:30,0,19.24,6.27,0,0,0,0,331.31,11.33,356.45,0,0,0,0,8.13,0,24.55,91.35,0,10.01,0,0,0,0,0,0,0,0,89.72,67.6,0,0,0,125.77,106.29,0,0,12.85,402.81,0,99.51,0.68,0,0,50.67,0,0,3.93,0,0,0,0,16.97,33.98,0.82,12.92,28.39,36.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

