Time,Block,NR/2023/11643/A,NR/2023/11476/A,NR/2023/11952/F,NR/2023/12947/C,NR/2023/11957/F,NR/2023/10236/A,NR/2023/10613/A,NR/2023/12928/D,NR/2023/11642/A,NR/2023/11958/F,NR/2023/12932/D,NR/2023/11862/F,NR/2023/10434/A,NR/2023/10173/A,NR/2023/11284/A,NR/2023/11947/F,NR/2023/11640/A,NR/2023/11941/F,NR/2023/10223/A,NR/2023/11960/F,NR/2023/10611/A,NR/2023/11959/F,NR/2023/11961/F,NR/2023/11342/A,NR/2023/11955/F,NR/2023/12944/C,NR/2023/12945/C,NR/2023/10344/A,NR/2023/12656/F,NR/2023/11330/A,NR/2023/11963/F,NR/2023/10944/A,NR/2023/11962/F,NR/2023/10487/A,NR/2023/11956/F,NR/2023/10229/A,NR/2023/12931/D,NR/2023/12933/D,Total
9,02:00-02:15,13.050000,48.340000,36.480000,16.790000,0.900000,236.680000,12.670000,78.310000,14.500000,0.820000,0,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,30.570000,12.250000,2.900000,64.970000,0.610000,27.840000,0.580000,41.570000,0.510000,43.030000,0,0,1029.46

10,02:15-02:30,13.050000,48.340000,36.480000,16.790000,0.900000,236.680000,12.670000,78.310000,14.500000,0.820000,0,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,30.570000,12.250000,2.900000,64.970000,0.610000,27.840000,0.580000,41.570000,0.510000,43.030000,0,0,1029.46

11,02:30-02:45,13.050000,48.340000,36.480000,16.790000,0.900000,236.680000,12.670000,78.310000,14.500000,0.820000,0,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,30.570000,12.250000,2.900000,64.970000,0.610000,27.840000,0.580000,41.570000,0.510000,43.030000,0,0,1029.46

12,02:45-03:00,13.050000,48.340000,36.480000,16.790000,0.900000,236.680000,12.670000,78.310000,14.500000,0.820000,0,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,30.570000,12.250000,2.900000,64.970000,0.610000,27.840000,0.580000,41.570000,0.510000,43.030000,0,0,1029.46

13,03:00-03:15,13.050000,48.340000,0.000000,16.710000,0.900000,236.680000,12.670000,78.310000,14.500000,0.820000,0,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,28.530000,12.250000,2.900000,64.970000,0.610000,27.840000,0.580000,41.570000,0.510000,43.030000,0,0,967.71

14,03:15-03:30,13.050000,48.340000,0.000000,16.710000,0.900000,236.680000,12.670000,78.310000,14.500000,0.820000,0,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,28.530000,12.250000,2.900000,64.970000,0.610000,27.840000,0.580000,41.570000,0.510000,43.030000,0,0,967.71

15,03:30-03:45,13.050000,48.340000,0.000000,16.710000,0.900000,236.680000,12.670000,78.310000,14.500000,0.820000,0,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,28.530000,12.250000,2.900000,64.970000,0.610000,27.840000,0.580000,41.570000,0.510000,43.030000,0,0,967.71

16,03:45-04:00,13.050000,48.340000,0.000000,16.710000,0.900000,236.680000,12.670000,78.310000,14.500000,0.820000,0,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,28.530000,12.250000,2.900000,64.970000,0.610000,27.840000,0.580000,41.570000,0.510000,43.030000,0,0,967.71

17,04:00-04:15,13.050000,48.340000,0.000000,16.610000,0.900000,236.680000,12.670000,78.310000,14.500000,0.820000,0,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,28.530000,12.250000,2.900000,64.970000,0.610000,27.840000,0.580000,41.570000,0.510000,43.030000,0,0,967.61

18,04:15-04:30,13.050000,48.340000,0.000000,16.610000,0.900000,236.680000,12.670000,78.310000,14.500000,0.820000,0,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,28.530000,12.250000,2.900000,64.970000,0.610000,27.840000,0.580000,41.570000,0.510000,43.030000,0,0,967.61

19,04:30-04:45,13.050000,48.340000,0.000000,16.610000,0.900000,236.680000,12.670000,78.310000,14.500000,0.820000,0,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,28.530000,12.250000,2.900000,64.970000,0.610000,27.840000,0.580000,41.570000,0.510000,43.030000,0,0,967.61

20,04:45-05:00,13.050000,48.340000,0.000000,16.610000,0.900000,236.680000,12.670000,78.310000,14.500000,0.820000,0,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,28.530000,12.250000,2.900000,64.970000,0.610000,27.840000,0.580000,41.570000,0.510000,43.030000,0,0,967.61

21,05:00-05:15,13.050000,48.340000,0.000000,16.520000,0.900000,236.680000,0.000000,78.310000,14.500000,0.820000,0,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,28.530000,12.250000,2.900000,64.970000,0.610000,27.840000,0.580000,41.570000,0.510000,43.030000,0,0,879.32

22,05:15-05:30,13.050000,48.340000,0.000000,16.520000,0.900000,236.680000,0.000000,78.310000,14.500000,0.820000,0,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,28.530000,12.250000,2.900000,64.970000,0.610000,27.840000,0.580000,41.570000,0.510000,43.030000,0,0,879.32

23,05:30-05:45,13.050000,48.340000,0.000000,16.520000,0.900000,236.680000,0.000000,78.310000,14.500000,0.820000,0,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,28.530000,12.250000,2.900000,64.970000,0.610000,27.840000,0.580000,41.570000,0.510000,43.030000,0,0,879.32

24,05:45-06:00,13.050000,48.340000,0.000000,16.520000,0.900000,236.680000,0.000000,78.310000,14.500000,0.820000,0,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,28.530000,12.250000,2.900000,64.970000,0.610000,27.840000,0.580000,41.570000,0.510000,43.030000,0,0,879.32

25,06:00-06:15,13.050000,48.340000,0.000000,16.430000,0.900000,236.680000,0.000000,78.310000,14.500000,0.820000,0,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,28.530000,12.250000,2.900000,0.000000,0.610000,0.000000,0.580000,41.570000,0.510000,43.030000,0,0,786.42

26,06:15-06:30,13.050000,48.340000,0.000000,16.430000,0.900000,236.680000,0.000000,78.310000,14.500000,0.820000,0,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,28.530000,12.250000,2.900000,0.000000,0.610000,0.000000,0.580000,41.570000,0.510000,43.030000,1.5,3.5,791.42

27,06:30-06:45,13.050000,48.340000,0.000000,16.430000,0.900000,236.680000,0.000000,78.310000,14.500000,0.820000,0,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,28.530000,12.250000,2.900000,0.000000,0.610000,0.000000,0.580000,41.570000,0.510000,43.030000,3,7,796.42

28,06:45-07:00,13.050000,48.340000,0.000000,16.430000,0.900000,236.680000,0.000000,78.310000,14.500000,0.820000,0.36,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,28.530000,12.250000,2.900000,0.000000,0.610000,0.000000,0.580000,41.570000,0.510000,43.030000,6,14,806.78

29,07:00-07:15,13.050000,48.340000,0.000000,16.340000,0.900000,236.680000,0.000000,78.310000,14.500000,0.820000,0.82,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,27.520000,12.250000,2.900000,0.000000,0.610000,0.000000,0.580000,41.570000,0.510000,43.030000,9,21,816.14

30,07:15-07:30,13.050000,48.340000,0.000000,16.340000,0.900000,236.680000,0.000000,78.310000,14.500000,0.820000,1.04,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,27.520000,12.250000,2.900000,0.000000,0.610000,0.000000,0.580000,41.570000,0.510000,43.030000,13.5,31.5,831.36

31,07:30-07:45,13.050000,48.340000,0.000000,16.340000,0.900000,236.680000,0.000000,78.310000,14.500000,0.820000,1.57,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,27.520000,12.250000,2.900000,0.000000,0.610000,0.000000,0.580000,41.570000,0.510000,43.030000,19.5,45.5,851.89

32,07:45:08:00,13.050000,48.340000,0.000000,16.340000,0.900000,236.680000,0.000000,78.310000,14.500000,0.820000,2.42,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,27.520000,12.250000,2.900000,0.000000,0.610000,0.000000,0.580000,41.570000,0.510000,43.030000,24,56,867.74

33,08:00-08:15,13.050000,48.340000,0.000000,16.240000,0.900000,236.680000,0.000000,78.310000,14.500000,0.820000,2.9,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,27.520000,12.250000,2.900000,0.000000,0.610000,0.000000,0.580000,41.570000,0.510000,43.030000,28.5,66.5,883.12

34,08:15-08:30,13.050000,48.340000,0.000000,16.240000,0.900000,236.680000,0.000000,78.310000,14.500000,0.820000,3.38,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,27.520000,12.250000,2.900000,0.000000,0.610000,0.000000,0.580000,41.570000,0.510000,43.030000,36,84,908.6

35,08:30-08:45,13.050000,48.340000,0.000000,16.240000,0.900000,236.680000,0.000000,78.310000,14.500000,0.820000,3.87,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,27.520000,12.250000,2.900000,0.000000,0.610000,0.000000,0.580000,41.570000,0.510000,43.030000,42,98,929.09

36,08:45:09:00,13.050000,48.340000,0.000000,16.240000,0.900000,236.680000,0.000000,78.310000,14.500000,0.820000,4.69,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,27.520000,12.250000,2.900000,0.000000,0.610000,0.000000,0.580000,41.570000,0.510000,43.030000,46.5,108.5,944.91

37,09:00:09:15,13.050000,48.340000,0.000000,16.160000,0.900000,236.680000,0.000000,78.310000,14.500000,0.820000,4.74,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,24.170000,27.520000,12.250000,2.900000,0.000000,0.610000,0.000000,0.580000,41.570000,0.510000,43.030000,51,119,984.05

38,09:15-09:30,13.050000,48.340000,0.000000,16.160000,0.900000,236.680000,0.000000,78.310000,14.500000,0.820000,4.93,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,24.170000,27.520000,12.250000,2.900000,0.000000,0.610000,0.000000,0.580000,41.570000,0.510000,43.030000,55.2,128.8,998.24

39,09:30-09:45,13.050000,48.340000,0.000000,16.160000,0.900000,236.680000,0.000000,78.310000,14.500000,0.820000,5.03,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,24.170000,27.520000,12.250000,2.900000,0.000000,0.610000,0.000000,0.580000,41.570000,0.510000,43.030000,60.6,141.4,1016.34

40,09:45-10:00,13.050000,48.340000,0.000000,16.160000,0.900000,236.680000,0.000000,78.310000,14.500000,0.820000,5.17,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,24.170000,27.520000,12.250000,2.900000,0.000000,0.610000,0.000000,0.580000,41.570000,0.510000,43.030000,66,154,1034.48

41,10:00-10:15,13.050000,48.340000,0.000000,16.060000,0.000000,236.680000,0.000000,78.310000,14.500000,0.000000,5.22,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.000000,9.960000,0.000000,0.000000,116.020000,0.000000,24.170000,27.520000,12.250000,2.900000,0.000000,0.000000,0.000000,0.000000,41.570000,0.000000,43.030000,68.7,160.3,1036.77

42,10:15-10:30,13.050000,48.340000,0.000000,16.060000,0.000000,236.680000,0.000000,78.310000,14.500000,0.000000,5.51,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.000000,9.960000,0.000000,0.000000,116.020000,0.000000,24.170000,27.520000,12.250000,2.900000,0.000000,0.000000,0.000000,0.000000,41.570000,0.000000,43.030000,73.2,170.8,1052.06

43,10:30-10:45,13.050000,48.340000,0.000000,16.060000,0.000000,236.680000,0.000000,78.310000,14.500000,0.000000,5.61,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.000000,9.960000,0.000000,0.000000,116.020000,0.000000,24.170000,27.520000,12.250000,2.900000,0.000000,0.000000,0.000000,0.000000,41.570000,0.000000,43.030000,76.2,177.8,1062.16

44,10:45-11:00,13.050000,48.340000,0.000000,16.060000,0.000000,236.680000,0.000000,78.310000,14.500000,0.000000,5.8,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.000000,9.960000,0.000000,0.000000,116.020000,0.000000,24.170000,27.520000,12.250000,2.900000,0.000000,0.000000,0.000000,0.000000,41.570000,0.000000,43.030000,78,182,1068.35

45,11:00-11:15,13.050000,48.340000,0.000000,15.970000,0.000000,236.680000,0.000000,78.310000,14.500000,0.000000,6.57,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.000000,9.960000,0.000000,0.000000,116.020000,0.000000,24.170000,27.520000,12.250000,2.900000,0.000000,0.000000,0.000000,0.000000,41.570000,0.000000,43.030000,78.6,183.4,1071.03

46,11:15-11:30,13.050000,48.340000,0.000000,15.970000,0.000000,236.680000,0.000000,78.310000,14.500000,0.000000,6.74,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.000000,9.960000,0.000000,0.000000,116.020000,0.000000,24.170000,27.520000,12.250000,2.900000,0.000000,0.000000,0.000000,0.000000,41.570000,0.000000,43.030000,79.5,185.5,1074.2

47,11:30-11:45,13.050000,48.340000,0.000000,15.970000,0.000000,236.680000,0.000000,78.310000,14.500000,0.000000,6.96,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.000000,9.960000,0.000000,0.000000,116.020000,0.000000,24.170000,27.520000,12.250000,2.900000,0.000000,0.000000,0.000000,0.000000,41.570000,0.000000,43.030000,81,189,1079.42

48,11:45-12:00,13.050000,48.340000,0.000000,15.970000,0.000000,236.680000,0.000000,78.310000,14.500000,0.000000,7.35,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.000000,9.960000,0.000000,0.000000,116.020000,0.000000,24.170000,27.520000,12.250000,2.900000,0.000000,0.000000,0.000000,0.000000,41.570000,0.000000,43.030000,81,189,1079.81

49,12:00-12:15,13.050000,48.340000,0.000000,15.870000,0.000000,236.680000,0.000000,78.310000,14.500000,0.000000,7.54,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.000000,9.960000,0.000000,0.000000,116.020000,0.000000,24.170000,27.520000,12.250000,2.900000,0.000000,0.000000,0.000000,0.000000,41.570000,0.000000,43.030000,81,189,1079.9

50,12:15-12:30,13.050000,48.340000,0.000000,15.870000,0.000000,236.680000,0.000000,78.310000,14.500000,0.000000,7.73,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.000000,9.960000,0.000000,0.000000,116.020000,0.000000,24.170000,27.520000,12.250000,2.900000,0.000000,0.000000,0.000000,0.000000,41.570000,0.000000,43.030000,81,189,1080.09

51,12:30-12:45,13.050000,48.340000,0.000000,15.870000,0.000000,236.680000,0.000000,78.310000,14.500000,0.000000,8.12,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.000000,9.960000,0.000000,0.000000,116.020000,0.000000,24.170000,27.520000,12.250000,2.900000,0.000000,0.000000,0.000000,0.000000,41.570000,0.000000,43.030000,81,189,1080.48

52,12:45-13:00,13.050000,48.340000,0.000000,15.870000,0.000000,236.680000,0.000000,78.310000,14.500000,0.000000,8.31,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.000000,9.960000,0.000000,0.000000,116.020000,0.000000,24.170000,27.520000,12.250000,2.900000,0.000000,0.000000,0.000000,0.000000,41.570000,0.000000,43.030000,81,189,1080.67

53,13:00-13:15,13.050000,48.340000,0.000000,15.870000,0.710000,236.680000,0.000000,78.310000,14.500000,0.560000,8.51,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,24.170000,27.520000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,81,189,1085.7

54,13:15-13:30,13.050000,48.340000,0.000000,15.870000,0.710000,236.680000,0.000000,78.310000,14.500000,0.560000,8.6,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,24.170000,27.520000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,81,189,1085.79

55,13:30-13:45,13.050000,48.340000,0.000000,15.870000,0.710000,236.680000,0.000000,78.310000,14.500000,0.560000,8.51,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,24.170000,27.520000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,79.5,185.5,1080.7

56,13:45-14:00,13.050000,48.340000,0.000000,15.870000,0.710000,236.680000,0.000000,78.310000,14.500000,0.560000,8.46,2.900000,24.170000,0.000000,33.840000,6.770000,0.000000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,24.170000,27.520000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,79.5,185.5,1080.65

57,14:00-14:15,13.050000,48.340000,0.000000,15.870000,0.710000,236.680000,0.000000,79.950000,14.500000,0.560000,8.22,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,24.170000,27.520000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,78,182,1175.73

58,14:15-14:30,13.050000,48.340000,0.000000,15.870000,0.710000,236.680000,0.000000,81.600000,14.500000,0.560000,7.93,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,24.170000,27.520000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,78,182,1177.09

