Column1,Block,NR/2025/26304/C,NR/2025/25948/A/67998,NR/2025/26297/C,WR/2025/27361/A/68074,WR/2025/27350/A/67463,NR/2025/25945/A/68006,NR/2025/25947/A/67999,NR/2025/25955/A/67974,NR/2025/26031/A/67604,NR/2025/26269/C,NR/2025/26085/A/67460,NR/2025/26311/C,NR/2025/25752/A/67483,NR/2025/26308/C,NR/2025/26307/C,GNARE/NR/2024/12/20/3668,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/16/2139,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/4565,NR/30092023/26122029/SH-06,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/6490,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/7459,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/29/1142,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/29/1534,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/16/6639,Total
3,00:30-00:45,10.02,14.59,96.33,24.08,0,43.78,43.78,29.02,3.85,213.85,0.48,27.45,0,16.57,22.16,0,43.78,2.89,1.93,96.33,12.26,48.16,32,0,9.63,32,9.63,52.5,28.9,0,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1134.4999999999998

4,00:45-01:00,9.73,14.59,96.33,24.08,0,43.78,43.78,29.02,3.85,213.85,0.48,27.45,0,18.59,23.12,0,43.78,2.89,1.93,96.33,12.26,48.16,32,0,9.63,32,9.63,52.5,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1112.4299999999998

5,01:00-01:15,9.54,14.59,96.33,24.08,0,43.78,43.78,29.02,3.85,213.85,0.48,27.45,0,20.42,23.12,0,43.78,2.89,1.93,96.33,12.08,48.16,32,0,9.63,32,9.63,52.5,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1113.89

6,01:15-01:30,9.34,14.59,96.33,24.08,0,43.78,43.78,29.02,3.85,213.85,0.48,27.45,0,20.81,24.08,0,43.78,2.89,1.93,96.33,12.08,48.16,32,0,9.63,32,9.63,52.5,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1115.04

7,01:30-01:45,9.15,14.59,96.33,24.08,0,43.78,43.78,29.02,3.85,213.85,0.48,27.45,0,21.1,24.08,0,43.78,2.89,1.93,96.33,12.08,48.16,32,0,9.63,32,9.63,52.5,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1115.1399999999999

8,01:45-02:00,8.96,14.59,96.33,24.08,0,43.78,43.78,29.02,3.85,213.85,0.48,27.45,0,20.9,25.05,0,43.78,2.89,1.93,96.33,12.08,48.16,32,0,9.63,32,9.63,52.5,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1115.7199999999998

9,02:00-02:15,7.61,14.59,96.33,24.08,96.33,43.78,43.78,29.02,3.85,213.85,0.48,16.47,0,20.42,24.08,0,43.78,2.89,1.93,96.33,11.9,48.16,32,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1145.5900000000001

10,02:15-02:30,7.22,14.59,96.33,24.08,96.33,43.78,43.78,29.02,3.85,213.85,0.48,16.47,0,19.17,24.08,0,43.78,2.89,1.93,96.33,11.9,48.16,32,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1143.95

11,02:30-02:45,7.13,14.59,96.33,24.08,96.33,43.78,43.78,29.02,3.85,213.85,0.48,16.47,0,16.18,24.08,0,43.78,2.89,1.93,96.33,11.9,48.16,32,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1140.87

12,02:45-03:00,7.03,14.59,96.33,24.08,96.33,43.78,43.78,29.02,3.85,213.85,0.48,16.47,0,12.23,25.05,0,43.78,2.89,1.93,96.33,11.9,48.16,32,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1137.79

13,03:00-03:15,6.94,14.59,96.33,24.08,96.33,43.78,43.78,29.02,3.85,213.85,0.43,0,0,9.63,25.05,0,43.78,2.89,1.93,96.33,11.7,48.16,0,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1086.3799999999997

14,03:15-03:30,6.84,14.59,96.33,24.08,96.33,43.78,43.78,29.02,3.85,213.85,0.43,0,0,9.63,24.08,0,43.78,2.89,1.93,96.33,11.7,48.16,0,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1085.31

15,03:30-03:45,6.74,14.59,96.33,24.08,96.33,43.78,43.78,29.02,3.85,213.85,0.43,0,0,9.63,23.12,0,43.78,2.89,1.93,96.33,11.7,48.16,17.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1102.1799999999998

16,03:45-04:00,6.65,14.59,96.33,24.08,96.33,43.78,43.78,29.02,3.85,213.85,0.43,0,0,9.63,22.16,0,43.78,2.89,1.93,96.33,11.7,48.16,17.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1101.1299999999999

17,04:00-04:15,6.36,14.59,96.33,24.08,96.33,43.78,43.78,29.02,3.85,213.85,0.48,0,0,9.63,21.19,0,43.78,2.89,1.93,96.33,11.43,48.16,17.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1099.6499999999999

18,04:15-04:30,6.26,14.59,96.33,24.08,96.33,43.78,43.78,29.02,3.85,223.49,0.48,0,0,9.63,20.23,0,43.78,2.89,1.93,96.33,11.43,48.16,17.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1108.2299999999998

19,04:30-04:45,6.26,14.59,96.33,24.08,96.33,43.78,43.78,29.02,3.85,223.49,0.48,0,0,9.63,19.27,0,43.78,2.89,1.93,96.33,11.43,48.16,17.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1107.2699999999998

20,04:45-05:00,6.36,14.59,96.33,24.08,96.33,43.78,43.78,29.02,3.85,223.49,0.48,0,0,9.63,20.13,0,43.78,2.89,1.93,96.33,11.43,48.16,17.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1108.2299999999998

21,05:00-05:15,6.45,14.59,96.33,24.08,96.33,43.78,43.78,29.02,3.85,223.49,0.48,0,0,9.63,19.65,0,43.78,2.89,1.93,96.33,11.16,48.16,17.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1107.5699999999997

22,05:15-05:30,6.55,14.59,96.33,24.08,96.33,43.78,43.78,29.02,3.85,223.49,0.48,0,0,9.63,19.07,0,43.78,2.89,1.93,96.33,11.16,48.16,17.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1107.09

23,05:30-05:45,6.74,14.59,96.33,24.08,96.33,43.78,43.78,29.02,3.85,223.49,0.48,0,0,9.63,18.59,0,43.78,2.89,1.93,96.33,11.16,48.16,17.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1106.8

24,05:45-06:00,6.84,14.59,96.33,24.08,96.33,43.78,43.78,29.02,3.85,223.49,0.48,0,0,9.63,18.01,0,43.78,2.89,1.93,96.33,11.16,48.16,17.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1106.3199999999997

25,06:00-06:15,6.26,14.59,96.33,24.08,96.33,43.78,43.78,29.02,3.85,223.49,0.58,0,0,9.63,19.07,0,43.78,2.89,1.93,96.33,10.97,48.16,17.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1106.71

26,06:15-06:30,5.97,14.59,96.33,24.08,96.33,43.78,43.78,29.02,3.85,223.49,0.58,0,0,9.63,19.07,0.28,43.78,2.89,1.93,96.33,10.97,48.16,17.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1106.7

27,06:30-06:45,5.88,14.59,96.33,24.08,96.33,43.78,43.78,29.02,3.85,242.75,0.58,0,0,9.63,19.65,3.64,43.78,2.89,1.93,96.33,10.97,48.16,32,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1143.88

28,06:45-07:00,5.88,14.59,96.33,24.08,96.33,43.78,43.78,29.02,3.85,242.75,0.58,0,0,9.63,19.65,6.62,43.78,2.89,1.93,96.33,10.97,48.16,32,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1146.8600000000001

29,07:00-07:15,5.78,14.59,96.33,24.08,96.33,43.78,43.78,29.02,3.85,242.75,0.63,0,0,9.63,19.07,10.28,43.78,2.89,1.93,96.33,10.79,48.16,32,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1149.71

30,07:15-07:30,5.68,14.59,96.33,24.08,96.33,43.78,43.78,29.02,3.85,242.75,0.63,0,0,9.63,8.67,14.93,43.78,2.89,1.93,96.33,10.79,48.16,32,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1143.86

31,07:30-07:45,5.59,14.59,96.33,24.08,96.33,43.78,43.78,29.02,3.85,242.75,0.63,0,0,9.63,0,21.29,43.78,2.89,1.93,96.33,10.79,48.16,32,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1141.4599999999998

32,07:45-08:00,5.49,14.59,96.33,24.08,96.33,43.78,43.78,29.02,3.85,242.75,0.63,0,0,9.63,0,27.59,43.78,2.89,1.93,96.33,10.79,48.16,32,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1147.66

33,08:00-08:15,0,14.59,96.33,24.08,0,43.78,43.78,29.02,3.85,223.49,0.96,0,3.85,9.63,0,34.6,43.78,2.89,1.93,96.33,10.69,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1027.6

34,08:15-08:30,0,14.59,96.33,24.08,0,43.78,43.78,29.02,3.85,223.49,0.96,0,3.85,9.63,0,42,43.78,2.89,1.93,96.33,10.69,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1035

35,08:30-08:45,0,14.59,96.33,24.08,0,43.78,43.78,29.02,3.85,223.49,0.96,0,3.85,9.63,0,49.42,43.78,2.89,1.93,96.33,10.69,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1042.4199999999998

36,08:45-09:00,0,14.59,96.33,24.08,0,43.78,43.78,29.02,3.85,223.49,0.96,0,3.85,9.63,0,56.14,43.78,2.89,1.93,96.33,10.69,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1049.1399999999999

37,09:00-09:15,0,14.59,0,24.08,0,43.78,43.78,29.02,4.82,223.49,0.96,0,6.74,9.63,0,62.57,43.78,2.89,1.93,96.33,10.51,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,962.9199999999998

38,09:15-09:30,0,14.59,0,24.08,0,43.78,43.78,29.02,4.82,223.49,0.96,0,6.74,0,0,68.81,43.78,2.89,1.93,96.33,10.51,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,959.5299999999999

39,09:30-09:45,0,14.59,0,24.08,0,43.78,43.78,29.02,4.82,223.49,0.96,0,6.74,0,0,74.51,43.78,2.89,1.93,96.33,10.51,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,965.2299999999998

40,09:45-10:00,0,14.59,0,24.08,0,43.78,43.78,29.02,4.82,223.49,0.96,0,6.74,0,0,79.7,43.78,2.89,1.93,96.33,10.51,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,970.4199999999998

41,10:00-10:15,0,14.59,0,24.08,0,43.78,43.78,29.02,4.82,233.12,0.96,0,8.67,0,0,84.59,43.78,2.89,1.93,96.33,9.5,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,985.8599999999998

42,10:15-10:30,0,14.59,0,24.08,0,43.78,43.78,29.02,4.82,233.12,0.96,0,8.67,0,0,88.66,43.78,2.89,1.93,96.33,9.5,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,989.9299999999998

43,10:30-10:45,0,14.59,0,24.08,0,43.78,43.78,29.02,4.82,233.12,0.96,0,8.67,0,0,95.98,43.78,2.89,1.93,96.33,9.5,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,997.2499999999999

44,10:45-11:00,0,14.59,0,24.08,0,43.78,43.78,29.02,4.82,233.12,0.96,0,8.67,0,0,99.31,43.78,2.89,1.93,96.33,9.5,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1000.5799999999998

45,11:00-11:15,0,14.59,0,24.08,0,43.78,43.78,29.02,4.82,233.12,0.96,0,8.67,0,0,100,43.78,2.89,1.93,96.33,9.32,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1001.0899999999999

46,11:15-11:30,0,14.59,0,24.08,0,43.78,43.78,29.02,4.82,233.12,0.96,0,8.67,0,0,100,43.78,2.89,1.93,96.33,9.32,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1001.0899999999999

47,11:30-11:45,0,14.59,0,24.08,0,43.78,43.78,29.02,4.82,233.12,0.96,0,8.67,0,0,100,43.78,2.89,1.93,96.33,9.32,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1001.0899999999999

48,11:45-12:00,0,14.59,0,24.08,0,43.78,43.78,29.02,4.82,233.12,0.96,0,8.67,0,0,100,43.78,2.89,1.93,96.33,9.32,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1001.0899999999999

49,12:00-12:15,0,14.59,0,24.08,0,43.78,43.78,29.02,4.82,233.12,0.96,0,8.67,0,0,100,43.78,2.89,1.93,96.33,9.22,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1000.9899999999999

50,12:15-12:30,0,14.59,0,24.08,0,43.78,43.78,29.02,4.82,233.12,0.96,0,8.67,0,0.96,100,43.78,2.89,1.93,96.33,9.22,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1001.9499999999998

51,12:30-12:45,0,14.59,0,24.08,0,43.78,43.78,29.02,4.82,233.12,0.96,0,8.67,0,0.96,100,43.78,2.89,1.93,96.33,9.22,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1001.9499999999998

52,12:45-13:00,0,14.59,0,24.08,0,43.78,43.78,29.02,4.82,233.12,0.96,0,8.67,0,2.89,100,43.78,2.89,1.93,96.33,9.22,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1003.8799999999999

53,13:00-13:15,0,14.59,0,24.08,0,43.78,43.78,29.02,4.82,233.12,0.96,0,8.67,0,4.82,100,43.78,2.89,1.93,96.33,9.04,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1005.6299999999998

54,13:15-13:30,0,14.59,0,24.08,0,43.78,43.78,29.02,4.82,233.12,0.96,0,8.67,0,6.74,100,43.78,2.89,1.93,96.33,9.04,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1007.5499999999998

55,13:30-13:45,0,14.59,0,24.08,0,43.78,43.78,29.02,4.82,233.12,0.96,0,8.67,0,11.56,100,43.78,2.89,1.93,96.33,9.04,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1012.3699999999998

56,13:45-14:00,0,14.59,0,24.08,0,43.78,43.78,29.02,4.82,233.12,0.96,0,8.67,0,13.49,100,43.78,2.89,1.93,96.33,9.04,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1014.2999999999997

57,14:00-14:15,0,14.59,0,24.08,0,43.78,43.78,29.02,5.78,233.12,0.96,0,7.71,0,15.41,97,43.78,2.89,1.93,96.33,8.85,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1013.0299999999999

58,14:15-14:30,0,14.59,0,24.08,0,43.78,43.78,29.02,5.78,233.12,0.96,0,7.71,0,16.38,95.38,43.78,2.89,1.93,96.33,8.85,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1012.3799999999998

59,14:30-14:45,0,14.59,0,24.08,0,43.78,43.78,29.02,5.78,233.12,0.96,0,7.71,0,16.38,93.77,43.78,2.89,1.93,96.33,8.85,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1010.7699999999998

60,14:45-15:00,0,14.59,0,24.08,0,43.78,43.78,29.02,5.78,213.85,0.96,0,7.71,0,16.38,90.53,43.78,2.89,1.93,96.33,8.85,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,988.2599999999998

61,15:00-15:15,0,14.59,0,24.08,0,43.78,43.78,29.02,5.78,213.85,0.96,0,6.74,0,16.38,84.54,43.78,2.89,1.93,96.33,8.67,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,981.1199999999998

62,15:15-15:30,0,14.59,0,24.08,0,43.78,43.78,29.02,5.78,213.85,0.96,0,6.74,0,16.38,80.36,43.78,2.89,1.93,96.33,8.67,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,976.9399999999998

63,15:30-15:45,0,14.59,0,24.08,0,43.78,43.78,29.02,5.78,213.85,0.96,0,6.74,0,16.38,74.85,43.78,2.89,1.93,96.33,8.67,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,971.4299999999997

64,15:45-16:00,0,14.59,0,24.08,0,43.78,43.78,29.02,5.78,213.85,0.96,0,6.74,0,16.38,69.78,43.78,2.89,1.93,96.33,8.67,48.16,21.93,0,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,966.3599999999998

65,16:00-16:15,0,14.59,96.33,24.08,0,43.78,43.78,29.02,6.74,213.85,0.82,0,3.85,9.63,16.38,65.08,43.78,2.89,1.93,96.33,9.04,48.16,21.93,50,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1115.9199999999996

66,16:15-16:30,0,14.59,96.33,24.08,0,43.78,43.78,29.02,6.74,213.85,0.82,0,3.85,9.63,14.45,58.81,43.78,2.89,1.93,96.33,9.04,48.16,21.93,50,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1107.7199999999998

67,16:30-16:45,0,14.59,96.33,24.08,0,43.78,43.78,29.02,6.74,213.85,0.82,0,3.85,9.63,13.49,52.81,43.78,2.89,1.93,96.33,9.04,48.16,21.93,50,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1100.7599999999998

68,16:45-17:00,0,14.59,96.33,24.08,0,43.78,43.78,29.02,6.74,213.85,0.82,0,3.85,9.63,12.52,45.67,43.78,2.89,1.93,96.33,9.04,48.16,21.93,50,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1092.6499999999996

69,17:00-17:15,15.32,14.59,96.33,24.08,0,43.78,43.78,29.02,6.74,213.85,0.67,16.47,0,9.63,9.63,38.62,43.78,2.89,1.93,96.33,9.5,48.16,21.93,50,9.63,32,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25,1110.9599999999998

70,17:15-17:30,17.53,14.59,96.33,24.08,0,43.78,43.78,29.02,6.74,242.75,0.67,16.47,0,9.63,7.71,31.93,43.78,2.89,1.93,96.33,9.5,48.16,21.93,50,9.63,32,9.63,0,28.9,0,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1158.22

71,17:30-17:45,20.13,14.59,96.33,24.08,0,43.78,43.78,29.02,6.74,242.75,0.67,16.47,0,9.63,5.78,25.02,43.78,2.89,1.93,46.85,9.5,48.16,32,50,9.63,32,9.63,0,28.9,0,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1112.57

72,17:45-18:00,23.02,14.59,96.33,24.08,0,43.78,43.78,29.02,6.74,271.65,0.67,16.47,0,9.63,13.49,17.49,43.78,2.89,1.93,46.85,9.5,48.16,32,50,9.63,32,9.63,0,28.9,0,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1144.54

73,18:00-18:15,22.44,14.59,96.33,24.08,0,43.78,43.78,29.02,6.74,271.65,0.63,16.47,0,9.63,24.08,12.36,43.78,2.89,1.93,46.85,10.14,48.16,32,50,9.63,32,9.63,0,28.9,0,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1150.0200000000002

