Column1,Block,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/2197,GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1475,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/1899,NR/30092023/31122025/SH-07,GNA/WR/2024/10/15/7089,NR/2024/24052/A/45299,NR/2024/24051/A/45300,WR/2024/25054/A/45459,NR/2024/24255/C,NR/2024/23952/A/45302,NR/2024/24060/A/45489,NR/2024/24257/C,NR/2024/24146/A/45289,NR/2024/24071/A/45298,NR/2024/24256/C,NR/2024/24097/A/45293,NR/2024/24088/A/45295,Total
3,00:30-00:45,25.97,25.97,0,31.71,8.66,25.97,1.92,0,150,95.13,8.66,0,0,2.89,0,0,0,0.43,17.31,0,5.77,0,0,7.69,0.96,409.03999999999996

4,00:45-01:00,25.97,25.97,0,31.71,8.66,25.97,1.92,0,150,95.13,8.66,0,0,2.89,0,0,0,0.43,17.31,0,5.77,0,0,7.69,0.96,409.03999999999996

5,01:00-01:15,25.97,25.97,0,31.71,8.66,25.97,1.92,0,150,95.13,8.66,0,0,2.89,0,0,0,0.38,17.31,0,5.77,0,0,7.69,0.96,408.98999999999995

6,01:15-01:30,25.97,25.97,0,31.71,8.66,25.97,1.92,0,150,95.13,8.66,0,0,2.89,0,0,0,0.38,17.31,0,5.77,0,0,7.69,0.96,408.98999999999995

7,01:30-01:45,25.97,25.97,0,31.71,8.66,25.97,1.92,0,150,95.13,8.66,0,0,2.89,0,0,0,0.38,17.31,0,5.77,0,0,7.69,0.96,408.98999999999995

8,01:45-02:00,25.97,25.97,0,31.71,8.66,25.97,1.92,0,150,95.13,8.66,0,0,2.89,0,0,0,0.38,17.31,0,5.77,0,0,7.69,0.96,408.98999999999995

9,02:00-02:15,25.97,25.97,0,31.71,8.66,25.97,1.92,0,150,95.13,8.66,0,0,2.89,0,0,0,0.38,17.31,0,5.77,0,0,7.69,0.96,408.98999999999995

10,02:15-02:30,25.97,25.97,0,31.71,8.66,25.97,1.92,0,150,95.13,8.66,0,0,2.89,0,0,0,0.38,17.31,0,5.77,0,0,7.69,0.96,408.98999999999995

11,02:30-02:45,25.97,25.97,0,31.71,8.66,25.97,1.92,0,150,95.13,8.66,0,0,2.89,0,0,0,0.38,17.31,0,5.77,0,0,7.69,0.96,408.98999999999995

12,02:45-03:00,25.97,25.97,0,31.71,8.66,25.97,1.92,0,150,95.13,8.66,0,0,2.89,0,0,0,0.38,17.31,0,5.77,0,0,7.69,0.96,408.98999999999995

13,03:00-03:15,25.97,25.97,0,31.71,8.66,25.97,1.84,0,150,95.13,8.66,0,0,2.89,0,0,0,0.34,17.31,0,5.77,0,0,7.69,0.96,408.86999999999995

14,03:15-03:30,25.97,25.97,0,31.71,8.66,25.97,1.84,0,150,95.13,8.66,0,0,2.89,0,0,0,0.34,17.31,0,5.77,0,0,7.69,0.96,408.86999999999995

15,03:30-03:45,25.97,25.97,0,31.71,8.66,25.97,1.84,0,150,95.13,8.66,0,0,2.89,0,0,0,0.34,17.31,0,5.77,0,0,7.69,0.96,408.86999999999995

16,03:45-04:00,25.97,25.97,0,31.71,8.66,25.97,1.84,0,150,95.13,8.66,0,0,2.89,0,0,0,0.34,17.31,0,5.77,0,0,7.69,0.96,408.86999999999995

17,04:00-04:15,25.97,25.97,0,31.71,8.66,25.97,1.84,0,150,95.13,8.66,0,0,2.89,0,0,0,0.43,17.31,0,5.77,0,0,7.69,0.96,408.96

18,04:15-04:30,25.97,25.97,0,31.71,8.66,25.97,1.84,0,150,95.13,8.66,0,0,2.89,0,0,0,0.43,17.31,0,5.77,0,0,7.69,0.96,408.96

19,04:30-04:45,25.97,25.97,0,31.71,8.66,25.97,1.84,0,150,95.13,8.66,0,0,2.89,0,0,0,0.43,17.31,0,5.77,0,0,7.69,0.96,408.96

20,04:45-05:00,25.97,25.97,0,31.71,8.66,25.97,1.84,0,150,95.13,8.66,0,0,2.89,0,0,0,0.43,17.31,0,5.77,0,0,7.69,0.96,408.96

21,05:00-05:15,25.97,25.97,0,31.71,8.66,25.97,1.92,0,150,95.13,8.66,0,0,2.89,0,0,0,0.43,17.31,0,5.77,0,0,7.69,4.81,412.89

22,05:15-05:30,25.97,25.97,0,31.71,8.66,25.97,1.92,0,150,95.13,8.66,0,0,2.89,0,0,0,0.43,17.31,0,5.77,0,0,7.69,4.81,412.89

23,05:30-05:45,25.97,25.97,0,31.71,8.66,25.97,1.92,0,150,95.13,8.66,0,0,2.89,2.89,0,0,0.43,17.31,0,5.77,0,0,14.43,4.81,422.52

24,05:45-06:00,25.97,25.97,0,31.71,8.66,25.97,1.92,0,150,95.13,8.66,0,0,2.89,2.89,0,0,0.43,17.31,0,5.77,0,0,14.43,4.81,422.52

25,06:00-06:15,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,2.89,2.89,0,0,0.43,17.31,0,5.77,0,0,14.43,4.81,295.59999999999997

26,06:15-06:30,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,2.89,2.89,0,0,0.43,17.31,0,5.77,0,0,14.43,4.81,295.59999999999997

27,06:30-06:45,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,2.89,2.89,0,0,0.43,17.31,0,5.77,0,0,14.43,4.81,295.59999999999997

28,06:45-07:00,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,2.89,2.89,0,0,0.43,17.31,0,5.77,0,0,14.43,4.81,295.59999999999997

29,07:00-07:15,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,2.89,2.89,0,0,0.53,17.31,0,5.77,0,0,14.43,4.81,295.69999999999993

30,07:15-07:30,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,2.89,2.89,0,0,0.53,17.31,0,5.77,0,0,14.43,4.81,295.69999999999993

31,07:30-07:45,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,2.89,2.89,0,0,0.53,17.31,0,5.77,0,0,14.43,4.81,295.69999999999993

32,07:45-08:00,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,2.89,2.89,0,0,0.53,17.31,0,5.77,0,0,14.43,4.81,295.69999999999993

33,08:00-08:15,33.66,33.66,0,0,8.66,33.66,1.84,0,150,0,8.66,0,0,2.89,2.89,0,0,0.82,17.31,0,5.77,0,0,14.43,4.81,319.06

34,08:15-08:30,33.66,33.66,0,0,8.66,33.66,1.84,0,150,0,8.66,0,0,2.89,2.89,0,0,0.82,17.31,0,5.77,0,0,14.43,4.81,319.06

35,08:30-08:45,33.66,33.66,0,0,8.66,33.66,1.84,0,150,0,8.66,0,0,2.89,0,0,0,0.82,17.31,0,5.77,0,0,7.69,4.81,309.43

36,08:45-09:00,33.66,33.66,0,0,8.66,33.66,1.84,0,150,0,8.66,0,0,2.89,0,0,0,0.82,17.31,0,5.77,0,0,7.69,4.81,309.43

37,09:00-09:15,25.97,25.97,0,0,8.66,25.97,1.92,0,150,0,8.66,0,0,2.89,0,0,23.56,0.82,17.31,12.5,5.77,3.85,16.83,7.69,4.81,343.17999999999995

38,09:15-09:30,25.97,25.97,0,0,8.66,25.97,1.92,0,150,0,8.66,0,0,2.89,0,0,27.79,0.82,17.31,8.27,5.77,3.85,16.83,7.69,4.81,343.17999999999995

39,09:30-09:45,25.97,25.97,0,0,8.66,25.97,1.92,0,150,0,8.66,0,0,2.89,0,0,31.83,0.82,17.31,4.23,5.77,3.85,16.83,7.69,4.81,343.18

40,09:45-10:00,25.97,25.97,0,0,8.66,25.97,1.92,0,150,0,8.66,0,0,2.89,0,0,35.58,0.82,17.31,0.48,5.77,3.85,16.83,7.69,4.81,343.18

41,10:00-10:15,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,2.89,0,0,36.06,0.82,17.31,0,5.77,4.81,16.83,7.69,4.81,344.05999999999995

42,10:15-10:30,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,2.89,0,0,36.06,0.82,17.31,0,5.77,4.81,16.83,7.69,4.81,344.05999999999995

43,10:30-10:45,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,2.89,0,0,36.06,0.82,17.31,0,5.77,4.81,16.83,7.69,4.81,344.05999999999995

44,10:45-11:00,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,2.89,0,0,36.06,0.82,17.31,0,5.77,4.81,16.83,7.69,4.81,344.05999999999995

45,11:00-11:15,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,3.85,0,0,36.06,0.82,17.31,0,5.77,6.73,16.83,7.69,0,342.13

46,11:15-11:30,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,3.85,0,0,36.06,0.82,17.31,0,5.77,6.73,16.83,7.69,0,342.13

47,11:30-11:45,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,3.85,0,0,36.06,0.82,17.31,0,5.77,6.73,16.83,7.69,0,342.13

48,11:45-12:00,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,3.85,0,0,36.06,0.82,17.31,0,5.77,6.73,16.83,7.69,0,342.13

49,12:00-12:15,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,3.85,0,0,36.06,0.82,17.31,0,5.77,6.73,16.83,7.69,0,342.13

50,12:15-12:30,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,3.85,0,0,36.06,0.82,17.31,0,5.77,6.73,16.83,7.69,0,342.13

51,12:30-12:45,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,3.85,0,0,36.06,0.82,17.31,0,5.77,6.73,16.83,7.69,0,342.13

52,12:45-13:00,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,3.85,0,0,36.06,0.82,17.31,0,5.77,6.73,16.83,7.69,0,342.13

53,13:00-13:15,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,3.85,0,0,36.06,0.77,17.31,0,5.77,5.77,16.83,7.69,0,341.11999999999995

54,13:15-13:30,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,3.85,0,0,36.06,0.77,17.31,0,5.77,5.77,16.83,7.69,0,341.11999999999995

55,13:30-13:45,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,3.85,0,0,36.06,0.77,17.31,0,5.77,5.77,16.83,7.69,0,341.11999999999995

56,13:45-14:00,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,3.85,0,0,36.06,0.77,17.31,0,5.77,5.77,16.83,7.69,0,341.11999999999995

57,14:00-14:15,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,3.85,0,0,36.06,0.77,17.31,0,5.77,4.81,16.83,7.69,0,340.15999999999997

58,14:15-14:30,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,3.85,0,0,36.06,0.77,17.31,0,5.77,4.81,16.83,7.69,0,340.15999999999997

59,14:30-14:45,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,3.85,0,0,36.06,0.77,17.31,0,5.77,4.81,16.83,7.69,0,340.15999999999997

60,14:45-15:00,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,3.85,0,0,36.06,0.77,17.31,0,5.77,4.81,16.83,7.69,0,340.15999999999997

61,15:00-15:15,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,3.85,0,0,34.91,0.63,17.31,1.15,5.77,4.81,16.83,7.69,0,340.0199999999999

62,15:15-15:30,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,3.85,0,0,31.45,0.63,17.31,4.62,5.77,4.81,16.83,7.69,0,340.03

63,15:30-15:45,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,3.85,0,0,27.7,0.63,17.31,8.37,5.77,4.81,16.83,7.69,0,340.03

64,15:45-16:00,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,3.85,0,0,23.47,0.63,17.31,9.62,5.77,4.81,16.83,7.69,0,337.04999999999995

65,16:00-16:15,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,3.85,0,0,19.14,0.48,17.31,9.62,5.77,2.89,16.83,7.69,0,330.65

66,16:15-16:30,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,3.85,0,0,14.81,0.48,17.31,9.62,5.77,2.89,16.83,7.69,0,326.31999999999994

67,16:30-16:45,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,3.85,0,0,10.67,0.48,17.31,9.62,5.77,2.89,16.83,7.69,0,322.17999999999995

68,16:45-17:00,25.97,25.97,0,0,8.66,25.97,1.84,0,150,0,8.66,0,0,3.85,0,0,6.92,0.48,17.31,3.13,5.77,2.89,16.83,7.69,0,311.93999999999994

69,17:00-17:15,31.74,31.74,0,0,8.66,31.74,1.92,0,150,0,8.66,0,0,3.85,0,0,0,0.48,17.31,0,5.77,0.96,0,7.69,3.85,304.37000000000006

70,17:15-17:30,31.74,31.74,0,0,8.66,31.74,1.92,0,150,0,8.66,0,0,3.85,0,0,0,0.48,17.31,0,5.77,0.96,0,7.69,3.85,304.37000000000006

71,17:30-17:45,31.74,31.74,0,0,8.66,31.74,1.92,0,150,0,8.66,0,0,3.85,0,0,0,0.48,17.31,0,5.77,0.96,0,7.69,3.85,304.37000000000006

72,17:45-18:00,31.74,31.74,0,0,8.66,31.74,1.92,0,150,0,8.66,0,0,3.85,0,0,0,0.48,17.31,0,5.77,0.96,0,7.69,3.85,304.37000000000006

73,18:00-18:15,31.74,31.74,50,0,8.66,31.74,1.92,0,150,0,8.66,0,150,3.85,0,38.47,0,0.53,17.31,0,5.77,0,0,7.69,3.85,541.93

74,18:15-18:30,31.74,31.74,50,0,8.66,31.74,1.92,0,150,0,8.66,0,150,3.85,0,38.47,0,0.53,17.31,0,5.77,0,0,7.69,3.85,541.93

75,18:30-18:45,31.74,31.74,50,0,8.66,31.74,1.92,0,150,0,8.66,0,150,3.85,0,38.47,0,0.53,17.31,0,5.77,0,0,7.69,3.85,541.93

76,18:45-19:00,31.74,31.74,50,0,8.66,31.74,1.92,0,150,0,8.66,0,150,3.85,0,38.47,0,0.53,17.31,0,5.77,0,0,7.69,3.85,541.93

77,19:00-19:15,31.74,31.74,50,0,8.66,31.74,1.92,0,150,0,8.66,0,150,3.85,0,38.47,0,0.53,17.31,0,5.77,0,0,7.69,3.85,541.93

78,19:15-19:30,31.74,31.74,50,0,8.66,31.74,1.92,0,150,0,8.66,0,150,3.85,0,38.47,0,0.53,17.31,0,5.77,0,0,7.69,3.85,541.93

79,19:30-19:45,31.74,31.74,50,0,8.66,31.74,1.92,0,150,0,8.66,0,150,3.85,0,38.47,0,0.53,17.31,0,5.77,0,0,7.69,3.85,541.93

80,19:45-20:00,31.74,31.74,50,0,8.66,31.74,1.92,0,150,0,8.66,0,150,3.85,0,38.47,0,0.53,17.31,0,5.77,0,0,7.69,3.85,541.93

81,20:00-20:15,31.74,31.74,50,0,8.66,31.74,1.92,0,150,0,8.66,0,250,3.85,0,38.47,0,0.53,17.31,0,5.77,0,0,7.69,3.85,641.9300000000001

82,20:15-20:30,31.74,31.74,50,0,8.66,31.74,1.92,0,150,0,8.66,0,250,3.85,0,38.47,0,0.53,17.31,0,5.77,0,0,7.69,3.85,641.9300000000001

83,20:30-20:45,31.74,31.74,50,0,8.66,31.74,1.92,0,150,0,8.66,0,250,3.85,0,38.47,0,0.53,17.31,0,5.77,0,0,7.69,3.85,641.9300000000001

84,20:45-21:00,31.74,31.74,50,0,8.66,31.74,1.92,0,150,0,8.66,0,250,3.85,0,38.47,0,0.53,17.31,0,5.77,0,0,7.69,3.85,641.9300000000001

85,21:00-21:15,28.85,28.85,50,0,8.66,28.85,1.92,0,150,0,8.66,0,250,3.85,0,38.47,0,0.53,17.31,0,5.77,0,0,7.69,3.85,633.26

86,21:15-21:30,28.85,28.85,50,0,8.66,28.85,1.92,0,150,0,8.66,0,250,3.85,0,38.47,0,0.53,17.31,0,5.77,0,0,7.69,3.85,633.26

87,21:30-21:45,28.85,28.85,50,0,8.66,28.85,1.92,0,150,0,8.66,0,250,3.85,0,38.47,0,0.53,17.31,0,5.77,0,0,7.69,3.85,633.26

88,21:45-22:00,28.85,28.85,50,0,8.66,28.85,1.92,0,150,0,8.66,0,250,3.85,0,38.47,0,0.53,17.31,0,5.77,0,0,7.69,3.85,633.26

89,22:00-22:15,25.97,25.97,50,31.71,8.66,25.97,1.84,0,150,95.13,8.66,0,250,2.89,0,38.47,0,0.48,17.31,0,5.77,0,0,7.69,0.96,747.4800000000001

90,22:15-22:30,25.97,25.97,50,31.71,8.66,25.97,1.84,0,150,95.13,8.66,0,250,2.89,0,38.47,0,0.48,17.31,0,5.77,0,0,7.69,0.96,747.4800000000001

91,22:30-22:45,25.97,25.97,50,31.71,8.66,25.97,1.84,0,150,95.13,8.66,0,250,2.89,0,38.47,0,0.48,17.31,0,5.77,0,0,7.69,0.96,747.4800000000001

92,22:45-23:00,25.97,25.97,50,31.71,8.66,25.97,1.84,0,150,95.13,8.66,0,250,2.89,0,38.47,0,0.48,17.31,0,5.77,0,0,7.69,0.96,747.4800000000001

93,23:00-23:15,25.97,25.97,50,31.71,8.66,25.97,1.84,0,150,95.13,8.66,0,250,2.89,0,38.47,0,0.43,17.31,0,5.77,0,0,7.69,0.96,747.4300000000001

94,23:15-23:30,25.97,25.97,50,31.71,8.66,25.97,1.84,0,150,95.13,8.66,0,250,2.89,0,38.47,0,0.43,17.31,0,5.77,0,0,7.69,0.96,747.4300000000001

95,23:30-23:45,25.97,25.97,50,31.71,8.66,25.97,1.84,0,150,95.13,8.66,0,250,2.89,0,38.47,0,0.43,17.31,0,5.77,0,0,7.69,0.96,747.4300000000001

96,23:45-24:00,25.97,25.97,50,31.71,8.66,25.97,1.84,0,150,95.13,8.66,0,250,2.89,0,38.47,0,0.43,17.31,0,5.77,0,0,7.69,0.96,747.4300000000001

