Time,Block,NR/2023/12968/D,NR/2023/12963/D,NR/2023/11960/F,NR/2023/11342/A,NR/2023/10173/A,NR/2023/11963/F,NR/2023/11284/A,NR/2023/10434/A,NR/2023/11952/F,NR/2023/10344/A,NR/2023/11642/A,NR/2023/11643/A,NR/2023/11947/F,NR/2023/12656/F,NR/2023/11941/F,NR/2023/12962/D,NR/2023/12983/C,NR/2023/12967/D,NR/2023/11959/F,NR/2023/11957/F,NR/2023/10944/A,NR/2023/11476/A,NR/2023/12979/C,NR/2023/10236/A,NR/2023/12977/C,NR/2023/11955/F,NR/2023/10487/A,NR/2023/11330/A,NR/2023/10229/A,NR/2023/10223/A,NR/2023/11962/F,NR/2023/10613/A,NR/2023/11862/F,NR/2023/10611/A,NR/2023/11958/F,NR/2023/11956/F,NR/2023/11961/F,NR/2023/12981/C,NR/2023/11640/A,NR/2023/12972/C,Total
4,00:45-01:00,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,31.620000,78.370000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.900000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,23.160000,0.000000,1034.31

5,01:00-01:15,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,31.620000,78.370000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.900000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,23.160000,0.000000,1034.31

6,01:15-01:30,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,31.620000,78.370000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.900000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,23.160000,0.000000,1034.31

7,01:30-01:45,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,31.620000,78.370000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.900000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,23.160000,0.000000,1034.31

8,01:45-02:00,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,31.620000,78.370000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.900000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,23.160000,0.000000,1034.31

9,02:00-02:15,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,31.620000,78.370000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.810000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,23.160000,0.000000,1034.22

10,02:15-02:30,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,31.620000,78.370000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.810000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,23.160000,0.000000,1034.22

11,02:30-02:45,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,31.620000,78.370000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.810000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,23.160000,0.000000,1034.22

12,02:45-03:00,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,31.620000,78.370000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.810000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,23.160000,0.000000,1034.22

13,03:00-03:15,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,30.590000,78.370000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.720000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,973.44

14,03:15-03:30,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,30.590000,78.370000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.720000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,973.44

15,03:30-03:45,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,30.590000,78.370000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.720000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,973.44

16,03:45-04:00,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,30.590000,78.370000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.720000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,973.44

17,04:00-04:15,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,30.590000,78.370000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.620000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,973.34

18,04:15-04:30,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,30.590000,78.370000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.620000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,973.34

19,04:30-04:45,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,30.590000,78.370000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.620000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,973.34

20,04:45-05:00,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,30.590000,78.370000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.620000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,973.34

21,05:00-05:15,0,0,0.640000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,30.590000,78.370000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.530000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,885

22,05:15-05:30,0,0,0.640000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,30.590000,78.370000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.530000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,885

23,05:30-05:45,0,0,0.640000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,30.590000,78.370000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.530000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,885

24,05:45-06:00,0,0,0.640000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,30.590000,78.370000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.530000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,885

25,06:00-06:15,0,0,0.640000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,30.590000,78.370000,0.640000,0.720000,0.000000,48.380000,0.000000,236.850000,16.440000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,792.03

26,06:15-06:30,3.5,1.5,0.640000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,30.590000,78.370000,0.640000,0.720000,0.000000,48.380000,0.000000,236.850000,16.440000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,797.03

27,06:30-06:45,7,3,0.640000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,30.590000,78.370000,0.640000,0.720000,0.000000,48.380000,0.000000,236.850000,16.440000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,802.03

28,06:45-07:00,14,6,0.640000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0.36,30.590000,78.370000,0.640000,0.720000,0.000000,48.380000,0.000000,236.850000,16.440000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,812.39

29,07:00-07:15,21,9,0.640000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0.82,28.550000,78.370000,0.640000,0.720000,0.000000,48.380000,10.000000,236.850000,16.350000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,830.72

30,07:15-07:30,31.5,13.5,0.640000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,1.04,28.550000,78.370000,0.640000,0.720000,0.000000,48.380000,10.000000,236.850000,16.350000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,845.94

31,07:30-07:45,45.5,19.5,0.640000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,1.57,28.550000,78.370000,0.640000,0.720000,0.000000,48.380000,10.000000,236.850000,16.350000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,866.47

32,07:45:08:00,56,24,0.640000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,2.42,28.550000,78.370000,0.640000,0.720000,0.000000,48.380000,10.000000,236.850000,16.350000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,882.32

33,08:00-08:15,66.5,28.5,0.660000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,2.9,28.550000,78.370000,0.660000,0.710000,0.000000,48.380000,10.000000,236.850000,16.250000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,30.000000,0.000000,0.000000,956.73

34,08:15-08:30,84,36,0.660000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,3.39,28.550000,78.370000,0.660000,0.710000,0.000000,48.380000,10.000000,236.850000,16.250000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,30.000000,0.000000,0.000000,982.22

35,08:30-08:45,98,42,0.660000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,3.87,28.550000,78.370000,0.660000,0.710000,0.000000,48.380000,10.000000,236.850000,16.250000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,30.000000,0.000000,0.000000,1002.7

36,08:45:09:00,108.5,46.5,0.660000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,4.69,28.550000,78.370000,0.660000,0.710000,0.000000,48.380000,10.000000,236.850000,16.250000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,30.000000,0.000000,0.000000,1018.52

37,09:00:09:15,120.4,51.6,0.660000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,4.74,29.580000,78.370000,0.660000,0.710000,0.000000,48.380000,10.000000,236.850000,16.170000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,30.000000,0.000000,24.190000,1060.71

38,09:15-09:30,129.5,55.5,0.660000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,4.93,29.580000,78.370000,0.660000,0.710000,0.000000,48.380000,10.000000,236.850000,16.170000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,30.000000,0.000000,24.190000,1073.9

39,09:30-09:45,141.4,60.6,0.660000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,5.03,29.580000,78.370000,0.660000,0.710000,0.000000,48.380000,10.000000,236.850000,16.170000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,30.000000,0.000000,24.190000,1091

40,09:45-10:00,154,66,0.660000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,5.18,29.580000,78.370000,0.660000,0.710000,0.000000,48.380000,10.000000,236.850000,16.170000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,30.000000,0.000000,24.190000,1109.15

41,10:00-10:15,160.3,68.7,0.660000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,5.22,34.680000,78.370000,0.660000,0.710000,0.000000,48.380000,10.000000,236.850000,16.070000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,30.000000,0.000000,24.190000,1123.19

42,10:15-10:30,170.8,73.2,0.660000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,5.51,34.680000,78.370000,0.660000,0.710000,0.000000,48.380000,10.000000,236.850000,16.070000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,30.000000,0.000000,24.190000,1138.48

43,10:30-10:45,177.8,76.2,0.660000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,5.61,34.680000,78.370000,0.660000,0.710000,0.000000,48.380000,10.000000,236.850000,16.070000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,30.000000,0.000000,24.190000,1148.58

44,10:45-11:00,184.1,78.9,0.660000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,5.81,34.680000,78.370000,0.660000,0.710000,0.000000,48.380000,10.000000,236.850000,16.070000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,30.000000,0.000000,24.190000,1157.78

45,11:00-11:15,185.5,79.5,0.660000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,6.58,34.680000,78.370000,0.660000,0.710000,0.000000,48.380000,10.000000,236.850000,15.980000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,30.000000,0.000000,24.190000,1160.46

46,11:15-11:30,185.5,79.5,0.660000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,6.97,34.680000,78.370000,0.660000,0.710000,0.000000,48.380000,10.000000,236.850000,15.980000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,30.000000,0.000000,24.190000,1160.85

47,11:30-11:45,191.8,82.2,0.660000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,7.57,34.680000,78.370000,0.660000,0.710000,0.000000,48.380000,10.000000,236.850000,15.980000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,30.000000,0.000000,24.190000,1170.45

48,11:45-12:00,191.8,82.2,0.660000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,7.57,34.680000,78.370000,0.660000,0.710000,0.000000,48.380000,10.000000,236.850000,15.980000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,30.000000,0.000000,24.190000,1170.45

49,12:00-12:15,191.8,82.2,0.660000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,7.57,34.680000,78.370000,0.660000,0.710000,0.000000,48.380000,10.000000,236.850000,15.890000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,30.000000,0.000000,24.190000,1170.36

50,12:15-12:30,191.8,82.2,0.660000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,8.35,34.680000,78.370000,0.660000,0.710000,0.000000,48.380000,10.000000,236.850000,15.890000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,30.000000,0.000000,24.190000,1171.14

51,12:30-12:45,191.8,82.2,0.660000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,8.35,34.680000,78.370000,0.660000,0.710000,0.000000,48.380000,10.000000,236.850000,15.890000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,30.000000,0.000000,24.190000,1171.14

52,12:45-13:00,191.8,82.2,0.660000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,8.66,34.680000,78.370000,0.660000,0.710000,0.000000,48.380000,10.000000,236.850000,15.890000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,30.000000,0.000000,24.190000,1171.45

53,13:00-13:15,191.8,82.2,0.660000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,8.66,35.690000,78.370000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,15.890000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,0.000000,24.190000,1132.46

54,13:15-13:30,191.8,82.2,0.660000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,8.66,35.690000,78.370000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,15.890000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,0.000000,24.190000,1132.46

55,13:30-13:45,189,81,0.660000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,8.66,35.690000,78.370000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,15.890000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,0.000000,24.190000,1128.46

