Column1,Time,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31052040/LT-31,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/9719,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,L_NR_2019_19,GNARE/SR/2025/01/13/4532,WR/01102023/01102023/L_NR_2022_09,GNARE/NR/2024/12/20/3668,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/07/5932,GNA/NR/2025/06/01/2868,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/8456,GNA/NR/2025/06/01/7762,GNA/NR/2025/04/01/8510,GNA/NR/2025/06/01/7786,NR/01102023/19072037/LT-05,GNA/NR/2025/06/01/4444,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/06/01/9257,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/8964,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,GNA/NR/2025/06/01/2569,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/06/01/4973
7,01:30-01:45,0,0,0,0,0,0,0,0,133.2,13.21,0,41.02,20.75,100.55,30,30,0,26.61,36.67,0,61.99,16.67,0,0,0,20.67,20.67,36.67,2.06,0,11.89,11.9,-0,28.96,87.06,10.56,20.75,15.68,41.02,115.78,0,0,20.75,26.75,7.31,130.59,4.67,53.57,5.15,41.02

8,01:45-02:00,0,0,0,0,0,0,0,0,133.2,13.21,0,41.02,20.75,100.55,30,30,0,27.01,36.67,0,61.5,16.67,0,0,0,20.5,20.5,36.67,2.06,0,11.89,11.9,-0,28.96,87.06,10.56,20.75,15.68,41.02,115.78,0,0,20.75,26.75,7.31,130.59,4.67,53.57,5.15,41.02

9,02:00-02:15,0,0,0,0,0,0,0,0,133.2,13.02,0,41.02,20.75,100.55,30,23.64,0,27.61,36.67,0,58.99,15.67,0,0,0,19.67,19.67,36.67,1.97,0,11.89,11.9,-0,28.96,87.06,10.56,20.75,15.68,41.02,115.78,164.08,0,20.75,26.75,7.31,130.59,4.52,53.57,5,41.02

10,02:15-02:30,0,0,0,0,0,0,0,0,133.2,13.02,0,41.02,20.75,100.55,30,23.64,0,28.01,36.67,0,58.99,15.67,0,0,0,19.67,19.67,36.67,1.97,0,11.89,11.9,-0,28.96,87.06,10.56,20.75,15.68,41.02,115.78,164.08,0,20.75,25.74,7.31,130.59,4.52,53.57,5,41.02

11,02:30-02:45,0,0,0,0,0,0,0,0,133.2,13.02,0,41.02,20.75,100.55,30,23.64,0,33.61,36.67,0,58.99,16.67,0,0,0,19.67,19.67,36.67,1.97,0,11.89,11.9,-0,28.96,87.06,10.56,20.75,15.68,41.02,115.78,164.08,0,20.75,25.74,7.31,130.59,4.52,53.57,5,41.02

12,02:45-03:00,0,0,0,0,0,0,0,0,133.2,13.02,0,41.02,20.75,100.55,30,23.64,0,33.41,36.67,0,58.99,16.67,0,0,0,19.67,19.67,36.67,1.97,0,11.89,11.9,-0,28.96,87.06,10.56,20.75,15.68,41.02,115.78,164.08,0,20.75,25.74,7.31,130.59,4.52,53.57,5,41.02

13,03:00-03:15,0,0,0,0,0,0,0,0,133.2,13.02,0,41.02,20.75,100.55,30,23.64,0,33.01,36.67,0,59.51,16.67,0,0,0,19.83,19.83,36.67,1.97,0,11.89,11.9,-0,28.96,87.06,10.56,20.75,15.68,41.02,115.78,164.08,0,20.75,25.74,7.31,130.59,3.89,53.57,4.92,41.02

14,03:15-03:30,0,0,0,0,0,0,0,0,133.2,13.02,0,41.02,20.75,100.55,30,23.64,0,32.61,36.67,0,60,16.33,0,0,0,20,20,36.67,1.97,0,11.89,11.9,-0,28.96,87.06,10.56,20.75,15.68,41.02,115.78,164.08,0,20.75,25.74,7.31,130.59,3.89,53.57,4.92,41.02

15,03:30-03:45,0,0,0,0,0,0,0,0,133.2,13.02,0,41.02,20.75,100.55,26.5,26.5,0,31.41,36.67,0,60.49,16.33,0,0,0,20.17,20.17,36.67,1.97,0,11.89,11.9,-0,28.96,87.06,10.56,20.75,15.68,41.02,115.78,164.08,0,20.75,26.75,7.31,130.59,3.89,53.57,4.92,41.02

16,03:45-04:00,0,0,0,0,0,0,0,0,133.2,13.02,0,41.02,20.75,100.55,26.5,26.5,0,30.61,36.67,0,60.49,16,0,0,0,20.17,20.17,36.67,1.97,0,11.89,11.9,-0,28.96,87.06,10.56,20.75,15.68,41.02,115.78,164.08,0,20.75,26.75,7.31,130.59,3.89,53.57,4.92,41.02

17,04:00-04:15,0,0,0,0,0,0,0,0,133.2,12.84,0,41.02,20.75,100.55,26.5,26.5,0,29.41,36.67,0,55.99,16,0,0,0,18.67,18.67,36.67,1.87,0,11.89,11.9,-0,28.96,69.09,10.56,20.75,8.97,41.02,115.78,164.08,0,20.75,26.75,5.3,106.46,3.66,53.57,4.77,41.02

18,04:15-04:30,0,0,0,0,0,0,0,0,133.2,12.84,0,41.02,20.75,100.55,26.5,26.5,0,28.41,36.67,0,55.99,15.67,0,0,0,18.67,18.67,36.67,1.87,0,11.89,11.9,-0,28.96,69.09,10.56,20.75,8.97,41.02,115.78,164.08,0,20.75,26.75,5.3,98.63,3.66,53.57,4.77,41.02

19,04:30-04:45,0,0,0,0,0,0,0,0,133.2,12.84,0,41.02,20.75,100.55,26.5,26.5,0,27.01,36.67,0,56.51,15.67,0,0,0,18.83,18.83,36.67,1.87,0,11.89,11.9,-0,28.96,69.09,10.56,20.75,8.97,41.02,115.78,164.08,0,20.75,26.75,5.3,98.63,3.66,53.57,4.77,41.02

20,04:45-05:00,0,0,0,0,0,0,0,0,133.2,12.84,0,41.02,20.75,100.55,26.5,26.5,0,25.61,36.67,0,57,15.67,0,0,0,19,19,36.67,1.87,0,11.89,11.9,-0,28.96,69.09,10.56,20.75,8.97,41.02,115.78,164.08,0,20.75,26.75,5.3,98.63,3.66,53.57,4.77,41.02

21,05:00-05:15,0,0,0,0,0,0,0,0,133.2,12.75,0,41.02,20.75,100.55,26.5,26.5,0,24.01,36.67,0,57,15.33,0,0,0,19,19,36.67,1.87,0,11.89,11.9,-0,28.96,69.09,10.56,20.75,4.34,41.02,115.78,164.08,0,20.75,26.75,5.3,98.63,3.66,53.57,4.24,41.02

22,05:15-05:30,0,0,0,0,0,0,0,0,133.2,12.75,0,41.02,20.75,100.55,26.5,26.5,0,22.81,36.67,0,56.51,15,0,0,0,18.83,18.83,36.67,1.87,0,11.89,11.9,-0,28.96,69.09,10.56,20.75,4.34,41.02,115.78,164.08,0,20.75,26.75,5.3,98.63,3.66,53.57,4.24,41.02

23,05:30-05:45,0,0,0,0,0,0,0,0,133.2,12.75,0,41.02,20.75,100.55,26.5,26.5,0.31,22.41,36.67,0,56.51,14.67,0,0,0,18.83,18.83,36.67,1.87,0,11.89,11.9,-0,28.96,69.09,10.56,20.75,4.34,41.02,115.78,164.08,0,20.75,25.74,5.3,98.63,3.66,53.57,4.24,41.02

24,05:45-06:00,0,0,0,0,0,0,0,0,133.2,12.75,0,41.02,20.75,100.55,26.5,26.5,2.08,22.01,36.67,0,55.99,14.33,0,0,0,18.67,18.67,36.67,1.87,0,11.89,11.9,-0,28.96,69.09,10.56,20.75,4.34,41.02,115.78,164.08,0,20.75,26.23,5.3,98.63,3.66,53.57,4.24,41.02

25,06:00-06:15,0,3.55,1,0,1,1,0,0.71,133.2,11.82,0,41.02,20.75,100.55,26.5,26.5,4.05,22.41,36.67,0,57.49,14,0,8.65,7.95,19.17,19.17,36.67,1.87,0,11.89,11.9,-0,28.96,69.09,7.76,20.75,4.34,41.02,115.78,164.08,0,20.75,25.23,5.3,98.63,3.5,53.57,4.16,41.02

26,06:15-06:30,0,8.46,2,1,2,2,1,1.69,133.2,11.82,0,41.02,20.75,100.55,26.5,26.5,7.82,21.61,36.67,0.46,57,13.67,0,30.99,29.65,19,19,36.67,1.87,0,11.89,11.9,-0,28.96,69.09,7.76,20.75,4.34,41.02,115.78,164.08,0,20.75,25.23,5.3,98.63,3.5,53.57,4.16,41.02

27,06:30-06:45,0,14.3,3,3,3,3,2,2.86,133.2,11.82,0.78,41.02,20.75,100.55,26.5,26.5,12.36,28.01,36.67,5.39,55.99,13.33,3,33,33,18.67,18.67,36.67,1.87,0.61,11.89,11.9,-0,28.96,69.09,7.76,20.75,4.34,41.02,115.78,164.08,0.78,20.75,24.22,5.3,98.63,4.04,53.57,4.16,41.02

28,06:45-07:00,0,21.07,7,6,6,5,3,4.22,113.89,11.82,1.23,41.02,20.75,71.6,26.5,26.5,17.93,27.81,36.67,8.47,55.01,13.67,6,33,33,18.33,18.33,36.67,1.87,0.96,11.89,11.9,-0,28.96,38.61,7.76,20.75,4.34,41.02,107.26,164.08,1.23,20.75,23.21,5.3,74.5,4.04,53.57,4.16,41.02

29,07:00-07:15,0,30.07,15,10,9,7,7,6.02,133.2,11.73,1.78,41.02,20.75,53.09,26.5,26.5,24.42,21.53,36.67,12.27,55.99,14.33,10,33,33,18.67,18.67,36.67,1.78,1.37,11.89,11.9,-0,17.37,38.61,7.76,20.75,4.34,41.02,98.75,164.08,1.78,20.75,23.21,5.3,53.09,4.04,53.57,4.16,41.02

30,07:15-07:30,0,40.57,19,15,13,9,9,8.12,133.2,11.73,2.42,41.02,20.75,53.09,26.93,26.93,23.62,20.82,36.67,17.05,58.01,15,16,33,33,19.33,19.33,36.67,1.78,1.86,11.89,11.9,-0,17.37,38.61,7.76,20.75,4.34,41.02,90.24,164.08,2.42,20.75,24.22,5.3,53.09,4.04,53.57,4.16,41.02

31,07:30-07:45,0,53.62,27,21,19,12,13,10.72,133.2,11.73,3.15,41.02,20.75,53.09,26.93,26.93,30.83,22.03,36.67,22.69,59.51,15.67,26,33,33,19.83,19.83,36.67,1.78,2.44,11.89,11.9,-0,17.37,38.61,7.76,20.75,4.34,41.02,81.72,164.08,3.15,20.75,24.22,5.3,53.09,4.04,53.57,4.16,41.02

32,07:45-08:00,0,68.06,33,27,25,16,17,13.61,133.2,11.73,4.48,41.02,20.75,53.09,26.93,26.93,38.06,20.53,36.67,28.96,60,16.33,32.67,32.66,32.67,20,20,36.67,1.78,3.47,11.89,11.9,-0,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,4.48,20.75,23.21,5.3,53.09,4.04,53.57,4.16,41.02

33,08:00-08:15,0,83.76,40,33,36,21,20,16.75,133.2,11.64,5.84,41.02,20.75,53.09,26.93,26.93,45.32,18.89,36.67,35.67,60,13.33,32.67,32.66,32.67,20,20,36.67,1.78,4.51,11.89,11.9,-0,17.37,38.61,7.76,20.75,8.62,41.02,70.37,164.08,5.84,20.75,23.21,5.3,53.09,3.89,53.57,4.08,41.02

34,08:15-08:30,0,99.82,47,39,43,25,23,19.97,133.2,11.64,6.89,41.02,20.75,53.09,26.93,26.93,66.32,17.35,36.67,42.48,61.01,13.33,33,33,33,20.33,20.33,36.67,1.78,5.32,11.89,11.9,-0,17.37,38.61,7.76,20.75,8.62,41.02,70.37,164.08,6.89,20.75,22.21,5.3,53.09,3.89,53.57,4.08,41.02

35,08:30-08:45,0,116.02,53,43,49,27,27,23.2,133.2,11.64,7.91,41.02,20.75,53.09,26.93,26.93,76.07,16.6,36.67,49.28,62.51,13.33,33,33,33,20.83,20.83,36.67,1.78,6.11,11.89,11.9,-0,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,7.91,20.75,22.21,5.3,53.09,3.89,53.57,4.08,41.02

36,08:45-09:00,0,132.34,65,49,56,30,32,26.47,133.2,11.64,8.94,41.02,20.75,53.09,26.93,26.93,85.34,15.86,36.67,56.15,64.01,13.33,33,33,33,21.33,21.33,36.67,1.78,6.9,11.89,11.9,-0,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,8.94,20.75,22.21,5.3,53.09,3.89,53.57,4.08,41.02

37,09:00-09:15,0,147.83,63,54,61,32,32,29.57,133.2,11.54,9.9,41.02,20.75,53.09,26.94,26.94,92.75,16.01,36.67,62.72,64.99,14,33,33,33,21.67,21.67,36.67,1.78,7.66,11.89,11.9,-74.87,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,9.9,20.75,22.21,5.3,53.09,3.89,53.57,4.01,41.02

38,09:15-09:30,0,163.02,70,60,65,34,35,32.6,133.2,11.54,10.83,41.02,20.75,53.09,26.94,26.94,100.46,16.01,36.67,68.66,66,15,33,33,33,22,22,36.67,1.78,8.37,11.89,11.9,-74.87,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,10.83,20.75,21.2,5.3,53.09,3.89,53.57,4.01,41.02

39,09:30-09:45,0,177.33,73,64,71,36,37,35.47,133.2,11.54,11.7,41.02,20.75,53.09,26.94,26.94,106.89,16.01,36.67,75.57,67.5,19.33,33,33,33,22.5,22.5,36.67,1.78,9.04,11.89,11.9,-74.87,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,11.7,20.75,22.2,5.3,53.09,3.89,53.57,4.31,41.02

40,09:45-10:00,0,190.47,78,69,76,38,39,38.1,133.2,11.54,12.5,41.02,20.75,53.09,26.94,26.94,111.87,16.01,36.67,80.89,69,20,33,33,33,23,23,36.67,1.78,9.66,11.89,11.9,-74.87,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,12.5,20.75,22.2,5.3,53.09,3.89,53.57,4.31,41.02

41,10:00-10:15,0,202.14,82,72,80,40,41,40.43,133.2,11.46,13.24,41.02,20.75,53.09,26.94,26.94,116.65,14.01,36.67,85.68,84,26.67,33,33,33,28,28,36.67,1.78,10.23,11.89,11.9,-74.87,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,13.24,20.75,22.2,5.3,53.09,3.74,53.57,4.31,41.02

42,10:15-10:30,0,212.86,85,75,86,41,43,42.57,133.2,11.46,13.92,41.02,20.75,53.09,26.94,26.94,121.81,14.01,36.67,89.96,85.01,27,33,33,33,28.33,28.33,36.67,1.78,10.75,11.89,11.9,-74.87,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,13.92,20.75,22.2,5.3,53.09,3.74,53.57,4.31,41.02

43,10:30-10:45,0,223.17,90,79,89,42,45,44.64,133.2,11.46,14.54,41.02,20.75,53.09,26.94,26.94,126.4,14.01,41.67,93.69,86.51,27.33,33,33,33,28.83,28.83,41.67,1.78,11.23,11.89,11.9,-74.87,17.37,38.61,10.56,20.75,4.34,41.02,70.37,164.08,14.54,20.75,22.2,5.3,53.09,3.74,53.57,4.31,41.02

44,10:45-11:00,0,231.65,93,82,93,43,47,46.33,133.2,11.46,15.07,41.02,20.75,53.09,26.94,26.94,128.74,14.01,41.67,97.18,88.01,27.67,33,33,33,29.33,29.33,41.67,1.78,11.65,11.89,11.9,-74.87,17.37,38.61,10.56,20.75,4.34,41.02,70.37,164.08,15.07,20.75,22.2,5.3,53.09,3.74,53.57,4.31,41.02

45,11:00-11:15,0,238.96,95,84,95,44,47,47.79,133.2,11.36,15.53,41.02,20.75,53.09,26.94,26.94,132.84,12.41,41.67,100,88.99,28.67,33,33,33,29.67,29.67,41.67,1.78,12,11.89,11.9,-74.87,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,15.53,20.75,22.2,5.3,53.09,3.74,53.57,4.24,41.02

46,11:15-11:30,0,245.83,97,85,96,45,48,49.17,133.2,11.36,15.91,41.02,20.75,53.09,26.94,26.94,135.57,13.01,41.67,100,90,29.33,33,33,33,30,30,41.67,1.78,12.3,11.89,11.9,-74.87,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,15.91,20.75,22.2,5.3,53.09,3.74,53.57,4.24,41.02

47,11:30-11:45,0,245.83,97,87,98,45,49,49.17,133.2,11.36,16.23,41.02,20.75,53.09,26.94,26.94,135.96,13.61,41.67,100,87.49,26.67,33,33,33,29.17,29.17,41.67,1.78,12.54,11.89,11.9,-74.87,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,16.23,20.75,23.21,5.3,53.09,3.74,53.57,4.24,41.02

48,11:45-12:00,0,245.83,97,87,98,45,49,49.17,133.2,11.36,16.46,41.02,20.75,53.09,26.94,26.94,136.54,13.21,41.67,100,90,27,33,33,33,30,30,41.67,1.78,12.72,11.89,11.9,-74.87,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,16.46,20.75,23.21,5.3,53.09,3.74,53.57,4.24,41.02

49,12:00-12:15,0,245.83,97,87,98,45,49,49.17,113.89,11.27,16.65,41.02,20.75,53.09,0,0,131.92,9.2,41.67,100,92.51,27.33,33,33,33,30.83,30.83,41.67,1.87,12.86,11.89,11.9,-74.87,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,16.65,20.75,23.21,5.3,53.09,3.58,53.57,4.16,41.02

50,12:15-12:30,0,245.83,97,87,98,45,49,49.17,94.59,11.27,16.76,41.02,20.75,53.09,0,0,134.9,9.2,41.67,100,93,27.33,33,33,33,31,31,41.67,1.87,12.95,11.89,11.9,-74.87,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,16.76,20.75,24.73,5.3,53.09,3.58,53.57,4.16,41.02

51,12:30-12:45,0,245.83,97,87,98,45,49,49.17,75.05,11.27,16.82,41.02,20.75,53.09,0,0,131.4,9.2,41.67,100,93.49,27.67,33,33,33,31.17,31.17,41.67,1.87,12.99,11.89,11.9,-74.87,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,16.82,20.75,24.73,5.3,53.09,3.58,53.57,4.16,41.02

52,12:45-13:00,0,245.83,97,87,98,45,49,49.17,75.05,11.27,16.76,41.02,20.75,53.09,0,0,129.7,9.2,41.67,100,94.01,27.67,33,33,33,31.33,31.33,41.67,1.87,12.95,11.89,11.9,-74.87,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,16.76,20.75,24.73,5.3,53.09,3.58,53.57,4.16,41.02

53,13:00-13:15,0,245.83,95,87,97,45,48,49.17,75.05,11.18,16.66,41.02,20.75,53.09,0,0,129.34,8,41.67,100,96.49,28,33,33,33,32.17,32.17,41.67,1.87,12.87,11.89,11.9,-74.87,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,16.66,20.75,24.73,5.3,53.09,3.58,53.57,4.31,41.02

54,13:15-13:30,0,245.83,93,87,96,44,47,49.17,75.05,11.18,16.49,41.02,20.75,53.09,0,0,131.09,8,41.67,100,100.01,28.67,33,33,33,33.33,33.33,41.67,1.87,12.75,11.89,11.9,-74.87,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,16.49,20.75,23.72,5.3,53.09,3.58,53.57,4.31,41.02

55,13:30-13:45,0,245.83,93,87,95,43,47,49.17,75.05,11.18,16.24,41.02,20.75,53.09,26.95,26.95,128.49,8.6,41.67,100,102.49,32,33,33,33,34.17,34.17,41.67,1.87,12.54,11.89,11.9,-74.86,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,16.24,20.75,23.72,5.3,53.09,3.58,53.57,4.31,41.02

56,13:45-14:00,0,244.33,91,87,93,42,46,48.87,75.05,11.18,15.9,41.02,20.75,53.09,26.95,26.95,125.48,9.6,41.67,100,105,32,33,33,33,35,35,41.67,1.87,12.28,11.89,11.9,-74.86,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,15.9,20.75,23.72,5.3,53.09,3.58,53.57,4.31,41.02

57,14:00-14:15,0,238.47,89,81,92,41,44,47.7,75.05,11.08,15.47,41.02,20.75,53.09,26.7,26.7,122.83,11,41.67,100,106.01,32,33,33,33,35.33,35.33,41.67,1.97,11.96,11.89,11.9,-74.86,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,15.47,20.75,23.72,5.3,53.09,3.74,53.57,4.38,41.02

58,14:15-14:30,0,229.82,87,79,90,41,43,45.96,75.05,11.08,14.99,41.02,20.75,53.09,26.7,26.7,119.99,12.21,41.67,98.3,107.51,32,33,33,33,35.83,35.83,41.67,1.97,11.58,11.89,11.9,-74.86,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,14.99,20.75,23.72,5.3,53.09,3.74,53.57,4.38,41.02

59,14:30-14:45,0,221.56,85,76,90,39,43,44.31,75.05,11.08,14.42,41.02,20.75,86.87,26.7,26.7,115.75,13.01,41.67,92.42,107.51,32,33,33,33,35.83,35.83,41.67,1.97,11.14,11.89,11.9,-74.86,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,14.42,20.75,24.23,5.3,53.09,3.74,53.57,4.38,41.02

60,14:45-15:00,0,212.9,83,73,88,38,42,42.58,75.05,11.08,13.68,41.02,20.75,100.55,26.7,26.7,105.23,13.61,41.67,88.64,107.51,32,33,33,33,35.83,35.83,41.67,1.97,10.57,11.89,11.9,-74.86,17.37,38.61,7.76,20.75,4.34,41.02,70.37,164.08,13.68,20.75,24.23,5.3,53.09,3.74,53.57,4.38,41.02

61,15:00-15:15,0,200.78,79,69,85,37,39,40.16,94.59,11.82,12.99,41.02,20.75,100.55,26.7,26.7,96.18,14.41,41.67,84.55,107.51,32,33,33,33,35.83,35.83,41.67,2.43,10.04,11.89,11.9,-74.86,17.37,38.61,10.56,20.75,8.97,41.02,70.37,164.08,12.99,20.75,23.21,5.3,53.09,3.74,53.57,4.54,41.02

62,15:15-15:30,0,192.02,73,64,80,36,37,38.41,94.59,11.82,12.28,41.02,20.75,100.55,26.7,26.7,89.95,15.01,41.67,80.36,107.51,32,33,33,33,35.83,35.83,41.67,2.43,9.48,11.89,11.9,-74.86,17.37,38.61,10.56,20.75,8.97,41.02,70.37,164.08,12.28,20.75,23.21,5.3,53.09,3.74,53.57,4.54,41.02

63,15:30-15:45,0,180.13,67,60,72,33,33,36.03,94.59,11.82,11.46,41.02,20.75,100.55,26.7,26.7,83.19,22.01,41.67,75.68,107.51,32,33,33,33,35.83,35.83,41.67,2.43,8.86,11.89,11.9,-74.86,17.37,49.14,10.56,20.75,8.97,41.02,70.37,164.08,11.46,20.75,23.71,5.3,70.79,3.74,53.57,4.54,41.02

64,15:45-16:00,0,166.53,62,55,67,32,31,33.31,94.59,11.82,10.6,41.02,20.75,100.55,26.7,26.7,75.68,23.01,41.67,70.73,107.51,32,33,33,33,35.83,35.83,41.67,2.43,8.19,11.89,11.9,-74.86,17.37,49.14,10.56,20.75,8.97,41.02,70.37,164.08,10.6,20.75,23.71,5.3,70.79,3.74,53.57,4.54,41.02

65,16:00-16:15,0,153.42,55,51,60,29,28,30.68,94.59,12.19,9.82,41.02,20.75,100.55,26.7,26.7,67.28,23.01,41.67,63.98,112.5,35,25,33,33,37.5,37.5,41.67,2.62,7.58,11.89,11.9,-0,17.37,49.14,10.56,20.75,8.97,41.02,63.47,164.08,9.82,20.75,23.71,5.3,70.79,3.97,53.57,5.39,41.02

