Column1,Block,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/01/2594,NR/30092023/31122025/SH-07,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/5886,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/02/01/4863,NR/30092023/26122029/SH-06,NR/2024/24418/A/51799,NR/2025/25148/C,NR/2025/25147/C,NR/2025/24992/A/51800,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,NER/2025/2918/A/52033,ER/2025/15683/A/52031,GNA/WR/2025/01/01/8625,NR/2025/24882/A/51801,NR/2025/25070/A/52061,GNA/SR/2025/02/01/6460,WR/2025/26047/A/52034,Total
20,04:45-05:00,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.38,0,0,6.73,0,0,9.18,7.34,0,2.89,17.31,75,0,260.5

21,05:00-05:15,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.38,0,0,6.73,0,0,9.18,7.34,0,2.89,17.31,75,0,260.5

22,05:15-05:30,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.38,0,0,6.73,0,0,9.18,7.34,0,2.89,17.31,75,0,260.5

23,05:30-05:45,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.38,0,0,6.73,0,0,9.18,7.34,0,2.89,17.31,75,0,260.5

24,05:45-06:00,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.38,0,0,6.73,0,0,9.18,7.34,0,2.89,17.31,75,0,260.5

25,06:00-06:15,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.43,0,0,9.62,0,0,9.18,7.34,0,4.81,17.31,75,0,265.36

26,06:15-06:30,23.08,23.08,23.08,23.73,0,8.66,1.29,8.66,23.73,0.43,0,0,9.62,0,0,9.18,7.34,0,4.81,17.31,75,0,259

27,06:30-06:45,28.85,28.85,28.85,17.14,0,8.66,1.29,8.66,17.14,0.43,0,0,9.62,0,0,9.18,7.34,0,4.81,17.31,75,0,263.13

28,06:45-07:00,28.85,28.85,28.85,32,0,8.66,1.29,8.66,8.55,0.43,0,0,9.62,0,0,9.18,7.34,0,4.81,17.31,75,0,269.40000000000003

29,07:00-07:15,36.55,36.55,36.55,32,0,8.66,1.29,8.66,0,0.48,0,0,9.62,0,0,9.18,7.34,0,4.81,28.85,75,0,295.53999999999996

30,07:15-07:30,36.55,36.55,36.55,32,0,8.66,1.29,8.66,0,0.48,0,0,9.62,0,0,9.18,7.34,0,4.81,28.85,75,0,295.53999999999996

31,07:30-07:45,36.55,43.28,36.55,32,0,14.43,1.29,14.43,0,0.48,0,0,9.62,0,0,9.18,7.34,0,4.81,28.85,75,0,313.81

32,07:45-08:00,36.55,43.28,36.55,32,0,14.43,1.29,14.43,0,0.48,0,0,9.62,0,0,9.18,7.34,0,4.81,28.85,75,0,313.81

33,08:00-08:15,36.55,43.28,36.55,31,0,14.43,1.29,14.43,31,0.87,0,0,9.62,0,0,9.18,7.34,0,4.81,28.85,75,0,344.20000000000005

34,08:15-08:30,36.55,43.28,36.55,31,0,14.43,1.29,14.43,31,0.87,0,0,9.62,0,0,9.18,7.34,0,4.81,28.85,75,0,344.20000000000005

35,08:30-08:45,36.55,43.28,36.55,31,0,14.43,1.29,14.43,31,0.87,0,0,9.62,0,0,9.18,7.34,0,4.81,28.85,75,0,344.20000000000005

36,08:45-09:00,36.55,43.28,36.55,31,0,14.43,1.29,14.43,31,0.87,0,0,9.62,0,0,9.18,7.34,0,4.81,28.85,75,0,344.20000000000005

37,09:00-09:15,36.55,36.55,36.55,31,0,14.43,1.29,14.43,31,0.87,0,0,9.62,0,0,9.18,7.34,0,4.81,28.85,75,0,337.47

38,09:15-09:30,36.55,36.55,36.55,31,0,14.43,1.29,14.43,31,0.87,0,0,9.62,0,0,9.18,7.34,0,4.81,28.85,75,0,337.47

39,09:30-09:45,36.55,36.55,36.55,8.55,0,13.47,1.29,13.47,32,0.87,27.41,15.77,9.62,0,0,9.18,7.34,0,4.81,28.85,75,0,357.28000000000003

40,09:45-10:00,36.55,36.55,36.55,17.57,0,13.47,1.29,13.47,32,0.87,32.61,12.21,9.62,0,0,9.18,7.34,0,4.81,28.85,75,0,367.94000000000005

41,10:00-10:15,36.55,36.55,36.55,25.61,0,8.66,1.29,8.66,32,0.87,38.28,14.62,5.77,0,0,9.18,7.34,0,3.85,28.85,75,0,369.63000000000005

42,10:15-10:30,36.55,36.55,36.55,25.61,0,8.66,1.29,8.66,32,0.87,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,28.85,75,0,369.63000000000005

43,10:30-10:45,36.55,36.55,36.55,25.61,0,8.66,1.29,8.66,32,0.87,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,28.85,75,0,369.63000000000005

44,10:45-11:00,36.55,36.55,36.55,25.61,0,8.66,1.29,8.66,32,0.87,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,28.85,75,0,369.63000000000005

45,11:00-11:15,34.62,34.62,34.62,25.61,0,8.66,1.29,8.66,32,0.87,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,28.85,75,0,363.84000000000003

46,11:15-11:30,34.62,34.62,34.62,25.61,0,8.66,1.29,8.66,32,0.87,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,28.85,75,0,363.84000000000003

47,11:30-11:45,34.62,34.62,34.62,25.61,0,8.66,1.29,8.66,32,0.87,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,28.85,75,0,363.84000000000003

48,11:45-12:00,34.62,34.62,34.62,25.61,0,8.66,1.29,8.66,32,0.87,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,28.85,75,0,363.84000000000003

49,12:00-12:15,25.97,25.97,25.97,26.91,0,8.66,1.19,8.66,26.91,0.87,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,28.85,75,0,334

50,12:15-12:30,25.97,25.97,25.97,26.91,0,8.66,1.19,8.66,26.91,0.87,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,28.85,75,0,334

51,12:30-12:45,25.97,25.97,25.97,26.91,0,8.66,1.19,8.66,26.91,0.87,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,28.85,75,0,334

52,12:45-13:00,25.97,25.97,25.97,26.91,0,8.66,1.19,8.66,26.91,0.87,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,28.85,75,0,334

53,13:00-13:15,23.08,23.08,23.08,26.91,0,8.66,1.19,8.66,26.91,0.87,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,28.85,75,0,325.33000000000004

54,13:15-13:30,23.08,23.08,23.08,26.91,0,8.66,1.19,8.66,26.91,0.87,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,28.85,75,0,325.33000000000004

55,13:30-13:45,23.08,23.08,23.08,26.91,0,8.66,1.19,8.66,26.91,0.87,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,28.85,75,0,325.33000000000004

56,13:45-14:00,23.08,23.08,23.08,26.91,0,8.66,1.19,8.66,26.91,0.87,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,28.85,75,0,325.33000000000004

57,14:00-14:15,23.08,23.08,23.08,26.91,0,8.66,1.19,8.66,26.91,0.87,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,28.85,75,0,325.33000000000004

58,14:15-14:30,23.08,23.08,23.08,26.91,0,8.66,1.19,8.66,26.91,0.87,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,28.85,75,0,325.33000000000004

59,14:30-14:45,23.08,23.08,23.08,26.91,0,8.66,1.19,8.66,26.91,0.87,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,28.85,75,0,325.33000000000004

60,14:45-15:00,23.08,23.08,23.08,26.91,0,8.66,1.19,8.66,26.91,0.87,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,28.85,75,0,325.33000000000004

61,15:00-15:15,23.08,23.08,23.08,26.91,0,8.66,1.19,8.66,26.91,0.67,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,28.85,75,0,325.13

62,15:15-15:30,23.08,23.08,23.08,26.91,0,8.66,1.19,8.66,26.91,0.67,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,12.96,75,0,309.24

63,15:30-15:45,23.08,23.08,23.08,26.91,0,8.66,1.19,8.66,26.91,0.67,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,12.96,75,0,309.24

64,15:45-16:00,23.08,23.08,23.08,26.91,0,8.66,1.19,8.66,26.91,0.67,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,12.96,75,0,309.24

65,16:00-16:15,23.08,23.08,23.08,26.91,0,8.66,1.19,8.66,26.91,0.53,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,12.96,75,0,309.1

66,16:15-16:30,23.08,23.08,23.08,26.91,0,8.66,1.19,8.66,26.91,0.53,38.47,14.43,5.77,0,0,9.18,7.34,0,3.85,12.96,75,0,309.1

67,16:30-16:45,23.08,23.08,23.08,26.91,0,8.66,1.19,8.66,26.91,0.53,32.32,19.33,5.77,0,0,9.18,7.34,0,3.85,12.96,75,0,307.85

68,16:45-17:00,23.08,23.08,23.08,26.91,0,8.66,1.19,8.66,26.91,0.53,24.53,15.97,5.77,0,0,9.18,7.34,0,3.85,12.96,75,0,296.70000000000005

69,17:00-17:15,36.55,36.55,36.55,26.91,0,8.66,1.19,8.66,26.91,0.53,0,0,9.62,0,0,9.18,7.34,0,4.81,12.96,75,0,301.42

70,17:15-17:30,36.55,36.55,36.55,26.91,0,8.66,1.19,8.66,26.91,0.53,0,0,9.62,0,0,9.18,7.34,0,4.81,12.96,75,0,301.42

71,17:30-17:45,36.55,43.28,36.55,32,0,13.47,1.19,13.47,32,0.53,0,0,9.62,0,0,9.18,7.34,0,4.81,12.96,75,0,327.95000000000005

72,17:45-18:00,36.55,43.28,36.55,32,0,13.47,1.19,13.47,32,0.53,0,0,9.62,0,0,9.18,7.34,0,4.81,12.96,75,0,327.95000000000005

73,18:00-18:15,36.55,43.28,36.55,31,0,13.47,1.19,13.47,31,0.53,0,0,9.62,50,200,9.18,7.34,0,4.81,12.96,75,38.47,614.42

74,18:15-18:30,36.55,43.28,36.55,31,0,13.47,1.19,13.47,31,0.53,0,0,9.62,50,200,9.18,7.34,0,4.81,12.96,75,38.47,614.42

75,18:30-18:45,36.55,43.28,36.55,31,50,13.47,1.19,13.47,31,0.53,0,0,9.62,50,200,9.18,7.34,0,4.81,12.96,75,38.47,664.42

76,18:45-19:00,36.55,43.28,36.55,31,50,13.47,1.19,13.47,31,0.53,0,0,9.62,50,200,9.18,7.34,0,4.81,12.96,75,38.47,664.42

77,19:00-19:15,36.55,43.28,36.55,31,50,13.47,1.19,13.47,31,0.63,0,0,9.62,50,200,9.18,7.34,0,4.81,12.96,75,38.47,664.52

78,19:15-19:30,36.55,43.28,36.55,31,50,13.47,1.19,13.47,31,0.63,0,0,9.62,50,200,9.18,7.34,0,4.81,12.96,75,38.47,664.52

79,19:30-19:45,36.55,43.28,36.55,32,50,13.47,1.19,13.47,32,0.63,0,0,9.62,50,200,9.18,7.34,0,4.81,12.96,75,38.47,666.52

80,19:45-20:00,36.55,43.28,36.55,32,50,13.47,1.19,13.47,32,0.63,0,0,9.62,50,200,9.18,7.34,0,4.81,12.96,75,38.47,666.52

81,20:00-20:15,34.62,34.62,34.62,32,50,8.66,1.19,8.66,25.61,0.63,0,0,5.77,50,150,9.18,7.34,0,3.85,12.96,75,38.47,583.1800000000001

82,20:15-20:30,34.62,34.62,34.62,32,50,8.66,1.19,8.66,25.61,0.63,0,0,5.77,50,150,9.18,7.34,0,3.85,12.96,75,38.47,583.1800000000001

83,20:30-20:45,34.62,34.62,34.62,32,50,8.66,1.19,8.66,25.61,0.63,0,0,5.77,50,150,9.18,7.34,0,3.85,12.96,75,38.47,583.1800000000001

84,20:45-21:00,34.62,34.62,34.62,32,50,8.66,1.19,8.66,25.61,0.63,0,0,5.77,50,150,9.18,7.34,0,3.85,12.96,75,38.47,583.1800000000001

85,21:00-21:15,31.74,31.74,31.74,32,50,8.66,1.19,8.66,25.61,0.58,0,0,5.77,50,150,9.18,7.34,0,3.85,12.96,75,38.47,574.49

86,21:15-21:30,31.74,31.74,31.74,32,50,8.66,1.19,8.66,25.61,0.58,0,0,5.77,50,150,9.18,7.34,0,3.85,12.96,75,38.47,574.49

87,21:30-21:45,31.74,31.74,31.74,32,50,8.66,1.19,8.66,25.61,0.58,0,0,5.77,50,150,9.18,7.34,0,3.85,12.96,75,38.47,574.49

88,21:45-22:00,31.74,31.74,31.74,32,50,8.66,1.19,8.66,25.61,0.58,0,0,5.77,50,150,9.18,7.34,0,3.85,12.96,75,38.47,574.49

89,22:00-22:15,28.85,28.85,28.85,32,50,8.66,1.19,8.66,25.61,0.53,0,0,5.77,50,150,9.18,7.34,0,3.85,7.65,75,38.47,560.46

90,22:15-22:30,28.85,28.85,28.85,32,50,8.66,1.19,8.66,25.61,0.53,0,0,5.77,50,150,9.18,7.34,0,3.85,7.65,75,38.47,560.46

91,22:30-22:45,28.85,28.85,28.85,32,50,8.66,1.19,8.66,25.61,0.53,0,0,5.77,50,150,9.18,7.34,0,3.85,7.65,75,38.47,560.46

92,22:45-23:00,28.85,28.85,28.85,32,50,8.66,1.19,8.66,25.61,0.53,0,0,5.77,50,150,9.18,7.34,0,3.85,7.65,75,38.47,560.46

93,23:00-23:15,23.08,23.08,23.08,32,50,8.66,1.19,8.66,25.61,0.48,0,0,5.77,50,150,9.18,7.34,0,3.85,7.65,75,38.47,543.1

94,23:15-23:30,23.08,23.08,23.08,32,50,8.66,1.19,8.66,25.61,0.48,0,0,5.77,50,150,9.18,7.34,0,3.85,7.65,75,38.47,543.1

95,23:30-23:45,23.08,23.08,23.08,32,50,8.66,1.19,8.66,25.61,0.48,0,0,5.77,50,150,9.18,7.34,0,3.85,7.65,75,38.47,543.1

96,23:45-24:00,23.08,23.08,23.08,32,50,8.66,1.19,8.66,25.61,0.48,0,0,5.77,50,150,9.18,7.34,0,3.85,7.65,75,38.47,543.1

