Time,Block,NR/2023/11642/A,NR/2023/11643/A,NR/2023/11961/F,NR/2023/12656/F,NR/2023/10944/A,NR/2023/12903/F,NR/2023/11963/F,NR/2023/13001/C,NR/2023/11958/F,NR/2023/10344/A,NR/2023/11476/A,NR/2023/11956/F,ER/2023/7895/C,NR/2023/11962/F,NR/2023/10434/A,NR/2023/10236/A,NR/2023/12988/D,NR/2023/10223/A,NR/2023/11862/F,NR/2023/11640/A,NR/2023/10173/A,NR/2023/10613/A,NR/2023/12992/D,NR/2023/11959/F,NR/2023/11342/A,NR/2023/11941/F,NR/2023/13011/C,NR/2023/12994/D,NR/2023/13003/C,NR/2023/11960/F,NR/2023/13002/C,NR/2023/11957/F,NR/2023/11947/F,NR/2023/11330/A,NR/2023/11284/A,NR/2023/10611/A,NR/2023/13006/C,NR/2023/12991/D,NR/2023/10487/A,NR/2023/11952/F,NR/2023/13009/C,NR/2023/11955/F,NR/2023/10229/A,Total
11,02:30-02:45,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,31.590000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,23.160000,75.580000,12.670000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,17.270000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,81.170000,41.600000,36.500000,0.000000,0.360000,43.060000,1037.45

12,02:45-03:00,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,31.590000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,23.160000,75.580000,12.670000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,17.270000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,78.370000,41.600000,36.500000,0.000000,0.360000,43.060000,1034.65

13,03:00-03:15,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,30.570000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,75.580000,12.670000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,17.180000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,80.010000,41.600000,0.000000,0.000000,0.360000,43.060000,975.52

14,03:15-03:30,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,30.570000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,75.580000,12.670000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,17.180000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,80.010000,41.600000,0.000000,0.000000,0.360000,43.060000,975.52

15,03:30-03:45,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,30.570000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,75.580000,12.670000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,17.180000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,80.010000,41.600000,0.000000,0.000000,0.360000,43.060000,975.52

16,03:45-04:00,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,30.570000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,75.580000,12.670000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,17.180000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,80.590000,41.600000,0.000000,0.000000,0.360000,43.060000,976.1

17,04:00-04:15,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,30.570000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,75.580000,12.670000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,17.090000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,976.59

18,04:15-04:30,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,30.570000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,75.580000,12.670000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,17.090000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,976.59

19,04:30-04:45,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,30.570000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,75.580000,12.670000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,17.090000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,976.59

20,04:45-05:00,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,30.570000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,75.580000,12.670000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,17.090000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,976.59

21,05:00-05:15,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,30.570000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,0.000000,0.000000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,17.000000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,888.25

22,05:15-05:30,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,30.570000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,0.000000,0.000000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,17.000000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,888.25

23,05:30-05:45,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,30.570000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,0.000000,0.000000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,17.000000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,888.25

24,05:45-06:00,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,30.570000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,0.000000,0.000000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,17.000000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,888.25

25,06:00-06:15,14.510000,13.060000,0.700000,2.900000,0.000000,0.000000,0.420000,30.570000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,0.000000,0.000000,0,0.640000,116.100000,33.860000,0.000000,0,0.000000,0.640000,16.900000,0.720000,6.770000,0.000000,33.860000,9.970000,0.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,795.27

26,06:15-06:30,14.510000,13.060000,0.700000,2.900000,0.000000,0.000000,0.420000,30.570000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,0.000000,0.000000,1.5,0.640000,116.100000,33.860000,0.000000,3.5,0.000000,0.640000,16.900000,0.720000,6.770000,0.000000,33.860000,9.970000,0.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,800.27

27,06:30-06:45,14.510000,13.060000,0.700000,2.900000,0.000000,0.000000,0.420000,30.570000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,0.000000,0.000000,3,0.640000,116.100000,33.860000,0.000000,7,0.000000,0.640000,16.900000,0.720000,6.770000,0.000000,33.860000,9.970000,0.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,805.27

28,06:45-07:00,14.510000,13.060000,0.700000,2.900000,0.000000,0.000000,0.420000,30.570000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0.36,21.530000,2.900000,0.000000,0.000000,0.000000,6,0.640000,116.100000,33.860000,0.000000,14,0.000000,0.640000,16.900000,0.720000,6.770000,0.000000,33.860000,9.970000,0.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,815.63

29,07:00-07:15,14.510000,13.060000,0.700000,2.900000,0.000000,0.000000,0.420000,29.560000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0.82,21.530000,2.900000,0.000000,0.000000,0.000000,9,0.640000,116.100000,33.860000,10.000000,21,0.000000,0.640000,16.810000,0.720000,6.770000,0.000000,33.860000,9.970000,0.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,834.99

30,07:15-07:30,14.510000,13.060000,0.700000,2.900000,0.000000,0.000000,0.420000,29.560000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,1.04,21.530000,2.900000,0.000000,0.000000,0.000000,13.5,0.640000,116.100000,33.860000,10.000000,31.5,0.000000,0.640000,16.810000,0.720000,6.770000,0.000000,33.860000,9.970000,0.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,850.21

31,07:30-07:45,14.510000,13.060000,0.700000,2.900000,0.000000,0.000000,0.420000,29.560000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,1.57,21.530000,2.900000,0.000000,0.000000,0.000000,19.5,0.640000,116.100000,33.860000,10.000000,45.5,0.000000,0.640000,16.810000,0.720000,6.770000,0.000000,33.860000,9.970000,0.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,870.74

32,07:45:08:00,14.510000,13.060000,0.700000,2.900000,0.000000,0.000000,0.420000,29.560000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,2.42,21.530000,2.900000,0.000000,0.000000,0.000000,24,0.640000,116.100000,33.860000,10.000000,56,0.000000,0.640000,16.810000,0.720000,6.770000,0.000000,33.860000,9.970000,0.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,886.59

33,08:00-08:15,14.510000,13.060000,0.690000,2.900000,0.000000,0.000000,0.420000,29.560000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,2.9,21.530000,2.900000,0.000000,0.000000,0.000000,28.5,0.660000,116.100000,62.890000,10.000000,66.5,0.000000,0.660000,16.620000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,960.91

34,08:15-08:30,14.510000,13.060000,0.690000,2.900000,0.000000,0.000000,0.420000,29.560000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,3.39,21.530000,2.900000,0.000000,0.000000,0.000000,36,0.660000,116.100000,62.890000,10.000000,84,0.000000,0.660000,16.620000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,986.4

35,08:30-08:45,14.510000,13.060000,0.690000,2.900000,0.000000,0.000000,0.420000,29.560000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,3.87,21.530000,2.900000,0.000000,0.000000,0.000000,42,0.660000,116.100000,62.890000,10.000000,98,0.000000,0.660000,16.620000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1006.88

36,08:45:09:00,14.510000,13.060000,0.690000,2.900000,0.000000,0.000000,0.420000,29.560000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,4.27,21.530000,2.900000,0.000000,0.000000,0.000000,46.5,0.660000,116.100000,62.890000,10.000000,108.5,0.000000,0.660000,16.620000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1022.28

37,09:00:09:15,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,30.570000,0.560000,12.260000,48.380000,0.350000,30.000000,0.420000,24.190000,236.850000,4.35,21.530000,2.900000,0.000000,0.000000,0.000000,51.6,0.660000,116.100000,62.890000,10.000000,120.4,0.000000,0.660000,16.620000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1094.56

38,09:15-09:30,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,30.570000,0.560000,12.260000,48.380000,0.350000,30.000000,0.420000,24.190000,236.850000,4.78,21.530000,2.900000,0.000000,0.000000,0.000000,55.5,0.660000,116.100000,62.890000,10.000000,129.5,0.000000,0.660000,16.620000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1107.99

39,09:30-09:45,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,30.570000,0.560000,12.260000,48.380000,0.350000,30.000000,0.420000,24.190000,236.850000,5.03,21.530000,2.900000,0.000000,0.000000,0.000000,60.6,0.660000,116.100000,62.890000,10.000000,141.4,0.000000,0.660000,16.620000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1125.24

40,09:45-10:00,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,30.570000,0.560000,12.260000,48.380000,0.350000,30.000000,0.420000,24.190000,236.850000,5.18,21.530000,2.900000,0.000000,0.000000,0.000000,66,0.660000,116.100000,62.890000,10.000000,154,0.000000,0.660000,16.620000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1143.39

41,10:00-10:15,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,31.590000,0.560000,12.260000,48.380000,0.350000,30.000000,0.420000,24.190000,236.850000,5.22,21.530000,2.900000,0.000000,0.000000,0.000000,68.7,0.660000,116.100000,62.890000,10.000000,160.3,0.000000,0.660000,16.440000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1153.27

42,10:15-10:30,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,31.590000,0.560000,12.260000,48.380000,0.350000,30.000000,0.420000,24.190000,236.850000,5.22,21.530000,2.900000,0.000000,0.000000,0.000000,73.2,0.660000,116.100000,62.890000,10.000000,170.8,0.000000,0.660000,16.440000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1168.27

43,10:30-10:45,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,31.590000,0.560000,12.260000,48.380000,0.350000,30.000000,0.420000,24.190000,236.850000,5.31,21.530000,2.900000,0.000000,0.000000,0.000000,76.2,0.660000,116.100000,62.890000,10.000000,177.8,0.000000,0.660000,16.440000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1178.36

44,10:45-11:00,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,31.590000,0.560000,12.260000,48.380000,0.350000,30.000000,0.420000,24.190000,236.850000,5.75,21.530000,2.900000,0.000000,0.000000,0.000000,78.9,0.660000,116.100000,62.890000,10.000000,184.1,0.000000,0.660000,16.440000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1187.8

45,11:00-11:15,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,31.590000,0.560000,12.260000,48.380000,0.350000,30.000000,0.420000,24.190000,236.850000,6.1,21.530000,2.900000,0.000000,0.000000,0.000000,79.5,0.660000,116.100000,62.890000,0.000000,185.5,0.000000,0.660000,10.890000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1174.6

46,11:15-11:30,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,31.590000,0.560000,12.260000,48.380000,0.350000,30.000000,0.420000,24.190000,236.850000,6.97,21.530000,2.900000,0.000000,0.000000,0.000000,79.5,0.660000,116.100000,62.890000,0.000000,185.5,0.000000,0.660000,10.890000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1175.47

47,11:30-11:45,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,31.590000,0.560000,12.260000,48.380000,0.350000,30.000000,0.420000,24.190000,236.850000,6.97,21.530000,2.900000,0.000000,0.000000,0.000000,79.5,0.660000,116.100000,62.890000,0.000000,185.5,0.000000,0.660000,10.890000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1175.47

48,11:45-12:00,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,31.590000,0.560000,12.260000,48.380000,0.350000,30.000000,0.420000,24.190000,236.850000,7.06,21.530000,2.900000,0.000000,0.000000,0.000000,79.5,0.660000,116.100000,62.890000,0.000000,185.5,0.000000,0.660000,10.890000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1175.56

49,12:00-12:15,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,31.590000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,6.97,21.530000,2.900000,0.000000,0.000000,0.000000,79.5,0.660000,116.100000,62.890000,0.000000,185.5,0.000000,0.660000,10.890000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1145.47

50,12:15-12:30,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,31.590000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,6.97,21.530000,2.900000,0.000000,0.000000,0.000000,81,0.660000,116.100000,62.890000,0.000000,189,0.000000,0.660000,10.890000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1150.47

