Column1,Block,NR/2025/27622/A/79574,GNARE/NR/2024/12/20/3668,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/13/7863,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/4973,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/9719,NR/2025/28762/C,NR/2025/28645/C,NR/2025/28763/C,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/28766/C,NR/2025/28673/C,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/5280,NR/2025/28757/C,NR/2025/28733/C,NR/2025/28765/C,NR/2025/28634/C,NR/2025/28758/C,NR/2025/28642/C,GNA/NR/2025/06/01/7663,NR/30092023/31122025/SH-07,NR/2025/28643/C,NR/2025/28686/C,GNA/NR/2025/06/01/2868,NR/2025/28857/C,NR/2025/28714/C,NR/2025/28567/C,NR/2025/26952/A/79639,NR/2025/28716/C,NR/2025/28722/C,NR/2025/27499/A/80057,NR/2025/26785/A/79582,NR/2025/27728/A/80046,NR/2025/28692/C,NR/2025/28723/C,NR/2025/27242/A/80070,NR/2025/27725/A/80048,NR/2025/27726/A/80047,NR/2025/27462/A/79576,NR/2025/28693/C,NR/2025/28138/A/79990,NR/2025/27088/A/80078,NR/2025/26889/A/80058,NR/2025/27724/A/79664,NR/2025/27167/A/80049,NR/2025/27168/A/80056,NR/2025/28717/C,NR/2025/26085/A/79558,NR/2025/28732/C,NR/2025/28718/C,NR/2025/27281/A/80104,NR/2025/26564/A/80019,NR/2025/28141/A/80166,NR/2025/26975/A/80053,NR/2025/27162/A/80052,NR/2025/28140/A/80165,NR/2025/26563/A/80018,NR/2025/28721/C,NR/2025/27157/A/79726,NR/2025/26861/A/80028,NR/2025/28712/C,NR/2025/26561/A/80017,NR/2025/26569/A/80020,NR/2025/28603/C,NR/2025/26445/A/80083,NR/2025/26570/A/80021,NR/2025/26777/A/79650,NR/2025/28559/C,NR/2025/26860/A/80002,NR/2025/27782/A/80044,NR/2025/27727/A/80045,NR/2025/28139/A/80164,NR/2025/27356/A/80167,Total
3,00:30-00:45,0,0,24.16,62.81,0,96.63,11.9,48.32,32,24.16,32.85,0,87.93,16.92,96.63,146.88,48.32,24.16,11.91,170.07,48.32,33.05,0,48.32,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,8.7,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,38.65,192.64,5.8,10.63,24.16,24.16,0,0.68,96.63,0,24.88,0,135.28,27.06,55.99,33.82,144.94,0,217.32,193.26,0,144.94,144.94,0,63.58,0,193.26,0,106.29,8.78,26.35,28.99,0,3377.3600000000006

4,00:45-01:00,0,0,24.16,62.81,0,96.63,11.9,48.32,32,24.16,32.85,0,87.93,16.92,96.63,146.88,48.32,24.16,11.91,170.07,48.32,33.05,0,48.32,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,8.7,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,38.65,192.64,5.8,10.63,24.16,24.16,0,0.68,96.63,0,24.88,0,135.28,27.06,55.99,33.82,144.94,0,217.32,193.26,0,144.94,144.94,0,63.58,0,193.26,0,106.29,8.78,26.35,28.99,0,3377.3600000000006

5,01:00-01:15,0,0,24.16,62.81,0,96.63,11.9,48.32,32,24.16,32.85,0,87.93,16.74,96.63,146.88,48.32,24.16,11.91,170.07,48.32,33.05,0,48.32,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,8.7,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,38.65,192.64,5.8,10.63,24.16,24.16,0,0.68,96.63,0,24.88,0,135.28,27.06,55.99,33.82,144.94,0,217.32,193.26,0,144.94,144.94,0,63.58,0,193.26,0,106.29,8.78,26.35,28.99,0,3377.180000000001

6,01:15-01:30,0,0,24.16,62.81,0,96.63,11.9,48.32,32,24.16,32.85,0,87.93,16.74,96.63,146.88,48.32,24.16,11.91,170.07,48.32,33.05,0,48.32,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,8.7,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,38.65,192.64,5.8,10.63,24.16,24.16,0,0.68,96.63,0,24.88,0,135.28,27.06,55.99,33.82,144.94,0,217.32,193.26,0,144.94,144.94,0,63.58,0,193.26,0,106.29,8.78,26.35,28.99,0,3377.180000000001

7,01:30-01:45,0,0,24.16,62.81,0,96.63,11.9,48.32,32,24.16,32.85,0,87.93,16.74,96.63,146.88,48.32,24.16,11.91,170.07,48.32,33.05,0,48.32,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,8.7,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,38.65,192.64,5.8,10.63,24.16,24.16,0,0.68,96.63,0,24.88,0,135.28,27.06,55.99,33.82,144.94,0,217.32,193.26,0,144.94,144.94,0,63.58,0,193.26,0,106.29,8.78,26.35,28.99,0,3377.180000000001

8,01:45-02:00,0,0,24.16,62.81,0,96.63,11.9,48.32,32,24.16,32.85,0,87.93,16.74,96.63,146.88,48.32,24.16,11.91,170.07,48.32,33.05,0,48.32,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,8.7,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,38.65,192.64,5.8,10.63,24.16,24.16,0,0.68,96.63,0,24.88,0,135.28,27.06,55.99,33.82,144.94,0,217.32,193.26,0,144.94,144.94,0,63.58,0,193.26,0,106.29,8.78,26.35,28.99,0,3377.180000000001

9,02:00-02:15,0,0,24.16,62.81,193.26,96.63,11.9,48.32,32,24.16,32.85,0,87.93,16.47,96.63,146.88,48.32,24.16,11.91,170.07,48.32,33.05,0,48.32,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,38.65,192.64,0,10.63,24.16,24.16,0,0.63,96.63,0,24.88,0,135.28,27.06,55.99,33.82,144.94,0,217.32,0,0,144.94,144.94,0,63.58,0,193.26,0,106.29,8.78,26.35,28.99,0,3362.3600000000006

10,02:15-02:30,0,0,24.16,62.81,193.26,96.63,11.9,48.32,32,24.16,32.85,0,87.93,16.47,96.63,146.88,48.32,24.16,11.91,170.07,48.32,33.05,0,48.32,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,38.65,192.64,0,10.63,24.16,24.16,0,0.63,96.63,0,24.88,0,135.28,27.06,55.99,33.82,144.94,0,217.32,0,0,144.94,144.94,0,63.58,0,193.26,0,106.29,8.78,26.35,28.99,0,3362.3600000000006

11,02:30-02:45,0,0,24.16,62.81,193.26,96.63,11.9,48.32,32,24.16,32.85,0,87.93,14.98,96.63,146.88,48.32,24.16,11.91,170.07,48.32,33.05,0,48.32,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,38.65,192.64,0,10.63,24.16,24.16,0,0.63,96.63,0,24.88,0,135.28,27.06,55.99,33.82,144.94,0,217.32,0,0,144.94,144.94,0,63.58,0,193.26,0,106.29,8.78,26.35,28.99,0,3360.870000000001

12,02:45-03:00,0,0,24.16,62.81,193.26,96.63,11.9,48.32,32,24.16,32.85,0,87.93,14.98,96.63,146.88,48.32,24.16,11.91,170.07,48.32,33.05,0,48.32,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,38.65,192.64,0,10.63,24.16,24.16,0,0.63,96.63,0,24.88,0,135.28,27.06,55.99,33.82,144.94,0,217.32,0,0,144.94,144.94,0,63.58,0,193.26,0,106.29,8.78,26.35,28.99,0,3360.870000000001

13,03:00-03:15,0,0,24.16,62.81,193.26,0,11.9,48.32,32,24.16,0,0,0,14.71,0,146.88,48.32,24.16,11.91,0,0,0,0,0,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,38.65,192.64,0,10.63,24.16,24.16,0,0.53,0,0,24.88,0,135.28,5.8,55.99,33.82,144.94,0,217.32,0,0,144.94,144.94,0,63.58,0,193.26,0,106.29,8.78,26.35,28.99,0,2628.8100000000004

14,03:15-03:30,0,0,24.16,62.81,193.26,0,11.9,48.32,32,24.16,0,0,0,14.71,0,146.88,48.32,24.16,11.91,0,0,0,0,0,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,38.65,192.64,0,10.63,24.16,24.16,0,0.53,0,0,24.88,0,135.28,5.8,55.99,33.82,144.94,0,217.32,0,0,144.94,144.94,0,63.58,0,193.26,0,106.29,8.78,26.35,28.99,0,2628.8100000000004

15,03:30-03:45,0,0,24.16,62.81,193.26,0,11.9,48.32,32,24.16,0,0,0,14.71,0,146.88,48.32,24.16,11.91,0,0,0,0,0,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,38.65,192.64,0,10.63,24.16,24.16,0,0.53,0,0,24.88,0,135.28,5.8,55.99,33.82,144.94,0,217.32,0,0,144.94,144.94,0,63.58,0,193.26,0,106.29,8.78,26.35,28.99,0,2628.8100000000004

16,03:45-04:00,0,0,24.16,62.81,193.26,0,11.9,48.32,32,24.16,0,0,0,14.71,0,146.88,48.32,24.16,11.91,0,0,0,0,0,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,38.65,192.64,0,10.63,24.16,24.16,0,0.53,0,0,24.88,0,135.28,5.8,55.99,33.82,144.94,0,217.32,0,0,144.94,144.94,0,63.58,0,193.26,0,106.29,8.78,26.35,28.99,0,2628.8100000000004

17,04:00-04:15,0,0,24.16,62.81,193.26,0,11.9,48.32,32,24.16,0,0,0,14.43,0,146.88,48.32,24.16,11.91,0,0,0,0,0,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,38.65,192.64,0,10.63,24.16,24.16,0,0.53,0,0,24.88,0,135.28,5.8,55.99,33.82,0,0,0,0,0,144.94,0,0,63.58,0,193.26,0,106.29,8.78,26.35,28.99,0,2121.3300000000004

18,04:15-04:30,0,0,24.16,62.81,193.26,0,11.9,48.32,32,24.16,0,0,0,14.43,0,146.88,48.32,24.16,11.91,0,0,0,0,0,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,38.65,192.64,0,10.63,24.16,24.16,0,0.53,0,0,24.88,0,135.28,5.8,55.99,33.82,0,0,0,0,0,144.94,0,0,63.58,0,193.26,0,106.29,8.78,26.35,28.99,0,2121.3300000000004

19,04:30-04:45,0,0,24.16,62.81,193.26,0,11.9,48.32,32,24.16,0,0,0,14.43,0,146.88,48.32,24.16,11.91,0,0,0,0,0,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,38.65,192.64,0,10.63,24.16,24.16,0,0.53,0,0,24.88,0,135.28,5.8,55.99,33.82,0,0,0,0,0,144.94,0,0,63.58,0,193.26,0,106.29,8.78,26.35,28.99,0,2121.3300000000004

20,04:45-05:00,0,0,24.16,62.81,193.26,0,11.9,48.32,32,24.16,0,0,0,14.43,0,146.88,48.32,24.16,11.91,0,0,0,0,0,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,38.65,192.64,0,10.63,24.16,24.16,0,0.53,0,0,24.88,0,135.28,5.8,55.99,33.82,0,0,0,0,0,144.94,0,0,63.58,0,193.26,0,106.29,8.78,26.35,28.99,0,2121.3300000000004

21,05:00-05:15,0,0,24.16,62.81,193.26,0,11.9,48.32,32,24.16,0,0,0,14.06,0,0,48.32,24.16,11.91,0,0,0,0,0,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,0,192.64,0,10.63,24.16,24.16,0,0.63,0,0,24.88,0,0,5.8,55.99,0,0,0,0,0,0,144.94,0,0,63.58,0,193.26,0,106.29,8.78,26.35,0,0,1737.4400000000005

22,05:15-05:30,0,0,24.16,62.81,193.26,0,11.9,48.32,32,24.16,0,0,0,14.06,0,0,48.32,24.16,11.91,0,0,0,0,0,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,0,192.64,0,10.63,24.16,24.16,0,0.63,0,0,24.88,0,0,5.8,55.99,0,0,0,0,0,0,144.94,0,0,63.58,0,193.26,0,106.29,8.78,26.35,0,0,1737.4400000000005

23,05:30-05:45,0,0,24.16,62.81,193.26,0,11.9,48.32,32,24.16,0,0,0,14.06,0,0,48.32,24.16,11.91,0,0,0,0,0,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,0,192.64,0,10.63,24.16,24.16,0,0.63,0,0,24.88,0,0,5.8,55.99,0,0,0,0,0,0,144.94,0,0,63.58,0,193.26,0,106.29,8.78,26.35,0,0,1737.4400000000005

24,05:45-06:00,0,0,24.16,62.81,193.26,0,11.9,48.32,32,24.16,0,0,0,14.06,0,0,48.32,24.16,11.91,0,0,0,0,0,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,0,192.64,0,9.66,24.16,24.16,0,0.63,0,0,24.88,0,0,5.8,55.99,0,0,0,0,0,0,144.94,0,0,63.58,0,193.26,0,106.29,8.78,26.35,0,1,1737.4700000000005

25,06:00-06:15,0,0.3,24.16,62.81,193.26,0,11.9,48.32,32,24.16,0,0,0,13.68,0,0,48.32,24.16,11.91,0,0,0,0,0,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,0,192.64,0,9.66,24.16,24.16,0,0.68,0,0,24.88,0,0,5.8,55.99,0,0,0,0,0,0,144.94,0,0,63.58,0,193.26,0,106.29,8.78,26.35,0,3,1739.4400000000003

26,06:15-06:30,0,0.3,24.16,62.81,193.26,0,11.9,48.32,32,24.16,0,0,0,13.68,0,0,48.32,24.16,11.91,0,0,0,0,0,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,0,192.64,0,9.66,24.16,24.16,0,0.68,0,0,24.88,0,0,5.8,55.99,0,0,0,0,0,0,144.94,0,0,63.58,0,193.26,0,106.29,8.78,26.35,0,6,1742.4400000000003

27,06:30-06:45,0,6.35,24.16,62.81,193.26,0,11.9,48.32,32,24.16,0,0,0,13.68,0,0,48.32,24.16,11.91,0,0,0,0,0,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,0,192.64,0,9.66,24.16,24.16,0,0.68,0,0,24.88,0,0,5.8,55.99,0,0,0,0,0,0,144.94,0,0,63.58,0,193.26,0,106.29,8.78,26.35,0,11,1753.4900000000002

28,06:45-07:00,0,9.36,24.16,62.81,193.26,0,11.9,48.32,32,24.16,0,0,0,13.68,0,0,48.32,24.16,11.91,0,0,0,0,0,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,0,192.64,0,9.66,24.16,24.16,0,0.68,0,0,24.88,0,0,5.8,55.99,0,0,0,0,0,0,144.94,0,0,63.58,0,193.26,0,106.29,8.78,26.35,0,18,1763.5000000000002

29,07:00-07:15,0,13.25,24.16,62.81,193.26,0,11.9,48.32,32,24.16,0,0,0,13.5,0,0,48.32,24.16,11.91,0,0,0,0,0,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,0,192.64,0,9.66,24.16,24.16,0,0.87,0,0,24.88,0,0,5.8,55.99,0,0,0,0,0,0,144.94,0,0,63.58,0,193.26,0,106.29,8.78,26.35,0,28,1777.4

30,07:15-07:30,0,18.18,24.16,62.81,193.26,0,11.9,48.32,32,24.16,0,0,0,13.5,0,0,48.32,24.16,11.91,0,0,0,0,0,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,0,192.64,0,9.66,24.16,24.16,0,0.87,0,0,24.88,0,0,5.8,55.99,0,0,0,0,0,0,144.94,0,0,63.58,0,193.26,0,106.29,8.78,26.35,0,42,1796.3300000000002

31,07:30-07:45,0,24.66,24.16,62.81,193.26,0,11.9,48.32,32,24.16,0,0,0,13.5,0,0,48.32,24.16,11.91,0,0,0,0,0,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,0,192.64,0,9.66,24.16,24.16,0,0.87,0,0,24.88,0,0,5.8,55.99,0,0,0,0,0,0,144.94,0,0,63.58,0,193.26,0,106.29,8.78,26.35,0,53,1813.8100000000002

32,07:45-08:00,0,30.84,24.16,62.81,193.26,0,11.9,48.32,32,24.16,0,0,0,13.5,0,0,48.32,24.16,11.91,0,0,0,0,0,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,26.35,0,102.36,48.32,8.78,26.35,9.66,0,0,192.64,0,9.66,24.16,24.16,0,0.87,0,0,24.88,0,0,5.8,55.99,0,0,0,0,0,0,144.94,0,0,63.58,0,193.26,0,106.29,8.78,26.35,0,67,1833.99

33,08:00-08:15,5.07,37.81,24.16,62.81,193.26,0,11.9,48.32,32,24.16,0,0,0,13.23,0,0,48.32,24.16,11.91,0,0,0,0,0,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,37.34,0,102.36,48.32,14.64,43.92,9.66,0,0,192.64,0,9.66,24.16,24.16,0,0.97,0,0,24.88,0,0,5.8,55.99,0,0,0,0,0,0,144.94,0,0,63.58,0,193.26,0,106.29,14.64,43.92,0,88,1924.7100000000005

34,08:15-08:30,5.8,44.82,24.16,62.81,193.26,0,11.9,48.32,32,24.16,0,0,0,13.23,0,0,48.32,24.16,11.91,0,0,0,0,0,0,48.32,32,0,0,29.16,0,0,0,0,0,28.99,0,0,37.34,0,102.36,48.32,14.64,43.92,9.66,0,0,192.64,0,10.63,24.16,24.16,0,0.97,0,0,24.88,0,0,5.8,55.99,0,0,0,0,0,0,144.94,0,0,63.58,0,193.26,0,106.29,14.64,43.92,0,102,1947.4200000000005

