Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/28774/A/84363,NR/2025/27356/A/84567,NR/2025/26889/A/84846,NR/2025/26785/A/84369,NR/2025/27726/A/84884,NR/2025/26085/A/84346,NR/2025/27168/A/84837,NR/2025/30428/C,NR/2025/27499/A/84845,NR/2025/29816/A/84481,NR/2025/30382/C,NR/2025/27242/A/84864,NR/2025/27176/A/84890,NR/2025/27088/A/84920,NR/2025/30384/C,NR/2025/26445/A/84924,NR/2025/26861/A/84861,NR/2025/27728/A/84883,NR/2025/27187/A/84888,NR/2025/26952/A/84451,NR/2025/27185/A/84889,NR/2025/26562/A/84819,NR/2025/28719/A/84482,NR/2025/27500/A/84368,NR/2025/27281/A/84925,NR/2025/30370/C,NR/2025/26975/A/84891,NR/2025/27157/A/84490,NR/2025/30246/C,NR/2025/30367/C,NR/2025/27100/A/84503,NR/2025/30368/C,NR/2025/27782/A/84881,NR/2025/29451/A/84566,NR/2025/26860/A/84816,NR/2025/26566/A/84821,NR/2025/27727/A/84882,NR/2025/27506/A/84367,NR/2025/30383/C,NR/2025/26572/A/84823,NR/2025/26571/A/84822,NR/2025/27725/A/84885,NR/2025/26777/A/84491,NR/2025/30319/C,NR/2025/30245/C,NR/2025/30320/C,NR/2025/26565/A/84820,NR/2025/30324/C,NR/2025/30240/C,NR/2025/30380/C,NR/2025/30224/C,NR/2025/27167/A/84836,NR/2025/30267/C,NR/2025/30381/C,NR/2025/30307/C,NR/2025/30356/C,NR/2025/30252/C,NR/2025/30368/C/Alternate/1,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/7663,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2868,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/5280,Total
3,00:30-00:45,0,0,0,5.78,0,26.25,0.67,20.45,0,8.66,1.92,0,40.91,105.88,163.62,0,96.25,163.62,26.25,19.25,0,19.25,144.38,10.59,7.7,24.78,0,26.95,216.47,0,27.91,25.1,0,7.7,96.25,89.99,0,26.25,1.92,0,0,144.38,8.75,163.62,0,0,0,144.38,0,0,0,0,20.45,0,0,0,0,0,163.87,15.26,20.45,40.91,11.86,0,20.76,53.18,20.45,40.91,27.89,27.89,20.45,19.25,21.56,14.18,15.94,11.67,2432.8099999999995

4,00:45-01:00,0,0,0,5.78,0,26.25,0.67,20.45,0,8.66,1.92,0,40.91,105.88,163.62,0,96.25,163.62,26.25,19.25,0,19.25,144.38,10.59,7.7,24.78,0,26.95,216.47,0,27.91,25.1,0,7.7,96.25,89.99,0,26.25,1.92,0,0,144.38,8.75,163.62,0,0,0,144.38,0,0,0,0,20.45,0,0,0,0,0,163.87,15.26,20.45,40.91,11.86,0,20.76,53.18,20.45,40.91,27.89,27.89,20.45,19.25,21.56,14.18,15.94,11.67,2432.8099999999995

5,01:00-01:15,0,0,0,5.78,0,26.25,0.67,20.45,0,8.66,1.92,0,40.91,105.88,163.62,0,96.25,163.62,26.25,19.25,0,19.25,144.38,10.59,7.7,24.78,0,26.95,216.47,0,27.91,25.1,0,7.7,96.25,89.99,0,26.25,1.92,0,0,144.38,8.75,163.62,0,0,0,144.38,0,0,0,0,20.45,0,0,0,0,0,163.87,15.26,20.45,40.91,11.86,0,20.76,53.18,20.45,40.91,27.89,27.89,20.45,19.25,21.56,14.18,15.84,11.67,2432.7099999999996

6,01:15-01:30,0,0,0,5.78,0,26.25,0.67,20.45,0,8.66,1.92,0,40.91,105.88,163.62,0,96.25,163.62,26.25,19.25,0,19.25,144.38,10.59,7.7,24.78,0,26.95,216.47,0,27.91,25.1,0,7.7,96.25,89.99,0,26.25,1.92,0,0,144.38,8.75,163.62,0,0,0,144.38,0,0,0,0,20.45,0,0,0,0,0,163.87,15.26,20.45,40.91,11.86,0,20.76,53.18,20.45,40.91,27.89,27.89,20.45,19.25,21.56,14.18,15.84,11.67,2432.7099999999996

7,01:30-01:45,0,0,0,5.78,0,26.25,0.67,20.45,0,8.66,1.92,0,40.91,105.88,163.62,0,96.25,163.62,26.25,19.25,0,19.25,144.38,10.59,7.7,24.78,0,26.95,216.47,0,27.91,25.1,0,7.7,96.25,89.99,0,26.25,1.92,0,0,144.38,8.75,163.62,0,0,0,144.38,0,0,0,0,20.45,0,0,0,0,0,163.87,15.26,20.45,40.91,11.86,0,20.76,53.18,20.45,40.91,27.89,27.89,20.45,19.25,21.56,14.18,15.84,11.67,2432.7099999999996

8,01:45-02:00,0,0,0,5.78,0,26.25,0.67,20.45,0,8.66,1.92,0,40.91,105.88,163.62,0,96.25,163.62,26.25,19.25,0,19.25,144.38,10.59,7.7,24.78,0,26.95,216.47,0,27.91,25.1,0,7.7,96.25,89.99,0,26.25,1.92,0,0,144.38,8.75,163.62,0,0,0,144.38,0,0,0,0,20.45,0,0,0,0,0,163.87,15.26,20.45,40.91,11.86,0,20.76,53.18,20.45,40.91,27.89,27.89,20.45,19.25,21.56,14.18,15.84,11.67,2432.7099999999996

9,02:00-02:15,0,0,0,0,0,26.25,0.63,20.45,0,0,1.92,0,40.91,105.88,163.62,0,96.25,0,26.25,19.25,0,19.25,144.38,10.59,7.7,24.78,0,26.95,216.47,0,27.91,0,0,7.7,96.25,89.99,0,26.25,1.92,0,0,144.38,8.75,163.62,0,0,0,144.38,0,0,0,0,20.45,0,0,0,0,0,163.87,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,21.56,14.18,15.76,11.67,2391.1299999999997

10,02:15-02:30,0,0,0,0,0,26.25,0.63,20.45,0,0,1.92,0,40.91,105.88,163.62,0,96.25,0,26.25,19.25,0,19.25,144.38,10.59,7.7,24.78,0,26.95,216.47,0,27.91,0,0,7.7,96.25,89.99,0,26.25,1.92,0,0,144.38,8.75,163.62,0,0,0,144.38,0,0,0,0,20.45,0,0,0,0,0,163.87,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,21.56,14.18,15.76,11.67,2391.1299999999997

11,02:30-02:45,0,0,0,0,0,26.25,0.63,20.45,0,0,1.92,0,40.91,105.88,163.62,0,96.25,0,26.25,19.25,0,19.25,144.38,10.59,7.7,24.78,0,26.95,216.47,0,27.91,0,0,7.7,96.25,89.99,0,26.25,1.92,0,0,144.38,8.75,163.62,0,0,0,144.38,0,0,0,0,20.45,0,0,0,0,0,163.87,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,21.56,14.18,15.76,11.67,2391.1299999999997

12,02:45-03:00,0,0,0,0,0,26.25,0.63,20.45,0,0,1.92,0,40.91,105.88,163.62,0,96.25,0,26.25,19.25,0,19.25,144.38,10.59,7.7,24.78,0,26.95,216.47,0,27.91,0,0,7.7,96.25,89.99,0,26.25,1.92,0,0,144.38,8.75,163.62,0,0,0,144.38,0,0,0,0,20.45,0,0,0,0,0,163.87,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,21.56,14.18,15.76,11.67,2391.1299999999997

13,03:00-03:15,0,0,0,0,0,26.25,0.53,20.45,0,0,1.92,0,40.91,76.63,163.62,0,96.25,0,26.25,19.25,0,19.25,144.38,10.59,7.7,24.78,0,5.78,216.47,0,27.91,0,163.87,7.7,96.25,89.99,0,26.25,1.92,0,0,144.38,8.75,163.62,0,0,0,144.38,0,0,0,0,20.45,0,0,0,0,0,0,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,21.56,14.18,15.56,11.67,2340.4099999999994

14,03:15-03:30,0,0,0,0,0,26.25,0.53,20.45,0,0,1.92,0,40.91,76.63,163.62,0,96.25,0,26.25,19.25,0,19.25,144.38,10.59,7.7,24.78,0,5.78,216.47,0,27.91,0,163.87,7.7,96.25,89.99,0,26.25,1.92,0,0,144.38,8.75,163.62,0,0,0,144.38,0,0,0,0,20.45,0,0,0,0,0,0,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,21.56,14.18,15.56,11.67,2340.4099999999994

15,03:30-03:45,0,0,0,0,0,26.25,0.53,20.45,0,0,1.92,0,40.91,76.63,163.62,0,96.25,0,26.25,19.25,0,19.25,144.38,10.59,7.7,24.78,0,5.78,216.47,0,27.91,0,163.87,7.7,96.25,89.99,0,26.25,1.92,0,0,144.38,8.75,163.62,0,0,0,144.38,0,0,0,0,20.45,0,0,0,0,0,0,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,21.56,14.18,15.56,11.67,2340.4099999999994

16,03:45-04:00,0,0,0,0,0,26.25,0.53,20.45,0,0,1.92,0,40.91,76.63,163.62,0,96.25,0,26.25,19.25,0,19.25,144.38,10.59,7.7,24.78,0,5.78,216.47,0,27.91,0,163.87,7.7,96.25,89.99,0,26.25,1.92,0,0,144.38,8.75,163.62,0,0,0,144.38,0,0,0,0,20.45,0,0,0,0,0,0,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,21.56,14.18,15.56,11.67,2340.4099999999994

17,04:00-04:15,0,0,0,0,0,26.25,0.53,20.45,0,0,1.92,0,40.91,76.63,163.62,0,96.25,0,26.25,19.25,0,19.25,144.38,10.59,7.7,24.78,0,5.78,0,0,27.91,0,163.87,7.7,96.25,89.99,0,26.25,1.92,0,0,0,8.75,163.62,0,0,0,0,0,0,0,0,20.45,0,0,0,0,0,0,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,21.56,14.18,15.38,11.67,1835.000000000001

18,04:15-04:30,0,0,0,0,0,26.25,0.53,20.45,0,0,1.92,0,40.91,76.63,163.62,0,96.25,0,26.25,19.25,0,19.25,144.38,10.59,7.7,24.78,0,5.78,0,0,27.91,0,163.87,7.7,96.25,89.99,0,26.25,1.92,0,0,0,8.75,163.62,0,0,0,0,0,0,0,0,20.45,0,0,0,0,0,0,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,21.56,14.18,15.38,11.67,1835.000000000001

19,04:30-04:45,0,0,0,0,0,26.25,0.53,20.45,0,0,1.92,0,40.91,76.63,163.62,0,96.25,0,26.25,19.25,0,19.25,144.38,10.59,7.7,24.78,0,5.78,0,0,27.91,0,163.87,7.7,96.25,89.99,0,26.25,1.92,0,0,0,8.75,163.62,0,0,0,0,0,0,0,0,20.45,0,0,0,0,0,0,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,21.56,14.18,15.38,11.67,1835.000000000001

20,04:45-05:00,0,0,0,0,0,26.25,0.53,20.45,0,0,1.92,0,40.91,76.63,163.62,0,96.25,0,26.25,19.25,0,19.25,144.38,10.59,7.7,24.78,0,5.78,0,0,27.91,0,163.87,7.7,96.25,89.99,0,26.25,1.92,0,0,0,8.75,163.62,0,0,0,0,0,0,0,0,20.45,0,0,0,0,0,0,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,21.56,14.18,15.38,11.67,1835.000000000001

21,05:00-05:15,0,0,0,0,0,26.25,0.63,20.45,0,0,1.92,0,40.91,76.63,163.62,0,96.25,0,26.25,0,0,19.25,144.38,10.59,7.7,24.78,0,5.78,0,0,27.91,0,163.87,7.7,0,89.99,0,26.25,1.92,0,0,0,8.75,163.62,0,0,0,0,0,0,0,0,20.45,0,0,0,0,0,0,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,22.49,14.18,15.11,11.67,1720.2600000000007

22,05:15-05:30,0,0,0,0,0,26.25,0.63,20.45,0,0,1.92,0,40.91,76.63,163.62,0,96.25,0,26.25,0,0,19.25,144.38,10.59,7.7,24.78,0,5.78,0,0,27.91,0,163.87,7.7,0,89.99,0,26.25,1.92,0,0,0,8.75,163.62,0,0,0,0,0,0,0,0,20.45,0,0,0,0,0,0,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,22.49,14.18,15.11,11.67,1720.2600000000007

23,05:30-05:45,0,0,0,0,0,26.25,0.63,20.45,0,0,0.96,0,40.91,76.63,163.62,0,96.25,0,26.25,0,0,19.25,144.38,10.59,7.7,24.78,0,5.78,0,0,27.91,0,163.87,7.7,0,89.99,0,26.25,1.92,0,0,0,8.75,163.62,0,0,0,0,0,0,0,0,20.45,0,0,0,0,0,0,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,22.49,14.18,15.11,11.67,1719.3000000000006

24,05:45-06:00,0,0,1,0,0,26.25,0.63,20.45,0,0,1.92,0,40.91,76.63,163.62,0,96.25,0,26.25,0,0,19.25,144.38,9.62,7.7,24.78,0,5.78,0,0,27.91,0,163.87,7.7,0,89.99,0,26.25,1.92,0,0,0,8.75,163.62,0,0,0,0,0,0,0,0,20.45,0,0,0,0,0,0,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,22.49,14.18,15.11,11.67,1720.2900000000004

25,06:00-06:15,0.77,0,3,0,0,26.25,0.67,20.45,0,0,1.92,0,40.91,76.63,163.62,0,96.25,0,26.25,0,0,19.25,144.38,9.62,7.7,24.78,0,5.78,0,0,27.91,0,163.87,7.7,0,89.99,0,26.25,1.92,0,0,0,8.75,163.62,0,0,0,0,0,0,0,0,20.45,0,0,0,0,0,0,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,22.49,14.18,14.92,11.67,1722.9100000000005

26,06:15-06:30,2.7,0,7,0,0,26.25,0.67,20.45,0,0,1.92,0,40.91,76.63,163.62,0,96.25,0,26.25,0,0,19.25,144.38,9.62,7.7,24.78,0,5.78,0,0,27.91,0,163.87,7.7,0,89.99,0,26.25,1.92,0,0,0,8.75,163.62,0,0,0,0,0,0,0,0,20.45,0,0,0,0,0,0,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,22.49,14.18,14.92,11.67,1728.8400000000008

27,06:30-06:45,5.73,0,11,0,0,26.25,0.67,20.45,0,0,1.92,0,40.91,76.63,163.62,0,96.25,0,26.25,0,0,19.25,144.38,9.62,7.7,24.78,0,5.78,0,0,27.91,0,163.87,7.7,0,89.99,0,26.25,1.92,0,0,0,8.75,163.62,0,0,0,0,0,0,0,0,20.45,0,0,0,0,0,0,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,22.49,14.18,14.92,11.67,1735.8700000000006

28,06:45-07:00,8.87,0,14,0,0,26.25,0.67,20.45,0,0,0.96,0,40.91,76.63,163.62,0,96.25,0,26.25,0,0,19.25,144.38,9.62,7.7,24.78,0,5.78,0,0,27.91,0,163.87,7.7,0,89.99,0,26.25,1.92,0,0,0,8.75,163.62,0,0,0,0,0,0,0,0,20.45,0,0,0,0,0,0,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,22.49,14.18,14.92,11.67,1741.0500000000009

29,07:00-07:15,12.24,0,25,0,0,26.25,0.87,20.45,0,0,0.96,0,40.91,76.63,163.62,0,96.25,0,26.25,0,0,19.25,144.38,9.62,7.7,24.78,0,5.78,0,0,27.91,0,163.87,7.7,0,89.99,0,26.25,1.92,0,0,0,8.75,163.62,0,0,0,0,0,0,0,0,20.45,0,0,0,0,0,0,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,22.49,14.18,14.83,11.67,1755.5300000000004

30,07:15-07:30,15.79,0,32,0,0,26.25,0.87,20.45,0,0,0.96,0,40.91,76.63,163.62,0,96.25,0,26.25,0,0,19.25,144.38,9.62,7.7,24.78,0,5.78,0,0,27.91,0,163.87,7.7,0,89.99,0,26.25,1.92,0,0,0,8.75,163.62,0,0,0,0,0,0,0,0,20.45,0,0,0,0,0,0,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,22.49,14.18,14.83,11.67,1766.0800000000006

31,07:30-07:45,22.75,0,35,0,0,26.25,0.87,20.45,0,0,0.96,0,40.91,76.63,163.62,0,96.25,0,26.25,0,0,19.25,144.38,9.62,7.7,24.78,0,5.78,0,0,27.91,0,163.87,7.7,0,89.99,0,26.25,1.92,0,0,0,8.75,163.62,0,0,0,0,0,0,0,0,20.45,0,0,0,0,0,0,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,22.49,14.18,14.83,11.67,1776.0400000000006

32,07:45-08:00,26.78,0,42,0,0,26.25,0.87,20.45,0,0,0.96,0,40.91,76.63,163.62,0,96.25,0,26.25,0,0,19.25,144.38,9.62,7.7,24.78,0,5.78,0,0,27.91,0,163.87,7.7,0,89.99,0,26.25,1.92,0,0,0,8.75,163.62,0,0,0,0,0,0,0,0,20.45,0,0,0,0,0,0,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,22.49,14.18,14.83,11.67,1787.0700000000008

33,08:00-08:15,31.98,4.45,56,0,0,43.75,0.96,20.45,0,0,1.92,0,40.91,76.63,163.62,0,96.25,0,37.19,0,0,19.25,144.38,9.62,7.7,24.78,0,5.78,0,0,27.91,0,163.87,7.7,0,89.99,0,43.75,1.92,0,0,0,14.58,163.62,0,0,0,0,0,0,0,0,20.45,0,0,0,0,0,0,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,22.49,14.18,14.74,11.67,1863.4500000000007

34,08:15-08:30,37.18,5.14,70,0,0,43.75,0.96,20.45,0,0,0.96,0,40.91,76.63,163.62,0,96.25,0,37.19,0,0,19.25,144.38,10.59,7.7,24.78,0,5.78,0,0,27.91,0,163.87,7.7,0,89.99,0,43.75,1.92,0,0,0,14.58,163.62,0,0,0,0,0,0,0,0,20.45,0,0,0,0,0,0,15.26,20.45,40.91,11.86,163.62,20.76,53.18,20.45,40.91,26.93,26.93,20.45,19.25,22.49,14.18,14.74,11.67,1883.3500000000008

