Column1,Time,NR/01102023/31102037/L_NR_2019_11,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,NR/01102023/22052037/LT-59,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,SR/01102023/07102043/L_NR_2018_61,GNARE/SR/2024/09/21/2911,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/21/4323,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/09/01/7119,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/21/8479,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/16/2535,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/31052040/LT-31,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/6566
7,01:30-01:45,0,0,0,0,0,0,0,0,0,32.41,0,0,23.34,0,64.33,0,0,64.33,23.33,70,19.66,0,274.04,5.78,8.81,0,28.26,46.53,30,220.98,86.16,17.52,0,32.95,18.51,0,2.13,145.38,30,81.41,7.98,0,10.91,0,82.38,20.6

8,01:45-02:00,0,0,0,0,0,0,0,0,0,33.01,0,0,23.5,0,64,0,0,64,23.5,70.5,19.34,0,274.04,5.78,8.81,0,28.26,46.53,30,220.98,86.16,17.52,0,32.95,18.51,0,2.13,145.38,30,81.41,7.98,0,10.91,0,82.38,20.6

9,02:00-02:15,0,0,0,0,0,0,0,0,0,33.41,0,0,23.16,0,63.67,0,0,63.67,23.17,69.5,19,0,274.04,5.69,8.81,0,28.26,33.23,0,220.98,86.16,17.52,0,32.95,18.51,0,2.13,145.38,32,81.41,7.98,0,10.83,0,82.38,20.6

10,02:15-02:30,0,0,0,0,0,0,0,0,0,33.61,0,0,23.34,0,63.33,0,0,63.33,23.33,70,18.66,0,274.04,5.69,8.81,0,28.26,33.23,0,220.98,86.16,17.52,0,32.95,18.51,0,2.13,145.38,32,81.41,7.98,0,10.83,0,82.38,20.6

11,02:30-02:45,0,0,0,0,0,0,0,0,0,33.61,0,0,23.16,0,63,0,0,63,23.17,69.5,18.34,0,274.04,5.69,8.81,0,27.25,33.23,3.4,220.98,86.16,17.52,0,32.95,18.51,0,2.13,145.38,3.4,81.41,7.98,0,10.83,0,82.38,20.6

12,02:45-03:00,0,0,0,0,0,0,0,0,0,33.41,0,0,23.34,0,62,0,0,62,23.33,70,18,0,274.04,5.69,8.81,0,26.75,33.23,3.4,220.98,86.16,17.52,0,32.95,18.51,0,2.13,145.38,3.4,81.41,7.98,0,10.83,0,82.38,20.6

13,03:00-03:15,0,0,0,0,0,0,0,0,0,32.81,0,0,23.5,0,62.33,0,0,62.33,23.5,70.5,20,0,274.04,5.87,8.81,0,26.75,33.23,3.4,220.98,86.16,17.52,0,0,18.51,0,2.13,145.38,3.4,81.41,7.98,0,10.73,0,82.38,20.6

14,03:15-03:30,0,0,0,0,0,0,0,0,0,32.21,0,0,23.16,0,62,0,0,62,23.17,69.5,19.66,0,274.04,5.87,8.81,0,26.75,33.23,3.4,220.98,86.16,17.52,0,0,18.51,0,2.13,145.38,3.4,81.41,7.98,0,10.73,0,82.38,20.6

15,03:30-03:45,0,0,0,0,0,0,0,0,0,31.61,0,0,23.5,0,61.67,0,0,61.67,23.5,70.5,19.34,0,274.04,5.87,8.81,0,28.26,33.23,3.4,220.98,86.16,17.52,0,0,18.51,0,2.13,145.38,3.4,81.41,7.98,0,10.73,0,82.38,20.6

16,03:45-04:00,0,0,0,0,0,0,0,0,0,31.01,0,0,23.16,0,61.33,0,0,61.33,23.17,69.5,19,0,274.04,5.87,8.81,0,28.26,33.23,3.4,220.98,86.16,17.52,0,0,18.51,0,2.13,145.38,3.4,81.41,7.98,0,10.73,0,82.38,20.6

17,04:00-04:15,0,0,0,0,0,0,0,0,0,32.01,0,0,22.5,0,61,0,0,61,22.5,67.5,19,0,274.04,5.78,8.81,0,28.26,33.23,6.71,220.98,86.16,17.52,0,0,18.51,0,2.13,145.38,6.71,81.41,7.98,0,10.64,0,82.38,20.6

18,04:15-04:30,0,0,0,0,0,0,0,0,0,32.41,0,0,21.66,0,60.33,0,0,60.33,21.67,65,18.66,0,274.04,5.78,8.81,0,28.26,33.23,6.71,220.98,86.16,17.52,0,0,18.51,0,2.13,145.38,6.71,81.41,7.98,0,10.64,0,82.38,20.6

19,04:30-04:45,0,0,0,0,0,0,0,0,0,32.01,0,0,22.84,0,59.67,0,0,59.67,22.83,68.5,23.34,0,274.04,5.78,8.81,0,27.76,33.23,6.71,220.98,86.16,17.52,0,0,18.51,0,2.13,145.38,6.71,81.41,7.98,0,10.64,0,82.38,20.6

20,04:45-05:00,0,0,0,0,0,0,0,0,0,31.61,0,0,22.16,0,58.33,0,0,58.33,22.17,66.5,22.66,0,274.04,5.78,8.81,0,27.76,33.23,6.71,220.98,86.16,17.52,0,0,18.51,0,2.13,145.38,6.71,81.41,7.98,0,10.64,0,82.38,20.6

21,05:00-05:15,0,0,0,0,0,0,0,0,0,31.81,0,0,25,0,65,0,0,65,25,75,22.34,0,274.04,5.59,8.81,0,27.76,33.23,6.71,220.98,86.16,17.52,0,0,18.51,0,2.13,145.38,6.71,81.41,7.98,0,10.64,0,82.38,20.6

22,05:15-05:30,0,0,0,0,0,0,0,0,0,31.41,0,0,24.34,0,64,0,0,64,24.33,73,22,0,274.04,5.59,8.81,0,27.76,33.23,6.71,220.98,86.16,17.52,0,0,18.51,0,2.13,145.38,6.71,81.41,7.98,0,10.64,0,82.38,20.6

23,05:30-05:45,0,0,0,0,0,0,0,0,0,30.81,0,0,23.5,0,62.67,0,0,62.67,23.5,70.5,15,0,274.04,5.59,8.81,0,27.76,46.53,6.71,220.98,86.16,17.52,0,0,18.51,0,2.13,145.38,6.71,81.41,7.98,0,10.64,0,82.38,20.6

24,05:45-06:00,0,0,0,0,0,0,0,0,0,30.01,0,0,22.5,0,61.67,0,0,61.67,22.5,67.5,14.66,0,274.04,5.59,8.81,0,28.77,46.53,6.71,220.98,86.16,17.52,0,0,18.51,0,2.13,145.38,6.71,81.41,7.98,0,10.64,0,82.38,20.6

25,06:00-06:15,0,0,0,0,1,0,0,0,1,24.81,0,1,14.16,3.2,44.67,0,17.54,44.67,14.17,42.5,13.66,16.19,274.04,5.59,8.81,0,28.77,33.23,32,220.98,86.16,17.52,0,0,18.51,0,2.13,0,0,81.41,7.98,0,10.54,0,82.38,20.6

26,06:15-06:30,0,0,0,0,1,1,1,0,2,24.41,0,4,13.34,8.2,44,1.46,30.84,44,13.33,40,12.66,28.46,274.04,5.59,8.81,0,28.77,33.23,32,220.98,86.16,17.52,0,0,18.51,0,2.13,0,0,81.41,7.98,0,10.54,0,82.38,20.6

27,06:30-06:45,0,0.16,2,0,3,3,3,0.79,5,24.01,0,7,12.5,10.8,41.67,5.32,32.62,41.67,12.5,37.5,12,32.63,274.04,5.59,8.81,0,28.77,33.23,32,220.98,86.16,17.52,0.42,0,18.51,0,2.13,0,0,81.41,7.98,0.41,10.54,0.41,82.38,20.6

28,06:45-07:00,0,1.02,3,0,6,7,4,5.1,8,24.01,0,14,11.66,14.1,38.33,11.12,33,38.33,11.67,35,11.66,33,274.04,5.59,8.81,0,28.26,33.23,32,220.98,86.16,17.52,0.74,0,18.51,0,2.13,0,0,81.41,7.98,0.73,10.54,0.73,82.38,20.6

29,07:00-07:15,0,2.66,5,0,9,10,5,13.3,10,23.41,0,21,10.84,17.3,34.67,18.64,33,34.67,10.83,32.5,10,33,274.04,5.5,8.81,0,27.25,33.23,32,220.98,86.16,17.52,1.26,0,18.51,0,2.13,0,0,72.36,7.98,1.23,10.54,1.23,82.38,20.6

30,07:15-07:30,0,4.96,8,0,13,13,7,24.78,15,23.01,0,32,10,24.1,30.67,27.08,33,30.67,10,30,9.66,33,274.04,5.5,8.81,0,27.25,33.23,32,192.34,86.16,17.52,1.97,0,18.51,0,2.13,0,0,72.36,7.98,1.92,10.54,1.92,82.38,20.6

31,07:30-07:45,0,7.83,11,0,18,17,9,39.14,18,22.21,0,42,9.16,32.67,29,35.77,32.66,29,9.17,27.5,9.34,32.67,274.04,5.5,8.81,0,27.25,33.23,32,192.34,43.76,17.52,2.84,0,18.51,0,2.13,0,0,72.36,7.98,2.77,10.54,2.77,82.38,20.6

32,07:45-08:00,0,11.13,15,0,22,20,12,55.66,25,22.21,0,53,7.5,32.67,25.33,44.51,32.66,25.33,7.5,22.5,8.66,32.67,232.61,5.5,8.81,0,27.25,33.23,32,148.28,43.76,17.52,3.5,0,18.51,0,2.13,0,0,66.87,7.98,3.42,10.54,3.42,82.38,20.6

33,08:00-08:15,0,13.93,18,0,28,23,15,69.67,32,18.01,0,67,7.5,33,24.67,53.29,33,24.67,7.5,22.5,7.66,33,193.84,5.5,8.81,0,26.25,35.32,32,148.28,43.76,17.52,4.48,0,18.51,0,2.13,0,0,57.86,7.98,4.37,10.46,4.37,82.38,20.6

34,08:15-08:30,0,17.65,22,0,34,29,19,88.24,41,17.81,0,81,7.5,33,24.33,61.82,33,24.33,7.5,22.5,7.66,33,150.72,5.5,8.81,0,26.25,35.32,32,148.28,43.76,17.52,5.54,0,18.51,0,2.13,0,0,57.86,7.98,5.4,10.46,5.4,82.38,20.6

35,08:30-08:45,0,20.03,25,0,39,37,23,100.17,47,17.81,0,91,7.5,33,24,69.96,33,24,7.5,22.5,7.66,33,150.72,5.5,8.81,0,26.25,35.32,0.09,148.28,43.76,17.52,6.54,0,18.51,0,2.13,0,0.09,57.86,7.98,6.38,10.46,6.38,82.38,20.6

36,08:45-09:00,0,23.12,28,0,45,44,26,115.63,55,18.01,0,105,7.5,33,27,77.76,33,27,7.5,22.5,8,33,150.72,5.5,8.81,0,25.24,35.32,0.09,148.28,43.76,17.52,7.57,0,18.51,0,2.13,0,0.09,57.86,7.98,7.38,10.46,7.38,82.38,20.6

37,09:00-09:15,0,27.02,29,0,51,52,30,135.09,62,9.4,0,119,7.5,33,27,84.85,33,27,7.5,22.5,8,33,150.72,5.41,8.81,0,25.24,35.32,0.09,148.28,43.76,17.52,8.46,0,18.51,0,2.13,0,0.09,57.86,7.98,8.26,10.46,8.26,82.38,20.6

38,09:15-09:30,0,29.8,33,0,57,57,33,149.01,69,9.4,0,133,7.5,33,27.33,91.5,33,27.33,7.5,22.5,7.66,33,150.72,5.41,8.81,0,23.21,35.32,0.09,148.28,43.76,17.52,9.37,0,18.51,0,2.13,0,0.09,57.86,7.98,9.14,10.46,9.14,82.38,20.6

39,09:30-09:45,0,32.81,36,0,60,66,36,164.05,74,13.01,0,140,7.5,33,27.33,97.64,33,27.33,7.5,22.5,7.66,33,150.72,5.41,8.81,0,24.22,35.32,0.09,148.28,43.76,17.52,10.27,0,18.51,0,2.13,0,0.09,57.86,7.98,10.01,10.46,10.01,82.38,20.6

40,09:45-10:00,0,36.18,38,0,66,73,38,180.9,78,13.41,0,154,7.5,33,27.67,103.32,33,27.67,7.5,22.5,7.66,33,150.72,5.41,8.81,0,24.22,35.32,0.09,148.28,43.76,17.52,11.4,0,18.51,0,2.13,0,0.09,57.86,7.98,11.13,10.46,11.13,82.38,20.6

41,10:00-10:15,0,39.94,41,0,75,78,40,199.71,84,14.01,0,175,7.5,33,27.67,108.14,33,27.67,7.5,22.5,7.66,33,150.72,5.41,8.81,0,25.23,35.32,0.09,148.28,53.31,17.52,12.02,0,18.51,0,2.13,0,0.09,57.86,7.98,11.74,10.36,11.74,82.38,20.6

42,10:15-10:30,0,42.06,42,0,81,82,42,210.28,89,14.21,0,189,7.5,33,27.67,111.99,33,27.67,7.5,22.5,7.66,33,150.72,5.41,8.81,0,24.22,35.32,0.09,148.28,53.31,17.52,13.15,0,18.51,0,2.13,0,0.09,57.86,7.98,12.83,10.36,12.83,82.38,20.6

43,10:30-10:45,0,43.71,44,0,82,86,44,218.57,92,14.41,0,193,7.5,33,28,121.08,33,28,7.5,22.5,7.66,33,150.72,5.41,8.81,0,24.22,35.32,0.09,148.28,53.31,17.52,13.65,0,18.51,0,2.13,0,0.09,57.86,7.98,13.31,10.36,13.31,82.38,20.6

44,10:45-11:00,0,45.54,45,0,82,88,45,227.71,93,14.61,0,193,7.5,33,28,122.59,33,28,7.5,22.5,8,33,150.72,5.41,8.81,0,24.22,35.32,0.09,148.28,53.31,17.52,14.57,0,18.51,0,2.13,0,0.09,57.86,7.98,14.22,10.36,14.22,82.38,20.6

45,11:00-11:15,0,45.96,46,0,82,90,45,229.79,95,17.01,0,193,7.5,33,28.33,123.09,33,28.33,7.5,22.5,8.34,33,150.72,5.41,8.81,0,24.72,35.32,0.09,148.28,53.31,17.52,14.84,0,18.51,0,2.13,0,0.09,57.86,7.98,14.48,10.36,14.48,82.38,20.6

46,11:15-11:30,0,46,47,0,82,91,45,230,95,17.41,0,193,7.5,33,29,123.71,33,29,7.5,22.5,8.66,33,150.72,5.41,8.81,0,24.72,35.32,0.09,148.28,53.31,17.52,15.27,0,18.51,0,2.13,0,0.09,57.86,7.98,14.9,10.36,14.9,82.38,20.6

47,11:30-11:45,0,46,47,0,82,91,45,230,95,17.61,0,193,7.5,33,30,123.57,33,30,7.5,22.5,9,33,150.72,5.41,8.81,0,25.23,35.32,0.09,148.28,53.31,17.52,15.27,0,18.51,0,2.13,0,0.09,57.86,7.98,14.9,10.36,14.9,82.38,20.6

48,11:45-12:00,0,46,47,0,82,91,45,230,95,17.41,0,193,7.5,33,31,123.25,33,31,7.5,22.5,9.34,33,150.72,5.41,8.81,0,25.23,35.32,0.09,148.28,53.31,17.52,15.27,0,18.51,0,2.13,0,0.09,57.86,7.98,14.9,10.36,14.9,82.38,20.6

49,12:00-12:15,0,46,47,0,82,91,45,230,95,17.61,0,193,7.5,33,37.67,107.26,33,37.67,7.5,22.5,9.66,33,150.72,5.41,8.81,0,25.23,35.32,0,148.28,53.31,17.52,15.27,0,18.51,0,2.13,0,0,57.86,7.98,14.9,10.36,14.9,82.38,20.6

50,12:15-12:30,0,46,47,0,82,91,45,230,95,17.81,0,193,7.5,33,41,108,33,41,7.5,22.5,10,33,150.72,5.41,8.81,0,25.23,35.32,0,148.28,53.31,17.52,15.27,0,18.51,0,2.13,0,0,57.86,7.98,14.9,10.36,14.9,82.38,20.6

51,12:30-12:45,0,46,46,0,82,90,45,230,93,17.61,0,193,7.5,33,33,109,33,33,7.5,22.5,10.66,33,150.72,5.41,8.81,0,25.23,35.32,0,148.28,53.31,17.52,15.27,0,18.51,0,2.13,0,0,57.86,7.98,14.9,10.36,14.9,82.38,20.6

52,12:45-13:00,0,45.94,46,0,82,90,45,229.69,93,17.41,0,193,7.5,33,33.67,109.67,33,33.67,7.5,22.5,11,33,150.72,5.41,8.81,0,24.22,35.32,0,148.28,53.31,17.52,15.27,0,18.51,0,2.13,0,0,57.86,7.98,14.9,10.36,14.9,82.38,20.6

53,13:00-13:15,0,45.8,43,0,76,85,43,229.02,91,17.61,0,179,7.5,33,34.67,109.6,33,34.67,7.5,22.5,11.34,33,150.72,5.5,8.81,0,24.22,35.32,0,148.28,53.31,17.52,15.27,0,18.51,0,2.13,0,0,57.86,7.98,14.9,10.27,14.9,82.38,20.6

54,13:15-13:30,0,45.46,43,0,76,85,43,227.28,91,18.01,0,179,7.34,33,35.33,108.9,33,35.33,7.33,22,11.66,33,150.72,5.5,8.81,0,24.22,35.32,0,148.28,53.31,17.52,15.27,0,18.51,0,2.13,0,0,57.86,7.98,14.9,10.27,14.9,82.38,20.6

55,13:30-13:45,0,45.55,41,0,72,82,43,227.73,91,15.01,0,168,9,33,36.33,94.18,33,36.33,9,27,12,33,193.84,5.5,8.81,0,24.22,35.32,0,148.28,53.31,17.52,15.27,0,18.51,0,2.13,0,0,57.86,7.98,14.9,10.27,14.9,82.38,20.6

56,13:45-14:00,0,45.76,40,0,72,80,43,228.78,90,15.61,0,168,9.66,33,37.33,89.82,33,37.33,9.67,29,12,33,232.61,5.5,8.81,0,24.22,35.32,0,148.28,53.31,17.52,14.94,0,18.51,0,2.13,0,0,57.86,7.98,14.57,10.27,14.57,82.38,20.6

57,14:00-14:15,0,44.48,39,0,72,80,42,222.39,87,17.61,0,168,10,33,38.67,85.01,33,38.67,10,30,12.34,33,274.04,5.69,8.81,0,24.22,35.32,0,148.28,53.31,17.52,12.21,0,18.51,0,2.13,0,0,62.03,7.98,11.91,10.27,11.91,82.38,20.6

58,14:15-14:30,0,43.81,38,0,72,79,40,219.05,84,19.01,0,168,10.34,33,40,79.7,33,40,10.33,31,13,33,274.04,5.69,8.81,0,24.22,35.32,0,148.28,53.31,17.52,11.81,0,18.51,0,2.13,0,0,62.03,7.98,11.52,10.27,11.52,82.38,20.6

59,14:30-14:45,0,42.74,38,0,69,82,37,213.69,78,23.01,0,161,15,33,41,79.13,33,41,15,45,13.34,33,274.04,5.69,8.81,0,24.22,35.32,0,148.28,53.31,17.52,11.26,0,18.51,0,2.13,0,0,62.03,7.98,10.98,10.27,10.98,82.38,20.6

60,14:45-15:00,0,40.14,36,0,66,78,36,200.73,74,24.21,0,154,15.5,33,42.33,77.98,33,42.33,15.5,46.5,13.66,33,274.04,5.69,8.81,0,24.22,35.32,0,148.28,53.31,17.52,10.71,0,18.51,0,2.13,0,0,62.03,7.98,10.45,10.27,10.45,82.38,20.6

61,15:00-15:15,0,36.66,35,0,60,73,33,183.31,70,25.61,0,140,16.16,33,43.67,72.68,33,43.67,16.17,48.5,14.34,33,274.04,5.87,8.81,0,24.22,33.23,0,160.88,100.97,17.52,12.3,0,18.51,0,2.13,0,0,62.03,7.98,11.99,10.46,11.99,82.38,20.6

62,15:15-15:30,0,35.25,33,0,55,68,31,176.24,64,27.01,0,130,16.84,33,45.33,69.19,33,45.33,16.83,50.5,14.66,33,274.04,5.87,8.81,0,24.22,33.23,0,160.88,100.97,17.52,11.39,0,18.51,0,2.13,0,0,62.03,7.98,11.12,10.46,11.12,82.38,20.6

63,15:30-15:45,0,22.88,30,0,51,65,27,114.43,58,28.01,0,119,17.5,33,46.67,63.81,33,46.67,17.5,52.5,15,33,274.04,5.87,8.81,0,25.23,33.23,0,176.92,100.97,17.52,10.49,0,18.51,0,2.13,0,0,62.03,7.98,10.23,10.46,10.23,82.38,20.6

64,15:45-16:00,0,20.03,28,0,45,58,25,100.18,51,29.41,0,105,18.34,33,48,58.05,33,48,18.33,55,15.66,33,274.04,5.87,8.81,0,25.23,33.23,0,176.92,100.97,17.52,9.58,0,18.51,0,2.13,0,0,62.03,7.98,9.35,10.46,9.35,82.38,20.6

65,16:00-16:15,0,17.84,24,0,48,51,20,89.21,42,31.01,0,112,19.34,33,49.33,51.64,33,49.33,19.33,58,16,33,274.04,6.15,8.81,0,25.23,33.23,0,176.92,100.97,17.52,8.51,0,18.51,0,2.13,0,0,62.03,7.98,8.3,10.64,8.3,82.38,20.6

66,16:15-16:30,0,15.65,20,0,42,45,17,78.24,35,31.61,0,98,20.34,33,50.67,44.69,33,50.67,20.33,61,16.34,33,274.04,6.15,8.81,0,26.24,33.23,0,220.98,100.97,17.52,7.65,0,18.51,0,2.13,0,0,62.03,7.98,7.46,10.64,7.46,82.38,20.6

67,16:30-16:45,0,13.45,17,0,36,38,14,67.28,29,34.21,0,84,21.16,33,52,33.12,33,52,21.17,63.5,13.95,33,274.04,6.15,8.81,0,27.24,33.23,0,220.98,90.47,17.52,6.74,0,18.51,0,2.13,0,30,62.03,7.98,6.58,10.64,6.58,82.38,20.6

68,16:45-17:00,0,11.26,13,0,30,33,10,56.31,22,36.01,0,70,21.5,20.8,53,24.76,33,53,21.5,64.5,14.64,33,274.04,6.15,8.81,0,27.24,33.23,0,220.98,90.47,17.52,5.74,0,18.51,0,2.13,0,30,62.03,7.98,5.6,10.64,5.6,82.38,20.6

69,17:00-17:15,0,9.34,11,0,24,27,7,46.71,16,38.22,0,56,21.5,14.1,54.33,17.31,33,54.33,21.5,64.5,15.34,33,274.04,6.06,8.81,0,26.24,33.23,0,220.98,90.47,17.52,4.78,0,18.51,0,2.13,0,30,62.03,7.98,4.66,10.91,4.66,82.38,20.6

70,17:15-17:30,0,7.42,9,0,18,23,6,37.12,14,40.02,0,42,21.34,7.4,55.67,11.11,33,55.67,21.33,64,16.14,33,274.04,6.06,8.81,0,26.24,33.23,0,220.98,90.47,17.52,3.9,0,18.51,0,2.13,0,30,62.03,7.98,3.8,10.91,3.8,82.38,20.6

71,17:30-17:45,0,5.5,8,0,12,18,5,27.53,10,35.01,0,28,18.34,2.5,50,6.53,33,50,18.33,55,17.01,33,274.04,6.06,8.81,0,26.24,33.23,0,220.98,90.47,17.52,2.97,0,18.51,0,2.13,0,30,62.03,7.98,2.9,10.91,2.9,82.38,20.6

72,17:45-18:00,0,3.59,5,0,6,15,4,17.93,9,36.21,0,14,18,0,49.67,3.92,30.85,49.67,18,54,18.05,28.47,274.04,6.06,8.81,0,26.24,33.23,0,220.98,90.47,17.52,2.14,0,18.51,0,2.13,0,30,62.03,7.98,2.09,10.91,2.09,82.38,20.6

73,18:00-18:15,0,2.7,2,0,4,12,3,13.49,7,39.02,0,8,17.5,0,49.33,1.75,0,49.33,17.5,52.5,17,0,274.04,6.34,8.81,0,27.24,58.11,0,220.98,90.47,17.52,1.63,0,18.51,0,2.13,0,30,62.03,7.98,1.59,11.11,1.59,82.38,20.6

74,18:15-18:30,0,1.73,0,0,2,8,2,8.67,3,39.62,0,5,17.34,0,48.67,0,0,48.67,17.33,52,16.66,0,274.04,6.34,8.81,0,28.25,58.11,0,220.98,90.47,17.52,1.17,0,18.51,0,2.13,0,30,62.03,7.98,1.14,11.11,1.14,82.38,20.6

75,18:30-18:45,0,0.77,0,0,1,6,1,3.85,1,41.02,0,1,17.16,0,48,0,0,48,17.17,51.5,16.66,0,274.04,6.34,8.81,96.92,28.25,58.11,0,220.98,90.47,17.52,0.59,0,18.51,0,2.13,0,30,62.03,7.98,0.57,11.11,0.57,82.38,20.6

76,18:45-19:00,0,0.03,0,0,0,4,0,0.18,0,41.02,0,0,16.66,0,47.33,0,0,47.33,16.67,50,16.66,0,274.04,6.34,8.81,96.92,28.25,58.11,0,220.98,90.47,17.52,0.22,0,18.51,0,2.13,0,30,62.03,7.98,0.21,11.11,0.21,82.38,20.6

77,19:00-19:15,0,0,0,0,0,2,0,0,0,41.02,30,0,16.16,0,45.67,0,0,45.67,16.17,48.5,12.34,0,274.04,6.62,8.81,96.92,28.25,58.11,0,220.98,90.47,17.52,0,0,18.51,42.06,2.13,0,30,62.03,7.98,0,11.11,0,82.38,20.6

78,19:15-19:30,0,0,0,0,0,0,0,0,0,41.02,30,0,15.84,0,44.33,0,0,44.33,15.83,47.5,11.66,0,274.04,6.62,8.81,96.92,28.25,58.11,0,220.98,90.47,17.52,0,0,18.51,42.06,2.13,0,30,62.03,7.98,0,11.11,0,82.38,20.6

