Column1,Block,NR/2025/33632/A/99226,NR/2025/32534/A/99209,NR/2025/32534/A/99211,NR/2025/32535/A/99214,NR/2025/32535/A/99216,NR/2025/32599/A/98918,GNARE/NR/2024/12/20/3668,NR/2025/32532/A/99195,NR/2025/33637/A/99224,NR/2025/33633/A/99225,NR/2025/34179/C,NR/2025/34147/C,NR/2025/34141/C,NR/2025/34185/C,NR/2025/34143/C,NR/2025/34122/C,NR/2025/34091/C,NR/2025/31049/A/99208,NR/2025/32004/A/99172,NR/2025/34092/C,NR/2025/31048/A/99207,NR/2025/33469/A/98832,NR/2025/34125/C,NR/2025/34093/C,NR/2025/34128/C,NR/2025/32262/A/98788,NR/2025/31045/A/99206,NR/2025/29440/A/98743,NR/2025/31421/A/99288,NR/2025/31043/A/99205,NR/2025/32559/A/99168,NR/2025/32397/A/98759,NR/2025/32375/A/99285,NR/2025/33955/A/99016,NR/2025/32610/A/99167,NR/2025/29992/A/98863,NR/2025/32455/A/99233,NR/2025/34119/C,NR/2025/33656/A/99200,NR/2025/33670/A/99018,NR/2025/32556/A/99169,NR/2025/32532/A/99194,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/1196,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6209,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,Total
3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,193.06,0,0,0,0,28.96,0,106.18,0,96.53,12.55,0,0,0,54.3,0,0.87,48.26,96.53,26.32,8.69,48.26,14.48,26.32,44.4,48.26,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,48.26,15.06,0,1496.5199999999998

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,193.06,0,0,0,0,28.96,0,106.18,0,96.53,12.55,0,0,0,54.3,0,0.87,48.26,96.53,26.32,8.69,48.26,14.48,26.32,44.4,48.26,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,48.26,15.06,0,1496.5199999999998

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,193.06,0,0,0,0,28.96,0,106.18,0,96.53,12.55,0,0,0,54.3,0,0.63,48.26,96.53,26.32,8.69,48.26,14.48,26.32,44.4,48.26,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,48.26,15.06,0,1496.2799999999997

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,193.06,0,0,0,0,28.96,0,106.18,0,96.53,12.55,0,0,0,54.3,0,0.63,48.26,96.53,26.32,8.69,48.26,14.48,26.32,44.4,48.26,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,48.26,15.06,0,1496.2799999999997

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,193.06,0,0,0,0,28.96,0,106.18,0,96.53,12.55,0,0,0,54.3,0,0.63,48.26,96.53,26.32,8.69,48.26,14.48,26.32,44.4,48.26,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,48.26,15.06,0,1496.2799999999997

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,193.06,0,0,0,0,28.96,0,106.18,0,96.53,12.55,0,0,0,54.3,0,0.63,48.26,96.53,26.32,8.69,48.26,14.48,26.32,44.4,48.26,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,48.26,15.06,0,1496.2799999999997

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,193.06,0,0,0,0,28.96,0,106.18,0,96.53,12.55,0,0,0,54.3,0,0.63,48.26,96.53,26.32,8.69,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1498.5999999999997

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,0,193.06,0,0,0,0,28.96,0,106.18,0,96.53,12.55,0,0,0,54.3,0,0.63,48.26,96.53,26.32,8.69,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1498.5999999999997

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,0,193.06,0,0,0,0,28.96,0,106.18,0,96.53,12.55,0,0,0,54.3,0,0.63,48.26,96.53,26.32,8.69,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1498.5999999999997

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,0,193.06,0,0,0,0,28.96,0,106.18,0,96.53,12.55,0,0,0,54.3,0,0.63,48.26,96.53,26.32,8.69,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1498.5999999999997

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,0,193.06,0,0,0,0,28.96,0,76.86,0,96.53,12.55,0,0,0,54.3,0,0.53,48.26,96.53,26.32,8.69,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1469.1799999999996

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,0,193.06,0,0,0,0,28.96,0,76.86,0,96.53,12.55,0,0,0,54.3,0,0.53,48.26,96.53,26.32,8.69,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1469.1799999999996

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,0,193.06,0,0,0,0,28.96,0,76.86,0,96.53,12.55,0,0,0,54.3,0,0.53,48.26,96.53,26.32,8.69,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1469.1799999999996

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,0,193.06,0,0,0,0,28.96,0,76.86,0,96.53,12.55,0,0,0,54.3,0,0.53,48.26,96.53,26.32,8.69,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1469.1799999999996

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,0,193.06,0,0,0,0,28.96,0,76.86,0,0,12.55,0,0,0,0,0,0.53,48.26,0,26.32,8.69,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1221.8199999999997

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,0,193.06,0,0,0,0,28.96,0,76.86,0,0,12.55,0,0,0,0,0,0.53,48.26,0,26.32,8.69,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1221.8199999999997

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,0,193.06,0,0,0,0,28.96,0,76.86,0,0,12.55,0,0,0,0,0,0.53,48.26,0,26.32,8.69,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1221.8199999999997

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,0,193.06,0,0,0,0,28.96,0,76.86,0,0,12.55,0,0,0,0,0,0.53,48.26,0,26.32,8.69,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1221.8199999999997

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,0,193.06,0,0,0,0,28.96,0,76.86,0,0,12.55,0,0,0,0,0,0.53,48.26,0,26.32,8.69,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1221.8199999999997

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,0,193.06,0,0,0,0,28.96,0,76.86,0,0,12.55,0,0,0,0,0,0.53,48.26,0,26.32,8.69,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1221.8199999999997

23,05:30-05:45,0,0,0,0,0,0,0,0,0,0,0,193.06,0,0,0,0,28.96,0,76.86,0,0,11.58,0,0,0,0,0,0.53,48.26,0,26.32,8.69,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1220.8499999999997

24,05:45-06:00,0,0,0,0,0,0,0,0,0,0,0,193.06,0,0,0,0,28.96,0,76.86,0,0,11.58,0,0,0,0,0,0.53,48.26,0,26.32,8.69,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1220.8499999999997

25,06:00-06:15,0,0,0,0,0,2,0.94,0,0,0,0,193.06,0,0,0,0,28.96,0,76.86,0,0,11.58,0,0,0,0,0,0.82,48.26,0,26.32,0,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1215.3899999999999

26,06:15-06:30,0,0.01,0,0.01,0,5,2.13,0,0,0,0,193.06,0,0,0,0,28.96,0,76.86,0,0,11.58,0,0,0,0,0,0.82,48.26,0,26.32,0,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0.04,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1219.6399999999999

27,06:30-06:45,0,0.04,0,0.02,0,9,3.79,0,0,0,0.84,193.06,0,0,0,0,28.96,0,76.86,0,0,11.58,0,0,0,0,0,0.82,48.26,0,26.32,0,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0.07,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1226.2099999999998

28,06:45-07:00,0,0.07,0,0.04,0,16,5.87,0,0,0,1.38,193.06,0,0,0,0,28.96,0,76.86,0,0,11.58,0,0,0,0,0,0.82,48.26,0,26.32,0,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0.14,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1235.9499999999996

29,07:00-07:15,0,0.06,0,0.06,0,21,8.83,0,0,0,1.98,193.06,0,0,0,0,28.96,0,76.86,0,0,11.58,0,0,0,0,0,0.87,48.26,0,26.32,0,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0.13,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1244.5599999999997

30,07:15-07:30,0,0.05,0,0.05,0,28,11.67,0,0,0,2.98,193.06,0,0,0,0,28.96,0,76.86,0,0,11.58,0,0,0,0,0,0.87,48.26,0,26.32,0,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0.09,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1255.3399999999997

31,07:30-07:45,0,0.07,0,0.07,0,32,14.34,0,0,0,3.87,193.06,0,0,0,0,28.96,0,76.86,0,0,11.58,0,0,0,0,0,0.87,48.26,0,26.32,0,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0.14,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1262.9899999999998

32,07:45-08:00,0,0.2,0.06,0.14,0.04,42,17.01,0.08,0,0,5.27,193.06,0,0,0,0,28.96,0,76.86,0,0,11.58,0,0,0,0,0,0.87,48.26,0,26.32,0,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0.35,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1277.6499999999996

33,08:00-08:15,1.16,0.18,0.17,0.12,0.15,56,20.78,0.23,1.64,0,6.21,193.06,0,0,0,0,28.96,0,76.86,0,0,11.58,0,0,0,0,0,0.97,48.26,0,26.32,0,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0.3,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1299.5399999999997

34,08:15-08:30,1.16,0.29,0.32,0.19,0.27,67,24.54,0.41,1.64,0,8.56,193.06,0,0,0,0,28.96,0,76.86,0,0,11.58,0,0,0,0,0,0.97,48.26,0,26.32,0,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1317.4599999999998

35,08:30-08:45,1.16,0.29,0.47,0.19,0.41,77,28.31,0.6,1.64,0,5.9,193.06,0,0,0,0,28.96,0,76.86,0,0,13.51,0,0,0,0,0,0.97,48.26,0,26.32,0,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1330.9799999999998

36,08:45-09:00,1.16,0.29,0.62,0.19,0.62,88,32.08,0.89,1.64,0,5.9,193.06,0,0,0,0,28.96,0,76.86,0,0,13.51,0,0,0,0,0,0.97,48.26,0,26.32,0,48.26,14.48,26.32,44.4,0,0,164.1,82.05,26.32,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.37,0,1346.3999999999999

37,09:00-09:15,1.16,0.29,0.77,0.19,0.68,109,37.92,0.97,1.64,0,5.9,193.06,48.26,0,48.26,43.87,193.06,0,0,0,0,13.51,43.87,0,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.83,0,1420.0699999999995

38,09:15-09:30,1.16,0.29,0.77,0.19,0.68,123,43.77,0.97,1.64,0,6.88,193.06,48.26,0,48.26,43.87,193.06,0,0,0,0,13.51,43.87,0,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.83,0,1440.8999999999994

39,09:30-09:45,1.16,0.29,0.77,0.19,0.68,147,49.61,0.97,1.64,0,6.88,193.06,48.26,0,48.26,43.87,193.06,0,0,0,0,13.51,43.87,0,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.83,0,1470.7399999999998

40,09:45-10:00,1.16,0.29,0.77,0.19,0.68,154,55.45,0.97,1.64,0,7.86,193.06,48.26,0,48.26,43.87,193.06,0,0,0,0,13.51,43.87,0,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.83,0,1484.5599999999997

41,10:00-10:15,1.16,0.29,0.77,0.19,0.68,161,76.18,0.97,1.64,1.45,7.86,193.06,48.26,0,48.26,43.87,193.06,0,0,0,0,13.51,43.87,0,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.83,0,1513.7399999999998

42,10:15-10:30,1.16,0.29,0.68,0.19,0.58,168,80.47,0.97,1.64,1.45,7.86,193.06,48.26,0,48.26,43.87,193.06,0,0,0,0,13.51,43.87,0,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.83,0,1524.8399999999997

43,10:30-10:45,1.16,0.29,0.32,0.19,0.32,154,84.32,0.58,1.64,1.45,11.57,193.06,48.26,0,48.26,43.87,193.06,0,0,0,0,13.51,43.87,0,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.83,0,1517.3899999999996

44,10:45-11:00,1.16,0.29,0.32,0.19,0.32,161,87.85,0.58,1.64,1.45,12.86,193.06,48.26,0,48.26,43.87,193.06,0,0,0,0,13.51,43.87,0,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.83,0,1529.2099999999996

45,11:00-11:15,1.16,0.29,0,0.19,0,175,91.61,0.58,1.64,1.45,14.13,193.06,48.26,0,48.26,43.87,193.06,0,0,0,0,13.51,43.87,0,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.83,0,1547.5999999999995

46,11:15-11:30,1.16,0.29,0.39,0.19,0,179,93.99,0.58,1.64,1.45,15.58,193.06,48.26,0,48.26,43.87,193.06,0,0,0,0,13.51,43.87,0,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.83,0,1555.8199999999995

47,11:30-11:45,1.16,0.29,0.39,0.19,0.39,168,93.99,0.58,1.64,1.45,16.96,193.06,48.26,0,48.26,43.87,193.06,0,0,0,0,13.51,43.87,0,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.83,0,1546.5899999999995

48,11:45-12:00,1.16,0.29,0.39,0.19,0.39,168,93.99,0.58,1.64,1.45,18.24,193.06,48.26,0,48.26,43.87,193.06,0,0,0,0,13.51,43.87,0,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,17.83,0,1547.8699999999994

49,12:00-12:15,1.16,0.29,0.39,0.19,0.39,168,95,0.58,1.64,1.45,19.43,193.06,48.26,0,48.26,43.87,193.06,0,0,0,0,13.51,43.87,0,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,18.76,0,1550.9999999999995

50,12:15-12:30,1.16,0.29,0.39,0.19,0.39,168,95,0.58,1.64,1.45,19.73,193.06,48.26,0,48.26,43.87,193.06,0,0,0,0,13.51,43.87,0,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,18.76,0,1551.2999999999995

51,12:30-12:45,1.16,0.29,0.39,0.19,0.39,179,96.67,0.58,1.64,1.45,19.99,193.06,48.26,0,48.26,43.87,193.06,0,0,0,0,13.51,43.87,0,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,18.76,0,1564.2299999999996

