Time,Block,NR/2023/11205/A,NR/2023/14117/F,NR/2023/11697/A,NR/2023/14432/C,NR/2023/14187/F,NR/2023/14136/F,NR/2023/11521/A,NR/2023/14413/C,NR/2023/13704/A,NR/2023/14421/C,NR/2023/14113/F,NR/2023/14121/F,NR/2023/14415/C,NR/2023/13573/A,NR/2023/14114/F,NR/2023/13283/A,NR/2023/11458/A,NR/2023/13858/A,NR/2023/11739/A,NR/2023/14381/D,NR/2023/13284/A,NR/2023/14120/F,NR/2023/12646/A,NR/2023/14115/F,NR/2023/14433/C,NR/2023/11469/A,NR/2023/11892/A,NR/2023/11470/A,NR/2023/13573/A/II,NR/2023/14118/F,NR/2023/11654/A,NR/2023/14389/C,NR/2023/14379/D,NR/2023/14417/C,NR/2023/11954/A,NR/2023/14380/D,NR/2023/13859/A,NR/2023/11325/A,NR/2023/14406/C,NR/2023/11315/A,NR/2023/11524/A,NR/2023/13983/F,NR/2023/11204/A,NR/2023/11264/A,NR/2023/14407/C,NR/2023/11328/A,NR/2023/13283/A/II,NR/2023/14116/F,NR/2023/14119/F,NR/2023/11203/A,NR/2023/14405/C,NR/2023/14431/C,NR/2023/13704/A/II,NR/2023/13983/F/II,NR/2023/14386/D,NR/2023/14385/D,NR/2023/14382/D,Total

3,00:30-00:45,231.800000,0.930000,33.310000,53.100000,9.650000,0.000000,48.270000,0.000000,6.380000,0.000000,0.380000,0.610000,4.830000,3.480000,0.520000,22.790000,98.470000,77.230000,42.470000,0.000000,77.710000,0.610000,23.100000,0.950000,69.510000,84.940000,66.520000,21.240000,59.280000,0.870000,257.760000,0.000000,147.460000,19.120000,36.420000,45.370000,141.910000,24.140000,39.580000,22.200000,193.080000,0.870000,83.020000,21.530000,0.000000,48.270000,1.340000,0.870000,1.010000,62.990000,54.78,91.710000,0.380000,0.000000,0,0,0,2332.76

4,00:45-01:00,231.800000,0.930000,33.310000,53.100000,9.650000,0.000000,48.270000,0.000000,6.380000,0.000000,0.380000,0.610000,4.830000,3.480000,0.520000,22.790000,98.470000,77.230000,42.470000,0.000000,77.710000,0.610000,23.100000,0.950000,69.510000,84.940000,66.520000,21.240000,59.280000,0.870000,257.760000,0.000000,147.460000,19.120000,36.420000,45.370000,141.910000,24.140000,39.580000,22.200000,193.080000,0.870000,83.020000,21.530000,0.000000,48.270000,1.340000,0.870000,1.010000,62.990000,55.76,91.710000,0.380000,0.000000,0,0,0,2333.74

5,01:00-01:15,231.800000,0.930000,33.310000,0.000000,9.650000,0.000000,48.270000,0.000000,6.380000,0.000000,0.380000,0.610000,4.830000,3.480000,0.520000,22.790000,98.470000,77.230000,42.470000,38.620000,77.710000,0.610000,23.100000,0.950000,0.000000,84.940000,66.520000,21.240000,59.280000,0.870000,257.760000,18.340000,147.460000,18.940000,36.420000,45.370000,141.910000,24.140000,237.490000,22.200000,193.080000,0.680000,83.020000,21.530000,0.000000,48.270000,1.340000,0.870000,1.010000,62.990000,0,91.710000,0.380000,0.000000,0,0,0,2409.87

6,01:15-01:30,231.800000,0.930000,33.310000,0.000000,9.650000,0.000000,48.270000,0.000000,6.380000,0.000000,0.380000,0.610000,4.830000,3.480000,0.520000,22.790000,98.470000,77.230000,42.470000,38.620000,77.710000,0.610000,23.100000,0.950000,0.000000,84.940000,66.520000,21.240000,59.280000,0.870000,257.760000,18.340000,147.460000,18.940000,36.420000,45.370000,141.910000,24.140000,211.420000,22.200000,193.080000,0.680000,83.020000,21.530000,0.000000,48.270000,1.340000,0.870000,1.010000,62.990000,0,91.710000,0.380000,0.000000,0,0,0,2383.8

7,01:30-01:45,231.800000,0.930000,33.310000,0.000000,9.650000,0.000000,48.270000,0.000000,6.380000,0.000000,0.380000,0.610000,4.830000,3.480000,0.520000,22.790000,98.470000,77.230000,42.470000,38.620000,77.710000,0.610000,23.100000,0.950000,0.000000,84.940000,66.520000,21.240000,59.280000,0.870000,257.760000,18.340000,147.460000,18.940000,36.420000,45.370000,141.910000,24.140000,171.840000,22.200000,193.080000,0.680000,83.020000,21.530000,0.000000,48.270000,1.340000,0.870000,1.010000,62.990000,0,91.710000,0.380000,0.000000,0,0,0,2344.22

8,01:45-02:00,231.800000,0.930000,33.310000,0.000000,9.650000,0.000000,48.270000,0.000000,6.380000,0.000000,0.380000,0.610000,4.830000,3.480000,0.520000,22.790000,98.470000,77.230000,42.470000,38.620000,77.710000,0.610000,23.100000,0.950000,0.000000,84.940000,66.520000,21.240000,59.280000,0.870000,257.760000,18.340000,147.460000,18.940000,36.420000,45.370000,141.910000,24.140000,135.160000,22.200000,193.080000,0.680000,83.020000,21.530000,0.000000,48.270000,1.340000,0.870000,1.010000,62.990000,0,91.710000,0.380000,0.000000,0,0,0,2307.54

9,02:00-02:15,231.800000,0.930000,33.310000,0.000000,9.650000,0.000000,48.270000,0.000000,6.380000,0.000000,0.380000,0.610000,4.830000,3.480000,0.520000,22.790000,98.470000,77.230000,42.470000,38.620000,77.710000,0.610000,23.100000,0.950000,0.000000,84.940000,66.520000,21.240000,59.280000,0.870000,257.760000,18.340000,147.460000,18.840000,36.420000,45.370000,141.910000,24.140000,26.070000,22.200000,193.080000,0.580000,83.020000,21.530000,0.000000,48.270000,1.340000,0.870000,1.010000,62.990000,0,164.120000,0.380000,0.000000,0,0,0,2270.66

10,02:15-02:30,231.800000,0.930000,33.310000,0.000000,9.650000,0.000000,48.270000,0.000000,6.380000,0.000000,0.380000,0.610000,4.830000,3.480000,0.520000,22.790000,98.470000,77.230000,42.470000,38.620000,77.710000,0.610000,23.100000,0.950000,0.000000,84.940000,66.520000,21.240000,59.280000,0.870000,257.760000,18.340000,147.460000,18.840000,36.420000,45.370000,141.910000,24.140000,18.340000,22.200000,193.080000,0.580000,83.020000,21.530000,0.000000,48.270000,1.340000,0.870000,1.010000,62.990000,0,164.120000,0.380000,0.000000,0,0,0,2262.93

11,02:30-02:45,231.800000,0.930000,33.310000,0.000000,9.650000,0.000000,48.270000,0.000000,6.380000,0.000000,0.380000,0.610000,4.830000,3.480000,0.520000,22.790000,98.470000,77.230000,42.470000,38.620000,77.710000,0.610000,23.100000,0.950000,0.000000,84.940000,66.520000,21.240000,59.280000,0.870000,257.760000,18.340000,147.460000,18.840000,36.420000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.580000,83.020000,21.530000,0.000000,48.270000,1.340000,0.870000,1.010000,62.990000,0,145.780000,0.380000,0.000000,0,0,0,2226.25

12,02:45-03:00,231.800000,0.930000,33.310000,0.000000,9.650000,0.000000,48.270000,0.000000,6.380000,0.000000,0.380000,0.610000,4.830000,3.480000,0.520000,22.790000,98.470000,77.230000,42.470000,38.620000,77.710000,0.610000,23.100000,0.950000,0.000000,84.940000,66.520000,21.240000,59.280000,0.870000,257.760000,18.340000,147.460000,18.840000,36.420000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.580000,83.020000,21.530000,0.000000,48.270000,1.340000,0.870000,1.010000,62.990000,0,114.880000,0.380000,0.000000,0,0,0,2195.35

13,03:00-03:15,231.800000,0.930000,33.310000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,98.470000,77.230000,42.470000,38.620000,77.710000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.870000,257.760000,18.340000,147.460000,18.840000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.270000,48.270000,21.530000,0.000000,48.270000,0.000000,0.870000,1.010000,62.990000,0,118.740000,0.000000,0.260000,0,0,0,2038.37

14,03:15-03:30,231.800000,0.930000,33.310000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,98.470000,77.230000,42.470000,38.620000,77.710000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.870000,257.760000,18.340000,147.460000,18.840000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.270000,48.270000,21.530000,0.000000,48.270000,0.000000,0.870000,1.010000,62.990000,0,87.850000,0.000000,0.260000,0,0,0,2007.48

15,03:30-03:45,231.800000,0.930000,33.310000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,98.470000,77.230000,42.470000,38.620000,77.710000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.870000,257.760000,18.340000,147.460000,18.840000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.270000,48.270000,21.530000,0.000000,48.270000,0.000000,0.870000,1.010000,62.990000,0,62.750000,0.000000,0.260000,0,0,0,1982.38

16,03:45-04:00,231.800000,0.930000,33.310000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,98.470000,77.230000,42.470000,38.620000,77.710000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.870000,257.760000,18.340000,147.460000,18.840000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.270000,48.270000,21.530000,0.000000,48.270000,0.000000,0.870000,1.010000,62.990000,0,36.690000,0.000000,0.260000,0,0,0,1956.32

17,04:00-04:15,231.800000,0.930000,33.310000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,98.470000,77.230000,42.470000,38.620000,77.710000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.870000,257.760000,18.340000,147.460000,18.660000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,48.270000,21.530000,0.000000,48.270000,0.000000,0.870000,1.010000,62.990000,0,13.520000,0.000000,0.530000,0,0,0,1932.97

18,04:15-04:30,231.800000,0.930000,33.310000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,98.470000,77.230000,42.470000,38.620000,77.710000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.870000,257.760000,18.340000,147.460000,18.660000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,48.270000,21.530000,0.000000,48.270000,0.000000,0.870000,1.010000,62.990000,0,0.000000,0.000000,0.530000,0,0,0,1919.45

19,04:30-04:45,231.800000,0.930000,33.310000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,98.470000,77.230000,42.470000,38.620000,77.710000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.870000,257.760000,18.340000,147.460000,18.660000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,48.270000,21.530000,0.000000,48.270000,0.000000,0.870000,1.010000,62.990000,0,0.000000,0.000000,0.530000,0,0,0,1919.45

20,04:45-05:00,231.800000,0.930000,33.310000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,98.470000,77.230000,42.470000,38.620000,77.710000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.870000,257.760000,18.340000,147.460000,18.660000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,48.270000,21.530000,0.000000,48.270000,0.000000,0.870000,1.010000,62.990000,0,0.000000,0.000000,0.530000,0,0,0,1919.45

21,05:00-05:15,231.800000,0.930000,33.310000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,0.000000,77.230000,42.470000,38.620000,77.710000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.870000,257.760000,18.340000,147.460000,18.570000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,48.270000,21.530000,0.000000,48.270000,0.000000,0.870000,1.010000,62.990000,0,0.000000,0.000000,0.530000,0,0,0,1820.89

22,05:15-05:30,231.800000,0.930000,33.310000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,0.000000,77.230000,42.470000,38.620000,77.710000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.870000,257.760000,18.340000,147.460000,18.570000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,48.270000,21.530000,0.000000,48.270000,0.000000,0.870000,1.010000,62.990000,0,0.000000,0.000000,0.530000,0,0,0,1820.89

23,05:30-05:45,231.800000,0.930000,33.310000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,0.000000,77.230000,42.470000,38.620000,77.710000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.870000,257.760000,18.340000,147.460000,18.570000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,48.270000,21.530000,0.000000,48.270000,0.000000,0.870000,1.010000,62.990000,0,0.000000,0.000000,0.530000,0,0,0,1820.89

24,05:45-06:00,231.800000,0.930000,33.310000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,0.000000,77.230000,42.470000,38.620000,77.710000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.870000,257.760000,18.340000,147.460000,18.570000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,48.270000,21.530000,0.000000,48.270000,0.000000,0.870000,1.010000,62.990000,0,0.000000,0.000000,0.530000,0,0,0,1820.89

25,06:00-06:15,15.760000,0.930000,0.000000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,0.000000,77.230000,42.470000,38.620000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.870000,257.760000,18.340000,147.460000,15.440000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.870000,1.010000,62.990000,0,0.000000,0.000000,0.680000,1.4,0.6,0,1452.3

26,06:15-06:30,15.760000,0.930000,0.000000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,0.000000,77.230000,42.470000,38.620000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.870000,257.760000,18.340000,147.460000,15.440000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.870000,1.010000,62.990000,0,0.000000,0.000000,0.680000,6.3,2.7,0.1,1459.4

27,06:30-06:45,15.760000,0.930000,0.000000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,0.000000,77.230000,42.470000,38.620000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.870000,257.760000,18.340000,147.460000,15.440000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.870000,1.010000,62.990000,0,0.000000,0.000000,0.680000,10.5,4.5,0.51,1465.81

28,06:45-07:00,15.760000,0.930000,0.000000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,0.000000,77.230000,42.470000,38.620000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.870000,257.760000,18.340000,147.460000,15.440000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.870000,1.010000,62.990000,0,0.000000,0.000000,0.680000,17.5,7.5,0.89,1476.19

29,07:00-07:15,15.760000,0.930000,0.000000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,0.000000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.870000,257.760000,18.340000,147.460000,15.440000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.870000,1.010000,62.990000,0,0.000000,0.000000,0.680000,24.5,10.5,1.31,1447.99

30,07:15-07:30,15.760000,0.930000,0.000000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,0.000000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.870000,257.760000,18.340000,147.460000,15.440000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.870000,1.010000,62.990000,0,0.000000,0.000000,0.680000,24.5,10.5,1.77,1448.45

31,07:30-07:45,15.760000,0.930000,0.000000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,0.000000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.870000,257.760000,18.340000,147.460000,15.440000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.870000,1.010000,62.990000,0,0.000000,0.000000,0.680000,35,15,2.32,1464

32,07:45:08:00,15.760000,0.930000,0.000000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,0.000000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.870000,257.760000,18.340000,147.460000,15.440000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.870000,1.010000,62.990000,0,0.000000,0.000000,0.680000,50.4,21.6,2.79,1486.47

33,08:00-08:15,15.760000,0.980000,0.000000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,0.000000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,15.440000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,30.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,0.000000,0.000000,0.970000,61.6,26.4,2.34,1532.57

34,08:15-08:30,15.760000,0.980000,0.000000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,0.000000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,15.440000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,30.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,0.000000,0.000000,0.970000,72.1,30.9,2.9,1548.13

35,08:30-08:45,15.760000,0.980000,0.000000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,0.000000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,15.440000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,30.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,0.000000,0.000000,0.970000,87.5,37.5,3.79,1571.02

36,08:45:09:00,15.760000,0.980000,0.000000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,0.000000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,15.440000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,30.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,0.000000,0.000000,0.970000,98,42,4.26,1586.49

