Block,Time,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,NR/01102023/31102037/L_NR_2019_11,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_02,NR/30092023/26122029/SH-06,NR/16122023/22122023/HP-16,NR/16122023/22122023/HP-20,NR/01102023/22052037/LT-59,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,SR/01122023/31122023/BYPL_KSEB_DEC23,NR/26072023/25122043/L_NR_2023_10,NR/18122023/18122023/SJVN181223NR1300,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02012046/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,NR/01102023/14082046/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/18122023/18122023/SJVN181223NR1299
6,01:15-01:30,96.040000,0.000000,31.290000,0.000000,71.450000,1.660000,148.550000,0.000000,23.050000,46.100000,25.920000,1.070000,0.000000,109.490000,25.920000,133.760000,127.710000,0.770000,64.39,29.99,0,29.99,0,89.98,29.99,41.61,0,64.39,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,96.040000,0.000000,31.290000,0.000000,71.450000,1.660000,148.550000,0.000000,23.050000,46.100000,25.920000,1.070000,0.000000,109.490000,25.920000,133.760000,127.710000,0.770000,62.67,30.14,0,29.49,0,88.5,29.5,41.61,0,62.67,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,96.040000,0.000000,31.290000,0.000000,71.450000,1.660000,148.550000,0.000000,23.050000,46.100000,25.920000,1.070000,0.000000,109.490000,25.920000,133.760000,127.710000,0.770000,62.42,30.21,0,29.17,0,87.51,29.17,41.61,0,62.42,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,96.040000,0.000000,31.290000,0.000000,71.450000,1.660000,148.550000,0.000000,23.050000,46.100000,25.920000,1.070000,0.000000,109.490000,25.920000,133.760000,127.710000,0.930000,62,30.34,0,28.98,0,86.97,28.99,41.61,0,62,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,96.040000,0.000000,31.290000,0.000000,71.450000,1.660000,148.550000,0.000000,23.050000,46.100000,25.920000,1.070000,0.000000,109.490000,25.920000,133.760000,127.710000,0.930000,61.31,30.55,0,28.42,0,85.26,28.42,41.61,0,61.31,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,96.040000,0.000000,31.470000,0.000000,71.450000,1.660000,148.550000,0.000000,23.050000,46.100000,25.920000,1.070000,0.000000,109.490000,25.920000,133.760000,127.710000,0.930000,61.03,30.89,0,27.54,0,82.67,27.56,41.61,0,61.03,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,96.040000,0.000000,31.470000,0.000000,71.450000,1.660000,148.550000,0.000000,23.050000,46.100000,25.920000,1.070000,0.000000,109.490000,25.920000,133.760000,127.710000,0.930000,60.72,31.58,0,26.87,0,80.62,26.88,41.61,0,60.72,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,96.040000,0.000000,31.470000,0.000000,71.450000,1.660000,148.550000,0.000000,23.050000,46.100000,25.920000,1.070000,0.000000,109.490000,25.920000,133.760000,127.710000,0.930000,59.78,27.06,0,26.01,0,78.03,26.01,41.61,0,59.78,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,96.040000,0.000000,31.470000,0.000000,71.450000,1.660000,148.550000,0.000000,23.050000,46.100000,25.920000,1.070000,0.000000,109.490000,25.920000,133.760000,127.710000,0.930000,59.57,27.64,0,25.96,0,77.93,25.98,41.61,0,59.57,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,96.040000,0.000000,31.290000,0.000000,71.450000,1.660000,148.550000,0.000000,23.050000,46.100000,25.920000,1.070000,0.000000,109.490000,25.920000,133.760000,127.710000,0.930000,62.67,27.46,0,28.67,0,86.03,28.68,41.61,0,62.67,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,96.040000,0.000000,31.290000,0.000000,71.450000,1.660000,148.550000,0.000000,23.050000,46.100000,25.920000,1.070000,0.000000,109.490000,25.920000,133.760000,127.710000,0.930000,62.42,27.57,0,28.8,0,86.38,28.79,41.61,0,62.42,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,96.040000,0.000000,31.290000,0.000000,71.450000,1.660000,148.550000,0.000000,23.050000,46.100000,25.920000,1.070000,0.000000,109.490000,25.920000,133.760000,127.710000,0.850000,62,24.8,0,29.1,0,87.29,29.1,41.61,0,62,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,96.040000,0.000000,31.290000,0.000000,71.450000,1.660000,148.550000,0.000000,23.050000,46.100000,25.920000,1.070000,0.000000,109.490000,25.920000,133.760000,127.710000,0.850000,61.31,24.53,0,29.2,0,87.62,29.21,41.61,0,61.31,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,96.040000,0.000000,31.290000,0.000000,71.450000,1.660000,148.550000,0.000000,23.050000,46.100000,25.920000,1.070000,0.000000,109.490000,25.920000,133.760000,127.710000,0.850000,61.03,22.97,0,29.21,0,87.58,29.19,41.61,0,61.03,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,96.040000,0.000000,31.290000,0.000000,71.450000,1.660000,148.550000,0.000000,23.050000,46.100000,25.920000,1.070000,0.000000,109.490000,25.920000,133.760000,127.710000,0.850000,60.72,22.85,0,29.17,0,87.51,29.17,41.61,0,60.72,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,96.040000,0.000000,31.290000,0.000000,71.450000,1.660000,148.550000,0.000000,23.050000,46.100000,25.920000,1.070000,0.000000,157.510000,25.920000,133.760000,127.710000,0.850000,59.78,22.51,0,29.13,0,87.4,29.14,26.01,0,59.78,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,96.040000,0.000000,31.290000,0.000000,71.450000,1.660000,148.550000,0.000000,23.050000,46.100000,25.920000,1.070000,0.000000,169.250000,25.920000,133.760000,127.710000,0.850000,59.57,22.42,0,29.12,0,87.33,29.11,26.01,0,59.57,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

23,05:30-05:45,96.040000,0.000000,54.930000,0.000000,71.450000,1.660000,192.080000,0.000000,23.050000,46.100000,25.920000,1.070000,0.000000,169.250000,25.920000,133.760000,127.710000,0.850000,59.43,22.38,0,28.83,0,86.47,28.82,22.01,0,59.43,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

24,05:45-06:00,96.040000,0.000000,54.930000,0.000000,71.450000,1.660000,230.500000,0.000000,23.050000,46.100000,25.920000,1.070000,0.000000,178.860000,25.920000,133.760000,127.710000,0.850000,59.27,22.31,0,28.37,0,85.06,28.35,22.01,0,59.27,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

25,06:00-06:15,96.040000,0.000000,54.930000,0.000000,67.230000,1.660000,270.110000,0.000000,23.050000,46.100000,25.370000,0.990000,0.000000,226.880000,30.730000,0.000000,257.150000,0.930000,59.19,22.29,0,26.26,0,78.76,26.25,22.01,0,59.19,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

26,06:15-06:30,96.040000,0.000000,73.830000,0.000000,67.230000,1.660000,270.110000,0.000000,23.050000,86.440000,25.370000,0.990000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,57.89,21.81,0,25.58,0,76.76,25.59,22.01,2.04,57.89,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

27,06:30-06:45,96.040000,0.000000,86.630000,0.000000,67.230000,1.660000,270.110000,0.000000,23.050000,100.590000,25.370000,0.990000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,57.17,10.55,1.2,24.92,0.23,74.76,24.92,34.11,5.85,57.17,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

28,06:45-07:00,96.040000,0.000000,86.630000,0.000000,71.550000,1.660000,270.110000,0.000000,22.090000,100.590000,25.370000,0.990000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,56.54,10.14,4.3,24.26,4.31,72.76,24.25,36.12,13.04,56.54,0,48.02,0,0,0,0,0,0,0,0,0,0,0,0

29,07:00-07:15,96.040000,0.000000,86.630000,0.000000,75.870000,1.660000,270.110000,0.000000,21.130000,100.590000,24.930000,0.990000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,49.69,9.59,12.1,23.64,13.7,70.94,23.65,25.94,22.31,49.69,1.567496,48.02,0,0,0,0,0,0,0,0,0,0,0,0

30,07:15-07:30,96.040000,0.060000,86.630000,0.060000,94.500000,1.660000,270.110000,0.060000,21.130000,100.590000,24.930000,0.990000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,48.76,9.26,21.1,22.92,24.85,68.76,22.92,26.3,32.3,48.76,7.243584,48.02,0,0,0,0,0,1,0,0,0,0,1,0

31,07:30-07:45,96.040000,0.270000,86.630000,0.270000,94.500000,1.660000,270.110000,0.270000,20.170000,100.590000,19.580000,0.990000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,36.69,8.82,30.17,22.58,30.16,67.76,22.59,26.55,30.17,36.69,14.31192,48.02,1,0,4.08,0,0.33,3,0,1,1,0.81,3,0

32,07:45:08:00,96.040000,0.710000,86.630000,0.710000,94.500000,1.660000,270.110000,0.730000,20.170000,100.590000,19.580000,0.990000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,36.12,8.42,30.17,22.26,30.16,66.76,22.25,26.85,30.17,36.12,22.29544,48.02,4,0,14.35,0,1,5,0,3,3,2.87,8,0

33,08:00-08:15,96.040000,1.410000,86.630000,1.410000,94.500000,1.660000,270.110000,1.450000,20.170000,100.590000,19.580000,0.990000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,35.12,8.19,30.33,21.76,30.34,65.26,21.75,27.16,30.33,35.12,31.826984,48.02,9,0,30.58,0,6.14,10,0,6,5,6.12,21,0

34,08:15-08:30,96.040000,2.320000,86.630000,2.320000,94.500000,1.660000,270.110000,2.380000,20.170000,100.590000,19.580000,0.990000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,34.81,7.69,30.33,21.08,30.34,63.26,21.09,27.75,30.33,34.81,42.565792,48.02,15,0,51.95,0,14.53,17,0,10,8,10.39,35,0

35,08:30-08:45,96.040000,3.470000,86.630000,3.470000,94.500000,1.660000,270.110000,3.550000,20.170000,100.590000,19.580000,0.990000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,33.45,7.34,32,16.23,32,48.72,16.24,28.61,32,33.45,53.606416,48.02,21,0,76.27,0,22.85,27,0,14,13,15.25,49,0

36,08:45:09:00,96.040000,4.780000,86.630000,4.780000,94.500000,1.660000,270.110000,4.900000,20.170000,100.590000,19.580000,0.990000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,32.73,7.34,32,15.25,32,45.76,15.26,29.3,32,32.73,63.848688,48.02,27,0,96.58,0,29.72,33,0,19,17,19.32,63,0

37,09:00:09:15,96.040000,6.200000,86.630000,6.200000,94.500000,1.660000,270.110000,6.360000,20.170000,100.590000,19.580000,0.990000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,32.2,7.34,32,13.98,32,41.97,13.99,29.87,32,32.2,72.659768,48.02,34,0,115.9,0,37.17,43,0,24,22,23.18,81,0

38,09:15-09:30,96.040000,7.580000,86.630000,7.580000,94.500000,1.660000,270.110000,7.760000,20.170000,100.590000,19.580000,0.990000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,32.17,7.34,32,12.63,32,37.88,12.63,30.08,32,32.17,81.723984,48.02,40,0,135.84,0,45.36,50,0,29,25,27.17,95,0

39,09:30-09:45,96.040000,8.820000,86.630000,8.820000,94.500000,1.660000,270.110000,9.040000,20.170000,100.590000,19.580000,0.990000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,53.35,15.21,32,27.75,32,83.23,27.74,29.27,32,53.35,90.311136,48.02,48,28.81,154.28,0,52.56,59,0,29.33,30,30.86,112,24.01

40,09:45-10:00,96.040000,9.950000,86.630000,9.950000,94.500000,1.660000,270.110000,10.200000,20.170000,100.590000,19.580000,0.990000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,54.5,15.45,32.5,26.86,32.5,80.56,26.85,29.18,32.5,54.5,98.314128,48.02,54,28.81,171.8,0,58.43,65,0,31.64,33,34.36,126,24.01

41,10:00-10:15,96.040000,10.960000,74.230000,10.960000,94.500000,1.660000,270.110000,11.240000,20.170000,100.590000,24.930000,0.990000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,58.2,18.34,32.5,26.82,32.5,80.49,26.83,0,32.5,58.2,105.606392,48.02,61,28.81,186.43,0,64.11,71,0,34.23,36,37.28,144,24.01

42,10:15-10:30,96.040000,11.820000,74.230000,11.820000,94.500000,1.660000,270.110000,12.120000,20.170000,100.590000,30.730000,0.990000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,62.49,18.34,32.5,26.07,32.5,78.19,26.06,0,32.5,62.49,111.993208,48.02,66,28.81,199.61,0,69.2,77,0,36.44,38,39.92,154,24.01

43,10:30-10:45,96.040000,12.540000,74.230000,12.540000,94.500000,1.660000,270.110000,12.850000,20.170000,76.830000,30.730000,0.990000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,40.11,8.21,32.5,25.72,32.5,77.18,25.73,0,32.5,40.11,117.5622,48.02,69,28.81,212.31,0,74.09,81,0,38.63,41,42.46,161,24.01

44,10:45-11:00,96.040000,13.140000,74.230000,13.140000,94.500000,1.660000,270.110000,13.470000,20.170000,76.830000,30.730000,0.990000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,39.55,8.23,32.5,25.44,32.5,76.35,25.45,0,32.5,39.55,122.04076,48.02,72,28.81,223.41,0,78.34,85,0,39.58,42,44.68,168,24.01

45,11:00-11:15,96.040000,13.700000,74.230000,13.700000,94.500000,1.710000,270.110000,14.050000,21.130000,100.590000,19.580000,1.070000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,31.65,8.28,32.5,17.87,32.5,53.6,17.87,0,32.5,31.65,125.25364,48.02,73,28.81,232.95,0,81.64,87,0,40.69,43,46.59,172,24.01

46,11:15-11:30,96.040000,14.170000,74.230000,14.170000,94.500000,1.710000,270.110000,14.530000,21.130000,100.590000,19.580000,1.070000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,31.99,8.38,32.5,17.91,32.5,53.76,17.92,0,32.5,31.99,127.463712,48.02,76,28.81,233.33,0,84.54,87,0,41.84,44,46.67,179,24.01

47,11:30-11:45,96.040000,14.590000,74.230000,14.590000,94.500000,1.710000,270.110000,14.960000,21.130000,76.830000,24.930000,1.070000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,31.57,8.34,32.5,12.03,32.5,36.11,12.04,0,32.5,31.57,128.797544,48.02,78,28.81,233.33,0,86.31,90,0,41.7,45,46.67,182,24.01

48,11:45-12:00,96.040000,14.840000,74.230000,14.840000,94.500000,1.710000,270.110000,15.210000,21.130000,76.830000,24.930000,1.070000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,31.45,8.34,32.5,12.41,32.5,37.21,12.4,0,32.5,31.45,129.255136,48.02,78,28.81,233.33,0,88.73,90,0,41.95,45,46.67,182,24.01

49,12:00-12:15,96.040000,14.980000,74.230000,14.980000,94.500000,1.710000,270.110000,15.360000,21.130000,67.230000,30.730000,1.140000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,18.27,6.66,32.5,12.85,32.5,38.53,12.84,0,32.5,18.27,129.566688,48.02,79,28.81,233.33,0,88.71,90,0,43.44,45,46.67,186,24.01

50,12:15-12:30,96.040000,14.980000,74.230000,14.980000,94.500000,1.710000,270.110000,15.360000,21.130000,67.230000,30.730000,1.140000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,18.93,6.66,32.5,13.63,32.5,40.87,13.62,0,32.5,18.93,129.216192,48.02,79,28.81,233.33,0,90.41,90,0,43.5,45,46.67,186,24.01

51,12:30-12:45,96.040000,14.980000,74.230000,14.980000,94.500000,1.710000,270.110000,15.360000,20.170000,48.020000,30.730000,1.140000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,19.93,6.94,32.5,9.28,32.5,27.83,9.28,0,32.5,19.93,133.373464,48.02,79,28.81,233.33,0,90.7,90,0,43.5,45,46.67,186,24.01

52,12:45-13:00,96.040000,14.980000,74.230000,14.980000,94.500000,1.710000,270.110000,15.360000,20.170000,48.020000,30.730000,1.140000,0.000000,259.880000,30.730000,0.000000,257.150000,0.930000,20.86,7.6,32.5,9.31,32.5,27.92,9.31,0,32.5,20.86,131.173128,48.02,79,28.81,233.33,0,89.16,90,0,42.76,45,46.67,186,24.01

53,13:00-13:15,96.040000,14.960000,55.340000,14.960000,67.230000,1.710000,230.500000,15.330000,20.170000,48.020000,30.730000,1.140000,0.000000,259.880000,25.370000,0.000000,257.150000,1.010000,27.45,8.74,32.5,13.73,32.5,41.19,13.73,0,32.5,27.45,128.41784,48.02,79,28.81,233.33,0,88.06,88,0,42.33,44,46.67,186,24.01

54,13:15-13:30,96.040000,14.870000,55.340000,14.870000,67.230000,1.710000,192.080000,15.240000,20.170000,48.020000,30.730000,1.140000,0.000000,259.880000,25.370000,0.000000,257.150000,1.010000,28.26,8.68,32.5,14.13,32.5,42.39,14.13,0,32.5,28.26,125.097864,48.02,78,28.81,233.33,0,86.58,87,0,41.87,43,46.67,182,24.01

55,13:30-13:45,96.040000,14.490000,55.340000,14.490000,67.230000,1.710000,230.500000,14.850000,20.170000,48.020000,30.730000,1.140000,0.000000,259.880000,25.370000,0.000000,257.150000,1.010000,28.55,12.57,32.5,14.57,32.5,43.74,14.58,0,32.5,28.55,120.882176,48.02,76,28.81,233.33,0,83.67,83,0,42.22,42,46.67,179,24.01

56,13:45-14:00,96.040000,13.990000,55.340000,13.990000,67.230000,1.710000,270.110000,14.330000,20.170000,48.020000,30.730000,1.140000,0.000000,259.880000,25.370000,0.000000,257.150000,1.010000,28.68,13.1,32.5,14.76,32.5,44.31,14.77,0,32.5,28.68,115.722096,48.02,73,28.81,233.33,0,81.52,82,0,40.7,41,46.67,172,24.01

57,14:00-14:15,96.040000,13.330000,55.340000,13.330000,67.230000,1.760000,270.110000,13.670000,20.170000,48.020000,30.730000,1.220000,0.000000,259.880000,25.370000,0.000000,257.150000,1.010000,29.38,12.77,32.5,18.68,32.5,56.06,18.69,0,32.5,29.38,110.240728,48.02,70,28.81,230.91,0,79.55,77,0,39.15,39,46.18,165,24.01

58,14:15-14:30,96.040000,12.670000,55.340000,12.670000,67.230000,1.760000,270.110000,12.990000,20.170000,48.020000,30.730000,1.220000,0.000000,259.880000,25.370000,0.000000,257.150000,1.010000,30.83,13.27,32.5,19.07,32.5,57.21,19.07,0,32.5,30.83,104.194672,48.02,67,28.81,222.58,0,75.77,72,0,37.18,36,44.51,158,24.01

59,14:30-14:45,96.040000,11.850000,74.230000,11.850000,67.230000,1.760000,270.110000,12.150000,20.170000,48.020000,30.730000,1.220000,0.000000,249.630000,25.370000,0.000000,257.150000,1.010000,37.51,26.16,32.5,29.51,32.5,88.56,29.52,0,32.5,37.51,97.204224,48.02,63,28.81,211.68,0,71,68,0,35.3,34,42.33,147,24.01

60,14:45-15:00,96.040000,10.950000,74.230000,10.950000,94.500000,1.760000,270.110000,11.230000,21.130000,48.020000,30.730000,1.220000,0.000000,249.630000,25.370000,0.000000,257.150000,1.010000,38.29,25.93,32.5,29.84,32.5,89.5,29.83,0,32.5,38.29,89.094136,48.02,58,28.81,199.98,0,65.82,63,0,33.09,32,39.99,137,24.01

61,15:00-15:15,96.040000,9.960000,74.230000,9.960000,98.830000,1.760000,270.110000,10.210000,21.130000,48.020000,30.730000,1.220000,0.000000,249.630000,25.370000,0.000000,257.150000,1.090000,47.16,25.6,32.5,30.01,32.5,90.03,30.01,0,32.5,47.16,83.710128,48.02,54,28.81,185.65,0,61.02,58,0,31,29,37.13,126,24.01

62,15:15-15:30,96.040000,8.890000,74.230000,8.890000,103.150000,1.760000,270.110000,9.110000,21.130000,48.020000,30.730000,1.220000,0.000000,249.630000,25.370000,0.000000,257.150000,1.090000,47.39,25.23,32.5,30.12,32.5,90.34,30.11,0,32.5,47.39,73.740464,48.02,48,28.81,170.57,0,55.78,52,0,28.02,26,34.11,112,24.01

63,15:30-15:45,96.040000,7.750000,74.230000,7.750000,104.110000,1.760000,270.110000,7.950000,21.130000,48.020000,25.920000,1.220000,0.000000,249.630000,25.920000,0.000000,257.150000,1.090000,47.83,24.75,32.5,30.15,32.5,90.5,30.17,0,32.5,47.83,62.690104,48.02,42,28.81,154.32,0,49.79,45,0,24.91,23,30.86,98,24.01

64,15:45-16:00,96.040000,6.610000,74.230000,6.610000,104.110000,1.760000,270.110000,6.780000,22.090000,48.020000,25.920000,1.220000,0.000000,249.630000,25.920000,0.000000,257.150000,1.090000,48.03,24.23,32.5,30.25,32.5,90.75,30.25,0,32.5,48.03,51.191888,48.02,36,28.81,137.73,0,42.79,38,0,21.55,19,27.55,84,24.01

65,16:00-16:15,96.040000,5.430000,74.230000,5.430000,104.110000,1.760000,270.110000,5.570000,22.090000,57.620000,25.580000,1.300000,0.000000,259.880000,25.580000,0.000000,257.150000,1.090000,47.37,26.16,26,29.92,33,89.71,29.9,0,33,47.37,40.06364,48.02,30,22.86,118.85,0,35.14,30,0,17.01,15,23.77,70,18.25

66,16:15-16:30,96.040000,4.140000,74.230000,4.140000,104.110000,1.760000,270.110000,4.240000,23.050000,76.830000,24.930000,1.300000,0.000000,259.880000,30.730000,0.000000,257.150000,1.090000,47.61,25.9,12.7,29.34,33,88.01,29.34,0,33,47.61,27.913112,48.02,24,18.44,98.7,0,27.07,22,0,13.5,11,19.74,56,13.45

67,16:30-16:45,96.040000,2.850000,74.230000,2.850000,104.110000,1.760000,270.110000,2.920000,23.050000,100.590000,24.930000,1.300000,0.000000,259.880000,30.730000,0.000000,257.150000,1.090000,38.53,25.32,4.3,28.59,22.81,85.79,28.6,0,20.87,38.53,17.933712,48.02,18,0,77.68,0,18.44,14,0,10,7,15.53,42,0

68,16:45-17:00,96.040000,1.710000,67.740000,1.710000,104.110000,1.760000,270.110000,1.750000,23.050000,100.590000,24.930000,1.300000,0.000000,259.880000,30.730000,0.000000,257.150000,1.090000,35.77,24.45,0.7,27.75,8.83,83.27,27.76,0,10.97,35.77,10.096232,48.02,12,0,54.19,0,9.79,10,0,7,5,10.84,28,0

69,17:00-17:15,96.040000,0.890000,86.630000,0.890000,104.110000,1.760000,270.110000,0.920000,24.010000,100.590000,30.730000,1.300000,0.000000,259.880000,30.730000,0.000000,257.150000,1.160000,34.22,23.43,0,26.13,2.04,78.36,26.12,7.21,4.08,34.22,4.020968,48.02,6,0,33.29,0,1.77,7,0,4,3,6.66,14,0

