Column1,Block,NR/2024/21954/A/32825,NR/2024/21940/A/32827,NR/2024/21918/A/32872,NR/2024/22639/C,NR/2024/22640/C,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21933/A/32566,NR/2024/21860/A/32903,NR/2024/21966/A/32755,NR/2024/21968/A/32831,NR/2024/21658/A/32531,NR/2024/21983/A/32565,NR/2024/22637/C,NR/2024/21974/A/32839,NR/2024/21971/A/32836,NR/2024/21911/A/32801,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/22010/A/32884,NR/30092023/31122025/SH-07,NR/2024/21970/A/32833,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/2024/22042/A/32529,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/2024/21943/A/32824,NR/16082024/31082024/APL-Raigarh_august,NR/16082024/31082024/MPL/24-25/STOA/128,NR/2024/22632/C,NR/2024/22432/A/32579,NR/2024/22498/A/32887,NR/2024/22014/A/32530,NR/2024/22279/A/32526,NR/01082024/31082024/SKS-Raigarh,NR/2024/21961/A/32583,NR/2024/21956/A/32828,NR/30092023/26122029/SH-06,NR/01082024/31082024/jitpl,NR/2024/21938/A/32585,NR/2024/21814/A/32841,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01102023/02012046/L_NR_2021_17,NR/2024/22654/C,NR/2024/22534/A/32581,NR/2024/22535/A/32580,NR/01102023/14082046/L_NR_2021_16,Total
3,00:30-00:45,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.63,0,0,26.23,26.23,0,17.08,11.68,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,8.66,0,1.92,4.81,8.74,97.37,67.32,32,17.23,32.46,48.08,96.17,38.47,0,0,0,0,0,1512.15

4,00:45-01:00,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.63,0,0,26.23,26.23,0,17.08,11.68,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,8.66,0,1.92,4.81,8.74,97.37,67.32,32,17.23,32.46,48.08,96.17,38.47,0,0,0,0,0,1512.15

5,01:00-01:15,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.58,0,0,26.23,26.23,0,17.08,11.68,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,8.66,0,1.92,4.81,8.74,97.37,67.32,32,17.23,32.46,48.08,96.17,38.47,0,0,0,0,0,1512.1

6,01:15-01:30,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.58,0,0,26.23,26.23,0,17.08,11.68,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,8.66,0,1.92,4.81,8.74,97.37,67.32,32,17.23,32.46,48.08,96.17,38.47,0,0,0,0,0,1512.1

7,01:30-01:45,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.58,0,0,26.23,26.23,0,17.08,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,8.66,0,1.92,4.81,8.74,97.37,67.32,26.7799,17.23,32.46,48.08,96.17,38.47,0,0,0,0,0,1501.6598

8,01:45-02:00,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.58,0,0,26.23,26.23,0,17.08,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,8.66,0,1.92,4.81,8.74,97.37,67.32,26.7799,17.23,32.46,48.08,96.17,38.47,0,0,0,0,0,1501.6598

9,02:00-02:15,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.58,0,0,26.23,26.23,0,16.8,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,8.66,0,1.92,4.81,8.74,97.37,67.32,26.7799,17.23,32.46,48.08,96.17,38.47,0,0,0,0,0,1501.3798000000002

10,02:15-02:30,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.58,0,0,26.23,26.23,0,16.8,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,8.66,0,1.92,4.81,8.74,97.37,67.32,26.7799,17.23,32.46,48.08,96.17,38.47,0,0,0,0,0,1501.3798000000002

11,02:30-02:45,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.58,0,0,26.23,26.23,0,16.8,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,8.66,0,1.92,4.81,8.74,97.37,67.32,26.7799,17.23,32.46,48.08,96.17,38.47,0,0,0,0,0,1501.3798000000002

12,02:45-03:00,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.58,0,0,26.23,26.23,0,16.8,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,8.66,0,1.92,4.81,8.74,97.37,67.32,26.7799,17.23,32.46,48.08,96.17,38.47,0,0,0,0,0,1501.3798000000002

13,03:00-03:15,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.58,0,0,26.23,26.23,0,16.8,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,8.66,0,1.92,4.81,8.74,97.37,67.32,26.7799,17.23,32.46,48.08,96.17,0,0,0,0,0,0,1462.9098000000001

14,03:15-03:30,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.58,0,0,26.23,26.23,0,16.8,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,8.66,0,1.92,4.81,8.74,97.37,67.32,26.7799,17.23,32.46,48.08,96.17,0,0,0,0,0,0,1462.9098000000001

15,03:30-03:45,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.58,0,0,26.23,26.23,0,16.8,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,8.66,0,1.92,4.81,8.74,97.37,67.32,26.7799,17.23,32.46,48.08,96.17,0,0,0,0,0,0,1462.9098000000001

16,03:45-04:00,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.58,0,0,26.23,26.23,0,16.8,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,8.66,0,1.92,4.81,8.74,97.37,67.32,26.7799,17.23,32.46,48.08,96.17,0,0,0,0,0,0,1462.9098000000001

17,04:00-04:15,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.53,0,0,26.23,26.23,0,16.8,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,8.66,0,1.92,4.81,8.74,97.37,67.32,26.7799,17.23,32.46,48.08,96.17,0,0,0,0,0,0,1462.8598

18,04:15-04:30,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.53,0,0,26.23,26.23,0,16.8,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,8.66,0,1.92,4.81,8.74,97.37,67.32,26.7799,17.23,32.46,48.08,96.17,0,0,0,0,0,0,1462.8598

19,04:30-04:45,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.53,0,0,26.23,26.23,0,16.8,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,8.66,0,1.92,4.81,8.74,97.37,67.32,26.7799,17.23,32.46,48.08,96.17,0,0,0,0,0,0,1462.8598

20,04:45-05:00,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.53,0,0,26.23,26.23,0,16.8,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,8.66,0,1.92,4.81,8.74,97.37,67.32,26.7799,17.23,32.46,48.08,96.17,0,0,0,0,0,0,1462.8598

21,05:00-05:15,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.53,0,0,26.23,26.23,0,14.5,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,8.66,0,1.92,4.81,8.74,97.37,24.04,26.7799,17.23,32.46,48.08,96.17,0,0,0,0,0,0,1417.2798000000003

22,05:15-05:30,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.53,0,0,26.23,26.23,0,14.5,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,8.66,0,1.92,4.81,8.74,97.37,24.04,26.7799,17.23,32.46,48.08,96.17,0,0,0,0,0,0,1417.2798000000003

23,05:30-05:45,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.53,0,0,26.23,26.23,0,14.5,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,8.66,0,1.92,4.81,8.74,97.37,24.04,26.7799,17.23,32.46,48.08,96.17,0,0,0,0,0,0,1417.2798000000003

24,05:45-06:00,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.53,0,0,26.23,26.23,0,14.5,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,7.69,0,1.92,4.81,8.74,97.37,24.04,26.7799,17.23,32.46,48.08,96.17,0,0,0,0,0,0,1416.3098

25,06:00-06:15,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.63,0,0,26.23,26.23,0,14.5,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,7.69,0,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,96.17,0,0,0,0,0,0,1286.5798

26,06:15-06:30,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.63,0,0,26.23,26.23,0,14.5,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,7.69,0,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,96.17,0,0,0,0,0,0,1286.5798

27,06:30-06:45,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.63,0,0,26.23,26.23,0,14.5,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,7.69,0,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,96.17,0,0,0,0,0,0,1286.5798

28,06:45-07:00,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.63,0,0,26.23,26.23,0,14.5,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,7.69,0,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,96.17,0,0,0,0,0,0,1286.5798

29,07:00-07:15,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.72,0,0,26.23,26.23,0,14.5,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,7.69,0,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,96.17,0,0,0,0,0,0,1286.6698000000001

30,07:15-07:30,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.72,0,0,26.23,26.23,0,14.5,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,7.69,0,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,96.17,0,0,0,0,0,0,1286.6698000000001

31,07:30-07:45,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.72,0,0,26.23,26.23,0,14.5,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,6.73,0,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,96.17,0,0,0,0,0,0,1285.7098

32,07:45-08:00,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.72,0,0,26.23,26.23,0,14.5,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,6.73,0,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,96.17,0,0,0,0,0,0,1285.7098

33,08:00-08:15,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.96,0,0,26.23,26.23,0,14.5,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,6.73,0,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,96.17,0,0,0,0,0,0,1285.9497999999999

34,08:15-08:30,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.96,0,0,26.23,26.23,0,14.5,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,6.73,0,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,96.17,0,0,0,0,0,0,1285.9497999999999

35,08:30-08:45,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.96,0,0,26.23,26.23,0,14.5,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,6.73,0,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,96.17,0,0,0,0,0,0,1285.9497999999999

36,08:45-09:00,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.96,0,0,26.23,26.23,0,14.5,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,6.73,0,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,96.17,0,0,0,0,0,0,1285.9497999999999

37,09:00-09:15,23.97,83.84,90.4,109.15,81.74,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,0,42.31,10.58,0,1339.4998

38,09:15-09:30,23.97,83.84,90.4,109.15,81.74,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,0,42.31,10.58,0,1339.4998

39,09:30-09:45,23.97,83.84,90.4,109.15,81.74,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,0,42.31,10.58,0,1339.4998

40,09:45-10:00,23.97,83.84,90.4,109.15,81.74,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,0,42.31,10.58,0,1339.4998

41,10:00-10:15,23.97,83.84,90.4,109.15,81.74,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,0,42.31,10.58,0,1339.4998

42,10:15-10:30,23.97,83.84,90.4,109.15,81.74,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,0,42.31,10.58,0,1339.4998

43,10:30-10:45,23.97,83.84,90.4,109.15,81.74,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,0,42.31,10.58,0,1339.4998

44,10:45-11:00,23.97,83.84,90.4,109.15,81.74,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,0,42.31,10.58,0,1339.4998

45,11:00-11:15,23.97,83.84,90.4,109.15,81.74,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,0,42.31,10.58,0,1339.4998

46,11:15-11:30,23.97,83.84,90.4,109.15,81.74,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,0,42.31,10.58,0,1339.4998

47,11:30-11:45,23.97,83.84,90.4,109.15,81.74,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,0,42.31,10.58,0,1339.4998

48,11:45-12:00,23.97,83.84,90.4,109.15,81.74,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,0,42.31,10.58,0,1339.4998

49,12:00-12:15,23.97,83.84,90.4,163.73,27.89,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,0,42.31,10.58,0,1340.2298

50,12:15-12:30,23.97,83.84,90.4,163.73,27.89,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,0,42.31,10.58,0,1340.2298

51,12:30-12:45,23.97,83.84,90.4,163.73,27.89,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,0,42.31,10.58,0,1340.2298

52,12:45-13:00,23.97,83.84,90.4,163.73,27.89,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,0,42.31,10.58,0,1340.2298

53,13:00-13:15,23.97,83.84,90.4,163.73,27.89,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,0,42.31,10.58,0,1340.2298

54,13:15-13:30,23.97,83.84,90.4,163.73,27.89,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,0,42.31,10.58,0,1340.2298

55,13:30-13:45,23.97,83.84,90.4,163.73,27.89,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,0,42.31,10.58,0,1340.2298

56,13:45-14:00,23.97,83.84,90.4,163.73,27.89,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,0,42.31,10.58,0,1340.2298

57,14:00-14:15,23.97,83.84,90.4,163.73,27.89,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,0,42.31,10.58,0,1340.2298

58,14:15-14:30,23.97,83.84,90.4,163.73,27.89,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,0,42.31,10.58,0,1340.2298

59,14:30-14:45,23.97,83.84,90.4,163.73,27.89,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,3.27,39.05,10.58,0,1340.2398

60,14:45-15:00,23.97,83.84,90.4,163.73,27.89,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,8.27,34.04,10.58,0,1340.2298

61,15:00-15:15,23.97,83.84,90.4,163.73,27.89,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,9.42,32.89,10.58,0,1340.2298000000003

