Time,Block,ER/2023/7662/C,NR/2023/12617/D,NR/2023/12619/D,ER/2023/7657/C,NR/2023/12621/D,NR/2023/10229/A,NR/2023/11957/F,NR/2023/11961/F,NR/2023/10434/A,NR/2023/11284/A,NR/2023/10236/A,NR/2023/10613/A,NR/2023/11956/F,NR/2023/11862/F,NR/2023/11952/F,NR/2023/11643/A,NR/2023/11476/A,NR/2023/11947/F,NR/2023/10944/A,NR/2023/10487/A,NR/2023/10344/A,NR/2023/12633/C,NR/2023/11941/F,NR/2023/11642/A,NR/2023/12626/C,NR/2023/11955/F,NR/2023/11962/F,NR/2023/11342/A,NR/2023/11960/F,NR/2023/11963/F,NR/2023/10223/A,NR/2023/11959/F,NR/2023/11958/F,NR/2023/12638/C,NR/2023/11330/A,NR/2023/12620/D,NR/2023/10611/A,NR/2023/12632/C,Total
5,01:00-01:15,0.000000,0,0,0.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,12.620000,0.400000,2.890000,36.350000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.950000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,182.060000,64.730000,66.850000,9.920000,0.000000,1171.91

6,01:15-01:30,0.000000,0,0,0.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,12.620000,0.400000,2.890000,36.350000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.950000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,152.200000,64.730000,66.850000,9.920000,0.000000,1142.05

7,01:30-01:45,0.000000,0,0,0.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,12.620000,0.400000,2.890000,36.350000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.950000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,109.820000,64.730000,66.850000,9.920000,0.000000,1099.67

8,01:45-02:00,0.000000,0,0,0.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,12.620000,0.400000,2.890000,36.350000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.950000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,44.310000,64.730000,66.850000,9.920000,0.000000,1034.16

9,02:00-02:15,0.000000,0,0,0.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,12.620000,0.400000,2.890000,36.350000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.770000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,0.000000,64.730000,66.850000,9.920000,0.000000,989.67

10,02:15-02:30,0.000000,0,0,0.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,12.620000,0.400000,2.890000,36.350000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.770000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,0.000000,64.730000,66.850000,9.920000,0.000000,989.67

11,02:30-02:45,0.000000,0,0,0.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,12.620000,0.400000,2.890000,36.350000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.770000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,0.000000,64.730000,66.850000,9.920000,0.000000,989.67

12,02:45-03:00,0.000000,0,0,0.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,12.620000,0.400000,2.890000,36.350000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.770000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,0.000000,64.730000,66.850000,9.920000,0.000000,989.67

13,03:00-03:15,0.000000,0,0,0.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,12.620000,0.400000,2.890000,0.000000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.770000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,0.000000,64.730000,66.850000,9.920000,0.000000,953.32

14,03:15-03:30,0.000000,0,0,0.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,12.620000,0.400000,2.890000,0.000000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.770000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,0.000000,64.730000,66.850000,9.920000,0.000000,953.32

15,03:30-03:45,0.000000,0,0,0.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,12.620000,0.400000,2.890000,0.000000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.770000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,0.000000,64.730000,66.850000,9.920000,0.000000,953.32

16,03:45-04:00,0.000000,0,0,0.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,12.620000,0.400000,2.890000,0.000000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.770000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,0.000000,64.730000,66.850000,9.920000,0.000000,953.32

17,04:00-04:15,0.000000,0,0,50.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,12.620000,0.400000,2.890000,0.000000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.680000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,0.000000,64.730000,66.850000,9.920000,0.000000,1003.23

18,04:15-04:30,0.000000,0,0,50.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,12.620000,0.400000,2.890000,0.000000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.680000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,0.000000,64.730000,66.850000,9.920000,0.000000,1003.23

19,04:30-04:45,0.000000,0,0,50.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,12.620000,0.400000,2.890000,0.000000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.680000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,0.000000,64.730000,66.850000,9.920000,0.000000,1003.23

20,04:45-05:00,0.000000,0,0,50.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,12.620000,0.400000,2.890000,0.000000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.680000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,0.000000,64.730000,66.850000,9.920000,0.000000,1003.23

21,05:00-05:15,0.000000,0,0,50.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,0.000000,0.400000,2.890000,0.000000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.590000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,0.000000,64.730000,66.850000,9.920000,0.000000,990.52

22,05:15-05:30,0.000000,0,0,50.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,0.000000,0.400000,2.890000,0.000000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.590000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,0.000000,64.730000,66.850000,9.920000,0.000000,990.52

23,05:30-05:45,0.000000,0,0,50.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,0.000000,0.400000,2.890000,0.000000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.590000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,0.000000,64.730000,66.850000,9.920000,0.000000,990.52

24,05:45-06:00,0.000000,0,0,50.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,0.000000,0.400000,2.890000,0.000000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.590000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,0.000000,64.730000,66.850000,9.920000,0.000000,990.52

25,06:00-06:15,0.000000,0,0,50.000000,0,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,0.000000,0.400000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.590000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,0.000000,0.000000,66.850000,9.920000,0.000000,898.05

26,06:15-06:30,0.000000,0,1.5,50.000000,3.5,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,0.000000,0.400000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.590000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,0.000000,0.000000,66.850000,9.920000,0.000000,903.05

27,06:30-06:45,0.000000,0.45,3,50.000000,7,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,0.000000,0.400000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.590000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,0.000000,0.000000,66.850000,9.920000,0.000000,908.5

28,06:45-07:00,0.000000,0.78,6,50.000000,14,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,0.000000,0.400000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.590000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,0.000000,0.000000,66.850000,9.920000,0.000000,918.83

29,07:00-07:15,100.000000,1.2,10.5,50.000000,24.5,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,0.000000,0.400000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,0.000000,0.000000,66.850000,9.920000,0.000000,1034.15

30,07:15-07:30,100.000000,1.72,15.6,50.000000,36.4,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,0.000000,0.400000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,0.000000,0.000000,66.850000,9.920000,0.000000,1051.67

31,07:30-07:45,100.000000,2.29,22.2,50.000000,51.8,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,0.000000,0.400000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,0.000000,0.000000,66.850000,9.920000,0.000000,1074.24

32,07:45:08:00,100.000000,2.89,24,50.000000,56,49.850000,0.780000,0.770000,24.080000,33.720000,274.170000,0.000000,0.400000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.710000,0.460000,24.920000,0.710000,0.640000,0.000000,0.000000,66.850000,9.920000,0.000000,1080.84

33,08:00-08:15,100.000000,3.48,30,50.000000,70,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,0.000000,1101.43

34,08:15-08:30,100.000000,4.07,37.2,50.000000,86.8,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,0.000000,1126.02

35,08:30-08:45,100.000000,4.38,42.9,50.000000,100.1,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,0.000000,1145.33

36,08:45:09:00,100.000000,5.01,49.5,50.000000,115.5,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,30.580000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,0.000000,1167.96

37,09:00:09:15,100.000000,5.35,54.6,50.000000,127.4,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,33.630000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,0.000000,1188.35

38,09:15-09:30,100.000000,5.76,59.7,50.000000,139.3,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,33.630000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,0.000000,1205.76

39,09:30-09:45,100.000000,5.78,63.9,50.000000,149.1,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,33.630000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,0.000000,1219.78

40,09:45-10:00,100.000000,5.83,68.7,50.000000,160.3,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,33.630000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,0.000000,1235.83

41,10:00-10:15,100.000000,6.21,72,50.000000,168,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,33.630000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,0.000000,1247.21

42,10:15-10:30,100.000000,6.31,79.5,50.000000,185.5,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,33.630000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,0.000000,1272.31

43,10:30-10:45,100.000000,6.31,81,50.000000,189,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,33.630000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,0.000000,1277.31

44,10:45-11:00,100.000000,6.79,84.3,50.000000,196.7,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,33.630000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,0.000000,1288.79

45,11:00-11:15,100.000000,7.27,85.8,50.000000,200.2,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,33.630000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,10.000000,1304.27

46,11:15-11:30,100.000000,7.8,86.4,50.000000,201.6,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,33.630000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,10.000000,1306.8

47,11:30-11:45,100.000000,8.04,86.7,50.000000,202.3,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,33.630000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,10.000000,1308.04

48,11:45-12:00,100.000000,8.09,86.7,50.000000,202.3,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,33.630000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,10.000000,1308.09

49,12:00-12:15,100.000000,8.19,86.4,50.000000,201.6,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,33.630000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,10.000000,1307.19

50,12:15-12:30,100.000000,8.38,86.4,50.000000,201.6,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,33.630000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,10.000000,1307.38

51,12:30-12:45,100.000000,8.72,86.4,50.000000,201.6,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,33.630000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,10.000000,1307.72

52,12:45-13:00,100.000000,8.91,86.4,50.000000,201.6,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,33.630000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,10.000000,1307.91

53,13:00-13:15,100.000000,9.1,86.4,50.000000,201.6,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,33.630000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,10.000000,1308.1

54,13:15-13:30,100.000000,8.96,86.4,50.000000,201.6,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,33.630000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,10.000000,1307.96

55,13:30-13:45,100.000000,8.77,85.5,50.000000,199.5,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,33.630000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,10.000000,1304.77

56,13:45-14:00,100.000000,8.38,84.6,50.000000,197.4,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,33.630000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,10.000000,1301.38

57,14:00-14:15,0.000000,8.43,83.7,0.000000,195.3,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,33.630000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,10.000000,1148.43

58,14:15-14:30,0.000000,8.36,78,0.000000,182,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,33.630000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,10.000000,1129.36

