Time,Block,NR/2023/13253/A,NR/2023/13385/A,NR/2023/16191/A,NR/2023/13148/A,NR/2023/17390/C,NR/2023/16185/A,NR/2023/16073/A,NR/2023/13168/A,NR/2023/13383/A,NR/2023/17383/C,NR/2023/13165/A,NR/2023/16077/A,NR/2023/17388/C,NR/2023/16291/F,NR/2023/17379/C,NR/2023/17380/C,NR/2023/13150/A,NR/2023/17372/D,NR/2023/15770/A,NR/2023/17389/C,NR/2023/17371/D,NR/2023/17377/C,NR/2023/13387/A,NR/2023/13254/A,NR/2023/17381/C,Total
76,18:45-19:00,48.330000,50.020000,42.050000,36.470000,0,38.660000,0.000000,34.800000,0.000000,96.660000,22.230000,0.000000,0.000000,0.820000,8.670000,144.990000,63.020000,106.820000,62.830000,0.000000,0,8.070000,100.040000,19.610000,313.180000,1197.27

77,19:00-19:15,48.330000,50.020000,42.050000,36.470000,0,38.660000,0.000000,34.800000,0.000000,193.320000,22.230000,0.000000,0.000000,0.820000,8.850000,193.320000,63.020000,106.820000,62.830000,0.000000,0,8.070000,100.040000,19.610000,173.020000,1202.28

78,19:15-19:30,48.330000,50.020000,42.050000,36.470000,0,38.660000,0.000000,34.800000,0.000000,193.320000,22.230000,0.000000,0.000000,0.820000,8.850000,193.320000,63.020000,106.820000,62.830000,0.000000,0,8.070000,100.040000,19.610000,189.450000,1218.71

79,19:30-19:45,48.330000,50.020000,42.050000,36.470000,0,38.660000,0.000000,34.800000,0.000000,193.320000,22.230000,0.000000,0.000000,0.820000,8.850000,193.320000,63.020000,106.820000,62.830000,0.000000,0,8.070000,100.040000,19.610000,189.450000,1218.71

80,19:45-20:00,48.330000,50.020000,42.050000,36.470000,0,38.660000,0.000000,34.800000,0.000000,193.320000,22.230000,0.000000,0.000000,0.820000,8.850000,193.320000,63.020000,106.820000,62.830000,0.000000,0,8.070000,100.040000,19.610000,198.150000,1227.41

81,20:00-20:15,48.330000,50.020000,42.050000,36.470000,0,38.660000,0.000000,34.800000,0.000000,193.320000,22.230000,0.000000,0.000000,0.770000,8.770000,193.320000,63.020000,106.820000,62.830000,0.000000,0,8.070000,100.040000,19.610000,184.620000,1213.75

82,20:15-20:30,48.330000,50.020000,42.050000,36.470000,0,38.660000,0.000000,34.800000,0.000000,193.320000,22.230000,0.000000,0.000000,0.770000,8.770000,193.320000,63.020000,106.820000,62.830000,0.000000,0,8.070000,100.040000,19.610000,164.320000,1193.45

83,20:30-20:45,48.330000,50.020000,42.050000,36.470000,0,38.660000,0.000000,34.800000,0.000000,193.320000,22.230000,0.000000,0.000000,0.770000,8.770000,193.320000,63.020000,106.820000,62.830000,0.000000,0,8.070000,100.040000,19.610000,175.920000,1205.05

84,20:45-21:00,48.330000,50.020000,42.050000,36.470000,0,38.660000,0.000000,34.800000,0.000000,193.320000,22.230000,0.000000,0.000000,0.770000,8.770000,193.320000,63.020000,106.820000,62.830000,0.000000,0,8.070000,100.040000,19.610000,238.750000,1267.88

85,21:00-21:15,48.330000,50.020000,42.050000,36.470000,0,38.660000,0.000000,34.800000,0.000000,193.320000,22.230000,0.000000,0.000000,0.770000,8.670000,193.320000,63.020000,106.820000,62.830000,0.000000,0,8.070000,100.040000,19.610000,263.880000,1292.91

86,21:15-21:30,48.330000,50.020000,42.050000,36.470000,0,38.660000,0.000000,34.800000,0.000000,193.320000,22.230000,0.000000,0.000000,0.770000,8.670000,193.320000,63.020000,106.820000,62.830000,0.000000,0,8.070000,100.040000,19.610000,313.180000,1342.21

87,21:30-21:45,48.330000,50.020000,42.050000,36.470000,0,38.660000,0.000000,34.800000,0.000000,193.320000,22.230000,0.000000,0.000000,0.770000,8.670000,193.320000,63.020000,106.820000,62.830000,0.000000,0,8.070000,100.040000,19.610000,313.180000,1342.21

88,21:45-22:00,48.330000,50.020000,42.050000,36.470000,0,38.660000,0.000000,34.800000,0.000000,193.320000,22.230000,0.000000,0.000000,0.770000,8.670000,193.320000,63.020000,106.820000,62.830000,0.000000,0,8.070000,100.040000,19.610000,313.180000,1342.21

89,22:00-22:15,48.330000,50.020000,42.050000,36.470000,0,38.660000,0.000000,34.800000,36.830000,193.320000,22.230000,85.930000,0.000000,0.770000,8.580000,193.320000,63.020000,106.820000,62.830000,0.000000,0,7.070000,100.040000,19.610000,289.980000,1440.68

90,22:15-22:30,48.330000,50.020000,42.050000,36.470000,0,38.660000,0.000000,34.800000,36.830000,193.320000,22.230000,85.930000,0.000000,0.770000,8.580000,193.320000,63.020000,106.820000,62.830000,0.000000,0,7.070000,100.040000,19.610000,301.580000,1452.28

91,22:30-22:45,48.330000,50.020000,42.050000,36.470000,0,38.660000,0.000000,34.800000,36.830000,193.320000,22.230000,85.930000,0.000000,0.770000,8.580000,193.320000,63.020000,106.820000,62.830000,0.000000,0,7.070000,100.040000,19.610000,313.180000,1463.88

