Column1,Time,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,NR/26072023/25122043/L_NR_2023_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/09/01/6566,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/3451,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/09/01/7908,NR/01102023/31052040/LT-31,GNA/NR/2024/09/01/7196,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/09/01/4802,NR/01082024/30092024/LT_MEJA_DELHI,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/09/01/9821,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/8090,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7119
9,02:00-02:15,35.02,0,0,0,0,0,9.16,0,9.17,19,0,27.5,19,0,0,0,10.34,0,0,28.77,170.97,24.2,26.8708,48.4,5.12,0,21.78,0,48.4,57.78,53.23,96.79,3.59,96.79,0,32.91,70.55,26.87,0,14.78,96.79,0,0,0,17.5

10,02:15-02:30,34.42,0,0,0,0,0,9,0,9,18.67,0,27,18.67,0,0,0,10.34,0,0,28.77,170.97,24.2,26.8708,48.4,5.12,0,21.78,0,48.4,57.78,53.23,96.79,3.59,96.79,0,32.91,70.55,26.87,0,14.78,96.79,0,0,0,17.5

11,02:30-02:45,34.02,0,0,0,0,0,8.84,0,8.83,18,0,26.5,18,0,0,0,10,0,0,28.77,170.97,24.2,26.8708,48.4,5.12,0,21.78,0,48.4,57.78,53.23,96.79,3.59,96.79,0,32.91,70.55,26.87,0,14.78,96.79,0,0,0,17.5

12,02:45-03:00,33.62,0,0,0,0,0,8.66,0,8.67,17.67,0,26,17.67,0,0,0,10,0,0,28.26,122.57,24.2,26.8708,48.4,5.12,0,21.78,0,48.4,57.78,53.23,96.79,3.59,96.79,0,32.91,70.55,26.87,0,14.78,96.79,0,0,0,17.5

13,03:00-03:15,36.01,0,0,0,0,0,8.34,0,8.33,16,0,25,16,0,0,0,9.66,0,0,28.26,110.34,24.2,26.8708,48.4,4.94,0,21.78,0,48.4,57.78,53.23,96.79,3.59,75.26,0,0,70.55,26.87,0,14.6,96.79,0,0,0,17.5

14,03:15-03:30,35.81,0,0,0,0,0,8,0,8,15.67,0,24,15.67,0,0,0,9.34,0,0,28.26,110.34,24.2,26.8708,48.4,4.94,0,21.78,0,48.4,57.78,53.23,96.79,3.59,75.26,0,0,70.55,26.87,0,14.6,96.79,0,0,0,17.5

15,03:30-03:45,35.61,0,0,0,0,0,7.84,0,7.83,15.33,0,23.5,15.33,0,0,0,7.34,0,0,28.26,110.34,24.2,26.8708,48.4,4.94,0,21.78,0,48.4,57.78,53.23,96.79,3.59,75.26,0,0,70.55,26.87,0,14.6,96.79,0,0,0,17.5

16,03:45-04:00,34.61,0,0,0,0,0,7.66,0,7.67,15.33,0,23,15.33,0,0,0,7.34,0,0,28.26,110.34,24.2,26.8708,48.4,4.94,0,21.78,0,48.4,57.78,53.23,96.79,3.59,75.26,0,0,70.55,26.87,0,14.6,96.79,0,0,0,17.5

17,04:00-04:15,30.62,0,0,0,0,0,7.5,0,7.5,15,0,22.5,15,0,0,0,7.34,0,0,28.26,110.34,24.2,26.8708,48.4,4.94,0,21.78,0,48.4,57.78,53.23,96.79,3.59,75.26,0,0,70.55,26.87,0,14.32,96.79,0,0,0,17.5

18,04:15-04:30,30.82,0,0,0,0,0,7.5,0,7.5,15,0,22.5,15,0,0,0,7.34,0,0,28.26,110.34,24.2,26.8708,48.4,4.94,0,21.78,0,48.4,57.78,53.23,96.79,3.59,75.26,0,0,70.55,26.87,0,14.32,96.79,0,0,0,17.5

19,04:30-04:45,30.42,0,0,0,0,0,7.5,0,7.5,15,0,22.5,15,0,0,0,7.34,0,0,28.26,110.34,24.2,26.8708,48.4,4.94,0,21.78,0,48.4,57.78,53.23,96.79,3.59,75.26,0,0,70.55,26.87,0,14.32,96.79,0,0,0,17.5

20,04:45-05:00,29.62,0,0,0,0,0,7.5,0,7.5,15,0,22.5,15,0,0,0,7.34,0,0,27.26,110.34,24.2,26.8708,48.4,4.94,0,21.78,0,48.4,57.78,53.23,96.79,3.59,75.26,0,0,70.55,26.87,0,14.32,96.79,0,0,0,17.5

21,05:00-05:15,29.21,0,0,0,0,0,7.5,0,7.5,26.67,0,22.5,26.67,0,0,0,7.34,0,0,27.26,110.34,24.2,26.8708,48.4,4.66,0,21.78,0,48.4,57.78,53.23,96.79,3.59,96.79,0,0,70.55,26.87,0,14.32,96.79,0,0,0,17.5

22,05:15-05:30,34.01,0,0,0,0,0,7.5,0,7.5,26,0,22.5,26,0,0,0,7.34,0,0,27.26,110.34,24.2,26.8708,48.4,4.66,0,21.78,0,48.4,57.78,53.23,96.79,3.59,116.15,0,0,70.55,26.87,0,14.32,96.79,0,0,0,17.5

23,05:30-05:45,31.01,0,0,0,0,0,7.5,0,7.5,25,0,22.5,25,0,0,0,7.34,0,0,27.26,110.34,24.2,26.8708,48.4,4.66,0,21.78,0,48.4,57.78,61.95,96.79,3.59,135.51,0,0,70.55,26.87,0,14.32,96.79,0,0,0,17.5

24,05:45-06:00,30.61,0,0,0,0,0,7.5,0,7.5,24.33,0,22.5,24.33,0,0,0,7.34,0,0,28.26,110.34,24.2,26.8708,48.4,4.66,0,21.78,0,48.4,57.78,61.95,96.79,3.59,135.51,0,0,70.55,26.87,0,14.32,96.79,0,0,0,17.5

25,06:00-06:15,30.41,1,0,1,0,16.53,7.5,1,7.5,21.67,1,22.5,21.67,0,0.82,15.5,7.34,0.02,4,28.26,158.74,24.2,26.8708,48.4,4.66,0,21.78,0,48.4,57.78,76.46,96.79,3.59,135.51,0,0,70.55,26.87,0,14.32,96.79,0,0,0,17.5

26,06:15-06:30,30.21,2,1,3,0.77,27.84,7.5,1,7.5,20.67,4,22.5,20.67,3.86,2.92,27.25,7.34,1.86,10,28.26,170.97,24.2,26.8708,48.4,4.66,0,21.78,0,48.4,57.78,76.46,96.79,3.59,135.51,0,0,70.55,26.87,0,14.32,96.79,0,0,0,17.5

27,06:30-06:45,30.01,5,3,3,1.59,28.6,7.5,3,7.5,20,7,22.5,20,7.96,4.94,28.6,7.34,4.99,13,27.76,170.97,24.2,26.8708,48.4,4.66,0.73,21.78,0.72,48.4,57.78,76.46,96.79,3.59,135.51,0.72,0,70.55,26.87,0,14.32,96.79,0,0,0,17.5

28,06:45-07:00,29.61,8,4,5,2.53,29.35,7.5,6,7.5,19.33,14,22.5,19.33,12.65,7.94,29.35,7.34,9.03,17,27.76,170.97,24.2,26.8708,48.4,4.66,1,21.78,0.98,48.4,57.78,76.46,96.79,3.59,135.51,0.98,0,70.55,26.87,0,14.32,96.79,0,0,0,17.5

29,07:00-07:15,31.62,10,5,7,3.83,28.1,7.5,9,7.5,18.67,21,22.5,18.67,19.17,10,28.1,7.34,13.88,21,27.76,122.57,24.2,26.8708,48.4,4.66,1.64,21.78,1.6,48.4,57.78,76.46,96.79,3.59,150.52,1.6,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

30,07:15-07:30,31.22,12,6,8,5.31,26.4,7.5,12,7.5,18.33,28,22.5,18.33,26.53,13,26.4,7.34,19.35,26.4,27.76,110.34,24.2,26.8708,48.4,4.66,2.3,21.78,2.24,48.4,57.78,76.46,96.79,3.59,150.52,2.24,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

31,07:30-07:45,31.02,16,8,12,7.77,28.73,7.5,19,7.5,17.67,46,22.5,17.67,38.86,17,28.73,7.34,26.54,28.74,28.77,110.34,24.2,26.8708,48.4,4.66,2.98,21.78,2.9,48.4,57.78,76.46,96.79,3.59,150.52,2.9,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

32,07:45-08:00,31.42,23,11,16,11.63,29.4,7.5,24,7.5,17.33,56,22.5,17.33,58.18,20,29.4,7.34,32.81,29.4,28.26,110.34,24.2,26.8708,48.4,4.66,3.75,21.78,3.66,48.4,57.78,76.46,96.79,3.59,150.52,3.66,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

33,08:00-08:15,31.62,30,15,20,15.37,30.07,7.5,28,7.5,16.67,67,22.5,16.67,76.87,25,30.07,7.34,39.17,30.06,28.26,110.34,24.2,26.8708,48.4,4.66,4.62,21.78,4.51,48.4,57.78,76.46,96.79,3.83,150.52,4.51,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

34,08:15-08:30,31.82,37,18,23,19.73,31.73,7.5,34,7.5,16.33,81,22.5,16.33,98.68,32,31.73,7.34,45.51,31.74,28.26,110.34,24.2,26.8708,48.4,4.66,5.49,21.78,5.36,48.4,57.78,53.23,96.79,3.83,150.52,5.36,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

35,08:30-08:45,32.02,44,21,26,23.44,32.67,7.5,40,7.5,16,95,22.5,16,117.19,38,32.67,7.34,52.36,32.66,28.26,110.34,24.2,26.8708,48.4,4.66,6.37,21.78,6.22,48.4,57.78,53.23,96.79,3.83,150.52,6.22,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

36,08:45-09:00,32.02,51,24,29,27.21,32.67,7.5,46,7.5,15.67,109,22.5,15.67,136.06,45,32.67,7.34,59.42,32.66,28.26,110.34,24.2,26.8708,48.4,4.66,7.23,21.78,7.05,48.4,57.78,53.23,96.79,3.83,150.52,7.05,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

37,09:00-09:15,17,58,27,32,31.19,33,7.5,52,7.5,15.33,123,22.5,15.33,155.97,52,33,7.34,66.92,33,28.26,110.34,24.2,26.8708,48.4,4.66,8.05,21.78,7.85,48.4,57.78,53.23,96.79,3.83,150.52,7.85,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

38,09:15-09:30,17.2,64,30,34,33.47,33,7.5,58,7.5,15,137,22.5,15,167.33,57,33,7.34,73.61,33,27.76,110.34,24.2,26.8708,48.4,4.66,8.85,21.78,8.63,48.4,57.78,53.23,96.79,3.83,150.52,8.63,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

39,09:30-09:45,17.6,69,33,38,37.55,33,7.5,64,7.5,15,151,22.5,15,187.75,65,33,7.34,80.87,33,27.76,110.34,24.2,26.8708,48.4,0,9.83,21.78,9.59,48.4,57.78,53.23,96.79,4.09,150.52,9.59,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

40,09:45-10:00,18,76,37,39,41.03,33,7.5,67,7.5,15,158,22.5,15,205.15,73,33,7.34,88.07,33,27.76,110.34,24.2,26.8708,48.4,0,10.82,21.78,10.55,48.4,57.78,53.23,96.79,4.09,150.52,10.55,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

41,10:00-10:15,26.01,80,38,41,44.6,33,7.5,70,7.5,15,165,22.5,15,223.02,75,33,7.34,93.41,33,27.76,110.34,24.2,26.8708,0,0,11.69,21.78,11.41,48.4,57.78,53.23,0,4.09,150.52,11.41,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

42,10:15-10:30,25.81,85,40,42,45.83,33,7.5,73,7.5,15,172,22.5,15,229.17,78,33,7.34,96.77,33,27.76,110.34,24.2,26.8708,0,0,12.79,21.78,12.47,48.4,57.78,53.23,0,4.09,150.52,12.47,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

43,10:30-10:45,34.01,87,41,43,45.83,33,7.5,76,7.5,15,179,22.5,15,229.17,82,33,7.34,99.39,33,27.25,110.34,24.2,26.8708,0,0,13.91,21.78,13.58,48.4,57.78,53.23,0,4.09,150.52,13.58,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

44,10:45-11:00,34.01,88,42,44,45.83,33,7.5,79,7.5,15,186,22.5,15,229.17,86,33,7.34,101.21,33,26.24,110.34,24.2,26.8708,0,0,14.33,21.78,13.98,48.4,57.78,53.23,0,4.09,150.52,13.98,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

45,11:00-11:15,34.01,90,43,45,45.83,33,7.5,81,7.5,15,189,22.5,15,229.17,89,33,7.34,102.03,33,26.24,110.34,24.2,26.8708,0,0,14.66,21.78,14.31,48.4,57.78,53.23,0,3.86,150.52,14.31,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

46,11:15-11:30,34.01,90,43,45,45.83,33,7.5,81,7.5,15,189,22.5,15,229.17,89,33,7.34,102.91,33,27.25,110.34,24.2,26.8708,0,0,14.86,21.78,14.5,48.4,57.78,53.23,0,3.86,150.52,14.5,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

47,11:30-11:45,34.01,90,43,46,45.83,33,7.5,81,7.5,15,189,22.5,15,229.17,90,33,7.34,102.69,33,27.25,110.34,24.2,26.8708,0,0,15.42,21.78,15.04,48.4,57.78,53.23,0,3.86,150.52,15.04,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

48,11:45-12:00,34.01,90,43,46,45.83,33,7.5,81,7.5,15,189,22.5,15,229.17,90,33,7.34,102.2,33,27.25,110.34,24.2,26.8708,0,0,15.58,21.78,15.19,48.4,57.78,53.23,0,3.86,150.52,15.19,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

49,12:00-12:15,34.01,90,43,46,45.83,33,7.5,81,7.5,15,189,22.5,15,229.17,91,33,7.34,101.45,33,27.25,110.34,24.2,26.8708,0,0,15.71,21.78,15.33,48.4,57.78,53.23,0,3.86,178.09,15.33,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

50,12:15-12:30,34.01,90,43,46,45.83,33,7.5,81,7.5,15,189,22.5,15,229.17,91,33,7.34,99.31,33,28.26,110.34,24.2,26.8708,0,0,16.16,21.78,15.77,48.4,57.78,53.23,0,3.86,178.09,15.77,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

51,12:30-12:45,40.02,90,43,46,45.83,33,7.5,81,7.5,20,189,22.5,20,229.17,91,33,7.34,91.44,33,28.26,110.34,24.2,26.8708,0,0,16.16,21.78,15.77,48.4,57.78,53.23,0,3.86,178.09,15.77,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

52,12:45-13:00,40.42,90,43,46,45.83,33,7.5,81,7.5,20,189,22.5,20,229.17,91,33,7.34,82.91,33,28.26,110.34,24.2,26.8708,0,0,16.16,21.78,15.77,48.4,57.78,53.23,0,3.86,178.09,15.77,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

53,13:00-13:15,41.02,90,43,45,45.83,33,7.5,82,7.5,20,193,22.5,20,229.17,91,33,7.34,73.95,33,28.77,110.34,24.2,26.8708,0,0,16.16,21.78,15.77,48.4,57.78,53.23,0,4.38,192.21,15.77,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

54,13:15-13:30,40.62,90,43,45,45.83,33,7.5,82,7.5,20,193,22.5,20,229.17,91,33,7.34,64.79,33,28.77,110.34,24.2,26.8708,0,0,16.4,21.78,16,48.4,57.78,53.23,0,4.09,192.21,16,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

55,13:30-13:45,43.02,90,43,44,45.83,33,7.5,82,7.5,20,193,22.5,20,229.17,90,33,7.34,68.03,33,28.77,110.34,24.2,26.8708,0,0,16.34,21.78,15.95,48.4,57.78,53.23,0,4.09,211.55,15.95,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

56,13:45-14:00,43.02,90,43,44,45.83,33,7.5,81,7.5,20,189,22.5,20,229.17,89,33,7.34,69.18,33,28.77,110.34,24.2,26.8708,0,0,15.8,21.78,15.41,48.4,57.78,53.23,0,4.09,211.55,15.41,0,70.55,26.87,0,14.14,96.79,0,0,0,17.5

57,14:00-14:15,43.02,90,43,43,45.83,33,7.5,78,7.5,20.33,182,22.5,20.33,229.17,86,33,7.34,69.69,33,29.27,110.34,24.2,26.8708,0,0,14.92,21.78,14.55,48.4,57.78,53.23,0,4.09,211.55,14.55,0,70.55,26.87,0,14.41,96.79,0,0,0,17.5

58,14:15-14:30,43.02,83,40,42,45.83,33,7.5,76,7.5,21,179,22.5,21,229.17,85,33,7.34,69.08,33,29.27,110.34,24.2,26.8708,0,0,14.45,21.78,14.1,48.4,57.78,53.23,0,4.09,211.55,14.1,0,70.55,26.87,0,14.41,96.79,0,0,0,17.5

59,14:30-14:45,43.02,78,37,42,45.83,33,7.5,73,7.5,21.67,172,22.5,21.67,229.17,81,33,7.34,63.87,33,29.27,110.34,24.2,26.8708,0,0,13.84,21.78,13.5,48.4,57.78,53.23,0,4.09,211.55,13.5,0,70.55,26.87,0,14.41,96.79,0,0,0,17.5

60,14:45-15:00,43.02,74,36,41,45.83,33,7.5,72,7.5,22.33,168,22.5,22.33,229.17,77,33,7.34,58.38,33,29.27,158.74,24.2,26.8708,0,0,12.63,21.78,12.32,48.4,57.78,53.23,0,4.09,211.55,12.32,0,70.55,26.87,0,14.41,96.79,0,0,0,17.5

61,15:00-15:15,43.02,76,37,39,45.83,33,7.5,69,7.5,21.33,161,22.5,21.33,229.17,74,33,7.34,67.37,33,29.27,110.34,24.2,26.8708,0,5.77,11.85,21.78,11.57,48.4,57.78,53.23,0,4.09,211.55,11.57,0,70.55,26.87,0,14.41,96.79,0,0,0,17.5

62,15:15-15:30,43.02,72,35,36,43.37,33,7.5,64,7.5,22,151,22.5,22,216.88,70,33,7.66,61.42,33,29.27,110.34,24.2,26.8708,0,5.77,10.16,21.78,9.91,48.4,57.78,53.23,0,4.09,211.55,9.91,0,70.55,26.87,0,14.41,96.79,0,0,0,17.5

63,15:30-15:45,43.02,66,32,32,37.39,33,7.5,58,7.5,22.67,137,22.5,22.67,186.98,63,33,8,56.75,33,28.77,110.34,24.2,26.8708,0,5.77,9.4,21.78,9.17,48.4,57.78,53.23,0,4.09,211.55,9.17,0,70.55,26.87,0,14.41,96.79,0,0,0,17.5

64,15:45-16:00,43.02,61,29,29,34.23,33,8,54,8,23.67,126,24,23.67,171.17,58,33,8.66,51.86,33,26.74,149.06,24.2,26.8708,0,5.77,8.66,21.78,8.44,48.4,57.78,53.23,0,4.09,211.55,8.44,0,70.55,26.87,0,14.41,96.79,0,0,0,17.5

65,16:00-16:15,43.02,55,27,28,30.63,33,8,52,8,24,120,24,24,153.17,55,33,9.66,46.47,33,26.74,149.06,24.2,26.8708,0,6.15,7.87,21.78,7.68,48.4,57.78,53.23,0,3.83,211.55,7.68,0,70.55,26.87,0,14.6,96.79,0,0,0,17.5

66,16:15-16:30,43.02,49,23,26,27.31,33,8.66,45,8.67,24,106,26,24,136.53,48,33,10.34,40.64,33,26.74,170.97,24.2,26.8708,0,6.15,6.97,21.78,6.8,48.4,57.78,53.23,0,3.83,211.55,6.8,0,70.55,26.87,0,14.6,96.79,0,0,0,17.5

67,16:30-16:45,43.02,43,20,24,23.04,33,9,39,9,24.33,92,27,24.33,115.18,43,33,11.66,32.31,33,26.74,110.34,24.2,26.8708,0,6.15,6.14,21.78,6,48.4,57.78,53.23,0,3.83,211.55,6,0,70.55,26.87,0,14.6,96.79,0,0,0,17.5

68,16:45-17:00,43.02,36,17,19,19.72,33,9.34,34,9.33,24.67,78,28,24.67,98.61,38,33,12.66,26.63,25,26.74,110.34,24.2,26.8708,0,6.15,5.23,21.78,5.1,48.4,57.78,53.23,0,3.83,211.55,5.1,0,70.55,26.87,0,14.6,96.79,0,0,0,17.5

69,17:00-17:15,43.02,30,15,16,16.36,33,9.66,28,9.67,25.67,67,29,25.67,81.81,30,33,13.66,21.14,17,26.74,110.34,24.2,26.8708,48.4,6.51,4.35,21.78,4.25,48.4,57.78,53.23,96.79,3.83,211.55,4.25,0,70.55,26.87,0,14.6,96.79,0,0,0,17.5

70,17:15-17:30,43.02,24,11,13,13.07,33,10.34,24,10.33,27,56,31,27,65.33,26,33,14.34,16.01,9,26.74,110.34,24.2,26.8708,48.4,6.51,3.55,21.78,3.47,48.4,57.78,53.23,96.79,3.83,211.55,3.47,0,70.55,26.87,0,14.6,96.79,0,0,0,17.5

71,17:30-17:45,43.02,20,9,11,10.19,33,11,18,11,28.33,42,33,28.33,50.95,18,33,15,10.58,3,26.74,110.34,24.2,26.8708,48.4,6.51,2.71,21.78,2.65,48.4,57.78,53.23,96.79,3.83,211.55,2.65,0,70.55,26.87,0,14.6,96.79,0,0,0,17.5

72,17:45-18:00,43.02,15,7,7,7.41,29.08,11.34,12,11.33,29.67,28,34,29.67,37.07,15,27.29,15.66,5.83,0,27.25,110.34,24.2,26.8708,48.4,6.51,1.95,21.78,1.9,48.4,57.78,53.23,96.79,3.83,211.55,1.9,0,70.55,26.87,0,14.6,96.79,0,0,0,17.5

73,18:00-18:15,43.02,9,5,7,5.49,0,11.66,7,11.67,29.33,18,35,29.33,27.46,12,0,11,2.14,0,26.24,110.34,24.2,26.8708,48.4,6.89,1.49,21.78,1.45,48.4,57.78,82.27,96.79,3.83,232.3,1.45,0,70.55,26.87,0,14.6,96.79,0,0,0,17.5

74,18:15-18:30,43.02,3,2,5,3.66,0,11.66,4,11.67,29.33,11,35,29.33,18.29,8,0,11.34,0,0,26.24,166.43,24.2,26.8708,48.4,6.89,1.06,21.78,1.03,48.4,57.78,100.84,96.79,3.83,251.65,1.03,0,70.55,26.87,0,14.6,96.79,0,0,0,17.5

75,18:30-18:45,43.02,1,1,3,2.07,0,11.84,3,11.83,29.33,7,35.5,29.33,10.33,6,0,11.34,0,0,26.24,227.05,24.2,26.8708,48.4,6.89,0.53,21.78,0.53,48.4,76.74,100.84,96.79,3.59,273.67,0.53,0,70.55,26.87,0,14.6,96.79,0,0,0,17.5

76,18:45-19:00,43.02,0,0,2,0.81,0,11.84,1,11.83,29,4,35.5,29,4.07,4,0,11.66,0,0,27.25,227.05,24.2,24.3748,48.4,6.89,0.2,21.78,0.19,48.4,76.74,100.84,96.79,0,273.67,0.19,0,70.55,24.37,0,14.6,96.79,0,0,0,17.5

77,19:00-19:15,43.02,0,0,1,0.17,0,11.66,0,11.67,28.33,1,35,28.33,0.88,2,0,11.34,0,0,26.24,262.78,24.2,26.8708,48.4,6.89,0.05,21.78,0.05,48.4,87.3,100.84,96.79,0,273.67,0.05,0,70.55,26.8708,0,14.6,96.79,0,0,2.42,17.5

78,19:15-19:30,43.02,0,0,0,0,0,11.66,0,11.67,27.67,1,35,27.67,0,1,0,10.66,0,0,26.24,262.78,24.2,26.8708,48.4,6.89,0.02,21.78,0.02,48.4,87.3,100.84,96.79,0,273.67,0.02,0,70.55,26.8708,0,14.6,96.79,0,0,2.42,17.5

