Time,Block,NR/2023/17402/F,WR/2023/17681/A,NR/2023/14875/A,WR/2023/17681/A/II,WR/2023/19090/A,NR/2023/17496/F,NR/2023/17344/F,NR/2023/17858/C,NR/2023/17165/A,NR/2023/17263/F,NR/2023/17862/C,NR/2023/17404/F,NR/2023/17857/C,Total
9,02:00-02:15,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,0.530000,0,62.930000,179.140000,0,20.400000,4.720000,451.38

10,02:15-02:30,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,0.530000,0,62.930000,179.140000,0,20.400000,4.720000,451.38

11,02:30-02:45,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,0.530000,0,62.930000,179.140000,0,20.400000,4.720000,451.38

12,02:45-03:00,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,0.530000,0,62.930000,179.140000,0,20.400000,4.720000,451.38

13,03:00-03:15,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,0.530000,0,62.930000,179.140000,0,20.400000,4.720000,451.38

14,03:15-03:30,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,0.530000,0,62.930000,179.140000,0,20.400000,4.720000,451.38

15,03:30-03:45,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,0.530000,0,62.930000,179.140000,0,20.400000,4.720000,451.38

16,03:45-04:00,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,0.530000,0,62.930000,179.140000,0,20.400000,4.720000,451.38

17,04:00-04:15,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,0.530000,0,62.930000,179.140000,0,20.400000,4.720000,451.38

18,04:15-04:30,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,0.530000,0,62.930000,179.140000,0,20.400000,4.720000,451.38

19,04:30-04:45,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,0.530000,0,62.930000,179.140000,0,20.400000,4.720000,451.38

20,04:45-05:00,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,0.530000,0,62.930000,179.140000,0,20.400000,4.720000,451.38

21,05:00-05:15,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,0.530000,0,62.930000,179.140000,0,20.400000,4.720000,451.38

22,05:15-05:30,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,0.530000,0,62.930000,179.140000,0,20.400000,4.720000,451.38

23,05:30-05:45,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,0.530000,0,62.930000,179.140000,0,20.400000,4.720000,451.38

24,05:45-06:00,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,0.530000,0,62.930000,179.140000,0,20.400000,4.720000,451.38

25,06:00-06:15,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.580000,0,62.930000,0.000000,0,20.400000,4.620000,450.79

26,06:15-06:30,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.580000,0,62.930000,0.000000,0,20.400000,4.620000,450.79

27,06:30-06:45,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.580000,0.1,62.930000,0.000000,0,20.400000,4.620000,450.89

28,06:45-07:00,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.580000,0.35,62.930000,0.000000,0,20.400000,4.620000,451.14

29,07:00-07:15,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.680000,0.63,62.930000,0.000000,0,20.400000,4.620000,451.52

30,07:15-07:30,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.680000,0.98,62.930000,0.000000,0,20.400000,4.620000,451.87

31,07:30-07:45,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.680000,1.34,62.930000,0.000000,0,20.400000,4.620000,452.23

32,07:45:08:00,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.680000,1.74,62.930000,0.000000,0,20.400000,4.620000,452.63

33,08:00-08:15,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,2.2,62.930000,0.000000,0,20.400000,4.620000,453.38

34,08:15-08:30,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,2.65,62.930000,0.000000,0,20.400000,4.620000,453.83

35,08:30-08:45,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,3.12,62.930000,0.000000,0,20.400000,4.620000,454.3

36,08:45:09:00,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,3.54,62.930000,0.000000,0,20.400000,4.620000,454.72

37,09:00:09:15,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,3.96,62.930000,0.000000,24.16,20.400000,4.620000,479.3

38,09:15-09:30,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,4.38,62.930000,0.000000,24.16,20.400000,4.620000,479.72

39,09:30-09:45,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,4.77,62.930000,0.000000,24.16,20.400000,4.620000,480.11

40,09:45-10:00,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,5.07,62.930000,0.000000,24.16,20.400000,4.620000,480.41

41,10:00-10:15,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,5.41,62.930000,0.000000,24.16,20.400000,4.620000,480.75

42,10:15-10:30,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,5.74,62.930000,0.000000,24.16,20.400000,4.620000,481.08

43,10:30-10:45,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,6.04,62.930000,0.000000,24.16,20.400000,4.620000,481.38

44,10:45-11:00,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,6.25,62.930000,0.000000,24.16,20.400000,4.620000,481.59

45,11:00-11:15,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,6.43,62.930000,0.000000,24.16,20.400000,4.620000,481.77

46,11:15-11:30,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,6.7,62.930000,0.000000,24.16,20.400000,4.620000,482.04

47,11:30-11:45,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,6.42,62.930000,0.000000,24.16,20.400000,4.620000,481.76

48,11:45-12:00,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,6.98,62.930000,0.000000,24.16,20.400000,4.620000,482.32

49,12:00-12:15,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,7.15,62.930000,0.000000,24.16,20.400000,4.620000,482.49

50,12:15-12:30,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,7.14,62.930000,0.000000,24.16,20.400000,4.620000,482.48

51,12:30-12:45,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,7.08,62.930000,0.000000,24.16,20.400000,4.620000,482.42

52,12:45-13:00,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,7.14,62.930000,0.000000,24.16,20.400000,4.620000,482.48

53,13:00-13:15,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,7.08,62.930000,0.000000,24.16,20.400000,4.620000,482.42

54,13:15-13:30,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,6.39,62.930000,0.000000,24.16,20.400000,4.620000,481.73

55,13:30-13:45,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,6.37,62.930000,0.000000,24.16,20.400000,4.620000,481.71

56,13:45-14:00,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,6.28,62.930000,0.000000,24.16,20.400000,4.620000,481.62

57,14:00-14:15,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,5.39,62.930000,0.000000,24.16,20.400000,4.620000,480.73

58,14:15-14:30,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,5.76,62.930000,0.000000,24.16,20.400000,4.620000,481.1

59,14:30-14:45,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,5.4,62.930000,0.000000,24.16,20.400000,4.620000,480.74

60,14:45-15:00,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,4.52,62.930000,0.000000,24.16,20.400000,4.620000,479.86

61,15:00-15:15,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,4.18,62.930000,0.000000,0,20.400000,4.720000,455.46

62,15:15-15:30,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,4.08,62.930000,0.000000,0,20.400000,4.720000,455.36

63,15:30-15:45,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,3.44,62.930000,0.000000,0,20.400000,4.720000,454.72

64,15:45-16:00,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.970000,2.79,62.930000,0.000000,0,20.400000,4.720000,454.07

65,16:00-16:15,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.870000,2.22,62.930000,0.000000,0,20.400000,4.800000,453.48

66,16:15-16:30,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.870000,1.85,62.930000,0.000000,0,20.400000,4.800000,453.11

67,16:30-16:45,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.870000,1.75,62.930000,0.000000,0,20.400000,4.800000,453.01

68,16:45-17:00,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.870000,1.18,62.930000,0.000000,0,20.400000,4.800000,452.44

69,17:00-17:15,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.770000,0.56,62.930000,0.000000,0,20.400000,4.900000,451.82

70,17:15-17:30,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.770000,0.35,62.930000,0.000000,0,20.400000,4.900000,451.61

71,17:30-17:45,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.770000,0.17,62.930000,0.000000,0,20.400000,4.900000,451.43

72,17:45-18:00,255.480000,0.000000,0.000000,100.000000,0.000000,6.780000,0.770000,0,62.930000,0.000000,0,20.400000,4.900000,451.26

73,18:00-18:15,0.000000,100.000000,0.000000,0.000000,100.000000,6.780000,0.730000,0,62.930000,0.000000,0,20.400000,4.900000,295.74

74,18:15-18:30,0.000000,100.000000,0.000000,0.000000,100.000000,6.780000,0.730000,0,62.930000,0.000000,0,20.400000,4.900000,295.74

75,18:30-18:45,0.000000,100.000000,0.000000,0.000000,100.000000,6.780000,0.730000,0,62.930000,0.000000,0,20.400000,4.900000,295.74

76,18:45-19:00,0.000000,100.000000,0.000000,0.000000,100.000000,6.780000,0.730000,0,62.930000,0.000000,0,20.400000,4.900000,295.74

77,19:00-19:15,0.000000,100.000000,0.000000,0.000000,100.000000,6.780000,0.730000,0,62.930000,0.000000,0,20.400000,4.900000,295.74

78,19:15-19:30,0.000000,100.000000,0.000000,0.000000,100.000000,6.780000,0.730000,0,62.930000,0.000000,0,20.400000,4.900000,295.74

79,19:30-19:45,0.000000,100.000000,0.000000,0.000000,100.000000,6.780000,0.730000,0,62.930000,0.000000,0,20.400000,4.900000,295.74

80,19:45-20:00,0.000000,100.000000,0.000000,0.000000,100.000000,6.780000,0.730000,0,62.930000,0.000000,0,20.400000,4.900000,295.74

81,20:00-20:15,0.000000,100.000000,0.000000,0.000000,100.000000,6.780000,0.730000,0,62.930000,0.000000,0,20.400000,4.800000,295.64

82,20:15-20:30,0.000000,100.000000,0.000000,0.000000,100.000000,6.780000,0.730000,0,62.930000,0.000000,0,20.400000,4.800000,295.64

83,20:30-20:45,0.000000,100.000000,0.000000,0.000000,100.000000,6.780000,0.730000,0,62.930000,0.000000,0,20.400000,4.800000,295.64

84,20:45-21:00,0.000000,100.000000,0.000000,0.000000,100.000000,6.780000,0.730000,0,62.930000,0.000000,0,20.400000,4.800000,295.64

85,21:00-21:15,0.000000,100.000000,0.000000,0.000000,100.000000,6.780000,0.730000,0,62.930000,0.000000,0,20.400000,4.800000,295.64

86,21:15-21:30,0.000000,100.000000,0.000000,0.000000,100.000000,6.780000,0.730000,0,62.930000,0.000000,0,20.400000,4.800000,295.64

87,21:30-21:45,0.000000,100.000000,0.000000,0.000000,100.000000,6.780000,0.730000,0,62.930000,0.000000,0,20.400000,4.800000,295.64

88,21:45-22:00,0.000000,100.000000,0.000000,0.000000,100.000000,6.780000,0.730000,0,62.930000,0.000000,0,20.400000,4.800000,295.64

89,22:00-22:15,0.000000,100.000000,76.880000,0.000000,100.000000,6.780000,0.680000,0,62.930000,179.140000,0,20.400000,4.800000,551.61

90,22:15-22:30,0.000000,100.000000,76.880000,0.000000,100.000000,6.780000,0.680000,0,62.930000,179.140000,0,20.400000,4.800000,551.61

91,22:30-22:45,0.000000,100.000000,76.880000,0.000000,100.000000,6.780000,0.680000,0,62.930000,179.140000,0,20.400000,4.800000,551.61

92,22:45-23:00,0.000000,100.000000,76.880000,0.000000,100.000000,6.780000,0.680000,0,62.930000,179.140000,0,20.400000,4.800000,551.61

93,23:00-23:15,0.000000,100.000000,76.880000,0.000000,100.000000,6.780000,0.630000,0,62.930000,179.140000,0,20.400000,4.720000,551.48

94,23:15-23:30,0.000000,100.000000,76.880000,0.000000,100.000000,6.780000,0.630000,0,62.930000,179.140000,0,20.400000,4.720000,551.48

95,23:30-23:45,0.000000,100.000000,76.880000,0.000000,100.000000,6.780000,0.630000,0,62.930000,179.140000,0,20.400000,4.720000,551.48

96,23:45-24:00,0.000000,100.000000,76.880000,0.000000,100.000000,6.780000,0.630000,0,62.930000,179.140000,0,20.400000,4.720000,551.48

