Time,Block,NR/2023/13519/A,NR/2023/16291/F,NR/2023/16437/F,NR/2023/16747/D,NR/2023/13253/A,NR/2023/13376/A,NR/2023/13165/A,NR/2023/16073/A,NR/2023/15770/A,NR/2023/13242/A,NR/2023/13385/A,NR/2023/16291/F/II,NR/2023/16780/C,NR/2023/16185/A,NR/2023/16077/A,NR/2023/13387/A,NR/2023/16772/C,NR/2023/16768/C,NR/2023/16748/D,NR/2023/13636/A,NR/2023/13908/A,NR/2023/16520/F,NR/2023/13150/A,NR/2023/16191/A,NR/2023/13254/A,NR/2023/16626/F,NR/2023/13148/A,NR/2023/13383/A,NR/2023/16627/F,NR/2023/16757/D,Total
14,03:15-03:30,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,29.580000,50.030000,0.630000,0.000000,56.550000,70.040000,100.050000,10.700000,8.070000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,30.020000,2.460000,0,1276.55

15,03:30-03:45,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,29.580000,50.030000,0.630000,0.000000,56.550000,70.040000,100.050000,10.700000,8.070000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,30.020000,2.460000,0,1276.55

16,03:45-04:00,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,29.580000,50.030000,0.630000,0.000000,56.550000,70.040000,100.050000,10.700000,8.070000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,30.020000,2.460000,0,1276.55

17,04:00-04:15,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,29.580000,50.030000,0.580000,0.000000,56.550000,70.040000,100.050000,10.610000,8.070000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,30.020000,2.460000,0,1276.41

18,04:15-04:30,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,29.580000,50.030000,0.580000,0.000000,56.550000,70.040000,100.050000,10.610000,8.070000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,30.020000,2.460000,0,1276.41

19,04:30-04:45,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,29.580000,50.030000,0.580000,0.000000,56.550000,70.040000,100.050000,10.610000,8.070000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,30.020000,2.460000,0,1276.41

20,04:45-05:00,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,29.580000,50.030000,0.580000,0.000000,56.550000,70.040000,100.050000,10.610000,8.070000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,30.020000,2.460000,0,1276.41

21,05:00-05:15,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.580000,0.000000,56.550000,70.040000,100.050000,10.520000,6.050000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,30.020000,2.460000,0,1244.72

22,05:15-05:30,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.580000,0.000000,56.550000,70.040000,100.050000,10.520000,6.050000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,30.020000,2.460000,0,1244.72

23,05:30-05:45,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.580000,0.000000,56.550000,70.040000,100.050000,10.520000,6.050000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,30.020000,2.460000,0,1244.72

24,05:45-06:00,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.580000,0.000000,56.550000,70.040000,100.050000,10.520000,6.050000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,30.020000,2.460000,0,1244.72

25,06:00-06:15,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.680000,0.000000,56.550000,0.000000,100.050000,10.430000,6.050000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,0.000000,2.460000,0,1144.67

26,06:15-06:30,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.680000,0.000000,56.550000,0.000000,100.050000,10.430000,6.050000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,0.000000,2.460000,0,1144.67

27,06:30-06:45,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.680000,0.000000,56.550000,0.000000,100.050000,10.430000,6.050000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,0.000000,2.460000,0,1144.67

28,06:45-07:00,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.680000,0.000000,56.550000,0.000000,100.050000,10.430000,6.050000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,0.000000,2.460000,0,1144.67

29,07:00-07:15,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.680000,0.000000,56.550000,0.000000,100.050000,10.430000,6.050000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,0.000000,2.460000,0,1144.67

30,07:15-07:30,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.680000,0.000000,56.550000,0.000000,100.050000,10.430000,6.050000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,0.000000,2.460000,0.1,1144.77

31,07:30-07:45,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.680000,0.000000,56.550000,0.000000,100.050000,10.430000,6.050000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,0.000000,2.460000,0.37,1145.04

32,07:45:08:00,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.680000,0.000000,56.550000,0.000000,100.050000,10.430000,6.050000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,0.000000,2.460000,0.68,1145.35

33,08:00-08:15,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.330000,5.050000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,0.000000,2.460000,1.1,1144.96

34,08:15-08:30,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.330000,5.050000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,0.000000,2.460000,1.4,1145.26

35,08:30-08:45,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.330000,5.050000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,0.000000,2.460000,1.72,1145.58

36,08:45:09:00,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.330000,5.050000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,0.000000,2.460000,2.05,1145.91

37,09:00:09:15,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.250000,8.070000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,0.000000,2.460000,2.31,1149.11

38,09:15-09:30,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.250000,8.070000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,0.000000,2.460000,2.6,1149.4

39,09:30-09:45,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.250000,8.070000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,0.000000,2.460000,2.34,1149.14

40,09:45-10:00,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.250000,8.070000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,0.000000,2.460000,2.8,1149.6

41,10:00-10:15,0.000000,0.000000,129.870000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.150000,10.090000,67.670000,16.810000,175.050000,0.000000,63.030000,194.450000,19.610000,14.130000,0.000000,0.000000,1.830000,3.38,1096.38

42,10:15-10:30,0.000000,0.000000,129.870000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.150000,10.090000,67.670000,16.810000,175.050000,0.000000,63.030000,194.450000,19.610000,14.130000,0.000000,0.000000,1.830000,3.64,1096.64

43,10:30-10:45,0.000000,0.000000,129.870000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.150000,10.090000,67.670000,16.810000,175.050000,0.000000,63.030000,194.450000,19.610000,14.130000,0.000000,0.000000,1.830000,3.77,1096.77

44,10:45-11:00,0.000000,0.000000,129.870000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.150000,10.090000,67.670000,16.810000,175.050000,0.000000,63.030000,194.450000,19.610000,14.130000,0.000000,0.000000,1.830000,4.35,1097.35

45,11:00-11:15,0.000000,0.000000,129.870000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.060000,10.090000,67.670000,16.810000,175.050000,0.000000,63.030000,194.450000,19.610000,14.130000,0.000000,0.000000,1.830000,4.54,1097.45

46,11:15-11:30,0.000000,0.000000,129.870000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.060000,10.090000,67.670000,16.810000,175.050000,0.000000,63.030000,194.450000,19.610000,14.130000,0.000000,0.000000,1.830000,4.83,1097.74

47,11:30-11:45,0.000000,0.000000,129.870000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.060000,10.090000,67.670000,16.810000,175.050000,0.000000,63.030000,194.450000,19.610000,14.130000,0.000000,0.000000,1.830000,5.03,1097.94

48,11:45-12:00,0.000000,0.000000,129.870000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.060000,10.090000,67.670000,16.810000,175.050000,0.000000,63.030000,194.450000,19.610000,14.130000,0.000000,0.000000,1.830000,5.12,1098.03

49,12:00-12:15,0.000000,0.000000,129.870000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.060000,10.090000,67.670000,16.810000,175.050000,0.000000,63.030000,194.450000,19.610000,14.130000,0.000000,0.000000,1.830000,5.22,1098.13

50,12:15-12:30,0.000000,0.000000,129.870000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.060000,10.090000,67.670000,16.810000,175.050000,0.000000,63.030000,194.450000,19.610000,14.130000,0.000000,0.000000,1.830000,5.32,1098.23

51,12:30-12:45,0.000000,0.000000,129.870000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.060000,10.090000,67.670000,16.810000,175.050000,0.000000,63.030000,194.450000,19.610000,14.130000,0.000000,0.000000,1.830000,5.41,1098.32

52,12:45-13:00,0.000000,0.000000,129.870000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.060000,10.090000,67.670000,16.810000,175.050000,0.000000,63.030000,194.450000,19.610000,14.130000,0.000000,0.000000,1.830000,5.61,1098.52

53,13:00-13:15,0.000000,0.000000,129.870000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.060000,10.090000,67.670000,16.810000,175.050000,0.000000,63.030000,194.450000,19.610000,14.130000,0.000000,0.000000,1.830000,5.8,1098.71

54,13:15-13:30,0.000000,0.000000,129.870000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.060000,10.090000,67.670000,16.810000,175.050000,0.000000,63.030000,194.450000,19.610000,14.130000,0.000000,0.000000,1.830000,5.99,1098.9

55,13:30-13:45,0.000000,0.000000,129.870000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.060000,10.090000,67.670000,16.810000,175.050000,0.000000,63.030000,194.450000,19.610000,14.130000,0.000000,0.000000,1.830000,5.32,1098.23

56,13:45-14:00,0.000000,0.000000,129.870000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.060000,10.090000,67.670000,16.810000,175.050000,0.000000,63.030000,194.450000,19.610000,14.130000,0.000000,0.000000,1.830000,5.03,1097.94

57,14:00-14:15,58.430000,0.000000,129.870000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.150000,10.090000,67.670000,16.810000,175.050000,0.000000,63.030000,194.450000,19.610000,14.130000,0.000000,0.000000,1.830000,4.83,1156.26

58,14:15-14:30,58.430000,0.000000,129.870000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.150000,10.090000,67.670000,16.810000,175.050000,0.000000,63.030000,194.450000,19.610000,14.130000,0.000000,0.000000,1.830000,4.74,1156.17

59,14:30-14:45,58.430000,0.000000,129.870000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.150000,10.090000,67.670000,16.810000,175.050000,0.000000,63.030000,194.450000,19.610000,14.130000,0.000000,0.000000,1.830000,4.67,1156.1

60,14:45-15:00,58.430000,0.000000,129.870000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.970000,0.000000,56.550000,0.000000,100.050000,10.150000,10.090000,67.670000,16.810000,175.050000,0.000000,63.030000,194.450000,19.610000,14.130000,0.000000,0.000000,1.830000,4.44,1155.87

61,15:00-15:15,58.430000,0.000000,129.870000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.870000,0.000000,56.550000,0.000000,100.050000,10.250000,10.090000,67.670000,16.810000,175.050000,0.000000,63.030000,194.450000,19.610000,14.130000,0.000000,0.000000,1.830000,3.38,1154.81

62,15:15-15:30,58.430000,0.000000,129.870000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.870000,0.000000,56.550000,0.000000,100.050000,10.250000,10.090000,67.670000,16.810000,175.050000,0.000000,63.030000,194.450000,19.610000,14.130000,0.000000,0.000000,1.830000,2.42,1153.85

63,15:30-15:45,58.430000,0.000000,129.870000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.870000,0.000000,56.550000,0.000000,100.050000,10.250000,10.090000,67.670000,16.810000,175.050000,0.000000,63.030000,194.450000,19.610000,14.130000,0.000000,0.000000,1.830000,1.79,1153.22

64,15:45-16:00,58.430000,0.000000,129.870000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.870000,0.000000,56.550000,0.000000,100.050000,10.250000,10.090000,67.670000,16.810000,175.050000,0.000000,63.030000,194.450000,19.610000,14.130000,0.000000,0.000000,1.830000,1.64,1153.07

65,16:00-16:15,58.430000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.820000,0.000000,56.550000,0.000000,100.050000,10.330000,10.090000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,0.000000,2.460000,1.63,1208.81

66,16:15-16:30,58.430000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.820000,0.000000,56.550000,0.000000,100.050000,10.330000,10.090000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,0.000000,2.460000,1.65,1208.83

67,16:30-16:45,58.430000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.820000,0.000000,56.550000,0.000000,100.050000,10.330000,10.090000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,0.000000,2.460000,0.72,1207.9

68,16:45-17:00,58.430000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.820000,0.000000,56.550000,0.000000,100.050000,10.330000,10.090000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,0.000000,2.460000,0.68,1207.86

69,17:00-17:15,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.820000,0.000000,56.550000,0.000000,100.050000,10.520000,10.090000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,0.000000,2.460000,0.63,1149.57

70,17:15-17:30,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.820000,0.000000,56.550000,0.000000,100.050000,10.520000,10.090000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,0.000000,2.460000,0.48,1149.42

71,17:30-17:45,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.820000,0.000000,56.550000,0.000000,100.050000,10.520000,10.090000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,0.000000,2.460000,0.31,1149.25

72,17:45-18:00,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,24.170000,62.840000,0.000000,50.030000,0.820000,0.000000,56.550000,0.000000,100.050000,10.520000,10.090000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,0.000000,0.000000,2.460000,0.29,1149.23

73,18:00-18:15,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,0.000000,62.840000,0.000000,50.030000,0.820000,0.000000,56.550000,0.000000,100.050000,10.700000,10.090000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,36.470000,0.000000,2.460000,0.21,1161.63

74,18:15-18:30,0.000000,0.000000,174.360000,4.830000,48.340000,20.300000,22.230000,0.000000,62.840000,0.000000,50.030000,0.820000,0.000000,56.550000,0.000000,100.050000,10.700000,10.090000,67.670000,22.560000,175.050000,0.000000,63.030000,194.450000,19.610000,18.980000,36.470000,0.000000,2.460000,0.19,1161.61

