Column1,Block,GNA/SR/2025/02/01/7432,GNA/WR/2025/01/01/9606,GNA/SR/2025/02/01/6460,GNA/WR/2024/11/01/4200,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/01/4863,NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/8625,ER/2025/15683/A/51791,NER/2025/2918/A/51793,WR/2025/26047/A/51796,NR/2024/24418/A/51567,NR/2025/25070/A/51790,NR/2025/24882/A/51576,NR/2025/24992/A/51575,NR/2025/25106/C,NR/2025/25107/C,Total
5,01:00-01:15,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.38,17.31,2.88,6.73,0,0,260.62

6,01:15-01:30,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.38,17.31,2.88,6.73,0,0,260.62

7,01:30-01:45,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.38,17.31,2.88,6.73,0,0,260.62

8,01:45-02:00,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.38,17.31,2.88,6.73,0,0,260.62

9,02:00-02:15,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.38,17.31,2.88,6.73,0,0,260.62

10,02:15-02:30,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.38,17.31,2.88,6.73,0,0,260.62

11,02:30-02:45,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.38,17.31,2.88,6.73,0,0,260.62

12,02:45-03:00,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.38,17.31,2.88,6.73,0,0,260.62

13,03:00-03:15,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.38,17.31,2.88,6.73,0,0,260.62

14,03:15-03:30,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.38,17.31,2.88,6.73,0,0,260.62

15,03:30-03:45,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.38,17.31,2.88,6.73,0,0,260.62

16,03:45-04:00,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.38,17.31,2.88,6.73,0,0,260.62

17,04:00-04:15,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.38,17.31,2.88,6.73,0,0,260.62

18,04:15-04:30,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.38,17.31,2.88,6.73,0,0,260.62

19,04:30-04:45,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.38,17.31,2.88,6.73,0,0,260.62

20,04:45-05:00,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.38,17.31,2.88,6.73,0,0,260.62

21,05:00-05:15,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.38,17.31,2.88,6.73,0,0,260.62

22,05:15-05:30,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.38,17.31,2.88,6.73,0,0,260.62

23,05:30-05:45,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.38,17.31,2.88,6.73,0,0,260.62

24,05:45-06:00,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.38,17.31,2.88,6.73,0,0,260.62

25,06:00-06:15,0,0,75,0,1.29,26.71,25.96,25.96,8.65,25.96,8.65,26.71,0,7.34,9.17,0,0.43,17.31,4.81,9.62,0,0,273.57000000000005

26,06:15-06:30,0,0,75,0,1.29,26.71,25.96,25.96,8.65,25.96,8.65,26.71,0,7.34,9.17,0,0.43,17.31,4.81,9.62,0,0,273.57000000000005

27,06:30-06:45,0,0,75,0,1.29,32,30.77,30.77,8.65,30.77,8.65,32,0,7.34,9.17,0,0.43,17.31,4.81,9.62,0,0,298.58000000000004

28,06:45-07:00,0,0,75,0,1.29,32,30.77,30.77,8.65,30.77,8.65,32,0,7.34,9.17,0,0.43,17.31,4.81,9.62,0,0,298.58000000000004

29,07:00-07:15,0,0,75,0,1.29,31.5,36.54,36.54,8.65,36.54,8.65,31.5,0,7.34,9.17,0,0.48,17.31,4.81,9.62,0,0,314.94000000000005

30,07:15-07:30,0,0,75,0,1.29,31.5,36.54,36.54,8.65,36.54,8.65,31.5,0,7.34,9.17,0,0.48,17.31,4.81,9.62,0,0,314.94000000000005

31,07:30-07:45,0,0,75,0,1.29,31.5,36.54,36.54,8.65,36.54,8.65,31.5,0,7.34,9.17,0,0.48,17.31,4.81,9.62,0,0,314.94000000000005

32,07:45-08:00,0,0,75,0,1.29,31.5,36.54,36.54,8.65,36.54,8.65,31.5,0,7.34,9.17,0,0.48,17.31,4.81,9.62,0,0,314.94000000000005

33,08:00-08:15,0,0,75,0,1.29,31.5,36.54,36.54,8.65,36.54,8.65,31.5,0,7.34,9.17,0,0.87,17.31,4.81,9.62,0,0,315.33000000000004

34,08:15-08:30,0,0,75,0,1.29,31.5,36.54,36.54,8.65,36.54,8.65,31.5,0,7.34,9.17,0,0.87,17.31,4.81,9.62,0,0,315.33000000000004

35,08:30-08:45,0,0,75,0,1.29,31.5,36.54,36.54,8.65,36.54,8.65,31.5,0,7.34,9.17,0,0.87,17.31,4.81,9.62,0,0,315.33000000000004

36,08:45-09:00,0,0,75,0,1.29,31.5,36.54,36.54,8.65,36.54,8.65,31.5,0,7.34,9.17,0,0.87,17.31,4.81,9.62,0,0,315.33000000000004

37,09:00-09:15,0,0,75,0,1.29,31,28.85,28.85,8.65,28.85,8.65,31,0,7.34,9.17,0,0.87,17.31,4.81,9.62,38.46,14.42,344.14000000000004

38,09:15-09:30,0,0,75,0,1.29,31,28.85,28.85,8.65,28.85,8.65,31,0,7.34,9.17,0,0.87,17.31,4.81,9.62,38.46,14.42,344.14000000000004

39,09:30-09:45,0,0,75,0,1.29,32,28.85,28.85,8.65,28.85,8.65,13.75,0,7.34,9.17,0,0.87,17.31,4.81,9.62,38.46,14.42,327.89

40,09:45-10:00,0,0,75,0,1.29,32,28.85,28.85,8.65,28.85,8.65,13.75,0,7.34,9.17,0,0.87,17.31,4.81,9.62,38.46,14.42,327.89

41,10:00-10:15,0,0,75,0,1.29,32,28.85,28.85,8.65,28.85,8.65,23.38,0,7.34,9.17,0,0.87,17.31,3.85,5.77,38.46,11.06,329.34999999999997

42,10:15-10:30,0,0,75,0,1.29,32,28.85,28.85,8.65,28.85,8.65,23.38,0,7.34,9.17,0,0.87,17.31,3.85,5.77,38.46,11.15,329.43999999999994

43,10:30-10:45,0,0,75,0,1.29,32,28.85,28.85,8.65,28.85,8.65,23.38,0,7.34,9.17,0,0.87,17.31,3.85,5.77,38.46,14.42,332.71

44,10:45-11:00,0,0,75,0,1.29,32,28.85,28.85,8.65,28.85,8.65,26.12,0,7.34,9.17,0,0.87,17.31,3.85,5.77,38.46,14.42,335.45

45,11:00-11:15,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.87,17.31,3.85,5.77,38.46,14.42,314

46,11:15-11:30,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.87,17.31,3.85,5.77,38.46,14.42,314

47,11:30-11:45,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.87,17.31,3.85,5.77,38.46,14.42,314

48,11:45-12:00,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.87,17.31,3.85,5.77,38.46,14.42,314

49,12:00-12:15,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.87,17.31,3.85,5.77,38.46,14.42,314

50,12:15-12:30,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.87,17.31,3.85,5.77,38.46,14.42,314

51,12:30-12:45,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.87,17.31,3.85,5.77,38.46,14.42,314

52,12:45-13:00,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.87,17.31,3.85,5.77,38.46,14.42,314

53,13:00-13:15,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.87,17.31,3.85,5.77,38.46,14.42,314

54,13:15-13:30,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.87,17.31,3.85,5.77,38.46,14.42,314

55,13:30-13:45,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.87,17.31,3.85,5.77,38.46,14.42,314

56,13:45-14:00,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.87,17.31,3.85,5.77,38.46,14.42,314

57,14:00-14:15,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.87,17.31,3.85,5.77,38.46,14.42,314

58,14:15-14:30,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.87,17.31,3.85,5.77,38.46,14.42,314

59,14:30-14:45,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.87,17.31,3.85,5.77,38.46,14.42,314

60,14:45-15:00,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.87,17.31,3.85,5.77,38.46,14.42,314

61,15:00-15:15,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.67,17.31,3.85,5.77,38.46,11.92,311.3

62,15:15-15:30,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.67,17.31,3.85,5.77,38.46,11.06,310.44

63,15:30-15:45,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.67,17.31,3.85,5.77,38.46,11.83,311.21

64,15:45-16:00,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.67,17.31,3.85,5.77,38.46,12.21,311.59

65,16:00-16:15,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.53,17.31,3.85,5.77,38.46,11.92,311.16

66,16:15-16:30,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.53,17.31,3.85,5.77,38.46,11.64,310.88

67,16:30-16:45,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.53,17.31,3.85,5.77,38.46,11.15,310.39

68,16:45-17:00,0,0,75,0,1.29,26.99,23.08,23.08,8.65,23.08,8.65,26.99,0,7.34,9.17,0,0.53,17.31,3.85,5.77,31.83,15.1,307.71000000000004

69,17:00-17:15,0,0,75,0,1.29,26.99,33.66,33.66,8.65,33.66,8.65,26.99,0,7.34,9.17,0,0.53,17.31,4.81,9.62,0,0,297.33

70,17:15-17:30,0,0,75,0,1.29,26.99,33.66,33.66,8.65,33.66,8.65,26.99,0,7.34,9.17,0,0.53,17.31,4.81,9.62,0,0,297.33

71,17:30-17:45,0,0,75,0,1.29,24.67,33.66,33.66,8.65,33.66,8.65,24.67,0,7.34,9.17,0,0.53,17.31,4.81,9.62,0,0,292.69

72,17:45-18:00,0,0,75,0,1.29,32,33.66,33.66,8.65,33.66,8.65,13.75,0,7.34,9.17,0,0.53,17.31,4.81,9.62,0,0,289.09999999999997

73,18:00-18:15,0,200,75,50,1.29,32,36.54,36.54,8.65,43.27,8.65,0,0,7.34,9.17,38.46,0.53,17.31,4.81,9.62,0,0,579.1799999999998

74,18:15-18:30,0,200,75,50,1.29,32,36.54,36.54,8.65,43.27,8.65,0,0,7.34,9.17,38.46,0.53,17.31,4.81,9.62,0,0,579.1799999999998

75,18:30-18:45,50,200,75,50,1.29,32,36.54,36.54,8.65,43.27,8.65,0,0,7.34,9.17,38.46,0.53,17.31,4.81,9.62,0,0,629.18

76,18:45-19:00,50,200,75,50,1.29,32,36.54,36.54,8.65,43.27,8.65,0,0,7.34,9.17,38.46,0.53,17.31,4.81,9.62,0,0,629.18

77,19:00-19:15,50,200,75,50,1.29,32,36.54,36.54,8.65,43.27,8.65,0,0,7.34,9.17,38.46,0.63,17.31,4.81,9.62,0,0,629.28

78,19:15-19:30,50,200,75,50,1.29,32,36.54,36.54,8.65,43.27,8.65,0,0,7.34,9.17,38.46,0.63,17.31,4.81,9.62,0,0,629.28

79,19:30-19:45,50,200,75,50,1.29,32,36.54,36.54,8.65,43.27,8.65,7.97,0,7.34,9.17,38.46,0.63,17.31,4.81,9.62,0,0,637.25

80,19:45-20:00,50,200,75,50,1.29,32,36.54,36.54,8.65,43.27,8.65,16.99,0,7.34,9.17,38.46,0.63,17.31,4.81,9.62,0,0,646.27

81,20:00-20:15,50,150,75,50,1.29,32,34.62,34.62,8.65,34.62,8.65,25.35,0,7.34,9.17,38.46,0.63,17.31,3.85,5.77,0,0,587.3299999999999

82,20:15-20:30,50,150,75,50,1.29,32,34.62,34.62,8.65,34.62,8.65,25.35,0,7.34,9.17,38.46,0.63,17.31,3.85,5.77,0,0,587.3299999999999

83,20:30-20:45,50,150,75,50,1.29,26.71,34.62,34.62,8.65,34.62,8.65,26.71,0,7.34,9.17,38.46,0.63,17.31,3.85,5.77,0,0,583.3999999999999

84,20:45-21:00,50,150,75,50,1.29,26.71,34.62,34.62,8.65,34.62,8.65,26.71,0,7.34,9.17,38.46,0.63,17.31,3.85,5.77,0,0,583.3999999999999

85,21:00-21:15,50,150,75,50,1.29,26.99,34.62,34.62,8.65,34.62,8.65,26.99,0,7.34,9.17,38.46,0.58,17.31,3.85,5.77,0,0,583.91

86,21:15-21:30,50,150,75,50,1.29,26.99,34.62,34.62,8.65,34.62,8.65,26.99,0,7.34,9.17,38.46,0.58,17.31,3.85,5.77,0,0,583.91

87,21:30-21:45,50,150,75,50,1.29,26.99,34.62,34.62,8.65,34.62,8.65,26.99,0,7.34,9.17,38.46,0.58,17.31,3.85,5.77,0,0,583.91

88,21:45-22:00,50,150,75,50,1.29,26.99,34.62,34.62,8.65,34.62,8.65,26.99,0,7.34,9.17,38.46,0.58,17.31,3.85,5.77,0,0,583.91

89,22:00-22:15,50,150,75,50,1.29,26.99,30.77,30.77,8.65,30.77,8.65,26.99,0,7.34,9.17,38.46,0.53,17.31,3.85,5.77,0,0,572.3099999999998

90,22:15-22:30,50,150,75,50,1.29,26.99,30.77,30.77,8.65,30.77,8.65,26.99,0,7.34,9.17,38.46,0.53,17.31,3.85,5.77,0,0,572.3099999999998

91,22:30-22:45,50,150,75,50,1.29,26.99,30.77,30.77,8.65,30.77,8.65,26.99,0,7.34,9.17,38.46,0.53,17.31,3.85,5.77,0,0,572.3099999999998

92,22:45-23:00,50,150,75,50,1.29,26.99,30.77,30.77,8.65,30.77,8.65,26.99,0,7.34,9.17,38.46,0.53,17.31,3.85,5.77,0,0,572.3099999999998

93,23:00-23:15,50,150,75,50,1.29,26.99,26.92,26.92,8.65,26.92,8.65,26.99,0,7.34,9.17,38.46,0.48,17.31,3.85,5.77,0,0,560.71

94,23:15-23:30,50,150,75,50,1.29,26.99,26.92,26.92,8.65,26.92,8.65,26.99,0,7.34,9.17,38.46,0.48,17.31,3.85,5.77,0,0,560.71

95,23:30-23:45,50,150,75,50,1.29,26.99,26.92,26.92,8.65,26.92,8.65,26.99,0,7.34,9.17,38.46,0.48,17.31,3.85,5.77,0,0,560.71

96,23:45-24:00,50,150,75,50,1.29,26.99,26.92,26.92,8.65,26.92,8.65,26.99,0,7.34,9.17,38.46,0.48,17.31,3.85,5.77,0,0,560.71

