Column1,Block,NR/2025/25667/C,NR/2025/25668/C,NR/2025/25518/A/58983,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/1906,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/9482,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/3469,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/03/01/7500,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/6891,GNA/WR/2025/03/01/6406,NR/30092023/26122029/SH-06,WR/2025/26499/A/59203,GNA/NR/2025/03/01/2563,NR/2025/25159/A/58843,WR/2025/26426/A/58939,WR/2025/26427/A/58940,WR/2025/26582/A/59201,NR/2025/25516/A/58979,NR/2025/25517/A/58987,GNARE/NR/2024/12/20/3668,Total
20,04:45-05:00,0,0,0,190.26,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,63.42,42,32,0,23.31,0.43,167.53,24,24,0,0,0,681.7900000000001

21,05:00-05:15,0,0,0,190.26,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,63.42,42,25.71,0,23.31,0.48,167.53,24,24,0,0,0,675.5500000000001

22,05:15-05:30,0,0,0,190.26,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,63.42,42,25.71,0,23.31,0.48,167.53,24,24,0,0,0,675.5500000000001

23,05:30-05:45,0,0,0,190.26,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,63.42,42,25.71,0,23.31,0.48,167.53,24,24,0,0,0,675.5500000000001

24,05:45-06:00,0,0,0,190.26,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,63.42,42,25.71,0,23.31,0.48,167.53,24,24,0,0,0,675.5500000000001

25,06:00-06:15,0,0,0,0,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,0,42,32,0,23.31,0.53,167.53,0,0,0,0,0,380.21000000000004

26,06:15-06:30,0,0,0,0,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,0,42,32,0,23.31,0.53,167.53,0,0,0,0,0,380.21000000000004

27,06:30-06:45,0,0,0,0,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,0,42,32,0,23.31,0.53,167.53,0,0,0,0,0.04,380.25000000000006

28,06:45-07:00,0,0,0,0,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,0,42,32,0,23.31,0.53,167.53,0,0,0,0,0.08,380.29

29,07:00-07:15,0,0,0,0,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,0,0,32,40.31,23.31,0.58,167.53,0,0,0,0,0.4,378.97

30,07:15-07:30,0,0,0,0,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,0,0,32,40.31,23.31,0.58,167.53,0,0,0,0,2.83,381.40000000000003

31,07:30-07:45,0,0,0,0,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,0,0,32,40.31,23.31,0.58,167.53,0,0,0,0,5.83,384.40000000000003

32,07:45-08:00,0,0,0.06,0,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,0,0,32,40.31,23.31,0.58,167.53,0,0,0.1,0.08,13.2,392.01

33,08:00-08:15,0,0,0.14,0,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,0,0,32,40.31,23.31,0.96,0,0,0,0.25,0.2,23.5,235.51000000000002

34,08:15-08:30,0,0,0.25,0,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,0,0,32,40.31,23.31,0.96,0,0,0,0.49,0.33,31.77,244.26000000000005

35,08:30-08:45,0,0,0.29,0,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,0,0,25.71,40.31,23.31,0.96,0,0,0,0.58,0.38,40.54,246.92000000000002

36,08:45-09:00,0,0,0.29,0,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,0,0,25.71,40.31,23.31,0.96,0,0,0,0.67,0.48,49.05,255.62

37,09:00-09:15,14.4,38.39,0.29,0,23.31,32,17.28,0,6.72,23.31,8.64,3.49,0,0,0,0,25.71,40.31,23.31,0.91,0,0,0,0.86,0.48,57.34,316.7500000000001

38,09:15-09:30,14.4,38.39,0.29,0,23.31,32,17.28,0,6.72,23.31,8.64,3.49,0,0,0,0,25.71,40.31,23.31,0.91,0,0,0,0.96,0.67,65.15,324.85

39,09:30-09:45,14.4,38.39,0.29,0,23.31,32,17.28,0,6.72,23.31,8.64,3.49,0,0,0,0,25.71,40.31,23.31,0.91,0,0,0,0.96,0.77,72.4,332.20000000000005

40,09:45-10:00,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.49,0,0,0,0,25.71,40.31,23.31,0.91,0,0,0,0.96,0.58,78.84,338.53999999999996

41,10:00-10:15,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.49,0,0,0,0,25.71,40.31,23.31,0.91,0,0,0,0.77,0.58,84.93,344.44

42,10:15-10:30,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.49,0,0,0,0,25.71,40.31,23.31,0.91,0,0,0,0.77,0.58,89.79,349.3

43,10:30-10:45,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.49,0,0,0,0,25.71,40.31,23.31,0.91,0,0,0,0.77,0.58,98.38,357.89

44,10:45-11:00,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.49,0,0,0,0,25.71,40.31,23.31,0.91,0,0,0,0.77,0.58,98.67,358.18

45,11:00-11:15,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.49,0,0,0,0,25.71,40.31,23.31,0.91,0,0,0,0.77,0.58,98.67,358.18

46,11:15-11:30,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.49,0,0,0,0,25.71,40.31,23.31,0.91,0,0,0,0.86,0.58,98.67,358.27000000000004

47,11:30-11:45,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.49,0,0,0,0,25.71,40.31,23.31,0.91,0,0,0,0.96,0.58,96,355.7

48,11:45-12:00,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.49,0,0,0,0,25.71,40.31,23.31,0.91,0,0,0,0.96,0.58,96,355.7

49,12:00-12:15,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.49,0,0,0,0,25.71,40.31,23.31,0.91,0,0,0,0.96,0.58,96,355.7

50,12:15-12:30,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.49,0,0,0,0,25.71,40.31,23.31,0.91,0,0,0,1.06,0.58,96,355.8

51,12:30-12:45,14.4,38.39,0.48,0,23.31,32,17.28,0,6.72,23.31,8.64,3.49,0,0,0,0,25.71,40.31,23.31,0.91,0,0,0,0.77,0.58,96,355.61

52,12:45-13:00,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.49,0,0,0,0,25.71,40.31,23.31,0.91,0,0,0,0.77,0.86,96,355.79

53,13:00-13:15,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.49,0,0,0,0,25.71,40.31,23.31,0.91,0,0,0,0.77,0.86,96,355.79

54,13:15-13:30,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.49,0,0,0,0,25.71,40.31,23.31,0.91,0,0,0,0.77,0.77,96,355.7

55,13:30-13:45,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.49,0,0,0,0,25.71,40.31,23.31,0.91,0,0,0,0.77,0.58,96,355.51

56,13:45-14:00,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.49,0,0,0,0,25.71,40.31,23.31,0.91,0,0,0,0.77,0.58,96,355.51

57,14:00-14:15,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,0,0,25.71,40.31,23.31,0.91,0,0,0,0.77,0.58,96,355.6

58,14:15-14:30,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,0,0,25.71,40.31,23.31,0.91,0,0,0,0.77,0.48,96,355.50000000000006

59,14:30-14:45,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,0,0,25.71,40.31,23.31,0.91,0,0,0,0.77,0.48,96,355.50000000000006

60,14:45-15:00,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,0,0,25.71,40.31,23.31,0.91,0,0,0,0.77,0.67,96,355.69000000000005

61,15:00-15:15,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,0,0,25.71,40.31,23.31,0.67,0,0,0,0.77,0.67,96,355.45000000000005

62,15:15-15:30,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,0,0,25.71,40.31,23.31,0.67,0,0,0,0.77,0.67,92.37,351.82000000000005

63,15:30-15:45,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,0,0,25.71,40.31,23.31,0.67,0,0,0,0.67,0.67,86.76,346.11000000000007

64,15:45-16:00,14.4,38.39,0.29,0,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,0,0,25.71,40.31,23.31,0.67,0,0,0,0.67,0.58,80.74,339.9100000000001

65,16:00-16:15,14.4,38.39,0.29,0,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,0,0,25.71,40.31,23.31,0.53,0,0,0,0.86,0.48,74.45,333.57000000000005

66,16:15-16:30,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,0,0,25.71,40.31,23.31,0.53,0,0,0,0.86,0.58,67.78,327.09000000000003

67,16:30-16:45,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,0,0,25.71,40.31,23.31,0.53,0,0,0,0.77,0.67,60.3,319.61

68,16:45-17:00,14.4,38.39,0.38,0,23.31,32,17.28,0,6.72,23.31,8.64,3.58,0,0,0,0,25.71,40.31,23.31,0.53,0,0,0,0.77,0.67,52.68,311.99

69,17:00-17:15,0,0,0.35,0,23.31,32,17.28,100,6.72,23.31,8.64,3.68,0,0,0,0,25.71,40.31,23.31,0.53,0,0,0,0.69,0.52,44.54,350.90000000000003

70,17:15-17:30,0,0,0.22,0,23.31,32,17.28,100,6.72,23.31,8.64,3.68,0,0,0,0,25.71,40.31,23.31,0.53,0,0,0,0.44,0.28,37.08,342.82

71,17:30-17:45,0,0,0.08,0,23.31,32,17.28,100,6.72,23.31,8.64,3.68,0,0,0,0,25.71,40.31,23.31,0.53,0,0,0,0.19,0.13,28.71,333.91

72,17:45-18:00,0,0,0,0,23.31,32,17.28,100,6.72,23.31,8.64,3.68,0,0,0,0,25.71,40.31,23.31,0.53,0,0,0,0,0,19.76,324.56

73,18:00-18:15,0,0,0,0,23.31,32,17.28,100,6.72,23.31,8.64,3.68,0,50,0,0,25.71,40.31,23.31,0.53,0,0,0,0,0,14.33,369.12999999999994

74,18:15-18:30,0,0,0,0,23.31,32,17.28,100,6.72,23.31,8.64,3.68,0,50,0,0,17.81,40.31,23.31,0.53,0,0,0,0,0,8.13,355.03

75,18:30-18:45,0,0,0,0,23.31,32,17.28,100,6.72,23.31,8.64,3.68,50,50,0,0,2.49,40.31,23.31,0.53,0,0,0,0,0,3.28,384.85999999999996

76,18:45-19:00,0,0,0,0,31.67,32,28.79,100,6.72,31.67,8.64,3.68,50,50,0,0,2.49,40.31,31.67,0.53,0,0,0,0,0,0.5,418.67

77,19:00-19:15,0,0,0,0,31.67,32,28.79,100,6.72,31.67,8.64,3.76,50,50,0,0,0,40.31,31.67,0.62,0,0,0,0,0,0,415.85

78,19:15-19:30,0,0,0,0,31.67,32,28.79,100,6.72,31.67,8.64,3.76,50,50,0,0,0,40.31,31.67,0.62,0,0,0,0,0,0,415.85

79,19:30-19:45,0,0,0,0,31.67,31.48,28.79,100,6.72,31.67,8.64,3.76,50,50,0,0,31.48,40.31,31.67,0.62,0,0,0,0,0,0,446.81

80,19:45-20:00,0,0,0,0,31.67,31.48,28.79,100,6.72,31.67,8.64,3.76,50,50,0,0,31.48,40.31,31.67,0.62,0,0,0,0,0,0,446.81

81,20:00-20:15,0,0,0,0,31.67,31.48,28.79,100,6.72,31.67,8.64,3.76,50,75,0,0,31.48,40.31,31.67,0.62,47.99,0,0,0,0,0,519.8

82,20:15-20:30,0,0,0,0,31.67,31.48,28.79,100,6.72,31.67,8.64,3.76,50,75,0,0,31.48,40.31,31.67,0.62,47.99,0,0,0,0,0,519.8

83,20:30-20:45,0,0,0,0,31.67,32,28.79,100,6.72,31.67,8.64,3.76,50,75,0,0,32,40.31,31.67,0.62,47.99,0,0,0,0,0,520.84

84,20:45-21:00,0,0,0,0,31.67,32,28.79,100,6.72,31.67,8.64,3.76,50,75,0,0,32,40.31,31.67,0.62,47.99,0,0,0,0,0,520.84

85,21:00-21:15,0,0,0,0,31.67,26.91,28.79,100,6.72,31.67,8.64,3.76,50,75,0,0,26.91,40.31,31.67,0.62,47.99,0,0,0,0,0,510.66

86,21:15-21:30,0,0,0,0,31.67,26.91,28.79,100,6.72,31.67,8.64,3.76,50,75,0,0,26.91,40.31,31.67,0.62,47.99,0,0,0,0,0,510.66

87,21:30-21:45,0,0,0,0,31.67,26.91,28.79,100,6.72,31.67,8.64,3.76,50,75,0,0,26.91,40.31,31.67,0.62,47.99,0,0,0,0,0,510.66

88,21:45-22:00,0,0,0,0,31.67,26.91,28.79,100,6.72,31.67,8.64,3.76,50,75,0,0,26.91,40.31,31.67,0.62,47.99,0,0,0,0,0,510.66

89,22:00-22:15,0,0,0,190.26,31.67,21.38,28.79,100,6.72,31.67,8.64,3.68,50,75,63.42,0,21.38,40.31,31.67,0.53,47.99,24,24,0,0,0,801.11

90,22:15-22:30,0,0,0,190.26,31.67,21.38,28.79,100,6.72,31.67,8.64,3.68,50,75,63.42,0,21.38,40.31,31.67,0.53,47.99,24,24,0,0,0,801.11

91,22:30-22:45,0,0,0,190.26,31.67,21.38,28.79,100,6.72,31.67,8.64,3.68,50,75,63.42,0,21.38,40.31,31.67,0.53,47.99,24,24,0,0,0,801.11

92,22:45-23:00,0,0,0,190.26,31.67,21.38,28.79,100,6.72,31.67,8.64,3.68,50,75,63.42,0,21.38,40.31,31.67,0.53,47.99,24,24,0,0,0,801.11

93,23:00-23:15,0,0,0,190.26,31.67,21.38,28.79,0,6.72,31.67,8.64,3.68,50,75,63.42,0,21.38,40.31,31.67,0.48,47.99,24,24,0,0,0,701.0600000000001

94,23:15-23:30,0,0,0,190.26,31.67,21.38,28.79,0,6.72,31.67,8.64,3.68,50,75,63.42,0,21.38,40.31,31.67,0.48,47.99,24,24,0,0,0,701.0600000000001

95,23:30-23:45,0,0,0,190.26,31.67,26.91,28.79,0,6.72,31.67,8.64,3.68,50,75,63.42,0,26.91,40.31,31.67,0.48,47.99,24,24,0,0,0,712.12

96,23:45-24:00,0,0,0,190.26,31.67,26.91,28.79,0,6.72,31.67,8.64,3.68,50,75,63.42,0,26.91,40.31,31.67,0.48,47.99,24,24,0,0,0,712.12

