Column1,Time,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,GNA/NR/2024/10/04/7808,NR/01102023/30042040/GNA_LT_35,NR/01102023/22052037/LT-59,GNA/NR/2024/10/04/5483,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/08032047/L_NR_2021_14,WR/01102023/30052048/L_NR_2022_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/01/3642,NR/01102023/19072037/LT-05,GNA/NR/2024/10/01/6101,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/10/04/6455,GNA/NR/2024/10/04/3394,NR/01102023/31102037/L_NR_2019_11,NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/10/01/4083,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/8106
25,06:00-06:15,7,16.82,3.09,8.25,28.67,86,0,0,4.67,0,0,53.15,0,63.67,0,63.67,0,0,0,0,23.34,0,28.66,1,0,6.6,12.45,37.33,70.46,37.33,31.29,0,0,4.3,16.78,273.25,75.66,0,4.04,0,227.66,16.78,37.33,12.45

26,06:15-06:30,7,32.68,8.24,17.66,28.83,86.5,0,0,4.67,0,0,53.15,0,63.33,0,63.33,0,0,2.38,0,22.66,1,28.84,2,1,6.6,12.45,37.33,70.46,37.33,31.29,0,0,4.3,16.78,273.25,75.66,0,4.04,0,227.66,16.78,37.33,12.45

27,06:30-06:45,7,33,11.33,29.42,29,87,0,0.43,4.67,0,0.45,53.15,2,62.33,2,62.33,0.19,0.93,8.85,1,22.34,4,29,5,3,6.6,12.45,37.33,70.46,37.33,31.29,0,0,4.3,16.78,273.25,75.66,0.43,4.04,0,227.66,16.78,37.33,12.45

28,06:45-07:00,7,33,14.42,33,29,87,0,0.78,4.67,0,0.8,53.15,3,61.67,3,61.67,0.9,4.49,15.53,3,21.66,7,29,8,4,6.6,12.45,37.33,70.46,37.33,31.29,0,0,4.3,16.78,273.25,75.66,0.78,4.04,0,227.66,16.78,37.33,12.45

29,07:00-07:15,7,33,17.51,33,29.17,87.5,0,1.32,4.51,0,1.35,53.15,7,60,5,60,2.17,10.85,22.75,6,21.66,14,29.16,10,5,6.6,12.45,37.33,70.46,37.33,31.29,0,0,4.3,16.78,273.25,75.66,1.32,3.9,0,227.66,16.78,37.33,12.45

30,07:15-07:30,7,33,24.72,33,29.17,87.5,0,2.05,4.51,0,2.11,53.15,10,60.33,7,60.33,3.95,19.74,31.68,10,21.66,25,29.16,15,7,6.6,12.45,37.33,70.46,37.33,31.29,0,0,4.3,16.78,273.25,75.66,2.05,3.9,0,227.66,16.78,37.33,12.45

31,07:30-07:45,7,32.66,32.67,32.67,29.5,88.5,0,2.96,4.51,0,3.04,53.15,15,68.33,8,68.33,7.07,35.37,42.22,15,22,35,29.5,18,9,6.6,12.45,37.33,70.46,37.33,31.29,0,0,4.3,16.78,273.25,75.66,2.96,3.9,0,227.66,16.78,37.33,12.45

32,07:45-08:00,7,33,33,33,30.5,91.5,0,3.67,4.51,0,3.75,53.15,21,68.33,12,68.33,10.65,53.25,53.69,21,22,49,30.5,25,12,6.6,12.45,37.33,70.46,37.33,31.29,0,0,4.3,16.78,273.25,75.66,3.67,3.9,0,200.66,16.78,37.33,12.45

33,08:00-08:15,7,33,33,33,31.17,93.5,0,4.68,4.51,0,4.79,53.15,23,68.33,15,68.33,14.6,72.99,64.96,28,22,67,31.16,32,15,6.6,12.45,37.33,70.46,37.33,31.29,0,0,4.3,16.78,273.25,75.66,4.68,3.9,0,191,16.78,37.33,12.45

34,08:15-08:30,7,33,33,33,31.67,95,0,5.78,4.51,0,5.93,53.15,28,68.33,18,68.33,18.88,94.43,75.4,34,22,81,31.66,39,19,6.6,12.45,37.33,70.46,37.33,31.29,0,0,4.3,16.78,273.25,75.66,5.78,3.9,0,191,16.78,37.33,12.45

35,08:30-08:45,7,33,33,33,32.33,97,0,6.83,4.51,0,7,53.15,41,70,22,70,21.61,108.07,85.03,40,22,95,32.34,43,20,6.6,12.45,37.33,70.46,37.33,31.29,0,0,4.3,16.78,273.25,75.66,6.83,3.9,0,171.67,16.78,37.33,12.45

36,08:45-09:00,7,33,33,33,32.67,98,0,7.91,4.51,0,8.1,53.15,47,71.67,26,71.67,25.55,127.75,94.17,46,22.34,109,32.66,51,24,6.6,12.45,37.33,70.46,37.33,31.29,0,0,4.3,16.78,273.25,57.69,7.91,3.9,0,171.67,16.78,37.33,12.45

37,09:00-09:15,7,33,33,33,33,99,0,7.97,4.51,0,8.17,53.15,60,75.86,31,75.86,29.35,146.74,102.58,52,23.34,123,33,58,27,6.46,12.45,37.33,70.46,37.33,31.29,0,0,4.3,16.78,273.25,75.66,7.97,3.81,0,171.67,16.78,37.33,12.45

38,09:15-09:30,7,33,33,33,33.17,99.5,0,8.82,4.51,0,9.04,53.15,64,76.24,34,76.24,32.53,162.66,110.04,58,23.66,137,33.16,63,30,6.46,12.45,37.33,70.46,37.33,31.29,0,0,4.3,16.78,273.25,75.66,8.82,3.81,0,227.66,16.78,37.33,12.45

39,09:30-09:45,7,33,33,33,33.17,99.5,0,9.67,4.67,0,9.91,53.15,72,75.71,37,75.71,32.36,161.81,116.72,63,23.66,147,33.16,70,34,6.46,12.45,37.33,70.46,37.33,31.29,0,0,4.3,16.78,273.25,57.69,9.67,3.81,0,171.67,16.78,37.33,12.45

40,09:45-10:00,7,33,33,33,33.33,100,0,10.74,4.67,0,11.01,53.15,79,76.37,39,76.37,34.95,174.78,122.63,69,22.66,161,33.34,74,36,6.46,12.45,37.33,70.46,37.33,31.29,0,0,4.3,16.78,273.25,57.69,10.74,3.81,0,171.67,16.78,37.33,12.45

41,10:00-10:15,7,33,33,33,28.5,85.5,0,11.34,4.67,0,11.62,53.15,84,65,41,65,37.23,186.18,127.79,73,25,172,28.5,78,38,6.46,12.45,37.33,70.46,37.33,31.29,0,0,4.22,16.78,273.25,57.69,11.34,3.81,0,171.67,16.78,37.33,12.45

42,10:15-10:30,7,33,33,33,28.33,85,0,12.4,4.67,0,12.7,53.15,88,65,42,65,39.37,196.87,132.42,76,25,179,28.34,83,39,6.46,12.45,37.33,70.46,37.33,31.29,0,0,4.22,16.78,273.25,57.69,12.4,3.81,0,171.67,16.78,37.33,12.45

43,10:30-10:45,7,33,33,33,35.17,105.5,0,13.53,4.9,0,13.88,53.15,90,75,44,75,41.67,208.33,136.39,79,33.34,186,35.16,86,41,6.46,12.45,37.33,70.46,37.33,31.29,0,0,4.22,16.78,273.25,57.69,13.53,3.81,0,171.67,16.78,37.33,12.45

44,10:45-11:00,7,33,33,33,35.17,105.5,0,14.44,4.9,0,14.8,53.15,91,75,45,75,44.17,220.83,139.91,82,33.34,193,35.16,89,43,6.46,12.45,37.33,70.46,37.33,31.29,0,0,4.22,16.78,273.25,57.69,14.44,3.81,0,171.67,16.78,37.33,12.45

45,11:00-11:15,7,33,33,33,35.33,106,0,14.73,4.9,0,15.1,53.15,91,75,45,75,45,225,142.8,82,38.34,193,35.34,91,43,6.46,12.45,37.33,66.3,37.33,31.29,0,0,4.22,16.78,273.25,57.69,14.73,3.81,0,171.67,16.78,37.33,12.45

46,11:15-11:30,7,33,33,33,35.67,107,0,15.35,4.9,0,15.74,53.15,92,75,46,75,45.83,229.17,145.07,82,38.34,193,35.66,91,44,6.46,12.45,37.33,66.3,37.33,31.29,0,0,4.22,16.78,273.25,57.69,15.35,3.81,0,171.67,16.78,37.33,12.45

47,11:30-11:45,7,33,33,33,35.83,107.5,0,15.39,4.9,0,15.77,53.15,92,75,46,75,46,230,146.78,82,38.34,193,35.84,91,44,6.46,12.45,37.33,66.3,37.33,31.29,0,0,4.22,16.78,231.94,57.69,15.39,3.81,0,171.67,16.78,37.33,12.45

48,11:45-12:00,7,33,33,33,35.83,107.5,0,15.39,4.9,0,15.77,53.15,92,75,46,75,46,230,147.85,82,38.34,193,35.84,91,44,6.46,12.45,37.33,66.3,37.33,31.29,0,0,4.22,16.78,231.94,57.69,15.39,3.81,0,171.67,16.78,37.33,12.45

49,12:00-12:15,7,33,33,33,35.83,107.5,0,15.39,5.13,0,15.77,53.15,92,75,46,75,46,230,136.73,82,38,193,35.84,91,44,6.37,12.45,37.33,66.3,37.33,31.29,0,0,4.22,16.78,231.94,57.69,15.39,3.86,0,171.67,16.78,37.33,12.45

50,12:15-12:30,7,33,33,33,35.83,107.5,0,15.39,5.13,0,15.77,53.15,92,75,46,75,46,230,136.18,82,38,193,35.84,91,44,6.37,12.45,37.33,66.3,37.33,31.29,0,0,4.22,16.78,231.94,57.69,15.39,3.86,0,171.67,16.78,37.33,12.45

51,12:30-12:45,7,33,33,33,35.83,107.5,0,15.39,5.13,0,15.77,65.72,92,75,46,75,46,230,135.2,82,38,193,35.84,91,44,6.37,12.45,37.33,66.3,37.33,31.29,0,0,4.22,16.78,231.94,57.69,15.39,3.86,0,171.67,16.78,37.33,12.45

52,12:45-13:00,7,33,33,33,35.83,107.5,0,15.39,5.13,0,15.77,65.72,92,75,46,75,46,230,133.62,82,37.66,193,35.84,91,44,6.37,12.45,37.33,66.3,37.33,31.29,0,0,4.22,16.78,231.94,57.69,15.39,3.86,0,171.67,16.78,37.33,12.45

53,13:00-13:15,7,33,33,33,35.83,107.5,0,15.39,5.29,0,15.77,65.72,92,75,46,75,46,230,130.92,82,37.66,193,35.84,91,44,6.37,12.45,37.33,66.3,37.33,31.29,0,0,4.61,16.78,231.94,57.69,15.39,3.95,0,171.67,16.78,37.33,12.45

54,13:15-13:30,7,33,33,33,35.83,107.5,0,15.35,5.29,0,15.74,70.55,92,75,46,75,46,230,127.1,82,37.66,193,35.84,91,44,6.37,12.45,37.33,66.3,37.33,31.29,0,0,4.61,16.78,231.94,57.69,15.35,3.95,0,171.67,16.78,37.33,12.45

55,13:30-13:45,7,33,33,33,35.83,107.5,0,15.35,5.29,0,15.74,75.38,92,75,45,75,46,230,124.77,81,37.66,189,35.84,89,43,6.37,12.45,37.33,66.3,37.33,31.29,0,0,4.61,16.78,231.94,57.69,15.35,3.95,0,171.67,16.78,37.33,12.45

56,13:45-14:00,7,33,33,33,35.83,107.5,0,14.73,5.29,0,15.1,100.68,91,75,44,75,46,230,119.01,79,37.66,186,35.84,87,41,6.37,12.45,37.33,66.3,37.33,31.29,0,0,4.61,16.78,231.94,57.69,14.73,3.95,0,171.67,16.78,37.33,12.45

57,14:00-14:15,8.01,33,33,33,35.83,107.5,0,14.53,5.44,0,14.89,100.68,91,75,43,75,45.66,228.28,112.88,76,37.34,179,35.84,83,39,6.46,12.45,39.62,66.3,39.62,31.29,0,0,5,16.78,273.25,87.17,14.53,4.09,0,227.66,16.78,39.62,12.45

58,14:15-14:30,8.41,33,33,33,35.83,107.5,0,14.13,5.44,0,14.49,100.68,91,75,42,75,45.35,226.73,106.38,73,37.34,172,35.84,81,39,6.46,12.45,39.62,66.3,39.62,31.29,0,0,5,16.78,273.25,87.17,14.13,4.09,0,262.38,16.78,39.62,12.45

59,14:30-14:45,8.61,33,33,33,35.83,107.5,0,13.75,5.44,0,14.1,100.68,88,75,41,75,42.81,214.08,99.32,73,35.34,172,35.84,78,38,6.46,12.45,39.62,66.3,39.62,31.29,0,0,5,16.78,273.25,87.17,13.75,4.09,0,262.38,16.78,39.62,12.45

60,14:45-15:00,9.41,33,33,33,35.83,107.5,0,13.1,5.44,0,13.43,100.68,84,75,38,75,41.33,206.67,92.15,72,35.34,168,35.84,74,36,6.46,12.45,39.62,66.3,39.62,31.29,0,0,5,16.78,273.25,87.17,13.1,4.09,0,262.38,16.78,39.62,12.45

61,15:00-15:15,18.41,33,33,33,34.83,104.5,0,12.2,5.67,0,12.51,100.68,77,75,36,75,37.04,185.22,86.79,69,35.34,161,34.84,69,33,6.6,12.45,39.62,66.3,39.62,31.29,0,0,5,16.78,273.25,87.17,12.2,4.27,0,262.38,16.78,39.62,12.45

62,15:15-15:30,18.01,33,33,33,34.83,104.5,0,11.3,5.67,0,11.58,100.68,73,75,34,75,33.77,168.86,78.51,63,35.34,147,34.84,64,31,6.6,12.45,39.62,66.3,39.62,31.29,0,0,5,16.78,273.25,87.17,11.3,4.27,0,262.38,16.78,39.62,12.45

63,15:30-15:45,19.01,33,33,33,34.83,104.5,0,10.4,5.67,0,10.66,100.68,67,75,31,75,32.38,161.92,70.03,57,35.34,133,34.84,59,28,6.6,12.45,39.62,66.3,39.62,31.29,0,0,5,16.78,273.25,87.17,10.4,4.27,0,262.38,16.78,39.62,12.45

64,15:45-16:00,19.01,33,33,33,34.83,104.5,0,9.5,5.67,0,9.74,100.68,62,75,29,75,28.68,143.43,61.48,51,35.34,119,34.84,53,25,6.6,12.45,39.62,66.3,39.62,31.29,0,0,5,16.78,273.25,87.17,9.5,4.27,0,262.38,16.78,39.62,12.45

65,16:00-16:15,19.01,33,33,33,34.83,104.5,0,8.44,6.22,0,8.65,100.68,57,75,25,75,26.3,131.51,52.26,45,35.34,105,34.84,46,22,6.74,12.45,39.62,66.3,39.62,31.29,0,0,5.23,16.78,273.25,87.17,8.44,4.46,0,197.15,16.78,39.62,12.45

66,16:15-16:30,19.01,33,33,33,34.83,104.5,0,7.58,6.22,0,7.77,100.68,49,75,21,75,23.61,118.03,42.89,37,35,88,34.84,39,19,6.74,12.45,39.62,115.54,39.62,31.29,0,0,5.23,16.78,273.25,87.17,7.58,4.46,0,197.15,16.78,39.62,12.45

67,16:30-16:45,27.01,33,33,33,34.83,104.5,0,6.69,6.22,0,6.86,100.68,43,75,18,75,22.55,112.77,39.01,30,35,70,34.84,32,15,6.74,12.45,39.62,115.54,39.62,31.29,0,0,5.23,16.78,273.25,87.17,6.69,4.46,0,197.15,16.78,39.62,12.45

68,16:45-17:00,27.01,33,20.6,33,34.83,104.5,0,5.69,6.22,0,5.84,100.68,33,75,14,75,18.74,93.68,29.57,24,35,56,34.84,23,11,6.74,12.45,39.62,115.54,39.62,31.29,0,0,5.23,16.78,273.25,87.17,5.69,4.46,0,197.15,16.78,39.62,12.45

69,17:00-17:15,27.01,33,14.42,29.42,34.83,104.5,0,4.74,6.22,58.95,4.85,100.68,26,75,11,75,16.28,81.42,20.72,18,35,42,34.84,17,8,6.74,12.45,39.62,115.54,39.62,31.29,0,96.64,5.23,14.67,273.25,87.17,4.74,4.65,0,197.15,14.67,39.62,12.45

70,17:15-17:30,27.01,33,7.21,12.59,34.83,104.5,0,3.87,6.22,46.39,3.96,100.68,19,75,7,75,12.69,63.43,12.84,12,35,28,34.84,12,5,6.74,12.45,39.62,115.54,39.62,31.29,0,96.64,5.23,14.67,273.25,87.17,3.87,4.65,0,197.15,14.67,39.62,12.45

71,17:30-17:45,27.01,33,2.06,1.16,34,102,38.66,2.95,6.22,42.52,3.03,100.68,13,71.67,5,71.67,9.02,45.1,6.37,7,30,18,34,7,3,6.74,12.45,39.62,115.54,39.62,31.29,0,96.64,5.23,14.67,273.25,87.17,2.95,4.65,0,197.15,14.67,39.62,12.45

72,17:45-18:00,26.81,24.01,0,0,33.83,101.5,38.66,2.12,6.22,41.56,2.18,100.68,8,71.67,5,71.67,5.69,28.44,0.15,4,29.66,11,33.84,1,1,6.74,12.45,39.62,115.54,39.62,31.29,0,96.64,5.23,14.67,273.25,87.17,2.12,4.65,0,197.15,14.67,39.62,12.45

73,18:00-18:15,27.01,0,0,0,33.67,101,38.66,1.62,5.83,95.67,1.66,100.68,4,71.67,3,71.67,3.43,17.17,0,2,29.66,5,33.66,1,0,6.74,12.45,39.62,115.54,39.62,31.29,24.16,96.64,5,0,273.25,87.17,1.62,4.78,0,197.15,32,39.62,12.45

74,18:15-18:30,27.01,0,0,0,33.5,100.5,38.66,1.16,5.83,97.61,1.18,100.68,2,71.67,2,71.67,2.2,11.03,0,0,29.66,1,33.5,0,0,6.74,12.45,39.62,115.54,39.62,31.29,24.16,96.64,5,0,273.25,87.17,1.16,4.78,0,197.15,32,39.62,12.45

75,18:30-18:45,27.01,0,0,0,33.17,99.5,38.66,0.58,5.83,103.4,0.6,100.68,0,71.67,0,71.67,0.99,4.96,0,0,29.66,0,33.16,0,0,6.74,12.45,39.62,115.54,39.62,31.29,24.16,96.64,5,0,273.25,87.17,0.58,4.18,0,197.15,32,39.62,12.45

76,18:45-19:00,27.01,0,0,0,32.83,98.5,38.66,0.21,5.83,107.27,0.22,100.68,0,71.67,0,71.67,0.02,0.08,0,0,29.66,0,32.84,0,0,6.74,12.45,39.62,115.54,39.62,31.29,24.16,96.64,5,0,273.25,87.17,0.21,4.18,0,197.15,32,39.62,12.45

77,19:00-19:15,26.41,0,0,0,29.33,88,38.66,0,5.67,196.18,0,100.68,0,64,0,64,0,0,0,0,29.66,0,29.34,0,0,6.64,12.45,39.62,115.54,39.62,31.29,24.16,96.64,5,32,273.25,87.17,0,4.18,0,197.15,32,39.62,12.45

78,19:15-19:30,25.41,0,0,0,29.33,88,38.66,0,5.67,200.04,0,100.68,0,64,0,64,0,0,0,0,29,0,29.34,0,0,6.64,12.45,39.62,115.54,39.62,31.29,24.16,96.64,5,32,273.25,87.17,0,4.18,0,197.15,32,39.62,12.45

79,19:30-19:45,10.8,0,0,0,29.33,88,38.66,0,5.67,203.91,0,100.68,0,64,0,64,0,0,0,0,23.34,0,29.34,0,0,6.64,12.45,39.62,115.54,39.62,31.29,24.16,96.64,5,32,273.25,87.17,0,4.18,0,197.15,32,39.62,12.45

80,19:45-20:00,9.8,0,0,0,29.33,88,38.66,0,5.67,208.74,0,100.68,0,63.33,0,63.33,0,0,0,0,23.34,0,29.34,0,0,6.64,12.45,39.62,115.54,39.62,31.29,24.16,96.64,5,32,273.25,87.17,0,4.18,0,197.15,32,39.62,12.45

81,20:00-20:15,8,0,0,0,23,69,38.66,0,5.67,219.37,0,100.68,0,52.67,0,52.67,0,0,0,0,22.66,0,23,0,0,6.55,12.45,39.62,115.54,39.62,31.29,24.16,96.64,4.76,32,273.25,87.17,0,4,0,197.15,32,39.62,12.45

