Column1,Block,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6209,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/4125,NR/2025/32559/A/101699,NR/2025/32610/A/101698,NR/2025/29992/A/101362,NR/2025/32004/A/101703,NR/2025/32397/A/101227,NR/30092023/31122025/SH-07,NR/2025/34827/C,NR/2025/34808/C,NR/2025/34809/C,NR/2025/34810/C,NR/2025/34807/C,NR/2025/34826/C,NR/2025/34828/C,NR/2025/31045/A/101657,NR/2025/31048/A/101658,NR/2025/29440/A/101243,NR/2025/31043/A/101656,NR/2025/34078/A/101345,NR/2025/31049/A/101659,NR/2025/32262/A/101289,NR/2025/32455/A/101799,NR/2025/34263/A/101407,NR/2025/34792/C,NR/2025/34247/A/101660,NR/2025/32556/A/101700,NR/2025/34789/C,NR/2025/31421/A/101711,NR/2025/32375/A/101708,NR/2025/34791/C,NR/2025/33637/A/101413,NR/2025/33632/A/101409,NR/2025/33633/A/101411,NR/2025/32535/A/101642,NR/2025/32534/A/101640,NR/2025/32599/A/101374,NR/2025/32535/A/101641,NR/2025/32532/A/101635,NR/2025/34835/C,GNARE/NR/2024/12/20/3668,NR/2025/32534/A/101639,NR/2025/32532/A/101636,Total
3,00:30-00:45,15.25,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,0,8.66,19.24,8.66,24.05,24.05,44.26,105.83,8.66,0,0,0,0,0,0,0,163.8,0,96.21,0.87,96.21,12.51,0,54.12,48.1,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1210.25

4,00:45-01:00,15.25,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,0,8.66,19.24,8.66,24.05,24.05,44.26,105.83,8.66,0,0,0,0,0,0,0,163.8,0,96.21,0.87,96.21,12.51,0,54.12,48.1,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1210.25

5,01:00-01:15,15.25,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,0,8.66,19.24,8.66,24.05,24.05,44.26,105.83,8.66,0,0,0,0,0,0,0,163.8,0,96.21,0.63,96.21,12.51,0,54.12,48.1,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1210.01

6,01:15-01:30,15.25,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,0,8.66,19.24,8.66,24.05,24.05,44.26,105.83,8.66,0,0,0,0,0,0,0,163.8,0,96.21,0.63,96.21,12.51,0,54.12,48.1,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1210.01

7,01:30-01:45,15.25,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,0,8.66,19.24,8.66,24.05,24.05,44.26,105.83,8.66,0,0,0,0,0,0,0,163.8,0,96.21,0.63,96.21,12.51,0,54.12,48.1,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1210.01

8,01:45-02:00,15.25,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,0,8.66,19.24,8.66,24.05,24.05,44.26,105.83,8.66,0,0,0,0,0,0,0,163.8,0,96.21,0.63,96.21,12.51,0,54.12,48.1,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1210.01

9,02:00-02:15,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,105.83,8.66,0,0,0,0,0,0,0,163.8,0,96.21,0.63,96.21,12.51,0,54.12,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1210.02

10,02:15-02:30,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,105.83,8.66,0,0,0,0,0,0,0,163.8,0,96.21,0.63,96.21,12.51,0,54.12,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1210.02

11,02:30-02:45,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,105.83,8.66,0,0,0,0,0,0,0,163.8,0,96.21,0.63,96.21,12.51,0,54.12,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1210.02

12,02:45-03:00,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,105.83,8.66,0,0,0,0,0,0,0,163.8,0,96.21,0.63,96.21,12.51,0,54.12,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1210.02

13,03:00-03:15,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,0,96.21,0.53,96.21,12.51,0,54.12,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1181.04

14,03:15-03:30,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,0,96.21,0.53,96.21,12.51,0,54.12,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1181.04

15,03:30-03:45,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,0,96.21,0.53,96.21,12.51,0,54.12,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1181.04

16,03:45-04:00,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,0,96.21,0.53,96.21,12.51,0,54.12,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1181.04

17,04:00-04:15,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,0,0,0.53,0,12.51,0,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,934.5

18,04:15-04:30,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,0,0,0.53,0,12.51,0,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,934.5

19,04:30-04:45,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,0,0,0.53,0,12.51,0,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,934.5

20,04:45-05:00,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,0,0,0.53,0,12.51,0,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,934.5

21,05:00-05:15,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,0,0,0.53,0,12.51,0,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,934.5

22,05:15-05:30,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,0,0,0.53,0,12.51,0,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,934.5

23,05:30-05:45,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,0,0,0.53,0,10.58,0,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,932.5699999999999

24,05:45-06:00,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,0,0,0.53,0,10.58,0,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,932.5699999999999

25,06:00-06:15,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,76.95,0,0,0,0,0,0,0,0,163.8,0,0,0.82,0,10.58,0,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0.52,0,0,924.72

26,06:15-06:30,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,76.95,0,0,0,0,0,0,0,0,163.8,0,0,0.82,0,10.58,0,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,1,0,0,0,1.12,0,0,926.32

27,06:30-06:45,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,76.95,0,0,0,0,0,0,0,0,163.8,0,0,0.82,0,10.58,0,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,4,0.08,0.08,0.84,1.87,0.08,0,931.1500000000002

28,06:45-07:00,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,76.95,0,0,0,0,0,0,0,0,163.8,0,0,0.82,0,10.58,0,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,8,0.1,0.1,1.38,2.49,0.1,0,936.3700000000001

29,07:00-07:15,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,76.95,0,0,0,0,0,0,0,0,163.8,0,0,0.87,0,10.58,0,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,11,0.1,0.1,1.97,6.01,0.1,0,943.5300000000001

30,07:15-07:30,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,76.95,0,0,0,0,0,0,0,0,163.8,0,0,0.87,0,10.58,0,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0.06,0.06,18,0.1,0.1,2.97,9.29,0.1,0.09,955.02

31,07:30-07:45,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,76.95,0,0,0,0,0,0,0,0,163.8,0,0,0.87,0,9.62,0,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0.1,0.1,21,0.1,0.1,3.86,12.84,0.1,0.15,961.6400000000001

32,07:45-08:00,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,76.95,0,0,0,0,0,0,0,0,163.8,0,0,0.87,0,9.62,0,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0.13,0.13,25,0.1,0.1,5.25,16.64,0.1,0.2,970.94

33,08:00-08:15,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,76.95,0,0,0,0,0,0,0,0,163.8,0,0,0.96,0,9.62,0,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,1.64,1.15,0,0.16,0.16,32,0.1,0.1,6.19,21.67,0.1,0.25,986.9000000000001

34,08:15-08:30,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,76.95,0,0,0,0,0,0,0,0,163.8,0,0,0.96,0,9.62,0,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,1.64,1.15,0,0.19,0.29,39,0.1,0.1,8.53,26.85,0.1,0.29,1001.6200000000001

35,08:30-08:45,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,76.95,0,0,0,0,0,0,0,0,163.8,0,0,0.96,0,9.62,0,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,1.64,1.15,0,0.19,0.19,49,0.1,0.1,5.88,25.68,0.1,0.29,1007.7000000000002

36,08:45-09:00,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,24.05,24.05,44.26,76.95,0,0,0,0,0,0,0,0,163.8,0,0,0.96,0,9.62,0,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,1.64,1.15,0,0.19,0.19,56,0.1,0.19,5.88,29.55,0.1,0.29,1018.6600000000002

37,09:00-09:15,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,10.58,0,0,0,67.35,134.69,0,0,0,0,0,0,1.64,1.15,0,0.19,0.29,70,0.1,0.19,5.88,18.33,0.1,0.38,1022.5900000000003

38,09:15-09:30,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,10.58,0,0,0,67.35,134.69,0,0,0,0,0,0,1.64,1.15,0,0.19,0.29,77,0.1,0.29,6.86,18.94,0.1,0.48,1031.38

39,09:30-09:45,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,10.58,0,0,0,67.35,134.69,0,0,0,0,0,0,1.64,1.15,0,0.09,0.13,119,0.1,0.29,6.86,16.67,0.1,0.22,1070.59

40,09:45-10:00,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,10.58,0,0,0,67.35,134.69,0,0,0,0,0,0,1.64,1.15,0,0.11,0.15,126,0.1,0.19,7.83,18.33,0.1,0.26,1080.1999999999998

41,10:00-10:15,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,10.58,0,0,0,67.35,134.69,0,0,0,0,0,0,1.64,1.15,1.44,0.2,0.2,119,0.1,0.19,7.83,18.33,0.1,0.34,1074.86

42,10:15-10:30,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,10.58,0,0,0,67.35,134.69,0,0,0,0,0,0,1.64,1.15,1.44,0.21,0.38,126,0.1,0.19,7.83,18.33,0.1,0.36,1082.07

43,10:30-10:45,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,10.58,0,0,0,67.35,134.69,0,0,0,0,0,0,1.64,1.15,1.44,0.27,0.38,112,0.1,0.29,11.54,20,0.1,0.45,1073.7

44,10:45-11:00,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,10.58,0,0,0,67.35,134.69,0,0,0,0,0,0,1.64,1.15,1.44,0.29,0.38,119,0.1,0.29,12.82,21.67,0.1,0.58,1083.8

45,11:00-11:15,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,10.58,0,0,0,67.35,134.69,0,0,0,0,0,0,1.64,1.15,1.44,0.29,0.38,98,0.1,0.29,14.09,25,0.1,0.48,1067.3

46,11:15-11:30,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,10.58,0,0,0,67.35,134.69,0,0,0,0,0,0,1.64,1.15,1.44,0.29,0.38,105,0.1,0.29,15.53,28.33,0.1,0.48,1079.07

47,11:30-11:45,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,10.58,0,0,0,67.35,134.69,0,0,0,0,0,0,1.64,1.15,1.44,0.29,0.38,112,0.1,0.29,16.9,23.96,0.1,0.48,1083.0700000000002

48,11:45-12:00,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,10.58,0,0,0,67.35,134.69,0,0,0,0,0,0,1.64,1.15,1.44,0.29,0.38,119,0.1,0.29,18.18,27.83,0.1,0.58,1095.32

49,12:00-12:15,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,10.58,0,0,0,67.35,134.69,0,0,0,0,0,0,1.64,1.15,1.44,0.29,0.38,112,0.1,0.29,19.37,20,0.1,0.58,1081.6799999999998

50,12:15-12:30,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,10.58,0,0,0,67.35,134.69,0,0,0,0,0,0,1.64,1.15,1.44,0.29,0.38,112,0.1,0.29,19.67,21.67,0.1,0.58,1083.65

51,12:30-12:45,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,10.58,0,0,0,67.35,134.69,0,0,0,0,0,0,1.64,1.15,1.44,0.29,0.38,112,0.1,0.29,19.93,23.33,0.1,0.58,1085.57

52,12:45-13:00,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,10.58,0,0,0,67.35,134.69,0,0,0,0,0,0,1.64,1.15,1.44,0.29,0.38,112,0.1,0.29,20.2,25,0.1,0.58,1087.51

53,13:00-13:15,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,10.58,0,0,0,67.35,134.69,0,0,0,0,0,0,1.64,1.15,1.44,0.29,0.38,112,0.1,0.29,8.81,26.67,0.1,0.58,1077.79

54,13:15-13:30,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,10.58,0,0,0,67.35,134.69,0,0,0,0,0,0,1.64,1.15,1.44,0.29,0.38,112,0.1,0.29,8.81,28.17,0.1,0.58,1079.29

55,13:30-13:45,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,10.58,0,0,0,67.35,134.69,0,0,0,0,0,0,1.64,1.15,1.44,0.29,0.38,137,0.1,0.29,8.81,29.75,0.1,0.58,1105.87

