Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_16,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,WR/01102023/16072048/L_NR_2022_08,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,GNA/NR/2025/07/01/8128,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/8230,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/07/01/8139,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8154,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/1044,GNA/NR/2025/07/01/2236,NR/01102023/06022042/L_NR_2012_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/07/01/2786,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/2952
7,01:30-01:45,0,0,0,0,0,30.41,0,0,0,19,0,17.67,0,0,0,0,0,17.67,52.99,0,6.33,100.2,-0,49.05,224.82,29.78,134.89,0,10.08,19.24,20.75,0,115.38,30,130.13,15.24,0,81.75,86.75,270.51,5.13,0,13.39,9.59,43.71,13.17,8.51

8,01:45-02:00,0,0,0,0,0,30.41,0,0,0,19,0,17.67,0,0,0,0,0,17.67,52.99,0,6.33,100.2,-0,49.05,224.82,29.78,134.89,0,10.08,19.24,20.75,0,115.38,30,130.13,15.24,0,81.75,86.75,270.51,5.13,0,13.39,9.59,43.71,13.17,8.51

9,02:00-02:15,0,0,0,0,0,28.01,0,0,0,18.67,0,17.5,0,0,0,0,0,17.5,52.5,0,6.33,100.2,-0,49.05,224.82,29.78,134.89,0,10.08,19.24,20.75,0,115.38,30,130.13,15.24,0,81.75,86.75,270.51,5.13,0,19.39,9.59,43.71,13.17,8.51

10,02:15-02:30,0,0,0,0,0,28.01,0,0,0,18.67,0,17.17,0,0,0,0,0,17.17,51.49,0,6.33,100.2,-0,49.05,224.82,29.78,134.89,0,10.08,19.24,20.75,0,115.38,30,130.13,15.24,0,81.75,86.75,270.51,5.13,0,19.39,9.59,43.71,13.17,8.51

11,02:30-02:45,0,0,0,0,0,33.01,0,0,0,20.37,0,16.67,0,0,0,0,0,16.67,49.99,0,6.33,100.2,-0,49.05,224.82,28.26,134.89,0,10.08,19.24,20.75,0,115.38,30,130.13,15.24,0,81.75,86.75,270.51,5.13,0,19.39,9.2,43.71,13.17,8.51

12,02:45-03:00,0,0,0,0,0,33.01,0,0,0,20.02,0,16.83,0,0,0,0,0,16.83,50.51,0,6.33,100.2,-0,49.05,224.82,28.26,134.89,0,10.08,19.24,20.75,0,115.38,30,130.13,15.24,0,81.75,86.75,270.51,5.13,0,19.39,9.2,43.71,13.17,8.51

13,03:00-03:15,0,0,0,0,0,33.01,0,0,0,19.63,0,18.67,0,0,0,0,0,18.67,55.99,0,6.33,100.2,-0,0,224.82,28.26,134.89,0,9.85,19.24,20.75,0,115.38,23.7,130.13,15.24,0,81.75,86.75,270.51,3.73,0,23.7,9.2,43.71,13.17,8.51

14,03:15-03:30,0,0,0,0,0,33.01,0,0,0,19.2,0,18.67,0,0,0,0,0,18.67,55.99,0,6.33,100.2,-0,0,224.82,28.26,134.89,0,9.85,19.24,20.75,0,115.38,23.7,130.13,15.24,0,81.75,86.75,270.51,3.73,0,23.7,9.2,43.71,13.17,8.51

15,03:30-03:45,0,0,0,0,0,35.81,0,0,0,18.76,0,15.83,0,0,0,0,0,15.83,47.51,0,6.33,100.2,-0,0,224.82,28.26,134.89,0,9.85,19.24,20.75,0,115.38,23.7,129.06,15.24,0,81.75,86.75,270.51,3.73,0,23.7,9.2,43.71,13.17,8.51

16,03:45-04:00,0,0,0,0,0,35.81,0,0,0,18.27,0,15.83,0,0,0,0,0,15.83,47.51,0,6.33,100.2,-0,0,224.82,28.26,134.89,0,9.85,19.24,20.75,0,115.38,23.7,129.06,15.24,0,81.75,86.75,270.51,3.73,0,23.7,9.2,43.71,13.17,8.51

17,04:00-04:15,0,0,0,0,0,35.41,0,0,0,16.12,0,16.17,0,0,0,0,0,16.17,48.49,0,6.33,100.2,-0,0,224.82,28.26,134.89,0,9.69,19.24,20.75,0,115.38,26.7,129.06,15.24,0,81.75,86.75,270.51,3.91,0,26.7,9.74,43.71,17.03,8.51

18,04:15-04:30,0,0,0,0,0,34.81,0,0,0,15.58,0,16.67,0,0,0,0,0,16.67,49.99,0,6.33,100.2,-0,0,224.82,28.26,134.89,0,9.69,19.24,20.75,0,115.38,26.7,129.06,15.24,0,81.75,86.75,270.51,3.91,0,26.7,9.74,43.71,17.03,8.51

19,04:30-04:45,0,0,0,0,0,34.61,0,0,0,14.94,0,17,0,0,0,0,0,17,51,0,6.33,100.2,-0,0,224.82,28.26,134.89,0,9.69,19.24,20.75,0,115.38,26.7,129.06,15.24,0,81.75,86.75,270.51,3.91,0,26.7,9.74,43.71,17.03,8.51

20,04:45-05:00,0,0,0,0,0,34.21,0,0,0,14.27,0,17.17,0,0,0,0,0,17.17,51.49,0,6.33,100.2,-0,0,224.82,28.26,134.89,0,9.69,19.24,20.75,0,115.38,26.7,129.06,15.24,0,81.75,86.75,270.51,3.91,0,26.7,9.74,43.71,17.03,8.51

21,05:00-05:15,0,0,0,0,0,33.61,0,0,0,11.49,0,14.17,0,0,0,0,0,14.17,42.49,0,6.33,100.2,-0,0,224.82,28.26,134.89,0,9.69,19.24,20.75,0,114.89,26.7,129.06,15.24,0,81.75,86.75,270.51,3.73,0,26.7,9.51,43.71,16.84,8.51

22,05:15-05:30,0,0,0,0,0,32.41,0,0,0,11.42,0,14.17,0,0,0,0,0,14.17,42.49,0,6.33,100.2,-0,0,224.82,28.26,134.89,0,9.69,19.24,20.75,0,115.38,26.7,129.06,15.24,0,81.75,86.75,270.51,3.73,0,26.7,9.51,43.71,16.84,8.51

23,05:30-05:45,0,0,0,0.3,0,31.81,0,0,0,10.24,0,12.11,0,0,0,0,0,12.11,36.34,0,6.33,100.2,-0,0,224.82,28.26,134.89,0,9.69,19.24,20.75,0,115.38,26.7,129.06,15.24,0,81.75,86.75,270.51,3.73,0,26.7,9.51,43.71,16.84,8.51

24,05:45-06:00,0,0,1.12,0.54,0,31.61,0,0,0,10.22,0,12.11,0,0,1,0,0,12.11,36.34,0,6.33,100.2,-0,0,224.82,27.76,134.89,0,9.69,19.24,20.75,0,115.38,26.7,129.06,15.24,0,81.75,86.75,270.51,3.73,0,26.7,9.51,43.71,16.84,8.51

25,06:00-06:15,0,0,2.46,2.11,1,31.41,2.7,0,0.52,10.22,1,12.11,0,0,1,1,0.1,12.11,36.34,3.5,6.33,100.2,-0,0,224.82,27.76,134.89,0,9.54,19.24,20.75,0,115.38,26.7,100.21,15.24,0,81.75,68.85,270.51,3.73,0,26.7,9.2,43.71,16.75,8.51

26,06:15-06:30,0,1,5.06,3.68,2,31.61,13.6,0,2.06,10.24,2,12.11,0,0,3,2,0.41,12.11,36.34,12.6,6.33,100.2,-0,0,224.82,27.76,134.89,0,9.54,19.24,20.75,0,115.38,26.7,100.21,15.24,0,81.75,68.85,270.51,3.73,0,26.7,9.2,43.71,16.75,8.51

27,06:30-06:45,3,2,8.15,8.25,3,30.01,20.7,0,4.63,10.27,3,12.11,0,0,5,3,0.93,12.11,36.34,20.3,6.33,100.2,-0,0,224.82,27.76,134.89,1.51,9.16,19.24,20.75,1.51,115.38,26.7,100.21,15.24,0,81.75,68.85,270.51,3.73,1.17,26.7,9.2,43.71,16.75,8.51

28,06:45-07:00,5,3,12.05,11.79,7,29.61,30.9,0,8.24,10.31,6,12.11,0,0,7,4,1.65,12.11,36.34,33,6.33,100.2,-0,0,224.82,27.76,134.89,2.02,9.16,19.24,20.75,2.02,106.89,26.7,100.21,15.24,0,81.75,68.85,270.51,3.73,1.56,26.7,9.2,43.71,16.75,8.51

29,07:00-07:15,8,7,16.55,17.11,13,29.01,33,0,12.87,10.89,11,12.11,0,0,10,5,2.58,12.11,36.34,33,6.33,100.2,-0,0,224.82,27.26,134.89,2.86,9.16,19.24,20.75,2.86,115.38,26.7,100.21,15.24,0,81.75,68.85,270.51,3.73,2.21,26.7,9.2,43.71,14.54,8.51

30,07:15-07:30,13,8,21.54,22.57,17,28.41,33,0,26.96,11.75,14,12.11,0,0,13,7,5.39,12.11,36.34,33,6.33,100.2,-0,0,224.82,27.26,134.89,3.69,9.16,19.24,20.75,3.69,115.38,26.7,100.21,15.24,0,81.75,68.85,270.51,3.73,2.85,26.7,9.2,43.71,14.54,8.51

31,07:30-07:45,20,10,26.72,22.46,20,27.61,33,0,40.71,12.86,19,12.11,0,0,16,9,8.14,12.11,36.34,33,6.33,100.2,-0,0,224.82,27.26,134.89,4.52,9.16,19.24,20.75,4.52,89.24,30,100.21,15.24,0,81.75,68.85,270.51,3.73,3.5,19.64,9.2,43.71,14.54,8.51

32,07:45-08:00,28,13,31.43,27.53,27,27.01,33,0,52.13,14.02,23,12.11,0,0,21,12,10.43,12.11,36.34,33,6.33,100.2,-0,0,224.82,28.26,134.89,5.36,9.16,19.24,20.75,5.36,70.13,30,72.46,15.24,0,81.75,48.97,262.33,3.73,4.14,19.64,9.2,43.71,14.54,8.51

33,08:00-08:15,33,16,36.13,33.07,32,26.01,33,0,63.47,14.16,28,12.11,0,0,25,16,12.69,12.11,36.34,33,6.33,100.2,-0,0,224.82,28.26,134.89,6.42,8.99,19.24,20.75,6.42,70.13,26.7,72.46,15.24,0,81.75,48.97,237.9,3.73,4.95,26.7,9.05,43.71,13.17,8.51

34,08:15-08:30,33,19,25.42,38.52,39,25.61,33,0,77.14,13.86,33,12.11,0,0,30,19,15.43,12.11,36.34,33,6.33,100.2,-0,0,224.82,28.26,134.89,7.49,8.99,19.24,20.75,7.49,70.13,26.7,72.46,15.24,0,81.75,48.97,253.19,3.73,5.79,26.7,9.05,43.71,13.17,8.51

35,08:30-08:45,33,23,29.27,44.05,45,25.01,33,0,89.26,13.43,37,12.11,0,0,34,22,17.85,12.11,36.34,33,6.33,100.2,-0,0,224.82,26.24,134.89,8.59,8.99,19.24,20.75,8.59,70.13,26.7,72.46,15.24,0,81.75,48.97,243.92,3.73,6.64,26.7,9.05,43.71,13.17,8.51

36,08:45-09:00,33,26,34.06,49.85,52,24.01,33,0,102.37,12.96,43,12.11,0,0,40,25,20.47,12.11,36.34,33,6.33,100.2,-0,0,224.82,26.75,134.89,9.71,8.99,19.24,20.75,9.71,70.13,26.7,72.46,15.24,0,81.75,48.97,255.27,3.73,7.51,26.7,9.05,43.71,13.17,8.51

37,09:00-09:15,33,29,36.71,55.49,59,23.81,33,0,116.25,12.67,50,12.11,0,0,45,27,23.25,12.11,36.34,33,6.33,71.35,-0,0,224.82,26.75,134.89,10.7,8.99,19.24,20.75,10.7,70.13,26.8,54.82,15.24,0,81.75,38.03,270.51,3.73,8.27,26.8,9.2,43.71,13.17,8.51

38,09:15-09:30,33,33,36.74,61.2,65,23.01,33,0,129.92,12.42,55,12.11,0,0,48,30,25.99,12.11,36.34,33,6.33,52.9,-90.81,0,224.82,27.25,134.89,11.6,8.99,19.24,20.75,11.6,70.13,26.8,81.98,15.24,0,81.75,38.03,270.51,3.73,8.97,26.8,9.2,43.71,13.17,8.51

39,09:30-09:45,33,35,36.24,66.61,69,22.61,33,0,179.17,12.24,62,11.51,0,0,52,32,35.83,11.51,34.51,33,6.33,52.9,-90.81,0,224.82,27.25,134.89,12.44,8.99,19.24,20.75,12.44,70.13,26.8,82.56,15.24,0,81.75,38.03,270.51,3.73,9.62,26.8,9.2,43.71,13.17,8.51

40,09:45-10:00,33,37,35.55,71.6,75,22.01,33,0,183.33,12.07,67,11.51,0,0,57,34,36.67,11.51,34.51,33,6.33,52.9,-90.81,0,224.82,27.25,134.89,13.23,8.99,19.24,20.75,13.23,76.54,26.8,82.56,15.24,0,81.75,57.91,270.51,3.73,10.22,26.8,9.2,43.71,13.17,8.51

41,10:00-10:15,33,41,35.86,76.59,81,30.01,33,0,187.62,12.07,73,11.64,0,0,61,34,37.52,11.64,34.93,33,6.33,52.9,-90.81,0,224.82,27.25,134.89,13.9,9.46,19.24,20.75,13.9,107.8,26.8,82.56,15.24,0,81.75,57.91,251.03,3.73,10.74,26.8,9.36,43.71,13.17,8.51

42,10:15-10:30,33,42,37.46,87.23,85,30.01,33,0,194.12,12.15,78,11.78,0,0,64,35,38.83,11.78,35.32,33,6.33,52.9,-90.81,0,224.82,27.25,134.89,14.55,9.46,19.24,20.75,14.55,115.38,26.8,82.56,15.24,0,81.75,57.91,231.79,3.73,11.25,26.8,9.36,43.71,13.17,8.51

43,10:30-10:45,33,37,60.47,79.14,73,30.01,33,0,200.64,15,85,15,0,0,61,37,40.13,15,45,33,6.33,52.9,-90.81,0,224.82,27.25,134.89,15.12,9.46,19.24,20.75,15.12,115.38,26.8,82.56,15.24,0,81.75,57.91,211.6,3.73,11.69,26.8,9.36,43.71,13.17,8.51

44,10:45-11:00,33,38,63.4,83.81,77,30.01,33,0,207.15,15,86,15,0,0,64,38,41.43,15,45,33,6.33,52.9,-90.81,0,224.82,27.25,134.89,15.67,9.46,19.24,20.75,15.67,115.38,26.8,82.56,15.24,0,81.75,57.91,191.4,3.73,12.11,26.8,9.36,43.71,13.17,8.51

45,11:00-11:15,33,40,65.35,88.36,80,24.1,33,0,212.5,17.33,86,15,0,0,66,39,42.5,15,45,33,6.33,52.9,-90.81,0,224.82,27.25,134.89,14.04,9.69,19.24,20.75,14.04,115.38,26.8,82.56,15.24,0,81.75,57.91,171.2,3.26,10.85,26.8,9.59,43.71,15.93,8.51

46,11:15-11:30,33,41,66.51,90.66,81,24.03,33,0,212.5,17.33,86,15,0,0,69,40,42.5,15,45,33,6.33,52.9,-90.81,0,224.82,27.25,134.89,14.58,9.69,19.24,20.75,14.58,115.38,26.8,82.56,15.24,0,81.75,57.91,132.73,3.26,11.27,26.8,9.59,43.71,15.93,8.51

47,11:30-11:45,33,33,70.71,92.71,67,24.89,33,0,201.67,17.33,78,15,0,0,60,39,40.33,15,45,33,6.33,52.9,-90.81,0,224.82,27.25,134.89,14.65,9.69,19.24,20.75,14.65,115.38,26.8,82.56,15.24,0,81.75,57.91,132.73,3.26,11.32,26.8,8.28,43.71,15.93,8.51

48,11:45-12:00,33,33,79.93,93.38,67,26.19,33,0,204.17,17.33,78,15,0,0,60,39,40.83,15,45,33,6.33,52.9,-90.81,0,224.82,27.25,134.89,14.74,9.69,19.24,20.75,14.74,115.38,26.8,82.56,15.24,0,81.75,57.91,132.73,3.26,11.39,26.8,8.28,43.71,15.93,8.51

49,12:00-12:15,33,37,93.72,83.33,73,30.17,33,0,206.67,17.33,86,15,0,0,66,40,41.33,15,45,33,6.33,52.9,-90.81,0,224.82,28.26,134.89,14.65,9.16,19.24,20.75,14.65,115.38,26.85,82.56,15.24,0,81.75,57.91,132.73,3.54,11.31,26.85,8.43,43.71,15.74,8.51

50,12:15-12:30,33,38,95.82,83.33,77,32.55,33,0,208.33,17.33,86,15.03,0,0,69,40,41.67,15.03,45.07,33,6.33,52.9,-90.81,0,224.82,29.27,134.89,14.57,9.16,19.24,20.75,14.57,115.38,26.85,82.56,15.24,0,81.75,57.91,132.73,3.54,11.27,26.85,8.43,43.71,15.74,8.51

51,12:30-12:45,33,40,91.39,85,80,29.01,33,0,204.17,17.67,86,15.7,0,0,69,39,40.83,15.7,47.12,33,6.33,52.9,-90.81,0,224.82,29.27,134.89,14.52,9.16,19.24,20.75,14.52,115.38,26.85,82.56,15.24,0,81.75,57.91,132.73,3.54,11.22,26.85,8.43,43.71,15.74,8.51

52,12:45-13:00,33,40,86.44,86.67,80,30.01,33,0,204.17,16.67,86,16.25,0,0,69,39,40.83,16.25,48.72,33,6.33,52.9,-90.81,0,224.82,29.27,134.89,14.51,9.16,19.24,20.75,14.51,115.38,26.85,82.56,15.24,0,81.75,57.91,132.73,3.54,11.21,26.85,8.43,43.71,15.74,8.51

53,13:00-13:15,33,38,79.79,93.33,77,22.01,33,0,208.33,16,86,16.08,0,0,69,39,41.67,16.08,48.22,33,6.33,81.75,-90.81,0,224.82,29.27,134.89,13.7,9.46,19.24,20.75,13.7,115.38,26.85,81.94,15.24,0,81.75,57.91,132.73,3.64,10.59,26.85,9.05,43.71,15.47,8.51

54,13:15-13:30,33,38,71.42,93.33,77,24.01,33,0,208.33,15,86,16.59,0,0,69,38,41.67,16.59,49.77,33,6.33,81.75,-90.81,0,224.82,29.27,134.89,12.91,9.46,19.24,20.75,12.91,115.38,26.85,81.94,15.24,0,81.75,57.91,132.73,3.64,9.98,26.85,9.05,43.71,15.47,8.51

55,13:30-13:45,33,39,71.13,91.67,79,27.01,33,0,208.33,15,83,16.72,0,0,69,38,41.67,16.72,50.15,33,6.33,100.2,-90.81,0,224.82,29.27,134.89,12.76,9.46,19.24,20.75,12.76,115.38,26.85,81.94,15.24,0,81.75,57.91,132.73,3.64,9.86,26.85,9.05,43.71,15.47,8.51

56,13:45-14:00,33,38,70.42,90,77,30.01,33,0,208.33,15,83,16.46,0,0,69,37,41.67,16.46,49.39,33,6.33,100.2,-0,0,224.82,29.27,134.89,12.28,9.46,19.24,20.75,12.28,115.38,26.85,81.94,15.24,0,81.75,57.91,132.73,3.64,9.49,26.85,9.05,43.71,15.47,8.51

57,14:00-14:15,33,38,64.39,91.67,77,23.01,33,0,194.33,16.67,78,19.81,0,0,67,37,38.87,19.81,59.41,33,6.33,100.2,-0,0,224.82,29.27,134.89,12.12,9.77,19.24,20.75,12.12,89.48,26.85,129.06,15.24,0,81.75,75.82,132.73,3.73,9.37,26.85,9.59,43.71,15.74,8.51

58,14:15-14:30,33,37,63.2,91.67,73,25.01,33,0,192.71,16.67,77,20.45,0,0,66,36,38.54,20.45,61.33,33,6.33,100.2,-0,0,224.82,29.27,134.89,11.94,9.77,19.24,20.75,11.94,115.38,26.85,129.06,15.24,0,81.75,75.82,132.73,3.73,9.23,26.85,9.59,43.71,15.74,8.51

59,14:30-14:45,33,37,56.97,80,73,21.01,33,0,170.53,16.67,73,21.09,0,0,63,35,34.11,21.09,63.28,33,6.33,100.2,-0,0,224.82,29.78,134.89,11.75,10.23,19.24,20.75,11.75,115.38,26.85,129.06,15.24,0,81.75,75.82,132.73,3.73,9.09,26.85,10.58,43.71,15.74,8.51

60,14:45-15:00,33,35,50.7,78.33,70,23.01,33,0,164.77,16.67,72,21.74,0,0,58,33,32.96,21.74,65.19,33,6.33,100.2,-0,0,224.82,29.78,134.89,11.53,10.23,19.24,20.75,11.53,115.38,26.85,129.06,15.24,0,81.75,75.82,132.73,3.73,8.92,26.85,10.58,43.71,15.74,8.51

61,15:00-15:15,33,28,44.45,75,57,28.01,33,0,160.23,16.67,67,16.8,0,0,54,30,32.05,16.8,50.4,33,6.33,100.2,-0,0,224.82,30.28,134.89,11.04,10.23,19.24,20.75,11.04,115.38,26.85,129.06,15.24,0,81.75,86.75,132.73,4.19,8.53,26.85,10.73,43.71,16.2,8.51

62,15:15-15:30,33,27,38.22,71.63,55,32.01,33,0,153.87,17.23,65,17.09,0,0,51,30,30.78,17.09,51.29,33,6.33,100.2,-0,0,224.82,30.28,134.89,10.31,10.23,19.24,20.75,10.31,115.38,26.85,129.06,15.24,0,81.75,86.75,132.73,4.19,7.96,26.85,10.73,43.71,16.2,8.51

63,15:30-15:45,33,24,29.26,66,48,38.02,33,0,145.29,18.46,62,17.29,0,0,42,27,29.06,17.29,51.87,33,6.33,100.2,-0,0,224.82,30.28,134.89,9.55,10.23,19.24,20.75,9.55,115.38,26.85,129.06,15.24,0,81.75,86.75,132.73,4.19,7.38,26.85,10.73,43.71,16.2,6.67

64,15:45-16:00,33,22,29.26,63.47,43,40.87,33,0,135.57,19.85,59,17.49,0,0,39,25,27.12,17.49,52.45,33,6.33,100.2,-0,0,224.82,31.29,134.89,8.93,10.23,19.24,20.75,8.93,115.38,26.85,129.06,15.24,0,81.75,86.75,132.73,4.19,6.9,26.85,10.73,43.71,16.2,6.67

65,16:00-16:15,24,23,29.26,55,45,40.87,33,0,126.27,16.67,55,15.82,0,0,37,23,25.26,15.82,47.45,33,6.33,100.2,-0,0,224.82,31.29,134.89,8.49,10.47,19.24,20.75,8.49,115.38,26.85,129.06,15.24,0,81.75,86.75,132.73,4.66,6.56,26.85,10.73,43.71,16.84,6.67

66,16:15-16:30,16,21,29.26,51.67,43,40.87,33,0,115.83,17.33,50,16.51,0,0,36,21,23.17,16.51,49.51,33,6.33,100.2,-0,0,224.82,31.29,134.89,8.03,10.47,19.24,20.75,8.03,115.38,26.85,129.06,15.24,0,81.75,86.75,132.73,4.66,6.21,26.85,10.73,43.71,16.84,6.67

67,16:30-16:45,8,19,27.41,48.33,37,40.87,33,0,107.67,18,41,16.99,0,0,27,16,21.54,16.99,50.99,33,6.33,100.2,-0,0,224.82,31.29,134.89,7.45,10.47,19.24,20.75,7.45,115.38,26.85,129.06,15.24,0,81.75,86.75,132.73,4.66,5.76,26.85,10.73,43.71,16.84,6.67

68,16:45-17:00,5,15,16.58,45,30,40.87,33,0,98.34,18.67,38,17.59,0,0,24,15,19.67,17.59,52.74,33,6.33,100.2,-0,0,224.82,31.29,134.89,6.66,10.47,19.24,20.75,6.66,115.38,26.85,129.06,15.24,0,81.75,86.75,132.73,4.66,5.15,26.85,10.73,43.71,16.84,6.67

69,17:00-17:15,2,12,16.58,36.67,23,40.87,33,0,88.44,16.76,33,17.59,0,0,21,12,17.69,17.59,52.74,33,6.33,100.2,-0,0,224.82,31.29,134.89,5.88,10.47,19.24,20.75,5.88,115.38,26.85,129.06,15.24,0,81.75,86.75,132.73,5.13,4.55,26.85,10.73,43.71,17.3,6.67

70,17:15-17:30,0,9,16.58,33.33,19,40.87,33,0,75.67,17.23,29,17.49,0,0,18,9,15.13,17.49,52.45,33,6.33,100.2,-0,0,224.82,31.29,134.89,5.09,10.47,19.24,20.75,5.09,115.38,26.85,129.06,15.24,0,81.75,86.75,132.73,5.13,3.94,26.85,10.73,43.71,17.3,6.67

71,17:30-17:45,0,7,13.37,30,15,40.87,26.82,0,62.42,17.71,20,17.29,0,0,12,7,12.48,17.29,51.87,29.37,6.33,100.2,-0,0,224.82,31.29,134.89,4.46,10.47,19.24,20.75,4.46,115.38,26.85,129.06,15.24,0,81.75,86.75,132.73,5.13,3.45,26.85,10.73,43.71,17.3,6.67

72,17:45-18:00,0,4,8.19,25.1,9,40.87,18.12,0,49.02,18.23,13,16.9,0,0,9,7,9.81,16.9,50.7,20.23,6.33,100.2,-0,0,224.82,31.29,134.89,3.47,10.47,19.24,20.75,3.47,115.38,26.85,129.06,15.24,0,81.75,86.75,132.73,5.13,2.68,26.85,10.73,43.71,17.3,6.67

