Column1,Block,NR/2024/23639/A/41673,NR/2024/23640/A/41672,NR/2024/23384/A/41641,NR/2024/23694/A/41667,NR/2024/23383/A/41634,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/01/8106,NR/2024/23753/C,NR/2024/23382/A/41804,NR/2024/23754/C,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/01/3642,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/16/2350,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/16/4393,Total
40,09:45-10:00,42.41,10.6,6.75,2.89,0.87,26.91,26.02,26.02,8.67,0,17.52,5.16,0,26.02,4.23,0,26.91,8.67,0,239.64999999999998

41,10:00-10:15,42.41,10.6,6.75,2.89,0.87,26.91,26.02,26.02,8.67,0,17.52,5.35,0,26.02,4.23,0,26.91,8.67,0,239.83999999999997

42,10:15-10:30,42.41,10.6,6.75,2.89,0.87,26.91,26.02,26.02,8.67,0,17.52,5.73,0,26.02,4.23,0,26.91,8.67,0,240.21999999999997

43,10:30-10:45,42.41,10.6,6.75,2.89,0.87,26.91,26.02,26.02,8.67,115.66,17.52,6.02,0,26.02,4.23,0,26.91,8.67,0,356.16999999999996

44,10:45-11:00,42.41,10.6,6.75,2.89,0.87,26.91,26.02,26.02,8.67,115.66,17.52,6.17,0,26.02,4.23,0,26.91,8.67,0,356.32

45,11:00-11:15,42.41,10.6,6.75,2.89,0.87,26.91,26.02,26.02,8.67,115.66,17.52,6.31,0,26.02,4.23,0,26.91,8.67,0,356.46

46,11:15-11:30,42.41,10.6,6.75,2.89,0.87,26.91,26.02,26.02,8.67,115.66,17.52,6.55,0,26.02,4.23,0,26.91,8.67,0,356.7

47,11:30-11:45,42.41,10.6,6.75,2.89,0.87,26.91,26.02,26.02,8.67,115.66,17.52,6.89,0,26.02,4.23,0,26.91,8.67,0,357.03999999999996

48,11:45-12:00,42.41,10.6,6.75,2.89,0.87,26.91,26.02,26.02,8.67,115.66,17.52,7.13,0,26.02,4.23,0,26.91,8.67,0,357.28

49,12:00-12:15,42.41,10.6,6.75,2.89,0.87,26.91,26.02,26.02,8.67,115.66,17.52,7.37,0,26.02,4.23,0,26.91,8.67,0,357.52

50,12:15-12:30,42.41,10.6,6.75,2.89,0.87,26.91,26.02,26.02,8.67,115.66,17.52,7.66,0,26.02,4.23,0,26.91,8.67,0,357.81

51,12:30-12:45,42.41,10.6,6.75,2.89,0.87,26.91,26.02,26.02,8.67,115.66,17.52,7.9,0,26.02,4.23,0,26.91,8.67,0,358.04999999999995

52,12:45-13:00,42.41,10.6,6.75,2.89,0.87,26.91,26.02,26.02,8.67,115.66,17.52,8.19,0,26.02,4.23,0,26.91,8.67,0,358.34

53,13:00-13:15,42.41,10.6,6.75,2.89,0.77,26.91,26.02,26.02,8.67,96.38,17.52,8.53,0,26.02,4.14,0,26.91,8.67,0,339.21

54,13:15-13:30,42.41,10.6,6.75,2.89,0.77,26.91,26.02,26.02,8.67,96.38,17.52,8.34,0,26.02,4.14,0,26.91,8.67,0,339.02

55,13:30-13:45,42.41,10.6,6.75,2.89,0.77,26.91,26.02,26.02,8.67,96.38,17.52,8.1,0,26.02,4.14,0,26.91,8.67,0,338.78000000000003

56,13:45-14:00,42.41,10.6,6.75,2.89,0.77,26.91,26.02,26.02,8.67,96.38,17.52,7.85,0,26.02,4.14,0,26.91,8.67,0,338.53000000000003

57,14:00-14:15,42.41,10.6,6.75,2.89,0.92,26.91,26.02,26.02,8.67,96.38,17.52,7.71,0,26.02,4.14,0,26.91,8.67,0,338.53999999999996

58,14:15-14:30,42.41,10.6,6.75,2.89,0.92,26.91,26.02,26.02,8.67,96.38,17.52,7.5,0,26.02,4.14,0,26.91,8.67,0,338.33

59,14:30-14:45,42.41,10.6,6.75,2.89,0.92,26.91,26.02,26.02,8.67,48.19,17.52,7.08,0,26.02,4.14,0,26.91,8.67,0,289.72

60,14:45-15:00,42.41,10.6,6.75,2.89,0.92,26.91,26.02,26.02,8.67,48.19,17.52,6.65,0,26.02,4.14,0,26.91,8.67,0,289.29

61,15:00-15:15,42.41,10.6,6.75,2.89,0.92,26.91,26.02,26.02,8.67,48.19,17.52,5.98,0,26.02,4.14,0,26.91,8.67,0,288.62

62,15:15-15:30,42.41,10.6,6.75,2.89,0.92,26.91,26.02,26.02,8.67,48.19,17.52,5.11,0,26.02,4.14,0,26.91,8.67,0,287.75000000000006

63,15:30-15:45,42.41,10.6,6.75,2.89,0.92,26.91,26.02,26.02,8.67,48.19,17.52,4.05,0,26.02,4.14,0,26.91,8.67,0,286.69000000000005

64,15:45-16:00,42.41,10.6,6.75,2.89,0.92,26.91,26.02,26.02,8.67,48.19,17.52,3.37,0,26.02,4.14,0,26.91,8.67,0,286.01000000000005

65,16:00-16:15,32.77,10.6,6.75,2.89,0.77,26.91,26.02,26.02,8.67,48.19,17.52,2.8,0,26.02,4.14,0,26.91,8.67,0,275.65000000000003

66,16:15-16:30,23.13,10.6,6.75,2.89,0.77,26.91,26.02,26.02,8.67,146.5,17.52,2.33,0,26.02,4.14,0,26.91,8.67,0,363.84999999999997

67,16:30-16:45,13.49,10.6,6.75,2.89,0.77,26.91,26.02,26.02,8.67,146.5,17.52,2.17,0,26.02,4.14,0,26.91,8.67,0,354.05

68,16:45-17:00,7.71,9.93,6.75,2.89,0.77,26.91,26.02,26.02,8.67,146.5,17.52,0.93,0,26.02,4.14,0,26.91,8.67,0,346.36

69,17:00-17:15,0,0,6.75,2.89,0.72,26.91,34.7,34.7,9.64,146.5,17.52,0.53,0,34.7,4.23,0,26.91,9.64,0,356.34

70,17:15-17:30,0,0,6.75,2.89,0.72,26.91,34.7,34.7,9.64,146.5,17.52,0.33,0,34.7,4.23,0,26.91,9.64,0,356.14

71,17:30-17:45,0,0,6.75,2.89,0.72,26.91,34.7,34.7,9.64,146.5,17.52,0.29,0,34.7,4.23,0,26.91,9.64,0,356.1

72,17:45-18:00,0,0,6.75,2.89,0.72,26.91,34.7,34.7,9.64,146.5,17.52,0,0,34.7,4.23,0,26.91,9.64,0,355.81

73,18:00-18:15,0,0,6.75,2.89,0.72,25.4,34.7,34.7,9.64,146.5,17.52,0,125,34.7,4.23,0,25.4,9.64,0,477.78999999999996

74,18:15-18:30,0,0,6.75,2.89,0.72,25.4,34.7,34.7,9.64,146.5,17.52,0,125,34.7,4.23,0,25.4,9.64,0,477.78999999999996

75,18:30-18:45,0,0,6.75,2.89,0.72,25.4,34.7,34.7,9.64,146.5,17.52,0,125,34.7,4.23,0,25.4,9.64,0,477.78999999999996

76,18:45-19:00,0,0,6.75,2.89,0.72,25.4,34.7,34.7,9.64,146.5,17.52,0,125,34.7,4.23,0,25.4,9.64,0,477.78999999999996

77,19:00-19:15,0,0,6.75,2.89,0.67,9,34.7,34.7,9.64,146.5,17.52,0,125,34.7,4.33,0,9,9.64,0,445.03999999999996

78,19:15-19:30,0,0,6.75,2.89,0.67,9,34.7,34.7,9.64,146.5,17.52,0,125,34.7,4.33,0,9,9.64,0,445.03999999999996

79,19:30-19:45,0,0,6.75,2.89,0.67,8.27,34.7,34.7,9.64,146.5,17.52,0,125,34.7,4.33,0,8.27,9.64,0,443.5799999999999

80,19:45-20:00,0,0,6.75,2.89,0.67,8.27,34.7,34.7,9.64,146.5,17.52,0,125,34.7,4.33,0,8.27,9.64,0,443.5799999999999

81,20:00-20:15,0,0,6.75,2.89,0.67,0.48,34.7,34.7,9.64,146.5,17.52,0,200,34.7,4.33,0,0.48,9.64,0,503

82,20:15-20:30,0,0,6.75,2.89,0.67,0.48,34.7,34.7,9.64,146.5,17.52,0,200,34.7,4.33,0,0.48,9.64,0,503

83,20:30-20:45,0,0,6.75,2.89,0.67,0.48,34.7,34.7,9.64,146.5,17.52,0,200,34.7,4.33,0,0.48,9.64,0,503

84,20:45-21:00,0,0,6.75,2.89,0.67,0.48,34.7,34.7,9.64,146.5,17.52,0,200,34.7,4.33,0,0.48,9.64,0,503

85,21:00-21:15,0,0,6.75,2.89,0.72,0.48,34.7,34.7,9.64,146.5,17.52,0,200,34.7,4.33,0,0.48,9.64,0,503.04999999999995

86,21:15-21:30,0,0,6.75,2.89,0.72,0.48,34.7,34.7,9.64,146.5,17.52,0,200,34.7,4.33,0,0.48,9.64,0,503.04999999999995

87,21:30-21:45,0,0,6.75,2.89,0.72,0.48,34.7,34.7,9.64,146.5,17.52,0,200,34.7,4.33,0,0.48,9.64,0,503.04999999999995

88,21:45-22:00,0,0,6.75,2.89,0.72,0.48,34.7,34.7,9.64,146.5,17.52,0,200,34.7,4.33,0,0.48,9.64,0,503.04999999999995

89,22:00-22:15,0,0,6.75,2.89,0.67,0.48,34.7,34.7,9.64,146.5,17.52,0,200,34.7,4.23,47.56,0.48,9.64,142.69,693.1500000000001

90,22:15-22:30,0,0,6.75,2.89,0.67,0.48,34.7,34.7,9.64,146.5,17.52,0,200,34.7,4.23,47.56,0.48,9.64,142.69,693.1500000000001

91,22:30-22:45,0,0,6.75,2.89,0.67,0.48,34.7,34.7,9.64,146.5,17.52,0,200,34.7,4.23,47.56,0.48,9.64,142.69,693.1500000000001

92,22:45-23:00,0,0,6.75,2.89,0.67,0.48,34.7,34.7,9.64,146.5,17.52,0,200,34.7,4.23,47.56,0.48,9.64,142.69,693.1500000000001

93,23:00-23:15,0,0,6.75,2.89,0.58,0.48,34.7,34.7,9.64,146.5,17.52,0,200,34.7,4.23,47.56,0.48,9.64,142.69,693.06

94,23:15-23:30,0,0,6.75,2.89,0.58,0.48,34.7,34.7,9.64,146.5,17.52,0,200,34.7,4.23,47.56,0.48,9.64,142.69,693.06

95,23:30-23:45,0,0,6.75,2.89,0.58,0.48,34.7,34.7,9.64,146.5,17.52,0,200,34.7,4.23,47.56,0.48,9.64,142.69,693.06

96,23:45-24:00,0,0,6.75,2.89,0.58,0.48,34.7,34.7,9.64,146.5,17.52,0,200,34.7,4.23,47.56,0.48,9.64,142.69,693.06

