Time,Block,NR/2024/19172/A/13941,NR/2024/18976/A/13322,NR/2024/18986/A/13405,NR/2024/19030/A/13289,NR/2024/19075/A/13260,NR/2024/19252/C,NR/2024/18977/A/13321,NR/2024/18934/A/13335,NR/2024/19115/A/13368,NR/2024/19247/C,NR/2024/18855/A/13601,NR/2024/18978/A/13319,NR/2024/18935/A/13334,NR/2024/19043/A/13270,NR/2024/18936/A/13333,NR/2024/18919/A/13847,NR/2024/19244/C,NR/2024/19243/C,NR/2024/19121/A/13599,NR/2024/18996/A/13831,NR/2024/19259/C,NR/2024/19143/A/13365,NR/2024/19024/A/13399,Total

3,00:30-00:45,116.090000,0.000000,0.530000,0.000000,0.000000,96.740000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,45.080000,0,0.000000,0.000000,48.370000,2.000000,4.840000,390.25

4,00:45-01:00,116.090000,0.000000,0.530000,0.000000,0.000000,96.740000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,45.080000,0,0.000000,0.000000,48.370000,2.000000,4.840000,390.25

5,01:00-01:15,116.090000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,45.080000,0,0.000000,0.000000,48.370000,2.000000,4.840000,293.46

6,01:15-01:30,116.090000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,45.080000,0,0.000000,0.000000,48.370000,2.000000,4.840000,293.46

7,01:30-01:45,116.090000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,45.080000,0,0.000000,0.000000,48.370000,2.000000,4.840000,293.46

8,01:45-02:00,116.090000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,45.080000,0,0.000000,0.000000,48.370000,2.000000,4.840000,293.46

9,02:00-02:15,116.090000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,45.080000,0,0.000000,0.000000,0.000000,2.000000,4.840000,245.09

10,02:15-02:30,116.090000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,45.080000,0,0.000000,0.000000,0.000000,2.000000,4.840000,245.09

11,02:30-02:45,116.090000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,45.080000,0,0.000000,0.000000,0.000000,2.000000,4.840000,245.09

12,02:45-03:00,116.090000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,45.080000,0,0.000000,0.000000,0.000000,2.000000,4.840000,245.09

13,03:00-03:15,116.090000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,45.080000,0,0.000000,0.000000,0.000000,2.000000,4.840000,245.09

14,03:15-03:30,116.090000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,45.080000,0,0.000000,0.000000,0.000000,2.000000,4.840000,245.09

15,03:30-03:45,116.090000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,45.080000,0,0.000000,0.000000,0.000000,2.000000,4.840000,245.09

16,03:45-04:00,116.090000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,45.080000,0,0.000000,0.000000,0.000000,2.000000,4.840000,245.09

17,04:00-04:15,116.090000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,45.080000,0,0.000000,0.000000,0.000000,2.000000,4.840000,245.09

18,04:15-04:30,116.090000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,45.080000,0,0.000000,0.000000,0.000000,2.000000,4.840000,245.09

19,04:30-04:45,116.090000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,45.080000,0,0.000000,0.000000,0.000000,2.000000,4.840000,245.09

20,04:45-05:00,116.090000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,45.080000,0,0.000000,0.000000,0.000000,2.000000,4.840000,245.09

21,05:00-05:15,116.090000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.670000,45.080000,0,66.930000,0.000000,0.000000,0.000000,4.840000,243.09

22,05:15-05:30,116.090000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.670000,45.080000,0,66.930000,0.000000,0.000000,0.000000,4.840000,243.09

23,05:30-05:45,116.090000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.670000,45.080000,0,66.930000,0.000000,0.000000,0.000000,4.840000,243.09

24,05:45-06:00,116.090000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.670000,45.080000,0,66.930000,0.000000,0.000000,0.000000,4.840000,243.09

25,06:00-06:15,116.090000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.080000,0,66.930000,0.000000,0.000000,0.000000,4.840000,233.47

26,06:15-06:30,116.090000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.080000,0,66.930000,0.000000,0.000000,0.000000,4.840000,233.47

27,06:30-06:45,116.090000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.080000,0,66.930000,0.000000,0.000000,0.000000,4.840000,233.47

28,06:45-07:00,116.090000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.080000,0.72,66.930000,0.000000,0.000000,0.000000,4.840000,234.19

29,07:00-07:15,116.090000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,1.12,66.930000,0.000000,0.000000,0.000000,4.840000,242.24

30,07:15-07:30,116.090000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,1.62,66.930000,0.000000,0.000000,0.000000,4.840000,242.74

31,07:30-07:45,116.090000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,2.2,66.930000,0.000000,0.000000,0.000000,4.840000,243.32

32,07:45:08:00,116.090000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,2.8,66.930000,0.000000,0.000000,0.000000,4.840000,243.92

33,08:00-08:15,116.090000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,3.41,66.930000,0.000000,0.000000,0.000000,4.840000,244.87

34,08:15-08:30,116.090000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,4.01,66.930000,0.000000,0.000000,0.000000,4.840000,245.47

35,08:30-08:45,116.090000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,4.56,66.930000,0.000000,0.000000,0.000000,4.840000,246.02

36,08:45:09:00,116.090000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,5.16,66.930000,0.000000,0.000000,0.000000,4.840000,246.62

37,09:00:09:15,116.090000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,5.75,66.930000,0.000000,0.000000,0.000000,4.840000,247.21

38,09:15-09:30,116.090000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,6.22,66.930000,0.000000,0.000000,0.000000,4.840000,247.68

39,09:30-09:45,116.090000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,6.68,66.930000,0.000000,0.000000,0.000000,4.840000,248.14

40,09:45-10:00,116.090000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,6.52,66.930000,0.000000,0.000000,0.000000,4.840000,247.98

41,10:00-10:15,116.090000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,48.370000,0.000000,0.000000,0.000000,5.800000,46.440000,6.770000,0.000000,0.000000,6.87,66.930000,48.370000,0.000000,0.000000,4.840000,356.29

42,10:15-10:30,116.090000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,48.370000,0.000000,0.000000,0.000000,5.800000,46.440000,6.770000,0.000000,0.000000,7.83,66.930000,48.370000,0.000000,0.000000,4.840000,357.25

43,10:30-10:45,116.090000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,48.370000,0.000000,0.000000,0.000000,5.800000,46.440000,6.770000,0.000000,0.000000,8.11,66.930000,48.370000,0.000000,0.000000,4.840000,357.53

44,10:45-11:00,116.090000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,48.370000,0.000000,0.000000,0.000000,5.800000,46.440000,6.770000,0.000000,0.000000,8.36,66.930000,48.370000,0.000000,0.000000,4.840000,357.78

45,11:00-11:15,116.090000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,48.370000,0.000000,66.930000,0.000000,5.800000,46.440000,6.770000,0.000000,0.000000,8.57,0.000000,48.370000,0.000000,0.000000,4.840000,357.99

46,11:15-11:30,116.090000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,48.370000,0.000000,66.930000,0.000000,5.800000,46.440000,6.770000,0.000000,0.000000,8.75,0.000000,48.370000,0.000000,0.000000,4.840000,358.17

47,11:30-11:45,116.090000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,48.370000,0.000000,66.930000,0.000000,5.800000,46.440000,6.770000,0.000000,0.000000,8.87,0.000000,48.370000,0.000000,0.000000,4.840000,358.29

48,11:45-12:00,116.090000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,48.370000,0.000000,66.930000,0.000000,5.800000,46.440000,6.770000,0.000000,0.000000,8.89,0.000000,48.370000,0.000000,0.000000,4.840000,358.31

49,12:00-12:15,116.090000,24.180000,0.970000,19.350000,19.350000,0.000000,0.000000,4.840000,48.370000,1.930000,66.930000,14.510000,5.800000,46.440000,6.770000,0.000000,0.000000,8.88,0.000000,48.370000,0.000000,0.000000,4.840000,437.62

50,12:15-12:30,116.090000,24.180000,0.970000,19.350000,19.350000,0.000000,0.000000,4.840000,48.370000,1.930000,66.930000,14.510000,5.800000,46.440000,6.770000,0.000000,0.000000,8.9,0.000000,48.370000,0.000000,0.000000,4.840000,437.64

51,12:30-12:45,116.090000,24.180000,0.970000,19.350000,19.350000,0.000000,0.000000,4.840000,48.370000,1.930000,66.930000,14.510000,5.800000,46.440000,6.770000,0.000000,0.000000,8.93,0.000000,48.370000,0.000000,0.000000,4.840000,437.67

52,12:45-13:00,116.090000,24.180000,0.970000,19.350000,19.350000,0.000000,0.000000,4.840000,48.370000,1.930000,66.930000,14.510000,5.800000,46.440000,6.770000,0.000000,0.000000,8.65,0.000000,48.370000,0.000000,0.000000,4.840000,437.39

53,13:00-13:15,116.090000,24.180000,0.970000,19.350000,19.350000,0.000000,0.000000,4.840000,48.370000,1.930000,66.930000,14.510000,5.800000,46.440000,6.770000,0.000000,0.000000,8.59,0.000000,48.370000,0.000000,0.000000,4.840000,437.33

54,13:15-13:30,116.090000,24.180000,0.970000,19.350000,19.350000,0.000000,0.000000,4.840000,48.370000,1.930000,66.930000,14.510000,5.800000,46.440000,6.770000,0.000000,0.000000,8.5,0.000000,48.370000,0.000000,0.000000,4.840000,437.24

55,13:30-13:45,116.090000,24.180000,0.970000,19.350000,19.350000,0.000000,0.000000,4.840000,48.370000,1.930000,66.930000,14.510000,5.800000,46.440000,6.770000,0.000000,0.000000,8.37,0.000000,48.370000,0.000000,0.000000,4.840000,437.11

56,13:45-14:00,116.090000,24.180000,0.970000,19.350000,19.350000,0.000000,0.000000,4.840000,48.370000,1.930000,66.930000,14.510000,5.800000,46.440000,6.770000,0.000000,0.000000,8.16,0.000000,48.370000,0.000000,0.000000,4.840000,436.9

57,14:00-14:15,116.090000,24.180000,0.970000,19.350000,19.350000,0.000000,0.000000,4.840000,48.370000,1.930000,66.930000,14.510000,5.800000,46.440000,6.770000,0.000000,0.000000,7.96,0.000000,48.370000,0.000000,0.000000,4.840000,436.7

58,14:15-14:30,116.090000,24.180000,0.970000,19.350000,19.350000,0.000000,0.000000,4.840000,48.370000,1.930000,66.930000,14.510000,5.800000,46.440000,6.770000,0.000000,0.000000,7.61,0.000000,48.370000,0.000000,0.000000,4.840000,436.35

59,14:30-14:45,116.090000,24.180000,0.970000,19.350000,19.350000,0.000000,0.000000,4.840000,48.370000,1.930000,66.930000,14.510000,5.800000,46.440000,6.770000,0.000000,0.000000,7.31,0.000000,48.370000,0.000000,0.000000,4.840000,436.05

60,14:45-15:00,116.090000,24.180000,0.970000,19.350000,19.350000,0.000000,0.000000,4.840000,48.370000,1.930000,66.930000,14.510000,5.800000,46.440000,6.770000,0.000000,0.000000,7.07,0.000000,48.370000,0.000000,0.000000,4.840000,435.81

61,15:00-15:15,116.090000,24.180000,0.730000,19.350000,19.350000,0.000000,0.000000,4.840000,48.370000,1.930000,66.930000,14.510000,5.800000,46.440000,6.770000,0.000000,0.000000,6.64,0.000000,48.370000,0.000000,0.000000,4.840000,435.14

62,15:15-15:30,116.090000,24.180000,0.730000,19.350000,19.350000,0.000000,0.000000,4.840000,48.370000,1.930000,66.930000,14.510000,5.800000,46.440000,6.770000,0.000000,0.000000,6.16,0.000000,48.370000,0.000000,0.000000,4.840000,434.66

63,15:30-15:45,116.090000,24.180000,0.730000,19.350000,19.350000,0.000000,0.000000,4.840000,48.370000,1.930000,66.930000,14.510000,5.800000,46.440000,6.770000,0.000000,0.000000,5.69,0.000000,48.370000,0.000000,0.000000,4.840000,434.19

64,15:45-16:00,116.090000,24.180000,0.730000,19.350000,19.350000,0.000000,0.000000,4.840000,48.370000,1.930000,66.930000,14.510000,5.800000,46.440000,6.770000,0.000000,0.000000,5.09,0.000000,48.370000,0.000000,0.000000,4.840000,433.59

65,16:00-16:15,116.090000,0.000000,0.730000,0.000000,0.000000,0.000000,0.000000,4.840000,48.370000,1.930000,66.930000,0.000000,5.800000,46.440000,6.770000,0.000000,52.630000,4.69,0.000000,48.370000,0.000000,0.000000,4.840000,408.43

66,16:15-16:30,116.090000,0.000000,0.730000,0.000000,0.000000,0.000000,0.000000,4.840000,48.370000,1.930000,66.930000,0.000000,5.800000,46.440000,6.770000,0.000000,52.630000,4.01,0.000000,48.370000,0.000000,0.000000,4.840000,407.75

67,16:30-16:45,116.090000,0.000000,0.730000,0.000000,0.000000,0.000000,0.000000,4.840000,48.370000,1.930000,66.930000,0.000000,5.800000,46.440000,6.770000,0.000000,52.630000,3.35,0.000000,48.370000,0.000000,0.000000,4.840000,407.09

68,16:45-17:00,116.090000,0.000000,0.730000,0.000000,0.000000,0.000000,0.000000,4.840000,48.370000,1.930000,66.930000,0.000000,5.800000,46.440000,6.770000,0.000000,52.630000,2.73,0.000000,48.370000,0.000000,0.000000,4.840000,406.47

69,17:00-17:15,116.090000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,108.930000,2.15,0.000000,48.370000,0.000000,0.000000,4.840000,349.92

70,17:15-17:30,116.090000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,108.930000,1.63,0.000000,48.370000,0.000000,0.000000,4.840000,349.4

71,17:30-17:45,116.090000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,142.790000,1.17,0.000000,48.370000,0.000000,0.000000,4.840000,382.8

72,17:45-18:00,116.090000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,142.790000,0.76,0.000000,48.370000,0.000000,0.000000,4.840000,382.39

73,18:00-18:15,116.090000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,167.360000,0.45,0.000000,0.000000,0.000000,0.000000,4.840000,358.28

74,18:15-18:30,116.090000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,167.360000,0.21,0.000000,0.000000,0.000000,0.000000,4.840000,358.04

75,18:30-18:45,116.090000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,167.360000,0,0.000000,0.000000,0.000000,0.000000,4.840000,357.83

76,18:45-19:00,116.090000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,167.360000,0,0.000000,0.000000,0.000000,0.000000,4.840000,357.83

77,19:00-19:15,116.090000,0.000000,0.680000,0.000000,0.000000,96.740000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,167.360000,0,0.000000,0.000000,48.370000,2.000000,4.840000,504.94

78,19:15-19:30,116.090000,0.000000,0.680000,0.000000,0.000000,96.740000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,167.360000,0,0.000000,0.000000,48.370000,2.000000,4.840000,504.94

79,19:30-19:45,116.090000,0.000000,0.680000,0.000000,0.000000,96.740000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,167.360000,0,0.000000,0.000000,48.370000,2.000000,4.840000,504.94

80,19:45-20:00,116.090000,0.000000,0.680000,0.000000,0.000000,96.740000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,167.360000,0,0.000000,0.000000,48.370000,2.000000,4.840000,504.94

81,20:00-20:15,116.090000,0.000000,0.680000,0.000000,0.000000,96.740000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,167.360000,0,0.000000,0.000000,48.370000,2.000000,4.840000,504.94

82,20:15-20:30,116.090000,0.000000,0.680000,0.000000,0.000000,96.740000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,167.360000,0,0.000000,0.000000,48.370000,2.000000,4.840000,504.94

83,20:30-20:45,116.090000,0.000000,0.680000,0.000000,0.000000,96.740000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,167.360000,0,0.000000,0.000000,48.370000,2.000000,4.840000,504.94

84,20:45-21:00,116.090000,0.000000,0.680000,0.000000,0.000000,96.740000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,167.360000,0,0.000000,0.000000,48.370000,2.000000,4.840000,504.94

85,21:00-21:15,116.090000,0.000000,0.680000,0.000000,0.000000,96.740000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,150.240000,0,0.000000,0.000000,48.370000,2.000000,4.840000,487.82

86,21:15-21:30,116.090000,0.000000,0.680000,0.000000,0.000000,96.740000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,150.240000,0,0.000000,0.000000,48.370000,2.000000,4.840000,487.82

87,21:30-21:45,116.090000,0.000000,0.680000,0.000000,0.000000,96.740000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,93.930000,0,0.000000,0.000000,48.370000,2.000000,4.840000,431.51

88,21:45-22:00,116.090000,0.000000,0.680000,0.000000,0.000000,96.740000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,0,0.000000,0.000000,48.370000,2.000000,4.840000,390.21

89,22:00-22:15,116.090000,0.000000,0.680000,0.000000,0.000000,96.740000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,52.630000,0,0.000000,0.000000,48.370000,2.000000,4.840000,399.88

90,22:15-22:30,116.090000,0.000000,0.680000,0.000000,0.000000,96.740000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,52.630000,0,0.000000,0.000000,48.370000,2.000000,4.840000,399.88

91,22:30-22:45,116.090000,0.000000,0.680000,0.000000,0.000000,96.740000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,52.630000,0,0.000000,0.000000,48.370000,2.000000,4.840000,399.88

92,22:45-23:00,116.090000,0.000000,0.680000,0.000000,0.000000,96.740000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,52.630000,0,0.000000,0.000000,48.370000,2.000000,4.840000,399.88

93,23:00-23:15,116.090000,0.000000,0.630000,0.000000,0.000000,96.740000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,52.630000,0,0.000000,0.000000,48.370000,2.000000,4.840000,399.83

94,23:15-23:30,116.090000,0.000000,0.630000,0.000000,0.000000,96.740000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,52.630000,0,0.000000,0.000000,48.370000,2.000000,4.840000,399.83

95,23:30-23:45,116.090000,0.000000,0.630000,0.000000,0.000000,96.740000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,52.630000,0,0.000000,0.000000,48.370000,2.000000,4.840000,399.83

96,23:45-24:00,116.090000,0.000000,0.630000,0.000000,0.000000,96.740000,0.000000,0.000000,0.000000,1.930000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,52.630000,0,0.000000,0.000000,48.370000,2.000000,4.840000,399.83

