Column1,Block,NR/2025/26335/A/75947,NR/2025/26755/A/75790,GNARE/NR/2024/12/20/3668,NR/2025/27618/C,NR/2025/27600/C,NR/2025/27619/C,NR/2025/26233/A/76310,NR/2025/27525/C,NR/2025/26827/A/76297,NR/2025/27526/C,NR/2025/27527/C,NR/2025/27528/C,NR/2025/26822/A/76299,NR/2025/27529/C,NR/2025/27651/C,NR/2025/26082/A/76363,NR/2025/27532/C,NR/2025/27533/C,NR/2025/26005/A/75774,NR/2025/26336/A/75943,NR/2025/27558/C,NR/2025/27562/C,NR/2025/26265/A/76309,NR/2025/26202/A/76366,NR/2025/26191/A/75771,NR/2025/27597/C,NR/2025/27598/C,NR/2025/27613/C,NR/2025/26232/A/76311,NR/2025/26085/A/75796,NR/2025/26879/A/75945,NR/2025/26828/A/76296,NR/2025/27621/C,NR/2025/26785/A/75791,NR/2025/27615/C,NR/2025/25859/A/76206,NR/2025/26379/A/76204,NR/2025/26101/A/75944,NR/2025/27149/A/75928,NR/2025/26825/A/76298,NR/2025/26153/A/75792,NR/2025/26959/A/75930,NR/2025/26829/A/76295,NR/2025/26289/A/76308,NR/2025/26291/A/76307,NR/2025/25861/A/76208,NR/2025/25967/A/76205,NR/2025/25860/A/76207,NR/2025/26004/A/75773,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/8954,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/8068,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/2474,NR/2025/27593/C,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/4138,NR/2025/27649/C,NR/2025/27650/C,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/6363,Total
3,00:30-00:45,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,77.29,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,108.55,0,0,4.83,0.77,33.81,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,6.76,37.33,48.3,24.15,0,164.24,144.92,48.3,28.98,5.8,30,30,10.63,15.07,28.98,13.53,17.56,62.8,67.63,0,27.8,88.61,0,0,14.49,82.12,164.24,0,20.53,14.49,2318.2799999999993

4,00:45-01:00,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,77.29,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,108.55,0,0,4.83,0.77,33.81,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,6.76,37.33,48.3,24.15,0,164.24,144.92,48.3,28.98,5.8,30,30,10.63,15.07,28.98,13.53,17.56,62.8,67.63,0,27.8,88.61,0,0,14.49,82.12,164.24,0,20.53,14.49,2318.2799999999993

5,01:00-01:15,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,77.29,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,108.55,0,0,4.83,0.68,33.81,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,6.76,37.33,48.3,24.15,0,164.24,144.92,48.3,28.98,5.8,30,23.64,10.63,13.09,28.98,13.53,17.56,62.8,67.63,0,27.8,88.61,0,0,14.49,82.12,164.24,0,20.53,14.49,2309.85

6,01:15-01:30,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,77.29,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,108.55,0,0,4.83,0.68,33.81,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,6.76,37.33,48.3,24.15,0,164.24,144.92,48.3,28.98,5.8,30,23.64,10.63,13.09,28.98,13.53,17.56,62.8,67.63,0,27.8,88.61,0,0,14.49,82.12,164.24,0,20.53,14.49,2309.85

7,01:30-01:45,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,77.29,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,108.55,0,0,4.83,0.68,33.81,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,6.76,37.33,48.3,24.15,0,164.24,144.92,48.3,28.98,5.8,30,14.25,10.63,13.09,28.98,13.53,17.56,62.8,67.63,0,27.8,88.61,0,0,14.49,82.12,164.24,0,20.53,14.49,2300.4599999999996

8,01:45-02:00,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,77.29,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,108.55,0,0,4.83,0.68,33.81,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,6.76,37.33,48.3,24.15,0,164.24,144.92,48.3,28.98,5.8,30,14.25,10.63,13.09,28.98,13.53,17.56,0,67.63,0,27.8,88.61,0,0,14.49,82.12,164.24,0,20.53,14.49,2237.6599999999994

9,02:00-02:15,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,77.29,47.34,0,0,48.3,111.1,0,0,0,96.61,48.3,108.55,0,0,4.83,0.63,33.81,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,6.76,37.33,48.3,24.15,0,164.24,144.92,48.3,0,0,26.5,26.5,10.63,12.83,28.98,13.53,17.56,0,0,0,27.8,88.61,96.61,0,14.49,82.12,164.24,0,20.53,0,2129.2000000000003

10,02:15-02:30,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,77.29,47.34,0,0,48.3,111.1,0,0,0,96.61,48.3,108.55,0,0,4.83,0.63,33.81,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,6.76,37.33,48.3,24.15,0,164.24,144.92,48.3,0,0,26.5,26.5,10.63,12.83,28.98,13.53,17.56,0,0,0,27.8,88.61,96.61,0,14.49,82.12,164.24,0,20.53,0,2129.2000000000003

11,02:30-02:45,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,77.29,47.34,0,0,48.3,111.1,0,0,0,96.61,48.3,108.55,0,0,4.83,0.63,33.81,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,6.76,37.33,48.3,24.15,0,164.24,144.92,48.3,0,0,26.5,26.5,10.63,12.83,28.98,13.53,17.56,0,0,0,27.8,88.61,96.61,0,14.49,82.12,164.24,0,20.53,0,2129.2000000000003

12,02:45-03:00,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,77.29,47.34,0,0,48.3,111.1,0,0,0,96.61,48.3,108.55,0,0,4.83,0.63,33.81,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,6.76,37.33,48.3,24.15,0,164.24,144.92,48.3,0,0,26.5,26.5,10.63,12.83,28.98,13.53,17.56,0,0,0,27.8,88.61,96.61,0,14.49,82.12,164.24,0,20.53,0,2129.2000000000003

13,03:00-03:15,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,0,96.61,48.3,108.55,0,0,4.83,0.48,33.81,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,6.76,37.33,48.3,24.15,0,164.24,144.92,48.3,0,0,26.5,26.5,10.63,12.66,28.98,13.53,17.56,0,0,0,0,0,96.61,0,14.49,82.12,164.24,0,20.53,0,1935.1800000000003

14,03:15-03:30,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,0,96.61,48.3,108.55,0,0,4.83,0.48,33.81,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,6.76,37.33,48.3,24.15,0,164.24,144.92,48.3,0,0,26.5,26.5,10.63,12.66,28.98,13.53,17.56,0,0,0,0,0,96.61,0,14.49,82.12,164.24,0,20.53,0,1935.1800000000003

15,03:30-03:45,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,0,96.61,48.3,108.55,0,0,4.83,0.48,33.81,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,6.76,37.33,48.3,24.15,0,164.24,144.92,48.3,0,0,26.5,26.5,10.63,12.66,28.98,13.53,17.56,0,0,0,0,0,96.61,0,14.49,82.12,164.24,0,20.53,0,1935.1800000000003

16,03:45-04:00,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,0,96.61,48.3,108.55,0,0,4.83,0.48,33.81,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,6.76,37.33,48.3,24.15,0,164.24,144.92,48.3,0,0,26.5,26.5,10.63,12.66,28.98,13.53,17.56,0,0,0,0,0,96.61,0,14.49,82.12,164.24,0,20.53,0,1935.1800000000003

17,04:00-04:15,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,0,96.61,48.3,108.55,62.8,0,4.83,0.48,0,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,6.76,37.33,48.3,24.15,0,164.24,0,48.3,0,0,26.5,26.5,10.63,12.66,28.98,13.53,17.56,0,0,0,0,0,96.61,0,14.49,82.12,164.24,0,20.53,0,1819.25

18,04:15-04:30,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,0,96.61,48.3,108.55,62.8,0,4.83,0.48,0,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,6.76,37.33,48.3,24.15,0,164.24,0,48.3,0,0,26.5,26.5,10.63,12.66,28.98,13.53,17.56,0,0,0,0,0,96.61,0,14.49,82.12,164.24,0,20.53,0,1819.25

19,04:30-04:45,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,0,96.61,48.3,108.55,62.8,0,4.83,0.48,0,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,6.76,37.33,48.3,24.15,0,164.24,0,48.3,0,0,26.5,26.5,10.63,12.66,28.98,13.53,17.56,0,0,0,0,0,96.61,0,14.49,82.12,164.24,0,20.53,0,1819.25

20,04:45-05:00,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,0,96.61,48.3,108.55,62.8,0,4.83,0.48,0,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,6.76,37.33,48.3,24.15,0,164.24,0,48.3,0,0,26.5,26.5,10.63,12.66,28.98,13.53,17.56,0,0,0,0,0,96.61,0,14.49,82.12,164.24,0,20.53,0,1819.25

21,05:00-05:15,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,0,0,0,0,96.61,48.3,108.55,62.8,0,4.83,0.48,0,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,6.76,37.33,48.3,24.15,0,164.24,0,48.3,0,0,26.5,26.5,10.63,12.39,28.98,13.53,17.56,0,0,0,0,0,96.61,0,14.49,82.12,164.24,0,20.53,0,1707.88

22,05:15-05:30,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,0,0,0,0,96.61,48.3,108.55,62.8,0,4.83,0.48,0,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,6.76,37.33,48.3,24.15,0,164.24,0,48.3,0,0,26.5,26.5,10.63,12.39,28.98,13.53,17.56,0,0,0,0,0,96.61,0,14.49,82.12,164.24,0,20.53,0,1707.88

23,05:30-05:45,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,0,0,0,0,96.61,48.3,108.55,62.8,0,4.83,0.48,0,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,5.8,37.33,48.3,24.15,0,164.24,0,48.3,0,0,26.5,26.5,10.63,12.39,28.98,13.53,17.56,0,0,0,0,0,96.61,0,14.49,82.12,164.24,0,20.53,0,1706.92

24,05:45-06:00,0,0,0.19,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,0,0,0,0,96.61,48.3,108.55,62.8,0,4.83,0.48,0,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,5.8,37.33,48.3,24.15,0,164.24,0,48.3,0,0,26.5,26.5,10.63,12.39,28.98,13.53,17.56,0,0,0,0,0,96.61,0,14.49,82.12,164.24,0,20.53,0,1707.1099999999997

25,06:00-06:15,1,0,1.16,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,0,0,0,0,96.61,48.3,108.55,62.8,0,4.83,0.58,0,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,5.8,37.33,48.3,24.15,0,164.24,0,48.3,0,0,26.5,26.5,10.63,12.21,28.98,13.53,17.56,0,0,0,0,0,96.61,0,14.49,82.12,164.24,0,20.53,0,1708.9999999999995

26,06:15-06:30,4,0,2.61,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,0,0,0,0,96.61,48.3,108.55,62.8,0,4.83,0.58,0,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,5.8,37.33,48.3,24.15,0,164.24,0,48.3,0,0,26.5,26.5,10.63,12.21,28.98,13.53,17.56,0,0,0,0,0,96.61,0,14.49,82.12,164.24,0,20.53,0,1713.4499999999998

27,06:30-06:45,7,0,4.74,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,0,0,0,0,96.61,48.3,108.55,62.8,0,4.83,0.58,0,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,5.8,37.33,48.3,24.15,0,164.24,0,48.3,0,0,26.5,26.5,10.63,12.21,28.98,13.53,17.56,0,0,0,0,0,96.61,0,14.49,82.12,164.24,0,20.53,0,1718.5799999999995

28,06:45-07:00,14,0,7.62,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,0,0,0,0,96.61,48.3,108.55,62.8,0,4.83,0.58,0,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,5.8,37.33,48.3,24.15,0,164.24,0,48.3,0,0,26.5,26.5,10.63,12.21,28.98,13.53,17.56,0,0,0,0,0,96.61,0,14.49,82.12,164.24,0,20.53,0,1728.4599999999996

29,07:00-07:15,25,0,11.43,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,0,0,0,0,96.61,48.3,108.55,62.8,0,4.83,0.68,0,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,5.8,37.33,48.3,24.15,0,164.24,0,48.3,0,0,26.5,26.5,10.63,12.21,28.98,13.53,17.56,0,0,0,0,0,96.61,0,14.49,82.12,164.24,0,20.53,0,1743.37

30,07:15-07:30,35,0,15.83,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,0,0,0,0,96.61,48.3,108.55,62.8,0,4.83,0.68,0,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,5.8,37.33,48.3,24.15,0,164.24,0,48.3,0,0,26.5,26.5,10.63,12.21,28.98,13.53,17.56,0,0,0,0,0,96.61,0,14.49,82.12,164.24,0,20.53,0,1757.77

31,07:30-07:45,39,0,20.92,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,0,0,0,0,96.61,48.3,108.55,62.8,0,4.83,0.68,0,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,5.8,37.33,48.3,24.15,0,164.24,0,48.3,0,0,26.5,26.5,10.63,12.21,28.98,13.53,17.56,0,0,0,0,0,96.61,0,14.49,82.12,164.24,0,20.53,0,1766.8599999999997

32,07:45-08:00,46,0,26.55,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,0,0,0,0,96.61,48.3,108.55,62.8,0,4.83,0.68,0,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,5.8,37.33,48.3,24.15,0,164.24,0,48.3,0,0,26.5,26.5,10.63,12.21,28.98,13.53,17.56,0,0,0,0,0,96.61,0,14.49,82.12,164.24,0,20.53,0,1779.4899999999998

33,08:00-08:15,60,7.73,20.17,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,0,0,0,96.61,96.61,48.3,108.55,62.8,0,4.83,0.97,0,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,5.8,37.33,48.3,24.15,0,164.24,0,48.3,0,0,26.5,26.5,10.63,12.04,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,1794.96

34,08:15-08:30,74,7.73,23.72,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,0,0,0,96.61,96.61,48.3,108.55,62.8,0,4.83,0.97,0,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,5.8,37.33,48.3,24.15,0,164.24,0,48.3,0,0,26.5,26.5,10.63,12.04,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,1812.5099999999998

35,08:30-08:45,95,7.73,27.67,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,0,0,0,96.61,96.61,48.3,108.55,62.8,0,4.83,0.97,0,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,5.8,37.33,48.3,24.15,0,164.24,0,48.3,0,0,26.5,26.5,10.63,12.04,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,1837.46

36,08:45-09:00,109,7.73,31.32,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,0,0,0,96.61,96.61,48.3,108.55,62.8,0,4.83,0.97,0,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,5.8,37.33,48.3,24.15,0,164.24,0,48.3,0,0,26.5,26.5,10.63,12.04,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,1855.1099999999997

37,09:00-09:15,119,10.63,34.69,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,47.34,53.14,52.85,48.3,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0.97,0,0,37.33,0,43.91,96.61,0,0,2.9,0,9.95,6.76,0,0,0,0,164.24,0,48.3,0,0,26.61,26.61,10.63,11.95,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,1926.58

38,09:15-09:30,130,10.63,37.83,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,47.34,53.14,52.85,48.3,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0.97,0,0,37.33,0,43.91,96.61,0,0,2.9,0,9.95,6.76,0,0,0,0,164.24,0,48.3,0,0,26.61,26.61,10.63,11.95,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,1940.7199999999998

39,09:30-09:45,140,10.63,42.42,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,47.34,53.14,52.85,48.3,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0.97,0,0,37.33,0,43.91,96.61,0,0,2.9,0,9.95,6.76,0,0,0,0,164.24,0,48.3,0,0,26.61,26.61,10.63,11.95,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,1955.31

