Column1,Time,GNA/NR/2024/11/01/4503,GNA/WR/2024/11/01/4200,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/10/15/7089,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,GNA/NR/2024/11/01/1868,NR/30092023/26122029/SH-06,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/11/01/5428,NR/01102023/30042040/GNA_LT_36,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/9042,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/11/01/9061,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/3646,NR/01102023/05012040/L_NR_2020_02,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,SR/01102023/07102043/L_NR_2018_61
30,07:15-07:30,8.64,0,2.3,0,1,2,17.92,19.99,13.34,6.67,31.93,19,30.9,6.67,6.67,13.33,8.64,0,0.92,100.05,31.69,0.94,1.37,86.63,0,17.29,24.22,1.01,260.75,114.83,0.92,31.69,134.33,0,31.69,0,1.66,2.43,5,4,1,1,0.48,13.61

31,07:30-07:45,8.64,0,2.3,0,3,5,26.15,19.99,13.34,6.67,32.6,25,32.6,6.67,6.67,13.33,8.64,0,1.31,100.05,31.69,1.34,1.37,86.63,0,17.29,24.22,1.01,260.75,114.83,1.31,31.69,134.33,0,31.69,0,1.66,10.03,7,11,2,4,2,12.21

32,07:45-08:00,8.64,0,2.3,0,4,8,35.75,19.99,13.34,6.67,30.4,30.4,30.4,6.67,6.67,13.33,8.64,0,1.75,100.05,31.69,1.79,1.37,86.63,0,17.29,24.22,1.01,260.75,114.83,1.75,31.69,134.33,0,31.69,0,1.66,20.37,10,25,4,10,4.07,12.01

33,08:00-08:15,8.64,0,2.3,0,8,17,46.89,19.99,13.34,6.67,31.9,31.9,31.9,6.67,6.67,13.33,8.64,0,2.38,100.05,36.5,2.44,1.3,86.63,0,17.29,24.22,1.01,260.75,114.83,2.38,36.5,134.33,0,36.5,0,1.66,35.18,15,40,5,17,7.04,11.21

34,08:15-08:30,8.64,0,2.3,0,12,23,58.8,19.99,13.34,6.67,31.9,31.9,31.9,6.67,6.67,13.33,8.64,0,3.05,100.05,36.5,3.12,1.3,86.63,0,17.29,24.22,1.01,260.75,114.83,3.05,36.5,134.33,0,36.5,0,1.66,51.97,22,56,8,24,10.39,11

35,08:30-08:45,8.64,0,2.3,0,13,27,70.36,19.99,13.34,6.67,32.06,32.07,32.07,6.67,6.67,13.33,8.64,0,3.8,100.05,36.5,3.9,1.3,86.63,0,17.29,24.22,1.01,260.75,114.83,3.8,36.5,134.33,0,36.5,0,1.66,69.65,27,70,12,30,13.93,10.8

36,08:45-09:00,8.64,0,2.3,0,17,33,80.87,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,8.64,0,4.62,100.05,36.5,4.74,1.3,86.63,0,17.29,24.22,1.01,260.75,114.83,4.62,36.5,134.33,0,36.5,0,1.66,88.65,33,84,16,36,17.73,11.21

37,09:00-09:15,9.6,0,2.3,0,20,40,90.17,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,5.74,100.05,28.81,5.88,1.3,86.63,0,19.21,23.72,1.01,260.75,114.83,5.74,28.81,134.33,0,28.81,0,1.66,107.24,41,84,20,36,21.45,9.6

38,09:15-09:30,9.6,0,2.3,0,23,47,98.69,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,7.14,100.05,28.81,7.32,1.3,86.63,0,19.21,23.72,1.01,260.75,114.83,7.14,28.81,134.33,0,28.81,0,1.66,125.7,47,98,23,42,25.14,10.2

39,09:30-09:45,9.6,0,2.3,0,27,53,106.49,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,3.96,100.05,28.81,8.12,1.3,86.63,0,19.21,23.72,1.01,260.75,106.35,8.54,28.81,134.33,0,28.81,0,1.66,142.98,55,112,26,48,28.6,10.6

40,09:45-10:00,9.6,0,2.3,0,30,60,113.36,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,4.4,100.05,28.81,9.72,1.3,86.63,0,19.21,23.72,1.01,260.75,97.88,10.23,28.81,134.33,0,28.81,0,1.66,159.27,59,126,29,54,31.85,11.21

41,10:00-10:15,9.6,0,2.2,0,33,67,119.2,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,4.82,100.05,28.81,10.7,1.3,62.62,0,19.21,23.72,1.09,212.73,65.88,11.27,28.81,134.33,0,28.81,0,1.71,174.62,70,140,32,60,34.92,11.61

42,10:15-10:30,9.6,0,2.2,0,36,72,124,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,5.13,100.05,28.81,11.42,1.3,57.34,0,19.21,23.21,1.09,205.09,65.88,12.01,28.81,134.33,0,28.81,0,1.71,187.33,75,151,34,64,37.47,12.21

43,10:30-10:45,9.6,0,2.2,0,38,77,105.33,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,12.68,100.05,28.81,13,1.3,57.34,0,19.21,23.21,1.09,205.09,65.88,12.68,28.81,115.25,0,28.81,0,1.71,197.93,80,165,36,70,39.59,10.4

44,10:45-11:00,9.6,0,2.2,0,40,80,108.45,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,13.26,100.05,28.81,13.59,1.3,57.34,0,19.21,23.21,1.09,205.09,65.88,13.26,28.81,115.25,0,28.81,0,1.71,207.55,83,172,37,73,41.51,11.21

45,11:00-11:15,9.6,0,2.2,0,42,83,111.11,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,13.65,100.05,28.81,13.98,1.3,57.34,0,19.21,23.21,1.09,205.09,70.02,13.65,28.81,115.25,0,28.81,0,1.71,216.53,87,179,39,76,43.31,12.01

46,11:15-11:30,9.6,0,2.2,0,43,85,113.42,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,14.07,100.05,28.81,14.42,1.3,57.34,0,19.21,23.21,1.09,205.09,70.02,14.07,28.81,115.25,0,28.81,0,1.71,224.96,88,182,39,78,44.99,12.61

47,11:30-11:45,9.6,0,2.2,0,43,87,115.29,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,14.4,100.05,28.81,14.75,1.3,57.34,0,19.21,23.21,1.09,169.65,70.02,14.4,28.81,115.25,0,28.81,0,1.71,230.93,88,182,40,78,46.18,19.01

48,11:45-12:00,9.6,0,2.2,0,43,87,116.64,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,14.51,100.05,28.81,14.87,1.3,57.34,0,19.21,23.21,1.09,169.65,70.02,14.51,28.81,115.25,0,28.81,0,1.71,233.98,88,182,40,78,46.8,18.81

49,12:00-12:15,9.6,0,2.2,0,43,87,118.97,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,14.62,100.05,28.81,14.98,1.37,57.34,0,19.21,23.21,1.16,169.65,70.02,14.62,28.81,115.25,0,28.81,0,1.76,233.98,88,182,40,78,46.8,18.61

50,12:15-12:30,9.6,0,2.2,0,43,87,118.83,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,14.58,100.05,28.81,14.95,1.37,57.34,0,19.21,23.72,1.16,169.65,70.02,14.58,28.81,115.25,0,28.81,0,1.76,233.98,88,182,40,78,46.8,18.41

51,12:30-12:45,9.6,0,2.2,0,43,87,118.03,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,14.63,100.05,28.81,14.99,1.37,57.34,0,19.21,23.72,1.16,169.65,70.02,14.63,28.81,115.25,0,28.81,0,1.66,233.98,89,182,40,78,46.8,14.81

52,12:45-13:00,9.6,0,2.2,0,43,87,116.7,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,14.54,100.05,28.81,14.9,1.37,57.34,0,19.21,23.72,1.16,169.65,70.02,14.54,28.81,115.25,0,28.81,0,1.66,233.98,89,182,40,78,46.8,14.61

53,13:00-13:15,9.6,0,2.2,0,43,87,114.19,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,14.25,100.05,28.81,14.61,1.45,57.34,0,19.21,23.72,1.32,169.65,70.02,14.25,28.81,115.25,0,28.81,0,1.66,233.98,89,182,39,78,46.8,18.41

54,13:15-13:30,9.6,0,2.2,0,43,85,110.53,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,13.94,100.05,28.81,14.3,1.45,57.34,0,19.21,23.72,1.32,169.65,70.02,13.94,28.81,96.04,0,28.81,0,1.66,231.75,88,179,38,76,46.35,18.41

55,13:30-13:45,9.6,0,2.2,0,42,83,106.15,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,13.69,100.05,28.81,14.04,1.45,57.34,0,19.21,23.72,1.32,169.65,70.02,13.69,28.81,74.68,0,28.81,0,1.66,223.31,87,175,37,75,44.66,18.01

56,13:45-14:00,9.6,0,2.2,0,40,80,100.44,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,13.54,100.05,28.81,13.88,1.45,57.34,0,19.21,23.72,1.32,169.65,70.02,13.54,28.81,74.68,0,28.81,0,1.66,214.55,84,168,36,72,42.91,17.81

57,14:00-14:15,9.6,0,2.2,0,38,77,100.33,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,13.08,100.05,31.69,13.41,1.53,57.34,0,19.21,23.72,1.39,177.33,70.02,13.08,31.69,74.68,0,31.69,0,1.66,205.78,80,161,35,69,41.15,15.01

58,14:15-14:30,9.6,0,2.2,0,36,72,93.96,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,12.37,100.05,31.69,12.67,1.53,57.34,0,19.21,23.72,1.39,186.93,70.02,12.37,31.69,74.68,0,31.69,0,1.66,199.56,76,151,33,64,39.91,15.01

59,14:30-14:45,9.6,0,2.2,0,33,67,86.98,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,11.68,100.05,31.69,11.97,1.53,57.34,0,19.21,24.22,1.39,205.09,70.02,11.68,31.69,74.68,0,31.69,0,1.66,193.33,71,140,31,60,38.67,14.81

60,14:45-15:00,9.6,0,2.2,0,30,60,79.81,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,10.87,100.05,31.69,11.14,1.53,57.34,0,19.21,24.22,1.39,260.75,70.02,10.87,31.69,96.04,0,31.69,0,1.66,182.69,66,126,29,54,36.54,14.61

61,15:00-15:15,9.6,0,2.3,0,27,53,74.72,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,10.08,100.05,34.57,10.32,1.76,57.34,0,19.21,24.73,1.55,175.41,70.02,10.08,34.57,115.25,0,34.57,0,1.71,169.5,63,112,26,48,33.9,17.61

62,15:15-15:30,9.6,0,2.3,0,23,47,66.69,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,8.99,100.05,34.57,9.21,1.76,57.34,0,19.21,25.23,1.55,175.41,70.02,8.99,34.57,134.33,0,34.57,0,1.71,155.09,57,98,24,42,31.02,17.61

63,15:30-15:45,9.6,0,2.3,0,20,40,58.04,19.99,13.34,6.67,32.66,32.67,32.67,6.67,6.67,13.33,9.6,0,7.96,100.05,36.5,8.17,1.76,57.34,0,19.21,25.23,1.55,175.41,65.88,7.96,36.5,134.33,0,36.5,0,1.71,137.73,50,91,22,39,27.54,23.01

64,15:45-16:00,9.6,0,2.3,0,17,33,49.17,19.99,13.34,6.67,33,29,33,6.67,6.67,13.33,9.6,0,6.93,100.05,36.5,7.11,1.76,67.74,0,19.21,25.23,1.55,205.09,65.88,6.93,36.5,134.33,0,36.5,0,1.71,117.87,46,77,20,33,23.57,22.01

65,16:00-16:15,8.64,0,2.3,0,13,27,39.34,19.99,13.34,6.67,33,22,33,6.67,6.67,13.33,8.64,0,5.89,100.05,36.5,6.04,1.76,86.63,0,17.29,26.24,1.55,260.75,74.35,5.89,36.5,134.33,0,36.5,0,1.71,101.88,36,63,15,27,20.38,13.61

66,16:15-16:30,8.64,0,2.3,0,10,20,29.17,19.99,13.34,6.67,30.38,15,21.57,6.67,6.67,13.33,8.64,0,4.78,100.05,36.5,4.91,1.76,86.63,0,17.29,26.24,1.55,260.75,82.82,4.78,36.5,134.33,0,36.5,0,1.71,84.94,29,49,8,21,16.99,13.01

67,16:30-16:45,8.64,0,2.3,0,7,13,20.22,19.99,13.34,6.67,20.36,8,12.55,6.67,6.67,13.33,8.64,0,3.68,92.85,36.5,3.76,1.76,86.63,0,17.29,27.25,1.55,260.75,91.3,3.68,36.5,134.33,0,36.5,0,1.71,65.13,21,35,7,15,13.02,12.41

68,16:45-17:00,8.64,0,2.3,0,4,9,13.12,19.99,13.34,6.67,11.5,5,5.64,6.67,6.67,13.33,8.64,0,2.58,92.85,36.5,2.65,1.76,86.63,0,17.29,27.25,1.55,260.75,114.83,2.58,36.5,134.33,0,36.5,0,1.71,45.67,14,21,5,9,9.13,11.61

69,17:00-17:15,8.64,0,2.3,0,3,5,5.28,19.99,13.34,6.67,4.45,1,1.4,6.67,6.67,13.33,8.64,0,1.83,92.85,36.5,1.88,1.99,86.63,0,17.29,27.76,1.55,260.75,114.83,1.83,36.5,134.33,0,36.5,0,1.71,25.98,10,11,2,4,5.19,10.8

70,17:15-17:30,8.64,0,2.3,0,1,2,0,19.99,13.34,6.67,0.75,0,1.58,6.67,6.67,13.33,8.64,0,1.25,92.85,36.5,1.28,1.99,86.63,0,17.29,28.26,1.55,260.75,114.83,1.25,36.5,134.33,0,36.5,0,1.71,12.29,7,4,1,1,2.46,10.6

71,17:30-17:45,8.64,0,2.3,0,0,1,0,19.99,13.34,6.67,0.29,0,0.94,6.67,6.67,13.33,8.64,0,0.77,92.85,36.5,0.79,1.99,86.63,0,17.29,28.26,1.55,260.75,114.83,0.77,36.5,134.33,0,36.5,0,1.71,4.15,3,1,0,0,0.83,15.81

72,17:45-18:00,8.64,0,2.3,0,0,0,0,19.99,13.34,6.67,0.03,0,0.6,6.67,6.67,13.33,8.64,0,0.43,92.85,36.5,0.44,1.99,86.63,0,17.29,28.26,1.55,260.75,114.83,0.43,36.5,134.33,0,36.5,0,1.71,0.33,2,0,0,0,0.07,15.41

73,18:00-18:15,8.64,50,2.3,150,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0.25,92.85,36.5,0.25,1.91,86.63,0,17.29,27.25,1.55,260.75,114.83,0.25,36.5,134.33,0,36.5,0,1.71,0,0,0,0,0,0,9.4

74,18:15-18:30,8.64,50,2.3,150,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,92.85,36.5,0,1.91,86.63,0,17.29,27.25,1.55,260.75,114.83,0,36.5,134.33,0,36.5,0,1.71,0,0,0,0,0,0,9.2

75,18:30-18:45,8.64,50,2.3,150,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,92.85,36.5,0,1.91,86.63,0,17.29,27.25,1.55,260.75,114.83,0,36.5,134.33,0,36.5,0,1.71,0,0,0,0,0,0,9

76,18:45-19:00,8.64,50,2.3,150,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,92.85,36.5,0,1.91,86.63,0,17.29,27.25,1.55,260.75,114.83,0,36.5,134.33,0,36.5,0,1.71,0,0,0,0,0,0,9

77,19:00-19:15,8.64,50,2.38,150,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,92.85,36.5,0,1.83,86.63,0,17.29,27.25,1.55,260.75,114.83,0,36.5,134.33,0,36.5,0,1.66,0,0,0,0,0,0,9.4

78,19:15-19:30,8.64,50,2.38,150,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,92.85,36.5,0,1.83,86.63,0,17.29,27.25,1.55,260.75,114.83,0,36.5,134.33,0,36.5,0,1.66,0,0,0,0,0,0,9.2

