Block,Time,BSIUL,DHAULIGNGA,NAPP,NNTPP,RIHAND1,SASAN,TALA,UNCHAHAR3,UNCHAHAR4,AURY_RF,KISHANGANGA,NLCIIST2,SALAL,SEWA2,SIMHST2,VALLURNTECL,AURY_CRF,DULHASTI,FSTPP I & II,KHSTPP-II,KUDGI,NTPL,PARBATI2,RSTPSU1TO6,TANDA2,ANTA_LF,CHAMERA1,DADRT2,KKNP,KOLDAM,PARBATI3,RAMPUR,TEHRI,AURY_GF,DADRI_RF,KGSU1AND2,NLCEXP,RAPPB,SIMHST1,SINGRAULI_HYDRO,TANAKPUR,DADRI_CRF,BRBCL,KGSU3AND4,KOTESHWR,NLCTS2EXP,RAPPD,TALST2,TelanganaSTPP,URI,ANTA_CRF,ANTA_GF,DADRI_LF,CHAMERA2,JHAJJAR,KKNPPU2,RAPPC,RIHAND2,RSTPSU7,URI2,ANTA_RF,AURY_LF,CHAMERA3,KHSTPP-I,MAPS,NJPC,NLCIIST1,RIHAND3,SINGRAULI,TEHRIPSP,UNCHAHAR1,UNCHAHAR2,DADRI_GF
35,08:30-08:45,0,31.84,24.49,0,48.09,393.75,19.58,0,3.23,82.08,4.65,0,82.5,18.87,0,0,0,37.42,20.8,148.3,0,0,0,0,5.73,0,28.1,689.39,0,8.63,46.09,5.68,82.67,0,103.43,0,0,0,0,0,11.91,0,18.75,0,45.08,0,38.71,0,0,36.43,0,0,0,47.12,667.27,0,65.6,125.27,0,28.06,52.09,0,33.95,30.35,0,175.8,0,130.84,113.75,207.96,22.41,44.52,0

36,08:45-09:00,0,31.84,24.49,0,48.09,393.75,19.58,0,3.23,82.08,4.65,0,82.5,18.87,0,0,0,37.42,20.8,148.3,0,0,0,0,5.73,0,28.1,689.39,0,8.63,46.09,5.68,82.67,0,103.43,0,0,0,0,0,11.91,0,18.75,0,45.08,0,38.71,0,0,36.43,0,0,0,47.12,667.27,0,65.6,125.27,0,28.06,52.09,0,33.95,30.35,0,175.8,0,130.84,113.75,207.96,22.41,44.52,0

37,09:00-09:15,0,31.84,24.49,0,48.09,393.75,19.58,0,3.23,82.08,4.65,0,82.5,18.87,0,0,0,37.42,20.8,148.3,0,0,0,0,5.73,0,28.1,689.39,0,8.63,46.09,5.68,82.67,0,103.43,0,0,0,0,0,11.91,0,18.75,0,45.08,0,38.71,0,0,13.25,0,0,0,47.12,667.27,0,65.6,125.27,0,28.06,51.59,0,33.95,30.35,0,175.8,0,130.84,113.75,207.96,22.41,44.52,0

38,09:15-09:30,0,31.84,24.49,0,48.09,393.75,19.58,0,3.23,82.08,4.65,0,82.5,18.87,0,0,0,37.42,20.8,148.3,0,0,0,0,5.73,0,28.1,689.39,0,8.63,46.09,5.68,82.67,0,103.43,0,0,0,0,0,11.91,0,18.75,0,45.08,0,38.71,0,0,13.25,0,0,0,47.12,667.27,0,65.6,125.27,0,28.06,51.59,0,33.95,30.35,0,175.8,0,130.84,113.75,207.96,22.41,44.52,0

39,09:30-09:45,0,31.84,24.49,0,48.09,393.75,19.58,0,3.23,82.08,4.65,0,82.5,18.87,0,0,0,37.42,20.8,148.3,0,0,0,0,5.73,0,28.1,689.39,0,8.63,46.09,5.68,82.67,0,103.43,0,0,0,0,0,11.91,0,18.75,0,45.08,0,38.71,0,0,36.43,0,0,0,47.12,667.27,0,65.6,125.27,0,28.06,51.59,0,33.95,30.35,0,175.8,0,130.84,113.75,207.96,22.41,44.52,0

40,09:45-10:00,0,31.84,24.49,0,48.09,393.75,19.58,0,3.23,82.08,2.33,0,82.5,18.87,0,0,0,37.42,20.8,148.3,0,0,0,0,5.73,0,28.1,689.39,0,8.63,46.09,5.68,82.67,0,103.43,0,0,0,0,0,11.91,0,18.75,0,45.08,0,38.71,0,0,36.43,0,0,0,47.12,667.27,0,65.6,125.27,0,28.06,51.59,0,33.95,30.35,0,175.8,0,130.84,113.75,207.96,22.41,44.52,0

41,10:00-10:15,0,31.84,24.49,0,48.09,393.75,19.58,0,3.23,81.82,0.64,0,82.5,18.87,0,0,0,37.42,20.8,148.3,0,0,0,0,5.73,0,28.1,689.39,0,8.63,46.09,5.68,82.67,0,103.43,0,0,0,0,0,11.91,0,18.75,0,45.08,0,38.71,0,0,13.25,0,0,0,47.12,667.27,0,65.6,125.27,0,28.06,50.83,0,33.95,30.35,0,175.8,0,130.84,113.75,207.96,22.41,44.52,0

42,10:15-10:30,0,31.84,24.49,0,48.09,393.75,19.58,0,3.23,81.82,0,0,82.5,18.87,0,0,0,37.42,20.8,148.3,0,0,0,0,5.73,0,28.1,689.39,0,8.63,46.09,5.68,82.67,0,103.43,0,0,0,0,0,11.91,0,18.75,0,45.08,0,38.71,0,0,13.25,0,0,0,47.12,667.27,0,65.6,125.27,0,28.06,50.83,0,33.95,30.35,0,175.8,0,130.84,113.75,207.96,22.41,44.52,0

43,10:30-10:45,0,31.84,24.49,0,48.09,393.75,19.58,0,3.23,81.82,0,0,82.5,18.87,0,0,0,37.42,20.8,148.3,0,0,0,0,5.73,0,28.1,689.39,0,8.63,46.09,5.68,82.67,0,103.43,0,0,0,0,0,11.91,0,18.75,0,45.08,0,38.71,0,0,13.25,0,0,0,47.12,667.27,0,65.6,125.27,0,28.06,50.58,0,33.95,30.35,0,175.8,0,130.84,113.75,207.96,22.41,44.52,0

44,10:45-11:00,0,31.84,24.49,0,48.09,393.75,19.58,0,3.23,81.82,0,0,82.5,18.87,0,0,0,37.42,20.8,148.3,0,0,0,0,5.73,0,28.1,689.39,0,8.63,46.09,5.68,82.67,0,103.43,0,0,0,0,0,11.91,0,18.75,0,45.08,0,38.71,0,0,13.25,0,0,0,47.12,667.27,0,65.6,125.27,0,28.06,50.58,0,33.95,30.35,0,175.8,0,130.84,113.75,207.96,22.41,44.52,0

45,11:00-11:15,0,31.84,24.49,0,48.09,393.75,19.58,0,3.23,81.82,0,0,82.5,18.87,0,0,0,37.42,20.8,148.3,0,0,0,0,5.73,0,28.1,689.39,0,8.63,46.09,5.68,82.67,0,103.43,0,0,0,0,0,11.91,0,18.75,0,45.08,0,38.71,0,0,13.25,0,0,0,47.12,667.27,0,65.6,125.27,0,28.06,50.08,0,33.95,30.35,0,175.8,0,130.84,113.75,207.96,22.41,44.52,0

46,11:15-11:30,0,31.84,24.49,0,48.09,393.75,19.58,0,3.23,81.82,0,0,82.5,18.87,0,0,0,37.42,20.8,148.3,0,0,0,0,5.73,0,28.1,689.39,0,8.63,46.09,5.68,82.67,0,103.43,0,0,0,0,0,11.91,0,18.75,0,45.08,0,38.71,0,0,13.25,0,0,0,47.12,667.27,0,65.6,125.27,0,28.06,50.08,0,33.95,30.35,0,175.8,0,130.84,113.75,207.96,22.41,44.52,0

47,11:30-11:45,0,31.84,24.49,0,48.09,393.75,19.58,0,3.23,81.82,0,0,82.5,18.87,0,0,0,37.42,20.8,148.3,0,0,0,0,5.73,0,28.1,689.39,0,8.63,46.09,5.68,82.67,0,103.43,0,0,0,0,0,11.91,0,18.75,0,45.08,0,38.71,0,0,13.25,0,0,0,47.12,667.27,0,65.6,125.27,0,28.06,50.08,0,33.95,30.35,0,175.8,0,130.84,113.75,207.96,22.41,44.52,0

