Column1,Block,NR/2025/24883/C,NR/2024/24434/A/49267,NR/2025/24885/C,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/17/2132,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/17/8178,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/17/3869,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3925,GNA/WR/2025/01/01/8625,NR/2024/24508/A/49539,WR/2024/25501/A/49525,NR/30092023/31122025/SH-07,NR/2025/24876/C,NR/2024/24614/A/49540,GNA/NR/2025/01/01/3945,NR/2024/24435/A/49266,NR/2024/24566/A/49251,NR/2024/24507/A/49538,NR/30092023/26122029/SH-06,NR/2025/24887/C,NR/2025/24884/C,GNA/NR/2025/01/01/6528,NR/2025/24886/C,NER/2024/2820/A/49517,NR/2024/24418/A/49249,SR/2024/15456/A/49268,GNA/NR/2025/01/17/6226,NR/2025/24875/C,Total
3,00:30-00:45,0,0,0,0,0,0,19.16,0,1.37,47.9,28.74,26.82,25.87,25.87,0,47.9,20.12,47.9,0,8.71,0,0,0,0,25.87,9.58,5.75,17.24,0,0,0,8.62,0,0,0.38,0,0,0,367.8

4,00:45-01:00,0,0,0,0,0,0,19.16,0,1.37,47.9,28.74,26.82,25.87,25.87,0,47.9,20.12,47.9,0,8.71,0,0,0,0,25.87,9.58,5.75,17.24,0,0,0,8.62,0,0,0.38,0,0,0,367.8

5,01:00-01:15,0,0,0,0,0,0,19.16,0,1.37,47.9,28.74,26.82,25.87,25.87,0,47.9,20.12,47.9,0,8.71,0,0,0,0,25.87,9.58,5.75,17.24,0,0,0,8.62,0,0,0.38,0,0,0,367.8

6,01:15-01:30,0,0,0,0,0,0,19.16,0,1.37,47.9,28.74,26.82,25.87,25.87,0,47.9,20.12,47.9,0,8.71,0,0,0,0,25.87,9.58,5.75,17.24,0,0,0,8.62,0,0,0.38,0,0,0,367.8

7,01:30-01:45,0,0,0,0,0,0,19.16,0,1.37,47.9,28.74,26.82,25.87,25.87,0,47.9,20.12,47.9,0,8.71,0,0,0,0,25.87,9.58,5.75,17.24,0,0,0,8.62,0,0,0.38,0,0,0,367.8

8,01:45-02:00,0,0,0,0,0,0,19.16,0,1.37,47.9,28.74,26.82,25.87,25.87,0,47.9,20.12,47.9,0,8.71,0,0,0,0,25.87,9.58,5.75,17.24,0,0,0,8.62,0,0,0.38,0,0,0,367.8

9,02:00-02:15,0,0,0,0,0,0,19.16,0,1.37,47.9,28.74,26.82,23.95,23.95,0,47.9,20.12,47.9,0,8.71,0,0,0,0,23.95,9.58,5.75,17.24,0,0,0,8.62,0,0,0.38,0,0,0,362.03999999999996

10,02:15-02:30,0,0,0,0,0,0,19.16,0,1.37,47.9,28.74,26.82,23.95,23.95,0,47.9,20.12,47.9,0,8.71,0,0,0,0,23.95,9.58,5.75,17.24,0,0,0,8.62,0,0,0.38,0,0,0,362.03999999999996

11,02:30-02:45,0,0,0,0,0,0,19.16,0,1.37,47.9,28.74,26.82,23.95,23.95,0,47.9,20.12,47.9,0,8.71,0,0,0,0,23.95,9.58,5.75,17.24,0,0,0,8.62,0,0,0.38,0,0,0,362.03999999999996

12,02:45-03:00,0,0,0,0,0,0,19.16,0,1.37,47.9,28.74,26.82,23.95,23.95,0,47.9,20.12,47.9,0,8.71,0,0,0,0,23.95,9.58,5.75,17.24,0,0,0,8.62,0,0,0.38,0,0,0,362.03999999999996

13,03:00-03:15,0,0,0,0,0,0,19.16,0,1.37,47.9,28.74,26.82,23.95,23.95,0,47.9,20.12,47.9,0,8.71,0,0,0,0,23.95,9.58,5.75,17.24,0,0,0,8.62,0,0,0.38,0,0,0,362.03999999999996

14,03:15-03:30,0,0,0,0,0,0,19.16,0,1.37,47.9,28.74,26.82,23.95,23.95,0,47.9,20.12,47.9,0,8.71,0,0,0,0,23.95,9.58,5.75,17.24,0,0,0,8.62,0,0,0.38,0,0,0,362.03999999999996

15,03:30-03:45,0,0,0,0,0,0,19.16,0,1.37,47.9,28.74,26.82,23.95,23.95,0,47.9,20.12,47.9,0,8.71,0,0,0,0,23.95,9.58,5.75,17.24,0,0,0,8.62,0,0,0.38,0,0,0,362.03999999999996

16,03:45-04:00,0,0,0,0,0,0,19.16,0,1.37,47.9,28.74,26.82,23.95,23.95,0,47.9,20.12,47.9,0,8.71,0,0,0,0,23.95,9.58,5.75,17.24,0,0,0,8.62,0,0,0.38,0,0,0,362.03999999999996

17,04:00-04:15,0,0,0,0,0,0,19.16,0,1.28,47.9,28.74,26.82,23.95,23.95,0,47.9,20.12,47.9,0,8.71,0,0,0,0,23.95,9.58,5.75,17.24,0,0,0,8.62,0,0,0.38,0,0,0,361.94999999999993

18,04:15-04:30,0,0,0,0,0,0,19.16,0,1.28,47.9,28.74,26.82,23.95,23.95,0,47.9,20.12,47.9,0,8.71,0,0,0,0,23.95,9.58,5.75,17.24,0,0,0,8.62,0,0,0.38,0,0,0,361.94999999999993

19,04:30-04:45,0,0,0,0,0,0,19.16,0,1.28,47.9,28.74,26.82,23.95,23.95,0,47.9,20.12,47.9,0,8.71,0,0,0,0,23.95,9.58,5.75,17.24,0,0,0,8.62,0,0,0.38,0,0,0,361.94999999999993

20,04:45-05:00,0,0,0,0,0,0,19.16,0,1.28,47.9,28.74,26.82,23.95,23.95,0,47.9,20.12,47.9,0,8.71,0,0,0,0,23.95,9.58,5.75,17.24,0,0,0,8.62,0,0,0.38,0,0,0,361.94999999999993

21,05:00-05:15,0,0,0,0,0,0,19.16,0,1.37,47.9,28.74,26.82,23.95,23.95,0,47.9,20.12,47.9,0,8.71,0,0,0,0,23.95,16.29,5.75,17.24,0,0,0,8.62,0,38.32,0.43,0,0,0,407.12

22,05:15-05:30,0,0,0,0,0,0,19.16,0,1.37,47.9,28.74,26.82,23.95,23.95,0,47.9,20.12,47.9,0,8.71,0,0,0,0,23.95,16.29,5.75,17.24,0,0,0,8.62,0,38.32,0.43,0,0,0,407.12

23,05:30-05:45,0,0,0,0,0,0,19.16,0,1.37,47.9,28.74,26.82,23.95,23.95,0,47.9,20.12,47.9,0,8.71,0,0,0,0,23.95,16.29,5.75,17.24,0,0,0,8.62,0,38.32,0.43,0,0,0,407.12

24,05:45-06:00,0,0,0,0,0,0,19.16,0,1.37,47.9,28.74,26.82,23.95,23.95,0,47.9,20.12,47.9,0,8.71,0,0,0,0,23.95,16.29,5.75,17.24,0,0,0,8.62,0,38.32,0.43,0,0,0,407.12

25,06:00-06:15,0,0,0,0,0,0,19.16,0,1.37,47.9,28.74,26.82,25.87,25.87,0,47.9,20.12,47.9,0,8.71,0,0,0,0,43.11,16.29,5.75,17.24,0,0,0,8.62,0,38.32,0.38,325.72,0,0,755.7900000000001

26,06:15-06:30,0,0,0,0,0,0,19.16,0,1.37,47.9,28.74,26.82,25.87,25.87,0,47.9,20.12,47.9,0,8.71,0,0,0,0,43.11,16.29,5.75,17.24,0,0,0,8.62,0,38.32,0.38,325.72,0,0,755.7900000000001

27,06:30-06:45,0,0,0,0,0,0,19.16,0,1.37,47.9,28.74,26.82,33.53,33.53,0,47.9,20.12,47.9,0,8.71,0,0,0,0,43.11,16.29,5.75,17.24,0,0,0,8.62,0,38.32,0.38,325.72,0,0,771.11

28,06:45-07:00,0,0,0,0,0,0,19.16,0,1.37,47.9,28.74,26.82,33.53,33.53,0,47.9,20.12,47.9,0,8.71,0,0,0,0,43.11,16.29,5.75,17.24,0,0,0,8.62,0,38.32,0.38,325.72,0,0,771.11

29,07:00-07:15,0,0,0,0,0,95.8,19.16,0,1.37,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,50,14.37,0,0,0,0,43.11,16.29,5.75,28.74,0,40.04,0,14.37,0,38.32,0.86,124.54,0,0,784.8999999999999

30,07:15-07:30,0,0,0,0,0,95.8,19.16,0,1.37,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,50,14.37,0,0,0,0,43.11,16.29,5.75,28.74,0,40.04,0,14.37,0,38.32,0.86,124.54,0,0,784.8999999999999

31,07:30-07:45,0,0,0,0,0,95.8,19.16,47.9,1.37,47.9,28.74,26.82,36.4,36.4,47.9,47.9,20.12,47.9,50,14.37,0,0,0,0,43.11,16.29,5.75,28.74,0,40.04,0,14.37,52.69,38.32,0.86,124.54,0,0,933.3899999999999

32,07:45-08:00,0,0,0,0,0,95.8,19.16,47.9,1.37,47.9,28.74,26.82,36.4,36.4,47.9,47.9,20.12,47.9,50,14.37,0,0,0,0,43.11,16.29,5.75,28.74,0,40.04,0,14.37,52.69,38.32,0.86,124.54,0,0,933.3899999999999

33,08:00-08:15,0,0,0,0,0,95.8,19.16,47.9,1.37,47.9,28.74,26.82,36.4,36.4,47.9,47.9,20.12,47.9,50,14.37,0,0,0,0,43.11,16.29,5.75,28.74,0,40.04,0,14.37,57.48,38.32,0.86,0,0,0,813.64

34,08:15-08:30,0,0,0,0,0,95.8,19.16,47.9,1.37,47.9,28.74,26.82,36.4,36.4,47.9,47.9,20.12,47.9,50,14.37,0,0,0,0,43.11,16.29,5.75,28.74,0,40.04,0,14.37,59.4,38.32,0.86,0,0,0,815.56

35,08:30-08:45,0,0,0,0,0,95.8,19.16,47.9,1.37,47.9,28.74,26.82,36.4,36.4,47.9,47.9,20.12,47.9,50,14.37,0,0,0,0,43.11,16.29,5.75,28.74,0,40.04,0,14.37,61.31,38.32,0.86,0,0,0,817.47

36,08:45-09:00,0,0,0,0,0,95.8,19.16,47.9,1.37,47.9,28.74,26.82,36.4,36.4,47.9,47.9,20.12,47.9,50,14.37,0,0,0,0,43.11,16.29,5.75,28.74,0,40.04,0,14.37,62.27,38.32,0.86,0,0,0,818.43

37,09:00-09:15,0,3.83,0,0,0,95.8,19.16,47.9,1.37,47.9,28.74,26.82,36.4,36.4,47.9,47.9,20.12,47.9,0,0,0,0,28.74,0,43.11,16.29,5.75,0,0,40.04,0,14.37,58.44,0,0.86,0,0,14.37,730.1099999999999

38,09:15-09:30,0,3.83,0,0,0,95.8,19.16,47.9,1.37,47.9,28.74,26.82,36.4,36.4,47.9,47.9,20.12,47.9,0,0,0,0,28.74,0,43.11,16.29,5.75,0,0,40.04,0,14.37,63.23,0,0.86,0,0,14.37,734.8999999999999

39,09:30-09:45,0,3.83,0,0,0,95.8,19.16,0,1.37,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,0,0,0,28.74,0,43.11,16.29,5.75,0,0,40.04,0,14.37,0,0,0.86,0,0,14.37,575.87

40,09:45-10:00,0,3.83,0,0,0,95.8,19.16,0,1.37,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,0,0,0,28.74,0,43.11,16.29,5.75,0,0,40.04,0,14.37,0,0,0.86,0,0,14.37,575.87

41,10:00-10:15,0,4.79,0,0,0,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,7.85,0,0,0,6.52,43.11,16.29,5.75,28.74,0,0,0,14.37,0,0,0.86,0,0,0,441.09000000000003

42,10:15-10:30,9.58,4.79,38.32,0,0,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,7.85,0,0,0,6.52,43.11,16.29,5.75,28.74,0,0,4.79,14.37,0,0,0.86,0,0,0,493.7800000000001

43,10:30-10:45,9.58,4.79,38.32,0,0,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,7.85,0,0,0,6.52,43.11,16.29,5.75,28.74,0,0,4.79,14.37,0,0,0.86,0,0,0,493.7800000000001

44,10:45-11:00,9.58,4.79,38.32,0,0,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,7.85,0,0,0,6.52,43.11,16.29,5.75,28.74,0,0,4.79,14.37,0,0,0.86,0,0,0,493.7800000000001

45,11:00-11:15,7.28,6.71,38.32,0,0,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,5.75,28.74,0,0,4.79,14.37,0,0,0.86,0,0,0,493.4000000000001

46,11:15-11:30,7.66,6.71,38.32,0,0,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,5.75,28.74,0,0,4.79,14.37,0,0,0.86,0,0,0,493.7800000000001

47,11:30-11:45,7.95,6.71,38.32,0,0,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,0,4.79,14.37,0,0,0.86,0,0,0,488.32000000000005

48,11:45-12:00,8.14,6.71,38.32,0,0,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,0,4.79,14.37,0,0,0.86,0,0,0,488.51000000000005

49,12:00-12:15,8.62,6.71,38.32,0,0,0,19.16,0,1.37,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,0,4.79,14.37,0,0,0.86,0,0,0,488.8900000000001

50,12:15-12:30,8.72,6.71,38.32,0,0,0,19.16,0,1.37,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,0,4.79,14.37,0,0,0.86,0,0,0,488.99000000000007

51,12:30-12:45,8.81,6.71,38.32,0,0,0,19.16,0,1.37,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,0,4.79,14.37,0,0,0.86,0,0,0,489.0800000000001

52,12:45-13:00,8.91,6.71,38.32,0,0,0,19.16,0,1.37,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,0,4.79,14.37,0,0,0.86,0,0,0,489.18000000000006

53,13:00-13:15,8.91,5.75,38.32,0,0,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,0,4.79,9.58,0,0,0.77,0,0,0,483.44

54,13:15-13:30,9.01,5.75,38.32,0,0,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,0,4.79,9.58,0,0,0.77,0,0,0,483.54

55,13:30-13:45,9.1,5.75,38.32,0,0,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,0,4.79,8.62,0,0,0.77,0,0,0,482.67

56,13:45-14:00,9.29,5.75,38.32,0,0,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,0,4.79,8.62,0,0,0.77,0,0,0,482.86

57,14:00-14:15,9.39,4.79,38.32,0,0,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,0,4.79,8.62,0,0,0.77,0,0,0,482.00000000000006

58,14:15-14:30,9.39,4.79,38.32,0,0,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,0,4.79,8.62,0,0,0.77,0,0,0,482.00000000000006

59,14:30-14:45,9.39,4.79,38.32,0,0,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,0,4.79,8.62,0,0,0.77,0,0,0,482.00000000000006

60,14:45-15:00,9.48,4.79,38.32,0,0,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,0,4.79,8.62,0,0,0.77,0,0,0,482.09000000000003

61,15:00-15:15,9.58,4.79,38.32,0,0,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,0,4.79,8.62,0,0,0.67,0,0,0,482.0900000000001

62,15:15-15:30,9.58,4.79,38.32,0,0,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,0,4.79,8.62,0,0,0.67,0,0,0,482.0900000000001

63,15:30-15:45,9.48,4.79,38.32,0,0,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,0,4.79,8.62,0,0,0.67,0,0,0,481.99000000000007

64,15:45-16:00,9.29,4.79,38.32,0,0,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,0,4.79,8.62,0,0,0.67,0,0,0,481.80000000000007

65,16:00-16:15,9.2,2.87,38.32,0,0,0,19.16,0,1.37,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,0,4.79,8.62,0,0,0.48,0,0,0,479.50000000000006

66,16:15-16:30,16.19,2.87,31.52,0,0,0,19.16,0,1.37,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,0,4.79,8.62,0,0,0.48,0,0,0,479.69000000000005

67,16:30-16:45,18.11,2.87,23.76,0,0,0,19.16,0,1.37,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,0,4.79,14.37,0,0,0.48,0,0,0,479.6000000000001

68,16:45-17:00,13.32,2.87,16.67,0,0,0,19.16,0,1.37,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,0,4.79,14.37,0,0,0.48,0,0,0,467.7200000000001

69,17:00-17:15,0,0.96,0,0,0,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,0,0,14.37,0,0,0.48,0,0,0,431.13000000000005

70,17:15-17:30,0,0.96,0,0,0,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,0,0,14.37,0,0,0.48,0,0,0,431.13000000000005

71,17:30-17:45,0,0.96,0,0,0,0,19.16,47.9,1.47,47.9,28.74,26.82,36.4,36.4,47.9,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,40.04,0,14.37,0,0,0.48,0,0,0,566.9699999999999

72,17:45-18:00,0,0.96,0,0,0,0,19.16,47.9,1.47,47.9,28.74,26.82,36.4,36.4,47.9,47.9,20.12,47.9,0,14.37,0,0,0,0,43.11,16.29,0,28.74,0,40.04,0,14.37,0,0,0.48,0,0,0,566.9699999999999

73,18:00-18:15,0,0,0,30,50,95.8,19.16,47.9,1.47,47.9,28.74,26.82,36.4,36.4,47.9,47.9,20.12,47.9,50,14.37,38.32,0,0,0,43.11,16.29,0,28.74,0,40.04,0,14.37,21.08,38.32,0.48,134.12,0,0,1023.6500000000001

74,18:15-18:30,0,0,0,30,50,95.8,19.16,47.9,1.47,47.9,28.74,26.82,36.4,36.4,47.9,47.9,20.12,47.9,50,14.37,38.32,0,0,0,43.11,16.29,0,28.74,0,40.04,0,14.37,21.08,38.32,0.48,134.12,0,0,1023.6500000000001

75,18:30-18:45,0,0,0,30,50,95.8,19.16,47.9,1.47,47.9,28.74,26.82,36.4,36.4,47.9,47.9,20.12,47.9,50,14.37,38.32,0,0,0,43.11,16.29,0,28.74,0,40.04,0,14.37,22.03,38.32,0.48,134.12,0,0,1024.6

76,18:45-19:00,0,0,0,30,50,95.8,19.16,47.9,1.47,47.9,28.74,26.82,36.4,36.4,47.9,47.9,20.12,47.9,50,14.37,38.32,0,0,0,43.11,16.29,0,28.74,0,40.04,0,14.37,28.74,38.32,0.48,134.12,0,0,1031.31

77,19:00-19:15,0,0,0,30,50,95.8,19.16,47.9,1.47,47.9,28.74,26.82,36.4,36.4,47.9,47.9,20.12,47.9,50,14.37,38.32,0,0,0,43.11,16.29,0,28.74,0,40.04,0,14.37,25.87,38.32,0.57,114.96,0,0,1009.3700000000001

78,19:15-19:30,0,0,0,30,50,95.8,19.16,47.9,1.47,47.9,28.74,26.82,36.4,36.4,47.9,47.9,20.12,47.9,50,14.37,38.32,0,0,0,43.11,16.29,0,28.74,0,40.04,0,14.37,28.74,38.32,0.57,114.96,0,0,1012.2400000000001

79,19:30-19:45,0,0,0,30,50,95.8,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,50,14.37,38.32,0,0,0,43.11,16.29,0,28.74,0,40.04,0,14.37,0,38.32,0.57,114.96,0,0,887.7

80,19:45-20:00,0,0,0,30,50,95.8,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,50,14.37,38.32,0,0,0,43.11,16.29,0,28.74,0,40.04,0,14.37,0,38.32,0.57,114.96,0,0,887.7

81,20:00-20:15,0,0,0,30,50,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,50,14.37,38.32,0,0,0,43.11,16.29,0,28.74,0,0,0,14.37,0,38.32,0.57,153.28,0,0,790.18

82,20:15-20:30,0,0,0,30,50,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,50,14.37,38.32,0,0,0,43.11,16.29,0,28.74,0,0,0,14.37,0,38.32,0.57,153.28,0,0,790.18

83,20:30-20:45,0,0,0,30,50,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,50,14.37,38.32,0,0,0,43.11,16.29,0,28.74,0,0,0,14.37,0,38.32,0.57,153.28,0,0,790.18

84,20:45-21:00,0,0,0,30,50,0,19.16,0,1.47,47.9,28.74,26.82,36.4,36.4,0,47.9,20.12,47.9,50,14.37,38.32,0,0,0,43.11,16.29,0,28.74,0,0,0,14.37,0,38.32,0.57,153.28,0,0,790.18

85,21:00-21:15,0,0,0,30,50,0,19.16,0,1.37,47.9,28.74,26.82,34.49,34.49,0,47.9,20.12,47.9,50,14.37,38.32,0,0,0,43.11,16.29,0,28.74,0,0,0,14.37,0,0,0.57,268.24,0,0,862.9

