Column1,Block,NR/2025/25257/C,NR/2025/25256/C,GNA/SR/2025/02/01/6460,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/01/9969,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/9606,NR/30092023/31122025/SH-07,GNA/WR/2024/11/01/4200,NR/01082024/19092033/Chanju/TPDDL/01082024,WR/2025/26047/A/53366,GNA/WR/2025/01/01/8625,GNA/NR/2025/02/01/2143,NR/2025/24992/A/53090,ER/2025/15683/A/53359,NR/2025/25070/A/53368,NR/2025/24882/A/53094,NER/2025/2918/A/53361,NR/2024/24418/A/53218,Total
3,00:30-00:45,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,6.72,7.33,17.28,2.88,9.16,0.38,260.43000000000006

4,00:45-01:00,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,6.72,7.33,17.28,2.88,9.16,0.38,260.43000000000006

5,01:00-01:15,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,6.72,7.33,17.28,2.88,9.16,0.38,260.43000000000006

6,01:15-01:30,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,6.72,7.33,17.28,2.88,9.16,0.38,260.43000000000006

7,01:30-01:45,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,6.72,7.33,17.28,2.88,9.16,0.38,260.43000000000006

8,01:45-02:00,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,6.72,7.33,17.28,2.88,9.16,0.38,260.43000000000006

9,02:00-02:15,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,6.72,7.33,17.28,2.88,9.16,0.38,260.43000000000006

10,02:15-02:30,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,6.72,7.33,17.28,2.88,9.16,0.38,260.43000000000006

11,02:30-02:45,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,6.72,7.33,17.28,2.88,9.16,0.38,260.43000000000006

12,02:45-03:00,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,6.72,7.33,17.28,2.88,9.16,0.38,260.43000000000006

13,03:00-03:15,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,6.72,7.33,17.28,2.88,9.16,0.38,260.43000000000006

14,03:15-03:30,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,6.72,7.33,17.28,2.88,9.16,0.38,260.43000000000006

15,03:30-03:45,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,6.72,7.33,17.28,2.88,9.16,0.38,260.43000000000006

16,03:45-04:00,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,6.72,7.33,17.28,2.88,9.16,0.38,260.43000000000006

17,04:00-04:15,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,6.72,7.33,17.28,2.88,9.16,0.38,260.43000000000006

18,04:15-04:30,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,6.72,7.33,17.28,2.88,9.16,0.38,260.43000000000006

19,04:30-04:45,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,6.72,7.33,17.28,2.88,9.16,0.38,260.43000000000006

20,04:45-05:00,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,6.72,7.33,17.28,2.88,9.16,0.38,260.43000000000006

21,05:00-05:15,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,6.72,7.33,17.28,2.88,9.16,0.38,260.43000000000006

22,05:15-05:30,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,6.72,7.33,17.28,2.88,9.16,0.38,260.43000000000006

23,05:30-05:45,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,6.72,7.33,17.28,2.88,9.16,0.38,260.43000000000006

24,05:45-06:00,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,6.72,7.33,17.28,2.88,9.16,0.38,260.43000000000006

25,06:00-06:15,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,9.6,7.33,17.28,4.8,9.16,0.43,265.2800000000001

26,06:15-06:30,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,9.6,7.33,17.28,4.8,9.16,0.43,265.2800000000001

27,06:30-06:45,0,0,75,0,13.44,36.48,13.44,43.2,3.58,0,32,0,1.3,0,0,36.48,9.6,7.33,17.28,4.8,9.16,0.43,303.52000000000004

28,06:45-07:00,0,0,75,0,13.44,36.48,13.44,43.2,3.58,0,32,0,1.3,0,0,36.48,9.6,7.33,17.28,4.8,9.16,0.43,303.52000000000004

29,07:00-07:15,0,0,75,0,13.44,36.48,13.44,43.2,32,0,32,0,1.3,0,0,36.48,9.6,7.33,28.8,4.8,9.16,0.48,343.5100000000001

30,07:15-07:30,0,0,75,0,13.44,36.48,13.44,43.2,32,0,32,0,1.3,0,0,36.48,9.6,7.33,28.8,4.8,9.16,0.48,343.5100000000001

31,07:30-07:45,0,0,75,0,13.44,36.48,13.44,43.2,32,0,32,0,1.3,0,0,36.48,9.6,7.33,28.8,4.8,9.16,0.48,343.5100000000001

32,07:45-08:00,0,0,75,0,13.44,36.48,13.44,43.2,32,0,32,0,1.3,0,0,36.48,9.6,7.33,28.8,4.8,9.16,0.48,343.5100000000001

33,08:00-08:15,0,0,75,0,13.44,36.48,13.44,43.2,32,0,32,0,1.3,0,0,36.48,9.6,7.33,28.8,4.8,9.16,0.86,343.8900000000001

34,08:15-08:30,0,0,75,0,13.44,36.48,13.44,43.2,32,0,32,0,1.3,0,0,36.48,9.6,7.33,28.8,4.8,9.16,0.86,343.8900000000001

35,08:30-08:45,0,0,75,0,13.44,36.48,13.44,43.2,32,0,32,0,1.3,0,0,36.48,9.6,7.33,28.8,4.8,9.16,0.86,343.8900000000001

36,08:45-09:00,0,0,75,0,13.44,36.48,13.44,43.2,32,0,32,0,1.3,0,0,36.48,9.6,7.33,28.8,4.8,9.16,0.86,343.8900000000001

37,09:00-09:15,0,0,75,0,13.44,36.48,13.44,43.2,32,0,3.58,0,1.3,0,0,36.48,9.6,7.33,28.8,4.8,9.16,0.86,315.4700000000001

38,09:15-09:30,0,0,75,0,13.44,36.48,13.44,43.2,32,0,3.58,0,1.3,0,0,36.48,9.6,7.33,28.8,4.8,9.16,0.86,315.4700000000001

39,09:30-09:45,38.4,14.4,75,0,13.44,36.48,13.44,43.2,32,0,12.6,0,1.3,0,0,36.48,9.6,7.33,28.8,4.8,9.16,0.86,377.29000000000013

40,09:45-10:00,38.4,14.4,75,0,13.44,36.48,13.44,43.2,32,0,26.12,0,1.3,0,0,36.48,9.6,7.33,28.8,4.8,9.16,0.86,390.8100000000001

41,10:00-10:15,38.4,14.4,75,0,8.64,23.04,8.64,23.04,32,0,25.71,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.86,328.96000000000004

42,10:15-10:30,38.4,14.4,75,0,8.64,23.04,8.64,23.04,32,0,25.71,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.86,328.96000000000004

43,10:30-10:45,38.4,14.4,75,0,8.64,23.04,8.64,23.04,32,0,25.71,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.86,328.96000000000004

44,10:45-11:00,38.4,14.4,75,0,8.64,23.04,8.64,23.04,32,0,25.71,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.86,328.96000000000004

45,11:00-11:15,38.4,14.4,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.86,325.23

46,11:15-11:30,38.4,14.4,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.86,325.23

47,11:30-11:45,38.4,14.4,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.86,325.23

48,11:45-12:00,38.4,14.4,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.86,325.23

49,12:00-12:15,38.4,14.4,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.86,325.23

50,12:15-12:30,38.4,14.4,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.86,325.23

51,12:30-12:45,38.4,14.4,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.86,325.23

52,12:45-13:00,38.4,14.4,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.86,325.23

53,13:00-13:15,38.4,14.4,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.86,325.23

54,13:15-13:30,38.4,14.4,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.86,325.23

55,13:30-13:45,38.4,14.4,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.86,325.23

56,13:45-14:00,38.4,14.4,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.86,325.23

57,14:00-14:15,38.4,14.4,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.86,325.23

58,14:15-14:30,38.4,14.4,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.86,325.23

59,14:30-14:45,38.4,14.4,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.86,325.23

60,14:45-15:00,38.4,14.4,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.86,325.23

61,15:00-15:15,38.4,14.4,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.67,325.04

62,15:15-15:30,38.4,14.4,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.67,325.04

63,15:30-15:45,38.4,14.4,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.67,325.04

64,15:45-16:00,38.4,14.4,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.67,325.04

65,16:00-16:15,38.4,14.4,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.53,324.9

66,16:15-16:30,38.4,14.4,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.53,324.9

67,16:30-16:45,38.4,14.4,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.53,324.9

68,16:45-17:00,31.11,20.83,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,5.76,7.33,28.8,3.84,9.16,0.53,324.03999999999996

69,17:00-17:15,0,0,75,0,13.44,36.48,13.44,43.2,26.99,0,26.99,0,1.3,0,0,36.48,9.6,7.33,28.8,4.8,9.16,0.53,333.5400000000001

70,17:15-17:30,0,0,75,0,13.44,36.48,13.44,43.2,26.99,0,26.99,0,1.3,0,0,36.48,9.6,7.33,28.8,4.8,9.16,0.53,333.5400000000001

71,17:30-17:45,0,0,75,0,13.44,36.48,13.44,43.2,32,0,32,0,1.3,0,0,36.48,9.6,7.33,28.8,4.8,9.16,0.53,343.56000000000006

72,17:45-18:00,0,0,75,0,13.44,36.48,13.44,43.2,32,0,32,0,1.3,0,0,36.48,9.6,7.33,28.8,4.8,9.16,0.53,343.56000000000006

73,18:00-18:15,0,0,75,0,13.44,36.48,13.44,43.2,31,200,31,50,1.3,38.4,0,36.48,9.6,7.33,28.8,4.8,9.16,0.53,629.9599999999999

74,18:15-18:30,0,0,75,0,13.44,36.48,13.44,43.2,31,200,31,50,1.3,38.4,0,36.48,9.6,7.33,28.8,4.8,9.16,0.53,629.9599999999999

75,18:30-18:45,0,0,75,50,13.44,36.48,13.44,43.2,31,200,31,50,1.3,38.4,0,36.48,9.6,7.33,28.8,4.8,9.16,0.53,679.9599999999998

76,18:45-19:00,0,0,75,50,13.44,36.48,13.44,43.2,31,200,31,50,1.3,38.4,0,36.48,9.6,7.33,28.8,4.8,9.16,0.53,679.9599999999998

77,19:00-19:15,0,0,75,50,13.44,36.48,13.44,43.2,31,200,31,50,1.3,38.4,0,36.48,9.6,7.33,28.8,4.8,9.16,0.62,680.0499999999998

78,19:15-19:30,0,0,75,50,13.44,36.48,13.44,43.2,31,200,31,50,1.3,38.4,0,36.48,9.6,7.33,28.8,4.8,9.16,0.62,680.0499999999998

79,19:30-19:45,0,0,75,50,13.44,36.48,13.44,43.2,32,200,32,50,1.3,38.4,0,36.48,9.6,7.33,28.8,4.8,9.16,0.62,682.0499999999998

80,19:45-20:00,0,0,75,50,13.44,36.48,13.44,43.2,32,200,32,50,1.3,38.4,0,36.48,9.6,7.33,28.8,4.8,9.16,0.62,682.0499999999998

81,20:00-20:15,0,0,75,50,13.44,36.48,13.44,43.2,32,150,26.12,50,1.39,38.4,0,36.48,5.76,7.33,28.8,3.84,9.16,0.62,621.46

82,20:15-20:30,0,0,75,50,13.44,36.48,13.44,43.2,32,150,26.12,50,1.39,38.4,0,36.48,5.76,7.33,28.8,3.84,9.16,0.62,621.46

83,20:30-20:45,0,0,75,50,13.44,36.48,13.44,43.2,32,150,26.12,50,1.39,38.4,0,36.48,5.76,7.33,28.8,3.84,9.16,0.62,621.46

84,20:45-21:00,0,0,75,50,13.44,36.48,13.44,43.2,32,150,26.12,50,1.39,38.4,0,36.48,5.76,7.33,28.8,3.84,9.16,0.62,621.46

85,21:00-21:15,0,0,75,50,13.44,28.8,13.44,28.8,26.99,150,26.99,50,1.39,38.4,0,28.8,5.76,7.33,28.8,3.84,9.16,0.58,587.52

86,21:15-21:30,0,0,75,50,13.44,28.8,13.44,28.8,26.99,150,26.99,50,1.39,38.4,0,28.8,5.76,7.33,28.8,3.84,9.16,0.58,587.52

87,21:30-21:45,0,0,75,50,13.44,28.8,13.44,28.8,26.99,150,26.99,50,1.39,38.4,0,28.8,5.76,7.33,28.8,3.84,9.16,0.58,587.52

88,21:45-22:00,0,0,75,50,13.44,28.8,13.44,28.8,26.99,150,26.99,50,1.39,38.4,0,28.8,5.76,7.33,28.8,3.84,9.16,0.58,587.52

89,22:00-22:15,0,0,75,50,13.44,28.8,13.44,28.8,26.99,150,26.99,50,1.3,38.4,0,28.8,5.76,7.33,17.28,3.84,9.16,0.53,575.86

90,22:15-22:30,0,0,75,50,13.44,28.8,13.44,28.8,26.99,150,26.99,50,1.3,38.4,0,28.8,5.76,7.33,17.28,3.84,9.16,0.53,575.86

91,22:30-22:45,0,0,75,50,8.64,23.04,8.64,23.04,26.99,150,26.99,50,1.3,38.4,0,23.04,5.76,7.33,17.28,3.84,9.16,0.53,548.98

92,22:45-23:00,0,0,75,50,8.64,23.04,8.64,23.04,26.99,150,26.99,50,1.3,38.4,0,23.04,5.76,7.33,17.28,3.84,9.16,0.53,548.98

93,23:00-23:15,0,0,75,50,8.64,23.04,8.64,23.04,26.99,150,26.99,50,1.3,38.4,0,23.04,5.76,7.33,17.28,3.84,9.16,0.48,548.9300000000001

94,23:15-23:30,0,0,75,50,8.64,23.04,8.64,23.04,26.99,150,26.99,50,1.3,38.4,0,23.04,5.76,7.33,17.28,3.84,9.16,0.48,548.9300000000001

95,23:30-23:45,0,0,75,50,8.64,23.04,8.64,23.04,26.99,150,26.99,50,1.3,38.4,0,23.04,5.76,7.33,17.28,3.84,9.16,0.48,548.9300000000001

96,23:45-24:00,0,0,75,50,8.64,23.04,8.64,23.04,26.99,150,26.99,50,1.3,38.4,0,23.04,5.76,7.33,17.28,3.84,9.16,0.48,548.9300000000001

