Column1,Block,NR/2024/23038/A/38614,NR/2024/22874/A/38905,NR/2024/22848/A/38877,NR/2024/23307/C,NR/2024/22754/A/38894,NR/2024/23217/A/38670,NR/2024/22820/A/38618,NR/2024/21658/A/38674,NR/2024/23119/A/38908,GNA/NR/2024/09/01/9821,NR/2024/23121/A/38907,NR/2024/23299/C,NR/2024/23304/C,NR/2024/23311/C,NR/2024/23122/A/38909,NR/2024/22835/A/38945,NR/2024/23280/C,GNA/NR/2024/09/01/8090,NR/2024/22803/A/38904,NR/2024/23298/C,NR/2024/23308/C,NR/2024/23118/A/38910,NR/2024/23213/A/38678,NR/2024/23214/A/38679,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/6566,NR/30092023/26122029/SH-06,GNA/NR/2024/09/25/9437,GNA/NR/2024/09/25/7488,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/01/7119,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/23305/C,Total
3,00:30-00:45,3.87,48.38,84.36,0,54.43,6.77,4.84,0.87,26.39,32.9,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,32,24.19,32,0,193.54,96.77,2.42,21.77,163.3,17.5,9.79,0,1511.3999999999999

4,00:45-01:00,3.87,48.38,84.36,0,54.43,6.77,4.84,0.87,26.39,32.9,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,32,24.19,32,0,193.54,96.77,2.42,21.77,163.3,17.5,10.53,0,1512.1399999999999

5,01:00-01:15,3.87,48.38,84.36,0,54.43,6.77,4.84,0.68,26.39,32.9,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,1.35,24.19,32,0,193.54,96.77,2.42,21.77,163.3,17.5,9.7,0,1480.47

6,01:15-01:30,3.87,48.38,84.36,0,54.43,6.77,4.84,0.68,26.39,32.9,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,1.35,24.19,32,0,193.54,96.77,2.42,21.77,163.3,17.5,9.7,0,1480.47

7,01:30-01:45,3.87,48.38,84.36,0,54.43,6.77,4.84,0.68,26.39,32.9,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,1.35,24.19,32,0,193.54,96.77,2.42,21.77,163.3,17.5,9.7,0,1480.47

8,01:45-02:00,3.87,48.38,84.36,0,54.43,6.77,4.84,0.68,26.39,32.9,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,1.35,24.19,32,0,193.54,96.77,2.42,21.77,163.3,17.5,9.7,0,1480.47

9,02:00-02:15,3.87,48.38,84.36,0,54.43,6.77,4.84,0.68,26.39,32.9,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,163.3,17.5,9.61,0,1299.43

10,02:15-02:30,3.87,48.38,84.36,0,54.43,6.77,4.84,0.68,26.39,32.9,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,163.3,17.5,9.61,0,1299.43

11,02:30-02:45,3.87,48.38,84.36,0,54.43,6.77,4.84,0.68,26.39,32.9,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,163.3,17.5,9.61,0,1299.43

12,02:45-03:00,3.87,48.38,84.36,0,54.43,6.77,4.84,0.68,26.39,32.9,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,163.3,17.5,9.61,0,1299.43

13,03:00-03:15,3.87,48.38,84.36,0,54.43,6.77,4.84,0.63,26.39,0,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,163.3,17.5,9.51,0,1266.38

14,03:15-03:30,3.87,48.38,84.36,0,54.43,6.77,4.84,0.63,26.39,0,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,163.3,17.5,9.51,0,1266.38

15,03:30-03:45,3.87,48.38,84.36,0,54.43,6.77,4.84,0.63,26.39,0,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,163.3,17.5,9.51,0,1266.38

16,03:45-04:00,3.87,48.38,84.36,0,54.43,6.77,4.84,0.63,26.39,0,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,163.3,17.5,9.51,0,1266.38

17,04:00-04:15,3.87,48.38,84.36,0,54.43,6.77,4.84,0.58,26.39,0,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,163.3,17.5,9.43,0,1266.2500000000002

18,04:15-04:30,3.87,48.38,84.36,0,54.43,6.77,4.84,0.58,26.39,0,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,163.3,17.5,9.43,0,1266.2500000000002

19,04:30-04:45,3.87,48.38,84.36,0,54.43,6.77,4.84,0.58,26.39,0,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,163.3,17.5,9.43,0,1266.2500000000002

20,04:45-05:00,3.87,48.38,84.36,0,54.43,6.77,4.84,0.58,26.39,0,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,163.3,17.5,9.43,0,1266.2500000000002

21,05:00-05:15,3.87,48.38,84.36,0,54.43,6.77,4.84,0.58,26.39,0,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,163.3,17.5,9.33,0,1266.15

22,05:15-05:30,3.87,48.38,84.36,0,54.43,6.77,4.84,0.58,26.39,0,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,163.3,17.5,9.33,0,1266.15

23,05:30-05:45,3.87,48.38,84.36,0,54.43,6.77,4.84,0.58,26.39,0,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,163.3,17.5,9.33,0,1266.15

24,05:45-06:00,3.87,48.38,84.36,0,54.43,6.77,4.84,0.58,26.39,0,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,163.3,17.5,9.33,0,1266.15

25,06:00-06:15,3.87,48.38,84.36,0,0,6.77,4.84,0.68,26.39,0,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,17.5,9.24,0,1048.43

26,06:15-06:30,3.87,48.38,84.36,0,0,6.77,4.84,0.68,26.39,0,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,17.5,9.24,0,1048.43

27,06:30-06:45,3.87,48.38,84.36,0,0,6.77,4.84,0.68,26.39,0,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,17.5,9.24,0,1047.4599999999998

28,06:45-07:00,3.87,48.38,84.36,0,0,5.81,4.84,0.68,26.39,0,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0.25,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,17.5,9.24,0,1047.72

29,07:00-07:15,3.87,48.38,84.36,0,0,5.81,4.84,0.68,26.39,0,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0.51,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,17.5,9.24,0,1047.98

30,07:15-07:30,3.87,48.38,84.36,0,0,5.81,4.84,0.68,26.39,0,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0.72,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,17.5,9.24,0,1048.19

31,07:30-07:45,3.87,48.38,84.36,0,0,5.81,4.84,0.68,26.39,0,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,1.11,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,17.5,9.24,0,1048.5800000000002

32,07:45-08:00,3.87,48.38,84.36,0,0,5.81,4.84,0.68,26.39,0,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,2.54,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,17.5,9.24,0,1050.01

33,08:00-08:15,3.87,48.38,84.36,0,0,5.81,4.84,0.97,26.39,0,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,2.71,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,17.5,9.14,0,1050.3700000000001

34,08:15-08:30,3.87,48.38,84.36,0,0,5.81,4.84,0.97,26.39,0,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,2.92,1.94,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,17.5,9.14,0,1051.5500000000002

35,08:30-08:45,3.87,48.38,84.36,0,0,5.81,4.84,0.97,26.39,0,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,3.24,1.94,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,17.5,9.14,0,1051.8700000000001

36,08:45-09:00,3.87,48.38,84.36,0,0,6.77,4.84,0.97,26.39,0,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,3.39,0.97,8.8,0,0,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,17.5,9.14,0,1052.0100000000002

37,09:00-09:15,3.87,48.38,84.36,0,0,6.77,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,3.73,0.97,12.46,10.66,42.63,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,24.78,9.14,0,1149.5500000000004

38,09:15-09:30,3.87,48.38,84.36,0,0,7.74,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,3.87,0,12.46,10.66,42.63,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,24.78,9.14,0,1149.6900000000003

39,09:30-09:45,3.87,48.38,84.36,0,0,7.74,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,4.06,0.97,12.46,10.66,42.63,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,24.78,9.14,0,1150.8500000000001

40,09:45-10:00,3.87,48.38,84.36,0,0,7.74,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,4.21,0.97,12.46,10.66,42.63,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,24.78,9.14,0,1151.0000000000002

41,10:00-10:15,3.87,48.38,84.36,0,0,7.74,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,4.45,1.94,12.46,10.66,42.63,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,24.78,9.06,0,1152.13

42,10:15-10:30,3.87,48.38,84.36,0,0,7.74,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,4.6,1.94,12.46,10.66,42.63,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,24.78,9.06,0,1152.2800000000002

43,10:30-10:45,3.87,48.38,84.36,0,0,8.71,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,4.74,2.9,12.46,10.66,42.63,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,24.78,9.06,0,1154.3500000000001

44,10:45-11:00,3.87,48.38,84.36,0,0,8.71,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,5.32,2.9,12.46,10.66,42.63,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,24.78,9.06,0,1154.93

45,11:00-11:15,3.87,48.38,84.36,0,0,8.71,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,6.39,2.9,12.46,10.66,42.63,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,24.78,9.06,0,1156

46,11:15-11:30,3.87,48.38,84.36,0,0,9.68,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,6.77,1.94,12.46,10.66,42.63,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,24.78,9.06,0,1156.39

47,11:30-11:45,3.87,48.38,84.36,0,0,9.68,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,7.35,1.94,12.46,10.66,42.63,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,24.78,9.06,0,1156.9700000000003

48,11:45-12:00,3.87,48.38,84.36,0,0,9.68,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,7.64,1.94,12.46,10.66,42.63,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,24.78,9.06,0,1157.2600000000002

49,12:00-12:15,3.87,48.38,84.36,0,0,9.68,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,8.32,1.94,12.46,10.66,42.63,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,24.78,9.06,0,1157.9400000000003

50,12:15-12:30,3.87,48.38,84.36,0,0,9.68,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,8.61,1.94,12.46,10.66,42.63,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,24.78,9.06,0,1158.2300000000002

51,12:30-12:45,3.87,48.38,84.36,0,0,9.68,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,9.44,1.94,12.46,10.66,42.63,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,24.78,9.06,0,1159.0600000000002

52,12:45-13:00,3.87,48.38,84.36,0,0,9.68,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,8.32,1.94,12.46,10.66,42.63,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,24.78,9.06,0,1157.9400000000003

53,13:00-13:15,3.87,48.38,84.36,0,0,9.68,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,7.74,1.94,12.46,10.66,42.63,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,24.78,9.06,0,1157.3600000000001

54,13:15-13:30,3.87,48.38,84.36,0,0,9.68,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,7.16,1.94,12.46,10.66,42.63,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,24.78,9.06,0,1156.7800000000002

55,13:30-13:45,3.87,48.38,84.36,0,0,9.68,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,6.29,1.94,12.46,10.66,42.63,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,24.78,9.06,0,1155.91

56,13:45-14:00,3.87,48.38,84.36,0,0,9.68,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,5.32,1.94,12.46,10.66,42.63,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,24.78,9.06,0,1154.9400000000003

57,14:00-14:15,3.87,48.38,84.36,0,0,9.68,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,4.45,1.94,12.46,10.66,42.63,22.97,24.19,22.97,0,0,96.77,2.42,21.77,0,24.78,9.14,0,1154.1500000000003

58,14:15-14:30,3.87,48.38,84.36,0,0,9.68,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,4.06,1.94,12.46,10.66,42.63,16.67,24.19,16.67,0,0,96.77,2.42,21.77,0,24.78,9.14,0,1141.16

59,14:30-14:45,3.87,48.38,84.36,0,0,9.68,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,3.68,1.94,12.46,10.66,42.63,16.67,24.19,16.67,0,0,96.77,2.42,21.77,0,24.78,9.14,0,1140.7800000000002

60,14:45-15:00,3.87,48.38,84.36,0,0,9.68,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,3.1,1.94,12.46,10.66,42.63,16.67,24.19,16.67,0,0,96.77,2.42,21.77,0,24.78,9.14,0,1140.2000000000003

61,15:00-15:15,3.87,48.38,84.36,0,0,9.68,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,2.9,1.94,12.46,10.66,42.63,16.67,24.19,16.67,0,0,96.77,2.42,21.77,0,24.78,9.33,0,1140.19

62,15:15-15:30,3.87,48.38,84.36,0,0,9.68,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,2.71,2.9,12.46,10.66,42.63,16.67,24.19,16.67,0,0,96.77,2.42,21.77,0,24.78,9.33,0,1140.96

63,15:30-15:45,3.87,48.38,84.36,0,0,9.68,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,2.52,2.9,12.46,10.66,42.63,16.67,24.19,16.67,0,0,96.77,2.42,21.77,0,24.78,9.33,0,1140.77

64,15:45-16:00,3.87,48.38,84.36,0,0,9.68,4.84,0.97,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,2.32,2.9,12.46,10.66,42.63,16.67,24.19,16.67,0,0,96.77,2.42,21.77,0,24.78,9.33,0,1140.57

65,16:00-16:15,3.87,48.38,84.36,0,0,9.68,4.84,0.87,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,2.23,2.9,12.46,10.66,42.63,16.67,24.19,16.67,0,0,96.77,2.42,21.77,0,24.78,9.51,0,1140.56

66,16:15-16:30,3.87,48.38,84.36,0,0,9.68,4.84,0.87,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,2.08,2.9,12.46,10.66,36.82,16.67,24.19,16.67,0,0,96.77,2.42,21.77,0,24.78,9.51,0,1134.6000000000001

67,16:30-16:45,3.87,48.38,84.36,0,0,9.68,4.84,0.87,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,1.94,2.9,12.46,10.66,30.52,16.67,24.19,16.67,0,0,96.77,2.42,21.77,0,24.78,9.51,0,1128.16

68,16:45-17:00,3.87,48.38,84.36,0,0,9.68,4.84,0.87,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,1.78,2.9,12.46,10.66,23.74,16.67,24.19,16.67,0,0,96.77,2.42,21.77,0,24.78,9.51,0,1121.22

69,17:00-17:15,3.87,48.38,84.36,0,0,9.68,4.84,0.82,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,1.35,2.9,12.46,0,0,32,24.19,1.35,0,0,96.77,2.42,21.77,0,24.78,9.79,0,1086.63

70,17:15-17:30,3.87,48.38,84.36,0,0,9.68,4.84,0.82,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,1.01,2.9,12.46,0,0,32,24.19,1.35,0,0,96.77,2.42,21.77,0,24.78,9.79,0,1086.2900000000002

71,17:30-17:45,3.87,48.38,84.36,0,0,9.68,4.84,0.82,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,0.72,2.9,12.46,0,0,32,24.19,1.35,0,0,96.77,2.42,21.77,0,24.78,9.79,0,1086.0000000000002

72,17:45-18:00,3.87,48.38,84.36,0,0,9.68,4.84,0.82,37.38,0,37.38,163.11,0,0,37.38,90.96,241.92,0,96.77,0.41,2.9,12.46,0,0,32,24.19,1.35,0,0,96.77,2.42,21.77,0,24.78,9.79,0,1085.69

73,18:00-18:15,3.87,48.38,84.36,62.9,0,9.68,4.84,0.82,37.38,0,37.38,163.11,42,18.37,37.38,90.96,241.92,0,96.77,0.2,2.9,12.46,0,0,32,24.19,1.35,62.9,193.54,96.77,2.42,21.77,0,24.78,9.98,33.87,1499.25

74,18:15-18:30,3.87,48.38,84.36,62.9,0,9.68,4.84,0.82,37.38,0,37.38,163.11,42,20.51,37.38,90.96,241.92,0,96.77,0.05,2.9,12.46,0,0,32,24.19,1.35,62.9,193.54,96.77,2.42,21.77,0,24.78,9.98,33.87,1501.24

75,18:30-18:45,3.87,48.38,84.36,62.9,0,9.68,4.84,0.82,37.38,0,37.38,163.11,42,21.43,37.38,90.96,241.92,0,96.77,0,2.9,12.46,0,0,32,24.19,1.35,62.9,193.54,96.77,2.42,21.77,0,24.78,9.98,33.87,1502.11

76,18:45-19:00,3.87,48.38,84.36,62.9,0,9.68,4.84,0.82,37.38,0,37.38,163.11,42,20.26,37.38,90.96,241.92,0,96.77,0,2.9,12.46,0,0,32,24.19,1.35,62.9,193.54,96.77,2.42,21.77,0,24.78,9.98,33.87,1500.9399999999998

77,19:00-19:15,3.87,48.38,84.36,62.9,0,9.68,4.84,0.82,37.38,0,37.38,163.11,42,18.54,37.38,90.96,241.92,0,96.77,0,2.9,12.46,0,0,32,24.19,1.35,62.9,193.54,96.77,2.42,21.77,0,24.78,9.98,33.87,1499.22

78,19:15-19:30,3.87,48.38,84.36,62.9,0,9.68,4.84,0.82,37.38,0,37.38,163.11,42,18.45,37.38,90.96,241.92,0,96.77,0,2.9,12.46,0,0,32,24.19,1.35,62.9,193.54,96.77,2.42,21.77,0,24.78,9.98,33.87,1499.1299999999999

79,19:30-19:45,3.87,48.38,84.36,62.9,0,9.68,4.84,0.82,37.38,0,37.38,163.11,42,17.87,37.38,90.96,241.92,0,96.77,0,2.9,12.46,0,0,32,24.19,32,62.9,193.54,96.77,2.42,21.77,0,24.78,9.98,33.87,1529.2

80,19:45-20:00,3.87,48.38,84.36,62.9,0,9.68,4.84,0.82,37.38,0,37.38,163.11,42,17.92,37.38,90.96,241.92,0,96.77,0,2.9,12.46,0,0,32,24.19,32,62.9,193.54,96.77,2.42,21.77,0,24.78,9.98,33.87,1529.25

81,20:00-20:15,3.87,48.38,84.36,62.9,0,9.68,4.84,0.77,37.38,0,37.38,163.11,42,16.53,37.38,90.96,241.92,0,96.77,0,1.94,12.46,0,0,32,24.19,32,62.9,193.54,96.77,2.42,21.77,0,24.78,9.98,33.87,1526.8500000000001

