Time,Block,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/26122029/SH-06,NR/2024/20777/A/24520,NR/2024/20050/A/24783,NR/01102023/02012046/L_NR_2021_17,NR/2024/19588/A/24579,NR/2024/20554/A/24458,NR/2024/21285/C,NR/01062024/30062024/R2,NR/2024/20130/A/24572,NR/2024/19642/A/24811,NR/2024/20037/A/24516,NR/2024/20558/A/24818,NR/2024/19757/A/24825,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/30062024/30062024/IEX_240629_01348_1,NR/2024/20537/A/24704,NR/2024/19919/A/24797,NR/2024/19640/A/24810,NR/20062024/30062024/1000011400-GOHP-BRPL(DISCOM),NR/2024/19966/A/24527,NR/2024/19683/A/24484,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/2024/20515/A/24567,NR/2024/20513/A/24568,NR/2024/21258/C,NR/2024/20540/A/24290,NR/2024/20557/A/24819,NR/2024/20141/A/24552,NR/16062024/30062024/1000011196-KWHPS-BRPL(DISCOM),NR/2024/20599/A/24518,NR/2024/19791/A/24800,NR/2024/19355/A/24709,NR/2024/20598/A/24519,NR/2024/20572/A/24781,NR/2024/20144/A/24557,NR/2024/20597/A/24775,NR/30092023/31122025/SH-07,NR/2024/19475/A/24703,NR/2024/19637/A/24537,NR/2024/19432/A/24831,NR/2024/20553/A/24465,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/2024/20560/A/24817,NR/2024/20524/A/24743,NR/2024/19779/A/24461,NR/2024/20211/A/24558,NR/01062024/30062024/IEPL01,NR/01102023/23072042/L_NR_2012_04,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/2024/20516/A/24566,NR/2024/20142/A/24556,NR/2024/19978/A/24799,NR/2024/21266/C,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/2024/21265/C,NR/2024/20090/A/24467,NR/2024/19760/A/24514,NR/2024/20041/A/24776,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/2024/20048/A/24784,NR/2024/20212/A/24561,NR/2024/19988/A/24515,NR/2024/20109/A/24707,NR/2024/19918/A/24798,NR/2024/20552/A/24466,NR/2024/19699/A/24828,NR/01102023/14082046/L_NR_2021_16,Total

3,00:30-00:45,0.000000,24.100000,0.000000,108.530000,0,66.750000,48.240000,48.240000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,38.590000,144.700000,0.000000,308.700000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,32.000000,192.940000,0.000000,24.120000,48.240000,24.120000,0.000000,32.890000,19.290000,0.630000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,241.180000,13.510000,28.940000,48.240000,0,2413.65

4,00:45-01:00,0.000000,24.100000,0.000000,108.530000,0,66.750000,48.240000,48.240000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,38.590000,144.700000,0.000000,308.700000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,32.000000,192.940000,0.000000,24.120000,48.240000,24.120000,0.000000,32.890000,19.290000,0.630000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,241.180000,13.510000,28.940000,48.240000,0,2413.65

5,01:00-01:15,0.000000,25.190000,0.000000,108.530000,0,66.750000,48.240000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,38.590000,0.000000,0.000000,308.700000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,0.000000,0.880000,0.000000,25.190000,192.940000,0.000000,24.120000,48.240000,24.120000,0.000000,32.890000,19.290000,0.580000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,241.180000,13.510000,28.940000,48.240000,0,2182.05

6,01:15-01:30,0.000000,25.190000,0.000000,108.530000,0,66.750000,48.240000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,38.590000,0.000000,0.000000,308.700000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,0.000000,0.880000,0.000000,25.190000,192.940000,0.000000,24.120000,48.240000,24.120000,0.000000,32.890000,19.290000,0.580000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,241.180000,13.510000,28.940000,48.240000,0,2182.05

7,01:30-01:45,0.000000,25.190000,0.000000,108.530000,0,66.750000,48.240000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,38.590000,0.000000,0.000000,308.700000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,0.000000,0.880000,0.000000,25.190000,192.940000,0.000000,24.120000,48.240000,24.120000,0.000000,32.890000,19.290000,0.580000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,241.180000,13.510000,28.940000,48.240000,0,2182.05

8,01:45-02:00,0.000000,25.190000,0.000000,108.530000,0,66.750000,48.240000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,38.590000,0.000000,0.000000,308.700000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,0.000000,0.880000,0.000000,25.190000,192.940000,0.000000,24.120000,48.240000,24.120000,0.000000,32.890000,19.290000,0.580000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,241.180000,13.510000,28.940000,48.240000,0,2182.05

9,02:00-02:15,0.000000,26.540000,0.000000,108.530000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,38.590000,0.000000,0.000000,308.700000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.540000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.530000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,241.180000,13.510000,0.000000,48.240000,0,2072.88

10,02:15-02:30,0.000000,26.540000,0.000000,108.530000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,38.590000,0.000000,0.000000,308.700000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.540000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.530000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,241.180000,13.510000,0.000000,48.240000,0,2072.88

11,02:30-02:45,0.000000,26.540000,0.000000,108.530000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,38.590000,0.000000,0.000000,308.700000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.540000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.530000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,241.180000,13.510000,0.000000,48.240000,0,2072.88

12,02:45-03:00,0.000000,26.540000,0.000000,108.530000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,38.590000,0.000000,0.000000,308.700000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.540000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.530000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,241.180000,13.510000,0.000000,48.240000,0,2072.88

13,03:00-03:15,0.000000,26.910000,0.000000,108.530000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,308.700000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.960000,5.790000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.480000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,2034.97

14,03:15-03:30,0.000000,26.910000,0.000000,108.530000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,308.700000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.960000,5.790000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.480000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,2034.97

15,03:30-03:45,0.000000,26.910000,0.000000,108.530000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,308.700000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.960000,5.790000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.480000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,2034.97

16,03:45-04:00,0.000000,26.910000,0.000000,108.530000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,308.700000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.960000,5.790000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.480000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,2034.97

17,04:00-04:15,0.000000,26.910000,0.000000,108.530000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,308.700000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.960000,5.790000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.480000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,2034.97

18,04:15-04:30,0.000000,26.910000,0.000000,108.530000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,308.700000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.960000,5.790000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.480000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,2034.97

19,04:30-04:45,0.000000,32.000000,0.000000,108.530000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,308.700000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.960000,5.790000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.330000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.480000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,2039.48

20,04:45-05:00,0.000000,32.000000,0.000000,108.530000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,308.700000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.960000,5.790000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.330000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.480000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,2039.48

21,05:00-05:15,0.000000,32.000000,0.000000,108.530000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,73.320000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.960000,5.790000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.330000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.530000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1804.15

22,05:15-05:30,0.000000,32.000000,0.000000,108.530000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,73.320000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.960000,5.790000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.330000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.530000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1804.15

23,05:30-05:45,0.000000,32.000000,0.000000,108.530000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,73.320000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,5.790000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.330000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.530000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1803.19

24,05:45-06:00,0.000000,32.000000,0.000000,108.530000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,73.320000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,5.790000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.330000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.530000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1803.19

25,06:00-06:15,0.000000,32.000000,0.000000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,73.320000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.960000,4.820000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.330000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.530000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,0.000000,0.000000,48.240000,0,1644.96

