Column1,Block,GNA/SR/2024/12/01/6968,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/2024/24237/C,NR/2024/24238/C,NR/2024/24146/A/45185,NR/2024/24097/A/45191,NR/2024/24088/A/45193,NR/2024/24052/A/45202,NR/2024/24051/A/45203,NR/2024/24239/C,NR/2024/24060/A/45367,WR/2024/25054/A/45371,NR/2024/23952/A/45183,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/1599,GNA/WR/2024/10/15/7089,GNA/NR/2024/12/01/7739,GNA/WR/2024/11/01/4200,NR/30092023/26122029/SH-06,NR/2024/24071/A/45200,Total
22,05:15-05:30,150,1.92,0,0,0,5.77,7.69,4.81,2.89,0,0,17.31,0,0.43,25.97,25.97,8.66,25.97,8.66,95.13,0,31.71,0,0,0,412.89

23,05:30-05:45,150,1.92,0,0,0,5.77,14.43,4.81,2.89,2.89,0,17.31,0,0.43,25.97,25.97,8.66,25.97,8.66,95.13,0,31.71,0,0,0,422.52

24,05:45-06:00,150,1.92,0,0,0,5.77,14.43,4.81,2.89,2.89,0,17.31,0,0.43,25.97,25.97,8.66,25.97,8.66,95.13,0,31.71,0,0,0,422.52

25,06:00-06:15,150,1.84,0,0,0,5.77,14.43,4.81,2.89,2.89,0,17.31,0,0.43,28.85,28.85,8.66,28.85,8.66,0,0,0,0,0,0,304.24000000000007

26,06:15-06:30,150,1.84,0,0,0,5.77,14.43,4.81,2.89,2.89,0,17.31,0,0.43,28.85,28.85,8.66,28.85,8.66,0,0,0,0,0,0,304.24000000000007

27,06:30-06:45,150,1.84,0,0,0,5.77,14.43,4.81,2.89,2.89,0,17.31,0,0.43,31.74,31.74,8.66,31.74,8.66,0,0,0,0,0,0,312.9100000000001

28,06:45-07:00,150,1.84,0,0,0,5.77,14.43,4.81,2.89,2.89,0,17.31,0,0.43,31.74,31.74,8.66,31.74,8.66,0,0,0,0,0,0,312.9100000000001

29,07:00-07:15,150,1.84,0,0,0,5.77,14.43,4.81,2.89,2.89,0,28.85,0,0.53,31.74,31.74,8.66,31.74,8.66,0,0,0,0,0,0,324.55000000000007

30,07:15-07:30,150,1.84,0,0,0,5.77,14.43,4.81,2.89,2.89,0,28.85,0,0.53,31.74,31.74,8.66,31.74,8.66,0,0,0,0,0,0,324.55000000000007

31,07:30-07:45,150,1.84,0,0,0,5.77,14.43,4.81,2.89,2.89,0,28.85,0,0.53,34.62,34.62,8.66,34.62,8.66,0,0,0,0,0,0,333.19000000000005

32,07:45-08:00,150,1.84,0,0,0,5.77,14.43,4.81,2.89,2.89,0,28.85,0,0.53,34.62,34.62,8.66,34.62,8.66,0,0,0,0,0,0,333.19000000000005

33,08:00-08:15,150,1.84,0,0,0,5.77,14.43,4.81,2.89,2.89,0,28.85,0,0.82,36.54,36.54,11.54,36.54,11.54,0,0,0,0,0,0,345.00000000000006

34,08:15-08:30,150,1.84,0,0,0,5.77,14.43,4.81,2.89,2.89,0,28.85,0,0.82,36.54,36.54,11.54,36.54,11.54,0,0,0,0,0,0,345.00000000000006

35,08:30-08:45,150,1.84,0,0,0,5.77,7.69,4.81,2.89,0,0,28.85,0,0.82,36.54,36.54,11.54,36.54,11.54,0,0,0,0,0,0,335.37000000000006

36,08:45-09:00,150,1.84,0,0,0,5.77,7.69,4.81,2.89,0,0,28.85,0,0.82,36.54,36.54,11.54,36.54,11.54,0,0,0,0,0,0,335.37000000000006

37,09:00-09:15,150,1.92,0,11.16,24.91,5.77,7.69,4.81,2.89,0,16.83,28.85,0,0.82,28.85,28.85,8.66,28.85,8.66,0,0,0,0,0,3.85,363.37000000000006

38,09:15-09:30,150,1.92,0,0.96,29.62,5.77,7.69,4.81,2.89,0,16.83,28.85,0,0.82,28.85,28.85,8.66,28.85,8.66,0,0,0,0,0,3.85,357.8800000000001

39,09:30-09:45,150,1.92,0,2.89,33.18,5.77,7.69,4.81,2.89,0,16.83,28.85,0,0.82,28.85,28.85,8.66,28.85,8.66,0,0,0,0,0,3.85,363.37000000000006

40,09:45-10:00,150,1.92,0,0,36.06,5.77,7.69,4.81,2.89,0,16.83,28.85,0,0.82,28.85,28.85,8.66,28.85,8.66,0,0,0,0,0,3.85,363.36000000000007

41,10:00-10:15,150,1.84,0,0,36.06,5.77,7.69,4.81,2.89,0,16.83,28.85,0,0.82,28.85,28.85,8.66,28.85,8.66,0,0,0,0,0,4.81,364.24000000000007

42,10:15-10:30,150,1.84,0,0,36.06,5.77,7.69,4.81,2.89,0,16.83,28.85,0,0.82,28.85,28.85,8.66,28.85,8.66,0,0,0,0,0,4.81,364.24000000000007

43,10:30-10:45,150,1.84,0,0,36.06,5.77,7.69,4.81,2.89,0,16.83,28.85,0,0.82,28.85,28.85,8.66,28.85,8.66,0,0,0,0,0,4.81,364.24000000000007

44,10:45-11:00,150,1.84,0,0,36.06,5.77,7.69,4.81,2.89,0,16.83,28.85,0,0.82,28.85,28.85,8.66,28.85,8.66,0,0,0,0,0,4.81,364.24000000000007

45,11:00-11:15,150,1.84,0,0,23.64,5.77,7.69,0,3.85,0,16.83,28.85,0,0.82,25.97,25.97,8.66,25.97,8.66,0,0,0,0,0,4.41,338.93000000000006

46,11:15-11:30,150,1.84,0,0,23.11,5.77,7.69,0,3.85,0,16.83,28.85,0,0.82,25.97,25.97,8.66,25.97,8.66,0,0,0,0,0,4.32,338.30999999999995

47,11:30-11:45,150,1.84,0,0,22.84,5.77,7.69,0,3.85,0,16.83,28.85,0,0.82,25.97,25.97,8.66,25.97,8.66,0,0,0,0,0,4.26,337.97999999999996

48,11:45-12:00,150,1.84,0,0,22.55,5.77,7.69,0,3.85,0,16.83,28.85,0,0.82,25.97,25.97,8.66,25.97,8.66,0,0,0,0,0,4.21,337.64

49,12:00-12:15,150,1.84,0,0,22.39,5.77,7.69,0,3.85,0,16.83,28.85,0,0.82,25.97,25.97,8.66,25.97,8.66,0,0,0,0,0,4.18,337.45000000000005

50,12:15-12:30,150,1.84,0,0,22.54,5.77,7.69,0,3.85,0,16.83,28.85,0,0.82,25.97,25.97,8.66,25.97,8.66,0,0,0,0,0,4.2,337.62

51,12:30-12:45,150,1.84,0,0,22.31,5.77,7.69,0,3.85,0,16.83,28.85,0,0.82,25.97,25.97,8.66,25.97,8.66,0,0,0,0,0,4.16,337.35

52,12:45-13:00,150,1.84,0,0,22.36,5.77,7.69,0,3.85,0,16.83,28.85,0,0.82,25.97,25.97,8.66,25.97,8.66,0,0,0,0,0,4.17,337.40999999999997

53,13:00-13:15,150,1.84,0,0,22.44,5.77,7.69,0,3.85,0,16.83,28.85,0,0.77,25.97,25.97,8.66,25.97,8.66,0,0,0,0,0,3.59,336.86

54,13:15-13:30,150,1.84,0,0,22.54,5.77,7.69,0,3.85,0,16.83,28.85,0,0.77,25.97,25.97,8.66,25.97,8.66,0,0,0,0,0,3.61,336.9800000000001

55,13:30-13:45,150,1.84,0,0,22.74,5.77,7.69,0,3.85,0,16.83,28.85,0,0.77,25.97,25.97,8.66,25.97,8.66,0,0,0,0,0,3.64,337.2100000000001

56,13:45-14:00,150,1.84,0,0,23.15,5.77,7.69,0,3.85,0,16.83,28.85,0,0.77,25.97,25.97,8.66,25.97,8.66,0,0,0,0,0,3.7,337.68000000000006

57,14:00-14:15,150,1.84,0,0,36.06,5.77,7.69,0,3.85,0,16.83,28.85,0,0.77,25.97,25.97,8.66,25.97,8.66,0,0,0,0,0,4.81,351.70000000000005

58,14:15-14:30,150,1.84,0,0,36.06,5.77,7.69,0,3.85,0,16.83,28.85,0,0.77,25.97,25.97,8.66,25.97,8.66,0,0,0,0,0,4.81,351.70000000000005

59,14:30-14:45,150,1.84,0,0,36.06,5.77,7.69,0,3.85,0,16.83,28.85,0,0.77,25.97,25.97,8.66,25.97,8.66,0,0,0,0,0,4.81,351.70000000000005

60,14:45-15:00,150,1.84,0,0,36.06,5.77,7.69,0,3.85,0,16.83,28.85,0,0.77,25.97,25.97,8.66,25.97,8.66,0,0,0,0,0,4.81,351.70000000000005

61,15:00-15:15,150,1.84,0,0,36.06,5.77,7.69,0,3.85,0,16.83,28.85,0,0.63,25.97,25.97,8.66,25.97,8.66,0,0,0,0,0,4.81,351.56000000000006

62,15:15-15:30,150,1.84,0,0,33.47,5.77,7.69,0,3.85,0,16.83,28.85,0,0.63,25.97,25.97,8.66,25.97,8.66,0,0,0,0,0,4.81,348.97

63,15:30-15:45,150,1.84,0,0,29.43,5.77,7.69,0,3.85,0,16.83,28.85,0,0.63,31.74,31.74,8.66,31.74,8.66,0,0,0,0,0,4.81,362.24000000000007

64,15:45-16:00,150,1.84,0,0.67,25.2,5.77,7.69,0,3.85,0,16.83,28.85,0,0.63,31.74,31.74,8.66,31.74,8.66,0,0,0,0,0,4.81,358.68

65,16:00-16:15,150,1.84,0,10,20.77,5.77,7.69,0,3.85,0,16.83,28.85,0,0.48,31.74,31.74,8.66,31.74,8.66,0,0,0,0,0,2.89,361.51000000000005

66,16:15-16:30,150,1.84,0,0.58,16.45,5.77,7.69,0,3.85,0,16.83,28.85,0,0.48,31.74,31.74,8.66,31.74,8.66,0,0,0,0,0,2.89,347.77000000000004

67,16:30-16:45,150,1.84,0,0.38,12.31,5.77,7.69,0,3.85,0,16.83,28.85,0,0.48,36.54,36.54,9.62,36.54,9.62,0,0,0,0,0,2.89,359.75000000000006

68,16:45-17:00,150,1.84,0,7.5,8.46,5.77,7.69,0,3.85,0,16.83,28.85,0,0.48,36.54,36.54,9.62,36.54,9.62,0,0,0,0,0,2.89,363.02000000000004

69,17:00-17:15,150,1.92,0,0,0,5.77,7.69,3.85,3.85,0,0,28.85,0,0.48,37.51,37.51,12.5,37.51,12.5,0,0,0,0,0,0.96,340.8999999999999

70,17:15-17:30,150,1.92,0,0,0,5.77,7.69,3.85,3.85,0,0,28.85,0,0.48,37.51,37.51,12.5,37.51,12.5,0,0,0,0,0,0.96,340.8999999999999

71,17:30-17:45,150,1.92,0,0,0,5.77,7.69,3.85,3.85,0,0,28.85,0,0.48,37.51,37.51,12.5,37.51,12.5,0,0,0,0,0,0.96,340.8999999999999

72,17:45-18:00,150,1.92,0,0,0,5.77,7.69,3.85,3.85,0,0,28.85,0,0.48,37.51,37.51,12.5,37.51,12.5,0,0,0,0,0,0.96,340.8999999999999

73,18:00-18:15,150,1.92,0,0,0,5.77,7.69,3.85,3.85,0,0,28.85,38.47,0.53,37.51,37.51,12.5,37.51,12.5,0,150,0,50,0,0,578.46

74,18:15-18:30,150,1.92,0,0,0,5.77,7.69,3.85,3.85,0,0,28.85,38.47,0.53,37.51,37.51,12.5,37.51,12.5,0,150,0,50,0,0,578.46

75,18:30-18:45,150,1.92,0,0,0,5.77,7.69,3.85,3.85,0,0,28.85,38.47,0.53,37.51,37.51,12.5,37.51,12.5,0,150,0,50,0,0,578.46

76,18:45-19:00,150,1.92,0,0,0,5.77,7.69,3.85,3.85,0,0,28.85,38.47,0.53,37.51,37.51,12.5,37.51,12.5,0,150,0,50,0,0,578.46

77,19:00-19:15,150,1.92,0,0,0,5.77,7.69,3.85,3.85,0,0,28.85,38.47,0.53,37.51,37.51,8.66,37.51,8.66,0,150,0,50,0,0,570.78

78,19:15-19:30,150,1.92,0,0,0,5.77,7.69,3.85,3.85,0,0,28.85,38.47,0.53,37.51,37.51,8.66,37.51,8.66,0,150,0,50,0,0,570.78

79,19:30-19:45,150,1.92,0,0,0,5.77,7.69,3.85,3.85,0,0,28.85,38.47,0.53,37.51,37.51,8.66,37.51,8.66,0,150,0,50,0,0,570.78

80,19:45-20:00,150,1.92,0,0,0,5.77,7.69,3.85,3.85,0,0,28.85,38.47,0.53,37.51,37.51,8.66,37.51,8.66,0,150,0,50,0,0,570.78

81,20:00-20:15,150,1.92,0,0,0,5.77,7.69,3.85,3.85,0,0,28.85,38.47,0.53,34.62,34.62,8.66,34.62,8.66,0,250,0,50,0,0,662.11

82,20:15-20:30,150,1.92,0,0,0,5.77,7.69,3.85,3.85,0,0,28.85,38.47,0.53,34.62,34.62,8.66,34.62,8.66,0,250,0,50,0,0,662.11

83,20:30-20:45,150,1.92,0,0,0,5.77,7.69,3.85,3.85,0,0,28.85,38.47,0.53,34.62,34.62,8.66,34.62,8.66,0,250,0,50,0,0,662.11

84,20:45-21:00,150,1.92,0,0,0,5.77,7.69,3.85,3.85,0,0,28.85,38.47,0.53,34.62,34.62,8.66,34.62,8.66,0,250,0,50,0,0,662.11

85,21:00-21:15,150,1.92,0,0,0,5.77,7.69,3.85,3.85,0,0,28.85,38.47,0.53,31.74,31.74,8.66,31.74,8.66,0,250,0,50,0,0,653.47

86,21:15-21:30,150,1.92,0,0,0,5.77,7.69,3.85,3.85,0,0,28.85,38.47,0.53,31.74,31.74,8.66,31.74,8.66,0,250,0,50,0,0,653.47

87,21:30-21:45,150,1.92,0,0,0,5.77,7.69,3.85,3.85,0,0,28.85,38.47,0.53,31.74,31.74,8.66,31.74,8.66,0,250,0,50,0,0,653.47

88,21:45-22:00,150,1.92,0,0,0,5.77,7.69,3.85,3.85,0,0,28.85,38.47,0.53,31.74,31.74,8.66,31.74,8.66,0,250,0,50,0,0,653.47

89,22:00-22:15,150,1.84,0,0,0,5.77,7.69,0.96,2.89,0,0,28.85,38.47,0.48,25.97,25.97,8.66,25.97,8.66,95.13,250,31.71,50,0,0,759.02

90,22:15-22:30,150,1.84,0,0,0,5.77,7.69,0.96,2.89,0,0,28.85,38.47,0.48,25.97,25.97,8.66,25.97,8.66,95.13,250,31.71,50,0,0,759.02

91,22:30-22:45,150,1.84,0,0,0,5.77,7.69,0.96,2.89,0,0,28.85,38.47,0.48,25.97,25.97,8.66,25.97,8.66,95.13,250,31.71,50,0,0,759.02

92,22:45-23:00,150,1.84,0,0,0,5.77,7.69,0.96,2.89,0,0,28.85,38.47,0.48,25.97,25.97,8.66,25.97,8.66,95.13,250,31.71,50,0,0,759.02

93,23:00-23:15,150,1.84,0,0,0,5.77,7.69,0.96,2.89,0,0,28.85,38.47,0.43,25.97,25.97,8.66,25.97,8.66,95.13,250,31.71,50,0,0,758.97

94,23:15-23:30,150,1.84,0,0,0,5.77,7.69,0.96,2.89,0,0,28.85,38.47,0.43,25.97,25.97,8.66,25.97,8.66,95.13,250,31.71,50,0,0,758.97

95,23:30-23:45,150,1.84,0,0,0,5.77,7.69,0.96,2.89,0,0,28.85,38.47,0.43,25.97,25.97,8.66,25.97,8.66,95.13,250,31.71,50,0,0,758.97

96,23:45-24:00,150,1.84,0,0,0,5.77,7.69,0.96,2.89,0,0,28.85,38.47,0.43,25.97,25.97,8.66,25.97,8.66,95.13,250,31.71,50,0,0,758.97

