Block,Time,BSIUL,MAPS,PARBATI2,TANDA2,UNCHAHAR4,DADRI_RF,CHAMERA1,DULHASTI,KHSTPP-I,KKNP,RAPPB,RIHAND2,RSTPSU1TO6,JHAJJAR,NLCEXP,SEWA2,SIMHST1,TANAKPUR,TEHRIPSP,ANTA_CRF,ANTA_GF,AURY_CRF,KKNPPU2,KOTESHWR,NLCIIST1,NLCTS2EXP,PARBATI3,RSTPSU7,SIMHST2,UNCHAHAR3,AURY_GF,DADRI_LF,CHAMERA2,CHAMERA3,KGSU1AND2,KGSU3AND4,NLCIIST2,NNTPP,RAMPUR,RAPPC,RAPPD,SASAN,TALA,TALST2,UNCHAHAR2,URI,ANTA_LF,AURY_LF,DADRI_CRF,BRBCL,DADRT2,FSTPP I & II,KOLDAM,KUDGI,NJPC,SALAL,SINGRAULI_HYDRO,UNCHAHAR1,URI2,ANTA_RF,DADRI_GF,NAPP,NTPL,RIHAND3,SINGRAULI,TelanganaSTPP,AURY_RF,DHAULIGNGA,KHSTPP-II,KISHANGANGA,RIHAND1,TEHRI,VALLURNTECL
9,02:00-02:15,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,538.95,0,0,0,13.06,0,0,0,0,0,40.57,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.23,0,45,24.29,0,0,0,24.99,549.38,18.76,8.62,0,175.79,84.24,0.96,21.65,24.94,51.2,0,24.87,0,130.84,134.74,0,80,0,148.3,7.05,98.32,57.67,0

10,02:15-02:30,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,538.95,0,0,0,13.06,0,0,0,0,0,40.57,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.23,0,45,26.49,0,0,0,24.99,549.38,18.76,8.62,0,175.79,84.24,0.96,21.65,24.94,51.2,0,24.87,0,130.84,134.74,0,80,0,148.3,7.05,98.32,57.67,0

11,02:30-02:45,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,536.55,0,0,0,13.06,0,0,0,0,0,40.57,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.67,0,45,26.49,0,0,0,24.99,549.38,18.76,8.62,0,175.79,84.24,0.96,21.65,23.38,51.2,0,24.87,0,130.84,134.74,0,80,0,148.3,7.05,98.32,57.67,0

12,02:45-03:00,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,536.55,0,0,0,13.06,0,0,0,0,0,40.57,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.67,0,45,26.49,0,0,0,24.99,549.38,18.76,8.62,0,175.79,84.24,0.96,21.65,23.38,51.2,0,24.87,0,130.84,134.74,0,80,0,148.3,7.05,98.32,57.67,0

13,03:00-03:15,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,538.95,0,0,0,11.91,0,0,0,0,0,40.57,0,0,32.71,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.67,0,45,28.71,0,0,0,24.99,626.71,18.76,8.62,0,175.79,81.34,0.96,21.65,23.38,51.84,0,24.87,0,130.84,134.74,0,80,0,148.3,7.05,98.32,57.67,0

14,03:15-03:30,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,538.95,0,0,0,11.91,0,0,0,0,0,40.57,0,0,32.71,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.67,0,45,28.71,0,0,0,24.99,626.46,18.76,8.62,0,175.79,81.34,0.96,21.65,23.38,51.84,0,24.87,0,130.84,134.74,0,80,0,148.3,7.05,98.32,57.67,0

15,03:30-03:45,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,573.95,0,0,0,11.91,0,0,0,0,0,40.57,0,0,32.71,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.67,0,40.39,33.12,0,0,0,24.99,626.46,18.76,8.62,0,175.79,81.34,0.96,21.65,23.38,51.84,0,24.87,0,130.84,134.74,0,80,0,148.3,7.05,98.32,57.67,0

16,03:45-04:00,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,40.57,0,0,32.71,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.67,0,40.39,33.12,0,0,0,24.99,626.46,18.76,8.62,0,175.79,81.34,0.96,21.65,23.38,51.84,0,24.87,0,130.84,134.74,0,80,0,148.3,7.05,98.32,57.67,0

17,04:00-04:15,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,30.43,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.67,0,40.39,33.12,0,0,0,24.99,626.46,18.76,8.62,0,175.79,81.34,0.96,21.65,23.38,51.84,0,24.87,0,130.84,134.74,0,80,0,148.3,7.05,98.32,57.67,0

18,04:15-04:30,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,30.43,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.67,0,40.39,33.12,0,0,0,24.99,689.38,18.76,8.62,0,175.79,81.34,0.96,21.65,23.38,51.84,0,24.87,0,130.84,134.74,0,80,0,148.3,7.05,98.32,57.67,0

19,04:30-04:45,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,30.43,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.67,0,40.39,33.12,0,0,0,24.99,689.38,18.76,8.62,0,175.79,81.34,0.96,21.65,23.38,51.84,0,24.87,0,130.84,134.74,0,80,0,148.3,7.05,98.32,57.67,0

20,04:45-05:00,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,30.43,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.67,0,40.39,33.12,0,0,0,24.99,689.38,18.76,8.62,0,175.79,81.34,0.96,21.65,23.38,51.84,0,24.87,0,130.84,134.74,0,80,0,148.3,7.05,98.32,57.67,0

21,05:00-05:15,19.56,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,30.43,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.67,0,40.39,52.36,0,0,0,24.99,681.98,18.76,8.62,0,175.79,81.34,0.96,21.65,23.38,51.84,0,24.87,0,130.84,134.74,0,80,0,148.3,7.05,98.32,57.67,0

22,05:15-05:30,19.56,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,30.43,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.52,0,40.39,52.36,0,0,0,24.99,689.38,18.76,8.62,0,175.79,81.34,0.96,21.65,23.38,51.84,0,24.87,0,130.84,134.74,0,80,0,148.3,7.05,98.32,57.67,0

23,05:30-05:45,19.56,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,30.43,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.38,0,40.39,52.36,0,0,0,24.99,675.91,18.76,8.62,0,175.79,81.34,0.96,21.65,23.38,51.84,0,24.87,0,130.84,134.74,0,80,0,148.3,7.05,98.32,57.67,0

24,05:45-06:00,19.56,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,30.43,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.08,0,40.39,24.29,0,0,0,24.99,686.37,18.76,8.62,0,175.79,81.34,0.96,21.65,23.38,51.84,0,24.87,0,130.84,134.74,0,80,0,148.3,7.05,98.32,57.67,0

25,06:00-06:15,19.56,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,536.55,0,0,0,11.91,0,0,0,0,0,20.29,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,12.94,0,40.39,26.49,0,0,0,24.99,626.48,18.76,8.62,0,175.79,81.34,0.96,21.65,38.97,51.84,0,24.87,0,130.84,134.74,0,80,0,148.3,7.05,98.32,57.67,0

26,06:15-06:30,19.56,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,536.55,0,0,0,11.91,0,0,0,0,0,20.29,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,12.79,0,40.39,26.49,0,0,0,24.99,626.48,18.76,8.62,0,175.79,81.34,0.96,21.65,38.97,51.84,0,24.87,0,130.84,134.74,0,80,0,148.3,7.05,98.32,57.67,0

27,06:30-06:45,19.56,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,536.55,0,0,0,11.91,0,0,0,0,0,20.29,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,12.64,0,40.39,26.49,0,0,0,24.99,626.48,18.76,8.62,0,175.79,81.34,0.96,21.65,38.97,51.84,0,24.87,0,130.84,134.74,0,80,0,148.3,7.05,98.32,57.67,0

28,06:45-07:00,19.56,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,20.29,0,0,38.65,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,12.49,0,40.39,26.49,0,0,0,24.99,626.46,18.76,8.62,0,175.79,81.34,0.96,21.65,38.97,51.84,0,24.87,0,130.84,134.74,0,80,0,148.3,7.05,98.32,57.67,0

29,07:00-07:15,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,49.06,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,12.49,0,40.39,26.49,0,0,0,24.99,689.38,18.76,8.62,0,175.79,81.34,0.96,21.65,38.97,51.2,0,24.87,0,130.84,134.74,0,79.48,0,148.3,7.05,98.32,57.67,0

30,07:15-07:30,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,49.06,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,12.49,0,40.39,26.49,0,0,0,24.99,689.38,18.76,8.62,0,175.79,81.34,0.96,21.65,38.97,51.2,0,24.87,0,130.84,134.74,0,79.48,0,148.3,7.05,98.32,57.67,0

31,07:30-07:45,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,49.06,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,12.49,0,40.39,52.36,0,0,0,24.99,689.38,18.76,8.62,0,175.79,81.34,0.96,21.65,23.38,51.2,0,24.87,0,130.84,134.74,0,79.48,0,148.3,7.05,98.32,57.67,0

32,07:45-08:00,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,49.06,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,12.79,0,40.39,52.36,0,0,0,24.99,689.38,18.76,8.62,0,175.79,81.34,0.96,21.65,23.38,51.2,0,24.87,0,130.84,134.74,0,79.48,0,148.3,7.05,98.32,57.67,0

33,08:00-08:15,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,41.62,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,12.94,0,40.39,52.36,0,0,0,24.99,689.38,18.76,8.62,0,175.79,81.34,0.96,21.65,24.94,50.57,0,24.87,0,130.84,134.74,0,79.22,0,148.3,7.05,98.32,43.26,0

34,08:15-08:30,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,41.62,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.08,0,45,52.36,0,0,0,24.99,689.38,18.76,8.62,0,175.79,81.34,0.96,21.65,24.94,50.57,0,24.87,0,130.84,134.74,0,79.22,0,148.3,7.05,98.32,28.83,0

35,08:30-08:45,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,41.62,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,17.5,0,45,26.49,0,0,0,24.99,689.38,18.76,8.62,0,175.79,81.34,0.96,21.65,24.94,50.57,0,24.87,0,130.84,134.74,0,79.22,0,148.3,7.05,98.32,14.42,0

36,08:45-09:00,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,41.62,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,17.64,0,45,44.16,0,0,0,24.99,689.38,18.76,8.62,0,175.79,81.34,0.96,21.65,24.94,50.57,0,24.87,0,130.84,134.74,0,79.22,0,148.3,7.05,98.32,0,0

37,09:00-09:15,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,17.78,0,45,26.49,0,0,0,24.99,689.38,18.76,8.62,0,175.79,81.34,0.96,21.65,24.94,49.31,0,24.87,0,130.84,134.74,0,79.22,0,148.3,7.05,98.32,0,0

38,09:15-09:30,13.04,0,0,5.73,3.22,52.7,28.1,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,17.78,0,45,26.49,0,0,0,24.99,689.38,18.76,8.62,0,175.79,81.34,0.96,21.65,24.94,49.31,0,24.87,0,130.84,134.74,0,79.22,0,148.3,7.05,98.32,0,0

39,09:30-09:45,13.04,0,0,5.73,3.22,52.7,14.05,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,6.17,0,45,26.49,0,0,0,24.99,689.38,18.76,8.62,0,175.79,81.34,0.96,21.65,24.94,49.31,0,24.87,0,130.84,134.74,0,79.22,0,148.3,7.05,98.32,0,0

40,09:45-10:00,13.04,0,0,5.73,3.22,52.7,0,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,6.17,0,45,26.49,0,0,0,24.99,689.38,18.76,8.62,0,175.79,81.34,0.96,21.65,24.94,49.31,0,24.87,0,130.84,134.74,0,79.22,0,148.3,7.05,98.32,0,0

41,10:00-10:15,13.04,0,0,5.73,3.22,52.7,0,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,6.17,0,45,52.36,0,0,0,24.99,689.38,19.46,8.62,0,175.79,81.34,0.96,21.65,21.82,49.31,0,24.87,0,130.84,134.74,0,78.44,0,148.3,7.05,98.32,0,0

42,10:15-10:30,13.04,0,0,5.73,3.22,52.7,0,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,6.17,0,45,52.36,0,0,0,24.99,689.38,19.46,8.62,0,175.79,81.34,0.96,21.65,21.82,49.31,0,24.87,0,130.84,134.74,0,78.44,0,148.3,7.05,98.32,0,0

43,10:30-10:45,13.04,0,0,5.73,3.22,52.7,0,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,292.5,5.29,0,45,37.53,0,0,0,24.99,689.38,19.46,8.62,0,175.79,81.34,0.96,21.65,28.06,49.31,0,24.87,0,130.84,134.74,0,77.66,0,148.3,7.05,98.32,0,0

44,10:45-11:00,13.04,0,0,5.73,3.22,52.7,0,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,303.75,5.29,0,45,37.53,0,0,0,24.99,689.38,19.46,8.62,0,175.79,81.34,0.96,21.65,28.06,49.31,0,24.87,0,130.84,134.74,0,77.66,0,148.3,7.05,98.32,0,0

45,11:00-11:15,13.04,0,0,5.73,3.22,52.7,0,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,22.3,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,315,5.29,0,45,37.53,0,0,0,24.99,689.38,19.46,8.62,0,175.79,53.45,0.96,21.65,24.94,48.68,0,24.87,0,130.84,134.74,0,77.66,0,148.3,7.05,98.32,0,0

46,11:15-11:30,13.04,0,0,5.73,3.22,52.7,0,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,22.3,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,326.25,5.29,0,45,37.53,0,0,0,24.99,689.38,19.46,8.62,0,175.79,53.45,0.96,21.65,24.94,48.68,0,24.87,0,130.84,134.74,0,77.66,0,148.3,7.05,98.32,0,0

47,11:30-11:45,13.04,0,0,5.73,3.22,52.7,0,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,331.88,5.59,0,45,37.53,0,0,0,24.99,689.38,19.46,8.62,0,175.79,80.76,0.96,21.65,24.94,48.68,0,24.87,0,130.84,134.74,0,76.62,0,148.3,7.05,98.32,0,0

48,11:45-12:00,13.04,0,0,5.73,3.22,52.7,0,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,331.88,5.59,0,45,37.53,0,0,0,24.99,689.38,19.46,8.62,0,175.79,80.76,0.96,21.65,24.94,48.68,0,24.87,0,130.84,134.74,0,76.62,0,148.3,7.05,98.32,0,0

49,12:00-12:15,13.04,0,0,5.73,3.22,52.7,0,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,331.88,5.59,0,45,37.53,0,0,0,24.99,689.38,19.46,8.62,0,175.79,80.76,0.96,21.65,26.5,48.04,0,24.87,0,130.84,134.74,0,76.62,0,148.3,7.05,98.32,0,0

50,12:15-12:30,13.04,0,0,5.73,3.22,52.7,0,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,331.88,5.59,0,45,37.53,0,0,0,24.99,689.38,19.46,8.62,0,175.79,80.76,0.96,21.65,26.5,48.04,0,24.87,0,130.84,134.74,0,76.62,0,148.3,7.05,98.32,0,0

51,12:30-12:45,13.04,0,0,5.73,3.22,52.7,0,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,331.88,11.08,0,45,37.53,0,0,0,24.99,689.38,19.46,8.62,0,175.79,80.76,0.96,21.65,28.06,48.04,0,24.87,0,130.84,134.74,0,76.62,0,148.3,7.05,98.32,0,0

52,12:45-13:00,13.04,0,0,5.73,3.22,52.7,0,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,35.68,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,331.88,11.08,0,45,37.53,0,0,0,24.99,689.38,19.46,8.62,0,175.79,80.76,0.96,21.65,28.06,48.04,0,24.87,0,130.84,134.74,0,76.62,0,148.3,7.05,98.32,0,0

53,13:00-13:15,13.04,0,0,5.73,3.22,52.7,0,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,32.71,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,331.88,11.97,0,45,37.53,0,0,0,24.99,689.38,19.46,8.62,0,175.79,81.34,0.96,21.65,28.06,48.04,0,24.87,0,130.84,134.74,0,76.62,0,148.3,7.05,98.32,0,0

54,13:15-13:30,13.04,0,0,5.73,3.22,52.7,0,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,32.71,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,331.88,11.97,0,45,37.53,0,0,0,24.99,689.38,19.46,8.62,0,175.79,81.34,0.96,21.65,28.06,47.41,0,24.87,0,130.84,134.74,0,76.62,0,148.3,7.05,98.32,0,0

55,13:30-13:45,13.04,0,0,5.73,3.22,52.7,14.05,55.38,45.53,0,0,125.27,0,667.25,0,0,0,11.91,0,0,0,0,0,10.14,0,0,32.71,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,331.88,6.47,0,45,37.53,0,0,0,24.99,689.38,19.46,8.62,0,175.79,81.34,0.96,21.65,28.06,47.41,0,24.87,0,130.84,134.74,0,76.62,0,148.3,7.05,98.32,0,0

