Time,Block,NR/2024/20540/A/21967,NR/2024/20597/A/22246,NR/2024/20773/C,NR/2024/20558/A/22566,NR/2024/20109/A/22515,NR/2024/19588/A/22227,NR/2024/20050/A/22252,NR/2024/20516/A/22223,NR/2024/19791/A/22527,NR/2024/19432/A/22575,NR/2024/20524/A/22488,NR/2024/20513/A/22224,NR/2024/20560/A/22565,NR/2024/19683/A/22067,NR/2024/19918/A/22526,NR/2024/19640/A/22627,NR/2024/19760/A/22169,NR/2024/20557/A/22567,NR/2024/20211/A/22219,NR/2024/20811/C,NR/2024/20130/A/22467,NR/2024/20144/A/22220,NR/2024/20048/A/22254,NR/2024/19779/A/22028,NR/2024/20554/A/22146,NR/2024/20552/A/22047,NR/2024/20142/A/22221,NR/2024/20041/A/22257,NR/2024/20037/A/22166,NR/2024/20212/A/22215,NR/2024/19699/A/22573,NR/2024/19637/A/22185,NR/2024/20772/C,NR/2024/20537/A/22514,NR/2024/20806/C,NR/2024/20812/C,NR/2024/20572/A/22564,NR/2024/20827/C,NR/2024/19475/A/22472,NR/2024/20553/A/22046,NR/2024/20599/A/22164,NR/2024/19919/A/22525,NR/2024/20785/C,NR/2024/19642/A/22626,NR/2024/19988/A/22168,NR/2024/19355/A/22516,NR/2024/19966/A/22195,NR/2024/20090/A/22050,NR/2024/20515/A/22225,NR/2024/20141/A/22222,NR/2024/19757/A/22571,NR/2024/20598/A/22163,NR/2024/20814/C,NR/2024/20797/C,Total
4,00:45-01:00,7.730000,0.000000,0,18.700000,241.500000,66.840000,144.900000,0.980000,36.790000,13.720000,19.320000,0.680000,18.700000,1.930000,7.680000,51.570000,0.000000,6.230000,1.590000,48.300000,0.480000,0.880000,48.300000,0.630000,0.000000,16.460000,0.520000,0.000000,41.140000,0.610000,27.420000,0.000000,0.000000,0.000000,96.600000,130.600000,18.700000,67.620000,109.720000,27.420000,0.000000,175.540000,0.000000,6.670000,96.600000,54.860000,0.000000,1.930000,0.880000,0.350000,27.640000,0.000000,0.000000,68.590000,1707.32

5,01:00-01:15,7.730000,0.000000,0,16.280000,241.500000,66.840000,144.900000,0.980000,32.020000,11.940000,19.320000,0.680000,16.280000,1.930000,6.680000,44.880000,0.000000,5.420000,1.590000,48.300000,0.480000,0.880000,48.300000,0.580000,0.000000,14.330000,0.520000,0.000000,35.810000,0.610000,23.870000,0.000000,0.000000,0.000000,96.600000,130.600000,0.000000,0.000000,95.480000,23.870000,0.000000,152.770000,0.000000,5.800000,96.600000,47.740000,0.000000,1.930000,0.880000,0.350000,24.050000,0.000000,0.000000,68.590000,1537.91

6,01:15-01:30,7.730000,0.000000,0,15.760000,241.500000,66.840000,144.900000,0.980000,31.000000,11.550000,19.320000,0.680000,15.760000,1.930000,6.470000,43.440000,0.000000,5.250000,1.590000,48.300000,0.480000,0.880000,48.300000,0.580000,0.000000,13.860000,0.520000,0.000000,34.660000,0.610000,23.110000,0.000000,0.000000,0.000000,96.600000,130.600000,0.000000,0.000000,92.440000,23.110000,0.000000,147.890000,0.000000,5.610000,96.600000,46.210000,0.000000,1.930000,0.880000,0.350000,23.280000,0.000000,0.000000,68.590000,1520.09

7,01:30-01:45,7.730000,0.000000,0,15.440000,241.500000,66.840000,144.900000,0.980000,30.370000,11.320000,19.320000,0.680000,15.440000,1.930000,6.340000,42.560000,0.000000,5.140000,1.590000,48.300000,0.480000,0.880000,48.300000,0.580000,0.000000,13.580000,0.520000,0.000000,33.950000,0.610000,22.640000,0.000000,0.000000,0.000000,96.600000,130.600000,0.000000,0.000000,90.550000,22.640000,0.000000,144.880000,0.000000,5.500000,96.600000,45.280000,0.000000,1.930000,0.880000,0.350000,22.810000,0.000000,0.000000,68.590000,1509.13

8,01:45-02:00,7.730000,0.000000,0,15.100000,241.500000,66.840000,144.900000,0.980000,29.700000,11.070000,19.320000,0.680000,15.100000,1.930000,6.200000,41.620000,0.000000,5.030000,1.590000,48.300000,0.480000,0.880000,48.300000,0.580000,0.000000,13.280000,0.520000,0.000000,33.210000,0.610000,22.140000,0.000000,0.000000,0.000000,96.600000,130.600000,0.000000,0.000000,88.560000,22.140000,0.000000,141.690000,0.000000,5.380000,96.600000,44.280000,0.000000,1.930000,0.880000,0.350000,22.300000,0.000000,0.000000,68.590000,1497.49

9,02:00-02:15,7.730000,0.000000,0,14.670000,241.500000,66.840000,144.900000,0.980000,28.870000,10.760000,0.000000,0.680000,14.670000,1.930000,6.030000,40.470000,0.000000,4.890000,1.590000,48.300000,0.480000,0.880000,48.300000,0.530000,0.000000,0.000000,0.520000,0.000000,32.280000,0.610000,21.520000,0.000000,0.000000,0.000000,96.600000,130.600000,14.670000,0.000000,86.090000,0.000000,0.000000,137.750000,0.000000,5.230000,96.600000,43.040000,0.000000,1.930000,0.880000,0.350000,21.690000,0.000000,0.000000,68.590000,1443.95

10,02:15-02:30,7.730000,0.000000,0,14.510000,241.500000,66.840000,144.900000,0.980000,28.550000,10.640000,0.000000,0.680000,14.510000,1.930000,5.960000,39.990000,0.000000,4.830000,1.590000,48.300000,0.480000,0.880000,48.300000,0.530000,0.000000,0.000000,0.520000,0.000000,31.920000,0.610000,21.270000,0.000000,0.000000,0.000000,96.600000,130.600000,14.510000,0.000000,85.090000,0.000000,0.000000,136.160000,0.000000,5.170000,96.600000,42.550000,0.000000,1.930000,0.880000,0.350000,21.440000,0.000000,0.000000,44.440000,1414.27

11,02:30-02:45,7.730000,0.000000,0,13.010000,241.500000,66.840000,144.900000,0.980000,25.620000,9.540000,0.000000,0.680000,13.010000,1.930000,5.340000,35.900000,0.000000,4.340000,1.590000,48.300000,0.480000,0.880000,48.300000,0.530000,0.000000,0.000000,0.520000,0.000000,28.640000,0.610000,19.090000,0.000000,0.000000,0.000000,96.600000,130.600000,13.010000,0.000000,76.370000,0.000000,0.000000,122.190000,0.000000,4.640000,96.600000,38.190000,0.000000,1.930000,0.880000,0.350000,19.230000,0.000000,0.000000,44.440000,1365.29

12,02:45-03:00,7.730000,0.000000,0,11.520000,241.500000,66.840000,144.900000,0.980000,22.670000,8.450000,0.000000,0.680000,11.520000,1.930000,4.730000,31.770000,0.000000,3.840000,1.590000,48.300000,0.480000,0.880000,48.300000,0.530000,0.000000,0.000000,0.520000,0.000000,25.350000,0.610000,16.900000,0.000000,0.000000,0.000000,96.600000,130.600000,11.520000,0.000000,67.590000,0.000000,0.000000,108.140000,0.000000,4.110000,96.600000,33.800000,0.000000,1.930000,0.880000,0.350000,17.030000,0.000000,0.000000,44.440000,1316.11

13,03:00-03:15,6.760000,0.000000,0,11.500000,183.540000,66.840000,144.900000,0.980000,22.620000,8.430000,0.000000,0.680000,11.500000,1.930000,4.720000,31.700000,0.000000,3.840000,1.590000,48.300000,0.480000,0.880000,48.300000,0.480000,0.000000,0.000000,0.520000,0.000000,25.300000,0.610000,16.870000,0.000000,0.000000,57.960000,96.600000,130.600000,11.500000,0.000000,67.470000,0.000000,0.000000,107.940000,0.000000,4.100000,96.600000,33.730000,0.000000,1.930000,0.880000,0.350000,16.990000,0.000000,0.000000,44.440000,1314.36

14,03:15-03:30,6.760000,0.000000,0,11.280000,183.540000,66.840000,144.900000,0.980000,22.210000,8.280000,0.000000,0.680000,11.280000,1.930000,4.640000,31.110000,0.000000,3.760000,1.590000,48.300000,0.480000,0.880000,48.300000,0.480000,0.000000,0.000000,0.520000,0.000000,24.830000,0.610000,16.550000,0.000000,0.000000,57.960000,96.600000,130.600000,11.280000,0.000000,66.210000,0.000000,0.000000,105.930000,0.000000,4.020000,96.600000,33.100000,0.000000,1.930000,0.880000,0.350000,16.680000,0.000000,0.000000,44.440000,1307.31

15,03:30-03:45,6.760000,0.000000,0,12.170000,183.540000,66.840000,144.900000,0.980000,23.950000,8.930000,0.000000,0.680000,12.170000,1.930000,4.990000,33.560000,0.000000,4.060000,1.590000,48.300000,0.480000,0.880000,48.300000,0.480000,0.000000,0.000000,0.520000,0.000000,26.780000,0.610000,17.850000,0.000000,0.000000,57.960000,96.600000,130.600000,12.170000,0.000000,71.410000,0.000000,0.000000,114.250000,0.000000,4.340000,96.600000,35.700000,0.000000,1.930000,0.880000,0.350000,17.990000,0.000000,0.000000,44.440000,1336.47

16,03:45-04:00,6.760000,0.000000,0,12.700000,183.540000,66.840000,144.900000,0.980000,25.000000,9.320000,0.000000,0.680000,12.700000,1.930000,5.220000,35.040000,0.000000,4.230000,1.590000,48.300000,0.480000,0.880000,48.300000,0.480000,0.000000,0.000000,0.520000,0.000000,27.960000,0.610000,18.630000,0.000000,0.000000,57.960000,96.600000,130.600000,12.700000,0.000000,74.540000,0.000000,0.000000,119.260000,0.000000,4.530000,96.600000,37.270000,0.000000,1.930000,0.880000,0.350000,18.780000,0.000000,0.000000,44.440000,1354.03

17,04:00-04:15,6.760000,0.000000,0,13.390000,183.540000,66.840000,144.900000,0.980000,26.330000,9.810000,0.000000,0.680000,13.390000,1.930000,5.500000,36.910000,0.000000,4.460000,1.590000,48.300000,0.480000,0.880000,48.300000,0.480000,0.000000,0.000000,0.520000,0.000000,29.440000,0.610000,19.630000,0.000000,0.000000,57.960000,96.600000,130.600000,13.390000,0.000000,78.530000,0.000000,0.000000,125.640000,0.000000,4.770000,96.600000,39.260000,0.000000,1.930000,0.880000,0.350000,19.780000,0.000000,0.000000,0.000000,1331.94

18,04:15-04:30,6.760000,0.000000,0,12.880000,183.540000,66.840000,144.900000,0.980000,25.350000,9.450000,0.000000,0.680000,12.880000,1.930000,5.290000,35.520000,0.000000,4.290000,1.590000,48.300000,0.480000,0.880000,48.300000,0.480000,0.000000,0.000000,0.520000,0.000000,28.340000,0.610000,18.890000,0.000000,0.000000,57.960000,96.600000,130.600000,12.880000,0.000000,75.570000,0.000000,0.000000,120.910000,0.000000,4.590000,96.600000,37.790000,0.000000,1.930000,0.880000,0.350000,19.040000,0.000000,0.000000,0.000000,1315.38

19,04:30-04:45,6.760000,0.000000,0,13.290000,183.540000,66.840000,144.900000,0.980000,26.150000,9.750000,0.000000,0.680000,13.290000,1.930000,5.460000,36.650000,0.000000,4.420000,1.590000,48.300000,0.480000,0.880000,48.300000,0.480000,0.000000,0.000000,0.520000,0.000000,29.240000,0.610000,19.490000,0.000000,0.000000,57.960000,96.600000,130.600000,13.290000,0.000000,77.970000,0.000000,0.000000,124.750000,0.000000,4.730000,96.600000,38.990000,0.000000,1.930000,0.880000,0.350000,19.640000,0.000000,0.000000,0.000000,1328.82

20,04:45-05:00,6.760000,0.000000,0,12.830000,183.540000,66.840000,144.900000,0.980000,25.230000,9.410000,0.000000,0.680000,12.830000,1.930000,5.260000,35.370000,0.000000,4.270000,1.590000,48.300000,0.480000,0.880000,48.300000,0.480000,0.000000,0.000000,0.520000,0.000000,28.220000,0.610000,18.810000,0.000000,0.000000,57.960000,96.600000,130.600000,12.830000,0.000000,75.240000,0.000000,0.000000,120.380000,0.000000,4.570000,96.600000,37.620000,0.000000,1.930000,0.880000,0.350000,18.950000,0.000000,0.000000,0.000000,1313.53

21,05:00-05:15,6.760000,0.000000,0,7.060000,183.540000,66.840000,144.900000,0.980000,13.890000,5.180000,0.000000,0.680000,7.060000,1.930000,2.900000,19.460000,0.000000,2.350000,1.590000,48.300000,0.480000,0.880000,48.300000,0.530000,0.000000,0.000000,0.520000,0.000000,15.520000,0.610000,10.360000,0.000000,0.000000,57.960000,96.600000,130.600000,7.060000,0.000000,41.400000,0.000000,0.000000,15.740000,0.000000,2.510000,96.600000,20.700000,0.000000,1.930000,0.880000,0.350000,10.430000,0.000000,0.000000,0.000000,1073.38

22,05:15-05:30,6.760000,0.000000,0,8.110000,183.540000,66.840000,144.900000,0.980000,15.970000,5.950000,0.000000,0.680000,8.110000,1.930000,3.330000,22.380000,0.000000,2.700000,1.590000,48.300000,0.480000,0.880000,48.300000,0.530000,0.000000,0.000000,0.520000,0.000000,17.860000,0.610000,11.900000,0.000000,0.000000,57.960000,96.600000,130.600000,8.110000,0.000000,47.620000,0.000000,0.000000,18.090000,0.000000,2.890000,96.600000,23.810000,0.000000,1.930000,0.880000,0.350000,12.000000,0.000000,0.000000,0.000000,1100.59

23,05:30-05:45,6.760000,0.000000,0,10.370000,183.540000,66.840000,144.900000,0.980000,20.420000,7.610000,0.000000,0.680000,10.370000,1.930000,4.260000,28.610000,0.000000,3.460000,1.590000,48.300000,0.480000,0.880000,48.300000,0.530000,0.000000,0.000000,0.520000,0.000000,22.840000,0.610000,15.220000,0.000000,0.000000,57.960000,96.600000,130.600000,10.370000,0.000000,60.890000,0.000000,0.000000,23.140000,0.000000,3.700000,96.600000,30.440000,0.000000,1.930000,0.880000,0.350000,15.340000,0.000000,0.000000,0.000000,1158.8

24,05:45-06:00,6.760000,0.000000,0,12.270000,183.540000,66.840000,144.900000,0.980000,24.130000,8.990000,0.000000,0.680000,12.270000,1.930000,5.030000,33.820000,0.000000,4.090000,1.590000,48.300000,0.480000,0.880000,48.300000,0.530000,0.000000,0.000000,0.520000,0.000000,26.980000,0.610000,17.990000,0.000000,0.000000,57.960000,96.600000,130.600000,12.270000,0.000000,71.960000,0.000000,0.000000,27.350000,0.000000,4.380000,96.600000,35.970000,0.000000,1.930000,0.880000,0.350000,18.120000,0.000000,0.000000,0.000000,1207.38

25,06:00-06:15,6.760000,0.000000,0,21.510000,183.540000,66.840000,0.000000,0.980000,42.340000,15.780000,0.000000,0.680000,21.510000,1.930000,0.000000,59.330000,0.000000,7.170000,1.590000,48.300000,0.480000,0.880000,0.000000,0.530000,0.000000,0.000000,0.520000,0.000000,47.340000,0.610000,31.560000,0.000000,0.000000,57.960000,96.600000,130.600000,21.510000,0.000000,126.240000,0.000000,0.000000,47.970000,0.000000,7.670000,96.600000,63.120000,0.000000,1.930000,0.880000,0.350000,31.800000,0.000000,0.000000,0.000000,1243.41

26,06:15-06:30,6.760000,0.000000,0,24.040000,183.540000,66.840000,0.000000,0.980000,47.310000,17.630000,0.000000,0.680000,24.040000,1.930000,0.000000,66.300000,0.000000,8.010000,1.590000,48.300000,0.480000,0.880000,0.000000,0.530000,0.000000,0.000000,0.520000,0.000000,52.900000,0.610000,35.260000,0.000000,0.000000,57.960000,96.600000,130.600000,24.040000,0.000000,141.060000,0.000000,0.000000,53.600000,0.000000,8.570000,96.600000,70.530000,0.000000,1.930000,0.880000,0.350000,35.530000,0.000000,0.000000,0.000000,1307.38

27,06:30-06:45,6.760000,0.000000,0,28.790000,183.540000,66.840000,0.000000,0.980000,56.660000,21.120000,0.000000,0.680000,28.790000,1.930000,0.000000,79.390000,0.000000,9.590000,1.590000,48.300000,0.480000,0.880000,0.000000,0.530000,0.000000,0.000000,0.520000,0.000000,63.340000,0.610000,42.220000,0.000000,0.000000,57.960000,96.600000,130.600000,28.790000,0.000000,168.910000,0.000000,0.000000,64.190000,0.000000,10.260000,96.600000,84.460000,0.000000,1.930000,0.880000,0.350000,42.550000,0.000000,0.000000,0.000000,1427.62

28,06:45-07:00,6.760000,0.000000,0,27.950000,183.540000,66.840000,0.000000,0.980000,54.980000,20.490000,0.000000,0.680000,27.950000,1.930000,0.000000,77.050000,0.000000,9.310000,1.590000,48.300000,0.480000,0.880000,0.000000,0.530000,0.000000,0.000000,0.520000,0.000000,61.480000,0.610000,40.990000,0.000000,0.000000,57.960000,96.600000,130.600000,27.950000,0.000000,163.940000,0.000000,0.000000,62.300000,0.000000,9.960000,96.600000,81.970000,0.000000,1.930000,0.880000,0.350000,41.300000,0.000000,0.000000,0.000000,1406.18

29,07:00-07:15,6.760000,0.000000,1.13,32.550000,183.540000,66.840000,0.000000,0.980000,64.060000,23.870000,0.000000,0.680000,32.550000,1.930000,0.000000,89.760000,0.000000,10.850000,1.590000,0.000000,0.480000,0.880000,0.000000,0.680000,0.000000,0.000000,0.520000,0.000000,71.610000,0.610000,47.740000,0.000000,168.760000,57.960000,0.000000,130.600000,32.550000,0.000000,190.970000,0.000000,0.000000,72.570000,0.000000,11.600000,96.600000,95.490000,0.000000,1.930000,0.880000,0.350000,48.110000,0.000000,0.000000,0.000000,1547.98

30,07:15-07:30,6.760000,0.000000,1.51,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,0.000000,90.800000,0.000000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.680000,0.000000,0.000000,0.520000,0.000000,72.450000,0.610000,48.300000,0.000000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,0.000000,73.420000,0.000000,11.740000,96.600000,96.600000,0.000000,1.930000,0.880000,0.350000,48.670000,0.000000,3.190000,0.000000,1561.16

31,07:30-07:45,6.760000,0.000000,2.42,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,0.000000,90.800000,0.000000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.680000,0.000000,0.000000,0.520000,0.000000,72.450000,0.610000,48.300000,0.000000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,0.000000,73.420000,0.000000,11.740000,96.600000,96.600000,0.000000,1.930000,0.880000,0.350000,48.670000,0.000000,96.600000,0.000000,1655.48

32,07:45:08:00,6.760000,0.000000,3.12,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,0.000000,90.800000,0.000000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.680000,0.000000,0.000000,0.520000,0.000000,72.450000,0.610000,48.300000,0.000000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,0.000000,73.420000,0.000000,11.740000,96.600000,96.600000,0.000000,1.930000,0.880000,0.350000,48.670000,0.000000,96.600000,0.000000,1656.18

33,08:00-08:15,6.760000,0.000000,3.36,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,0.000000,90.800000,0.000000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,0.000000,72.450000,0.610000,48.300000,0.000000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,0.000000,73.420000,0.000000,11.740000,96.600000,96.600000,0.000000,1.930000,0.880000,0.350000,243.200000,0.000000,96.600000,0.000000,1851.24

34,08:15-08:30,6.760000,0.000000,3.53,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,0.000000,90.800000,0.000000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,0.000000,72.450000,0.610000,48.300000,0.000000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,0.000000,73.420000,0.000000,11.740000,96.600000,96.600000,0.000000,1.930000,0.880000,0.350000,243.200000,0.000000,96.600000,0.000000,1851.41

35,08:30-08:45,6.760000,0.000000,3.72,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,0.000000,90.800000,0.000000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,0.000000,72.450000,0.610000,48.300000,0.000000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,0.000000,121.710000,0.000000,11.740000,96.600000,96.600000,0.000000,1.930000,0.880000,0.350000,243.200000,0.000000,96.600000,0.000000,1899.89

36,08:45:09:00,6.760000,0.000000,4.06,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,0.000000,90.800000,0.000000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,0.000000,72.450000,0.610000,48.300000,0.000000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,0.000000,121.710000,0.000000,11.740000,96.600000,96.600000,0.000000,1.930000,0.880000,0.350000,243.200000,0.000000,96.600000,0.000000,1900.23

37,09:00:09:15,9.660000,0.000000,4.44,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,0.000000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,0.000000,121.710000,0.000000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,243.200000,0.000000,96.600000,0.000000,2062.9

