Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/30334/A/86401,NR/2025/29985/A/86823,NR/2025/27978/A/86921,NR/2025/30977/C,NR/2025/29992/A/86624,NR/2025/30958/C,NR/2025/30492/A/86478,NR/2025/29440/A/86427,NR/2025/31030/C,NR/2025/30105/A/86883,NR/2025/30978/C,NR/2025/30086/A/86884,NR/2025/30980/C,NR/2025/30931/C,NR/2025/31033/C,NR/2025/29628/A/86893,NR/2025/30965/C,NR/2025/30084/A/86885,NR/2025/29910/A/86891,NR/2025/31040/C,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/8139,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/3109,NR/2025/31131/C,NR/2025/26975/A/86896,NR/2025/27964/A/86840,NR/2025/29353/A/86556,NR/2025/27963/A/86839,NR/2025/31030/C/Alternate/1,NR/2025/28725/A/86837,NR/2025/30067/A/86860,NR/2025/29352/A/86558,NR/2025/30082/A/86876,NR/2025/30083/A/86886,NR/2025/31024/C,NR/2025/30121/A/86405,GNA/NR/2025/07/01/8230,NR/2025/29167/A/86737,NR/2025/31135/C,NR/2025/27962/A/86838,NR/2025/31002/C,NR/2025/31134/C,NR/2025/30998/C,NR/2025/31003/C,NR/2025/31022/C,NR/2025/30101/A/86917,NR/2025/31023/C,GNA/NR/2025/07/01/2236,NR/2025/31021/C,NR/2025/30217/A/86882,NR/2025/27970/A/86842,NR/2025/29439/A/86548,NR/2025/30822/A/86821,NR/2025/31027/C,NR/2025/27968/A/86841,NR/2025/30191/A/86402,NR/2025/29915/A/86735,NR/2025/31026/C,Total
3,00:30-00:45,0,0,0,96.18,0,44.24,0,12.5,0.91,0,17.49,0,26.23,0,0,0,105.8,0,26.23,19.24,0,22.13,134.89,16.39,22.13,49.05,43.71,20.75,15.24,19.24,0,26.45,0,81.75,144.27,192.36,143.07,204.38,28.61,48.09,8.74,0,6.73,224.82,54.1,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,25.08,134.65,0,144.27,48.09,20.44,0,2349.83

4,00:45-01:00,0,0,0,96.18,0,44.24,0,12.5,0.91,0,17.49,0,26.23,0,0,0,105.8,0,26.23,19.24,0,22.13,134.89,16.39,22.13,49.05,43.71,20.75,15.24,19.24,0,26.45,0,81.75,144.27,192.36,143.07,204.38,28.61,48.09,8.74,0,6.73,224.82,54.1,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,25.08,134.65,0,144.27,48.09,20.44,0,2349.83

5,01:00-01:15,0,0,0,96.18,0,44.24,0,12.5,0.77,0,17.49,0,26.23,0,0,0,105.8,0,26.23,19.24,0,26.7,134.89,16.2,26.7,49.05,43.71,20.75,15.24,19.24,0,26.45,0,81.75,144.27,192.36,143.07,204.38,28.61,48.09,8.74,0,6.73,224.82,54.1,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,25.08,134.65,0,144.27,48.09,20.44,0,2358.64

6,01:15-01:30,0,0,0,96.18,0,44.24,0,12.5,0.77,0,17.49,0,26.23,0,0,0,105.8,0,26.23,19.24,0,26.7,134.89,16.2,26.7,49.05,43.71,20.75,15.24,19.24,0,26.45,0,81.75,144.27,192.36,143.07,204.38,28.61,48.09,8.74,0,6.73,224.82,54.1,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,25.08,134.65,0,144.27,48.09,20.44,0,2358.64

7,01:30-01:45,0,0,0,96.18,0,44.24,0,12.5,0.77,0,17.49,0,26.23,0,0,0,105.8,0,26.23,19.24,0,26.7,134.89,16.2,26.7,49.05,43.71,20.75,15.24,19.24,0,26.45,0,81.75,144.27,192.36,143.07,204.38,28.61,48.09,8.74,0,6.73,224.82,54.1,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,25.08,134.65,0,144.27,48.09,20.44,0,2358.64

8,01:45-02:00,0,0,0,96.18,0,44.24,0,12.5,0.77,0,17.49,0,26.23,0,0,0,105.8,0,26.23,19.24,0,26.7,134.89,16.2,26.7,49.05,43.71,20.75,15.24,19.24,0,26.45,0,81.75,144.27,192.36,143.07,204.38,28.61,48.09,8.74,0,6.73,224.82,54.1,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,25.08,134.65,0,144.27,48.09,20.44,0,2358.64

9,02:00-02:15,0,0,0,96.18,0,44.24,0,12.5,0.67,0,17.49,0,26.23,0,0,0,105.8,0,26.23,19.24,0,26.7,134.89,16.01,26.7,49.05,43.71,20.75,15.24,19.24,0,26.45,0,81.75,144.27,192.36,143.07,204.38,28.61,48.09,8.74,0,6.73,224.82,54.1,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,134.65,0,144.27,48.09,20.44,0,2333.27

10,02:15-02:30,0,0,0,96.18,0,44.24,0,12.5,0.67,0,17.49,0,26.23,0,0,0,105.8,0,26.23,19.24,0,26.7,134.89,16.01,26.7,49.05,43.71,20.75,15.24,19.24,0,26.45,0,81.75,144.27,192.36,143.07,204.38,28.61,48.09,8.74,0,6.73,224.82,54.1,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,134.65,0,144.27,48.09,20.44,0,2333.27

11,02:30-02:45,0,0,0,96.18,0,44.24,0,12.5,0.67,0,17.49,0,26.23,0,0,0,105.8,0,26.23,19.24,0,26.7,134.89,16.01,26.7,49.05,43.71,20.75,15.24,19.24,0,26.45,0,81.75,144.27,192.36,143.07,204.38,28.61,48.09,8.74,0,6.73,224.82,54.1,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,134.65,0,144.27,48.09,20.44,0,2333.27

12,02:45-03:00,0,0,0,96.18,0,44.24,0,12.5,0.67,0,17.49,0,26.23,0,0,0,105.8,0,26.23,19.24,0,26.7,134.89,16.01,26.7,49.05,43.71,20.75,15.24,19.24,0,26.45,0,81.75,144.27,192.36,143.07,204.38,28.61,48.09,8.74,0,6.73,224.82,54.1,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,134.65,0,144.27,48.09,20.44,0,2333.27

13,03:00-03:15,0,0,0,96.18,0,44.24,0,12.5,0.63,171.8,17.49,0,26.23,0,0,0,76.58,0,26.23,19.24,0,26.7,134.89,15.83,26.7,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,144.27,20.56,143.07,0,28.61,48.09,8.74,0,6.73,224.82,54.1,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,0,0,144.27,48.09,0,0,1874.6299999999999

14,03:15-03:30,0,0,0,96.18,0,44.24,0,12.5,0.63,171.8,17.49,0,26.23,0,0,0,76.58,0,26.23,19.24,0,26.7,134.89,15.83,26.7,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,144.27,20.56,143.07,0,28.61,48.09,8.74,0,6.73,224.82,54.1,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,0,0,144.27,48.09,0,0,1874.6299999999999

15,03:30-03:45,0,0,0,96.18,0,44.24,0,12.5,0.63,171.8,17.49,0,26.23,0,0,0,76.58,0,26.23,19.24,0,26.7,134.89,15.83,26.7,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,144.27,20.56,143.07,0,28.61,48.09,8.74,0,6.73,224.82,54.1,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,0,0,144.27,48.09,0,0,1874.6299999999999

16,03:45-04:00,0,0,0,96.18,0,44.24,0,12.5,0.63,171.8,17.49,0,26.23,0,0,0,76.58,0,26.23,19.24,0,26.7,134.89,15.83,26.7,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,144.27,20.56,143.07,0,28.61,48.09,8.74,0,6.73,224.82,54.1,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,0,0,144.27,48.09,0,0,1874.6299999999999

17,04:00-04:15,0,0,0,96.18,0,44.24,0,12.5,0.63,192.36,17.49,0,26.23,0,0,0,76.58,0,26.23,19.24,0,26.7,134.89,15.74,26.7,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,143.07,0,28.61,48.09,8.74,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,0,0,0,48.09,0,0,1531.9

18,04:15-04:30,0,0,0,96.18,0,44.24,0,12.5,0.63,192.36,17.49,0,26.23,0,0,0,76.58,0,26.23,19.24,0,26.7,134.89,15.74,26.7,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,143.07,0,28.61,48.09,8.74,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,0,0,0,48.09,0,0,1531.9

19,04:30-04:45,0,0,0,96.18,0,44.24,0,12.5,0.63,192.36,17.49,0,26.23,0,0,0,76.58,0,26.23,19.24,0,26.7,134.89,15.74,26.7,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,143.07,0,28.61,48.09,8.74,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,0,0,0,48.09,0,0,1531.9

20,04:45-05:00,0,0,0,96.18,0,44.24,0,12.5,0.63,192.36,17.49,0,26.23,0,0,0,76.58,0,26.23,19.24,0,26.7,134.89,15.74,26.7,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,143.07,0,28.61,48.09,8.74,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,0,0,0,48.09,0,0,1531.9

21,05:00-05:15,0,0,0,96.18,0,44.24,0,12.5,0.63,0,17.49,0,26.23,0,0,0,76.58,0,26.23,16.58,0,26.7,134.89,15.55,26.7,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,192.36,143.07,0,28.61,48.09,8.74,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,0,0,0,48.09,0,0,1529.05

22,05:15-05:30,0,0,0,96.18,0,44.24,0,12.5,0.63,0,17.49,0,26.23,0,0,0,76.58,0,26.23,16.58,0,26.7,134.89,15.55,26.7,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,192.36,143.07,0,28.61,48.09,8.74,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,0,0,0,48.09,0,0,1529.05

23,05:30-05:45,0,0,0,96.18,0,44.24,0,11.54,0.63,0,17.49,0,26.23,0,0,0,76.58,0,26.23,16.58,0,26.7,134.89,15.55,26.7,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,192.36,143.07,0,28.61,48.09,8.74,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,0,0,0,48.09,0,0,1528.09

24,05:45-06:00,0.44,0,1,96.18,0,44.24,0,11.54,0.63,0,17.49,0,26.23,0,0,0,76.58,0,26.23,16.58,0,26.7,134.89,15.55,26.7,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,192.36,143.07,0,28.61,48.09,8.74,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,0,0,0,48.09,0,0,1529.53

25,06:00-06:15,1.18,0,3,96.18,0,44.24,0,11.54,0.82,0,17.49,0,26.23,0,0,0,76.58,0,26.23,16.58,0,26.7,134.89,15.47,26.7,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,192.36,143.07,0,28.61,48.09,8.74,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,0,0,0,48.09,0,0,1532.3799999999999

26,06:15-06:30,2.57,0,7,96.18,0,44.24,0,11.54,0.82,0,17.49,0,26.23,0,0,0,76.58,0,26.23,16.58,0,26.7,134.89,15.47,26.7,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,192.36,143.07,0,28.61,48.09,8.74,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,0,0,0,48.09,0,0,1537.77

27,06:30-06:45,4.37,0,11,96.18,0,44.24,0,11.54,0.82,60.37,17.49,0,26.23,0,0,0,76.58,0,26.23,16.58,0.35,26.7,134.89,15.47,26.7,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,131.99,143.07,0,28.61,48.09,8.74,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,0,0,0,48.09,0,0,1543.9199999999998

28,06:45-07:00,7.26,0,16,96.18,0,44.24,0,11.54,0.82,149.95,17.49,0,26.23,0,0,0,76.58,0,26.23,16.58,0.57,26.7,134.89,15.47,26.7,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,42.41,143.07,0,28.61,48.09,8.74,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,0,0,0,48.09,0,0,1552.03

29,07:00-07:15,11.21,0,21,96.18,0,44.24,0,11.54,0.87,192.36,17.49,0,26.23,0,0,0,76.58,0,26.23,16.58,0.82,26.7,134.89,15.47,26.7,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,143.07,0,28.61,48.09,8.74,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,0,0,0,48.09,0,0,1561.2800000000002

30,07:15-07:30,14.81,0,28,96.18,0,44.24,0,11.54,0.87,192.36,17.49,0,26.23,0,0,0,76.58,0,26.23,16.58,1.23,26.7,134.89,15.47,26.7,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,143.07,0,28.61,48.09,8.74,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,0,0,0,48.09,0,0,1572.29

31,07:30-07:45,19.13,0,35,96.18,0,44.24,0,11.54,0.87,192.36,17.49,0,26.23,0,0,0,76.58,0,26.23,16.58,1.6,26.7,134.89,15.47,26.7,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,143.07,0,28.61,48.09,8.74,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,0,0,0,48.09,0,0,1583.9800000000002

32,07:45-08:00,24.2,0,46,96.18,0,44.24,0,11.54,0.87,192.36,17.49,0,26.23,0,0,0,76.58,0,26.23,16.58,2.17,26.7,134.89,15.47,26.7,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,143.07,0,28.61,48.09,8.74,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,0,0,0,48.09,0,0,1600.6200000000001

33,08:00-08:15,29.45,3.43,56,96.18,0,44.24,0,11.54,0.96,192.36,17.49,0,26.23,0,0,0,76.58,0,26.23,16.58,2.56,26.7,134.89,15.37,26.7,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,143.07,0,28.61,48.09,8.74,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,0,0,0,48.09,0,0,1619.68

34,08:15-08:30,34.84,4.03,63,96.18,0,44.24,0,11.54,0.96,192.36,17.49,0,26.23,0,0,0,76.58,0,26.23,16.58,3.53,26.7,134.89,15.37,26.7,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,143.07,0,28.61,48.09,8.74,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,0,0,0,48.09,0,0,1633.64

35,08:30-08:45,44.09,4.62,84,96.18,0,44.24,0,13.47,0.96,192.36,17.49,0,26.23,0,0,0,76.58,0,26.23,16.58,2.43,26.7,134.89,15.37,26.7,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,143.07,0,28.61,48.09,8.74,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,0,0,0,48.09,0,0,1665.31

36,08:45-09:00,50.26,5.17,98,96.18,0,44.24,0,13.47,0.96,192.36,17.49,0,26.23,0,0,0,76.58,0,26.23,16.58,2.43,26.7,134.89,15.37,26.7,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,143.07,0,28.61,48.09,8.74,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,0,0,0,0,48.09,0,0,1686.03

37,09:00-09:15,56.53,5.66,109,0,0,0,48.09,13.47,0,192.36,0,0,0,48.09,44.24,32.14,0,143.07,0,0,1.94,26.8,134.89,15.28,26.8,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,1742.46

38,09:15-09:30,62.35,6.11,119,0,0,0,48.09,13.47,0,192.36,0,0,0,48.09,44.24,32.14,0,143.07,0,0,1.94,26.8,134.89,15.28,26.8,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,1758.73

39,09:30-09:45,68.14,6.49,133,0,0,0,48.09,13.47,0,192.36,0,0,0,48.09,44.24,32.14,0,143.07,0,0,1.94,26.8,134.89,15.28,26.8,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,1778.8999999999996

40,09:45-10:00,74.5,6.93,144,0,0,0,48.09,13.47,0,192.36,0,0,0,48.09,44.24,32.14,0,143.07,0,0,1.94,26.8,134.89,15.28,26.8,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,1796.6999999999998

41,10:00-10:15,83.07,7.29,151,0,0,0,48.09,13.47,0,160.11,0,0,0,48.09,44.24,32.14,0,143.07,0,0,1.94,26.8,134.89,15.28,26.8,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,1780.3799999999999

42,10:15-10:30,87.75,7.4,161,0,0,0,48.09,13.47,0,160.11,0,0,0,48.09,44.24,32.14,0,143.07,0,0,2.07,26.8,134.89,15.28,26.8,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,1795.3

43,10:30-10:45,93.23,5.24,172,0,0,0,48.09,13.47,0,160.11,0,0,0,48.09,44.24,32.14,0,143.07,0,0,2.09,26.8,134.89,15.28,26.8,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,1809.6399999999999

44,10:45-11:00,96.24,5.23,179,0,0,0,48.09,13.47,0,160.11,0,0,0,48.09,44.24,32.14,0,143.07,0,0,2.12,26.8,134.89,15.28,26.8,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,1819.6699999999998

45,11:00-11:15,95,5.24,179,0,0,0,48.09,13.47,0,160.11,0,0,0,48.09,44.24,32.14,0,143.07,0,0,2.14,26.8,134.89,15.19,26.8,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,1818.37

