Column1,Block,NR/2025/25352/C,NR/2025/25353/C,WR/2025/26047/A/54648,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/01/2594,NR/2025/25070/A/54662,GNA/WR/2025/01/01/8625,NR/2024/24418/A/54412,NR/2025/25265/A/54473,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/16/1380,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/16/1676,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/01/2143,NR/2025/25267/A/54477,NR/2025/25266/A/54462,Total
3,00:30-00:45,0,0,0,0,8.65,23.07,14.28,0,0.38,0,0,0,75,7.93,8.65,23.78,1.47,26.91,26.91,23.07,23.07,0,0,263.17

4,00:45-01:00,0,0,0,0,8.65,23.07,14.28,0,0.38,0,0,0,75,7.93,8.65,23.78,1.47,26.91,26.91,23.07,23.07,0,0,263.17

5,01:00-01:15,0,0,0,0,8.65,23.07,14.28,0,0.38,0,0,0,75,7.93,8.65,23.78,1.47,26.91,26.91,23.07,23.07,0,0,263.17

6,01:15-01:30,0,0,0,0,8.65,23.07,14.28,0,0.38,0,0,0,75,7.93,8.65,23.78,1.47,26.91,26.91,23.07,23.07,0,0,263.17

7,01:30-01:45,0,0,0,0,8.65,23.07,14.28,0,0.38,0,0,0,75,7.93,8.65,23.78,1.47,26.91,26.91,23.07,23.07,0,0,263.17

8,01:45-02:00,0,0,0,0,8.65,23.07,14.28,0,0.38,0,0,0,75,7.93,8.65,23.78,1.47,26.91,26.91,23.07,23.07,0,0,263.17

9,02:00-02:15,0,0,0,0,8.65,23.07,14.28,0,0.38,0,0,0,75,7.93,8.65,23.78,1.47,26.91,26.91,23.07,23.07,0,0,263.17

10,02:15-02:30,0,0,0,0,8.65,23.07,14.28,0,0.38,0,0,0,75,7.93,8.65,23.78,1.47,26.91,26.91,23.07,23.07,0,0,263.17

11,02:30-02:45,0,0,0,0,8.65,23.07,14.28,0,0.38,0,0,0,75,7.93,8.65,23.78,1.47,26.91,26.91,23.07,23.07,0,0,263.17

12,02:45-03:00,0,0,0,0,8.65,23.07,14.28,0,0.38,0,0,0,75,7.93,8.65,23.78,1.47,26.91,26.91,23.07,23.07,0,0,263.17

13,03:00-03:15,0,0,0,0,8.65,23.07,14.28,0,0.38,0,0,0,75,7.93,8.65,23.78,1.38,26.91,26.91,23.07,23.07,0,0,263.08

14,03:15-03:30,0,0,0,0,8.65,23.07,14.28,0,0.38,0,0,0,75,7.93,8.65,23.78,1.38,26.91,26.91,23.07,23.07,0,0,263.08

15,03:30-03:45,0,0,0,0,8.65,23.07,14.28,0,0.38,0,0,0,75,7.93,8.65,23.78,1.38,26.91,26.91,23.07,23.07,0,0,263.08

16,03:45-04:00,0,0,0,0,8.65,23.07,14.28,0,0.38,0,0,0,75,7.93,8.65,23.78,1.38,26.91,26.91,23.07,23.07,0,0,263.08

17,04:00-04:15,0,0,0,0,8.65,23.07,14.28,0,0.38,0,0,0,75,7.93,8.65,23.78,1.47,26.91,26.91,23.07,23.07,0,0,263.17

18,04:15-04:30,0,0,0,0,8.65,23.07,14.28,0,0.38,0,0,0,75,7.93,8.65,23.78,1.47,26.91,26.91,23.07,23.07,0,0,263.17

19,04:30-04:45,0,0,0,0,8.65,23.07,14.28,0,0.38,0,0,0,75,7.93,8.65,23.78,1.47,26.91,26.91,23.07,23.07,0,0,263.17

20,04:45-05:00,0,0,0,0,8.65,23.07,14.28,0,0.38,0,0,0,75,7.93,8.65,23.78,1.47,26.91,26.91,23.07,23.07,0,0,263.17

21,05:00-05:15,0,0,0,0,8.65,23.07,14.28,0,0.38,0,0,0,75,7.93,8.65,23.78,1.47,26.91,26.91,23.07,23.07,0,0,263.17

22,05:15-05:30,0,0,0,0,8.65,23.07,14.28,0,0.38,0,0,0,75,7.93,8.65,23.78,1.47,26.91,26.91,23.07,23.07,0,0,263.17

23,05:30-05:45,0,0,0,0,8.65,23.07,14.28,0,0.38,0,0,0,75,7.93,8.65,23.78,1.47,13,13,23.07,23.07,0,0,235.35

24,05:45-06:00,0,0,0,0,8.65,23.07,14.28,0,0.38,0,0,0,75,7.93,8.65,23.78,1.47,13,13,23.07,23.07,0,0,235.35

25,06:00-06:15,0,0,0,0,8.65,23.07,14.28,0,0.43,0,0,0,75,0,8.65,0,1.47,13,13,23.07,23.07,0,0,203.69

26,06:15-06:30,0,0,0,0,8.65,23.07,14.28,0,0.43,0,0,0,75,0,8.65,0,1.47,13,13,23.07,23.07,0,0,203.69

27,06:30-06:45,0,0,0,0,8.65,23.07,14.28,0,0.43,0,0,0,75,0,8.65,0,1.47,13,13,23.07,23.07,0,0,203.69

28,06:45-07:00,0,0,0,0,8.65,23.07,14.28,0,0.43,0,0,0,75,0,8.65,0,1.47,13,13,23.07,23.07,0,0,203.69

29,07:00-07:15,0,0,0,0,8.65,23.07,14.28,0,0.48,0,0,0,75,0,8.65,0,1.38,13,13,23.07,23.07,0,0,203.64999999999998

30,07:15-07:30,0,0,0,0,8.65,23.07,14.28,0,0.48,0,0,0,75,0,8.65,0,1.38,13,13,23.07,23.07,0,0,203.64999999999998

31,07:30-07:45,0,0,0,0,8.65,23.07,14.28,0,0.48,0,0,0,75,0,8.65,0,1.38,13,13,23.07,23.07,0,0,203.64999999999998

32,07:45-08:00,0,0,0,0,8.65,23.07,14.28,0,0.48,0,0,0,75,0,8.65,0,1.38,13,13,23.07,23.07,0,0,203.64999999999998

33,08:00-08:15,0,0,0,0,8.65,23.07,14.28,0,0.87,0,0,0,75,0,8.65,0,1.47,13,13,23.07,23.07,0,0,204.13

34,08:15-08:30,0,0,0,0,8.65,23.07,14.28,0,0.87,0,0,0,75,0,8.65,0,1.47,13,13,23.07,23.07,0,0,204.13

35,08:30-08:45,0,0,0,0,8.65,23.07,14.28,0,0.87,0.03,0,0,75,0,8.65,0,1.47,0,13,23.07,23.07,0.02,0.04,191.22

36,08:45-09:00,0,0,0,0,8.65,23.07,14.28,0,0.87,0.2,0,0,75,0,8.65,0,1.47,0,13,23.07,23.07,0.1,0.25,191.67999999999998

37,09:00-09:15,22.68,30.18,0,0,8.65,23.07,14.28,0,0.87,0.36,0,0,75,0,8.65,0,1.47,25,25,23.07,23.07,0.27,0.53,282.15

38,09:15-09:30,16.63,36.24,0,0,8.65,23.07,14.28,0,0.87,0.38,0,0,75,0,8.65,0,1.47,25,25,23.07,23.07,0.29,0.58,282.25

39,09:30-09:45,14.42,38.45,0,0,8.65,23.07,14.28,0,0.87,0.38,0,0,75,0,8.65,0,1.47,27,27,23.07,23.07,0.29,0.58,286.25

40,09:45-10:00,14.42,38.45,0,0,8.65,23.07,14.28,0,0.87,0.48,0,0,75,0,8.65,0,1.47,27,27,23.07,23.07,0.29,0.67,286.44000000000005

41,10:00-10:15,14.42,38.45,0,0,8.65,23.07,14.28,0,0.87,0.48,0,0,75,0,8.65,0,1.47,3,3,23.07,23.07,0.29,0.67,238.44

42,10:15-10:30,14.42,38.45,0,0,8.65,23.07,14.28,0,0.87,0.48,0,0,75,0,8.65,0,1.47,3,3,23.07,23.07,0.29,0.67,238.44

43,10:30-10:45,14.42,38.45,0,0,8.65,23.07,14.28,0,0.87,0.48,0,0,75,0,8.65,0,1.47,3,3,23.07,23.07,0.29,0.67,238.44

44,10:45-11:00,14.42,38.45,0,0,8.65,23.07,14.28,0,0.87,0.48,0,0,75,0,8.65,0,1.47,3,3,23.07,23.07,0.29,0.67,238.44

45,11:00-11:15,14.42,38.45,0,0,8.65,23.07,14.28,0,0.87,0.48,0,0,75,0,8.65,0,1.38,3,3,23.07,23.07,0.38,0.67,238.44

46,11:15-11:30,14.42,38.45,0,0,8.65,23.07,14.28,0,0.87,0.48,0,0,75,0,8.65,0,1.38,3,3,23.07,23.07,0.38,0.67,238.44

47,11:30-11:45,14.42,38.45,0,0,8.65,23.07,14.28,0,0.87,0.48,0,0,75,0,8.65,0,1.38,3,3,23.07,23.07,0.38,0.67,238.44

48,11:45-12:00,14.42,38.45,0,0,8.65,23.07,14.28,0,0.87,0.48,0,0,75,0,8.65,0,1.38,3,3,23.07,23.07,0.38,0.67,238.44

49,12:00-12:15,14.42,38.45,0,0,8.65,23.07,14.28,0,0.87,0.48,0,0,75,0,8.65,0,1.47,3,3,23.07,23.07,0.38,0.67,238.53

50,12:15-12:30,14.42,38.45,0,0,8.65,23.07,14.28,0,0.87,0.48,0,0,75,0,8.65,0,1.47,3,3,23.07,23.07,0.38,0.67,238.53

51,12:30-12:45,14.42,38.45,0,0,8.65,23.07,14.28,0,0.87,0.48,0,0,75,0,8.65,0,1.47,3,3,23.07,23.07,0.38,0.67,238.53

52,12:45-13:00,14.42,38.45,0,0,8.65,23.07,14.28,0,0.87,0.67,0,0,75,0,8.65,0,1.47,3,3,23.07,23.07,0.38,0.87,238.92000000000002

53,13:00-13:15,14.42,38.45,0,0,8.65,23.07,14.28,0,0.87,0.48,0,0,75,0,8.65,0,1.47,3,3,23.07,23.07,0.38,1.06,238.92000000000002

54,13:15-13:30,14.42,38.45,0,0,8.65,23.07,14.28,0,0.87,0.48,0,0,75,0,8.65,0,1.47,3,3,23.07,23.07,0.38,1.06,238.92000000000002

55,13:30-13:45,14.42,38.45,0,0,8.65,23.07,14.28,0,0.87,0.48,0,0,75,0,8.65,0,1.47,3,30,22.11,23.07,0.38,0.87,264.77000000000004

56,13:45-14:00,14.42,38.45,0,0,8.65,23.07,14.28,0,0.87,0.48,0,0,75,0,8.65,0,1.47,3,30,22.11,23.07,0.38,0.77,264.67

57,14:00-14:15,14.42,38.45,0,0,8.65,23.07,14.28,0,0.87,0.38,0,0,75,0,8.65,0,1.47,3,30,22.11,23.07,0.38,0.67,264.47

58,14:15-14:30,14.42,38.45,0,0,8.65,23.07,14.28,0,0.87,0.38,0,0,75,0,8.65,0,1.47,3,30,22.11,23.07,0.38,0.67,264.47

59,14:30-14:45,14.42,38.45,0,0,8.65,23.07,14.28,0,0.87,0.38,0,0,75,0,8.65,0,1.47,3,30,22.11,23.07,0.29,0.67,264.38000000000005

60,14:45-15:00,14.42,38.45,0,0,8.65,23.07,14.28,0,0.87,0.38,0,0,75,0,8.65,0,1.47,3,30,22.11,23.07,0.29,0.67,264.38000000000005

61,15:00-15:15,14.42,38.45,0,0,8.65,23.07,14.28,0,0.67,0.38,0,0,75,0,8.65,0,1.38,3,30,22.11,23.07,0.29,0.67,264.09000000000003

62,15:15-15:30,14.42,38.45,0,0,8.65,23.07,14.28,0,0.67,0.38,0,0,75,0,8.65,0,1.38,3,30,22.11,23.07,0.29,0.67,264.09000000000003

63,15:30-15:45,14.42,38.45,0,0,8.65,23.07,14.28,0,0.67,0.38,0,0,75,0,8.65,0,1.38,3,30,22.11,23.07,0.29,0.67,264.09000000000003

64,15:45-16:00,14.42,38.45,0,0,8.65,23.07,14.28,0,0.67,0.38,0,0,75,0,8.65,0,1.38,3,30,22.11,23.07,0.29,0.67,264.09000000000003

65,16:00-16:15,14.42,38.45,0,0,8.65,23.07,14.28,0,0.53,0.38,0,0,75,0,8.65,0,1.47,29,29,22.11,23.07,0.29,0.67,289.04

66,16:15-16:30,14.42,38.45,0,0,8.65,23.07,14.28,0,0.53,0.38,0,0,75,0,8.65,0,1.47,29,29,22.11,23.07,0.29,0.67,289.04

67,16:30-16:45,19.03,33.83,0,0,8.65,23.07,14.28,0,0.53,0.38,0,0,75,0,8.65,0,1.47,29,29,22.11,23.07,0.19,0.48,288.74

68,16:45-17:00,24.61,25.28,0,0,8.65,23.07,14.28,0,0.53,0.29,0,0,75,0,8.65,0,1.47,29,29,22.11,23.07,0.19,0.38,285.58

69,17:00-17:15,0,0,0,0,8.65,23.07,14.28,0,0.53,0.13,0,0,75,0,8.65,0,1.47,29,29,22.11,23.07,0.13,0.2,235.28999999999996

70,17:15-17:30,0,0,0,0,8.65,23.07,14.28,0,0.53,0.06,0,0,75,0,8.65,0,1.47,29,29,22.11,23.07,0.03,0.06,234.98

71,17:30-17:45,0,0,0,0,8.65,23.07,14.28,0,0.53,0,0,0,75,0,8.65,0,1.47,29,29,22.11,23.07,0,0,234.82999999999998

72,17:45-18:00,0,0,0,0,8.65,23.07,14.28,0,0.53,0,0,0,75,0,8.65,0,1.47,29,29,22.11,23.07,0,0,234.82999999999998

73,18:00-18:15,0,0,38.45,0,8.65,23.07,14.28,0,0.53,0,200,50,75,0,8.65,0,1.47,29,29,22.11,23.07,0,0,523.2800000000001

74,18:15-18:30,0,0,38.45,0,8.65,23.07,14.28,0,0.53,0,200,50,75,0,8.65,0,1.47,29,29,22.11,23.07,0,0,523.2800000000001

75,18:30-18:45,0,0,38.45,50,8.65,23.07,14.28,0,0.53,0,200,50,75,0,8.65,0,1.47,29,29,22.11,23.07,0,0,573.2800000000001

76,18:45-19:00,0,0,38.45,50,8.65,23.07,14.28,0,0.53,0,200,50,75,0,8.65,0,1.47,29,29,22.11,23.07,0,0,573.2800000000001

77,19:00-19:15,0,0,38.45,50,8.65,23.07,14.28,0,0.62,0,200,50,75,0,8.65,0,1.38,29,29,22.11,23.07,0,0,573.2800000000001

78,19:15-19:30,0,0,38.45,50,8.65,23.07,14.28,0,0.62,0,200,50,75,0,8.65,0,1.38,29,29,22.11,23.07,0,0,573.2800000000001

79,19:30-19:45,0,0,38.45,50,8.65,23.07,14.28,0,0.62,0,200,50,75,0,8.65,0,1.38,27,27,22.11,23.07,0,0,569.2800000000001

80,19:45-20:00,0,0,38.45,50,8.65,23.07,14.28,0,0.62,0,200,50,75,0,8.65,0,1.38,27,27,22.11,23.07,0,0,569.2800000000001

81,20:00-20:15,0,0,38.45,50,8.65,23.07,14.28,0,0.62,0,150,50,75,0,8.65,0,1.47,27,27,22.11,23.07,0,0,519.3700000000001

82,20:15-20:30,0,0,38.45,50,8.65,23.07,14.28,0,0.62,0,150,50,75,0,8.65,0,1.47,27,27,22.11,23.07,0,0,519.3700000000001

83,20:30-20:45,0,0,38.45,50,8.65,23.07,14.28,0,0.62,0,150,50,75,0,8.65,0,1.47,27,27,22.11,23.07,0,0,519.3700000000001

84,20:45-21:00,0,0,38.45,50,8.65,23.07,14.28,0,0.62,0,150,50,75,0,8.65,0,1.47,27,27,22.11,23.07,0,0,519.3700000000001

85,21:00-21:15,0,0,38.45,50,8.65,23.07,14.28,0,0.58,0,150,50,75,0,8.65,0,1.47,27,27,22.11,23.07,0,0,519.33

86,21:15-21:30,0,0,38.45,50,8.65,23.07,14.28,0,0.58,0,150,50,75,0,8.65,0,1.47,27,27,22.11,23.07,0,0,519.33

87,21:30-21:45,0,0,38.45,50,8.65,23.07,14.28,0,0.58,0,150,50,75,0,8.65,0,1.47,27,26.99,22.11,23.07,0,0,519.32

88,21:45-22:00,0,0,38.45,50,8.65,23.07,14.28,0,0.58,0,150,50,75,0,8.65,0,1.47,27,26.99,22.11,23.07,0,0,519.32

89,22:00-22:15,0,0,38.45,50,8.65,23.07,14.28,0,0.53,0,150,50,75,7.93,8.65,23.78,1.47,27,26.99,22.11,23.07,0,0,550.9800000000001

90,22:15-22:30,0,0,38.45,50,8.65,23.07,14.28,0,0.53,0,150,50,75,7.93,8.65,23.78,1.47,27,26.99,22.11,23.07,0,0,550.9800000000001

91,22:30-22:45,0,0,38.45,50,8.65,23.07,14.28,0,0.53,0,150,50,75,7.93,8.65,23.78,1.47,27,26.99,22.11,23.07,0,0,550.9800000000001

92,22:45-23:00,0,0,38.45,50,8.65,23.07,14.28,0,0.53,0,150,50,75,7.93,8.65,23.78,1.47,27,26.99,22.11,23.07,0,0,550.9800000000001

93,23:00-23:15,0,0,38.45,50,8.65,23.07,14.28,0,0.48,0,150,50,75,7.93,8.65,23.78,1.47,27,26.99,22.11,23.07,0,0,550.9300000000001

94,23:15-23:30,0,0,38.45,50,8.65,23.07,14.28,0,0.48,0,150,50,75,7.93,8.65,23.78,1.47,27,26.99,22.11,23.07,0,0,550.9300000000001

95,23:30-23:45,0,0,38.45,50,8.65,23.07,14.28,0,0.48,0,150,50,75,7.93,8.65,23.78,1.47,27,26.99,22.11,23.07,0,0,550.9300000000001

96,23:45-24:00,0,0,38.45,50,8.65,23.07,14.28,0,0.48,0,150,50,75,7.93,8.65,23.78,1.47,27,26.99,22.11,23.07,0,0,550.9300000000001

