Column1,Block,GNA/NR/2024/11/01/4503,GNA/WR/2024/11/01/4200,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/10/15/7089,WR/2024/24788/A/44027,NR/2024/23769/A/43901,NR/2024/23809/A/43900,NR/2024/23420/A/43903,GNA/NR/2024/11/01/1868,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/5428,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/9061,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/3646,NR/2024/24054/C,NR/2024/23918/A/43898,NR/2024/24059/C,Total
56,13:45-14:00,9.6,0,2.2,0,0,5.76,4.8,0.77,9.6,0,28.81,0,19.21,28.81,0,28.81,0,30.73,5.76,22.09,196.95

57,14:00-14:15,9.6,0,2.2,0,0,5.76,4.8,0.96,9.6,0,31.69,0,19.21,31.69,0,31.69,0,30.73,4.8,22.09,204.82

58,14:15-14:30,9.6,0,2.2,0,0,5.76,4.8,0.96,9.6,0,31.69,0,19.21,31.69,0,31.69,0,30.73,4.8,22.09,204.82

59,14:30-14:45,9.6,0,2.2,0,0,5.76,4.8,0.96,9.6,0,31.69,0,19.21,31.69,0,31.69,0,30.73,4.8,22.09,204.82

60,14:45-15:00,9.6,0,2.2,0,0,5.76,4.8,0.96,9.6,0,31.69,0,19.21,31.69,0,31.69,0,30.73,4.8,22.09,204.82

61,15:00-15:15,9.6,0,2.3,0,0,5.76,4.8,0.86,9.6,0,34.57,0,19.21,34.57,0,34.57,0,30.73,4.8,22.09,213.45999999999998

62,15:15-15:30,9.6,0,2.3,0,0,5.76,4.8,0.86,9.6,0,34.57,0,19.21,34.57,0,34.57,0,30.64,4.8,22.19,213.46999999999997

63,15:30-15:45,9.6,0,2.3,0,0,5.76,4.8,0.86,9.6,0,36.5,0,19.21,36.5,0,36.5,0,26.7,4.8,26.12,219.25

64,15:45-16:00,9.6,0,2.3,0,0,5.76,4.8,0.86,9.6,0,36.5,0,19.21,36.5,0,36.5,0,22.67,4.8,29.77,218.87000000000003

65,16:00-16:15,8.64,0,2.3,0,0,5.76,4.8,0.77,8.64,0,36.5,0,17.29,36.5,0,36.5,0,18.63,2.88,22.67,201.88

66,16:15-16:30,8.64,0,2.3,0,0,5.76,4.8,0.77,8.64,0,36.5,0,17.29,36.5,0,36.5,0,14.5,2.88,14.79,189.86999999999998

67,16:30-16:45,8.64,0,2.3,0,0,5.76,4.8,0.77,8.64,0,36.5,0,17.29,36.5,0,36.5,0,10.76,2.88,8.07,179.40999999999997

68,16:45-17:00,8.64,0,2.3,0,0,5.76,4.8,0.77,8.64,0,36.5,0,17.29,36.5,0,36.5,0,7.49,2.88,1.44,169.51

69,17:00-17:15,8.64,0,2.3,0,0,5.76,4.8,0.58,8.64,0,36.5,0,17.29,36.5,0,36.5,0,0,0.96,0,158.47

70,17:15-17:30,8.64,0,2.3,0,0,5.76,4.8,0.58,8.64,0,36.5,0,17.29,36.5,0,36.5,0,0,0.96,0,158.47

71,17:30-17:45,8.64,0,2.3,0,0,5.76,4.8,0.58,8.64,0,36.5,0,17.29,36.5,0,36.5,0,0,0.96,0,158.47

72,17:45-18:00,8.64,0,2.3,0,0,5.76,4.8,0.58,8.64,0,36.5,0,17.29,36.5,0,36.5,0,0,0.96,0,158.47

73,18:00-18:15,8.64,50,2.3,150,38.42,5.76,4.8,0.62,8.64,0,36.5,0,17.29,36.5,0,36.5,0,0,0,0,395.97

74,18:15-18:30,8.64,50,2.3,150,38.42,5.76,4.8,0.62,8.64,0,36.5,0,17.29,36.5,0,36.5,0,0,0,0,395.97

75,18:30-18:45,8.64,50,2.3,150,38.42,5.76,4.8,0.62,8.64,0,36.5,0,17.29,36.5,0,36.5,0,0,0,0,395.97

76,18:45-19:00,8.64,50,2.3,150,38.42,5.76,4.8,0.62,8.64,0,36.5,0,17.29,36.5,0,36.5,0,0,0,0,395.97

77,19:00-19:15,8.64,50,2.38,150,38.42,5.76,4.8,0.62,8.64,0,36.5,0,17.29,36.5,0,36.5,0,0,0,0,396.05

78,19:15-19:30,8.64,50,2.38,150,38.42,5.76,4.8,0.62,8.64,0,36.5,0,17.29,36.5,0,36.5,0,0,0,0,396.05

79,19:30-19:45,8.64,50,2.38,150,38.42,5.76,4.8,0.62,8.64,0,36.5,0,17.29,36.5,0,36.5,0,0,0,0,396.05

80,19:45-20:00,8.64,50,2.38,150,38.42,5.76,4.8,0.62,8.64,0,36.5,0,17.29,36.5,0,36.5,0,0,0,0,396.05

81,20:00-20:15,8.64,50,2.38,200,38.42,5.76,4.8,0.62,8.64,0,34.57,0,17.29,34.57,0,34.57,0,0,0,0,440.26

82,20:15-20:30,8.64,50,2.38,200,38.42,5.76,4.8,0.62,8.64,0,34.57,0,17.29,34.57,0,34.57,0,0,0,0,440.26

83,20:30-20:45,8.64,50,2.38,200,38.42,5.76,4.8,0.62,8.64,0,34.57,0,17.29,34.57,0,34.57,0,0,0,0,440.26

84,20:45-21:00,8.64,50,2.38,200,38.42,5.76,4.8,0.62,8.64,0,34.57,0,17.29,34.57,0,34.57,0,0,0,0,440.26

85,21:00-21:15,8.64,50,2.38,200,38.42,5.76,4.8,0.62,8.64,0,34.57,0,17.29,34.57,0,34.57,0,0,0,0,440.26

86,21:15-21:30,8.64,50,2.38,200,38.42,5.76,4.8,0.62,8.64,0,34.57,0,17.29,34.57,0,34.57,0,0,0,0,440.26

87,21:30-21:45,8.64,50,2.38,200,38.42,5.76,4.8,0.62,8.64,0,34.57,0,17.29,34.57,0,34.57,0,0,0,0,440.26

88,21:45-22:00,8.64,50,2.38,200,38.42,5.76,4.8,0.62,8.64,0,34.57,0,17.29,34.57,0,34.57,0,0,0,0,440.26

89,22:00-22:15,8.64,50,2.3,200,38.42,5.76,4.8,0.62,8.64,0,31.69,0,17.29,31.69,142.69,31.69,47.56,0,0,0,621.79

90,22:15-22:30,8.64,50,2.3,200,38.42,5.76,4.8,0.62,8.64,0,31.69,0,17.29,31.69,142.69,31.69,47.56,0,0,0,621.79

91,22:30-22:45,8.64,50,2.3,200,38.42,5.76,4.8,0.62,8.64,0,31.69,0,17.29,31.69,142.69,31.69,47.56,0,0,0,621.79

92,22:45-23:00,8.64,50,2.3,200,38.42,5.76,4.8,0.62,8.64,0,31.69,0,17.29,31.69,142.69,31.69,47.56,0,0,0,621.79

93,23:00-23:15,8.64,50,2.3,200,38.42,5.76,4.8,0.62,8.64,0,31.69,0,17.29,31.69,142.69,31.69,47.56,0,0,0,621.79

94,23:15-23:30,8.64,50,2.3,200,38.42,5.76,4.8,0.62,8.64,0,31.69,0,17.29,31.69,142.69,31.69,47.56,0,0,0,621.79

95,23:30-23:45,8.64,50,2.3,200,38.42,5.76,4.8,0.62,8.64,0,31.69,0,17.29,31.69,142.69,31.69,47.56,0,0,0,621.79

96,23:45-24:00,8.64,50,2.3,200,38.42,5.76,4.8,0.62,8.64,0,31.69,0,17.29,31.69,142.69,31.69,47.56,0,0,0,621.79

