Column1,Block,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/31082024/jitpl,NR/30092023/26122029/SH-06,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,GNA/NR/2024/08/14/7906,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/30092023/31122025/SH-07,NR/01082024/15082024/APL-Raigarh,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21658/A/31905,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/31082024/SKS-Raigarh,SR/2024/13861/C,NR/2024/21983/A/31914,GNA/NR/2024/08/14/2226,NR/2024/21974/A/32194,NR/2024/21971/A/32193,NR/2024/21860/A/32234,NR/2024/22533/C,NR/2024/21966/A/32073,NR/2024/21909/A/32122,NR/2024/22010/A/32212,NR/2024/22524/C,NR/2024/22398/A/32233,NR/2024/22432/A/31930,NR/2024/22014/A/31880,NR/2024/21961/A/32143,NR/2024/21938/A/32145,NR/2024/22279/A/31874,NR/2024/21956/A/32163,NR/2024/21814/A/32195,NR/2024/22042/A/31879,NR/2024/21943/A/32159,NR/2024/21918/A/32208,NR/2024/22521/C,NR/2024/21954/A/32160,NR/2024/22523/C,NR/2024/21968/A/32189,NR/2024/21940/A/32161,NR/2024/21970/A/32190,NR/2024/22058/A/31944,NR/01102023/02012046/L_NR_2021_17,NR/2024/22052/A/31943,NR/2024/22532/C,NR/01102023/14082046/L_NR_2021_16,Total
23,05:30-05:45,48.08,4.16,26.8708,0,0,48.08,26.8708,192.34,0,0.53,16.52,12.39,279.85,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,8.66,1.92,113.61,37.87,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1750.8516

24,05:45-06:00,48.08,4.16,26.8708,0,0,48.08,26.8708,192.34,0,0.53,16.52,12.39,287.55,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,7.69,1.92,113.61,37.87,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1757.5816

25,06:00-06:15,48.08,4.16,26.8708,0,0,48.08,26.8708,192.34,0,0.63,16.52,12.39,351.02,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,7.69,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1669.6716000000001

26,06:15-06:30,48.08,4.16,26.8708,0,0,48.08,26.8708,192.34,0,0.63,16.52,12.39,346.21,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,7.69,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1664.8616000000002

27,06:30-06:45,48.08,4.16,26.8708,0,0,48.08,26.8708,192.34,0,0.63,16.52,12.39,346.21,0,0,37.15,37.15,48.08,0,0,0,11.68,0.43,240.42,7.69,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1665.2916

28,06:45-07:00,48.08,4.16,26.8708,0,0,48.08,26.8708,192.34,0,0.63,16.52,12.39,355.83,0,0,37.15,37.15,48.08,0,0,0,11.68,0.73,240.42,7.69,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1675.2116000000003

29,07:00-07:15,48.08,4.16,32,0,0,48.08,25.9614,192.34,0,0.72,16.52,12.39,270.24,0,0,37.15,37.15,48.08,0,0,0,11.68,1.07,240.42,7.69,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1594.2714000000003

30,07:15-07:30,48.08,4.16,32,0,0,48.08,25.9614,192.34,0,0.72,16.52,12.39,277.93,0,0,37.15,37.15,48.08,0,0,0,11.68,1.58,240.42,7.69,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1602.4714000000001

31,07:30-07:45,48.08,4.16,32,0,0,48.08,25.9614,192.34,0,0.72,16.52,12.39,250.04,0,0,37.15,37.15,48.08,0,0,0,11.68,2.16,240.42,7.69,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1575.1614

32,07:45-08:00,48.08,4.16,32,0,0,48.08,25.9614,192.34,0,0.72,16.52,12.39,0,0,0,37.15,37.15,48.08,0,0,0,11.68,2.79,240.42,7.69,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1325.7513999999999

33,08:00-08:15,48.08,4.16,32,0,0,48.08,25.9614,192.34,0,0.96,16.52,12.39,0,0,0,37.15,37.15,48.08,0,0,0,11.68,3.44,240.42,8.66,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1327.6113999999998

34,08:15-08:30,48.08,4.16,32,0,0,48.08,25.9614,192.34,0,0.96,16.52,12.39,0,0,0,37.15,37.15,48.08,0,0,0,11.68,4.11,240.42,8.66,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1328.2813999999998

35,08:30-08:45,48.08,4.16,26.8708,0,0,48.08,26.8708,192.34,0,0.96,16.52,12.39,0,0,0,37.15,37.15,48.08,0,0,0,11.68,4.78,240.42,8.66,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1324.7315999999998

36,08:45-09:00,48.08,4.16,26.8708,0,0,48.08,26.8708,192.34,0,0.96,16.52,12.39,0,0,0,37.15,37.15,48.08,0,0,0,11.68,5.31,240.42,9.62,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1326.2215999999999

37,09:00-09:15,0,4.16,26.8708,0,0,0,26.8708,0,0,0.96,16.52,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,5.81,240.42,9.62,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,42.31,0,0,1379.6116

38,09:15-09:30,0,4.16,26.8708,0,0,0,26.8708,0,0,0.96,16.52,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,6.52,240.42,11.54,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,42.31,0,0,1382.2415999999998

39,09:30-09:45,0,4.16,26.8708,0,0,0,26.8708,0,0,0.96,16.52,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,6.95,240.42,11.54,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,42.31,0,0,1382.6716

40,09:45-10:00,0,4.16,26.8708,0,0,0,26.8708,0,0,0.96,16.52,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,6.73,240.42,11.54,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,42.31,0,0,1382.4515999999999

41,10:00-10:15,0,4.16,26.8708,0,0,0,26.8708,0,0,0.96,14.05,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,8.04,240.42,11.54,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,42.31,0,0,1381.2915999999998

42,10:15-10:30,0,4.16,26.8708,0,0,0,26.8708,0,0,0.96,14.05,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,7.53,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,42.31,0,0,1381.7415999999998

43,10:30-10:45,0,4.16,26.8708,0,0,0,26.8708,0,0,0.96,14.05,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,8.85,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,42.31,0,0,1383.0615999999998

44,10:45-11:00,0,4.16,26.8708,0,0,0,26.8708,0,0,0.96,14.05,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,8.68,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,42.31,0,0,1382.8916

45,11:00-11:15,0,4.16,26.8708,0,0,0,26.8708,0,0,0.96,14.05,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,8.18,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,42.31,0,0,1382.3916

46,11:15-11:30,0,4.16,26.8708,0,0,0,26.8708,0,0,0.96,14.05,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,7.78,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,42.31,0,0,1381.9915999999998

47,11:30-11:45,0,4.16,26.8708,0,0,0,26.8708,0,0,0.96,14.05,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,7.01,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,42.31,0,0,1381.2215999999999

48,11:45-12:00,0,4.16,26.8708,0,0,0,26.8708,0,0,0.96,14.05,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,7.65,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,42.31,0,0,1381.8616

49,12:00-12:15,0,4.16,26.8708,0,0,0,26.8708,0,0,0.96,14.05,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,8.16,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,42.31,0,0,1382.3716

50,12:15-12:30,0,4.16,26.8708,0,0,0,26.8708,0,0,0.96,14.05,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,5.41,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,42.31,0,0,1379.6216

51,12:30-12:45,0,4.16,26.8708,0,0,0,26.8708,0,0,0.96,14.05,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,7.11,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,42.31,0,0,1381.3215999999998

52,12:45-13:00,0,4.16,26.8708,0,0,0,26.8708,0,0,0.96,14.05,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,7,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,42.31,0,0,1381.2115999999999

53,13:00-13:15,0,4.16,26.8708,0,0,0,26.8708,0,0,0.96,11.75,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,8.41,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,42.31,0,0,1380.3216

54,13:15-13:30,0,4.16,26.8708,0,0,0,26.8708,0,0,0.96,11.75,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,9.15,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,42.31,0,0,1381.0616

55,13:30-13:45,0,4.16,26.8708,0,0,0,26.8708,0,0,0.96,11.75,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,8.97,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,42.31,0,0,1380.8816

56,13:45-14:00,0,4.16,26.8708,0,0,0,26.8708,0,0,0.96,11.75,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,8.71,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,42.31,0,0,1380.6216

57,14:00-14:15,0,4.16,26.8708,0,0,0,26.8708,0,0,0.96,11.75,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,6.65,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,33.37,8.94,0,1378.5616

58,14:15-14:30,0,4.16,24.0835,0,0,0,24.0835,0,0,0.96,11.75,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,5.71,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,30.49,11.83,0,1372.0569999999998

59,14:30-14:45,0,4.16,24.0835,0,0,0,24.0835,0,0,0.96,11.75,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,5.79,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,28.66,13.66,0,1372.1370000000002

60,14:45-15:00,0,4.16,24.0835,0,0,0,24.0835,0,0,0.96,11.75,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,7.77,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,26.35,15.96,0,1374.107

61,15:00-15:15,0,4.16,24.0835,0,0,0,24.0835,0,0,0.96,11.75,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,7.47,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,25.39,16.93,0,1373.8170000000002

62,15:15-15:30,0,4.16,24.0835,0,0,0,24.0835,0,0,0.96,11.75,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,7.05,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,22.22,20.1,0,1373.397

