Column1,Time,GNARE/NR/2024/12/20/3668,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,GNA/NR/2025/07/01/8139,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),GNARE/SR/2025/01/13/4532,GNA/NR/2025/07/01/8154,NR/01102023/31102037/L_NR_2019_11,NR/30092023/31122025/SH-07,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/16/5917,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/1044,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,GNA/NR/2025/07/01/2952,GNA/NR/2025/07/01/8128,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/01/2786,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_35,NR/01082024/19092033/Chanju/TPDDL/01082024
16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,20.63,0,0,61.91,0,25.33,56.67,20.63,56.66,0,32.02,20.73,10.57,26.93,-0,15.23,81.69,29.77,270.31,134.79,163.39,0,19.22,3.24,6.38,64.11,4,5.95,55.89,43.68,100.13,26.93,0,0,10.27,130.04,0,17.93

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,20.69,0,0,62.04,0,24.67,63.33,20.69,63.34,0,36.02,20.73,10.57,26.93,-0,15.23,81.69,29.77,270.31,134.79,163.39,0,19.22,3.24,6.15,90.81,4,5.95,75.75,43.68,100.13,26.93,0,0,10.27,130.04,0,17.85

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,20.26,0,0,60.76,0,24,62.67,20.26,62.66,0,36.02,20.73,10.57,26.93,-0,15.23,81.69,29.77,270.31,134.79,163.39,0,19.22,3.24,6.15,64.11,4,5.95,75.75,43.68,100.13,26.93,0,0,10.27,130.04,0,17.85

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,21.25,0,0,63.72,0,23.33,62,21.25,62,0,37.02,20.73,10.57,26.93,-0,15.23,81.69,29.28,270.31,134.79,163.39,0,19.22,3.24,6.15,64.11,4,5.95,55.89,43.68,100.13,26.93,0,0,10.27,130.04,0,17.85

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,20.76,0,0,62.3,0,22.67,61.33,20.76,61.34,0,37.02,20.73,10.57,26.93,-0,15.23,81.69,29.28,270.31,134.79,163.39,0,19.22,3.24,6.15,64.11,4,5.95,55.89,43.68,100.13,26.93,0,0,10.27,130.04,0,17.85

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,26.67,0,0,79.99,0,25,60,26.67,60,0,37.02,20.73,10.42,26.93,-0,15.23,81.69,28.77,270.31,134.79,163.39,0,19.22,3.24,6.15,64.11,4,5.95,55.89,43.68,100.13,26.93,0,0,9.76,130.04,0,17.75

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,26.33,0,0,79.01,0,24.67,59.33,26.33,59.34,0,37.02,20.73,10.42,26.93,-0,15.23,81.69,28.77,270.31,134.79,163.39,0,19.22,3.24,6.15,64.11,4,5.95,55.89,43.68,100.13,26.93,0,0,9.76,115.77,0,17.75

23,05:30-05:45,0,0,0,0,0,0,0,0,0,0,26,0,0,78,0,24.33,58.33,26,58.34,0,36.82,20.73,10.42,26.93,-0,15.23,81.69,29.28,270.31,134.79,163.39,0,19.22,3.24,6.15,64.11,4,5.95,55.89,43.68,100.13,26.93,0,0,9.76,102.32,0,17.75

24,05:45-06:00,0.17,0,0,0,1,0,0,0,0,0,25.67,0.05,0,76.99,0,24,56.67,25.67,56.66,0,36.42,20.73,10.42,26.93,-0,15.23,81.69,29.28,270.31,134.79,163.39,0,19.22,3.24,6.15,64.11,4,5.95,55.89,43.68,100.13,26.93,0,0,9.76,102.32,0,17.75

25,06:00-06:15,0.96,0.31,1.57,1,1,1,0,1,0,0,25.33,1.27,7.85,76.01,1.77,23.67,55,25.33,55,0,36.02,20.73,10.34,26.93,-0,15.23,81.69,29.28,270.31,134.79,163.39,0,19.22,3.24,6.01,64.11,2.11,6.95,55.89,43.68,100.13,26.93,0,0,9.76,102.32,0,17.75

26,06:15-06:30,1.8,0.76,3.8,2,3,2,1,2,0,0,25,3.22,13.31,75,4.34,23.33,53.33,25,53.34,0,35.62,20.73,10.34,26.93,-0,15.23,81.69,29.28,270.31,134.79,163.39,0,19.22,3.24,6.01,64.11,2.11,6.95,55.89,43.68,100.13,26.93,0,0,9.76,102.32,0,17.75

27,06:30-06:45,2.92,1.32,6.59,3,4,3,2,3,0,0,17.94,5.41,19.89,53.83,15.38,22.67,52.67,17.94,52.66,3,37.61,20.73,10.34,26.93,-0,15.23,81.69,29.28,270.31,134.79,163.39,0,19.22,3.24,6.01,64.11,4.68,6.83,55.89,43.68,100.13,26.93,0.74,0.96,9.76,102.32,0.96,17.75

28,06:45-07:00,4.68,1.99,9.95,7,6,6,3,4,0,0,17.02,7.89,27.23,51.03,23.47,21.67,52,17.02,52,5,37.42,20.73,10.34,26.93,-0,15.23,81.69,29.28,270.31,134.79,163.39,0,19.22,3.24,6.01,64.11,4.66,6.83,55.89,43.68,100.13,26.93,1.08,1.39,9.76,102.32,1.39,17.75

29,07:00-07:15,6.18,3.11,15.57,10,9,11,5,5,0,0,15.69,10.45,33,47.05,32.74,20.67,33.33,15.69,33.34,8,39.02,20.73,10.34,26.93,-0,15.23,81.69,27.76,270.31,134.79,163.39,0,19.22,3.24,6.01,64.11,4.39,6.83,55.89,43.68,100.13,26.93,1.55,2,9.76,102.32,2,17.67

30,07:15-07:30,7.67,4.23,21.17,12,12,13,6,7,0,0,14.3,12.94,33,42.88,33,20,34,14.3,34,13,38.42,20.73,10.34,26.93,-0,15.23,81.69,27.26,270.31,134.79,163.39,0,19.22,3.24,6.01,64.11,4.39,6.83,55.89,43.68,100.13,26.93,2.04,2.64,9.76,102.32,2.64,17.67

31,07:30-07:45,9.17,5.35,26.77,15,15,13,7,8,0,0,12.93,15.39,33,38.78,33,18.33,35,12.93,35,20,39.02,20.73,10.34,26.93,-0,15.23,81.69,27.76,270.31,134.79,163.39,0,19.22,3.24,6.01,64.11,4.39,6.83,55.89,43.68,100.13,26.93,2.54,3.28,9.76,102.32,3.28,17.67

32,07:45-08:00,10.67,6.47,32.37,20,19,14,10,9,0,0,11.76,17.8,32.6,35.26,32.6,16.67,36.33,11.76,36.34,28,38.42,20.73,10.34,26.93,-0,15.23,81.69,27.76,231.87,134.79,163.39,0,19.22,3.24,6.01,64.11,4.39,6.83,55.89,43.68,100.13,26.93,2.97,3.84,9.76,102.32,3.84,17.67

33,08:00-08:15,14.58,9.06,45.27,25,24,16,12,9,0,0,22.5,20.18,31.9,67.5,31.9,23.33,60,22.5,60,31.9,42.02,20.73,10.19,26.93,-0,15.23,81.69,27.76,193.42,134.79,163.39,0,19.22,3.24,5.87,70.08,4,6.83,55.89,43.68,100.13,26.93,3.54,4.59,9.76,102.32,4.59,17.67

34,08:15-08:30,18.49,11.74,58.71,29,28,17,15,10,0,0,22.67,22.51,33,67.99,33,23.33,60.67,22.67,60.66,33,42.02,20.73,10.19,26.93,-0,15.23,81.69,27.76,154.98,134.79,163.39,0,19.22,3.24,5.87,70.08,2.11,6.48,37.99,43.68,100.13,26.93,4.02,5.21,9.76,72.41,5.21,17.67

35,08:30-08:45,22.4,14.46,72.31,35,31,25,18,12,0,0,22.83,25.99,33,68.51,33,23.33,61.67,22.83,61.66,33,42.02,20.73,10.19,26.93,-0,15.23,81.69,27.76,149.46,134.79,163.39,0,19.22,3.24,5.87,70.08,2.11,3.08,37.99,43.68,100.13,26.93,4.56,5.91,9.76,72.41,5.91,17.67

36,08:45-09:00,26.31,16.36,81.8,40,36,28,20,13,0,0,23,24.78,33,69,33,23.33,63.33,23,63.34,33,42.02,20.73,10.19,26.93,-0,15.23,81.69,27.26,149.46,134.79,163.39,0,19.22,3.24,5.87,70.08,2.11,3.08,37.99,43.68,100.13,26.93,5.15,6.67,9.76,72.41,6.67,17.67

37,09:00-09:15,36.27,17.36,86.8,48,43,33,24,16,0,0,23.33,29.23,33,70.01,33,23.67,64,23.33,64,33,44.02,20.73,10.19,26.94,-0,15.23,81.69,26.25,149.46,134.79,163.39,0,19.22,3.24,5.87,70.08,2.11,3.08,37.99,43.68,100.13,26.94,5.75,7.43,10.47,72.41,7.43,17.57

38,09:15-09:30,41.22,18.36,91.8,53,48,35,27,16,0,0,23.33,33.65,33,70.01,33,24,66.67,23.33,66.66,33,44.02,20.73,10.19,26.94,-0,15.23,81.69,25.23,149.46,134.79,163.39,0,19.22,3.24,5.87,70.08,2.11,3.08,37.99,43.68,100.13,26.94,6.15,7.96,10.47,72.41,7.96,17.57

39,09:30-09:45,51.12,19.83,99.12,50,45,45,25,21,0,0,23.33,34.09,33,70.01,33,27.07,66.67,23.33,66.66,33,44.02,20.73,10.19,26.94,-90.62,15.23,81.69,24.22,149.46,134.79,163.39,0,19.22,3.24,5.87,70.08,2.11,3.08,37.99,43.68,100.13,26.94,6.81,8.81,10.47,72.41,8.81,17.57

40,09:45-10:00,57.08,20.88,104.42,55,49,48,27,23,0,0,23.33,34.19,33,70.01,33,27.68,66.67,23.33,66.66,33,44.02,20.73,10.19,26.94,-90.62,15.23,81.69,23.21,149.46,134.79,163.39,0,19.22,3.24,5.87,70.08,4,5.95,55.89,43.68,100.13,26.94,7.47,9.68,10.47,102.32,9.68,17.57

41,10:00-10:15,61.91,23.53,117.63,60,52,52,30,25,0,0,23.33,33.69,33,70.01,33,27.98,66.67,23.33,66.66,33,44.02,20.73,10.5,26.94,-90.88,15.23,81.69,22.71,187.9,134.79,163.39,0,19.22,3.24,5.87,70.08,4,5.95,55.89,24.03,100.13,26.94,8.16,10.56,10.47,102.32,10.56,17.57

42,10:15-10:30,65.07,26.06,130.31,63,55,55,32,27,0,0,23.33,58.52,33,70.01,33,28.58,66.67,23.33,66.66,33,44.02,20.73,10.5,26.94,-90.88,15.23,81.69,22.71,226.35,134.79,163.39,0,19.22,3.24,5.87,70.08,4,5.95,55.89,24.03,100.13,26.94,8.67,11.22,10.47,102.32,11.22,17.57

43,10:30-10:45,67.97,26.39,131.96,57,51,67,28,30,0,0,23.33,61.44,33,70.01,33,28.58,75,23.33,75,33,44.02,20.73,10.5,26.94,-90.88,15.23,81.69,22.71,264.79,134.79,163.39,0,19.22,3.24,5.87,70.08,4,5.95,55.89,24.03,100.13,26.94,9,11.64,10.47,102.32,11.64,17.57

44,10:45-11:00,70.46,28.45,142.27,59,54,70,29,34,0,0,23.33,65.35,33,70.01,33,29.18,75,23.33,75,33,44.02,20.73,10.5,26.94,-90.88,15.23,81.69,22.71,270.31,134.79,163.39,0,19.22,3.24,5.87,70.08,4,5.95,55.89,24.03,100.13,26.94,9.31,12.04,10.47,102.32,12.04,17.57

45,11:00-11:15,72,33.67,168.33,53,51,67,27,30,0,0,23.33,67.3,33,70.01,33,29.48,75,23.33,75,33,44.02,20.73,10.73,26.94,-90.88,15.23,81.69,22.71,270.31,134.79,163.39,0,19.22,3.24,5.12,70.08,4,6.95,75.75,24.03,52.86,26.94,9.49,12.29,10.47,111.78,12.29,17.47

46,11:15-11:30,73.33,34,170,55,51,67,27,30,0,0,23.33,67.26,33,70.01,33,29.48,75,23.33,75,33,44.02,20.73,10.73,26.94,-90.88,15.23,81.69,22.71,270.31,134.79,163.39,0,19.22,3.24,5.12,70.08,4,6.93,75.75,24.03,52.86,26.94,9.58,12.4,10.47,111.78,12.4,17.47

47,11:30-11:45,85.17,43.46,217.28,57,54,67,28,34,0,0,23.33,71.79,33,70.01,33,29.18,66.67,23.33,66.66,33,39.02,20.73,10.73,26.94,-90.88,15.23,81.69,24.22,270.31,134.79,163.39,0,19.22,3.24,5.12,70.08,4,6.88,75.75,24.03,52.86,26.94,9.62,12.45,10.47,111.78,12.45,17.29

48,11:45-12:00,85.63,43.63,218.16,59,54,67,29,34,0,0,23.33,76.15,33,70.01,33,28.58,66.67,23.33,66.66,33,39.02,20.73,10.73,26.94,-90.88,15.23,81.69,24.22,270.31,134.79,163.39,0,19.22,3.24,5.12,70.08,4,6.88,75.75,24.03,52.86,26.94,9.68,12.52,10.47,111.78,12.52,17.29

49,12:00-12:15,86.47,39.9,199.49,50,51,67,25,34,0,0,26.67,80.29,33,79.99,33,28.58,66.67,26.67,66.66,33,39.02,20.73,10.73,26.95,-90.88,15.23,81.69,24.22,270.31,134.79,163.39,0,19.22,3.24,5.82,70.08,2.11,3.08,57.86,24.03,52.86,26.95,9.68,12.52,10.47,81.87,12.52,17.29

50,12:15-12:30,85.88,39.52,197.57,52,66,67,26,34,0,0,26.67,94.5,33,79.99,33,28.58,66.67,26.67,66.66,33,40.02,20.73,10.73,26.95,-90.88,15.23,81.69,24.22,270.31,134.79,163.39,0,19.22,3.24,5.82,70.08,2.11,3.08,57.86,24.03,52.86,26.95,9.7,12.55,10.47,81.87,12.55,17.29

51,12:30-12:45,91.33,39.28,196.38,48,42,67,24,30,0,0,26.67,93.42,33,79.99,33,28.58,66.67,26.67,66.66,33,40.02,20.73,10.73,26.95,-90.88,15.23,81.69,24.22,270.31,134.79,163.39,0,19.22,3.24,5.82,70.08,2.11,3.08,57.86,24.03,52.86,26.95,10.26,13.28,10.47,81.87,13.28,17.29

52,12:45-13:00,90.73,39.12,195.61,50,42,67,25,30,0,0,26.33,92.15,33,79.01,33,28.28,66.67,26.33,66.66,33,41.02,20.73,10.73,26.95,-90.88,15.23,81.69,24.22,270.31,134.79,163.39,0,19.22,3.24,5.82,70.08,2.11,3.08,57.86,24.03,52.86,26.95,10.49,13.57,10.47,81.87,13.57,17.29

53,13:00-13:15,89.94,42.47,212.33,43,42,73,22,27,0,0,27.5,90.48,33,82.5,33,33.67,72,27.5,72,33,42.02,20.73,10.73,26.95,-90.88,15.23,81.69,24.22,270.31,134.79,163.39,0,19.22,3.24,5.82,70.08,2.11,6.95,57.86,24.03,52.86,26.95,10.43,13.5,10.47,81.87,13.5,13.16

54,13:15-13:30,88.95,42.42,212.08,45,42,72,23,27,0,0,28.5,88.51,33,85.5,33,33.67,73,28.5,73,33,43.02,20.73,10.73,26.95,-90.88,15.23,81.69,24.22,270.31,134.79,163.39,0,19.22,3.24,5.82,70.08,2.11,6.83,57.86,24.03,52.86,26.95,10.37,13.41,10.47,81.87,13.41,13.16

55,13:30-13:45,87.68,43.19,215.95,57,51,53,28,21,0,0,26.67,98.2,33,79.99,33,30.3,73.67,26.67,73.66,33,44.02,20.73,10.73,26.95,-90.88,15.23,81.69,24.22,270.31,134.79,163.39,0,19.22,0,5.82,70.08,2.11,6.67,57.86,24.03,52.86,26.95,10.19,13.19,10.47,81.87,13.19,13.16

56,13:45-14:00,85.18,41.79,208.92,60,51,53,30,21,0,0,26.67,99.49,33,79.99,33,30.6,74.33,26.67,74.34,33,44.02,20.73,10.73,26.95,-90.88,15.23,81.69,24.22,270.31,134.79,163.39,0,19.22,0,5.82,70.08,2.11,6.67,57.86,24.03,52.86,26.95,10.09,13.06,10.47,81.87,13.06,13.16

57,14:00-14:15,82.52,40.9,204.51,53,45,50,27,21,0,0,26.67,99.91,33,79.99,33,28.18,71.33,26.67,71.34,33,44.02,20.73,10.73,26.95,-90.88,15.23,81.69,23.21,270.31,134.79,163.39,0,19.22,0,5.96,70.08,2.11,6.67,57.86,24.03,52.86,26.95,9.48,12.27,10.47,81.87,12.27,13.16

58,14:15-14:30,80.1,38.8,194.02,57,45,50,28,21,0,0,26.67,99.51,33,79.99,33,28.35,71.67,26.67,71.66,33,44.02,20.73,10.73,26.95,-90.88,15.23,81.69,23.21,270.31,134.79,163.39,0,19.22,0,5.96,70.08,2.11,6.67,57.86,24.03,52.86,26.95,8.91,11.53,10.47,81.87,11.53,13.16

59,14:30-14:45,79.93,37.61,188.03,47,40,53,23,21,0,0,26.67,90.25,33,79.99,33,28.45,72.33,26.67,72.34,33,44.02,20.73,10.73,26.95,-90.88,15.23,81.69,24.22,270.31,134.79,163.39,0,19.22,0,5.96,70.08,2.11,6.67,37.99,24.03,52.86,26.95,6.04,7.82,10.47,54.15,7.82,13.16

60,14:45-15:00,77.27,36.75,183.73,50,39,55,25,21,0,0,26.67,54.87,33,79.99,33,28.53,72.67,26.67,72.66,33,44.02,20.73,10.73,26.95,-90.88,15.23,81.69,24.22,270.31,134.79,163.39,0,19.22,0,5.96,70.08,2.11,6.67,37.99,24.03,52.86,26.95,5.68,7.36,10.47,54.15,7.36,13.16

61,15:00-15:15,50.98,35.38,176.92,40,36,57,20,21,0,0,26.67,60.69,33,79.99,33,28.6,73,26.67,73,33,44.02,20.73,10.73,26.95,-90.88,15.23,81.69,24.22,270.31,134.79,163.39,0,19.22,0,6.2,70.08,2.11,6.67,41.04,24.03,79.77,26.95,5.67,7.34,10.47,72.41,7.34,13.16

62,15:15-15:30,47.92,34.38,171.92,41,34,56,21,21,0,0,26.67,56.29,33,79.99,33,28.67,73.67,26.67,73.66,33,44.02,20.73,10.73,26.95,-90.88,15.23,81.69,24.22,270.31,134.79,163.39,0,19.22,0,6.2,70.08,2.11,6.67,38.44,24.03,100.13,26.95,5.53,7.16,10.47,72.41,7.16,13.16

63,15:30-15:45,34.67,27.82,139.1,37,34,54,18,20,0,0,26.67,52.48,33,79.99,33,28.74,73.33,26.67,73.34,33,44.02,20.73,10.73,26.95,-90.88,15.23,81.69,24.73,270.31,134.79,163.39,0,19.22,0,6.2,70.08,2.11,6.67,38.44,24.03,100.13,26.95,5.36,6.94,10.47,72.41,6.94,13.16

64,15:45-16:00,35.33,26.07,130.35,35,33,53,17,19,0,0,26.67,48.58,33,79.99,33,28.82,74,26.67,74,33,44.02,20.73,10.73,26.95,-90.88,15.23,81.69,25.24,270.31,134.79,163.39,0,19.22,0,6.2,70.08,2.11,6.67,38.44,24.03,100.13,26.95,5.17,6.69,10.47,72.41,6.69,13.16

65,16:00-16:15,39.05,24.13,120.66,47,42,48,23,20,0,0,29.17,44.74,33,87.49,33,36,74,29.17,74,24,44.02,20.73,10.73,26.95,-90.88,15.23,81.69,25.24,270.31,134.79,163.39,0,19.22,0,6.53,70.08,2.11,6.16,38.44,24.03,100.13,26.95,4.66,6.03,10.47,72.41,6.03,13.16

66,16:15-16:30,36.18,22.3,111.48,45,39,45,23,19,0,0,29.17,43.82,33,87.49,33,35.67,74.67,29.17,74.66,16,44.02,20.73,10.73,26.95,-90.88,15.23,81.69,26.25,270.31,134.79,163.39,0,19.22,0,6.53,70.08,2.11,6.16,38.44,24.03,100.13,26.95,4.13,5.35,10.47,72.41,5.35,13.16

67,16:30-16:45,33.89,14.94,74.67,41,37,42,21,14,0,0,33.33,37.02,33,100.01,33,34,81.67,33.33,81.66,8,44.02,20.73,10.73,26.95,-90.88,15.23,81.69,26.25,270.31,134.79,163.39,0,19.22,0,6.53,70.08,2.11,6.16,38.44,24.03,100.13,26.95,3.56,4.61,10.47,72.41,4.61,13.16

68,16:45-17:00,30.36,13.35,66.77,37,33,35,19,12,0,0,33.33,33.52,33,100.01,33,33.67,81.33,33.33,81.34,5,44.02,20.73,10.73,26.95,-0,15.23,81.69,26.25,270.31,134.79,163.39,0,19.22,0,6.53,70.08,2.11,6.16,38.44,24.03,100.13,26.95,3,3.89,10.47,72.41,3.89,13.16

69,17:00-17:15,26.49,10.1,50.47,33,30,22,17,9,0,0,29.17,29.86,33,87.49,33,29.96,72,29.17,72,2,44.02,20.73,10.73,26.95,-0,15.23,81.69,26.25,270.31,134.79,163.39,0,19.22,0,6.89,70.08,2.11,6.16,38.44,24.03,100.13,26.95,2.57,3.31,10.47,72.41,3.31,18.67

