Column1,Block,NR/2024/23769/A/42229,NR/2024/23825/C,GNA/NR/2024/11/01/1868,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/9042,NR/2024/23807/A/42233,GNA/NR/2024/11/01/5428,WR/2024/24788/A/42362,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/5474,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/9061,NR/2024/23420/A/42283,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/3646,NR/2024/23837/C,NR/2024/23836/C,NR/2024/23835/C,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,Total
3,00:30-00:45,5.76,2.88,8.72,26.91,17.45,4.8,26.17,0,26.91,285.39,3.75,26.17,26.17,0.48,8.72,95.12,0,0,0,0,0,565.4000000000001

4,00:45-01:00,5.76,2.88,8.72,26.91,17.45,4.8,26.17,0,26.91,285.39,3.75,26.17,26.17,0.48,8.72,95.12,0,0,0,0,0,565.4000000000001

5,01:00-01:15,5.76,2.88,8.72,26.91,17.45,4.8,26.17,0,26.91,285.39,3.75,26.17,26.17,0.48,7.2,95.12,0,0,0,0,0,563.8800000000001

6,01:15-01:30,5.76,2.88,8.72,26.91,17.45,4.8,26.17,0,26.91,285.39,3.75,26.17,26.17,0.48,7.2,95.12,0,0,0,0,0,563.8800000000001

7,01:30-01:45,5.76,2.88,8.72,26.91,17.45,4.8,26.17,0,26.91,285.39,3.75,26.17,26.17,0.48,7.2,95.12,0,0,0,0,0,563.8800000000001

8,01:45-02:00,5.76,2.88,8.72,26.91,17.45,4.8,26.17,0,26.91,285.39,3.75,26.17,26.17,0.48,7.2,95.12,0,0,0,0,0,563.8800000000001

9,02:00-02:15,5.76,2.88,8.72,26.91,17.45,4.8,26.17,0,26.91,285.39,3.75,26.17,26.17,0.48,7.2,95.12,0,0,0,0,0,563.8800000000001

10,02:15-02:30,5.76,2.88,8.72,26.91,17.45,4.8,26.17,0,26.91,285.39,3.75,26.17,26.17,0.48,7.2,95.12,0,0,0,0,0,563.8800000000001

11,02:30-02:45,5.76,2.88,8.72,26.91,17.45,4.8,26.17,0,26.91,285.39,3.75,26.17,26.17,0.48,7.2,95.12,0,0,0,0,0,563.8800000000001

12,02:45-03:00,5.76,2.88,8.72,26.91,17.45,4.8,26.17,0,26.91,285.39,3.75,26.17,26.17,0.48,7.2,95.12,0,0,0,0,0,563.8800000000001

13,03:00-03:15,5.76,2.88,8.72,26.91,17.45,4.8,26.17,0,26.91,285.39,3.75,26.17,26.17,0.43,7.2,95.12,0,0,0,0,0,563.83

14,03:15-03:30,5.76,2.88,8.72,26.91,17.45,4.8,26.17,0,26.91,285.39,3.75,26.17,26.17,0.43,7.2,95.12,0,0,0,0,0,563.83

15,03:30-03:45,5.76,2.88,8.72,26.91,17.45,4.8,26.17,0,26.91,285.39,3.75,26.17,26.17,0.43,7.2,95.12,0,0,0,0,0,563.83

16,03:45-04:00,5.76,2.88,8.72,26.91,17.45,4.8,26.17,0,26.91,285.39,3.75,26.17,26.17,0.43,7.2,95.12,0,0,0,0,0,563.83

17,04:00-04:15,5.76,2.88,8.72,26.91,17.45,4.8,26.17,0,26.91,285.39,3.75,26.17,26.17,0.43,7.2,95.12,0,0,0,0,0,563.83

18,04:15-04:30,5.76,2.88,8.72,26.91,17.45,4.8,26.17,0,26.91,285.39,3.75,26.17,26.17,0.43,7.2,95.12,0,0,0,0,0,563.83

19,04:30-04:45,5.76,2.88,8.72,26.91,17.45,4.8,26.17,0,26.91,285.39,3.75,26.17,26.17,0.43,7.2,95.12,0,0,0,0,0,563.83

20,04:45-05:00,5.76,2.88,8.72,26.91,17.45,4.8,26.17,0,26.91,285.39,3.75,26.17,26.17,0.43,7.2,95.12,0,0,0,0,0,563.83

21,05:00-05:15,5.76,2.88,8.72,26.91,17.45,4.8,26.17,0,26.91,285.39,3.75,26.17,26.17,0.43,7.2,95.12,0,0,0,0,0,563.83

22,05:15-05:30,5.76,2.88,8.72,26.91,17.45,4.8,26.17,0,26.91,285.39,3.75,26.17,26.17,0.43,7.2,95.12,0,0,0,0,0,563.83

23,05:30-05:45,5.76,2.88,8.72,26.91,17.45,4.8,26.17,0,26.91,285.39,3.75,26.17,26.17,0.43,7.2,95.12,0,0,0,0,0,563.83

24,05:45-06:00,5.76,2.88,8.72,26.91,17.45,4.8,26.17,0,26.91,285.39,3.75,26.17,26.17,0.43,7.2,95.12,0,0,0,0,0,563.83

25,06:00-06:15,5.76,2.88,8.72,26.16,17.45,4.8,26.17,0,26.91,0,3.75,26.17,26.17,0.43,7.2,0,0,0,0,0,0,182.57

26,06:15-06:30,5.76,2.88,8.72,26.16,17.45,4.8,26.17,0,26.91,0,3.75,26.17,26.17,0.43,7.2,0,0,0,0,0,0,182.57

27,06:30-06:45,5.76,2.88,8.72,26.16,17.45,4.8,26.17,0,32,0,3.75,26.17,26.17,0.43,7.2,0,0,0,0,0,0,187.66000000000003

28,06:45-07:00,5.76,2.88,8.72,26.16,17.45,4.8,26.17,0,32,0,3.75,26.17,26.17,0.43,7.2,0,0,0,0.39,0,0,188.05

29,07:00-07:15,5.76,2.88,8.72,26.16,17.45,4.8,26.17,0,32,0,3.75,26.17,26.17,0.58,7.2,0,0,0,0.49,0,0,188.30000000000004

30,07:15-07:30,5.76,2.88,8.72,26.16,17.45,4.8,26.17,0,32,0,3.75,26.17,26.17,0.58,7.2,0,0,0,0.84,0,0,188.65000000000003

31,07:30-07:45,5.76,2.88,11.04,26.16,22.1,4.8,33.14,0,32,0,3.75,33.14,33.14,0.58,7.2,0,0,0,0.96,0,0,216.64999999999998

32,07:45-08:00,5.76,2.88,11.04,26.16,22.1,4.8,33.14,0,32,0,3.75,33.14,33.14,0.58,7.2,0,0,0,0.99,0,0,216.67999999999998

33,08:00-08:15,5.76,2.88,11.04,26.16,22.1,4.8,33.14,0,32,0,3.75,33.14,33.14,0.96,7.2,0,0,0,1.46,0,0,217.52999999999997

34,08:15-08:30,5.76,2.88,11.04,26.16,22.1,4.8,33.14,0,32,0,3.75,33.14,33.14,0.96,7.2,0,0,0,1.52,0,0,217.58999999999997

35,08:30-08:45,5.76,2.88,11.04,26.16,22.1,4.8,33.14,0,32,0,3.75,33.14,33.14,0.96,7.2,0,0,0,1.7,0,0,217.76999999999995

36,08:45-09:00,5.76,2.88,11.04,26.16,22.1,4.8,33.14,0,32,0,3.75,33.14,33.14,0.96,7.2,0,0,0,2.4,0,0,218.46999999999997

37,09:00-09:15,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.75,33.14,33.14,0.86,7.2,0,30,25,2.69,0,0,269.32

38,09:15-09:30,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.75,33.14,33.14,0.86,7.2,0,30,25,3.07,0,0,269.7

39,09:30-09:45,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.75,33.14,33.14,0.86,7.2,0,30,25,3.45,0,0,270.08

40,09:45-10:00,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.75,33.14,33.14,0.86,7.2,0,30,25,3.74,0,0,270.37

41,10:00-10:15,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.75,33.14,33.14,0.86,7.2,0,30,25,4.22,0,0,270.85

42,10:15-10:30,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.75,33.14,33.14,0.86,7.2,0,30,25,4.61,0,0,271.24

43,10:30-10:45,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.75,33.14,33.14,0.86,7.2,0,30,25,4.99,0,0,271.62

44,10:45-11:00,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.75,33.14,33.14,0.86,7.2,0,30,25,5.57,0,0,272.2

45,11:00-11:15,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.86,7.2,0,30,25,6.09,0,0,272.63999999999993

46,11:15-11:30,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.86,7.2,0,30,25,6.38,0,0,272.92999999999995

47,11:30-11:45,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.86,7.2,0,30,25,6.86,0,0,273.40999999999997

48,11:45-12:00,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.86,7.2,0,30,25,7.2,0,0,273.74999999999994

49,12:00-12:15,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.86,7.2,0,30,25,7.39,0,0,273.93999999999994

50,12:15-12:30,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.86,7.2,0,30,25,7.72,0,0,274.27

51,12:30-12:45,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.86,7.2,0,30,25,7.96,0,0,274.50999999999993

52,12:45-13:00,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.86,7.2,0,30,25,8.22,0,0,274.77

53,13:00-13:15,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.77,7.2,0,30,25,7.82,0,0,274.2799999999999

54,13:15-13:30,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.77,7.2,0,30,25,7.39,0,0,273.8499999999999

55,13:30-13:45,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.77,7.2,0,30,25,7.1,0,0,273.55999999999995

56,13:45-14:00,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.77,7.2,0,30,25,6.91,0,0,273.36999999999995

57,14:00-14:15,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.96,7.2,0,30,25,6.43,0,0,273.08

58,14:15-14:30,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.96,7.2,0,30,25,5.95,0,0,272.59999999999997

59,14:30-14:45,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.96,7.2,0,30,25,5.47,0,0,272.12

60,14:45-15:00,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.96,7.2,0,30,25,4.99,0,0,271.64

61,15:00-15:15,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.86,7.2,0,30,25,4.61,0,0,271.15999999999997

62,15:15-15:30,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.86,7.2,0,30,25,4.32,0,0,270.86999999999995

63,15:30-15:45,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.86,7.2,0,30,25,3.65,0,0,270.19999999999993

64,15:45-16:00,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.86,7.2,0,28,26.9,2.88,0,0,269.3299999999999

65,16:00-16:15,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.77,7.2,0,23.5,22.2,2.3,0,0,259.46

66,16:15-16:30,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.77,7.2,0,19,15.8,1.73,0,0,247.98999999999995

67,16:30-16:45,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.77,7.2,0,14.6,23.6,1.5,0,0,251.15999999999994

68,16:45-17:00,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.77,7.2,0,10.5,14.7,1.29,0,0,237.94999999999993

69,17:00-17:15,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.58,7.2,0,0,0,0.72,0,0,211.98999999999995

70,17:15-17:30,5.76,2.88,11.04,26.91,22.1,4.8,33.14,0,26.91,0,3.67,33.14,33.14,0.58,7.2,0,0,0,0.59,0,0,211.85999999999996

71,17:30-17:45,5.76,2.88,11.04,25.28,22.1,4.8,33.14,0,25.28,0,3.67,33.14,33.14,0.58,7.2,0,0,0,0.52,0,0,208.52999999999997

72,17:45-18:00,5.76,2.88,11.04,25.28,22.1,4.8,33.14,0,25.28,0,3.67,33.14,33.14,0.58,7.2,0,0,0,0.14,0,0,208.14999999999995

73,18:00-18:15,5.76,2.88,11.04,18.98,22.1,4.8,33.14,38.38,18.98,0,3.75,33.14,33.14,0.62,7.2,0,0,0,0,150,50,433.90999999999997

74,18:15-18:30,5.76,2.88,11.04,18.98,22.1,4.8,33.14,38.38,18.98,0,3.75,33.14,33.14,0.62,7.2,0,0,0,0,150,50,433.90999999999997

75,18:30-18:45,5.76,2.88,11.04,18.98,22.1,4.8,33.14,38.38,18.98,0,3.75,33.14,33.14,0.62,7.2,0,0,0,0,150,50,433.90999999999997

76,18:45-19:00,5.76,2.88,11.04,18.98,22.1,4.8,33.14,38.38,18.98,0,3.75,33.14,33.14,0.62,7.2,0,0,0,0,150,50,433.90999999999997

77,19:00-19:15,5.76,2.88,11.04,18.98,22.1,4.8,33.14,38.38,18.98,0,3.75,33.14,33.14,0.62,7.2,0,0,0,0,150,50,433.90999999999997

78,19:15-19:30,5.76,2.88,11.04,18.98,22.1,4.8,33.14,38.38,18.98,0,3.75,33.14,33.14,0.62,7.2,0,0,0,0,150,50,433.90999999999997

79,19:30-19:45,5.76,2.88,11.04,18.98,22.1,4.8,33.14,38.38,18.98,0,3.75,33.14,33.14,0.62,7.2,0,0,0,0,150,50,433.90999999999997

80,19:45-20:00,5.76,2.88,11.04,18.98,22.1,4.8,33.14,38.38,18.98,0,3.75,33.14,33.14,0.62,7.2,0,0,0,0,150,50,433.90999999999997

81,20:00-20:15,5.76,2.88,11.04,18.98,22.1,4.8,33.14,38.38,18.98,0,3.85,33.14,33.14,0.62,7.2,0,0,0,0,200,50,484.01

82,20:15-20:30,5.76,2.88,11.04,18.98,22.1,4.8,33.14,38.38,18.98,0,3.85,33.14,33.14,0.62,7.2,0,0,0,0,200,50,484.01

83,20:30-20:45,5.76,2.88,11.04,18.98,22.1,4.8,33.14,38.38,18.98,0,3.85,33.14,33.14,0.62,7.2,0,0,0,0,200,50,484.01

84,20:45-21:00,5.76,2.88,11.04,18.98,22.1,4.8,33.14,38.38,18.98,0,3.85,33.14,33.14,0.62,7.2,0,0,0,0,200,50,484.01

85,21:00-21:15,5.76,2.88,8.72,18.98,17.45,4.8,26.17,38.38,18.98,0,3.85,26.17,26.17,0.62,7.2,0,0,0,0,200,50,456.13

86,21:15-21:30,5.76,2.88,8.72,18.98,17.45,4.8,26.17,38.38,18.98,0,3.85,26.17,26.17,0.62,7.2,0,0,0,0,200,50,456.13

87,21:30-21:45,5.76,2.88,8.72,18.98,17.45,4.8,26.17,38.38,18.98,0,3.85,26.17,26.17,0.62,7.2,0,0,0,0,200,50,456.13

88,21:45-22:00,5.76,2.88,8.72,18.98,17.45,4.8,26.17,38.38,18.98,0,3.85,26.17,26.17,0.62,7.2,0,0,0,0,200,50,456.13

89,22:00-22:15,5.76,2.88,8.72,0,17.45,4.8,26.17,38.38,0,285.39,3.75,26.17,26.17,0.62,7.2,95.12,0,0,0,200,50,798.5799999999999

90,22:15-22:30,5.76,2.88,8.72,0,17.45,4.8,26.17,38.38,0,285.39,3.75,26.17,26.17,0.62,7.2,95.12,0,0,0,200,50,798.5799999999999

91,22:30-22:45,5.76,2.88,8.72,0,17.45,4.8,26.17,38.38,0,285.39,3.75,26.17,26.17,0.62,7.2,95.12,0,0,0,200,50,798.5799999999999

92,22:45-23:00,5.76,2.88,8.72,0,17.45,4.8,26.17,38.38,0,285.39,3.75,26.17,26.17,0.62,7.2,95.12,0,0,0,200,50,798.5799999999999

93,23:00-23:15,5.76,2.88,8.72,0,17.45,4.8,26.17,38.38,0,285.39,3.75,26.17,26.17,0.62,7.2,95.12,0,0,0,200,50,798.5799999999999

94,23:15-23:30,5.76,2.88,8.72,0,17.45,4.8,26.17,38.38,0,285.39,3.75,26.17,26.17,0.62,7.2,95.12,0,0,0,200,50,798.5799999999999

95,23:30-23:45,5.76,2.88,8.72,0,17.45,4.8,26.17,38.38,0,285.39,3.75,26.17,26.17,0.62,7.2,95.12,0,0,0,200,50,798.5799999999999

96,23:45-24:00,5.76,2.88,8.72,0,17.45,4.8,26.17,38.38,0,285.39,3.75,26.17,26.17,0.62,7.2,95.12,0,0,0,200,50,798.5799999999999

