Column1,Block,NR/2025/26755/A/72961,NR/2025/26085/A/72958,NR/2025/26336/A/73123,NR/2025/26879/A/73121,NR/2025/25861/A/73412,NR/2025/25860/A/73414,NR/2025/26981/C,NR/2025/26335/A/73125,NR/2025/26265/A/73440,NR/2025/25967/A/73406,NR/2025/26982/C,NR/2025/26379/A/73405,NR/2025/26004/A/73017,NR/2025/25859/A/73415,NR/2025/26984/C,NR/2025/26202/A/73499,NR/2025/26825/A/73424,NR/2025/26985/C,NR/2025/26191/A/73015,NR/2025/26829/A/73421,NR/2025/27014/C,NR/2025/26232/A/73442,NR/2025/26233/A/73441,NR/2025/26153/A/72964,NR/2025/26978/C,NR/2025/26082/A/73500,NR/2025/26822/A/73427,NR/2025/26827/A/73423,NR/2025/26005/A/73018,NR/2025/27016/C,NR/2025/27053/C,NR/2025/26101/A/73170,NR/2025/26828/A/73422,NR/2025/26785/A/72968,NR/2025/26959/A/73396,NR/2025/27032/C,GNARE/NR/2024/12/20/3668,NR/2025/27052/C,NR/2025/27051/C,NR/2025/27041/C,NR/2025/27044/C,NR/2025/27045/C,NR/2025/27046/C,NR/2025/27047/C,NR/2025/27049/C,NR/2025/27040/C,NR/30092023/26122029/SH-06,GNA/NR/2025/05/16/9317,NR/2025/26289/A/73439,NR/2025/26980/C,NR/2025/26979/C,NR/2025/27110/C,GNA/NR/2025/05/01/5800,NR/2025/27081/C,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/9252,NR/2025/26291/A/73438,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/19/4843,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/6363,NR/30092023/31122025/SH-07,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/8068,Total
7,01:30-01:45,0,0.68,222.18,33.81,0,144.9,0,0,96.6,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,0,0,14.63,0,6.76,195.13,0,54.27,0,57.96,0,0,0,0,0,88.6,15,96.6,48.3,0,0,0,67.62,0,0,0,0,0,29.1,13.52,0,5.8,0,193.2,28.98,0,12.3,14.49,18,24.15,28.98,10.63,2506.23

8,01:45-02:00,0,0.68,222.18,33.81,0,144.9,0,0,96.6,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,0,0,14.63,0,6.76,195.13,0,54.27,0,57.96,0,0,0,0,0,88.6,15,96.6,48.3,0,0,0,67.62,0,0,0,0,0,29.1,13.52,0,5.8,0,193.2,28.98,0,12.3,14.49,18,24.15,28.98,10.63,2506.23

9,02:00-02:15,0,0.63,222.18,33.81,0,144.9,0,0,0,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,0,0,14.63,0,6.76,195.13,0,54.27,0,57.96,0,0,0,0,0,88.6,25.06,96.6,48.3,0,0,0,0,0,0,0,0,96.6,29.1,13.52,0,0,0,193.2,0,0,12.11,0,25.06,24.15,28.98,10.63,2406.22

10,02:15-02:30,0,0.63,222.18,33.81,0,144.9,0,0,0,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,0,0,14.63,0,6.76,195.13,0,54.27,0,57.96,0,0,0,0,0,88.6,26.5,96.6,48.3,0,0,0,0,0,0,0,0,96.6,29.1,13.52,0,0,0,193.2,0,0,12.11,0,26.5,24.15,28.98,10.63,2409.1

11,02:30-02:45,0,0.63,222.18,33.81,0,144.9,0,0,0,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,0,0,14.63,0,6.76,195.13,0,54.27,0,57.96,0,0,0,0,0,88.6,26.5,96.6,48.3,0,0,0,0,0,0,0,0,96.6,29.1,13.52,0,0,0,193.2,0,0,12.11,0,26.5,24.15,28.98,10.63,2409.1

12,02:45-03:00,0,0.63,222.18,33.81,0,144.9,0,0,0,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,0,0,14.63,0,6.76,195.13,0,54.27,0,57.96,0,0,0,0,0,88.6,26.5,96.6,48.3,0,0,0,0,0,0,0,0,96.6,29.1,13.52,0,0,0,193.2,0,0,12.11,0,26.5,24.15,28.98,10.63,2409.1

13,03:00-03:15,0,0.48,222.18,33.81,0,144.9,0,0,0,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,0,0,14.63,0,6.76,195.13,0,54.27,0,0,0,0,0,0,0,0,26.5,96.6,48.3,0,0,0,0,0,0,0,0,96.6,29.1,13.52,0,0,0,193.2,0,0,11.93,0,26.5,24.15,28.98,10.63,2262.2099999999996

14,03:15-03:30,0,0.48,222.18,33.81,0,144.9,0,0,0,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,0,0,14.63,0,6.76,195.13,0,54.27,0,0,0,0,0,0,0,0,26.5,96.6,48.3,0,0,0,0,0,0,0,0,96.6,29.1,13.52,0,0,0,193.2,0,0,11.93,0,26.5,24.15,28.98,10.63,2262.2099999999996

15,03:30-03:45,0,0.48,222.18,33.81,0,144.9,0,0,0,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,0,0,14.63,0,6.76,195.13,0,54.27,0,0,0,0,0,0,0,0,26.5,96.6,48.3,0,0,0,0,0,0,0,0,96.6,29.1,13.52,0,0,0,193.2,0,0,11.93,0,26.5,24.15,28.98,10.63,2262.2099999999996

16,03:45-04:00,0,0.48,222.18,33.81,0,144.9,0,0,0,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,0,0,14.63,0,6.76,195.13,0,54.27,0,0,0,0,0,0,0,0,26.5,96.6,48.3,0,0,0,0,0,0,0,0,96.6,29.1,13.52,0,0,0,193.2,0,0,11.93,0,26.5,24.15,28.98,10.63,2262.2099999999996

17,04:00-04:15,0,0.48,222.18,0,0,0,0,0,0,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,28.98,0,14.63,0,6.76,195.13,0,54.27,0,0,0,0,0,0,0,0,26.5,96.6,48.3,0,0,0,0,0,0,0,0,96.6,29.1,13.52,0,0,0,193.2,0,0,11.74,0,26.5,24.15,28.98,10.63,2112.29

18,04:15-04:30,0,0.48,222.18,0,0,0,0,0,0,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,28.98,0,14.63,0,6.76,195.13,0,54.27,0,0,0,0,0,0,0,0,26.5,96.6,48.3,0,0,0,0,0,0,0,0,96.6,29.1,13.52,0,0,0,193.2,0,0,11.74,0,26.5,24.15,28.98,10.63,2112.29

19,04:30-04:45,0,0.48,222.18,0,0,0,0,0,0,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,28.98,0,14.63,0,6.76,195.13,0,54.27,0,0,0,0,0,0,0,0,26.5,96.6,48.3,0,0,0,0,0,0,0,0,96.6,29.1,13.52,0,0,0,193.2,0,0,11.74,0,26.5,24.15,28.98,10.63,2112.29

20,04:45-05:00,0,0.48,222.18,0,0,0,0,0,0,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,28.98,0,14.63,0,6.76,195.13,0,54.27,0,0,0,0,0,0,0,0,26.5,96.6,48.3,0,0,0,0,0,0,0,0,96.6,29.1,13.52,0,0,0,193.2,0,0,11.74,0,26.5,24.15,28.98,10.63,2112.29

21,05:00-05:15,0,0.48,222.18,0,0,0,0,0,0,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,28.98,0,14.63,0,6.76,195.13,0,54.27,0,0,0,0,0,0,0,0,26.5,96.6,48.3,0,0,0,0,0,0,0,0,96.6,29.1,13.52,0,0,14.49,193.2,0,0,11.47,0,26.5,24.15,28.98,10.63,2126.51

22,05:15-05:30,0,0.48,222.18,0,0,0,0,0,0,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,28.98,0,14.63,0,6.76,195.13,0.02,54.27,0,0,0,0,0,0,0,0,26.5,96.6,48.3,0,0,0,0,0,0,0,0,96.6,29.1,13.52,0,0,14.49,193.2,0,0,11.47,0,26.5,24.15,28.98,10.63,2126.53

23,05:30-05:45,0,0.48,222.18,0,0,0,0,0,0,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,28.98,0,14.63,0,5.8,195.13,0.12,54.27,0,0,0,0,0,0,0,0,26.5,96.6,48.3,0,0,0,0,0,0,0,0,96.6,29.1,13.52,0,0,14.49,193.2,0,0,11.47,0,26.5,24.15,28.98,10.63,2125.67

24,05:45-06:00,0,0.48,222.18,0,0,0,0,0,0,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,28.98,0,14.63,0,5.8,195.13,0.13,54.27,0,0,0,0,0,0,0,0,26.5,96.6,48.3,0,0,0,0,0,0,0,0,96.6,29.1,13.52,0,0,14.49,193.2,0,0,11.47,0,26.5,24.15,28.98,10.63,2125.6800000000003

25,06:00-06:15,0,0.58,222.18,0,0,0,0,0,0,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,28.98,0,14.63,0,5.8,195.13,0.68,54.27,0,0,0,0,0,0,0,0,26.5,96.6,48.3,0,0,0,0,0,0,0,0,96.6,29.1,13.52,0,0,14.49,193.2,0,0,11.19,0,26.5,24.15,28.98,10.63,2126.05

26,06:15-06:30,0,0.58,222.18,0,0,0,0,0,0,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,28.98,0,14.63,0,5.8,0,1.44,54.27,0,0,0,0,0,0,0,0,26.5,96.6,48.3,0,0,0,0,0,0,0,0,96.6,29.1,13.52,0,0,14.49,193.2,0,0,11.19,0,26.5,24.15,28.98,10.63,1931.6800000000003

27,06:30-06:45,0,0.58,222.18,0,0,0,0,1,0,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,28.98,0,14.63,0,5.8,0,4.78,54.27,0,0,0,0,0,0,0,0,26.5,96.6,48.3,0,0,0,0,0,0,0,0,96.6,29.1,13.52,0,0,14.49,193.2,0,0,11.19,0,26.5,24.15,28.98,10.63,1936.0200000000002

28,06:45-07:00,0,0.58,222.18,0,0,0,0,4,0,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,28.98,0,14.63,0,5.8,0,7.97,54.27,0,0,0,0,0,0,0,0,26.5,96.6,48.3,0,0,0,0,0,0,0,0,96.6,29.1,13.52,0,0,14.49,193.2,0,0,11.19,0,26.5,24.15,28.98,10.63,1942.2100000000003

29,07:00-07:15,0,0.68,0,0,0,0,0,14,0,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,28.98,0,14.63,0,5.8,0,11.99,54.27,0,0,0,0,0,0,0,0,26.5,96.6,48.3,0,0,0,0,0,0,0,0,96.6,29.1,13.52,0,0,14.49,193.2,0,0,11,0,26.5,24.15,28.98,10.63,1733.96

30,07:15-07:30,0,0.68,0,0,0,0,0,28,0,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,28.98,0,14.63,0,5.8,0,17.19,54.27,0,0,0,0,0,0,0,0,26.5,96.6,48.3,0,0,0,0,0,0,0,0,96.6,29.1,13.52,0,0,14.49,193.2,0,0,11,0,26.5,24.15,28.98,10.63,1753.16

31,07:30-07:45,0,0.68,0,0,0,0,0,42,0,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,28.98,0,14.63,0,5.8,0,23.38,54.27,0,0,0,0,0,0,0,0,26.5,96.6,48.3,0,0,0,0,0,0,0,0,96.6,29.1,13.52,0,0,14.49,193.2,0,0,11,0,26.5,24.15,28.98,10.63,1773.3500000000001

32,07:45-08:00,0,0.68,0,0,0,0,0,56,0,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,28.98,0,14.63,0,5.8,0,30.25,54.27,0,0,0,0,0,0,0,0,26.5,96.6,48.3,0,0,0,0,0,0,0,0,96.6,29.1,13.52,0,0,14.49,193.2,0,0,11,0,26.5,24.15,28.98,10.63,1794.22

33,08:00-08:15,7.73,0.97,0,0,0,0,0,84,96.6,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,28.98,0,14.63,0,5.8,0,37.64,54.27,0,0,0,0,0,0,0,0,26.5,96.6,48.3,0,0,0,0,0,0,0,0,0,29.1,13.52,0,0,14.49,193.2,0,0,10.82,0,26.5,24.15,28.98,10.63,1837.4500000000003

34,08:15-08:30,7.73,0.97,0,0,0,0,0,95,96.6,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,28.98,0,14.63,0,5.8,0,45.09,54.27,0,0,0,0,0,0,0,0,26.5,96.6,48.3,0,0,0,0,0,0,0,0,0,29.1,13.52,0,0,14.49,193.2,0,0,10.82,0,26.5,24.15,28.98,10.63,1855.9

35,08:30-08:45,7.73,0.97,0,0,0,0,0,109,96.6,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,28.98,0,14.63,0,5.8,48.3,52.52,54.27,0,0,0,0,0,0,0,0,26.5,96.6,48.3,0,0,0,0,0,0,0,0,0,29.1,13.52,0,0,14.49,193.2,0,0,10.82,0,26.5,24.15,28.98,10.63,1925.63

36,08:45-09:00,7.73,0.97,0,0,0,0,0,126,96.6,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,28.98,0,14.63,0,5.8,48.3,60.1,54.27,0,0,0,0,0,0,0,0,26.5,96.6,48.3,0,0,0,0,0,0,0,0,0,29.1,13.52,0,0,14.49,193.2,0,0,10.82,0,26.5,24.15,28.98,10.63,1950.21

37,09:00-09:15,10.63,0.97,0,0,0,0,4.83,140,0,193.2,4.83,0,48.3,96.6,53.13,0,0,52.84,0,0,48.3,0,0,9.95,96.6,47.33,0,0,48.3,193.2,28.98,0,0,0,6.76,48.3,67.46,54.27,96.6,0,14.63,43.9,43.9,14.63,37.33,0,26.61,96.6,0,0,48.3,0,0,0,0,0,0,0,29.1,13.52,0,0,14.49,193.2,0,0,10.64,0,26.61,24.15,28.98,10.63,2028.6000000000001

38,09:15-09:30,10.63,0.97,0,0,0,0,4.83,151,0,193.2,4.83,0,48.3,96.6,53.13,0,0,52.84,0,0,48.3,0,0,9.95,96.6,47.33,0,0,48.3,193.2,28.98,0,0,0,6.76,144.9,73.73,54.27,96.6,0,14.63,43.9,43.9,14.63,37.33,0,26.61,96.6,0,0,48.3,0,0,0,0,0,0,0,29.1,13.52,0,0,14.49,193.2,0,0,10.64,0,26.61,24.15,28.98,10.63,2142.4700000000003

39,09:30-09:45,10.63,0.97,0,0,0,0,4.83,161,0,193.2,4.83,0,48.3,96.6,53.13,0,0,52.84,0,0,48.3,0,0,9.95,96.6,47.33,0,0,48.3,193.2,28.98,0,0,0,6.76,144.9,79.76,54.27,96.6,0,14.63,43.9,43.9,14.63,37.33,0,26.61,96.6,0,0,48.3,0,0,0,0,0,0,0,29.1,13.52,0,0,14.49,193.2,0,0,10.64,0,26.61,24.15,28.98,10.63,2158.5

