Time,Block,NR/2024/21089/A/28898,NR/2024/21210/A/28606,NR/2024/21062/A/28875,NR/2024/21682/A/28884,NR/2024/21238/A/28947,NR/2024/21183/A/28940,NR/2024/21890/C,NR/2024/21160/A/28663,NR/2024/21142/A/28605,NR/2024/21186/A/28908,NR/2024/21141/A/28604,NR/2024/20966/A/28586,NR/2024/21099/A/28603,NR/2024/21150/A/28661,NR/2024/21861/C,NR/2024/20688/A/28673,NR/2024/21152/A/28585,NR/2024/20931/A/28837,NR/2024/21715/A/28444,NR/2024/20573/A/28865,NR/2024/21153/A/28659,NR/01072024/31072024/R2,NR/2024/21199/A/28645,NR/2024/21173/A/28671,NR/2024/21113/A/28897,NR/2024/21567/A/28896,NR/30092023/26122029/SH-06,NR/2024/21103/A/28913,NR/2024/21023/A/28647,NR/2024/21158/A/28665,NR/2024/21859/C,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21144/A/28669,NR/2024/21146/A/28662,NR/2024/21864/C,NR/2024/21227/A/28912,NR/2024/21339/A/28609,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21148/A/28660,NR/2024/21076/A/28936,NR/2024/21159/A/28664,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21108/A/28911,NR/2024/21156/A/28658,NR/16072024/31072024/NR/16072024/31072024/717758,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21096/A/28916,NR/2024/21878/C,NR/2024/21858/C,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21087/A/28672,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/30092023/31122025/SH-07,NR/2024/21882/C,NR/2024/20711/A/28885,NR/2024/21694/A/28918,SR/2024/13595/C,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21072/A/28899,NR/2024/21075/A/28946,NR/2024/19779/A/28595,NR/2024/20574/A/28867,NR/01102023/23072042/L_NR_2012_04,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,Total

3,00:30-00:45,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,9.650000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,38.900000,12.200000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,38.580000,67.520000,192.920000,0,72.340000,24.120000,13.170000,32.000000,149.510000,96.460000,2.890000,30.00,0.000000,96.460000,37.260000,11.720000,0.630000,12.060000,0.000000,0,0,2195.49

4,00:45-01:00,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,9.650000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,39.180000,12.200000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,38.580000,67.520000,192.920000,0,72.340000,24.120000,13.170000,32.000000,149.510000,96.460000,2.910000,50.00,0.000000,96.460000,37.260000,11.720000,0.630000,12.060000,0.000000,0,0,2215.79

5,01:00-01:15,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,9.650000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,45.860000,12.200000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,38.580000,67.520000,48.230000,0,72.340000,24.120000,13.170000,32.000000,149.510000,96.460000,3.410000,75.00,0.000000,96.460000,37.260000,11.720000,0.580000,12.060000,0.000000,0,0,2103.23

6,01:15-01:30,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,9.650000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,47.290000,12.200000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,38.580000,67.520000,48.230000,0,72.340000,24.120000,13.170000,32.000000,149.510000,96.460000,3.520000,90.00,0.000000,96.460000,37.260000,11.720000,0.580000,12.060000,0.000000,0,0,2119.77

7,01:30-01:45,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,9.650000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,48.170000,12.200000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,38.580000,67.520000,48.230000,0,72.340000,24.120000,13.170000,32.000000,149.510000,96.460000,3.590000,105.00,0.000000,96.460000,37.260000,11.720000,0.580000,12.060000,0.000000,0,0,2135.72

8,01:45-02:00,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,9.650000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,49.110000,12.200000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,38.580000,67.520000,48.230000,0,72.340000,24.120000,13.170000,32.000000,149.510000,96.460000,3.660000,120.00,0.000000,96.460000,37.260000,11.720000,0.580000,12.060000,0.000000,0,0,2151.73

9,02:00-02:15,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,9.650000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,50.270000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,38.580000,67.520000,0.000000,0,72.340000,24.120000,13.170000,14.950000,0.000000,96.460000,3.740000,130.00,0.000000,96.460000,37.260000,11.720000,0.580000,12.060000,0.000000,0,0,1935.98

10,02:15-02:30,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,9.650000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,50.740000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,38.580000,67.520000,0.000000,0,72.340000,24.120000,13.170000,14.950000,0.000000,96.460000,3.770000,145.00,0.000000,96.460000,37.260000,11.720000,0.580000,12.060000,0.000000,0,0,1951.48

11,02:30-02:45,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,9.650000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,54.830000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,38.580000,67.520000,0.000000,0,72.340000,24.120000,13.170000,23.470000,0.000000,96.460000,4.080000,140.00,0.000000,96.460000,37.260000,11.720000,0.580000,12.060000,0.000000,0,0,1959.4

12,02:45-03:00,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,9.650000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,58.950000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,38.580000,67.520000,0.000000,0,72.340000,24.120000,13.170000,23.470000,0.000000,96.460000,4.390000,85.00,0.000000,96.460000,37.260000,11.720000,0.580000,12.060000,0.000000,0,0,1908.83

13,03:00-03:15,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,8.680000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,23.470000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,59.010000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,67.520000,0.000000,0,72.340000,24.120000,12.980000,23.470000,0.000000,96.460000,4.390000,120.00,0.000000,96.460000,37.260000,11.720000,0.530000,12.060000,0.000000,0,0,1847.86

14,03:15-03:30,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,8.680000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,23.470000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,59.600000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,67.520000,0.000000,0,72.340000,24.120000,12.980000,23.470000,0.000000,96.460000,4.440000,130.00,0.000000,96.460000,37.260000,11.720000,0.530000,12.060000,0.000000,0,0,1858.5

15,03:30-03:45,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,8.680000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,23.470000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,57.160000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,67.520000,0.000000,0,72.340000,24.120000,12.980000,23.470000,0.000000,96.460000,4.250000,75.00,0.000000,96.460000,37.260000,11.720000,0.530000,12.060000,0.000000,0,0,1800.87

16,03:45-04:00,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,8.680000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,23.470000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,55.690000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,67.520000,0.000000,0,72.340000,24.120000,12.980000,23.470000,0.000000,96.460000,4.150000,90.00,0.000000,96.460000,37.260000,11.720000,0.530000,12.060000,0.000000,0,0,1814.3

17,04:00-04:15,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,8.680000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,23.470000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,53.820000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,67.520000,0.000000,0,72.340000,24.120000,12.980000,23.470000,0.000000,96.460000,4.000000,170.00,0.000000,96.460000,37.260000,11.720000,0.530000,12.060000,0.000000,0,0,1892.28

18,04:15-04:30,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,8.680000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,23.470000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,55.200000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,67.520000,0.000000,0,72.340000,24.120000,12.980000,23.470000,0.000000,96.460000,4.110000,215.00,0.000000,96.460000,37.260000,11.720000,0.530000,12.060000,0.000000,0,0,1938.77

19,04:30-04:45,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,7.720000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,23.470000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,54.080000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,67.520000,0.000000,0,72.340000,24.120000,12.980000,23.470000,0.000000,96.460000,4.020000,220.00,0.000000,96.460000,37.260000,11.720000,0.530000,12.060000,0.000000,0,0,1941.6

20,04:45-05:00,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,7.720000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,23.470000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,55.360000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,67.520000,0.000000,0,72.340000,24.120000,12.980000,23.470000,0.000000,96.460000,4.120000,230.00,0.000000,96.460000,37.260000,11.720000,0.530000,12.060000,0.000000,0,0,1952.98

21,05:00-05:15,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,7.720000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,23.470000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,71.240000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,0,72.340000,24.120000,12.900000,23.470000,0.000000,96.460000,5.310000,160.00,0.000000,96.460000,37.260000,11.720000,0.530000,12.060000,0.000000,0,0,1856.57

22,05:15-05:30,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,7.720000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,23.470000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,68.320000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,0,72.340000,24.120000,12.900000,23.470000,0.000000,96.460000,5.080000,220.00,0.000000,96.460000,37.260000,11.720000,0.530000,12.060000,0.000000,0,0,1913.42

23,05:30-05:45,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,7.720000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,23.470000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,62.100000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,0,72.340000,24.120000,12.900000,23.470000,0.000000,96.460000,4.620000,245.00,0.000000,96.460000,37.260000,11.720000,0.530000,12.060000,0.000000,0,0,1931.74

24,05:45-06:00,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,7.720000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,23.470000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,56.900000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,0,72.340000,24.120000,12.900000,23.470000,0.000000,96.460000,4.230000,360.00,0.000000,96.460000,37.260000,11.720000,0.530000,12.060000,0.000000,0,0,2041.15

25,06:00-06:15,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,7.720000,0.000000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,23.470000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,31.430000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,0,72.340000,24.120000,12.700000,23.470000,0.000000,96.460000,0.000000,230.00,0.000000,96.460000,37.260000,11.720000,0.680000,0.000000,0.000000,0,0,1833.17

26,06:15-06:30,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,7.720000,0.000000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,23.470000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,24.470000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,0,72.340000,24.120000,12.900000,23.470000,0.000000,96.460000,0.000000,215.00,0.000000,96.460000,37.260000,11.720000,0.680000,0.000000,0.000000,0,0,1811.41

27,06:30-06:45,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,8.680000,0.000000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,23.470000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,11.400000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,0,72.340000,24.120000,12.900000,23.470000,0.000000,96.460000,0.000000,225.00,0.000000,96.460000,37.260000,11.720000,0.680000,0.000000,0.000000,0,0,1809.3

