Block,Time,DADRI_CRF,SINGRAULI_HYDRO,DADRI_RF,DHAULIGNGA,ANTA_GF,ANTA_RF,RIHAND2,CHAMERA1,RIHAND1,AURY_LF,AURY_RF,URI2,URI,AURY_GF,SINGRAULI,NJPC,KOLDAM,TEHRI,BSIUL,RAPPC,RIHAND3,DADRI_GF,UNCHAHAR1,SEWA2,DADRT2,SALAL,RAPPB,TANAKPUR,DULHASTI,UNCHAHAR2,AURY_CRF,KOTESHWR,TANDA2,RAMPUR,CHAMERA3,PARBATI3,UNCHAHAR4,ANTA_CRF,KISHANGANGA,ANTA_LF,CHAMERA2,NAPP,DADRI_LF,UNCHAHAR3,JHAJJAR,NLCEXP,KUDGI,RSTPSU7,KHSTPP-II,KGSU1AND2,SOLAPUR,SIMHST2,MOUDA_II,NNTPP,KAWAS-zLIQ,SIPAT I,SASAN,MAPS,KKNP,VSTPS IV,KSTPS7,KAWAS-RLNG,MOUDA,VSTPS II,KHARGONE-I,NLCIIST1,VSTPS I,KAWAS-APM,SIPAT II,NLCTS2EXP,TALA,BRBCL,VSTPS III,NLCIIST2,VSTPS V,VALLURNTECL,KHSTPP-I,GANDHAR-RLNG,GANDHAR-NAPM,GANDHAR-APM,RSTPSU1TO6,KAPS,TAPS-II,NTPL,FSTPP I & II,TALST2,GADARWARA-I,LARA-I,KAWAS-ComGas,KAWAS-NAPM,GANDHAR-ComGas,KSTPS I&II,KGSU3AND4,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
14,03:15-03:30,0.000000,0.689930,0.000000,0.000000,0.000000,0.000000,117.887847,40.584386,92.331090,0.000000,0.000000,35.282808,46.773830,0.000000,141.748509,0.000000,0.000000,0.000000,6.249221,62.846385,123.684601,0.000000,10.280197,17.436898,363.265216,59.301159,0.000000,1.233475,36.418010,26.531747,0.000000,8.798246,3.938161,0.000000,10.741344,0.000000,1.657536,0.000000,4.068498,0.000000,14.779958,45.735721,0.000000,13.387576,339.750265,1.67,8.98,1.87,142.042795,1.94,1.693819,1.78,3.358207,0.10,0.000000,3.387639,336.028028,0.24,0.00,2.566393,1.283197,0.000000,1.853390,1.858043,1.866966,0.93,2.301044,0.000000,1.788485,0.90,0.000000,14.443459,1.874035,0.93,1.269510,3.44,29.679659,0.000000,0.000000,0.000000,7.66,1.097871,1.311170,3.64,15.762673,2.92,2.956485,4.072013,0.000000,0.000000,0.000000,2.574826,2.10,0,0,0,0,0

15,03:30-03:45,0.000000,1.034894,0.000000,0.000000,0.000000,0.000000,117.887847,27.004530,92.331090,0.000000,0.000000,30.390654,46.773830,0.000000,141.748509,0.000000,0.000000,0.000000,6.249221,62.846385,123.684601,0.000000,10.280197,17.436898,363.266890,80.560066,0.000000,1.356822,36.418010,18.339831,0.000000,8.798246,3.938161,0.000000,10.741344,0.000000,1.657536,0.000000,4.068498,0.000000,14.779958,45.735721,0.000000,13.387576,339.750265,1.67,8.98,1.87,142.042795,1.94,1.693819,1.78,3.358207,0.10,0.000000,3.387639,336.028028,0.24,0.00,2.566393,1.283197,0.000000,1.853390,1.858043,1.866966,0.92,2.301044,0.000000,1.788485,0.90,0.000000,14.443459,1.874035,0.87,1.269510,3.44,16.909776,0.000000,0.000000,0.000000,7.66,1.097871,1.311170,3.64,9.884554,2.92,2.956485,4.072013,0.000000,0.000000,0.000000,2.574826,2.10,0,0,0,0,0

16,03:45-04:00,0.000000,1.034894,0.000000,0.000000,0.000000,0.000000,117.887847,13.464231,92.331090,0.000000,0.000000,30.390654,46.773830,0.000000,141.748509,0.000000,0.000000,0.000000,6.249221,62.846385,123.684601,0.000000,10.280197,17.436898,363.265216,80.560066,0.000000,1.356822,36.418010,18.339831,0.000000,8.798246,3.938161,0.000000,10.741344,0.000000,1.657536,0.000000,4.068498,0.000000,14.779958,45.735721,0.000000,13.387576,339.750265,1.67,8.98,1.87,142.042795,1.94,1.693819,1.78,3.358207,0.10,0.000000,3.387639,336.028028,0.24,0.00,2.566393,1.283197,0.000000,1.853390,1.858043,1.866966,0.92,2.301044,0.000000,1.788485,0.90,0.000000,14.443459,1.874035,0.87,1.269510,3.44,16.909776,0.000000,0.000000,0.000000,7.66,1.097871,1.311170,3.64,9.884554,2.92,2.956485,4.072013,0.000000,0.000000,0.000000,2.574826,2.10,0,0,0,0,0

17,04:00-04:15,0.000000,1.034894,0.000000,0.000000,0.000000,0.000000,117.887847,0.000000,92.331090,0.000000,0.000000,30.390654,51.025997,0.000000,141.748509,0.000000,0.000000,0.000000,6.249221,62.846385,123.684601,0.000000,10.280197,17.436898,363.266890,80.560066,0.000000,1.233475,36.418010,18.339831,0.000000,8.798246,3.938161,0.000000,10.741344,0.000000,1.657536,0.000000,4.068498,0.000000,14.779958,45.735721,0.000000,13.387576,338.172984,1.67,8.98,1.87,118.175947,1.94,1.693819,1.78,3.358207,0.10,0.000000,3.387639,336.028028,0.24,0.00,2.566393,1.283197,0.000000,1.853390,1.858043,1.866966,0.88,2.301044,0.000000,1.788485,0.90,0.000000,14.443459,1.874035,0.87,1.269510,3.44,16.909776,0.000000,0.000000,0.000000,7.66,1.097871,1.311170,3.64,9.884554,2.92,2.956485,4.072013,0.000000,0.000000,0.000000,2.574826,2.10,0,0,0,0,0

18,04:15-04:30,0.000000,1.034894,0.000000,0.000000,0.000000,0.000000,117.887847,0.000000,92.331090,0.000000,0.000000,30.390654,51.025997,0.000000,141.748509,0.000000,0.000000,0.000000,6.249221,62.846385,123.684601,0.000000,10.280197,17.436898,363.265216,80.560066,0.000000,1.233475,36.418010,18.339831,0.000000,8.798246,3.938161,0.000000,10.741344,0.000000,1.657536,0.000000,4.068498,0.000000,14.779958,45.735721,0.000000,13.387576,338.172984,1.67,8.98,1.87,94.103447,1.94,1.693819,1.78,3.358207,0.10,0.000000,3.387639,336.028028,0.24,0.00,2.566393,1.283197,0.000000,1.853390,1.858043,1.866966,0.88,2.301044,0.000000,1.788485,0.90,0.000000,14.443459,1.874035,0.87,1.269510,3.44,16.909776,0.000000,0.000000,0.000000,7.66,1.097871,1.311170,3.64,9.884554,2.92,3.271296,4.072013,0.000000,0.000000,0.000000,2.574826,2.10,0,0,0,0,0

19,04:30-04:45,0.000000,1.034894,0.000000,0.000000,0.000000,0.000000,117.887847,0.000000,92.331090,0.000000,0.000000,30.390654,46.773830,0.000000,141.748509,0.000000,0.000000,0.000000,6.249221,62.846385,123.684601,0.000000,11.531737,17.436898,363.778790,59.301159,0.000000,1.233475,36.418010,17.219312,0.000000,8.798246,3.938161,0.000000,10.741344,0.000000,1.657536,0.000000,4.068498,0.000000,14.779958,45.735721,0.000000,13.453645,338.172984,1.67,8.98,1.87,94.103447,1.94,1.693819,1.78,3.358207,0.10,0.000000,3.387639,336.028028,0.24,0.00,2.566393,1.283197,0.000000,1.853390,1.858043,1.866966,0.88,2.301044,0.000000,1.788485,0.00,0.000000,14.443459,1.874035,0.87,1.269510,3.44,16.909776,0.000000,0.000000,0.000000,7.66,1.097871,1.311170,3.64,9.884554,2.92,3.586107,4.072013,0.000000,0.000000,0.000000,2.574826,2.10,0,0,0,0,0

20,04:45-05:00,0.000000,1.034894,0.000000,0.000000,0.000000,0.000000,117.887847,0.000000,92.331090,0.000000,0.000000,30.390654,46.773830,0.000000,141.748509,0.000000,0.000000,0.000000,6.249221,62.846385,123.684601,0.000000,11.531737,17.436898,363.777461,48.112261,0.000000,1.233475,36.418010,17.219312,0.000000,8.798246,3.938161,0.000000,10.741344,0.000000,1.657536,0.000000,4.068498,0.000000,14.779958,45.735721,0.000000,13.453645,338.172984,1.67,8.98,1.87,94.103447,1.94,1.693819,1.78,3.358207,0.10,0.000000,3.387639,336.028028,0.24,0.00,2.566393,1.283197,0.000000,1.853390,1.858043,1.866966,0.88,2.301044,0.000000,1.788485,0.00,0.000000,14.443459,1.874035,0.87,1.269510,3.44,16.909776,0.000000,0.000000,0.000000,7.66,1.097871,1.311170,3.64,9.884554,2.92,3.900918,4.072013,0.000000,0.000000,0.000000,2.574826,2.10,0,0,0,0,0

