Time,Block,NR/2023/13635/A,NR/2023/14898/A,NR/2023/12168/A,NR/2023/12592/A,NR/2023/12431/A,NR/2023/12052/A,NR/2023/12053/A,NR/2023/16392/C,NR/2023/12148/A,NR/2023/16368/D,NR/2023/14746/A,NR/2023/12591/A,WR/2023/18367/C,NR/2023/13862/A,NR/2023/16383/C,SR/2023/8819/C,SR/2023/8851/C,NR/2023/12167/A,NR/2023/14745/A,NR/2023/12422/A,NR/2023/15402/F,NR/2023/15309/F,NR/2023/14737/A,NR/2023/12347/A,NR/2023/15057/F,NR/2023/16369/D,NR/2023/16385/C,NR/2023/16190/F,NR/2023/16386/C,NR/2023/14895/A,NR/2023/16389/C,NR/2023/16388/C,Total

3,00:30-00:45,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,0.000000,22.250000,0.000000,88.700000,50.060000,0.000000,23.150000,6.060000,50.00,150.00,24.180000,24.180000,38.010000,0.000000,4.840000,33.860000,98.660000,0.870000,0,17.130000,193.460000,96.730000,95.760000,0.000000,0.000000,1491.78

4,00:45-01:00,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,0.000000,22.250000,0.000000,88.700000,50.060000,0.000000,23.150000,6.060000,50.00,150.00,24.180000,24.180000,38.010000,0.000000,4.840000,33.860000,98.660000,0.870000,0,17.130000,193.460000,96.730000,95.760000,0.000000,0.000000,1491.78

5,01:00-01:15,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,0.000000,22.250000,0.000000,88.700000,50.060000,0.000000,23.150000,6.060000,100.00,150.00,24.180000,24.180000,38.010000,0.000000,4.840000,33.860000,98.660000,0.680000,0,17.030000,193.460000,96.730000,95.760000,0.000000,0.000000,1541.49

6,01:15-01:30,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,0.000000,22.250000,0.000000,88.700000,50.060000,0.000000,23.150000,6.060000,100.00,150.00,24.180000,24.180000,38.010000,0.000000,4.840000,33.860000,98.660000,0.680000,0,17.030000,193.460000,96.730000,95.760000,0.000000,0.000000,1541.49

7,01:30-01:45,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,0.000000,22.250000,0.000000,88.700000,50.060000,0.000000,23.150000,6.060000,100.00,150.00,24.180000,24.180000,38.010000,0.000000,4.840000,33.860000,98.660000,0.680000,0,17.030000,193.460000,96.730000,95.760000,0.000000,0.000000,1541.49

8,01:45-02:00,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,0.000000,22.250000,0.000000,88.700000,50.060000,0.000000,23.150000,6.060000,100.00,150.00,24.180000,24.180000,38.010000,0.000000,4.840000,33.860000,98.660000,0.680000,0,17.030000,193.460000,96.730000,95.760000,0.000000,0.000000,1541.49

9,02:00-02:15,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,0.000000,22.250000,0.000000,88.700000,50.060000,0.000000,23.150000,6.060000,100.00,150.00,24.180000,24.180000,38.010000,0.000000,4.840000,33.860000,98.660000,0.580000,0,16.950000,193.460000,96.730000,95.760000,0.000000,0.000000,1541.31

10,02:15-02:30,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,0.000000,22.250000,0.000000,88.700000,50.060000,0.000000,23.150000,6.060000,100.00,150.00,24.180000,24.180000,38.010000,0.000000,4.840000,33.860000,98.660000,0.580000,0,16.950000,193.460000,96.730000,95.760000,0.000000,0.000000,1541.31

11,02:30-02:45,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,0.000000,22.250000,0.000000,88.700000,50.060000,0.000000,23.150000,6.060000,100.00,150.00,24.180000,24.180000,38.010000,0.000000,4.840000,33.860000,98.660000,0.580000,0,16.950000,193.460000,96.730000,95.760000,0.000000,0.000000,1541.31

12,02:45-03:00,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,0.000000,22.250000,0.000000,88.700000,50.060000,0.000000,23.150000,6.060000,100.00,150.00,24.180000,24.180000,38.010000,0.000000,4.840000,33.860000,98.660000,0.580000,0,16.950000,193.460000,96.730000,95.760000,0.000000,0.000000,1541.31

13,03:00-03:15,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,88.700000,50.060000,0.000000,0.000000,6.060000,100.00,150.00,24.180000,24.180000,38.010000,0.000000,4.840000,33.860000,98.660000,0.530000,0,16.850000,193.460000,96.730000,95.760000,0.000000,0.000000,1481.51

14,03:15-03:30,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,88.700000,50.060000,0.000000,0.000000,6.060000,100.00,133.00,24.180000,24.180000,38.010000,0.000000,4.840000,33.860000,98.660000,0.530000,0,16.850000,193.460000,96.730000,95.760000,0.000000,0.000000,1464.51

15,03:30-03:45,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,88.700000,50.060000,0.000000,0.000000,6.060000,100.00,38.00,24.180000,24.180000,38.010000,0.000000,4.840000,33.860000,98.660000,0.530000,0,16.850000,193.460000,96.730000,95.760000,0.000000,0.000000,1369.51

16,03:45-04:00,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,88.700000,50.060000,0.000000,0.000000,6.060000,100.00,0.00,24.180000,24.180000,38.010000,0.000000,4.840000,33.860000,98.660000,0.530000,0,16.850000,193.460000,96.730000,95.760000,0.000000,0.000000,1331.51

17,04:00-04:15,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,88.700000,50.060000,0.000000,0.000000,6.060000,150.00,38.00,24.180000,24.180000,38.010000,0.000000,4.840000,33.860000,98.660000,0.530000,0,16.760000,193.460000,96.730000,95.760000,0.000000,0.000000,1419.42

18,04:15-04:30,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,88.700000,50.060000,0.000000,0.000000,6.060000,150.00,138.00,24.180000,24.180000,38.010000,0.000000,4.840000,33.860000,98.660000,0.530000,0,16.760000,193.460000,96.730000,95.760000,0.000000,0.000000,1519.42

19,04:30-04:45,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,88.700000,50.060000,0.000000,0.000000,6.060000,150.00,150.00,24.180000,24.180000,38.010000,0.000000,4.840000,33.860000,98.660000,0.530000,0,16.760000,193.460000,96.730000,95.760000,0.000000,0.000000,1531.42

20,04:45-05:00,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,88.700000,50.060000,0.000000,0.000000,6.060000,150.00,150.00,24.180000,24.180000,38.010000,0.000000,4.840000,33.860000,98.660000,0.530000,0,16.760000,193.460000,96.730000,95.760000,0.000000,0.000000,1531.42

21,05:00-05:15,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,88.700000,50.060000,0.000000,0.000000,5.040000,50.00,150.00,24.180000,24.180000,38.010000,0.000000,4.840000,33.860000,0.000000,0.530000,0,16.580000,193.460000,96.730000,95.760000,0.000000,0.000000,1331.56

22,05:15-05:30,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,88.700000,50.060000,0.000000,0.000000,5.040000,150.00,150.00,24.180000,24.180000,38.010000,0.000000,4.840000,33.860000,0.000000,0.530000,0,16.580000,193.460000,96.730000,95.760000,0.000000,0.000000,1431.56

23,05:30-05:45,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,88.700000,50.060000,0.000000,0.000000,5.040000,150.00,150.00,24.180000,24.180000,38.010000,0.000000,4.840000,33.860000,0.000000,0.530000,0,16.580000,193.460000,96.730000,95.760000,0.000000,0.000000,1431.56

24,05:45-06:00,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,88.700000,50.060000,0.000000,0.000000,5.040000,150.00,150.00,24.180000,24.180000,38.010000,0.000000,4.840000,33.860000,0.000000,0.530000,0,16.580000,193.460000,96.730000,95.760000,0.000000,0.000000,1431.56

25,06:00-06:15,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,5.040000,150.00,150.00,24.180000,24.180000,0.000000,0.000000,4.840000,33.860000,0.000000,0.680000,0,16.480000,193.460000,96.730000,95.760000,0.000000,0.000000,1304.9

26,06:15-06:30,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,5.040000,150.00,150.00,24.180000,24.180000,0.000000,0.000000,4.840000,33.860000,0.000000,0.680000,0,16.480000,193.460000,96.730000,95.760000,0.000000,0.000000,1304.9

27,06:30-06:45,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,5.040000,150.00,150.00,24.180000,24.180000,0.000000,0.000000,4.840000,33.860000,0.000000,0.680000,0.1,16.480000,193.460000,96.730000,95.760000,0.000000,0.000000,1305

28,06:45-07:00,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,5.040000,150.00,150.00,24.180000,24.180000,0.000000,0.000000,4.840000,33.860000,0.000000,0.680000,0.48,16.480000,193.460000,96.730000,95.760000,0.000000,0.000000,1305.38

29,07:00-07:15,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,5.040000,50.00,150.00,24.180000,24.180000,0.000000,0.000000,4.840000,33.860000,0.000000,0.680000,0.87,16.400000,193.460000,96.730000,95.760000,0.000000,0.000000,1205.69

30,07:15-07:30,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,5.040000,50.00,150.00,24.180000,24.180000,0.000000,0.000000,4.840000,33.860000,0.000000,0.680000,1.45,16.400000,193.460000,96.730000,95.760000,0.000000,0.000000,1206.27

31,07:30-07:45,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,5.040000,50.00,150.00,24.180000,24.180000,0.000000,0.000000,4.840000,33.860000,0.000000,0.680000,2.03,16.400000,193.460000,96.730000,95.760000,0.000000,0.000000,1206.85

32,07:45:08:00,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,5.040000,50.00,150.00,24.180000,24.180000,0.000000,0.000000,4.840000,33.860000,0.000000,0.680000,2.42,16.400000,193.460000,96.730000,95.760000,0.000000,0.000000,1207.24

33,08:00-08:15,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,5.040000,150.00,150.00,24.180000,24.180000,0.000000,0.000000,4.840000,33.860000,0.000000,0.970000,2.42,16.300000,193.460000,96.730000,95.760000,0.000000,0.000000,1307.43

34,08:15-08:30,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,5.040000,150.00,0.00,24.180000,24.180000,0.000000,0.000000,4.840000,33.860000,0.000000,0.970000,3.1,16.300000,193.460000,96.730000,95.760000,0.000000,0.000000,1158.11

35,08:30-08:45,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,11.610000,0.000000,50.060000,0.000000,0.000000,6.060000,150.00,0.00,24.180000,24.180000,0.000000,0.000000,4.840000,33.860000,0.000000,0.970000,3.87,16.300000,193.460000,96.730000,95.760000,0.000000,0.000000,1171.51

36,08:45:09:00,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,0.000000,0.000000,6.060000,150.00,0.00,24.180000,24.180000,0.000000,0.000000,4.840000,33.860000,0.000000,0.970000,4.06,16.300000,193.460000,96.730000,95.760000,0.000000,0.000000,1198.78

37,09:00:09:15,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,33.000000,0.000000,5.040000,150.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,0.000000,0.970000,4.55,16.200000,193.460000,96.730000,95.760000,0.000000,0.000000,1237.92

38,09:15-09:30,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,33.000000,0.000000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,0.000000,0.970000,5.03,16.200000,193.460000,96.730000,95.760000,0.000000,0.000000,1088.4

39,09:30-09:45,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,33.000000,0.000000,0.000000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,0.000000,0.970000,5.32,16.200000,193.460000,96.730000,95.760000,0.000000,0.000000,1083.65

40,09:45-10:00,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,33.000000,0.000000,0.000000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,0.000000,0.970000,5.9,16.200000,193.460000,96.730000,95.760000,0.000000,0.000000,1084.23

41,10:00-10:15,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,33.000000,0.000000,0.000000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,90.930000,0.970000,5.8,16.120000,193.460000,96.730000,95.760000,0.000000,0.000000,1174.98

42,10:15-10:30,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,33.000000,0.000000,0.000000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,90.930000,0.970000,6.77,16.120000,193.460000,96.730000,95.760000,0.000000,0.000000,1175.95

43,10:30-10:45,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,33.000000,0.000000,0.000000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,90.930000,0.970000,7.16,16.120000,193.460000,96.730000,95.760000,0.000000,0.000000,1176.34

44,10:45-11:00,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,33.000000,0.000000,0.000000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,90.930000,0.970000,6.77,16.120000,193.460000,96.730000,95.760000,0.000000,0.000000,1175.95

45,11:00-11:15,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,33.000000,0.000000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,90.930000,0.970000,6.58,16.120000,193.460000,96.730000,95.760000,0.000000,0.000000,1180.8

46,11:15-11:30,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,33.000000,0.000000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,90.930000,0.970000,6.87,16.120000,193.460000,96.730000,95.760000,0.000000,0.000000,1181.09

47,11:30-11:45,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,33.000000,0.000000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,90.930000,0.970000,5.32,16.120000,193.460000,96.730000,95.760000,0.000000,0.000000,1179.54

48,11:45-12:00,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,33.000000,0.000000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,90.930000,0.970000,6.38,16.120000,193.460000,96.730000,95.760000,0.000000,0.000000,1180.6

49,12:00-12:15,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,33.000000,0.000000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,90.930000,0.970000,5.9,16.200000,193.460000,96.730000,95.760000,0.000000,0.000000,1180.2

50,12:15-12:30,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,33.000000,0.000000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,90.930000,0.970000,5.8,16.200000,193.460000,96.730000,95.760000,0.000000,0.000000,1180.1

51,12:30-12:45,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,33.000000,0.000000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,90.930000,0.970000,7.06,16.200000,193.460000,96.730000,95.760000,0.000000,0.000000,1181.36

52,12:45-13:00,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,33.000000,0.000000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,90.930000,0.970000,5.51,16.200000,193.460000,96.730000,95.760000,0.000000,0.000000,1179.81

53,13:00-13:15,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,33.000000,0.000000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,90.930000,0.970000,8.13,16.200000,193.460000,96.730000,95.760000,0.000000,0.000000,1182.43

54,13:15-13:30,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,33.000000,0.000000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,90.930000,0.970000,7.93,16.200000,193.460000,96.730000,95.760000,0.000000,0.000000,1182.23

55,13:30-13:45,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,33.000000,0.000000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,90.930000,0.970000,7.64,16.200000,193.460000,96.730000,95.760000,0.000000,0.000000,1181.94

56,13:45-14:00,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,33.000000,0.000000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,90.930000,0.970000,7.06,16.200000,193.460000,96.730000,95.760000,0.000000,0.000000,1181.36

57,14:00-14:15,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,33.000000,23.150000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,106.400000,0.970000,5.71,16.300000,193.460000,96.730000,95.760000,0.000000,0.000000,1218.73

58,14:15-14:30,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,33.000000,23.150000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,106.400000,0.970000,4.45,16.300000,193.460000,96.730000,95.760000,0.000000,0.000000,1217.47

59,14:30-14:45,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,33.000000,23.150000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,106.400000,0.970000,5.22,16.300000,193.460000,96.730000,95.760000,0.000000,0.000000,1218.24

60,14:45-15:00,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,33.000000,23.150000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,106.400000,0.970000,8.03,16.300000,193.460000,96.730000,95.760000,0.000000,0.000000,1221.05

61,15:00-15:15,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,0.000000,23.150000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,106.400000,0.920000,7.45,16.400000,193.460000,96.730000,95.760000,0.000000,0.000000,1187.52

62,15:15-15:30,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,0.000000,23.150000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,106.400000,0.920000,6.87,16.400000,193.460000,96.730000,95.760000,0.000000,0.000000,1186.94

63,15:30-15:45,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,38.690000,0.000000,50.060000,0.000000,23.150000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,106.400000,0.920000,5.61,16.400000,193.460000,96.730000,95.760000,0.000000,0.000000,1185.68

64,15:45-16:00,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,18.380000,0.000000,50.060000,0.000000,23.150000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,106.400000,0.920000,5.61,16.400000,193.460000,96.730000,95.760000,0.000000,0.000000,1165.37

65,16:00-16:15,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,0.000000,50.060000,0.000000,23.150000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,106.400000,0.820000,4.06,16.480000,193.460000,96.730000,95.760000,0.000000,0.000000,1145.42

66,16:15-16:30,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,0.000000,50.060000,0.000000,23.150000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,106.400000,0.820000,4.16,16.480000,193.460000,96.730000,95.760000,0.000000,0.000000,1145.52

67,16:30-16:45,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,0.000000,50.060000,0.000000,23.150000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,106.400000,0.820000,2.42,16.480000,193.460000,96.730000,95.760000,0.000000,0.000000,1143.78

68,16:45-17:00,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,0.000000,50.060000,0.000000,23.150000,5.040000,0.00,0.00,24.180000,24.180000,0.000000,6.770000,4.840000,33.860000,106.400000,0.820000,3.19,16.480000,193.460000,96.730000,95.760000,0.000000,0.000000,1144.55

69,17:00-17:15,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,8.070000,0.00,0.00,24.180000,24.180000,0.000000,0.000000,4.840000,33.860000,48.360000,0.820000,2.03,16.580000,193.460000,96.730000,95.760000,0.000000,0.000000,1058.56

70,17:15-17:30,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,8.070000,0.00,0.00,24.180000,24.180000,0.000000,0.000000,4.840000,33.860000,48.360000,0.820000,1.93,16.580000,193.460000,96.730000,95.760000,0.000000,0.000000,1058.46

