Time,Block,NR/2024/21573/C,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/2024/21141/A/27269,NR/2024/21113/A/27523,NR/2024/21076/A/27504,NR/2024/21146/A/27316,NR/2024/21089/A/27524,NR/2024/21148/A/27315,NR/2024/21594/C,NR/2024/20931/A/27491,NR/2024/20574/A/27566,NR/2024/21602/C,NR/2024/21604/C,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21210/A/27267,NR/2024/21574/C,NR/2024/21099/A/27270,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21062/A/27569,NR/2024/21087/A/27302,NR/2024/21186/A/27540,NR/2024/21339/A/27265,NR/2024/21496/A/27459,NR/2024/20688/A/27303,NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/17072024/17072024/IEX_240717_01580,NR/2024/20573/A/27567,NR/2024/21227/A/27549,NR/2024/21183/A/27506,NR/2024/21588/C,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/30092023/31122025/SH-07,NR/2024/21160/A/27318,NR/2024/21156/A/27314,NR/2024/21158/A/27321,NR/2024/21159/A/27319,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21598/C,NR/2024/21601/C,NR/2024/21142/A/27268,NR/2024/21569/C,NR/2024/20966/A/27244,NR/2024/21150/A/27317,NR/2024/21199/A/27455,NR/2024/21636/C,NR/2024/21500/A/27140,NR/2024/21153/A/27313,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21075/A/27507,NR/2024/19779/A/27254,NR/30092023/26122029/SH-06,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21096/A/27551,NR/2024/21238/A/27508,NR/2024/21103/A/27550,NR/2024/21072/A/27525,NR/2024/21152/A/27243,NR/2024/21023/A/27457,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21108/A/27548,NR/2024/20711/A/27589,NR/2024/21144/A/27294,NR/2024/21592/C,NR/2024/21173/A/27301,NR/01072024/31072024/R2,NR/2024/21485/A/27588,Total

3,00:30-00:45,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,6.000000,41.010000,48.120000,96.040000,48.020000,163.510000,24.010000,38.420000,0.000000,24.010000,48.020000,0.000000,12.000000,66.450000,0.000000,10.810000,0.000000,18.010000,12.150000,21.130000,67.230000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,76.830000,34.960000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,7.680000,1.580000,14.950000,11.670000,0.620000,32.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,192.080000,24.010000,24.010000,240.100000,2275.43

4,00:45-01:00,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,6.000000,40.620000,47.730000,96.040000,48.020000,163.510000,24.010000,38.420000,0.000000,24.010000,48.020000,0.000000,13.820000,66.450000,0.000000,10.810000,0.000000,18.010000,12.150000,21.130000,67.230000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,76.830000,35.530000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,7.680000,1.580000,14.950000,11.670000,0.620000,32.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,192.080000,24.010000,24.010000,240.100000,2277.04

5,01:00-01:15,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,6.000000,40.050000,48.020000,96.040000,48.020000,163.510000,24.010000,38.420000,0.000000,24.010000,48.020000,0.000000,42.190000,66.450000,0.000000,10.810000,0.000000,18.010000,12.150000,21.130000,67.230000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,76.830000,36.020000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,7.680000,1.580000,14.950000,11.670000,0.580000,32.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,192.080000,24.010000,24.010000,240.100000,2305.58

6,01:15-01:30,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,6.000000,40.430000,47.730000,96.040000,48.020000,163.510000,24.010000,38.420000,0.000000,24.010000,48.020000,0.000000,43.230000,66.450000,0.000000,10.810000,0.000000,18.010000,12.150000,21.130000,67.230000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,76.830000,35.630000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,7.680000,1.580000,14.950000,11.670000,0.580000,32.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,192.080000,24.010000,24.010000,240.100000,2306.32

7,01:30-01:45,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,6.000000,40.820000,47.730000,96.040000,48.020000,163.510000,24.010000,38.420000,0.000000,24.010000,48.020000,0.000000,43.460000,66.450000,0.000000,10.810000,0.000000,18.010000,12.150000,21.130000,0.000000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,76.830000,35.150000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,6.720000,1.580000,14.950000,11.670000,0.580000,32.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,192.080000,24.010000,24.010000,240.100000,2238.27

8,01:45-02:00,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,6.000000,41.200000,48.400000,96.040000,48.020000,163.510000,24.010000,38.420000,0.000000,24.010000,48.020000,0.000000,43.550000,66.450000,0.000000,10.810000,0.000000,18.010000,12.150000,21.130000,0.000000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,76.830000,34.770000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,6.720000,1.580000,14.950000,11.670000,0.580000,32.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,192.080000,24.010000,24.010000,240.100000,2239.03

9,02:00-02:15,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,6.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,38.420000,0.000000,24.010000,48.020000,0.000000,37.860000,66.450000,0.000000,10.810000,0.000000,18.010000,0.000000,21.130000,0.000000,53.450000,31.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,6.720000,1.580000,14.950000,11.670000,0.580000,31.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1782.69

10,02:15-02:30,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,6.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,38.420000,0.000000,24.010000,48.020000,0.000000,38.680000,66.450000,0.000000,10.810000,0.000000,18.010000,0.000000,21.130000,0.000000,53.450000,31.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,6.720000,1.580000,14.950000,11.670000,0.580000,31.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1783.51

11,02:30-02:45,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,6.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,38.420000,0.000000,24.010000,48.020000,0.000000,43.050000,66.450000,0.000000,10.810000,0.000000,18.010000,0.000000,21.130000,0.000000,53.450000,31.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,5.760000,1.580000,14.950000,11.670000,0.580000,31.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1786.92

12,02:45-03:00,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,6.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,38.420000,0.000000,24.010000,48.020000,0.000000,43.550000,66.450000,0.000000,10.810000,0.000000,18.010000,0.000000,21.130000,0.000000,53.450000,31.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,5.760000,1.580000,14.950000,11.670000,0.580000,31.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1787.42

13,03:00-03:15,0,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,6.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,0.000000,0.000000,24.010000,48.020000,0.000000,55.460000,66.450000,0.000000,13.110000,0.000000,18.010000,0.000000,21.130000,0.000000,53.450000,31.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,5.760000,1.580000,14.950000,11.670000,0.530000,31.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1715.66

14,03:15-03:30,0,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,6.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,0.000000,0.000000,24.010000,48.020000,0.000000,59.490000,66.450000,0.000000,13.110000,0.000000,18.010000,0.000000,21.130000,0.000000,53.450000,31.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,5.760000,1.580000,14.950000,11.670000,0.530000,31.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1719.69

15,03:30-03:45,0,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,6.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,0.000000,0.000000,24.010000,48.020000,0.000000,51.320000,66.450000,0.000000,13.110000,0.000000,18.010000,0.000000,21.130000,0.000000,53.450000,31.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,5.760000,1.580000,14.950000,11.670000,0.530000,31.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1711.52

16,03:45-04:00,0,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,6.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,0.000000,0.000000,24.010000,48.020000,0.000000,54.910000,66.450000,0.000000,13.110000,0.000000,18.010000,0.000000,21.130000,0.000000,53.450000,31.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,6.720000,1.580000,14.950000,11.670000,0.530000,31.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1716.07

17,04:00-04:15,0,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,6.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,0.000000,0.000000,24.010000,48.020000,0.000000,66.750000,66.450000,0.000000,13.110000,0.000000,18.010000,0.000000,21.130000,0.000000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,6.720000,1.580000,14.950000,11.670000,0.530000,32.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1729.91

18,04:15-04:30,0,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,6.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,0.000000,0.000000,24.010000,48.020000,0.000000,57.950000,66.450000,0.000000,13.110000,0.000000,18.010000,0.000000,21.130000,0.000000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,6.720000,1.580000,14.950000,11.670000,0.530000,32.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1721.11

19,04:30-04:45,0,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,6.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,0.000000,0.000000,24.010000,48.020000,0.000000,56.090000,66.450000,0.000000,13.110000,0.000000,18.010000,0.000000,21.130000,0.000000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,6.720000,1.580000,14.950000,11.670000,0.530000,32.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1719.25

20,04:45-05:00,0,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,6.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,0.000000,0.000000,24.010000,48.020000,0.000000,56.960000,66.450000,0.000000,13.110000,0.000000,18.010000,0.000000,21.130000,0.000000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,6.720000,1.580000,14.950000,11.670000,0.530000,32.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1720.12

21,05:00-05:15,0,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,6.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,0.000000,0.000000,24.010000,48.020000,0.000000,0.000000,66.450000,0.000000,13.110000,0.000000,18.010000,0.000000,21.130000,0.000000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,6.720000,1.580000,14.950000,11.670000,0.530000,32.000000,48.020000,24.010000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1619.94

22,05:15-05:30,0,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,6.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,0.000000,0.000000,24.010000,48.020000,0.000000,0.130000,66.450000,0.000000,13.110000,0.000000,18.010000,0.000000,21.130000,0.000000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,6.720000,1.580000,14.950000,11.670000,0.530000,32.000000,48.020000,24.010000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1620.07

23,05:30-05:45,0,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,6.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,0.000000,0.000000,24.010000,48.020000,0.000000,0.190000,66.450000,0.000000,13.110000,0.000000,18.010000,0.000000,21.130000,0.000000,53.450000,18.550000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,5.760000,1.580000,14.950000,11.670000,0.530000,32.000000,48.020000,24.010000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1605.72

24,05:45-06:00,0,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,6.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,0.000000,0.000000,24.010000,48.020000,0.000000,0.230000,66.450000,0.000000,13.110000,0.000000,18.010000,0.000000,21.130000,0.000000,53.450000,18.550000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,5.760000,1.580000,14.950000,11.670000,0.530000,32.000000,48.020000,24.010000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1605.76

25,06:00-06:15,0,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,0.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,0.000000,0.000000,24.010000,48.020000,0.000000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,53.450000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,5.760000,1.580000,14.950000,11.670000,0.670000,32.000000,48.020000,24.010000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1592.74

