Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/29985/A/86275,NR/2025/30334/A/86217,GNA/NR/2025/07/01/1192,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/2236,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/8139,NR/2025/30918/C,NR/2025/30884/C,GNA/NR/2025/07/01/3109,NR/2025/30966/C,NR/2025/30909/C,NR/2025/30966/C/Alternate/1,NR/2025/30910/C,GNA/NR/2025/07/01/2997,NR/2025/30907/C,GNA/NR/2025/07/01/8154,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/30924/C,NR/2025/30870/C,NR/2025/30967/C,NR/2025/30911/C,NR/2025/30960/C,NR/30092023/26122029/SH-06,NR/2025/30947/C,NR/2025/30938/C,NR/2025/30949/C,NR/2025/30951/C,NR/2025/30941/C,NR/2025/30952/C,NR/2025/30953/C,NR/2025/29992/A/86261,NR/2025/30217/A/86591,NR/2025/29353/A/86555,NR/2025/30067/A/86627,NR/2025/27970/A/86590,NR/2025/30083/A/86600,NR/2025/29628/A/86607,NR/2025/29915/A/86370,NR/2025/27968/A/86589,NR/2025/30969/C,NR/2025/30492/A/86252,NR/2025/29440/A/86163,NR/2025/29986/A/86277,NR/2025/30086/A/86598,NR/2025/27978/A/86723,NR/2025/27964/A/86588,NR/2025/30084/A/86599,NR/2025/27963/A/86586,NR/2025/29352/A/86557,NR/2025/27962/A/86585,NR/2025/30101/A/86722,NR/2025/26975/A/86613,NR/2025/30121/A/86222,NR/2025/30082/A/86663,NR/2025/29167/A/86371,NR/2025/28725/A/86592,NR/2025/29439/A/86262,NR/2025/30191/A/86219,NR/2025/30105/A/86593,NR/2025/29910/A/86605,Total
27,06:30-06:45,5.63,11,0,0,26.94,43.71,81.75,224.82,134.89,0,0,19.24,40.76,0,122.99,0,15.24,0,20.75,16.94,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,0,0,8.74,76.58,0,0,0.35,11.54,0.82,0,26.23,0,0,26.23,0,28.61,96.18,32.7,5.77,6.73,48.09,0,143.07,0,48.09,17.49,16.58,1546.9699999999998

28,06:45-07:00,9.44,16,0,0,26.94,43.71,81.75,224.82,134.89,0,0,19.24,129.73,0,34.02,0,15.24,0,20.75,16.94,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,0,0,8.74,76.58,0,0,0.57,11.54,0.82,0,26.23,0,0,26.23,0,28.61,96.18,32.7,5.77,6.73,48.09,0,143.07,0,48.09,17.49,16.58,1555.9999999999998

29,07:00-07:15,13.96,21,0,0,26.94,43.71,81.75,224.82,134.89,0,0,19.24,163.75,0,0,0,15.24,0,20.75,16.84,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,0,0,8.74,76.58,0,0,0.82,11.54,0.87,0,26.23,0,0,26.23,0,28.61,96.18,32.7,5.77,6.73,48.09,0,143.07,0,48.09,17.49,16.58,1565.7199999999996

30,07:15-07:30,19.08,28,0,0,26.94,43.71,81.75,224.82,134.89,0,0,19.24,163.75,0,0,0,15.24,0,20.75,16.84,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,0,0,8.74,76.58,0,0,1.23,11.54,0.87,0,26.23,0,0,26.23,0,28.61,96.18,32.7,5.77,6.73,48.09,0,143.07,0,48.09,17.49,16.58,1578.2499999999998

31,07:30-07:45,24.21,25,0,0,26.94,43.71,81.75,224.82,134.89,0,0,19.24,163.75,0,0,0,15.24,0,20.75,16.84,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,0,0,8.74,76.58,0,0,1.6,11.54,0.87,0,26.23,0,0,26.23,0,28.61,96.18,32.7,5.77,6.73,48.09,0,143.07,0,48.09,17.49,16.58,1580.7499999999995

32,07:45-08:00,29.8,35,0,0,26.94,43.71,81.75,224.82,134.89,0,0,19.24,163.75,0,0,0,15.24,0,20.75,16.84,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,0,0,8.74,76.58,0,0,2.17,11.54,0.87,0,26.23,0,0,26.23,0,28.61,96.18,32.7,5.77,6.73,48.09,0,143.07,0,48.09,17.49,16.58,1596.9099999999999

33,08:00-08:15,32.16,46,1.74,0,26.94,43.71,81.75,224.82,134.89,0,0,19.24,163.75,0,0,0,15.24,0,20.75,16.84,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,0,0,8.74,76.58,0,0,2.56,11.54,0.96,0,26.23,0,0,26.23,0,28.61,96.18,32.7,5.77,6.73,48.09,0,143.07,0,48.09,17.49,16.58,1612.4899999999998

34,08:15-08:30,37.16,56,2.12,0,26.94,43.71,81.75,224.82,134.89,0,0,19.24,163.75,0,0,0,15.24,0,20.75,16.84,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,0,0,8.74,76.58,0,0,3.53,11.54,0.96,0,26.23,0,0,26.23,0,28.61,96.18,32.7,5.77,6.73,48.09,0,143.07,0,48.09,17.49,16.58,1628.84

35,08:30-08:45,42.04,70,2.5,0,26.94,43.71,81.75,224.82,134.89,0,0,19.24,163.75,0,0,0,15.24,0,20.75,16.84,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,0,0,8.74,76.58,0,0,2.43,13.47,0.96,0,26.23,0,0,26.23,0,28.61,96.18,32.7,5.77,6.73,48.09,0,143.07,0,48.09,17.49,16.58,1648.9299999999998

36,08:45-09:00,47.33,81,2.9,0,26.94,43.71,81.75,224.82,134.89,0,0,19.24,163.75,0,0,0,15.24,0,20.75,16.84,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,0,0,8.74,76.58,0,0,2.43,13.47,0.96,0,26.23,0,0,26.23,0,28.61,96.18,32.7,5.77,6.73,48.09,0,143.07,0,48.09,17.49,16.58,1665.62

37,09:00-09:15,52.42,98,4.71,0,26.96,43.71,81.75,224.82,134.89,44.24,48.09,19.24,163.75,0,0,0,15.24,143.07,20.75,16.84,0.96,48.09,27.89,96.18,32.7,26.96,14.57,76.58,43.71,29.03,16.58,7.69,37.16,0,0,81.75,0,0,0,0,0,0,0.97,13.47,0,0,0,0,0,0,0,28.61,0,0,5.77,0,0,0,0,0,0,0,0,1727.15

38,09:15-09:30,57.54,109,5.15,0,26.96,43.71,81.75,224.82,134.89,44.24,48.09,19.24,163.75,0,0,0,15.24,143.07,20.75,16.84,0.96,48.09,27.89,96.18,32.7,26.96,14.57,76.58,43.71,29.03,16.58,7.69,37.16,0,0,81.75,0,0,0,0,0,0,0.97,13.47,0,0,0,0,0,0,0,28.61,0,0,5.77,0,0,0,0,0,0,0,0,1743.71

39,09:30-09:45,62.3,112,5.56,0,26.96,43.71,81.75,224.82,134.89,44.24,48.09,19.24,163.75,0,0,0,15.24,143.07,20.75,16.84,0.96,48.09,27.89,96.18,32.7,26.96,14.57,76.58,43.71,29.03,16.58,7.69,37.16,0,0,81.75,0,0,0,0,0,0,0.97,13.47,0,0,0,0,0,0,0,28.61,0,0,5.77,0,0,0,0,0,0,0,0,1751.88

40,09:45-10:00,66.88,119,5.96,0,26.96,43.71,81.75,224.82,134.89,44.24,48.09,19.24,163.75,0,0,0,15.24,143.07,20.75,16.84,0.96,48.09,27.89,96.18,32.7,26.96,14.57,76.58,43.71,29.03,16.58,7.69,37.16,0,0,81.75,0,0,0,0,0,0,0.97,13.47,0,0,0,0,0,0,0,28.61,0,0,5.77,0,0,0,0,0,0,0,0,1763.86

41,10:00-10:15,70.91,133,6.28,0,26.96,43.71,81.75,224.82,134.89,44.24,48.09,19.24,163.75,0,0,0,15.24,143.07,20.75,16.75,0.96,48.09,27.89,96.18,32.7,26.96,14.57,76.58,43.71,29.03,16.58,7.69,37.16,0,0,81.75,0,0,0,0,0,0,0.97,13.47,0,0,0,0,0,0,0,28.61,0,0,5.77,0,0,0,0,0,0,0,0,1782.1200000000001

42,10:15-10:30,74.49,144,6.44,0,26.96,43.71,81.75,224.82,134.89,44.24,48.09,19.24,163.75,0,0,0,15.24,143.07,20.75,16.75,0.96,48.09,27.89,96.18,32.7,26.96,14.57,76.58,43.71,29.03,16.58,7.69,37.16,0,0,81.75,0,0,0,0,0,0,0.97,13.47,0,0,0,0,0,0,0,28.61,0,0,5.77,0,0,0,0,0,0,0,0,1796.8600000000001

43,10:30-10:45,70,151,5.24,0,26.96,43.71,81.75,224.82,134.89,44.24,48.09,19.24,163.75,0,0,0,15.24,143.07,20.75,16.75,0.96,48.09,27.89,96.18,32.7,26.96,14.57,76.58,43.71,29.03,16.58,7.69,37.16,0,0,81.75,0,0,0,0,0,0,1.21,13.47,0,0,0,0,0,0,0,28.61,0,0,5.77,0,0,0,0,0,0,0,0,1798.41

44,10:45-11:00,75,161,5.23,0,26.96,43.71,81.75,224.82,134.89,44.24,48.09,19.24,163.75,0,0,0,15.24,143.07,20.75,16.75,0.96,48.09,27.89,96.18,32.7,26.96,14.57,76.58,43.71,29.03,16.58,7.69,37.16,0,0,81.75,0,0,0,0,0,0,1.21,13.47,0,0,0,0,0,0,0,28.61,0,0,5.77,0,0,0,0,0,0,0,0,1813.4

45,11:00-11:15,85.38,172,5.24,0,26.96,43.71,81.75,224.82,134.89,44.24,48.09,19.24,163.75,0,0,0,15.24,143.07,20.75,16.66,0.96,48.09,27.89,96.18,32.7,26.96,14.57,76.58,43.71,29.03,16.58,7.69,37.16,0,0,81.75,0,0,0,0,0,0,1.21,13.47,0,0,0,0,0,0,0,28.61,0,0,5.77,0,0,0,0,0,0,0,0,1834.7

46,11:15-11:30,87.2,175,5.24,0,26.96,43.71,81.75,224.82,134.89,44.24,48.09,19.24,163.75,0,0,0,15.24,143.07,20.75,16.66,0.96,48.09,27.89,96.18,32.7,26.96,14.57,76.58,43.71,29.03,16.58,7.69,37.16,0,0,81.75,0,0,0,0,0,0,1.21,13.47,0,0,0,0,0,0,0,28.61,0,0,5.77,0,0,0,0,0,0,0,0,1839.52

