Column1,Block,WR/2025/27350/A/65345,NR/2025/25945/A/65678,NR/2025/25947/A/65675,NR/2025/26048/C,NR/2025/25948/A/65671,NR/2025/26031/A/65594,NR/2025/25955/A/65669,WR/2025/27361/A/65705,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/65248,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/16/6639,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6490,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/4565,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/9334,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/7960,NR/30092023/26122029/SH-06,GNA/NR/2025/04/16/2341,Total
3,00:30-00:45,0,26.24,26.24,252.12,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,13.17,8.75,9.62,2.89,9.62,52.5,48.12,0,1.92,9.62,2.89,2.89,30,22.13,30,19.25,891.56

4,00:45-01:00,0,26.24,26.24,252.12,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,13.17,8.75,9.62,2.89,9.62,52.5,48.12,0,1.92,9.62,2.89,2.89,30,22.13,30,19.25,891.56

5,01:00-01:15,0,26.24,26.24,252.12,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,13.08,8.75,9.62,2.89,9.62,52.5,48.12,0,1.92,9.62,2.89,2.89,30,22.13,30,19.25,891.47

6,01:15-01:30,0,26.24,26.24,252.12,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,13.08,8.75,9.62,2.89,9.62,52.5,48.12,0,1.92,9.62,2.89,2.89,30,22.13,30,19.25,891.47

7,01:30-01:45,0,26.24,26.24,252.12,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,13.08,8.75,9.62,2.89,9.62,52.5,48.12,0,1.92,9.62,2.89,2.89,30,22.13,30,19.25,891.47

8,01:45-02:00,0,26.24,26.24,252.12,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,13.08,8.75,9.62,2.89,9.62,52.5,48.12,0,1.92,9.62,2.89,2.89,30,22.13,30,19.25,891.47

9,02:00-02:15,96.23,26.24,26.24,252.12,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,12.98,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,30,22.13,30,19.25,935.0999999999999

10,02:15-02:30,96.23,26.24,26.24,252.12,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,12.98,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,30,22.13,30,19.25,935.0999999999999

11,02:30-02:45,96.23,26.24,26.24,252.12,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,12.98,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,30,22.13,30,19.25,935.0999999999999

12,02:45-03:00,96.23,26.24,26.24,252.12,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,12.98,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,30,22.13,30,19.25,935.0999999999999

13,03:00-03:15,96.23,26.24,26.24,252.12,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,12.8,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,30,22.13,30,19.25,934.9199999999998

14,03:15-03:30,96.23,26.24,26.24,252.12,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,12.8,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,30,22.13,30,19.25,934.9199999999998

15,03:30-03:45,96.23,26.24,26.24,252.12,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,12.8,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,30,22.13,30,19.25,934.9199999999998

16,03:45-04:00,96.23,26.24,26.24,252.12,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,12.8,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,30,22.13,30,19.25,934.9199999999998

17,04:00-04:15,96.23,26.24,26.24,252.12,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,12.62,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.93,22.13,26.93,19.25,928.5999999999998

18,04:15-04:30,96.23,26.24,26.24,252.12,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,12.62,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.93,22.13,26.93,19.25,928.5999999999998

19,04:30-04:45,96.23,26.24,26.24,252.12,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,12.62,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.93,22.13,26.93,19.25,928.5999999999998

20,04:45-05:00,96.23,26.24,26.24,252.12,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,12.62,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.93,22.13,26.93,19.25,928.5999999999998

21,05:00-05:15,96.23,26.24,26.24,252.12,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,12.43,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.93,22.13,26.93,19.25,928.4099999999997

22,05:15-05:30,96.23,26.24,26.24,252.12,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,12.43,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.93,22.13,26.93,19.25,928.4099999999997

23,05:30-05:45,96.23,26.24,26.24,232.88,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,12.43,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.93,22.13,26.93,19.25,909.1699999999997

24,05:45-06:00,96.23,26.24,26.24,232.88,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,12.43,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.93,22.13,26.93,19.25,909.1699999999997

25,06:00-06:15,96.23,26.24,26.24,232.88,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,12.25,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.26,22.13,30,19.25,911.3899999999999

26,06:15-06:30,96.23,26.24,26.24,232.88,8.75,3.85,17.49,24.06,0.29,0,28.87,96.23,72.17,72.17,12.25,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.26,22.13,30,19.25,911.68

27,06:30-06:45,96.23,26.24,26.24,232.88,8.75,3.85,17.49,24.06,0.84,0,28.87,96.23,72.17,72.17,12.25,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.93,22.13,26.93,19.25,909.8299999999998

28,06:45-07:00,96.23,26.24,26.24,0,8.75,3.85,17.49,24.06,2.83,0,28.87,96.23,72.17,72.17,12.25,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.93,22.13,26.93,19.25,678.9399999999998

29,07:00-07:15,96.23,26.24,26.24,0,8.75,3.85,17.49,24.06,6.03,0,28.87,96.23,72.17,72.17,12.15,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.93,22.13,26.93,19.25,682.0399999999998

30,07:15-07:30,96.23,26.24,26.24,0,8.75,3.85,17.49,24.06,10.2,0,28.87,96.23,72.17,72.17,12.15,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.93,22.13,26.93,19.25,686.2099999999998

31,07:30-07:45,96.23,26.24,26.24,0,8.75,3.85,17.49,24.06,15.75,0,28.87,96.23,72.17,72.17,12.15,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.93,22.13,26.93,19.25,691.7599999999999

32,07:45-08:00,96.23,26.24,26.24,0,8.75,3.85,17.49,24.06,22.6,0,28.87,96.23,72.17,72.17,12.15,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.93,22.13,26.93,19.25,698.6099999999998

33,08:00-08:15,0,26.24,26.24,0,8.75,3.85,17.49,24.06,30.01,3.85,28.87,96.23,72.17,72.17,12.07,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.93,22.13,26.93,19.25,613.5599999999998

34,08:15-08:30,0,26.24,26.24,105.85,8.75,3.85,17.49,24.06,37.6,3.85,28.87,96.23,72.17,72.17,12.07,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.93,22.13,26.93,19.25,726.9999999999999

35,08:30-08:45,0,26.24,26.24,144.34,8.75,3.85,17.49,24.06,43.2,3.85,28.87,96.23,72.17,72.17,12.07,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.93,22.13,26.93,19.25,771.0899999999999

36,08:45-09:00,0,26.24,26.24,144.34,8.75,3.85,17.49,24.06,50.5,3.85,28.87,96.23,72.17,72.17,12.07,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.93,22.13,26.93,19.25,778.39

37,09:00-09:15,0,26.24,26.24,144.34,8.75,3.85,17.49,24.06,57.53,6.74,28.87,96.23,72.17,72.17,11.88,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.94,22.13,26.94,19.25,788.14

38,09:15-09:30,0,26.24,26.24,221.33,8.75,3.85,17.49,24.06,63.95,6.74,28.87,96.23,72.17,72.17,11.88,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.94,22.13,26.94,19.25,871.55

39,09:30-09:45,0,26.24,26.24,221.33,8.75,3.85,17.49,24.06,70.07,6.74,28.87,96.23,72.17,72.17,11.88,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.94,22.13,26.94,19.25,877.67

40,09:45-10:00,0,26.24,26.24,221.33,8.75,3.85,17.49,24.06,77.2,6.74,28.87,96.23,72.17,72.17,11.88,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.94,22.13,26.94,19.25,884.8

41,10:00-10:15,0,26.24,26.24,221.33,8.75,3.85,17.49,24.06,82.21,8.66,28.87,96.23,72.17,72.17,11.69,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.94,22.13,26.94,19.25,891.5400000000001

42,10:15-10:30,0,26.24,26.24,221.33,8.75,3.85,17.49,24.06,87.08,8.66,28.87,96.23,72.17,72.17,11.69,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.94,22.13,26.94,19.25,896.4100000000001

43,10:30-10:45,0,26.24,26.24,240.58,8.75,3.85,17.49,24.06,100,8.66,28.87,96.23,72.17,72.17,11.69,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.94,22.13,26.94,19.25,928.58

44,10:45-11:00,0,26.24,26.24,240.58,8.75,3.85,17.49,24.06,100,8.66,28.87,96.23,72.17,72.17,11.69,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.94,22.13,26.94,19.25,928.58

45,11:00-11:15,0,26.24,26.24,240.58,8.75,3.85,17.49,24.06,100,8.66,28.87,96.23,72.17,72.17,11.61,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.94,22.13,26.94,19.25,928.5

46,11:15-11:30,0,26.24,26.24,240.58,8.75,3.85,17.49,24.06,100,8.66,28.87,96.23,72.17,72.17,11.61,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.94,22.13,26.94,19.25,928.5

47,11:30-11:45,0,26.24,26.24,240.58,8.75,3.85,17.49,24.06,100,8.66,28.87,96.23,72.17,72.17,11.61,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.94,22.13,26.94,19.25,928.5

48,11:45-12:00,0,26.24,26.24,240.58,8.75,3.85,17.49,24.06,100,8.66,28.87,96.23,72.17,72.17,11.61,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.94,22.13,26.94,19.25,928.5

49,12:00-12:15,0,26.24,26.24,240.58,8.75,3.85,17.49,24.06,100,8.66,28.87,96.23,72.17,72.17,11.51,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.95,22.13,26.95,19.25,928.42

50,12:15-12:30,0,26.24,26.24,240.58,8.75,3.85,17.49,24.06,100,8.66,28.87,96.23,72.17,72.17,11.51,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.95,22.13,26.95,19.25,928.42

51,12:30-12:45,0,26.24,26.24,240.58,8.75,3.85,17.49,24.06,100,8.66,28.87,96.23,72.17,72.17,11.51,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.95,22.13,26.95,19.25,928.42

52,12:45-13:00,0,26.24,26.24,240.58,8.75,3.85,17.49,24.06,100,8.66,28.87,96.23,72.17,72.17,11.51,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.95,22.13,26.95,19.25,928.42

53,13:00-13:15,0,26.24,26.24,240.58,8.75,3.85,17.49,24.06,100,8.66,28.87,96.23,72.17,72.17,11.42,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.95,22.13,26.95,19.25,928.3299999999999

54,13:15-13:30,0,26.24,26.24,240.58,8.75,3.85,17.49,24.06,100,8.66,28.87,96.23,72.17,72.17,11.42,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.95,22.13,26.95,19.25,928.3299999999999

55,13:30-13:45,0,26.24,26.24,240.58,8.75,3.85,17.49,24.06,100,8.66,28.87,96.23,72.17,72.17,11.42,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.95,22.13,26.95,19.25,928.3299999999999

56,13:45-14:00,0,26.24,26.24,240.58,8.75,3.85,17.49,24.06,100,8.66,28.87,96.23,72.17,72.17,11.42,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.95,22.13,26.95,19.25,928.3299999999999

57,14:00-14:15,0,26.24,26.24,240.58,8.75,3.85,17.49,24.06,100,7.7,28.87,96.23,72.17,72.17,11.33,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.95,22.13,26.95,19.25,927.28

58,14:15-14:30,0,26.24,26.24,240.58,8.75,3.85,17.49,24.06,100,7.7,28.87,96.23,72.17,72.17,11.33,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.95,22.13,26.95,19.25,927.28

59,14:30-14:45,0,26.24,26.24,240.58,8.75,3.85,17.49,24.06,100,7.7,28.87,96.23,72.17,72.17,11.33,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.95,22.13,26.95,19.25,927.28

60,14:45-15:00,0,26.24,26.24,211.71,8.75,3.85,17.49,24.06,100,7.7,28.87,96.23,72.17,72.17,11.33,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.95,22.13,26.95,19.25,898.41

61,15:00-15:15,0,26.24,26.24,211.71,8.75,3.85,17.49,24.06,100,6.74,28.87,96.23,72.17,72.17,11.33,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.95,22.13,26.95,19.25,897.45

62,15:15-15:30,0,26.24,26.24,211.71,8.75,3.85,17.49,24.06,88.19,6.74,28.87,96.23,72.17,72.17,11.33,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.95,22.13,26.95,19.25,885.64

63,15:30-15:45,0,26.24,26.24,211.71,8.75,3.85,17.49,24.06,82.94,6.74,28.87,96.23,72.17,72.17,11.33,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.95,22.13,26.95,19.25,880.39

64,15:45-16:00,0,26.24,26.24,173.21,8.75,3.85,17.49,24.06,77.05,6.74,28.87,96.23,72.17,72.17,11.33,8.75,9.62,2.89,9.62,0,48.12,0,1.92,9.62,2.89,2.89,26.95,22.13,26.95,19.25,836

65,16:00-16:15,0,26.24,26.24,173.21,8.75,4.81,17.49,24.06,70.33,3.85,28.87,96.23,72.17,72.17,11.51,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,26.95,22.13,26.95,19.25,877.53

66,16:15-16:30,0,26.24,26.24,173.21,8.75,4.81,17.49,24.06,64.13,3.85,28.87,96.23,72.17,72.17,11.51,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,26.95,22.13,26.95,19.25,871.33

67,16:30-16:45,0,26.24,26.24,173.21,8.75,4.81,17.49,24.06,56.93,3.85,28.87,96.23,72.17,72.17,11.51,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,26.95,22.13,26.95,19.25,864.13

68,16:45-17:00,0,26.24,26.24,76.98,8.75,4.81,17.49,24.06,49.77,3.85,28.87,96.23,72.17,72.17,11.51,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,26.95,22.13,26.95,19.25,760.7400000000001

69,17:00-17:15,0,26.24,26.24,76.98,8.75,4.81,17.49,24.06,44.38,0,28.87,96.23,72.17,72.17,11.79,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,26.95,22.13,26.95,19.25,751.7800000000001

70,17:15-17:30,0,26.24,26.24,76.98,8.75,4.81,17.49,24.06,36.83,0,28.87,96.23,72.17,72.17,11.79,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,26.95,22.13,26.95,19.25,744.2300000000001

71,17:30-17:45,0,26.24,26.24,76.98,8.75,4.81,17.49,24.06,28.82,0,28.87,96.23,72.17,72.17,11.79,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,26.95,22.13,26.95,19.25,736.22

72,17:45-18:00,0,26.24,26.24,19.25,8.75,4.81,17.49,24.06,20.92,0,28.87,96.23,72.17,72.17,11.79,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,26.95,22.13,26.95,19.25,670.59

73,18:00-18:15,0,26.24,26.24,271.37,8.75,5.77,17.49,24.06,14.33,0,28.87,96.23,72.17,72.17,12.07,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,26.41,22.13,29.5,19.25,919.3699999999999

74,18:15-18:30,0,26.24,26.24,271.37,8.75,5.77,17.49,24.06,8.99,0,28.87,96.23,72.17,72.17,12.07,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,26.41,22.13,29.5,19.25,914.0299999999999

75,18:30-18:45,0,26.24,26.24,271.37,8.75,6.74,17.49,24.06,3.21,0,28.87,96.23,72.17,72.17,12.71,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,26.41,22.13,29.5,19.25,909.8599999999999

76,18:45-19:00,0,26.24,26.24,271.37,8.75,6.74,17.49,24.06,1.55,0,28.87,96.23,72.17,72.17,12.71,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,26.41,22.13,29.5,19.25,908.1999999999999

77,19:00-19:15,0,26.24,26.24,271.37,8.75,6.74,17.49,24.06,0,0,28.87,96.23,72.17,72.17,13.17,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,0,22.13,29.5,19.25,880.6999999999999

78,19:15-19:30,0,26.24,26.24,271.37,8.75,6.74,17.49,24.06,0,0,28.87,96.23,72.17,72.17,13.17,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,0,22.13,29.5,19.25,880.6999999999999

79,19:30-19:45,0,26.24,26.24,271.37,8.75,6.74,17.49,24.06,0,0,28.87,96.23,72.17,72.17,13.17,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,0,22.13,29.5,19.25,880.6999999999999

80,19:45-20:00,0,26.24,26.24,271.37,8.75,6.74,17.49,24.06,0,0,28.87,96.23,72.17,72.17,13.17,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,0,22.13,29.5,19.25,880.6999999999999

81,20:00-20:15,0,26.24,26.24,271.37,8.75,5.77,17.49,24.06,0,0,28.87,96.23,72.17,72.17,13.17,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,0,22.13,29.5,19.25,879.7299999999999

82,20:15-20:30,0,26.24,26.24,271.37,8.75,5.77,17.49,24.06,0,0,28.87,96.23,72.17,72.17,13.17,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,0,22.13,29.5,19.25,879.7299999999999

83,20:30-20:45,0,26.24,26.24,271.37,8.75,5.77,17.49,24.06,0,0,28.87,96.23,72.17,72.17,13.17,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,0,22.13,29.5,19.25,879.7299999999999

84,20:45-21:00,0,26.24,26.24,271.37,8.75,5.77,17.49,24.06,0,0,28.87,96.23,72.17,72.17,13.17,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,0,22.13,29.5,19.25,879.7299999999999

85,21:00-21:15,0,26.24,26.24,271.37,8.75,5.77,17.49,24.06,0,0,28.87,96.23,72.17,72.17,13.17,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,7.67,22.13,7.67,19.25,865.5699999999998

86,21:15-21:30,0,26.24,26.24,271.37,8.75,5.77,17.49,24.06,0,0,28.87,96.23,72.17,72.17,13.17,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,7.67,22.13,7.67,19.25,865.5699999999998

87,21:30-21:45,0,26.24,26.24,271.37,8.75,5.77,17.49,24.06,0,0,28.87,96.23,72.17,72.17,13.17,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,0,22.13,29.5,19.25,879.7299999999999

88,21:45-22:00,0,26.24,26.24,271.37,8.75,5.77,17.49,24.06,0,0,28.87,96.23,72.17,72.17,13.17,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,0,22.13,29.5,19.25,879.7299999999999

89,22:00-22:15,0,26.24,26.24,271.37,8.75,4.81,17.49,24.06,0,0,28.87,96.23,72.17,72.17,13.17,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,0,22.13,29.5,19.25,878.7699999999999

90,22:15-22:30,0,26.24,26.24,271.37,8.75,4.81,17.49,24.06,0,0,28.87,96.23,72.17,72.17,13.17,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,0,22.13,29.5,19.25,878.7699999999999

91,22:30-22:45,0,26.24,26.24,271.37,8.75,4.81,17.49,24.06,0,0,28.87,96.23,72.17,72.17,13.17,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,29.5,22.13,29.5,19.25,908.2699999999999

92,22:45-23:00,0,26.24,26.24,247.31,8.75,4.81,17.49,24.06,0,0,28.87,96.23,72.17,72.17,13.17,8.75,9.62,2.89,9.62,0,48.12,50,1.92,9.62,2.89,2.89,29.5,22.13,29.5,19.25,884.2099999999999

