Time,Block,NR/2024/19030/A/17099,NR/2024/19893/C,NR/2024/19245/A/17142,NR/2024/19290/A/17811,NR/2024/19862/C,NR/2024/19764/A/17810,NR/2024/18986/A/17094,NR/2024/18935/A/17038,NR/2024/19871/C,NR/2024/19483/A/17660,NR/2024/18934/A/17037,NR/2024/19677/A/17284,NR/2024/19469/A/17144,NR/2024/19075/A/17084,NR/2024/19787/A/17733,NR/2024/19679/A/17290,NR/2024/19121/A/17170,NR/2024/18977/A/17049,NR/2024/19172/A/17812,NR/2024/19024/A/17143,NR/2024/18919/A/17635,NR/2024/19884/C,NR/2024/19656/A/17174,NR/2024/19726/A/17575,NR/2024/19935/C,NR/2024/19622/A/17060,NR/2024/18936/A/17039,NR/2024/18855/A/17171,NR/2024/19888/C,NR/2024/19892/C,NR/2024/18996/A/17617,NR/2024/19485/A/17656,NR/2024/19043/A/17092,NR/2024/19115/A/17082,NR/2024/18976/A/17048,NR/2024/19877/C,NR/2024/19898/C,NR/2024/19739/A/17395,NR/2024/19337/A/17141,NR/2024/19861/C,NR/2024/19905/C,NR/2024/19890/C,NR/2024/19143/A/17080,NR/2024/19484/A/17658,NR/2024/19863/C,NR/2024/19727/A/17570,NR/2024/18978/A/17050,NR/2024/19609/A/17633,NR/2024/19901/C,Total
3,00:30-00:45,0.000000,96.640000,0.000000,67.650000,52.570000,0.000000,0.530000,0.000000,193.280000,12.450000,0.000000,96.640000,0.000000,0.000000,0.000000,96.640000,0.000000,0.000000,115.970000,4.830000,9.660000,96.640000,0.000000,144.960000,0.000000,96.640000,0.000000,66.870000,193.280000,52.190000,0.000000,37.330000,0.000000,0.000000,0.000000,4.830000,96.640000,0.970000,1.930000,0,46,0.000000,2.000000,37.330000,53.150000,193.280000,0.000000,96.640000,144.960000,2112.5

4,00:45-01:00,0.000000,96.640000,0.000000,67.650000,52.570000,0.000000,0.530000,0.000000,193.280000,12.450000,0.000000,96.640000,0.000000,0.000000,0.000000,96.640000,0.000000,0.000000,115.970000,4.830000,9.660000,96.640000,0.000000,144.960000,0.000000,96.640000,0.000000,66.870000,193.280000,52.190000,0.000000,37.330000,0.000000,0.000000,0.000000,4.830000,96.640000,0.970000,1.930000,0,47.64,0.000000,2.000000,37.330000,53.150000,193.280000,0.000000,96.640000,144.960000,2114.14

5,01:00-01:15,0.000000,96.640000,0.000000,67.650000,52.570000,0.000000,0.480000,0.000000,48.320000,12.450000,0.000000,96.640000,0.000000,0.000000,0.000000,96.640000,0.000000,0.000000,115.970000,4.830000,9.660000,96.640000,0.000000,144.960000,0.000000,96.640000,0.000000,66.870000,144.960000,46.390000,0.000000,37.330000,0.000000,0.000000,0.000000,4.830000,96.640000,0.970000,1.930000,0,47.64,0.000000,2.000000,37.330000,53.150000,193.280000,0.000000,96.640000,144.960000,1915.01

6,01:15-01:30,0.000000,96.640000,0.000000,67.650000,52.570000,0.000000,0.480000,0.000000,48.320000,12.450000,0.000000,96.640000,0.000000,0.000000,0.000000,96.640000,0.000000,0.000000,115.970000,4.830000,9.660000,96.640000,0.000000,144.960000,0.000000,96.640000,0.000000,66.870000,144.960000,46.390000,0.000000,37.330000,0.000000,0.000000,0.000000,4.830000,96.640000,0.970000,1.930000,0,47.64,0.000000,2.000000,37.330000,53.150000,193.280000,0.000000,96.640000,144.960000,1915.01

7,01:30-01:45,0.000000,96.640000,0.000000,67.650000,52.570000,0.000000,0.480000,0.000000,48.320000,12.450000,0.000000,96.640000,0.000000,0.000000,0.000000,96.640000,0.000000,0.000000,115.970000,4.830000,9.660000,96.640000,0.000000,144.960000,0.000000,96.640000,0.000000,66.870000,144.960000,46.390000,0.000000,37.330000,0.000000,0.000000,0.000000,4.830000,96.640000,0.970000,1.930000,0,49.29,0.000000,2.000000,37.330000,53.150000,193.280000,0.000000,96.640000,144.960000,1916.66

8,01:45-02:00,0.000000,96.640000,0.000000,67.650000,52.570000,0.000000,0.480000,0.000000,48.320000,12.450000,0.000000,96.640000,0.000000,0.000000,0.000000,96.640000,0.000000,0.000000,115.970000,4.830000,9.660000,96.640000,0.000000,144.960000,0.000000,96.640000,0.000000,66.870000,144.960000,46.390000,0.000000,37.330000,0.000000,0.000000,0.000000,4.830000,96.640000,0.970000,1.930000,0,49.29,0.000000,2.000000,37.330000,53.150000,193.280000,0.000000,96.640000,144.960000,1916.66

9,02:00-02:15,0.000000,48.320000,0.000000,67.650000,52.570000,0.000000,0.480000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.970000,4.830000,9.660000,96.640000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,96.640000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,48.320000,0.970000,1.930000,0,0,0.000000,2.000000,37.330000,62.820000,0.000000,0.000000,0.000000,72.480000,835.26

10,02:15-02:30,0.000000,48.320000,0.000000,67.650000,52.570000,0.000000,0.480000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.970000,4.830000,9.660000,96.640000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,96.640000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,48.320000,0.970000,1.930000,0,0,0.000000,2.000000,37.330000,62.820000,0.000000,0.000000,0.000000,72.480000,835.26

11,02:30-02:45,0.000000,48.320000,0.000000,67.650000,52.570000,0.000000,0.480000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.970000,4.830000,9.660000,96.640000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,96.640000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,48.320000,0.970000,1.930000,0,0,0.000000,2.000000,37.330000,62.820000,0.000000,0.000000,0.000000,72.480000,835.26

12,02:45-03:00,0.000000,48.320000,0.000000,67.650000,52.570000,0.000000,0.480000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.970000,4.830000,9.660000,96.640000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,96.640000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,48.320000,0.970000,1.930000,0,0,0.000000,2.000000,37.330000,62.820000,0.000000,0.000000,0.000000,72.480000,835.26

13,03:00-03:15,0.000000,0.000000,0.000000,67.650000,52.570000,0.000000,0.480000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.970000,4.830000,9.660000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,1.930000,0,0,0.000000,2.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,472.86

14,03:15-03:30,0.000000,0.000000,0.000000,67.650000,52.570000,0.000000,0.480000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.970000,4.830000,9.660000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,1.930000,0,0,0.000000,2.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,472.86

15,03:30-03:45,0.000000,0.000000,0.000000,67.650000,52.570000,0.000000,0.480000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.970000,4.830000,9.660000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,1.930000,0,0,0.000000,2.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,472.86

16,03:45-04:00,0.000000,0.000000,0.000000,67.650000,52.570000,0.000000,0.480000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.970000,4.830000,9.660000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,1.930000,0,0,0.000000,2.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,472.86

17,04:00-04:15,0.000000,0.000000,0.000000,67.650000,52.570000,0.000000,0.480000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.970000,4.830000,9.660000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,1.930000,0,0,0.000000,2.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,472.86

18,04:15-04:30,0.000000,0.000000,0.000000,67.650000,52.570000,0.000000,0.480000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.970000,4.830000,9.660000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,1.930000,0,0,0.000000,2.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,472.86

19,04:30-04:45,0.000000,0.000000,0.000000,67.650000,52.570000,0.000000,0.480000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.970000,4.830000,9.660000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,0,0.000000,2.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,471.89

20,04:45-05:00,0.000000,0.000000,0.000000,67.650000,52.570000,0.000000,0.480000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.970000,4.830000,9.660000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,0,0.000000,2.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,471.89

21,05:00-05:15,0.000000,0.000000,0.000000,67.650000,52.570000,0.000000,0.480000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,115.970000,4.830000,9.660000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,0,0.000000,0.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,469.89

22,05:15-05:30,0.000000,0.000000,0.000000,67.650000,52.570000,0.000000,0.480000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,115.970000,4.830000,9.660000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,0,0.000000,0.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,469.89

23,05:30-05:45,0.000000,0.000000,0.000000,67.650000,52.570000,0.000000,0.480000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,115.970000,4.830000,9.660000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,0,0.000000,0.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,469.89

24,05:45-06:00,0.000000,0.000000,0.000000,67.650000,52.570000,0.000000,0.480000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,115.970000,4.830000,9.660000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,0,0.000000,0.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,469.89

25,06:00-06:15,0.000000,0.000000,0.000000,67.650000,52.570000,0.000000,0.480000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,115.970000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,0,0.000000,0.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,460.23

26,06:15-06:30,0.000000,0.000000,0.000000,67.650000,52.570000,0.000000,0.480000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,115.970000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,0,0.000000,0.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,460.23

27,06:30-06:45,0.000000,0.000000,0.000000,67.650000,52.570000,0.000000,0.480000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,115.970000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,0,0.000000,0.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,460.23

28,06:45-07:00,0.000000,0.000000,0.000000,67.650000,52.570000,0.000000,0.480000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,115.970000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,0,0.000000,0.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,460.23

29,07:00-07:15,0.000000,0.000000,0.000000,67.650000,52.570000,0.000000,0.630000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,115.970000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,0,0.000000,0.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,460.38

30,07:15-07:30,0.000000,0.000000,0.000000,67.650000,52.570000,0.000000,0.630000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,115.970000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,0,0.000000,0.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,460.38

31,07:30-07:45,0.000000,0.000000,0.000000,67.650000,52.570000,0.000000,0.630000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,115.970000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,0,0.000000,0.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,460.38

32,07:45:08:00,0.000000,0.000000,0.000000,67.650000,52.570000,0.000000,0.630000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,0.000000,115.970000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,0,0.000000,0.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,460.38

33,08:00-08:15,0.000000,0.000000,0.000000,67.650000,52.570000,72.480000,0.970000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,48.320000,0.000000,66.870000,0.000000,115.970000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,0,0.000000,0.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,581.52

34,08:15-08:30,0.000000,0.000000,0.000000,67.650000,52.570000,72.480000,0.970000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,48.320000,0.000000,66.870000,0.000000,115.970000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,0,0.000000,0.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,581.52

35,08:30-08:45,0.000000,0.000000,0.000000,67.650000,52.570000,72.480000,0.970000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,48.320000,0.000000,66.870000,0.000000,115.970000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,0,0.000000,0.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,581.52

36,08:45:09:00,0.000000,0.000000,0.000000,67.650000,52.570000,72.480000,0.970000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,48.320000,0.000000,66.870000,0.000000,115.970000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,0,0.000000,0.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,581.52

37,09:00:09:15,0.000000,0.000000,0.000000,67.650000,52.570000,72.480000,0.970000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,48.320000,0.000000,66.870000,0.000000,115.970000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,0,0.000000,0.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,581.52

38,09:15-09:30,0.000000,0.000000,0.000000,67.650000,52.570000,72.480000,0.970000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,48.320000,0.000000,66.870000,0.000000,115.970000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,0,0.000000,0.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,581.52

39,09:30-09:45,0.000000,0.000000,0.000000,67.650000,52.570000,72.480000,0.970000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,48.320000,0.000000,66.870000,0.000000,115.970000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,0,0.000000,0.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,581.52

40,09:45-10:00,0.000000,0.000000,0.000000,67.650000,52.570000,72.480000,0.970000,0.000000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,48.320000,0.000000,66.870000,0.000000,115.970000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,0,0.000000,0.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,581.52

41,10:00-10:15,0.000000,0.000000,0.000000,67.650000,52.570000,72.480000,0.970000,5.800000,0.000000,12.450000,4.830000,0.000000,3.870000,0.000000,48.320000,0.000000,66.870000,57.980000,115.970000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,48.320000,37.330000,46.390000,48.320000,0.000000,0.000000,0.000000,0.000000,1.930000,0,0,0.000000,0.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,803.79

42,10:15-10:30,0.000000,0.000000,0.000000,67.650000,52.570000,72.480000,0.970000,5.800000,0.000000,12.450000,4.830000,0.000000,3.870000,0.000000,48.320000,0.000000,66.870000,57.980000,115.970000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,48.320000,37.330000,46.390000,48.320000,0.000000,0.000000,0.000000,0.000000,1.930000,0,0,0.000000,0.000000,37.330000,62.820000,0.000000,0.000000,0.000000,0.000000,803.79

