Time,Block,NR/2023/12282/D,NR/2023/11642/A,NR/2023/11476/A,NR/2023/11962/F,NR/2023/11956/F,NR/2023/11330/A,NR/2023/12302/C,NR/2023/10611/A,NR/2023/11961/F,NR/2023/12283/D,NR/2023/11941/F,NR/2023/10613/A,NR/2023/10487/A,NR/2023/11963/F,NR/2023/12300/C,NR/2023/11955/F,NR/2023/10229/A,NR/2023/11959/F,NR/2023/10236/A,NR/2023/12303/C,NR/2023/11960/F,NR/2023/11957/F,NR/2023/10434/A,NR/2023/12290/D,NR/2023/12316/C,NR/2023/12284/D,NR/2023/11862/F,NR/2023/11643/A,NR/2023/10944/A,NR/2023/11342/A,NR/2023/11958/F,NR/2023/11947/F,NR/2023/10344/A,NR/2023/11952/F,Total
8,01:45-02:00,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.600000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,11.090000,66.870000,0.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,36.350000,833.48

9,02:00-02:15,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.510000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,11.090000,66.870000,0.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,36.350000,833.39

10,02:15-02:30,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.510000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,11.090000,66.870000,0.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,36.350000,833.39

11,02:30-02:45,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.510000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,11.090000,66.870000,0.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,36.350000,833.39

12,02:45-03:00,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.510000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,11.090000,66.870000,0.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,36.350000,833.39

13,03:00-03:15,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.420000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,11.090000,66.870000,10.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,0.000000,806.95

14,03:15-03:30,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.420000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,11.120000,66.870000,10.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,0.000000,806.98

15,03:30-03:45,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.420000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,13.000000,66.870000,10.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,0.000000,808.86

16,03:45-04:00,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.420000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,13.000000,66.870000,10.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,0.000000,808.86

17,04:00-04:15,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.320000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,13.000000,66.870000,10.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,0.000000,808.76

18,04:15-04:30,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.320000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,13.000000,66.870000,10.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,0.000000,808.76

19,04:30-04:45,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.320000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,13.000000,66.870000,10.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,0.000000,808.76

20,04:45-05:00,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.320000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,13.000000,66.870000,10.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,0.000000,808.76

21,05:00-05:15,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.240000,9.920000,0.690000,0,62.630000,0.000000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,13.000000,66.870000,0.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,0.000000,786.06

22,05:15-05:30,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.240000,9.920000,0.690000,0,62.630000,0.000000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,13.000000,66.870000,0.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,0.000000,786.06

23,05:30-05:45,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.240000,9.920000,0.690000,0,62.630000,0.000000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,13.000000,66.870000,0.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,0.000000,786.06

24,05:45-06:00,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.240000,9.920000,0.690000,0,62.630000,0.000000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,13.000000,66.870000,0.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,0.000000,786.06

25,06:00-06:15,0,14.450000,48.180000,0.410000,0.370000,0.000000,12.140000,9.920000,0.690000,0,62.630000,0.000000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,13.000000,66.870000,0.000000,0,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,708.88

26,06:15-06:30,0,14.450000,48.180000,0.410000,0.370000,0.000000,12.140000,9.920000,0.690000,0,62.630000,0.000000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,13.000000,66.870000,0.000000,0,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,708.88

27,06:30-06:45,0,14.450000,48.180000,0.410000,0.370000,0.000000,12.140000,9.920000,0.690000,0,62.630000,0.000000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,13.000000,66.870000,0.000000,0,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,708.88

28,06:45-07:00,0,14.450000,48.180000,0.410000,0.370000,0.000000,12.140000,9.920000,0.690000,1.5,62.630000,0.000000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,13.000000,66.870000,0.000000,3.5,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,713.88

29,07:00-07:15,0,14.450000,48.180000,0.410000,0.370000,0.000000,12.050000,9.920000,0.690000,8.1,62.630000,0.000000,41.430000,0.410000,26.500000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,13.000000,66.870000,0.000000,18.9,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,733.75

30,07:15-07:30,0.1,14.450000,48.180000,0.410000,0.370000,0.000000,12.050000,9.920000,0.690000,14.1,62.630000,0.000000,41.430000,0.410000,26.500000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,13.000000,66.870000,0.000000,32.9,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,753.85

31,07:30-07:45,0.42,14.450000,48.180000,0.410000,0.370000,0.000000,12.050000,9.920000,0.690000,18,62.630000,0.000000,41.430000,0.410000,26.500000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,13.000000,66.870000,0.000000,42,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,767.17

32,07:45:08:00,0.86,14.450000,48.180000,0.410000,0.370000,0.000000,12.050000,9.920000,0.690000,24,62.630000,0.000000,41.430000,0.410000,26.500000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,13.000000,66.870000,0.000000,56,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,787.61

33,08:00-08:15,1.17,14.450000,48.180000,0.410000,0.350000,0.000000,11.960000,9.920000,0.680000,32.7,62.630000,0.000000,41.430000,0.410000,26.500000,0.360000,42.740000,0.660000,213.720000,0.000000,0.660000,0.700000,13.000000,66.870000,0.000000,76.3,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,816.83

34,08:15-08:30,1.41,14.450000,48.180000,0.410000,0.350000,0.000000,11.960000,9.920000,0.680000,39,62.630000,0.000000,41.430000,0.410000,26.500000,0.360000,42.740000,0.660000,213.720000,0.000000,0.660000,0.700000,13.000000,66.870000,0.000000,91,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,838.07

35,08:30-08:45,1.84,14.450000,48.180000,0.410000,0.350000,0.000000,11.960000,9.920000,0.680000,42.6,62.630000,0.000000,41.430000,0.410000,26.500000,0.360000,42.740000,0.660000,213.720000,0.000000,0.660000,0.700000,13.000000,66.870000,0.000000,99.4,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,850.5

36,08:45:09:00,2.36,14.450000,48.180000,0.410000,0.350000,0.000000,11.960000,9.920000,0.680000,49.5,62.630000,0.000000,41.430000,0.410000,26.500000,0.360000,42.740000,0.660000,213.720000,0.000000,0.660000,0.700000,13.000000,66.870000,0.000000,115.5,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,874.02

37,09:00:09:15,3.67,14.450000,48.180000,0.410000,0.350000,0.000000,11.960000,9.920000,0.680000,54.3,62.630000,0.000000,41.430000,0.410000,27.520000,0.360000,42.740000,0.660000,213.720000,0.000000,0.660000,0.700000,13.000000,66.870000,10.000000,126.7,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,902.35

38,09:15-09:30,4.34,14.450000,48.180000,0.410000,0.350000,0.000000,11.960000,9.920000,0.680000,61.5,62.630000,0.000000,41.430000,0.410000,27.520000,0.360000,42.740000,0.660000,213.720000,0.000000,0.660000,0.700000,13.000000,66.870000,10.000000,143.5,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,927.02

39,09:30-09:45,4.44,14.450000,48.180000,0.410000,0.350000,0.000000,11.960000,9.920000,0.680000,66,62.630000,0.000000,41.430000,0.410000,27.520000,0.360000,42.740000,0.660000,213.720000,0.000000,0.660000,0.700000,13.000000,66.870000,10.000000,154,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,942.12

40,09:45-10:00,4.53,14.450000,48.180000,0.410000,0.350000,0.000000,11.960000,9.920000,0.680000,70.8,62.630000,0.000000,41.430000,0.410000,27.520000,0.360000,42.740000,0.660000,213.720000,0.000000,0.660000,0.700000,13.000000,66.870000,10.000000,165.2,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,958.21

41,10:00-10:15,4.73,14.450000,48.180000,0.410000,0.350000,0.000000,11.870000,9.920000,0.680000,73.8,62.630000,0.000000,41.430000,0.410000,27.520000,0.360000,42.740000,0.660000,213.720000,0.000000,0.660000,0.700000,13.130000,66.870000,10.000000,172.2,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,968.45

42,10:15-10:30,5.02,14.450000,48.180000,0.410000,0.350000,0.000000,11.870000,9.920000,0.680000,76.5,62.630000,0.000000,41.430000,0.410000,27.520000,0.360000,42.740000,0.660000,213.720000,0.000000,0.660000,0.700000,13.130000,66.870000,10.000000,178.5,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,977.74

43,10:30-10:45,5.21,14.450000,48.180000,0.410000,0.350000,0.000000,11.870000,9.920000,0.680000,77.4,62.630000,0.000000,41.430000,0.410000,27.520000,0.360000,42.740000,0.660000,213.720000,0.000000,0.660000,0.700000,13.130000,66.870000,10.000000,180.6,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,980.93

44,10:45-11:00,5.59,14.450000,48.180000,0.410000,0.350000,0.000000,11.870000,9.920000,0.680000,78,62.630000,0.000000,41.430000,0.410000,27.520000,0.360000,42.740000,0.660000,213.720000,0.000000,0.660000,0.700000,13.130000,66.870000,10.000000,182,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,983.31

45,11:00-11:15,5.79,14.450000,48.180000,0.410000,0.350000,0.000000,7.630000,9.920000,0.680000,78,62.630000,0.000000,41.430000,0.410000,27.520000,0.360000,42.740000,0.660000,213.720000,8.500000,0.660000,0.700000,13.130000,66.870000,10.000000,182,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,987.77

46,11:15-11:30,5.98,14.450000,48.180000,0.410000,0.350000,0.000000,7.630000,9.920000,0.680000,78.3,62.630000,0.000000,41.430000,0.410000,27.520000,0.360000,42.740000,0.660000,213.720000,8.500000,0.660000,0.700000,13.130000,66.870000,10.000000,182.7,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,988.96

47,11:30-11:45,6.37,14.450000,48.180000,0.410000,0.350000,0.000000,7.630000,9.920000,0.680000,79.2,62.630000,0.000000,41.430000,0.410000,27.520000,0.360000,42.740000,0.660000,213.720000,8.500000,0.660000,0.700000,13.130000,66.870000,10.000000,184.8,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,992.35

48,11:45-12:00,6.75,14.450000,48.180000,0.410000,0.350000,0.000000,7.630000,9.920000,0.680000,79.2,62.630000,0.000000,41.430000,0.410000,27.520000,0.360000,42.740000,0.660000,213.720000,8.500000,0.660000,0.700000,13.130000,66.870000,10.000000,184.8,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,992.73

49,12:00-12:15,7.23,14.450000,48.180000,0.410000,0.350000,0.000000,7.540000,9.920000,0.680000,79.5,62.630000,0.000000,41.430000,0.410000,27.520000,0.360000,42.740000,0.660000,213.720000,8.500000,0.660000,0.700000,13.130000,66.870000,10.000000,185.5,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,994.12

50,12:15-12:30,7.72,14.450000,48.180000,0.410000,0.350000,0.000000,7.540000,9.920000,0.680000,79.5,62.630000,0.000000,41.430000,0.410000,27.520000,0.360000,42.740000,0.660000,213.720000,8.500000,0.660000,0.700000,13.130000,66.870000,10.000000,185.5,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,994.61

51,12:30-12:45,8.2,14.450000,48.180000,0.410000,0.350000,0.000000,7.540000,9.920000,0.680000,79.5,62.630000,0.000000,41.430000,0.410000,27.520000,0.360000,42.740000,0.660000,213.720000,8.500000,0.660000,0.700000,13.130000,66.870000,10.000000,185.5,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,995.09

52,12:45-13:00,8.68,14.450000,48.180000,0.410000,0.350000,0.000000,7.540000,9.920000,0.680000,79.5,62.630000,0.000000,41.430000,0.410000,27.520000,0.360000,42.740000,0.660000,213.720000,8.500000,0.660000,0.700000,13.130000,66.870000,10.000000,185.5,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,995.57

53,13:00-13:15,9.45,14.450000,48.180000,0.410000,0.350000,0.000000,7.450000,9.920000,0.680000,79.2,62.630000,0.000000,41.430000,0.410000,27.520000,0.360000,42.740000,0.660000,213.720000,8.500000,0.660000,0.700000,13.130000,66.870000,10.000000,184.8,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,995.25

54,13:15-13:30,9.16,14.450000,48.180000,0.410000,0.350000,0.000000,7.450000,9.920000,0.680000,79.2,62.630000,0.000000,41.430000,0.410000,27.520000,0.360000,42.740000,0.660000,213.720000,8.500000,0.660000,0.700000,13.130000,66.870000,10.000000,184.8,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,994.96

55,13:30-13:45,8.68,14.450000,48.180000,0.410000,0.350000,0.000000,7.450000,9.920000,0.680000,79.2,62.630000,0.000000,41.430000,0.410000,27.520000,0.360000,42.740000,0.660000,213.720000,8.500000,0.660000,0.700000,13.130000,66.870000,10.000000,184.8,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,994.48

56,13:45-14:00,8.2,14.450000,48.180000,0.410000,0.350000,0.000000,7.450000,9.920000,0.680000,79.2,62.630000,0.000000,41.430000,0.410000,27.520000,0.360000,42.740000,0.660000,213.720000,8.500000,0.660000,0.700000,13.130000,66.870000,10.000000,184.8,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,994

57,14:00-14:15,7.23,14.450000,48.180000,0.410000,0.350000,0.000000,7.450000,9.920000,0.680000,78.6,62.630000,0.000000,41.430000,0.410000,27.520000,0.360000,42.740000,0.660000,213.720000,8.500000,0.660000,0.700000,13.130000,66.870000,10.000000,183.4,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,991.03

58,14:15-14:30,6.75,14.450000,48.180000,0.410000,0.350000,0.000000,7.450000,9.920000,0.680000,78,62.630000,0.000000,41.430000,0.410000,27.520000,0.360000,42.740000,0.660000,213.720000,8.500000,0.660000,0.700000,13.130000,66.870000,10.000000,182,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,988.55

59,14:30-14:45,5.79,14.450000,48.180000,0.410000,0.350000,0.000000,7.450000,9.920000,0.680000,78,62.630000,0.000000,41.430000,0.410000,27.520000,0.360000,42.740000,0.660000,213.720000,8.500000,0.660000,0.700000,13.130000,66.870000,10.000000,182,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,987.59

60,14:45-15:00,5.59,14.450000,48.180000,0.410000,0.350000,0.000000,7.450000,9.920000,0.680000,75.6,62.630000,0.000000,41.430000,0.410000,27.520000,0.360000,42.740000,0.660000,213.720000,8.500000,0.660000,0.700000,13.130000,66.870000,10.000000,176.4,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,979.39

61,15:00-15:15,4.68,14.450000,48.180000,0.410000,0.350000,0.000000,11.770000,9.920000,0.680000,69,62.630000,0.000000,41.430000,0.410000,29.550000,0.360000,42.740000,0.660000,213.720000,8.500000,0.660000,0.700000,13.000000,66.870000,10.000000,161,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,962.7

62,15:15-15:30,4.34,14.450000,48.180000,0.410000,0.350000,0.000000,11.770000,9.920000,0.680000,65.4,62.630000,0.000000,41.430000,0.410000,29.550000,0.360000,42.740000,0.660000,213.720000,8.500000,0.660000,0.700000,13.000000,66.870000,10.000000,152.6,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,950.36

63,15:30-15:45,4.2,14.450000,48.180000,0.410000,0.350000,0.000000,11.770000,9.920000,0.680000,61.5,62.630000,0.000000,41.430000,0.410000,29.550000,0.360000,42.740000,0.660000,213.720000,8.500000,0.660000,0.700000,13.000000,66.870000,10.000000,143.5,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,937.22

64,15:45-16:00,3.86,14.450000,48.180000,0.410000,0.350000,0.000000,11.770000,9.920000,0.680000,57,62.630000,0.000000,41.430000,0.410000,29.550000,0.360000,42.740000,0.660000,213.720000,8.500000,0.660000,0.700000,13.000000,66.870000,10.000000,133,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,921.88

65,16:00-16:15,3.84,14.450000,48.180000,0.410000,0.350000,0.000000,11.770000,9.920000,0.680000,51,62.630000,0.000000,41.430000,0.410000,29.550000,0.360000,42.740000,0.660000,213.720000,8.500000,0.660000,0.700000,13.000000,66.870000,10.000000,119,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,901.86

66,16:15-16:30,3.38,14.450000,48.180000,0.410000,0.350000,0.000000,11.770000,9.920000,0.680000,46.8,62.630000,0.000000,41.430000,0.410000,29.550000,0.360000,42.740000,0.660000,213.720000,8.500000,0.660000,0.700000,13.000000,66.870000,10.000000,109.2,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,887.4

