Time,Block,NR/2023/12916/F,NR/2023/12923/F,NR/2023/11496/A,NR/2023/10956/A,NR/2023/10720/A,NR/2023/12814/F,NR/2023/13261/C,NR/2023/11447/A,NR/2023/10460/A,NR/2023/12919/F,NR/2023/11507/A,NR/2023/10947/A,SR/2023/5976/C,NR/2023/12872/F,NR/2023/12917/F,NR/2023/11266/A,NR/2023/12813/F,NR/2023/12169/A,SR/2023/5974/C,NR/2023/13263/C,NR/2023/12661/A,NR/2023/13256/C,NR/2023/13145/F,NR/2023/13258/C,NR/2023/12920/F,NR/2023/12921/F,NR/2023/10651/A,NR/2023/11953/A,NR/2023/11712/A,NR/2023/12956/F,NR/2023/10959/A,NR/2023/10786/A,NR/2023/12706/A,NR/2023/10561/A,NR/2023/13244/D,NR/2023/12915/F,NR/2023/10436/A,NR/2023/12924/F,NR/2023/11709/A,NR/2023/12922/F,NR/2023/13248/D,NR/2023/13249/D,ER/2023/8139/C,NR/2023/13241/D,Total

3,00:30-00:45,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,16.160000,12.710000,23.210000,0.820000,255.260000,27.860000,0.00,0.480000,0.920000,17.200000,62.870000,65.000000,0.00,0.000000,0.000000,30.570000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,98.650000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,23.150000,1.020000,0,0,0.000000,0,1116.62

4,00:45-01:00,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,16.160000,12.710000,23.210000,0.820000,255.260000,27.860000,0.00,0.480000,0.920000,17.200000,62.870000,65.000000,0.00,0.000000,0.000000,30.570000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,98.650000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,23.150000,1.020000,0,0,0.000000,0,1116.62

5,01:00-01:15,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,16.160000,12.710000,23.210000,0.820000,255.260000,27.860000,50.00,0.530000,0.920000,27.520000,62.870000,65.000000,0.00,0.000000,0.000000,30.570000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,98.650000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,23.150000,1.020000,0,0,0.000000,0,1176.99

6,01:15-01:30,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,16.160000,12.710000,23.210000,0.820000,255.260000,27.860000,50.00,0.530000,0.920000,27.520000,62.870000,65.000000,0.00,0.000000,0.000000,30.570000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,98.650000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,23.150000,1.020000,0,0,0.000000,0,1176.99

7,01:30-01:45,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,16.160000,12.710000,23.210000,0.820000,255.260000,27.860000,50.00,0.530000,0.920000,27.520000,62.870000,65.000000,0.00,0.000000,0.000000,30.570000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,98.650000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,23.150000,1.020000,0,0,0.000000,0,1176.99

8,01:45-02:00,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,16.160000,12.710000,23.210000,0.820000,255.260000,27.860000,50.00,0.530000,0.920000,27.520000,62.870000,65.000000,0.00,0.000000,0.000000,30.570000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,98.650000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,23.150000,1.020000,0,0,0.000000,0,1176.99

9,02:00-02:15,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,16.070000,12.710000,23.210000,0.820000,255.260000,27.860000,0.00,0.480000,0.920000,37.840000,62.870000,65.000000,0.00,0.000000,0.000000,30.570000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,98.650000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,23.150000,1.020000,0,0,0.000000,0,1137.17

10,02:15-02:30,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,16.070000,12.710000,23.210000,0.820000,255.260000,27.860000,0.00,0.480000,0.920000,37.840000,62.870000,65.000000,0.00,0.000000,0.000000,30.570000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,98.650000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,23.150000,1.020000,0,0,0.000000,0,1137.17

11,02:30-02:45,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,16.070000,12.710000,23.210000,0.820000,255.260000,27.860000,0.00,0.480000,0.920000,37.840000,62.870000,65.000000,0.00,0.000000,0.000000,30.570000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,98.650000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,23.150000,1.020000,0,0,0.000000,0,1137.17

12,02:45-03:00,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,16.070000,12.710000,23.210000,0.820000,255.260000,27.860000,0.00,0.480000,0.920000,37.840000,62.870000,65.000000,0.00,0.000000,0.000000,30.570000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,98.650000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,23.150000,1.020000,0,0,0.000000,0,1137.17

13,03:00-03:15,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.980000,12.710000,23.210000,0.820000,255.260000,27.860000,100.00,0.440000,0.920000,37.840000,62.870000,65.000000,0.00,0.000000,0.000000,29.560000,0.000000,0.000000,0.930000,0.930000,63.110000,0.000000,64.320000,4.840000,21.270000,98.650000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,0,0,0.000000,0,1176.39

14,03:15-03:30,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.980000,12.710000,23.210000,0.820000,255.260000,27.860000,100.00,0.440000,0.920000,37.840000,62.870000,65.000000,0.00,0.000000,0.000000,29.560000,0.000000,0.000000,0.930000,0.930000,63.110000,0.000000,64.320000,4.840000,21.270000,98.650000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,0,0,0.000000,0,1176.39

15,03:30-03:45,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.980000,12.710000,23.210000,0.820000,255.260000,27.860000,100.00,0.440000,0.920000,37.840000,62.870000,65.000000,0.00,0.000000,0.000000,29.560000,0.000000,0.000000,0.930000,0.930000,63.110000,0.000000,64.320000,4.840000,21.270000,98.650000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,0,0,0.000000,0,1176.39

16,03:45-04:00,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.980000,12.710000,23.210000,0.820000,255.260000,27.860000,100.00,0.440000,0.920000,37.840000,62.870000,65.000000,0.00,0.000000,0.000000,29.560000,0.000000,0.000000,0.930000,0.930000,63.110000,0.000000,64.320000,4.840000,21.270000,98.650000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,0,0,0.000000,0,1176.39

17,04:00-04:15,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.880000,12.710000,23.210000,0.820000,255.260000,27.860000,100.00,0.440000,0.920000,37.840000,62.870000,65.000000,0.00,0.000000,0.000000,29.560000,0.000000,0.000000,0.930000,0.930000,63.110000,0.000000,64.320000,4.840000,21.270000,98.650000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,0,0,0.000000,0,1176.29

18,04:15-04:30,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.880000,12.710000,23.210000,0.820000,255.260000,27.860000,100.00,0.440000,0.920000,37.840000,62.870000,65.000000,0.00,0.000000,0.000000,29.560000,0.000000,0.000000,0.930000,0.930000,63.110000,0.000000,64.320000,4.840000,21.270000,98.650000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,0,0,0.000000,0,1176.29

19,04:30-04:45,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.880000,12.710000,23.210000,0.820000,255.260000,27.860000,100.00,0.440000,0.920000,37.840000,62.870000,65.000000,0.00,0.000000,0.000000,29.560000,0.000000,0.000000,0.930000,0.930000,63.110000,0.000000,64.320000,4.840000,21.270000,98.650000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,0,0,0.000000,0,1176.29

20,04:45-05:00,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.880000,12.710000,23.210000,0.820000,255.260000,27.860000,100.00,0.440000,0.920000,37.840000,62.870000,65.000000,0.00,0.000000,0.000000,29.560000,0.000000,0.000000,0.930000,0.930000,63.110000,0.000000,64.320000,4.840000,21.270000,98.650000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,0,0,0.000000,0,1176.29

21,05:00-05:15,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.780000,12.710000,23.210000,0.820000,255.260000,27.860000,100.00,0.480000,0.920000,37.840000,62.870000,65.000000,0.00,0.000000,0.000000,29.560000,0.000000,0.000000,0.930000,0.930000,63.110000,0.000000,64.320000,4.840000,21.270000,0.000000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,0,0,0.000000,0,1077.58

22,05:15-05:30,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.780000,12.710000,23.210000,0.820000,255.260000,27.860000,100.00,0.480000,0.920000,37.840000,62.870000,65.000000,0.00,0.000000,0.000000,29.560000,0.000000,0.000000,0.930000,0.930000,63.110000,0.000000,64.320000,4.840000,21.270000,0.000000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,0,0,0.000000,0,1077.58

23,05:30-05:45,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.780000,12.710000,23.210000,0.820000,255.260000,27.860000,100.00,0.480000,0.920000,37.840000,62.870000,65.000000,0.00,0.000000,0.000000,29.560000,0.000000,0.000000,0.930000,0.930000,63.110000,0.000000,64.320000,4.840000,21.270000,0.000000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,0,0,0.000000,0,1077.58

24,05:45-06:00,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.780000,12.710000,23.210000,0.820000,255.260000,27.860000,100.00,0.480000,0.920000,37.840000,62.870000,65.000000,0.00,0.000000,0.000000,29.560000,0.000000,0.000000,0.930000,0.930000,63.110000,0.000000,64.320000,4.840000,21.270000,0.000000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,0,0,0.000000,0,1077.58

25,06:00-06:15,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.700000,12.710000,23.210000,0.820000,255.260000,0.000000,100.00,0.530000,0.920000,37.840000,62.870000,0.000000,0.00,0.000000,0.000000,29.560000,0.000000,0.000000,0.930000,0.930000,63.110000,0.000000,64.320000,4.840000,21.270000,0.000000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,0,0.13,0.000000,0,984.82

26,06:15-06:30,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.700000,12.710000,23.210000,0.820000,255.260000,0.000000,100.00,0.530000,0.920000,37.840000,62.870000,0.000000,0.00,0.000000,0.000000,29.560000,0.000000,0.000000,0.930000,0.930000,63.110000,0.000000,64.320000,4.840000,21.270000,0.000000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,0.62,1.44,0.000000,0,986.75

27,06:30-06:45,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.700000,12.710000,23.210000,0.820000,255.260000,0.000000,100.00,0.530000,0.920000,37.840000,62.870000,0.000000,0.00,0.000000,0.000000,29.560000,0.000000,0.000000,0.930000,0.930000,63.110000,0.000000,64.320000,4.840000,21.270000,0.000000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,1.96,4.58,0.000000,0,991.23

28,06:45-07:00,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.700000,12.710000,23.210000,0.820000,255.260000,0.000000,100.00,0.530000,0.920000,37.840000,62.870000,0.000000,0.00,0.000000,0.000000,29.560000,0.000000,0.000000,0.930000,0.930000,63.110000,0.000000,64.320000,4.840000,21.270000,0.000000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,3.79,8.85,0.000000,0.12,997.45

29,07:00-07:15,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.510000,12.710000,23.210000,0.820000,255.260000,0.000000,0.00,0.680000,0.920000,37.840000,62.870000,0.000000,0.00,0.000000,0.000000,27.520000,0.000000,0.000000,0.930000,0.930000,63.110000,0.000000,64.320000,4.840000,21.270000,0.000000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,5.98,13.93,80.000000,0.48,983

30,07:15-07:30,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.510000,12.710000,23.210000,0.820000,255.260000,0.000000,0.00,0.680000,0.920000,37.840000,62.870000,0.000000,0.00,0.000000,0.000000,27.520000,0.000000,0.000000,0.930000,0.930000,63.110000,0.000000,64.320000,4.840000,21.270000,0.000000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,7.5,17.5,80.000000,0.71,988.32

31,07:30-07:45,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.510000,12.710000,23.210000,0.820000,255.260000,0.000000,0.00,0.680000,0.920000,37.840000,62.870000,0.000000,0.00,0.000000,0.000000,27.520000,0.000000,0.000000,0.930000,0.930000,63.110000,0.000000,64.320000,4.840000,21.270000,0.000000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,9.9,23.1,80.000000,1.23,996.84

32,07:45:08:00,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.510000,12.710000,23.210000,0.820000,255.260000,0.000000,0.00,0.680000,0.920000,37.840000,62.870000,0.000000,0.00,0.000000,0.000000,27.520000,0.000000,0.000000,0.930000,0.930000,63.110000,0.000000,64.320000,4.840000,21.270000,0.000000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,12,28,80.000000,2.42,1005.03

33,08:00-08:15,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.420000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,37.840000,62.870000,0.000000,0.00,0.000000,0.000000,27.520000,0.000000,0.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,0.000000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,15.9,37.1,130.000000,2.9,1068.96

34,08:15-08:30,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.420000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,37.840000,62.870000,0.000000,0.00,0.000000,0.000000,27.520000,0.000000,0.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,0.000000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,19.2,44.8,130.000000,3.68,1080.74

35,08:30-08:45,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.420000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,37.840000,62.870000,0.000000,0.00,0.000000,0.000000,27.520000,0.000000,0.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,0.000000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,21.6,50.4,130.000000,3.87,1088.93

36,08:45:09:00,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.420000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,37.840000,62.870000,0.000000,0.00,0.000000,0.000000,27.520000,0.000000,0.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,0.000000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,23.4,54.6,130.000000,4.35,1095.41

37,09:00:09:15,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.330000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,37.840000,62.870000,0.000000,0.00,0.000000,0.000000,28.530000,24.180000,0.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,0.000000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,26.1,60.9,130.000000,4.35,1129.51

38,09:15-09:30,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.330000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,37.840000,62.870000,0.000000,0.00,0.000000,0.000000,28.530000,24.180000,0.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,0.000000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,28.5,66.5,130.000000,5.22,1138.38

39,09:30-09:45,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.330000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,37.840000,62.870000,0.000000,0.00,0.000000,0.000000,28.530000,24.180000,0.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,0.000000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,31.8,74.2,130.000000,5.13,1149.29

40,09:45-10:00,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.330000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,25.800000,62.870000,0.000000,0.00,0.000000,0.000000,28.530000,24.180000,0.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,0.000000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,0.000000,1.020000,34.8,81.2,130.000000,5.22,1147.34

41,10:00-10:15,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.150000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,0.000000,62.870000,0.000000,0.00,0.000000,0.000000,28.530000,24.180000,0.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,90.920000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,0.000000,1.020000,36.6,85.4,130.000000,5.22,1242.08

42,10:15-10:30,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.150000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,0.000000,62.870000,0.000000,0.00,0.000000,0.000000,28.530000,24.180000,0.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,90.920000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,0.000000,1.020000,39,91,130.000000,5.22,1250.08

43,10:30-10:45,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.150000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,0.000000,62.870000,0.000000,0.00,0.000000,0.000000,28.530000,24.180000,0.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,90.920000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,0.000000,1.020000,41.1,95.9,130.000000,5.22,1257.08

44,10:45-11:00,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.150000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,0.000000,62.870000,0.000000,0.00,0.000000,0.000000,28.530000,24.180000,0.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,90.920000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,0.000000,1.020000,42.99,100.31,130.000000,5.22,1263.38

45,11:00-11:15,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.960000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,0.000000,62.870000,0.000000,0.00,10.000000,0.000000,28.530000,24.180000,30.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,90.920000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,0.000000,1.020000,44.1,102.9,130.000000,5.42,1307.09

46,11:15-11:30,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.960000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,0.000000,62.870000,0.000000,0.00,10.000000,0.000000,28.530000,24.180000,30.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,90.920000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,0.000000,1.020000,44.1,102.9,130.000000,6.09,1307.76

47,11:30-11:45,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.960000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,0.000000,62.870000,0.000000,0.00,10.000000,0.000000,28.530000,24.180000,30.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,90.920000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,0.000000,1.020000,44.1,102.9,130.000000,6.09,1307.76

48,11:45-12:00,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.960000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,0.000000,62.870000,0.000000,0.00,10.000000,0.000000,28.530000,24.180000,30.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,90.920000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,0.000000,1.020000,44.1,102.9,130.000000,6.96,1308.63

49,12:00-12:15,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.870000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,0.000000,62.870000,0.000000,0.00,10.000000,0.000000,28.530000,24.180000,30.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,90.920000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,0.000000,1.020000,44.1,102.9,130.000000,7.83,1309.41

