Time,Block,WR/2023/17681/A,NR/2023/17344/F,NR/2023/17824/C,NR/2023/17263/F,NR/2023/17827/C,NR/2023/17404/F,NR/2023/17165/A,NR/2023/17402/F,NR/2023/14875/A,WR/2023/17681/A/II,WR/2023/19090/A,NR/2023/17496/F,Total
42,10:15-10:30,0.000000,0.970000,3.38,0.000000,4.790000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,401.02

43,10:30-10:45,0.000000,0.970000,3.53,0.000000,4.790000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,401.17

44,10:45-11:00,0.000000,0.970000,3.67,0.000000,4.790000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,401.31

45,11:00-11:15,0.000000,0.970000,3.82,0.000000,4.710000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,401.38

46,11:15-11:30,0.000000,0.970000,3.87,0.000000,4.710000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,401.43

47,11:30-11:45,0.000000,0.970000,4.06,0.000000,4.710000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,401.62

48,11:45-12:00,0.000000,0.970000,4.64,0.000000,4.710000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,402.2

49,12:00-12:15,0.000000,0.970000,4.83,0.000000,4.710000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,402.39

50,12:15-12:30,0.000000,0.970000,5.32,0.000000,4.710000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,402.88

51,12:30-12:45,0.000000,0.970000,5.61,0.000000,4.710000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,403.17

52,12:45-13:00,0.000000,0.970000,6.28,0.000000,4.710000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,403.84

53,13:00-13:15,0.000000,0.970000,6.77,0.000000,4.710000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,404.33

54,13:15-13:30,0.000000,0.970000,7.35,0.000000,4.710000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,404.91

55,13:30-13:45,0.000000,0.970000,7.83,0.000000,4.710000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,405.39

56,13:45-14:00,0.000000,0.970000,8.22,0.000000,4.710000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,405.78

57,14:00-14:15,0.000000,0.970000,8.02,0.000000,4.710000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,405.58

58,14:15-14:30,0.000000,0.970000,7.73,0.000000,4.710000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,405.29

59,14:30-14:45,0.000000,0.970000,7.54,0.000000,4.710000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,405.1

60,14:45-15:00,0.000000,0.970000,7.25,0.000000,4.710000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,404.81

61,15:00-15:15,0.000000,0.970000,6.28,0.000000,4.790000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,403.92

62,15:15-15:30,0.000000,0.970000,5.32,0.000000,4.790000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,402.96

63,15:30-15:45,0.000000,0.970000,4.83,0.000000,4.790000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,402.47

64,15:45-16:00,0.000000,0.970000,4.35,0.000000,4.790000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,401.99

65,16:00-16:15,0.000000,0.870000,3.87,0.000000,4.790000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,401.41

66,16:15-16:30,0.000000,0.870000,3.38,0.000000,4.790000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,400.92

67,16:30-16:45,0.000000,0.870000,2.9,0.000000,4.790000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,400.44

68,16:45-17:00,0.000000,0.870000,2.41,0.000000,4.790000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,399.95

69,17:00-17:15,0.000000,0.770000,2.13,0.000000,4.890000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,399.67

70,17:15-17:30,0.000000,0.770000,1.45,0.000000,4.890000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,398.99

71,17:30-17:45,0.000000,0.770000,0.97,0.000000,4.890000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,398.51

72,17:45-18:00,0.000000,0.770000,0.77,0.000000,4.890000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,398.31

73,18:00-18:15,100.000000,0.720000,0.19,0.000000,4.990000,20.400000,62.820000,0.000000,0.000000,0.000000,100.000000,6.770000,295.89

74,18:15-18:30,100.000000,0.720000,0,0.000000,4.990000,20.400000,62.820000,0.000000,0.000000,0.000000,100.000000,6.770000,295.7

75,18:30-18:45,100.000000,0.720000,0,0.000000,4.990000,20.400000,62.820000,0.000000,0.000000,0.000000,100.000000,6.770000,295.7

76,18:45-19:00,100.000000,0.720000,0,0.000000,4.990000,20.400000,62.820000,0.000000,0.000000,0.000000,100.000000,6.770000,295.7

77,19:00-19:15,100.000000,0.720000,0,0.000000,5.070000,20.400000,62.820000,0.000000,0.000000,0.000000,100.000000,6.770000,295.78

78,19:15-19:30,100.000000,0.720000,0,0.000000,5.070000,20.400000,62.820000,0.000000,0.000000,0.000000,100.000000,6.770000,295.78

79,19:30-19:45,100.000000,0.720000,0,0.000000,5.070000,20.400000,62.820000,0.000000,0.000000,0.000000,100.000000,6.770000,295.78

80,19:45-20:00,100.000000,0.720000,0,0.000000,5.070000,20.400000,62.820000,0.000000,0.000000,0.000000,100.000000,6.770000,295.78

81,20:00-20:15,100.000000,0.720000,0,0.000000,5.170000,20.400000,62.820000,0.000000,0.000000,0.000000,100.000000,6.770000,295.88

82,20:15-20:30,100.000000,0.720000,0,0.000000,5.170000,20.400000,62.820000,0.000000,0.000000,0.000000,100.000000,6.770000,295.88

83,20:30-20:45,100.000000,0.720000,0,0.000000,5.170000,20.400000,62.820000,0.000000,0.000000,0.000000,100.000000,6.770000,295.88

84,20:45-21:00,100.000000,0.720000,0,0.000000,5.170000,20.400000,62.820000,0.000000,0.000000,0.000000,100.000000,6.770000,295.88

85,21:00-21:15,100.000000,0.720000,0,0.000000,5.070000,20.400000,62.820000,0.000000,0.000000,0.000000,100.000000,6.770000,295.78

86,21:15-21:30,100.000000,0.720000,0,0.000000,5.070000,20.400000,62.820000,0.000000,0.000000,0.000000,100.000000,6.770000,295.78

87,21:30-21:45,100.000000,0.720000,0,0.000000,5.070000,20.400000,62.820000,0.000000,0.000000,0.000000,100.000000,6.770000,295.78

88,21:45-22:00,100.000000,0.720000,0,0.000000,5.070000,20.400000,62.820000,0.000000,0.000000,0.000000,100.000000,6.770000,295.78

89,22:00-22:15,100.000000,0.680000,0,99.420000,4.990000,20.400000,62.820000,0.000000,42.710000,0.000000,100.000000,6.770000,437.79

90,22:15-22:30,100.000000,0.680000,0,99.420000,4.990000,20.400000,62.820000,0.000000,42.710000,0.000000,100.000000,6.770000,437.79

91,22:30-22:45,100.000000,0.680000,0,99.420000,4.990000,20.400000,62.820000,0.000000,42.710000,0.000000,100.000000,6.770000,437.79

92,22:45-23:00,100.000000,0.680000,0,99.420000,4.990000,20.400000,62.820000,0.000000,42.710000,0.000000,100.000000,6.770000,437.79

93,23:00-23:15,100.000000,0.630000,0,99.420000,4.890000,20.400000,62.820000,0.000000,42.710000,0.000000,100.000000,6.770000,437.64

94,23:15-23:30,100.000000,0.630000,0,99.420000,4.890000,20.400000,62.820000,0.000000,42.710000,0.000000,100.000000,6.770000,437.64

95,23:30-23:45,100.000000,0.630000,0,99.420000,4.890000,20.400000,62.820000,0.000000,42.710000,0.000000,100.000000,6.770000,437.64

96,23:45-24:00,100.000000,0.630000,0,99.420000,4.890000,20.400000,62.820000,0.000000,42.710000,0.000000,100.000000,6.770000,437.64

