Column1,Time,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,GNARE/SR/2025/01/13/4532,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/07/01/2236,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/2786,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,GNA/NR/2025/06/07/5932,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/8128,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/3109,NR/01102023/19072037/LT-05,GNA/NR/2025/07/01/8154,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/07/01/1192,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/07/01/1044,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/01/2952,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/07/01/2997,WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06)
6,01:15-01:30,23,14.74,15,40.22,23,0,0,0,0,0,0,0,10.73,0,81.75,26.94,0,134.89,43.71,133.46,0,-0,100.2,224.82,6.33,26.94,19.24,64.15,20.75,130.13,49.05,25.74,3.24,86.75,8.51,17.4,10.53,5.6,15.24,45,0,0,0,0,0,15,0

7,01:30-01:45,23,14.5,14.67,42.21,23,0,0,0,0,0,0,0,10.73,0,81.75,26.94,0,134.89,43.71,133.46,0,-0,100.2,224.82,6.33,26.94,19.24,64.15,20.75,102.39,49.05,25.74,3.24,66.87,8.51,17.4,10.53,5.6,15.24,43.99,0,0,0,0,0,14.67,0

8,01:45-02:00,23.34,14.26,14.67,41.41,23.33,0,0,0,0,0,0,0,10.73,0,81.75,26.94,0,134.89,43.71,133.46,0,-0,100.2,224.82,6.33,26.94,19.24,64.15,20.75,102.39,49.05,25.74,3.24,66.87,8.51,17.4,10.53,5.6,15.24,43.99,0,0,0,0,0,14.67,0

9,02:00-02:15,23,14.14,16.83,43.02,23,0,0,0,0,0,0,0,10.73,0,81.75,26.94,0,134.89,43.71,133.46,0,-0,100.2,224.82,4.92,26.94,19.24,64.15,20.75,72.46,49.05,25.74,3.24,48.97,6.53,17.22,10.53,5.32,15.24,50.51,0,0,0,0,0,16.83,0

10,02:15-02:30,23,14.08,17.17,43.02,23,0,0,0,0,0,0,0,10.73,0,81.75,26.94,0,134.89,43.71,133.46,0,-0,100.2,224.82,4.92,26.94,19.24,64.15,20.75,72.46,49.05,25.74,3.24,48.97,6.53,17.22,10.53,5.32,15.24,51.49,0,0,0,0,0,17.17,0

11,02:30-02:45,23.34,14.05,17,38.42,23.33,0,0,0,0,0,0,0,10.73,0,81.75,26.94,0,134.89,43.71,133.46,0,-0,100.2,224.82,4.92,26.94,19.24,64.15,20.75,72.46,49.05,25.74,3.24,48.97,6.53,17.22,10.53,5.32,15.24,51,0,0,0,0,0,17,0

12,02:45-03:00,23,14.03,16.17,37.82,23,0,0,0,0,0,0,0,10.73,0,81.75,26.94,0,134.89,43.71,133.46,0,-0,100.2,224.82,4.92,26.94,19.24,64.15,20.75,72.46,49.05,25.74,3.24,48.97,6.53,17.22,10.53,5.32,15.24,48.49,0,0,0,0,0,16.17,0

13,03:00-03:15,23,13.65,14.83,27.01,23,0,0,0,0,0,0,0,10.73,0,81.75,26.94,0,134.89,43.71,113.49,0,-0,100.2,224.82,6.33,26.94,19.24,64.15,20.75,101.32,0,25.74,3.23,48.97,6.67,12.71,10.53,5.13,15.24,44.51,0,0,0,0,0,14.83,0

14,03:15-03:30,23.34,13.22,13.67,25.21,23.33,0,0,0,0,0,0,0,10.73,0,81.75,26.94,0,134.89,43.71,94.26,0,-0,100.2,224.82,6.33,26.94,19.24,64.15,20.75,101.32,0,25.74,3.23,48.97,6.67,12.71,10.53,5.13,15.24,40.99,0,0,0,0,0,13.67,0

15,03:30-03:45,23,12.74,10.83,20.21,23,0,0,0,0,0,0,0,10.73,0,81.75,26.94,0,134.89,43.71,74.79,0,-0,100.2,224.82,6.33,26.94,19.24,64.15,20.75,101.32,0,26.25,3.24,66.87,6.67,12.71,10.53,5.13,15.24,32.51,0,0,0,0,0,10.83,0

16,03:45-04:00,23,12.24,10.8,18.41,23,0,0,0,0,0,0,0,10.73,0,81.75,26.94,0,134.89,43.71,74.79,0,-0,100.2,224.82,6.33,26.94,19.24,64.15,20.75,101.32,0,26.25,3.24,66.87,6.67,12.71,10.53,5.13,15.24,32.4,0,0,0,0,0,10.8,0

17,04:00-04:15,23,12.08,11.4,15.61,23,0,0,0,0,0,0,0,10.73,0,81.75,26.94,0,134.89,43.71,96.18,0,-0,100.2,224.82,6.33,26.94,19.24,70.13,20.75,101.32,0,26.25,3.24,66.87,6.67,12.71,10.53,4.94,15.24,34.2,0,0,0,0,0,11.4,0

18,04:15-04:30,23,12.04,11.4,15.81,23,0,0,0,0,0,0,0,10.73,0,81.75,26.94,0,134.89,43.71,115.42,0,-0,100.2,224.82,4.92,26.94,19.24,70.13,20.75,101.32,0,26.25,3.24,66.87,6.67,12.71,10.53,4.94,15.24,34.2,0,0,0,0,0,11.4,0

19,04:30-04:45,23.34,12.04,11.4,15.41,23.33,0,0,0,0,0,0,0,10.73,0,81.75,26.94,0,134.89,43.71,132.73,0,-0,100.2,224.82,6.33,26.94,19.24,70.13,20.75,101.32,0,26.25,3.24,66.87,6.67,12.71,10.53,4.94,15.24,34.2,0,0,0,0,0,11.4,0

20,04:45-05:00,23,12.06,11.55,15.21,23,0,0,0,0,0,0,0,10.73,0,81.75,26.94,0,134.89,43.71,132.73,0,-0,100.2,224.82,6.33,26.94,19.24,70.13,20.75,101.32,0,26.25,3.24,66.87,6.67,12.71,10.53,4.94,15.24,34.65,0,0,0,0,0,11.55,0

21,05:00-05:15,22.66,11.76,10.95,14.81,22.67,0,0,0,0,0,0,0,10.73,0,81.75,26.94,0,134.89,43.71,113.49,0,-0,100.2,224.82,6.33,26.94,19.24,70.13,20.75,72.46,0,25.24,3.24,48.97,6.67,12.71,10.53,4.94,15.24,32.85,0,0,0,0,0,10.95,0

22,05:15-05:30,22.34,11.4,10.5,14.41,22.33,0,0,0,0,0,0,0,10.73,0,81.75,26.94,0,134.89,43.71,94.26,0,-0,100.2,224.82,6.33,26.94,19.24,70.13,20.75,72.46,0,25.24,3.24,48.97,6.67,12.71,10.53,4.94,15.24,31.5,0,0,0,0,0,10.5,0

23,05:30-05:45,18.63,10.98,9.9,15.61,18.63,0,0,0,0,0,0,0,10.73,0,81.75,26.94,0,134.89,43.71,74.79,0,-0,100.2,224.82,6.33,26.94,19.24,70.13,20.75,72.46,0,26.25,3.24,48.97,4.68,12.71,10.53,4.94,15.24,29.7,0,0,0,0,0,9.9,0

24,05:45-06:00,18.36,10.57,9.45,17.01,18.36,0.33,0,0.25,0,1,0,0,10.73,0,81.75,26.94,0,134.89,43.71,74.79,0,-0,100.2,224.82,6.33,26.94,19.24,70.13,20.75,72.46,0,25.24,3.24,48.97,4.68,12.71,10.53,4.94,15.24,28.35,0,1.22,0.32,0,0,9.45,0

25,06:00-06:15,18.09,10.07,9,22.01,18.09,1.27,1,1.02,1,1,0,0,10.73,0,81.75,26.94,0,134.89,43.71,74.79,0,-0,100.2,224.82,6.95,26.94,19.24,70.13,20.75,72.46,0,24.23,3.24,48.97,4.68,12.71,10.53,4.66,15.24,27,1,5.07,2.13,0,5.8,9,5.68

26,06:15-06:30,17.82,9.51,8.4,22.01,17.82,2.8,2,1.79,2,3,0,1,10.73,0,81.75,26.94,0,134.89,43.71,74.79,0,-0,100.2,224.82,6.95,26.94,19.24,70.13,20.75,72.46,0,24.23,3.24,48.97,4.68,12.71,10.53,4.66,15.24,25.2,2,8.92,3.21,0,9.28,8.4,9.1

27,06:30-06:45,18.09,8.97,8.33,34.01,18.09,4.26,3,2.56,3,4,0,2,10.73,0.66,81.75,26.94,0.52,134.89,43.71,74.79,0.66,-0,100.2,224.82,6.95,26.94,19.24,70.13,20.75,72.46,0,24.23,3.24,48.97,4.68,12.71,10.53,4.66,15.24,25.01,3,12.78,5.92,3,14.2,8.33,13.92

28,06:45-07:00,18.36,8.45,8.33,34.01,18.36,5.87,7,4.36,4,6,0,3,10.73,1.03,81.75,26.94,0.8,134.89,43.71,74.79,1.03,-0,100.2,224.82,6.95,26.94,19.24,70.13,20.75,72.46,0,24.23,3.24,48.97,4.68,12.71,10.53,4.66,15.24,25.01,6,21.8,9.77,5,20.29,8.33,19.89

29,07:00-07:15,23.48,10,10.83,40.02,23.47,7.33,13,6.56,5,9,0,7,10.66,1.49,81.75,26.94,1.15,134.89,43.71,74.79,1.49,-0,100.2,224.82,6.54,26.94,19.24,70.13,20.75,72.46,0,24.23,3.24,38.47,4.68,16.66,10.53,4.66,15.24,32.51,11,32.79,14.16,8,27.82,10.83,27.27

30,07:15-07:30,23.13,10,10.83,40.02,23.14,8.54,17,8.72,6,12,0,8,10.66,2.03,81.75,26.94,1.57,134.89,43.71,74.79,2.03,-0,100.2,224.82,6.54,26.94,19.24,70.13,20.75,72.46,0,24.23,3.24,38.47,4.68,16.66,10.53,4.66,15.24,32.51,14,43.58,18.84,14,33,10.83,33

31,07:30-07:45,22.8,10,11,40.02,22.79,9.74,23,11.1,7,15,0,12,10.66,2.65,81.75,26.94,2.05,134.89,43.71,74.79,2.65,-0,100.2,224.82,6.7,26.94,19.24,70.13,20.75,53.86,0,25.24,3.24,38.47,4.68,16.66,10.53,4.66,15.24,33,19,55.5,23.44,22,33,11,33

32,07:45-08:00,22.46,10.33,11.17,40.02,22.45,10.84,30,13.67,9,18,0,15,10.66,4.53,81.75,26.94,3.5,134.89,43.71,74.79,4.53,-0,100.2,224.82,6.7,26.94,19.24,70.13,20.75,53.86,0,25.24,3.24,38.47,4.68,16.66,10.53,4.66,15.24,33.49,25,68.33,28.59,30,31.6,11.17,31.6

33,08:00-08:15,21.78,14,12.66,40.02,21.77,22.43,37,16.3,11,24,0,18,10.43,4.99,81.75,26.94,3.85,134.89,26.23,74.79,4.99,-0,100.2,224.82,6.7,26.94,19.24,70.13,20.75,53.86,0,25.24,3.24,38.47,4.68,16.57,10.53,4.66,15.24,37.98,27,81.52,33.8,31.9,31.9,12.66,31.9

34,08:15-08:30,21.44,13.67,12.28,40.02,21.43,22.43,43,19.13,12,28,0,22,10.43,7.81,81.75,26.94,6.04,134.89,26.23,74.79,7.81,-0,100.2,224.82,6.7,26.94,19.24,70.13,20.75,53.86,0,25.24,3.24,38.47,4.68,16.57,10.53,4.66,15.24,36.86,32,95.66,39.18,33,33,12.28,33

35,08:30-08:45,21.09,12.67,14.17,40.02,21.09,26.34,37,22.11,18,31,0,18,10.43,8.52,81.75,26.94,6.57,134.89,26.23,74.79,8.52,-0,62.52,224.82,6.81,26.94,19.24,70.13,20.75,53.86,0,25.24,3.24,38.47,4.68,16.57,10.53,4.66,15.24,42.49,37,110.53,44.64,33,33,14.17,33

36,08:45-09:00,20.75,12.33,13.83,40.02,20.75,28.29,43,25.18,21,34,0,22,10.43,7.51,81.75,26.94,5.81,134.89,26.23,74.79,7.51,-0,67.33,224.82,6.81,26.94,19.24,70.13,20.75,53.86,0,25.24,3.24,38.47,4.68,16.57,10.53,4.66,15.24,41.51,43,125.9,50.51,33,33,13.83,33

37,09:00-09:15,20.42,12,13.5,40.02,20.41,25.73,50,28.26,21,42,0,25,10.43,8.61,81.75,26.96,6.66,134.89,26.23,74.79,8.61,-90.81,52.9,224.82,6.81,26.96,19.24,70.13,20.75,53.86,0,24.23,3.24,38.47,4.68,16.48,10.47,4.39,15.24,40.5,52,141.32,56.09,33,33,13.5,33

38,09:15-09:30,20.42,12.33,13,40.02,20.41,28.23,57,31.38,23,48,0,28,10.43,10.12,81.75,26.96,7.82,134.89,26.23,74.79,10.12,-181.62,52.9,224.82,6.81,26.96,19.24,70.13,20.75,53.86,0,24.23,3.24,38.47,4.68,16.48,10.47,4.39,15.24,39,57,156.87,61.38,33,33,13,33

39,09:30-09:45,20.75,10.48,12.5,40.02,20.75,28.36,61,34.36,27,52,0,31,10.43,10.71,81.75,26.96,8.28,134.89,26.23,74.79,10.71,-181.62,52.9,224.82,6.81,26.96,19.24,70.13,20.75,53.86,0,24.23,3.24,38.47,4.44,16.48,10.47,4.39,15.24,37.5,63,171.77,66.72,33,33,12.5,33

40,09:45-10:00,21.44,10.2,11.67,40.02,21.43,28.31,67,37.06,30,57,0,33,10.43,11.77,81.75,26.96,9.09,134.89,26.23,74.79,11.77,-181.62,52.9,224.82,6.81,26.96,19.24,70.13,20.75,53.86,0,23.22,3.24,38.47,4.44,16.48,10.47,4.39,15.24,34.99,68,185.32,72.09,33,33,11.67,33

41,10:00-10:15,15,10.48,11.17,37.82,15,28.67,72,39.19,36,61,0,36,10.73,13.68,81.75,26.96,10.57,134.89,26.23,74.79,13.68,-181.62,52.9,224.82,6.81,26.96,19.24,70.13,20.75,53.86,0,23.22,3.24,38.47,4.44,16.48,10.47,4.39,15.24,33.49,74,195.94,76.32,33,33,11.17,33

42,10:15-10:30,15,10.48,10.33,37.42,15,29.47,77,41.31,39,64,0,38,10.73,13.86,81.75,26.96,10.72,134.89,26.23,74.79,13.86,-181.62,52.9,224.82,6.81,26.96,19.24,70.13,20.75,53.86,0,23.22,3.24,38.47,4.44,16.48,10.47,4.39,15.24,31.01,78,206.57,80.55,33,33,10.33,33

43,10:30-10:45,15,10.77,9.36,36.62,15,47.97,80,43.44,40,69,0,40,10.73,14.59,81.75,26.96,11.28,134.89,26.23,74.79,14.59,-181.62,52.9,224.82,6.81,26.96,19.24,70.13,20.75,53.86,0,23.22,3.24,38.47,4.44,16.48,10.47,4.39,15.24,28.05,83,217.19,84.78,33,33,9.36,33

44,10:45-11:00,15,11.05,9.34,35.61,15,52.46,83,45.1,42,73,0,42,10.73,14.86,81.75,26.96,11.48,134.89,26.23,74.79,14.86,-181.62,52.9,224.82,6.81,26.96,19.24,70.13,20.75,53.86,0,23.22,3.24,38.47,4.44,16.48,10.47,4.39,15.24,28.01,86,225.48,88.06,33,33,9.34,33

45,11:00-11:15,18.34,11.05,11.54,37.02,18.33,56.65,87,46.26,41,76,0,43,10.73,15.81,81.75,26.96,12.21,134.89,26.23,96.18,15.81,-181.62,52.9,224.82,6.81,26.96,19.24,70.13,20.75,53.86,0,23.22,3.24,38.47,4.44,16.39,10.47,3.45,15.24,34.63,86,231.32,90.17,33,33,11.54,33

46,11:15-11:30,18.34,10.77,11.52,35.61,18.33,60.48,87,46.67,40,76,0,43,10.73,15.81,81.75,26.96,12.21,134.89,26.23,115.42,15.81,-181.62,52.9,224.82,6.81,26.96,19.24,70.13,20.75,53.86,0,23.22,3.24,38.47,4.44,16.39,10.47,3.45,15.24,34.54,87,233.33,91.55,33,33,11.52,33

47,11:30-11:45,20.66,10.77,11.44,38.02,20.67,58.97,57,46.67,41,63,0,28,10.73,15.81,81.75,26.96,12.21,134.89,26.23,133.46,15.81,-181.62,52.9,224.82,6.81,26.96,19.24,70.13,20.75,78.3,0,23.22,3.24,38.47,4.44,16.39,10.47,3.45,15.24,34.31,88,233.33,92.66,33,33,11.44,33

48,11:45-12:00,21.34,10.77,11.26,38.02,21.33,57.28,53,46.67,41,60,0,27,10.73,15.81,81.75,26.96,12.21,134.89,26.23,133.46,15.81,-181.62,52.9,224.82,6.81,26.96,19.24,70.13,20.75,81.6,0,23.22,3.24,42.45,4.44,16.39,10.47,3.45,15.24,33.77,89,233.33,93.29,33,33,11.26,33

49,12:00-12:15,22,10.77,11.22,42.42,22,57.36,50,46.67,42,69,0,25,10.73,15.81,81.75,26.97,12.21,134.89,26.23,133.46,15.81,-181.62,52.9,224.82,6.81,26.97,19.24,70.13,20.75,81.6,0,23.22,3.24,57.49,4.44,16.39,10.47,4.39,15.24,33.63,95,233.33,93.61,33,33,11.22,33

50,12:15-12:30,23.34,10.77,11.52,42.42,23.33,58.63,53,46.67,42,69,0,27,10.73,15.81,81.75,26.97,12.21,134.89,26.23,133.46,15.81,-181.62,52.9,224.82,6.81,26.97,19.24,70.13,20.75,81.6,0,23.22,3.24,58.35,4.44,16.39,10.47,4.39,15.24,34.54,95,233.33,93.64,33,33,11.52,33

51,12:30-12:45,24.34,11.05,12.19,42.42,24.33,66.26,73,46.67,42,69,0,37,10.73,15.81,81.75,26.97,12.21,134.89,26.23,133.46,15.81,-181.62,52.9,224.82,6.81,26.97,19.24,70.13,20.75,81.6,0,23.22,3.24,58.35,4.44,16.39,10.47,4.39,15.24,36.54,95,233.33,100,33,33,12.19,33

52,12:45-13:00,26,11.05,13.09,42.42,26,63.91,77,46.67,42,69,0,38,10.73,15.81,81.75,26.97,12.21,134.89,26.23,133.46,15.81,-181.62,52.9,224.82,6.81,26.97,19.24,70.13,20.75,81.6,0,23.22,3.24,58.35,4.44,16.39,10.47,4.39,15.24,39.28,95,233.33,100,33,33,13.09,33

53,13:00-13:15,20,11.62,13.35,42.42,20,60.34,90,46.2,43,75,0,45,10.73,15.81,81.75,26.97,12.21,134.89,26.23,133.46,15.81,-181.62,52.9,224.82,6.81,26.97,19.24,70.13,20.75,67.09,0,22.21,3.24,38.47,4.44,16.39,10.47,4.39,15.24,40.06,97,230.97,100,33,33,13.35,33

54,13:15-13:30,20.34,12.18,13.52,42.42,20.33,55.9,90,45.56,43,75,0,45,10.73,15.81,81.75,26.97,12.21,134.89,26.23,133.46,15.81,-181.62,52.9,224.82,6.81,26.97,19.24,70.13,20.75,76.13,0,22.21,3.24,38.47,4.44,16.39,10.47,4.39,15.24,40.55,97,227.77,100,33,33,13.52,33

55,13:30-13:45,21.66,12.75,13.62,42.42,21.67,54.5,90,50,42,69,0,45,10.73,15.81,81.75,26.97,12.21,134.89,26.23,133.46,15.81,-181.62,52.9,224.82,6.81,26.97,19.24,70.13,20.75,81.6,0,22.21,3.24,58.35,4.44,16.39,10.47,4.39,15.24,40.83,97,250,86.95,33,33,13.62,33

56,13:45-14:00,22.34,13.6,13.63,42.42,22.33,77.17,90,50,41,69,0,45,10.73,15.81,81.75,26.97,12.21,134.89,26.23,133.46,15.81,-181.62,52.9,224.82,6.81,26.97,19.24,102.35,20.75,81.6,0,22.21,3.24,58.35,4.44,16.39,10.47,4.39,15.24,40.89,95,250,87.41,33,33,13.63,33

57,14:00-14:15,23.34,13.88,15,38.02,23.33,75.26,90,45.11,39,67,0,45,10.73,14.75,81.75,26.97,11.4,134.89,26.23,113.49,14.75,-181.62,100.2,224.82,6.81,26.97,19.24,70.13,20.75,53.86,0,21.7,3.24,38.47,4.44,16.66,10.47,4.66,15.24,45,83,225.54,87.59,33,33,15,33

58,14:15-14:30,24,14.17,15.33,38.42,24,74.23,90,42.05,38,66,0,45,10.73,14.75,81.75,26.97,11.4,134.89,26.23,94.26,14.75,-181.62,100.2,224.82,6.81,26.97,19.24,70.13,20.75,53.86,0,21.7,3.24,38.47,4.44,16.66,10.47,4.66,15.24,46.01,82,210.26,100,33,33,15.33,33

59,14:30-14:45,27.6,14.17,15.67,38.42,27.6,72.15,85,40.88,37,64,0,43,10.73,14.62,81.75,26.97,11.29,134.89,26.23,74.79,14.62,-181.62,100.2,224.82,6.81,26.97,19.24,70.13,20.75,53.86,0,22.71,3.24,38.47,4.44,16.66,10.47,4.66,15.24,46.99,81,204.38,88.33,33,33,15.67,33

60,14:45-15:00,27.6,14.45,16,38.82,27.6,69.98,81,39.11,35,60,0,41,10.73,14.02,81.75,26.97,10.83,134.89,26.23,74.79,14.02,-181.62,100.2,224.82,6.81,26.97,19.24,70.13,20.75,53.86,0,22.71,3.24,38.47,4.44,16.66,10.47,4.66,15.24,48,79,195.52,76.36,33,33,16,33

61,15:00-15:15,27.6,18,16.5,39.22,27.6,48.07,75,35.77,32,57,0,37,10.73,13.01,81.75,26.97,10.06,134.89,26.23,74.79,13.01,-90.81,100.2,224.82,6.54,26.97,19.24,70.13,20.75,72.46,0,22.71,3.24,38.47,2.02,16.84,10.47,4.94,15.24,49.5,74,178.87,74.57,33,33,16.5,33

62,15:15-15:30,27.6,17.67,16.67,39.62,27.6,42.91,68,32.96,31,55,0,34,10.73,12.01,81.75,26.97,9.28,134.89,26.23,82.13,12.01,-0,100.2,224.82,6.54,26.97,19.24,70.13,20.75,72.46,0,22.71,3.24,38.47,2.02,16.84,10.47,4.94,15.24,49.99,70,164.78,71.36,33,33,16.67,33

63,15:30-15:45,27.6,17.33,16.67,40.42,27.6,43.35,53,30.2,30,39,0,27,10.73,11.02,81.75,26.97,8.51,134.89,26.23,94.4,11.02,-0,100.2,224.82,6.54,26.97,19.24,70.13,20.75,72.46,0,22.71,3.24,38.47,2.02,16.84,10.47,4.94,15.24,49.99,62,151.02,67.29,33,33,16.67,33

64,15:45-16:00,27.6,17,16.67,40.82,27.6,43.43,50,27.59,29,36,0,25,10.73,10.01,81.75,26.97,7.74,134.89,26.23,113.09,10.01,-0,100.2,224.82,6.54,26.97,19.24,70.13,20.75,72.46,0,23.22,3.24,38.47,2.02,16.84,10.47,4.94,15.24,49.99,58,137.94,63.23,33,33,16.67,33

65,16:00-16:15,27.6,16.67,16.67,43.02,27.6,26.43,30,25.53,22,28,0,15,10.73,9.01,81.75,26.97,6.96,134.89,26.23,133.46,9.01,-0,100.2,224.82,6.54,26.97,19.24,70.13,20.75,56.97,0,23.22,3.24,38.47,2.02,17.03,10.47,5.22,15.24,49.99,48,127.67,57.7,24,33,16.67,33

66,16:15-16:30,27.6,16.33,16.67,43.02,27.6,24.15,27,23.34,21,25,0,13,10.73,8.01,81.75,26.97,6.19,134.89,26.23,126.38,8.01,-0,100.2,224.82,6.54,26.97,19.24,70.13,20.75,54.82,0,24.23,3.24,38.47,2.02,17.03,10.47,5.22,15.24,49.99,45,116.71,52.17,16,33,16.67,33

67,16:30-16:45,27.6,16.15,16.67,43.02,27.6,21.54,23,21.08,17,22,0,12,10.73,4.9,81.75,26.97,3.79,134.89,26.23,128.78,4.9,-0,100.2,224.82,6.54,26.97,19.24,70.13,20.75,54.82,0,23.22,3.24,38.47,2.02,17.03,10.47,5.22,15.24,49.99,37,105.42,43.96,8,33,16.67,33

68,16:45-17:00,27.6,16.43,16.67,43.02,27.6,18.89,23,18.66,14,21,0,12,10.73,4.21,81.75,26.97,3.25,134.89,26.23,121.75,4.21,-0,100.2,224.82,6.54,26.97,19.24,70.13,20.75,54.82,0,24.23,3.24,38.47,2.02,17.03,10.47,5.22,15.24,49.99,33,93.32,38.7,5,33,16.67,33

69,17:00-17:15,27.6,16.43,16.67,43.02,27.6,20.58,12,16.95,12,9,0,6,10.73,3.51,81.75,26.97,2.71,134.89,26.23,110.05,3.51,-0,100.2,224.82,6.54,26.97,19.24,70.13,20.75,54.82,0,24.23,3.24,38.47,2.02,17.3,10.47,5.6,15.24,49.99,30,84.73,28.56,2,33,16.67,33

70,17:15-17:30,27.6,16.43,16.67,43.02,27.6,18.14,10,14.57,10,9,0,5,10.73,2.81,81.75,26.97,2.17,134.89,26.23,105.2,2.81,-0,100.2,224.82,6.54,26.97,19.24,70.13,20.75,54.82,0,25.24,3.24,38.47,2.02,17.3,10.47,5.6,15.24,49.99,25,72.85,26.71,0,33,16.67,33

