Column1,Block,NR/2025/25593/C,NR/2025/25594/C,GNARE/NR/2024/12/20/3668,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/3469,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/2563,GNA/SR/2025/03/01/7500,GNA/WR/2025/01/01/8625,NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/1906,NR/2025/25159/A/57408,WR/2025/26426/A/57499,NR/2025/25513/A/57442,WR/2025/26427/A/57500,WR/2025/26582/A/57721,GNA/WR/2025/03/01/6406,WR/2025/26499/A/57723,Total
3,00:30-00:45,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.68,17.28,23.04,200,0,0,0,23.04,0.43,167.57,0,48,48,42,0,831.53

4,00:45-01:00,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.68,17.28,23.04,200,0,0,0,23.04,0.43,167.57,0,48,48,42,0,831.53

5,01:00-01:15,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.68,17.28,23.04,200,0,0,0,23.04,0.43,167.57,0,48,48,42,0,831.53

6,01:15-01:30,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.68,17.28,23.04,200,0,0,0,23.04,0.43,167.57,0,48,48,42,0,831.53

7,01:30-01:45,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.68,17.28,23.04,200,0,0,0,23.04,0.43,167.57,0,48,48,42,0,831.53

8,01:45-02:00,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.68,17.28,23.04,200,0,0,0,23.04,0.43,167.57,0,48,48,42,0,831.53

9,02:00-02:15,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.6,17.28,23.04,0,0,0,0,23.04,0.43,167.57,0,48,48,42,0,631.45

10,02:15-02:30,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.6,17.28,23.04,0,0,0,0,23.04,0.43,167.57,0,48,48,42,0,631.45

11,02:30-02:45,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.6,17.28,23.04,0,0,0,0,23.04,0.43,167.57,0,48,48,42,0,631.45

12,02:45-03:00,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.6,17.28,23.04,0,0,0,0,23.04,0.43,167.57,0,48,48,42,0,631.45

13,03:00-03:15,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.6,17.28,23.04,0,0,0,0,23.04,0.43,167.57,0,48,48,42,0,631.45

14,03:15-03:30,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.6,17.28,23.04,0,0,0,0,23.04,0.43,167.57,0,48,48,42,0,631.45

15,03:30-03:45,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.6,17.28,23.04,0,0,0,0,23.04,0.43,167.57,0,48,48,42,0,631.45

16,03:45-04:00,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.6,17.28,23.04,0,0,0,0,23.04,0.43,167.57,0,48,48,42,0,631.45

17,04:00-04:15,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.5,17.28,23.04,0,0,0,0,23.04,0.43,167.57,0,48,48,42,0,631.35

18,04:15-04:30,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.5,17.28,23.04,0,0,0,0,23.04,0.43,167.57,0,48,48,42,0,631.35

19,04:30-04:45,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.5,17.28,23.04,0,0,0,0,23.04,0.43,167.57,0,48,48,42,0,631.35

20,04:45-05:00,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.5,17.28,23.04,0,0,0,0,23.04,0.43,167.57,0,48,48,42,0,631.35

21,05:00-05:15,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.5,17.28,23.04,0,0,0,0,23.04,0.48,167.57,0,48,48,42,0,631.4000000000001

22,05:15-05:30,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.5,17.28,23.04,0,0,0,0,23.04,0.48,167.57,0,48,48,42,0,631.4000000000001

23,05:30-05:45,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.5,17.28,23.04,0,0,0,0,23.04,0.48,167.57,0,48,48,42,0,631.4000000000001

24,05:45-06:00,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.5,17.28,23.04,0,0,0,0,23.04,0.48,167.57,0,48,48,42,0,631.4000000000001

25,06:00-06:15,0,0,0,23.04,0,0,5.76,6.72,0,4.41,17.28,23.04,0,0,0,0,23.04,0.53,167.57,0,0,0,42,0,313.39

26,06:15-06:30,0,0,0,23.04,0,0,5.76,6.72,0,4.41,17.28,23.04,0,0,0,0,23.04,0.53,167.57,0,0,0,42,0,313.39

27,06:30-06:45,0,0,0.1,23.04,0,0,5.76,6.72,0,4.41,17.28,23.04,0,0,0,0,23.04,0.53,167.57,0,0,0,42,0,313.49

28,06:45-07:00,0,0,0.12,23.04,0,0,5.76,6.72,0,4.41,17.28,23.04,0,0,0,0,23.04,0.53,167.57,0,0,0,42,0,313.51

29,07:00-07:15,0,0,0.05,23.04,0,0,5.76,6.72,0,4.41,17.28,23.04,0,0,0,0,23.04,0.58,167.57,0,0,0,0,40.32,311.81

30,07:15-07:30,0,0,0.49,23.04,0,0,5.76,6.72,0,4.41,17.28,23.04,0,0,0,0,23.04,0.58,167.57,0,0,0,0,40.32,312.25

31,07:30-07:45,0,0,4.16,23.04,0,0,5.76,6.72,0,4.41,17.28,23.04,0,0,0,0,23.04,0.58,167.57,0,0,0,0,40.32,315.91999999999996

32,07:45-08:00,0,0,10.36,23.04,0,0,5.76,6.72,0,4.41,17.28,23.04,0,0,0,0,23.04,0.58,167.57,0,0,0,0,40.32,322.11999999999995

33,08:00-08:15,0,0,16.03,23.04,0,0,5.76,6.72,0,4.41,17.28,23.04,0,0,0,0,23.04,0.96,0,0,0,0,0,40.32,160.6

34,08:15-08:30,0,0,24,23.04,0,0,5.76,6.72,0,4.41,17.28,23.04,0,0,0,0,23.04,0.96,0,0,0,0,0,40.32,168.57

35,08:30-08:45,0,0,33.54,23.04,0,0,5.76,6.72,0,4.41,17.28,23.04,0,0,0,0,23.04,0.96,0,0,0,0,0,40.32,178.10999999999999

36,08:45-09:00,0,0,41.83,23.04,0,0,5.76,6.72,0,4.41,17.28,23.04,0,0,0,0,23.04,0.96,0,0,0,0,0,40.32,186.4

37,09:00-09:15,14.4,38.4,49.72,23.04,0,0,5.76,6.72,0,4.32,17.28,23.04,0,0,0,0,23.04,0.91,0,0,0,0,0,40.32,246.94999999999996

38,09:15-09:30,14.4,38.4,57.96,23.04,0,0,5.76,6.72,0,4.32,17.28,23.04,0,0,0,0,23.04,0.91,0,0,0,0,0,40.32,255.18999999999994

39,09:30-09:45,14.4,38.4,65.43,23.04,0,0,5.76,6.72,0,4.32,17.28,23.04,0,0,0,0,23.04,0.91,0,0,0,0,0,40.32,262.65999999999997

40,09:45-10:00,14.4,38.4,72.65,23.04,0,0,5.76,6.72,0,4.32,17.28,23.04,0,0,0,0,23.04,0.91,0,0,0,0,0,40.32,269.88

41,10:00-10:15,14.4,38.4,73.36,23.04,0,0,5.76,6.72,0,4.32,17.28,23.04,0,0,0,0,23.04,0.91,0,0,0,0,0,40.32,270.59

42,10:15-10:30,14.4,38.4,78.79,23.04,0,0,5.76,6.72,0,4.32,17.28,23.04,0,0,0,0,23.04,0.91,0,0,0,0,0,40.32,276.02

43,10:30-10:45,14.4,38.4,81.5,23.04,0,0,5.76,6.72,0,4.32,17.28,23.04,0,0,0,0,23.04,0.91,0,0,0,0,0,40.32,278.72999999999996

44,10:45-11:00,14.4,38.4,86.63,23.04,0,0,5.76,6.72,0,4.32,17.28,23.04,0,0,0,0,23.04,0.91,0,0,0,0,0,40.32,283.85999999999996

45,11:00-11:15,14.4,38.4,93.31,23.04,0,0,5.76,6.72,0,4.32,17.28,23.04,0,0,0,0,23.04,0.91,0,0,0,0,0,40.32,290.53999999999996

46,11:15-11:30,14.4,38.4,96.8,23.04,0,0,5.76,6.72,0,4.32,17.28,23.04,0,0,0,0,23.04,0.91,0,0,0,0,0,40.32,294.03

47,11:30-11:45,14.4,38.4,97.48,23.04,0,0,5.76,6.72,0,4.32,17.28,23.04,0,0,0,0,23.04,0.91,0,0,0,0,0,40.32,294.71

48,11:45-12:00,14.4,38.4,97.93,23.04,0,0,5.76,6.72,0,4.32,17.28,23.04,0,0,0,0,23.04,0.91,0,0,0,0,0,40.32,295.15999999999997

49,12:00-12:15,14.4,38.4,96.46,23.04,0,0,5.76,6.72,0,4.22,17.28,23.04,0,0,0,0,23.04,0.91,0,0,0,0,0,40.32,293.59

50,12:15-12:30,14.4,38.4,96.39,23.04,0,0,5.76,6.72,0,4.22,17.28,23.04,0,0,0,0,23.04,0.91,0,0,0,0,0,40.32,293.52

51,12:30-12:45,14.4,38.4,96.3,23.04,0,0,5.76,6.72,0,4.22,17.28,23.04,0,0,0,0,23.04,0.91,0,0,0,0,0,40.32,293.42999999999995

52,12:45-13:00,14.4,38.4,95.56,23.04,0,0,5.76,6.72,0,4.22,17.28,23.04,0,0,0,0,23.04,0.91,0,0,0,0,0,40.32,292.69

53,13:00-13:15,14.4,38.4,95.59,23.04,0,0,5.76,6.72,0,4.22,17.28,23.04,0,0,0,0,23.04,0.91,0,0,0,0,0,40.32,292.71999999999997

54,13:15-13:30,14.4,38.4,95.69,23.04,0,0,5.76,6.72,0,4.22,17.28,23.04,0,0,0,0,23.04,0.91,0,0,0,0,0,40.32,292.82

55,13:30-13:45,14.4,38.4,95.64,23.04,0,0,5.76,6.72,0,4.22,17.28,23.04,0,0,0,0,23.04,0.91,0,0,0,0,0,40.32,292.77

56,13:45-14:00,14.4,38.4,95.63,23.04,0,0,5.76,6.72,0,4.22,17.28,23.04,0,0,0,0,23.04,0.91,0,0,0,0,0,40.32,292.76

57,14:00-14:15,14.4,38.4,98.33,23.04,0,0,5.76,6.72,0,4.22,17.28,23.04,0,0,0,0,23.04,0.91,0,0,0,0,0,40.32,295.46

58,14:15-14:30,14.4,38.4,98.33,23.04,0,0,5.76,6.72,0,4.22,17.28,23.04,0,0,0,0,23.04,0.91,0,0,0,0,0,40.32,295.46

59,14:30-14:45,14.4,38.4,94.57,23.04,0,0,5.76,6.72,0,4.22,17.28,23.04,0,0,0,0,23.04,0.91,0,0,0,0,0,40.32,291.7

60,14:45-15:00,14.4,38.4,93.75,23.04,0,0,5.76,6.72,0,4.22,17.28,23.04,0,0,0,0,23.04,0.91,0,0,0,0,0,40.32,290.88

61,15:00-15:15,14.4,38.4,89.95,23.04,0,0,5.76,6.72,0,4.14,17.28,23.04,0,0,0,0,23.04,0.67,0,0,0,0,0,40.32,286.75999999999993

62,15:15-15:30,14.4,38.4,84.78,23.04,0,0,5.76,6.72,0,4.14,17.28,23.04,0,0,0,0,23.04,0.67,0,0,0,0,0,40.32,281.5899999999999

63,15:30-15:45,14.4,38.4,79.12,23.04,0,0,5.76,6.72,0,4.14,17.28,23.04,0,0,0,0,23.04,0.67,0,0,0,0,0,40.32,275.92999999999995

64,15:45-16:00,14.4,38.4,73.66,23.04,0,0,5.76,6.72,0,4.14,17.28,23.04,0,0,0,0,23.04,0.67,0,0,0,0,0,40.32,270.46999999999997

65,16:00-16:15,14.4,38.4,67.2,23.04,0,0,5.76,6.72,0,4.14,17.28,23.04,0,0,0,0,23.04,0.53,0,0,0,0,0,40.32,263.86999999999995

66,16:15-16:30,14.4,38.4,60.12,23.04,0,0,5.76,6.72,0,4.14,17.28,23.04,0,0,0,0,23.04,0.53,0,0,0,0,0,40.32,256.78999999999996

67,16:30-16:45,14.69,38.11,50.03,23.04,0,0,5.76,6.72,0,4.14,17.28,23.04,0,0,0,0,23.04,0.53,0,0,0,0,0,40.32,246.69999999999996

68,16:45-17:00,22.27,30.53,42.48,23.04,0,0,5.76,6.72,0,4.14,17.28,23.04,0,0,0,0,23.04,0.53,0,0,0,0,0,40.32,239.14999999999998

69,17:00-17:15,0,0,30.74,25.92,0,0,5.76,6.72,0,4.14,17.28,25.92,0,100,0,0,25.92,0.53,0,0,0,0,0,40.32,283.25000000000006

70,17:15-17:30,0,0,24.44,25.92,0,0,5.76,6.72,0,4.14,17.28,25.92,0,100,0,0,25.92,0.53,0,0,0,0,0,40.32,276.95000000000005

71,17:30-17:45,0,0,15.02,25.92,0,0,5.76,6.72,0,4.14,17.28,25.92,0,100,0,0,25.92,0.53,0,0,0,0,0,40.32,267.53000000000003

72,17:45-18:00,0,0,10.87,25.92,0,0,5.76,6.72,0,4.14,17.28,25.92,0,100,0,0,25.92,0.53,0,0,0,0,0,40.32,263.38000000000005

73,18:00-18:15,0,0,7.38,25.92,0,0,5.76,6.72,0,4.22,17.28,25.92,0,100,0,100,25.92,0.53,0,33.6,0,0,0,40.32,393.57

74,18:15-18:30,0,0,1.71,25.92,0,0,5.76,6.72,0,4.22,17.28,25.92,0,100,0,100,25.92,0.53,0,33.6,0,0,0,40.32,387.9

75,18:30-18:45,0,0,0.51,25.92,0,0,5.76,6.72,0,4.22,17.28,25.92,50,100,0,100,25.92,0.53,0,33.6,0,0,0,40.32,436.70000000000005

76,18:45-19:00,0,0,0.27,25.92,0,0,5.76,6.72,0,4.22,17.28,25.92,50,100,0,100,25.92,0.53,0,33.6,0,0,0,40.32,436.46000000000004

77,19:00-19:15,0,0,0,25.92,0,0,5.76,6.72,0,4.32,17.28,25.92,50,100,0,100,25.92,0.62,0,33.6,0,0,0,40.32,436.38000000000005

78,19:15-19:30,0,0,0,25.92,0,0,5.76,6.72,0,4.32,17.28,25.92,50,100,0,100,25.92,0.62,0,33.6,0,0,0,40.32,436.38000000000005

79,19:30-19:45,0,0,0,25.92,0,0,5.76,6.72,0,4.32,17.28,25.92,50,100,0,100,25.92,0.62,0,33.6,0,0,0,40.32,436.38000000000005

80,19:45-20:00,0,0,0,25.92,0,0,5.76,6.72,0,4.32,17.28,25.92,50,100,0,100,25.92,0.62,0,33.6,0,0,0,40.32,436.38000000000005

81,20:00-20:15,0,0,0,25.92,0,0,5.76,6.72,0,4.41,17.28,25.92,50,100,0,100,25.92,0.62,48,33.6,0,0,0,40.32,484.47

82,20:15-20:30,0,0,0,25.92,0,0,5.76,6.72,0,4.41,17.28,25.92,50,100,0,100,25.92,0.62,48,33.6,0,0,0,40.32,484.47

83,20:30-20:45,0,0,0,25.92,0,0,5.76,6.72,0,4.41,17.28,25.92,50,100,0,100,25.92,0.62,48,33.6,0,0,0,40.32,484.47

84,20:45-21:00,0,0,0,25.92,0,0,5.76,6.72,0,4.41,17.28,25.92,50,100,0,100,25.92,0.62,48,33.6,0,0,0,40.32,484.47

85,21:00-21:15,0,0,0,25.92,0,0,5.76,6.72,0,4.5,17.28,25.92,50,100,0,100,25.92,0.62,48,33.6,0,0,0,40.32,484.56000000000006

86,21:15-21:30,0,0,0,25.92,0,0,5.76,6.72,0,4.5,17.28,25.92,50,100,0,100,25.92,0.62,48,33.6,0,0,0,40.32,484.56000000000006

87,21:30-21:45,0,0,0,25.92,0,0,5.76,6.72,0,4.5,17.28,25.92,50,100,0,100,25.92,0.62,48,33.6,0,0,0,40.32,484.56000000000006

88,21:45-22:00,0,0,0,25.92,0,0,5.76,6.72,0,4.5,17.28,25.92,50,100,0,100,25.92,0.62,48,33.6,0,0,0,40.32,484.56000000000006

89,22:00-22:15,0,0,0,25.92,55.49,166.48,5.76,6.72,0,4.5,17.28,25.92,50,100,0,100,25.92,0.53,48,33.6,24,24,0,40.32,754.4399999999999

90,22:15-22:30,0,0,0,25.92,55.49,166.48,5.76,6.72,0,4.5,17.28,25.92,50,100,0,100,25.92,0.53,48,33.6,24,24,0,40.32,754.4399999999999

91,22:30-22:45,0,0,0,25.92,55.49,166.48,5.76,6.72,0,4.5,17.28,25.92,50,100,0,100,25.92,0.53,48,33.6,24,24,0,40.32,754.4399999999999

92,22:45-23:00,0,0,0,25.92,55.49,166.48,5.76,6.72,0,4.5,17.28,25.92,50,100,0,100,25.92,0.53,48,33.6,24,24,0,40.32,754.4399999999999

93,23:00-23:15,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.41,17.28,23.04,50,0,0,100,23.04,0.48,48,33.6,24,24,0,40.32,645.6600000000002

94,23:15-23:30,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.41,17.28,23.04,50,0,0,100,23.04,0.48,48,33.6,24,24,0,40.32,645.6600000000002

95,23:30-23:45,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.41,17.28,23.04,50,0,0,100,23.04,0.48,48,33.6,24,24,0,40.32,645.6600000000002

96,23:45-24:00,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.41,17.28,23.04,50,0,0,100,23.04,0.48,48,33.6,24,24,0,40.32,645.6600000000002

