Block,Time,L_NR_2012_04,SH-06,SH-07,L_NR_2020_02,L_NR_2019_07,L_NR_2022_09,L_NR_2019_05,L_NR_2012_07,L_NR_2012_01,LT-35,LT-36,L_NR_2019_19,L_NR_2012_02,LT-05,LT-59,L_NR_2019_11,LT_MEJA_Delhi,LT-31,L_NR_2018_61,L_NR_2020_07,L_NR_2021_15,L_NR_2021_12,L_NR_2021_16,L_NR_2020_06,L_NR_2022_08,L_NR_2019_06,L_NR_2021_17,L_NR_2021_13,L_NR_2022_10,L_NR_2020_05,L_NR_2021_14
10,02:15-02:30,270.980000,15.810000,30.830000,6.480000,0,56.54,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,6.440000,6.670000,6.370000,0.000000,8.63,31.42,0,0,0,31.42,12.55,0,0,0,56.54,94.26,0

11,02:30-02:45,270.980000,3.640000,30.830000,6.480000,0,56.77,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,6.440000,6.670000,6.370000,0.000000,8.36,33.13,0,0,0,33.12,12.63,0,0,0,56.77,99.36,0

12,02:45-03:00,270.980000,3.640000,30.830000,6.480000,0,65.02,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,6.440000,6.670000,6.370000,0.000000,7.79,33.53,0,0,0,33.54,16,0,0,0,65.02,100.61,0

13,03:00-03:15,270.980000,3.640000,30.830000,6.350000,0,65.06,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,6.440000,6.670000,6.370000,0.000000,14.06,33.57,0,0,0,33.57,15.96,0,0,0,65.06,100.71,0

14,03:15-03:30,270.980000,3.640000,30.830000,6.350000,0,65.02,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,6.440000,6.670000,6.370000,0.000000,13.47,30.18,0,0,0,30.17,15.92,0,0,0,65.02,90.51,0

15,03:30-03:45,270.980000,3.640000,30.830000,6.350000,0,65.02,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,6.440000,6.670000,6.370000,0.000000,12.99,30.25,0,0,0,30.25,15.89,0,0,0,65.02,90.75,0

16,03:45-04:00,270.980000,18.610000,30.830000,6.350000,0,65.06,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,6.440000,6.670000,6.370000,0.000000,12.35,30.37,0,0,0,30.36,15.85,0,0,0,65.06,91.09,0

17,04:00-04:15,270.980000,24.430000,30.830000,6.200000,0,65.02,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,6.040000,6.360000,6.370000,0.000000,11.22,30.3,0,0,0,30.31,15.81,0,0,0,65.02,90.92,0

18,04:15-04:30,270.980000,24.430000,30.830000,6.200000,0,69.57,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,6.040000,6.360000,6.370000,0.000000,10.02,30.25,0,0,0,30.25,15.54,0,0,0,69.57,90.75,0

19,04:30-04:45,270.980000,24.430000,30.830000,6.200000,0,69.57,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,6.040000,6.360000,6.370000,0.000000,17.27,30.18,0,0,0,30.17,15.18,0,0,0,69.57,90.51,0

20,04:45-05:00,270.980000,24.430000,30.830000,6.200000,0,69.62,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,6.040000,6.360000,6.370000,0.000000,16.57,30.05,0,0,0,30.06,14.88,0,0,0,69.62,90.18,0

21,05:00-05:15,270.980000,24.430000,30.830000,6.070000,0,69.57,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,6.040000,6.360000,6.370000,0.000000,15.98,31.79,0,0,0,31.77,14.51,0,0,0,69.57,95.32,0

22,05:15-05:30,270.980000,24.430000,30.830000,6.070000,0,69.57,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,6.040000,6.360000,6.370000,0.000000,15.23,31.71,0,0,0,31.7,14.36,0,0,0,69.57,95.11,0

23,05:30-05:45,270.980000,24.430000,30.830000,6.070000,0,69.62,0,86.910000,100.930000,0.000000,0.000000,0.450000,260.720000,57.850000,6.040000,6.360000,6.370000,0.000000,13.86,31.53,0,0,0,31.52,14.44,0,0,0,69.62,94.57,0

24,05:45-06:00,270.980000,25.460000,30.830000,6.070000,0,69.57,0,86.910000,100.930000,0.000000,0.000000,3.980000,260.720000,57.850000,6.040000,6.360000,6.370000,0.000000,8.39,31.44,0,0,0.63,31.43,18.61,0,0.31,0,69.57,94.3,0

25,06:00-06:15,270.980000,25.460000,30.830000,5.890000,4.31,69.57,15.29,86.910000,100.930000,0.110000,0.050000,8.650000,260.720000,57.850000,5.810000,6.130000,6.370000,0.110000,8.43,31.38,0.53,1.81,2.55,31.39,18.53,15.69,1.28,0.36,69.57,94.17,0.03

26,06:15-06:30,270.980000,25.460000,30.830000,5.890000,10.17,68.9,24.62,86.910000,100.930000,0.420000,0.230000,13.620000,260.720000,57.850000,5.810000,6.130000,6.370000,0.370000,8.63,31.17,1.5,6.36,5.42,31.18,18.53,26.2,2.71,1.27,68.9,93.53,0.03

27,06:30-06:45,270.980000,25.460000,30.830000,5.890000,20.88,64.18,33,63.190000,100.930000,0.520000,0.530000,19.860000,260.720000,57.850000,5.810000,6.130000,6.370000,0.520000,8.36,35.39,2.78,12.08,9.15,35.38,18.52,33,4.58,2.41,64.18,106.15,1.29

28,06:45-07:00,270.980000,25.460000,30.830000,5.890000,30.15,62.88,30.15,44.230000,100.930000,1.090000,1.110000,27.700000,174.090000,47.260000,5.810000,6.130000,6.020000,1.090000,7.79,35.04,4.62,19.88,13.8,35.06,18.36,30.15,6.9,3.98,62.88,105.17,3.81

29,07:00-07:15,270.980000,25.460000,30.830000,5.890000,30.15,61.89,30.15,44.230000,100.930000,1.870000,1.910000,36.680000,145.180000,33.090000,5.810000,6.130000,5.680000,1.870000,7.49,34.77,7.05,31.63,18.67,34.77,18.3,30.15,9.33,6.32,61.89,104.32,7.46

30,07:15-07:30,270.980000,25.460000,30.830000,5.890000,30.15,64.43,30.15,44.230000,100.930000,2.860000,2.930000,46.520000,145.180000,33.090000,5.810000,6.130000,5.350000,2.860000,7.18,34.38,10.02,46.79,25.33,34.39,18.28,30.15,12.67,9.36,64.43,103.17,12.43

31,07:30-07:45,231.240000,25.460000,30.830000,5.890000,30.15,63.62,30.15,44.230000,100.930000,4.160000,4.260000,56.710000,145.180000,33.090000,5.810000,6.130000,5.010000,4.160000,7.15,33.77,13.18,64.84,35.34,33.77,18.28,30.15,17.66,12.97,63.62,101.32,18.58

32,07:45:08:00,192.700000,25.460000,30.830000,5.890000,30.15,62.24,30.15,32.760000,84.790000,5.440000,5.570000,66.210000,145.180000,33.090000,5.810000,6.130000,4.670000,5.440000,7.07,32.93,16.47,90.56,42,32.94,18.16,30.15,21,18.11,62.24,98.82,25.57

33,08:00-08:15,150.960000,25.460000,30.830000,5.790000,32,60.88,32,32.760000,79.970000,6.660000,6.820000,74.430000,145.180000,33.090000,5.810000,6.130000,4.340000,6.660000,7.1,31.37,23.33,110.25,48,31.36,18.06,32,24,22.05,60.88,94.08,33.32

34,08:15-08:30,150.960000,25.460000,30.830000,5.790000,32,59.07,32,32.760000,75.150000,7.890000,8.090000,82.730000,145.180000,33.090000,5.810000,6.130000,4.240000,7.890000,7.08,30.43,27.29,129.38,52,30.44,17.88,32,26,25.88,59.07,91.32,41.78

35,08:30-08:45,150.960000,25.460000,30.830000,5.790000,32,57.78,32,32.760000,60.700000,8.960000,9.180000,91.730000,145.180000,33.090000,5.810000,6.130000,4.240000,8.960000,7.03,29.35,30.96,148.01,58.67,29.34,17.77,32,29.33,29.6,57.78,88.03,47.96

36,08:45:09:00,150.960000,25.460000,30.830000,5.790000,32,56.51,32,32.760000,52.990000,10.240000,10.500000,100.840000,134.890000,33.090000,5.810000,6.130000,4.240000,10.240000,7.07,29.16,34.23,165.83,66,29.16,17.42,32,33,33.17,56.51,87.47,55.38

37,09:00:09:15,150.960000,25.570000,29.870000,5.790000,32,55.42,32,32.760000,52.990000,11.320000,11.600000,109.510000,134.890000,33.090000,5.270000,5.600000,4.240000,11.320000,7.18,20.07,36.88,182.9,70.67,20.06,16.91,32,35.33,36.58,55.42,60.19,61.37

38,09:15-09:30,192.700000,25.570000,29.870000,5.790000,32,46.72,32,32.760000,52.990000,12.100000,12.410000,116.950000,130.070000,33.090000,5.270000,5.600000,4.240000,12.100000,7.02,20.54,39.01,198.79,75.34,20.55,16.39,32,37.66,39.76,46.72,61.64,67.73

39,09:30-09:45,260.140000,25.570000,29.870000,5.560000,32,47.49,32,32.760000,52.990000,13.360000,13.690000,123.170000,134.890000,33.090000,5.270000,5.600000,4.240000,13.360000,9.05,21.42,41.89,213.58,80,21.42,12.75,32,40,42.72,47.49,64.26,73.37

40,09:45-10:00,270.980000,25.570000,29.870000,5.560000,32,49.66,32,32.760000,52.990000,14.260000,14.610000,128.560000,142.600000,33.090000,5.270000,5.600000,4.240000,14.260000,8.05,22.85,44.24,227.09,85.34,22.85,13.42,32,42.66,45.42,49.66,68.55,78.29

41,10:00-10:15,270.980000,25.570000,29.870000,5.560000,32,52.56,32,32.760000,52.990000,15.060000,15.440000,132.980000,130.070000,33.090000,5.000000,5.520000,4.240000,15.060000,7.05,23.42,46.2,235.21,88.67,23.43,14.12,32,44.33,47.04,52.56,70.29,83.03

42,10:15-10:30,270.980000,25.570000,29.870000,5.560000,32,58.15,32,32.760000,60.700000,15.750000,16.140000,136.280000,145.180000,33.090000,5.000000,5.520000,4.240000,15.750000,7.05,24.29,47.48,238.33,91.34,24.28,14.45,32,45.66,47.67,58.15,72.85,87.48

43,10:30-10:45,270.980000,25.570000,29.870000,5.560000,32,59.96,32,32.760000,60.700000,16.330000,16.740000,139.550000,145.180000,33.090000,5.000000,5.520000,4.240000,16.330000,7.11,25.46,48.13,238.33,91.34,25.46,15.07,32,45.66,47.67,59.96,76.38,90.51

44,10:45-11:00,270.980000,25.570000,29.870000,5.560000,32,62.6,32,32.760000,65.520000,16.840000,17.260000,142.450000,145.180000,33.090000,5.000000,5.520000,4.240000,16.840000,7.05,26.59,48.55,238.33,90.67,26.57,15.75,32,45.33,47.67,62.6,79.72,91.99

45,11:00-11:15,270.980000,25.570000,29.870000,5.420000,32,66.25,32,32.760000,100.930000,17.280000,17.710000,144.180000,145.180000,33.090000,5.000000,5.520000,4.240000,17.280000,7.07,28.26,49.1,238.33,90,28.27,16.75,32,45,47.67,66.25,84.81,93.05

46,11:15-11:30,270.980000,25.570000,29.870000,5.420000,32,68.35,32,32.760000,79.970000,17.630000,18.070000,144.770000,145.180000,33.090000,5.000000,5.520000,4.240000,17.630000,7.18,29.31,49.82,238.33,90,29.32,18.34,32,45,47.67,68.35,87.96,93.6

47,11:30-11:45,270.980000,25.570000,29.870000,5.420000,32,69.94,32,32.780000,53.110000,17.870000,18.330000,144.140000,145.180000,33.090000,5.000000,5.520000,4.240000,17.870000,7.02,30.4,50,238.33,89.34,30.4,19.21,32,44.66,47.67,69.94,91.2,93.67

48,11:45-12:00,270.980000,25.570000,29.870000,5.420000,32,71.99,32,33.180000,70.140000,18.250000,18.710000,142.730000,145.180000,33.090000,5.000000,5.520000,4.240000,18.250000,7.12,31.55,50,238.33,89.34,31.56,20.23,32,44.66,47.67,71.99,94.67,93.65

49,12:00-12:15,270.980000,26.000000,26.000000,5.420000,32,74.07,32,33.180000,70.140000,18.280000,18.740000,144.940000,145.180000,33.090000,5.000000,5.520000,4.240000,18.280000,7.15,33.13,50,238.33,88.67,33.12,20.83,32,44.33,47.67,74.07,99.36,93.64

50,12:15-12:30,270.980000,26.000000,26.000000,5.420000,32,75.93,32,33.180000,70.140000,18.320000,18.780000,139.080000,145.180000,33.090000,5.000000,5.520000,4.240000,18.320000,7.02,33.15,50,238.33,88.67,33.15,21.61,32,44.33,47.67,75.93,99.45,93.67

51,12:30-12:45,270.980000,26.000000,26.000000,5.420000,32,73.47,32,32.780000,53.110000,18.290000,18.750000,138.130000,127.180000,33.090000,5.000000,5.520000,4.240000,18.290000,7.05,35.1,46.83,238.33,89.34,35.1,22,32,44.66,47.67,73.47,105.31,91.78

52,12:45-13:00,270.980000,26.000000,26.000000,5.420000,32,73.35,32,32.780000,53.110000,18.350000,18.810000,137.580000,127.180000,33.090000,5.000000,5.520000,4.240000,18.350000,7.01,35.01,45.93,238.33,90,35,22.64,32,45,47.67,73.35,105.01,91.75

53,13:00-13:15,270.980000,26.000000,26.000000,5.420000,32,73.52,32,32.780000,53.110000,18.260000,18.720000,136.310000,112.150000,33.090000,5.000000,0.000000,4.240000,18.260000,7.12,35.1,44.74,238.33,90.67,35.1,23.66,32,45.33,47.67,73.52,105.31,87.06

54,13:15-13:30,270.980000,26.000000,26.000000,5.420000,32,73.35,32,32.780000,53.110000,16.870000,17.300000,136.080000,112.150000,33.090000,5.000000,0.000000,4.240000,16.870000,7.25,35.05,43.22,238.33,90.67,35.05,24.07,32,45.33,47.67,73.35,105.15,87.02

55,13:30-13:45,270.980000,26.000000,26.000000,5.190000,32,73.34,32,32.780000,53.110000,16.670000,17.090000,132.870000,112.150000,33.090000,5.000000,0.000000,4.240000,16.670000,7.64,35.09,42.66,238.33,91.34,35.09,24.48,32,45.66,47.67,73.34,105.27,87.06

56,13:45-14:00,270.980000,26.000000,26.000000,5.190000,32,73.37,32,32.780000,53.110000,16.260000,16.660000,126.970000,127.180000,33.090000,5.000000,0.000000,4.240000,16.260000,8.08,35.1,41.95,238.33,89.34,35.1,24.96,32,44.66,47.67,73.37,105.29,86.84

57,14:00-14:15,270.980000,25.620000,29.390000,5.190000,32,73.42,32,32.780000,53.110000,15.990000,16.390000,121.150000,145.180000,33.090000,5.000000,0.000000,4.240000,15.990000,10.07,35.16,42.83,238.33,87.34,35.16,24.85,32,43.66,47.67,73.42,105.49,85.98

58,14:15-14:30,270.980000,25.620000,29.390000,5.190000,32,73.59,32,33.180000,70.140000,15.690000,16.080000,115.600000,145.180000,33.090000,5.000000,0.000000,4.240000,15.690000,11.05,35.14,42.49,238.33,85.34,35.15,25.42,32,42.66,47.67,73.59,105.44,85.45

59,14:30-14:45,270.980000,25.620000,29.390000,5.190000,32,73.38,32,52.130000,70.140000,14.980000,15.350000,108.910000,193.360000,33.090000,5.000000,0.000000,4.240000,14.980000,11.65,35.11,40.47,238.33,84,35.1,25.45,32,42,47.67,73.38,105.31,84.41

60,14:45-15:00,270.980000,25.620000,29.390000,5.190000,32,73.37,32,52.130000,70.140000,14.450000,14.810000,101.650000,229.670000,33.090000,5.000000,0.000000,4.240000,14.450000,12.05,35.05,38.25,238.33,72,35.05,25.28,32,36,47.67,73.37,105.15,82.7

61,15:00-15:15,270.980000,25.620000,29.390000,5.460000,32,73.4,32,96.350000,70.140000,13.800000,14.150000,92.780000,260.720000,57.850000,5.000000,0.000000,6.460000,13.800000,13.07,35.02,35.82,238.33,70.67,35.01,25.18,32,35.33,47.67,73.4,105.04,78.78

62,15:15-15:30,270.980000,25.620000,29.390000,5.460000,32,73.47,32,96.350000,70.140000,12.980000,13.300000,86.020000,260.720000,57.850000,5.000000,0.000000,6.460000,12.980000,10.06,35.08,33.2,233.93,65.34,35.1,25.23,32,32.66,46.78,73.47,105.29,74.26

63,15:30-15:45,270.980000,25.620000,29.390000,5.460000,32,73.49,32,96.350000,99.050000,12.310000,12.620000,78.810000,260.720000,57.850000,5.000000,0.000000,6.460000,12.310000,10.66,35.12,33.53,218.47,60,35.12,25.18,32,30,43.69,73.49,105.36,70.07

64,15:45-16:00,270.980000,25.620000,29.390000,5.460000,32,73.64,32,96.350000,100.930000,11.440000,11.720000,71.370000,260.720000,57.850000,5.000000,0.000000,6.460000,11.440000,11.34,35.17,30.96,204.84,55.34,35.15,25.02,32,27.66,40.97,73.64,105.46,64.63

65,16:00-16:15,270.980000,25.620000,29.390000,5.740000,32,73.4,32,96.350000,100.930000,10.340000,10.600000,63.880000,260.720000,57.850000,5.000000,0.000000,6.460000,10.340000,11.46,35.13,28.24,174.41,54,35.12,25.06,32,27,34.88,73.4,105.38,56.21

66,16:15-16:30,270.980000,25.620000,29.390000,5.740000,32,73.42,32,86.910000,100.930000,9.590000,9.830000,55.560000,260.720000,57.850000,5.000000,0.000000,6.460000,9.590000,12.06,35.03,25.16,159.46,2.67,35.03,25.02,32,1.33,31.89,73.42,105.1,50.99

67,16:30-16:45,270.980000,23.330000,29.390000,6.480000,32,73.37,32,86.910000,100.930000,8.340000,8.550000,46.490000,260.720000,57.850000,5.000000,0.000000,6.460000,8.340000,14.66,35.02,21.81,143.1,5.33,35.02,24.94,32,2.67,28.62,73.37,105.06,45.24

68,16:45-17:00,270.980000,19.300000,29.390000,6.480000,32,73.58,32,86.910000,100.930000,7.200000,7.370000,37.070000,260.720000,57.850000,5.000000,0.000000,6.460000,7.200000,7.11,35.04,18.5,125.64,4.67,35.04,24.85,32,2.33,25.13,73.58,105.11,39.05

69,17:00-17:15,270.980000,19.300000,29.390000,6.480000,25.05,73.53,33,86.910000,100.930000,6.060000,6.200000,28.860000,260.720000,57.850000,5.000000,0.000000,6.460000,6.060000,7.13,34.29,15.87,104.2,7.33,34.27,25.04,33,3.67,20.84,73.53,102.82,32.57

70,17:15-17:30,270.980000,19.300000,29.390000,6.480000,14.2,73.5,33,86.910000,100.930000,4.900000,5.020000,21.850000,260.720000,57.850000,5.000000,0.000000,6.460000,4.900000,7.06,33.56,12.98,84.84,12.67,33.55,25.04,33,6.33,16.97,73.5,100.66,26.38

71,17:30-17:45,270.980000,0.000000,29.390000,6.480000,8.27,73.26,21.96,86.910000,100.930000,3.800000,3.890000,15.840000,260.720000,47.260000,5.000000,0.000000,6.460000,3.800000,7.13,33.4,10.12,65.68,9.33,33.39,24.69,27.8,4.67,13.14,73.26,100.18,20.11

72,17:45-18:00,270.980000,0.000000,29.390000,6.480000,2.56,71.88,13.44,86.910000,100.930000,2.790000,2.870000,10.560000,260.720000,33.090000,5.000000,0.000000,6.460000,2.790000,7.01,33.21,7.41,45.88,10,33.19,24.69,17.04,5,9.17,71.88,99.58,14.15

73,18:00-18:15,270.980000,0.000000,29.870000,6.760000,0,68.78,0,86.910000,100.930000,1.880000,1.920000,6.100000,260.720000,33.090000,5.000000,7.660000,6.460000,1.880000,7.35,32.87,5.13,28.88,12.67,32.88,24.3,0,6.33,5.78,68.78,98.64,9.07

74,18:15-18:30,270.980000,0.000000,29.870000,6.760000,0,73.5,0,86.910000,100.930000,1.320000,1.350000,3.110000,260.720000,47.260000,5.000000,7.660000,6.460000,1.320000,17.13,32.34,3.29,14.23,6.67,32.34,23.55,0,3.33,2.84,73.5,97.03,5.24

75,18:30-18:45,270.980000,2.890000,32.760000,6.760000,0,73.26,0,86.910000,100.930000,0.000000,0.000000,1.520000,260.720000,57.850000,5.000000,7.280000,6.460000,0.000000,17.46,34.22,1.65,9.1,3.33,34.23,21.98,0,1.67,1.82,73.26,102.68,2.61

76,18:45-19:00,270.980000,2.890000,32.760000,6.760000,0,71.88,0,86.910000,100.930000,0.000000,0.000000,0.490000,260.720000,57.850000,5.000000,7.280000,6.460000,0.000000,18.13,34.03,0.44,5.12,1.33,34.03,20.68,0,0.67,1.02,71.88,102.08,0.8

77,19:00-19:15,270.980000,31.820000,31.820000,7.130000,0,71.09,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,5.000000,7.280000,6.460000,0.000000,18.53,33.71,0,2.28,0.5,33.71,19.58,0,0.25,0.45,71.09,101.14,0.03

78,19:15-19:30,270.980000,31.820000,31.820000,7.130000,0,69.54,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,5.000000,7.280000,6.460000,0.000000,18.66,33.18,0,0.33,0,33.17,18.85,0,0,0.06,69.54,99.53,0

79,19:30-19:45,270.980000,31.820000,31.820000,7.130000,0,67.75,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,5.000000,7.280000,6.460000,0.000000,18.53,31.88,0,0,0,31.88,17.83,0,0,0,67.75,95.64,0

80,19:45-20:00,270.980000,31.820000,31.820000,7.130000,0,64.19,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,5.000000,7.280000,6.460000,0.000000,17.73,30.11,0,0,0,30.11,16.72,0,0,0,64.19,90.32,0

81,20:00-20:15,270.980000,32.770000,32.770000,7.410000,0,61.8,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,5.000000,6.360000,6.460000,0.000000,16.85,28.16,0,0,0,28.16,15.98,0,0,0,61.8,84.47,0

82,20:15-20:30,270.980000,32.770000,32.770000,7.410000,0,58.12,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,5.000000,6.360000,6.460000,0.000000,15.53,26.51,0,0,0,26.51,15.3,0,0,0,58.12,79.53,0

83,20:30-20:45,270.980000,34.700000,34.700000,7.410000,0,55.03,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,5.000000,6.360000,6.460000,0.000000,14.91,25.15,0,0,0,25.15,14.43,0,0,0,55.03,75.45,0

84,20:45-21:00,270.980000,34.700000,34.700000,7.410000,0,52.12,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,5.000000,6.360000,6.460000,0.000000,14.28,24.14,0,0,0,24.13,13.78,0,0,0,52.12,72.4,0

85,21:00-21:15,270.980000,34.700000,34.700000,7.410000,0,50.19,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,5.000000,6.360000,6.460000,0.000000,13.64,23.03,0,0,0,23.04,12.78,0,0,0,50.19,69.11,0

86,21:15-21:30,270.980000,34.700000,34.700000,7.410000,0,55.12,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,5.000000,6.360000,6.460000,0.000000,13.03,22.12,0,0,0,22.11,11.76,0,0,0,55.12,66.33,0

87,21:30-21:45,270.980000,43.370000,43.370000,7.410000,0,54.41,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,5.000000,6.360000,6.460000,0.000000,12.61,21.43,0,0,0,21.43,10.48,0,0,0,54.41,64.29,0

88,21:45-22:00,270.980000,45.290000,45.290000,7.410000,0,53.43,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,5.000000,6.360000,6.460000,0.000000,12.2,20.88,0,0,0,20.89,9.92,0,0,0,53.43,62.67,0

89,22:00-22:15,270.980000,45.290000,45.290000,7.180000,0,51.75,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,56.240000,5.000000,6.130000,6.460000,0.000000,11.61,30.1,0,0,0,30.1,16.26,0,0,0,51.75,90.3,0

90,22:15-22:30,270.980000,45.290000,45.290000,7.180000,0,56.78,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,56.240000,5.000000,6.130000,6.460000,0.000000,11.06,29.88,0,0,0,29.87,16.28,0,0,0,56.78,89.61,0

91,22:30-22:45,270.980000,42.210000,42.210000,7.180000,0,56.52,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,56.240000,5.000000,6.130000,6.460000,0.000000,10.39,29.91,0,0,0,29.9,16.25,0,0,0,56.52,89.71,0

92,22:45-23:00,270.980000,42.210000,42.210000,7.180000,0,56.61,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,56.240000,5.000000,6.130000,6.460000,0.000000,13.27,29.95,0,0,0,29.96,16.47,0,0,0,56.61,89.88,0

93,23:00-23:15,270.980000,42.210000,42.210000,6.950000,0,56.56,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,56.240000,5.000000,6.130000,6.460000,0.000000,12.89,30.28,0,0,0,30.29,16.71,0,0,0,56.56,90.86,0

94,23:15-23:30,270.980000,42.210000,42.210000,6.950000,0,56.53,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,56.240000,5.000000,6.130000,6.460000,0.000000,12.69,30.63,0,0,0,30.62,16.7,0,0,0,56.53,91.86,0

95,23:30-23:45,270.980000,33.660000,33.660000,6.950000,0,56.18,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,5.000000,6.130000,6.460000,0.000000,12.46,30.97,0,0,0,30.98,16.45,0,0,0,56.18,92.93,0

96,23:45-24:00,270.980000,33.660000,33.660000,6.950000,0,55.92,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,5.000000,6.130000,6.460000,0.000000,12.23,31.39,0,0,0,31.39,16.64,0,0,0,55.92,94.18,0

