Column1,Block,NR/2025/32004/A/97338,NR/2025/32262/A/96895,NR/2025/32559/A/97334,NR/2025/32610/A/97333,NR/2025/29992/A/96998,NR/2025/33696/C,NR/2025/33721/C,NR/2025/33686/C,NR/2025/33697/C,NR/2025/32556/A/97335,NR/2025/32554/A/97295,NR/2025/33698/C,NR/2025/31421/A/97349,NR/2025/33689/C,NR/2025/33712/C,NR/2025/32598/A/97267,NR/2025/33233/A/97365,NR/2025/33720/C,NR/2025/31041/A/97302,NR/2025/31046/A/97301,NR/2025/31042/A/97456,NR/2025/31047/A/97457,NR/2025/32455/A/97386,NR/2025/32535/A/97282,NR/2025/32534/A/97279,NR/2025/32652/A/97045,NR/2025/32857/A/97038,NR/2025/32599/A/97037,NR/2025/32534/A/97280,NR/2025/32532/A/97277,NR/2025/32653/A/97044,NR/2025/32535/A/97281,GNARE/NR/2024/12/20/3668,NR/2025/32532/A/97278,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/4125,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6187,NR/2025/32375/A/97366,NR/2025/32397/A/96864,NR/2025/33469/A/96993,NR/2025/29440/A/96851,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/2025/33606/C,Total
3,00:30-00:45,105.98,54.2,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,96.35,96.35,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,8.67,12.53,0.87,26.93,26.93,0,1165.56

4,00:45-01:00,105.98,54.2,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,96.35,96.35,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,8.67,12.53,0.87,26.93,26.93,0,1165.56

5,01:00-01:15,105.98,54.2,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,96.35,96.35,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,8.67,12.53,0.63,26.93,26.93,0,1165.3200000000002

6,01:15-01:30,105.98,54.2,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,96.35,96.35,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,8.67,12.53,0.63,26.93,26.93,0,1165.3200000000002

7,01:30-01:45,105.98,54.2,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,96.35,96.35,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,8.67,12.53,0.63,26.93,26.93,0,1165.3200000000002

8,01:45-02:00,105.98,54.2,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,96.35,96.35,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,8.67,12.53,0.63,26.93,26.93,0,1165.3200000000002

9,02:00-02:15,105.98,54.2,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,96.35,96.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,8.67,12.53,0.63,26.93,26.93,0,1165.3200000000002

10,02:15-02:30,105.98,54.2,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,96.35,96.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,8.67,12.53,0.63,26.93,26.93,0,1165.3200000000002

11,02:30-02:45,105.98,54.2,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,96.35,96.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,8.67,12.53,0.63,26.93,26.93,0,1165.3200000000002

12,02:45-03:00,105.98,54.2,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,96.35,96.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,8.67,12.53,0.63,26.93,26.93,0,1165.3200000000002

13,03:00-03:15,76.71,54.2,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,96.35,96.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,8.67,12.53,0.53,26.93,26.93,0,1135.95

14,03:15-03:30,76.71,54.2,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,96.35,96.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,8.67,12.53,0.53,26.93,26.93,0,1135.95

15,03:30-03:45,76.71,54.2,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,96.35,96.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,8.67,12.53,0.53,26.93,26.93,0,1135.95

16,03:45-04:00,76.71,54.2,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,96.35,96.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,8.67,12.53,0.53,26.93,26.93,0,1135.95

17,04:00-04:15,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,8.67,12.53,0.53,26.93,26.93,0,889.0499999999995

18,04:15-04:30,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,8.67,12.53,0.53,26.93,26.93,0,889.0499999999995

19,04:30-04:45,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,8.67,12.53,0.53,26.93,26.93,0,889.0499999999995

20,04:45-05:00,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,8.67,12.53,0.53,26.93,26.93,0,889.0499999999995

21,05:00-05:15,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,8.67,12.53,0.53,26.93,26.93,0,889.0499999999995

22,05:15-05:30,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,8.67,12.53,0.53,26.93,26.93,0,889.0499999999995

23,05:30-05:45,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,8.67,11.56,0.53,26.93,26.93,0,888.0799999999995

24,05:45-06:00,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,8.67,11.56,0.53,26.93,26.93,0,888.3899999999994

25,06:00-06:15,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.19,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,0,11.56,0.82,26.93,26.93,0,881.8899999999996

26,06:15-06:30,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2.07,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,0,11.56,0.82,26.93,26.93,0,884.7699999999996

27,06:30-06:45,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0.84,33.72,14.45,0,0,0,0,0,0,0,0.08,0,0,7,0,0.15,0,0.04,4.83,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,0,11.56,0.82,26.93,26.93,0,892.6399999999996

28,06:45-07:00,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,1.38,33.72,14.45,0,0,0,0,0,0,0,0.15,0,0,12,0,0.3,0,0.08,6.99,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,0,11.56,0.82,26.93,26.93,0,900.5999999999996

29,07:00-07:15,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,1.98,33.72,14.45,0,0,0,0,0,0,0,0.19,0,0,17,0,0.39,0,0.19,10.61,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,0,11.56,0.87,26.93,26.93,0,910.1099999999997

30,07:15-07:30,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,2.98,33.72,14.45,0,0,0,0,0,0,0,0.19,0,0,25,0,0.39,0,0.19,14.6,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,0,11.56,0.87,26.93,26.93,0,923.0999999999997

31,07:30-07:45,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,3.86,33.72,14.45,0,0,0,0,0,0,0,0.19,0,0,32,0,0.39,0,0.19,18.95,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,0,11.56,0.87,26.93,26.93,0,935.3299999999997

32,07:45-08:00,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,5.26,33.72,14.45,0,0,0,0,0,0,0.06,0.29,0,0,42,0.08,0.48,0,0.19,23.64,0.11,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,0,11.56,0.87,26.93,26.93,0,951.8599999999996

33,08:00-08:15,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,6.2,33.72,14.45,0,0,0,0,0,0,0.18,0.29,1.64,1.16,53,0.21,0.48,0,0.19,29.44,0.27,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,0,11.56,0.96,26.93,26.93,0,972.8999999999996

34,08:15-08:30,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,8.55,33.72,14.45,0,0,0,0,0,0,0.27,0.29,1.64,1.16,63,0.32,0.48,0,0.19,35.4,0.4,20.79,48.18,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,0,11.56,0.96,26.93,26.93,0,991.5399999999995

35,08:30-08:45,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,5.89,33.72,14.45,0,0,0,0,0,0,0.37,0.29,1.64,1.16,77,0.42,0.48,0,0.19,41.44,0.54,20.79,48.18,8.76,12.04,48.18,24.09,8.76,15.51,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.93,26.93,0,1026.6999999999996

36,08:45-09:00,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,5.89,33.72,14.45,0,0,0,0,0,0,0.51,0.29,1.64,1.16,88,0.51,0.48,0,0.19,47.46,0.72,20.79,48.18,8.76,12.04,48.18,24.09,8.76,15.51,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.93,26.93,0,1044.1299999999997

37,09:00-09:15,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,5.89,33.72,14.45,48.18,0,0,0,0,0,0.62,0.29,1.64,1.16,102,0.7,0.48,0,0.19,53.39,0.88,20.79,48.18,8.76,12.04,48.18,24.09,8.76,15.51,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.94,26.94,18.09,1064.5399999999997

38,09:15-09:30,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,6.87,33.72,14.45,48.18,0,0,0,0,0,0.66,0.29,1.64,1.16,112,0.75,0.48,0,0.19,59.19,0.93,20.79,48.18,8.76,12.04,48.18,24.09,8.76,15.51,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.94,26.94,18.09,1081.4599999999996

39,09:30-09:45,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,6.87,33.72,14.45,48.18,0,0,0,0,0,0.37,0.29,1.64,1.16,119,0.42,0.48,0,0.19,68.75,0.53,20.79,48.18,8.76,12.04,48.18,24.09,8.76,15.51,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.94,26.94,18.09,1096.9999999999995

40,09:45-10:00,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,7.84,33.72,14.45,48.18,0,0,0,0,0,0.4,0.29,1.64,1.16,126,0.45,0.48,0,0.19,74.52,0.56,20.79,48.18,8.76,12.04,48.18,24.09,8.76,15.51,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.94,26.94,18.09,1110.8299999999997

41,10:00-10:15,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,7.84,33.72,14.45,48.18,0,0,0,0,0,0.4,0.29,1.64,1.16,154,0.45,0.1,1.45,0.19,78.95,0.57,20.79,48.18,8.76,12.04,48.18,24.09,8.76,15.51,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.94,26.94,18.09,1144.3400000000001

42,10:15-10:30,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,7.84,33.72,14.45,48.18,0,0,0,0,0,0.53,0.29,1.64,1.16,161,0.6,0.39,1.45,0.19,83.16,0.75,20.79,48.18,8.76,12.04,48.18,24.09,8.76,15.51,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.94,26.94,18.09,1156.3

43,10:30-10:45,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,11.55,33.72,14.45,48.18,0,0,0,0,0,0.39,0.29,1.64,1.16,196,0.47,0.48,1.45,0.19,88.87,0.67,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.94,26.94,18.09,1203.6699999999998

44,10:45-11:00,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,12.83,33.72,14.45,48.18,0,0,0,0,0,0.39,0.29,1.64,1.16,196,0.47,0.48,1.45,0.19,92.59,0.67,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.94,26.94,18.09,1208.6699999999998

45,11:00-11:15,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,14.11,33.72,14.45,48.18,0,0,0,0,0,0.39,0.29,1.64,1.16,154,0.47,0.48,1.45,0.19,94.7,0.67,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.94,26.94,18.09,1170.06

46,11:15-11:30,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,15.55,33.72,14.45,48.18,0,0,0,0,0,0.39,0.29,1.64,1.16,154,0.47,0.48,1.45,0.19,96.39,0.67,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.94,26.94,18.09,1173.19

47,11:30-11:45,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,16.93,33.72,14.45,48.18,0,0,0,0,0,0.39,0.29,1.64,1.16,182,0.31,0.48,1.45,0.19,97.34,0.67,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.94,26.94,18.09,1203.36

48,11:45-12:00,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,18.21,33.72,14.45,48.18,0,0,0,0,0,0.39,0.29,1.64,1.16,182,0.31,0.48,1.45,0.19,97.74,0.67,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.94,26.94,18.09,1205.0399999999997

49,12:00-12:15,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,19.4,33.72,14.45,48.18,0,0,0,0,0,0.39,0.29,1.64,1.16,196,0.31,0.48,1.45,0.19,97.31,0.67,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.95,26.95,18.09,1219.8199999999997

50,12:15-12:30,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,19.69,33.72,14.45,48.18,0,0,0,0,0,0.39,0.29,1.64,1.16,196,0.31,0.48,1.45,0.19,96.97,0.67,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.95,26.95,18.09,1219.7699999999998

51,12:30-12:45,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,19.95,33.72,14.45,48.18,0,0,0,0,0,0.39,0.29,1.64,1.16,196,0.31,0.48,1.45,0.19,96.71,0.67,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.95,26.95,18.09,1219.7699999999998

52,12:45-13:00,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,20.23,33.72,14.45,48.18,0,0,0,0,0,0.39,0.29,1.64,1.16,196,0.31,0.48,1.45,0.19,96.59,0.67,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.95,26.95,18.09,1219.9299999999998

53,13:00-13:15,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,8.83,33.72,14.45,48.18,0,0,0,0,0,0.39,0.29,1.64,1.16,196,0.31,0.48,1.45,0.19,96.21,0.67,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.95,26.95,18.09,1208.1499999999999

54,13:15-13:30,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,8.83,33.72,14.45,48.18,0,0,0,0,0,0.39,0.29,1.64,1.16,196,0.31,0.48,1.45,0.19,95.93,0.67,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.95,26.95,18.09,1207.87

