,,HIMACHAL PRADESH,UTTAR PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,NA,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,ANDHRA PRADESH,MEGHALAYA,DELHI,NA,MEGHALAYA,MEGHALAYA,HIMACHAL PRADESH,UTTARAKHAND,MAHARASHTRA,JAMMU AND KASHMIR,UTTAR PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,GOA,NA,NA,
,,HP,BCMLB001,BSHP,HP,TANGEDCO,JPNIGRIE_JNSTPP,Meghalaya_Ben,BSHP,HP,TANGEDCO,ITCWIND,Meghalaya_Ben,BYPL,KAMENG,Meghalaya_Ben,Meghalaya_Ben,BSHP,UTTARAKHAND,LMEL MSEB,SAPU1234,LAPL-UP,GBHHPL,DIKCHU,JPL-2,CHANJUII,JPNIGRIE_JNSTPP,HP,SKS Raigarh,Teesta_III,BSHP,KAMENG,GOA_Beneficiary,SOLAPUR_SOLAR,RSRPL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,NDMC,BMDRC,BRPL,BYPL,BRPL,BYPL,JHPL-DL,BYPL,BRPL,ITCLH,BYPL,AMBASTL,TPDDL,BYPL,BYPL,MHIL,BYPL,BYPL,MES (Delhi),BYPL,DIAPL,NDMC,BRPL,TPDDL,BRPL,BRPL,NDMC,BRPL,MAX-HPTL,BRPL,BRPL,MES (Delhi),NDMC,
,,North-North,North-North,North-North,North-North,South-West-North,West-North,North East-East-North,North-North,North-North,South-East-North,South-West-North,North East-East-North,North-North,North East-East-North,North East-East-North,North East-East-North,North-North,North-North,West-North,North-North,North-North,North-North,East-North,West-North,North-North,West-North,North-North,West-North,East-North,North-North,North East-East-North,West-North,West-North,North-North,
23,05:30-05:45,77.900000,0.000000,0.930000,95.800000,0.000000,85.140000,63.140000,0.970000,33.390000,0.000000,0.530000,0.000000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,5.040000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,0,0,1004.95

24,05:45-06:00,77.900000,0.000000,0.930000,95.800000,0.000000,85.140000,63.140000,0.970000,33.390000,0.000000,0.530000,0.000000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,5.040000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,0,0,1004.95

25,06:00-06:15,0.000000,0.000000,0.930000,95.800000,0.000000,85.140000,63.140000,0.970000,0.000000,0.000000,0.680000,0.000000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,5.040000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,0,0,893.81

26,06:15-06:30,0.000000,0.000000,0.930000,95.800000,0.000000,85.140000,63.140000,0.970000,0.000000,0.000000,0.680000,0.000000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,5.040000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,0,0,893.81

27,06:30-06:45,0.000000,0.000000,0.930000,95.800000,0.000000,85.140000,63.140000,0.970000,0.000000,0.000000,0.680000,0.000000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,5.040000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,0.42,0,894.23

28,06:45-07:00,0.000000,0.000000,0.930000,95.800000,0.000000,85.140000,63.140000,0.970000,0.000000,0.000000,0.680000,0.000000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,5.040000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,0.69,0,894.5

29,07:00-07:15,0.000000,0.000000,0.930000,95.800000,0.000000,85.140000,63.140000,0.970000,0.000000,0.000000,0.680000,0.000000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,5.040000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,1.03,0,894.84

30,07:15-07:30,0.000000,0.000000,0.930000,95.800000,0.000000,85.140000,63.140000,0.970000,0.000000,0.000000,0.680000,0.000000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,5.040000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,1.35,0,895.16

31,07:30-07:45,0.000000,0.000000,0.930000,95.800000,0.000000,85.140000,63.140000,0.970000,0.000000,0.000000,0.680000,0.000000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,5.040000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,2,0,895.81

32,07:45:08:00,0.000000,0.000000,0.930000,95.800000,0.000000,85.140000,63.140000,0.970000,0.000000,0.000000,0.680000,0.000000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,5.040000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,2.59,0,896.4

33,08:00-08:15,0.000000,0.000000,0.930000,95.800000,0.000000,85.140000,63.140000,0.970000,0.000000,0.000000,0.970000,0.000000,0.000000,147.820000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,5.040000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,2.27,0,901.94

34,08:15-08:30,0.000000,0.000000,0.930000,95.800000,0.000000,85.140000,63.140000,0.970000,0.000000,0.000000,0.970000,0.000000,0.000000,147.820000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,6.060000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,2.79,0,903.48

35,08:30-08:45,0.000000,0.000000,0.930000,95.800000,0.000000,85.140000,63.140000,0.970000,0.000000,0.000000,0.970000,0.000000,0.000000,147.820000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,6.060000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,4.02,0,904.71

36,08:45:09:00,0.000000,0.000000,0.930000,95.800000,0.000000,85.140000,63.140000,0.970000,0.000000,0.000000,0.970000,0.000000,0.000000,147.820000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,6.060000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,4.23,0,904.92

37,09:00:09:15,0.000000,6.770000,0.930000,95.800000,0.000000,85.140000,63.140000,0.970000,0.000000,0.000000,0.970000,0.000000,0.000000,147.820000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,6.060000,29.030000,108.870000,16.400000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,4.08,17.42,955.22

38,09:15-09:30,0.000000,6.770000,0.930000,95.800000,0.000000,85.140000,63.140000,0.970000,0.000000,0.000000,0.970000,0.000000,0.000000,147.820000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,16.400000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,4.18,17.42,957.33

39,09:30-09:45,0.000000,6.770000,0.930000,95.800000,0.000000,85.140000,63.140000,0.970000,0.000000,0.000000,0.970000,0.000000,0.000000,147.820000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,16.400000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,3.15,17.42,956.3

40,09:45-10:00,0.000000,6.770000,0.930000,95.800000,0.000000,85.140000,63.140000,0.970000,0.000000,0.000000,0.970000,0.000000,0.000000,147.820000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,16.400000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,3.22,17.42,956.37

41,10:00-10:15,0.000000,6.770000,0.930000,95.800000,90.960000,85.140000,63.140000,0.970000,0.000000,0.000000,0.970000,0.000000,0.000000,147.820000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,16.400000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,1.92,17.42,1046.03

42,10:15-10:30,0.000000,6.770000,0.930000,95.800000,90.960000,85.140000,63.140000,0.970000,0.000000,0.000000,0.970000,0.000000,0.000000,147.820000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,16.400000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,1.96,17.42,1046.07

43,10:30-10:45,0.000000,6.770000,0.930000,95.800000,90.960000,85.140000,63.140000,0.970000,0.000000,0.000000,0.970000,0.000000,0.000000,147.820000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,16.400000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,2.92,17.42,1047.03

44,10:45-11:00,0.000000,6.770000,0.930000,95.800000,90.960000,85.140000,63.140000,0.970000,0.000000,0.000000,0.970000,0.000000,0.000000,147.820000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,16.400000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,5.07,17.42,1049.18

45,11:00-11:15,0.000000,6.770000,0.930000,95.800000,90.960000,85.140000,63.140000,0.970000,0.000000,0.000000,0.970000,0.000000,18.000000,147.820000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,16.400000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,4.85,17.42,1066.96

46,11:15-11:30,0.000000,6.770000,0.930000,95.800000,90.960000,85.140000,63.140000,0.970000,0.000000,0.000000,0.970000,0.000000,18.000000,147.820000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,16.400000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,3.57,17.42,1065.68

