Time,Block,NR/2023/11956/F,NR/2023/10944/A,NR/2023/10344/A,NR/2023/10223/A,NR/2023/12656/F,NR/2023/12943/C,NR/2023/11643/A,NR/2023/11962/F,NR/2023/11342/A,NR/2023/11476/A,NR/2023/10434/A,NR/2023/10229/A,NR/2023/11952/F,NR/2023/11961/F,NR/2023/12880/D,NR/2023/11958/F,NR/2023/11284/A,NR/2023/11640/A,NR/2023/12881/D,NR/2023/10487/A,NR/2023/10611/A,NR/2023/11960/F,NR/2023/11941/F,NR/2023/12890/C,NR/2023/12883/D,NR/2023/11947/F,NR/2023/12902/C,NR/2023/10236/A,NR/2023/11862/F,NR/2023/10613/A,NR/2023/12882/D,NR/2023/11959/F,NR/2023/11642/A,NR/2023/11963/F,NR/2023/11955/F,NR/2023/11957/F,NR/2023/11330/A,NR/2023/12889/C,NR/2023/10173/A,Total
6,01:15-01:30,0.510000,27.840000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,23.150000,0,41.570000,9.960000,0.930000,33.840000,31.600000,0,6.770000,16.160000,236.680000,2.900000,12.670000,78.310000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,1034.7

7,01:30-01:45,0.510000,27.840000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,23.150000,0,41.570000,9.960000,0.930000,33.840000,31.600000,0,6.770000,16.160000,236.680000,2.900000,12.670000,78.310000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,1034.7

8,01:45-02:00,0.510000,27.840000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,23.150000,0,41.570000,9.960000,0.930000,33.840000,31.600000,0,6.770000,16.160000,236.680000,2.900000,12.670000,78.310000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,1034.7

9,02:00-02:15,0.510000,27.840000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,23.150000,0,41.570000,9.960000,0.930000,33.840000,31.600000,0,6.770000,16.060000,236.680000,2.900000,12.670000,78.310000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,1034.6

10,02:15-02:30,0.510000,27.840000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,23.150000,0,41.570000,9.960000,0.930000,33.840000,31.600000,0,6.770000,16.060000,236.680000,2.900000,12.670000,78.310000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,1034.6

11,02:30-02:45,0.510000,27.840000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,23.150000,0,41.570000,9.960000,0.930000,33.840000,31.600000,0,6.770000,16.060000,236.680000,2.900000,12.670000,78.310000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,1034.6

12,02:45-03:00,0.510000,27.840000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,23.150000,0,41.570000,9.960000,0.930000,33.840000,31.600000,0,6.770000,16.060000,236.680000,2.900000,12.670000,78.310000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,1034.6

13,03:00-03:15,0.510000,27.840000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,30.570000,0,6.770000,16.060000,236.680000,2.900000,12.670000,78.310000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,973.94

14,03:15-03:30,0.510000,27.840000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,30.570000,0,6.770000,16.060000,236.680000,2.900000,12.670000,78.310000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,973.94

15,03:30-03:45,0.510000,27.840000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,30.570000,0,6.770000,16.060000,236.680000,2.900000,12.670000,78.310000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,973.94

16,03:45-04:00,0.510000,27.840000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,30.570000,0,6.770000,16.060000,236.680000,2.900000,12.670000,78.310000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,973.94

17,04:00-04:15,0.510000,27.840000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,30.570000,0,6.770000,15.970000,236.680000,2.900000,12.670000,78.310000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,973.85

18,04:15-04:30,0.510000,27.840000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,30.570000,0,6.770000,15.970000,236.680000,2.900000,12.670000,78.310000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,973.85

19,04:30-04:45,0.510000,27.840000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,30.570000,0,6.770000,15.970000,236.680000,2.900000,12.670000,78.310000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,973.85

20,04:45-05:00,0.510000,27.840000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,30.570000,0,6.770000,15.970000,236.680000,2.900000,12.670000,78.310000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,973.85

21,05:00-05:15,0.510000,27.840000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,30.570000,0,6.770000,15.870000,236.680000,2.900000,0.000000,78.310000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,0.000000,885.55

22,05:15-05:30,0.510000,27.840000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,30.570000,0,6.770000,15.870000,236.680000,2.900000,0.000000,78.310000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,0.000000,885.55

23,05:30-05:45,0.510000,27.840000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,30.570000,0,6.770000,15.870000,236.680000,2.900000,0.000000,78.310000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,0.000000,885.55

24,05:45-06:00,0.510000,27.840000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,30.570000,0,6.770000,15.870000,236.680000,2.900000,0.000000,78.310000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,0.000000,885.55

25,06:00-06:15,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,30.570000,0,6.770000,15.780000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,0.000000,795.45

26,06:15-06:30,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,0,0.820000,33.840000,0.000000,3.5,41.570000,9.960000,0.930000,33.840000,30.570000,1.5,6.770000,15.780000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,0.000000,800.45

27,06:30-06:45,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,0,0.820000,33.840000,0.000000,7,41.570000,9.960000,0.930000,33.840000,30.570000,3,6.770000,15.780000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,0.000000,805.45

28,06:45-07:00,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,0.36,0.820000,33.840000,0.000000,14,41.570000,9.960000,0.930000,33.840000,30.570000,6,6.770000,15.780000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,0.000000,815.81

29,07:00-07:15,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,0.82,0.820000,33.840000,0.000000,21,41.570000,9.960000,0.930000,33.840000,28.530000,9,6.770000,15.690000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,0.000000,824.14

30,07:15-07:30,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,1.04,0.820000,33.840000,0.000000,31.5,41.570000,9.960000,0.930000,33.840000,28.530000,13.5,6.770000,15.690000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,0.000000,839.36

31,07:30-07:45,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,1.57,0.820000,33.840000,0.000000,45.5,41.570000,9.960000,0.930000,33.840000,28.530000,19.5,6.770000,15.690000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,0.000000,859.89

32,07:45:08:00,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,2.42,0.820000,33.840000,0.000000,56,41.570000,9.960000,0.930000,33.840000,28.530000,24,6.770000,15.690000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,0.000000,875.74

33,08:00-08:15,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,2.9,0.820000,33.840000,0.000000,66.5,41.570000,9.960000,0.930000,33.840000,28.530000,28.5,6.770000,15.690000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,0.000000,891.22

34,08:15-08:30,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,3.38,0.820000,33.840000,0.000000,84,41.570000,9.960000,0.930000,33.840000,28.530000,36,6.770000,15.690000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,0.000000,916.7

35,08:30-08:45,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,3.87,0.820000,33.840000,0.000000,98,41.570000,9.960000,0.930000,33.840000,28.530000,42,6.770000,15.690000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,0.000000,937.19

36,08:45:09:00,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,4.35,0.820000,33.840000,0.000000,108.5,41.570000,9.960000,0.930000,33.840000,28.530000,46.5,6.770000,15.690000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,0.000000,952.67

37,09:00:09:15,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,4.51,0.820000,33.840000,0.000000,119,41.570000,9.960000,0.930000,33.840000,28.530000,51,6.770000,15.590000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,0.000000,991.9

38,09:15-09:30,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,4.8,0.820000,33.840000,0.000000,128.8,41.570000,9.960000,0.930000,33.840000,28.530000,55.2,6.770000,15.590000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,0.000000,1006.19

39,09:30-09:45,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,4.8,0.820000,33.840000,0.000000,141.4,41.570000,9.960000,0.930000,33.840000,28.530000,60.6,6.770000,15.590000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,0.000000,1024.19

40,09:45-10:00,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,5.03,0.820000,33.840000,0.000000,154,41.570000,9.960000,0.930000,33.840000,28.530000,66,6.770000,15.590000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,0.000000,1042.42

41,10:00-10:15,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,5.12,0.820000,33.840000,0.000000,160.3,41.570000,9.960000,0.930000,33.840000,30.570000,68.7,6.770000,15.510000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,0.000000,1053.47

42,10:15-10:30,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,5.17,0.820000,33.840000,0.000000,168,41.570000,9.960000,0.930000,33.840000,30.570000,72,6.770000,15.510000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,0.000000,1064.52

43,10:30-10:45,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,5.22,0.820000,33.840000,0.000000,175,41.570000,9.960000,0.930000,33.840000,30.570000,75,6.770000,15.510000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,0.000000,1074.57

44,10:45-11:00,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,5.32,0.820000,33.840000,0.000000,177.1,41.570000,9.960000,0.930000,33.840000,30.570000,75.9,6.770000,15.510000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,0.000000,1077.67

45,11:00-11:15,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,5.99,0.820000,33.840000,0.000000,178.5,41.570000,9.960000,0.930000,33.840000,30.570000,76.5,6.770000,15.510000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,0.000000,1080.34

46,11:15-11:30,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,6.74,0.820000,33.840000,0.000000,185.5,41.570000,9.960000,0.930000,33.840000,30.570000,79.5,6.770000,15.510000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,0.000000,1091.09

47,11:30-11:45,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,6.75,0.820000,33.840000,0.000000,60.79,41.570000,9.960000,0.930000,33.840000,30.570000,26.05,6.770000,15.510000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,0.000000,912.94

48,11:45-12:00,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,7.06,0.820000,33.840000,0.000000,60.79,41.570000,9.960000,0.930000,33.840000,30.570000,26.05,6.770000,15.510000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,0.000000,913.25

49,12:00-12:15,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,7.25,0.820000,33.840000,0.000000,60.79,41.570000,9.960000,0.930000,33.840000,30.570000,26.05,6.770000,15.410000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,0.000000,913.34

50,12:15-12:30,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,7.54,0.820000,33.840000,0.000000,60.79,41.570000,9.960000,0.930000,33.840000,30.570000,26.05,6.770000,15.410000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,0.000000,913.63

51,12:30-12:45,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,7.93,0.820000,33.840000,0.000000,56.45,41.570000,9.960000,0.930000,33.840000,30.570000,24.19,6.770000,15.410000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,0.000000,907.82

52,12:45-13:00,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,8.12,0.820000,33.840000,0.000000,56.45,41.570000,9.960000,0.930000,33.840000,30.570000,24.19,6.770000,15.410000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,0.000000,908.01

53,13:00-13:15,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,8.22,0.820000,33.840000,0.000000,56.45,41.570000,9.960000,0.930000,33.840000,30.570000,24.19,6.770000,15.410000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,0.000000,908.11

54,13:15-13:30,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,8.31,0.820000,33.840000,0.000000,56.45,41.570000,9.960000,0.930000,33.840000,30.570000,24.19,6.770000,15.410000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,0.000000,908.2

55,13:30-13:45,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,7.93,0.820000,33.840000,0.000000,56.45,41.570000,9.960000,0.930000,33.840000,30.570000,24.19,6.770000,15.410000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,0.000000,907.82

56,13:45-14:00,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,7.73,0.820000,33.840000,0.000000,56.45,41.570000,9.960000,0.930000,33.840000,30.570000,24.19,6.770000,15.410000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,0.000000,907.62

