,,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,NA,NA,UTTARAKHAND,MEGHALAYA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,ARUNACHAL PRADESH,NA,SIKKIM,TAMIL NADU,HIMACHAL PRADESH,MEGHALAYA,MP,Gujarat,HIMACHAL PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,NA,NA,NA,MEGHALAYA,ANDHRA PRADESH,UTTAR PRADESH,NA,GOA,NA,
,,RSRPL_BKN,HP,HP,Meghalaya_Ben,JPNIGRIE_JNSTPP,SOLAPUR_SOLAR,SEIL,UTTARAKHAND,Meghalaya_Ben,HP,Teesta_III,HP-GOVT,Arunachal_Ben,RKM_POWER,SIKKIM,OPGPGPLU2TN,CHANJUII,Meghalaya_Ben,JP BINA,SUGEN_GUVNL,GBHHPL,KWHEP,Meghalaya_Ben,HP,JHABUA_IPP,SEILP2,SINGOLI,Meghalaya_Ben,ITCWIND,BCMLB001,KAMENG,GOA_Beneficiary,SKS Raigarh,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,NDMC,BRPL,BYPL,BYPL,BRPL,MES (Delhi),BRPL,BYPL,BYPL,BRPL,BRPL,BRPL,NDMC,BRPL,BYPL,BYPL,TPDDL,BYPL,BRPL,BRPL,DIAPL,BRPL,BYPL,BRPL,BRPL,BRPL,BRPL,BYPL,ITCLH,NDMC,TPDDL,BRPL,NDMC,
,,North-North,North-North,North-North,North East-East-North,West-North,West-North,South-West-North,North-North,North East-East-North,North-North,East-North,North-North,North East-East-North,West-East-North,East-North,South-East-North,North-North,North East-East-North,West-North,West-East-North,North-North,North-North,North East-East-North,North-North,West-East-North,South-West-North,North-North,North East-East-North,South-West-North,North-North,North East-East-North,West-North,West-North,
19,04:30-04:45,0,38.390000,50.380000,62.570000,99.330000,0,0.000000,47.980000,19.470000,117.560000,0.000000,140.120000,0.000000,0.000000,0.000000,0.000000,9.620000,22.070000,49.660000,0.000000,5.050000,0.000000,34.550000,77.740000,0.000000,0.000000,40.310000,0.000000,0.580000,0.000000,106.060000,23.990000,62.380000,1007.81

20,04:45-05:00,0,38.390000,50.380000,62.570000,99.330000,0,0.000000,47.980000,19.470000,117.560000,0.000000,143.960000,0.000000,0.000000,0.000000,0.000000,9.620000,22.070000,49.660000,0.000000,5.050000,0.000000,34.550000,77.740000,0.000000,0.000000,40.310000,0.000000,0.580000,0.000000,106.060000,23.990000,62.380000,1011.65

21,05:00-05:15,0,38.390000,50.380000,62.570000,99.330000,0,0.000000,47.980000,19.470000,117.560000,0.000000,125.720000,0.000000,0.000000,0.000000,0.000000,9.620000,22.070000,49.660000,0.000000,5.050000,0.000000,34.550000,77.740000,0.000000,0.000000,40.310000,0.000000,0.580000,0.000000,106.060000,23.990000,62.380000,993.41

22,05:15-05:30,0,38.390000,50.380000,62.570000,99.330000,0,0.000000,47.980000,19.470000,117.560000,0.000000,104.610000,0.000000,0.000000,0.000000,0.000000,9.620000,22.070000,49.660000,0.000000,5.050000,0.000000,34.550000,77.740000,0.000000,0.000000,40.310000,0.000000,0.580000,0.000000,106.060000,23.990000,62.380000,972.3

23,05:30-05:45,0,38.390000,50.380000,62.570000,99.330000,0,0.000000,47.980000,19.470000,117.560000,0.000000,80.610000,0.000000,0.000000,0.000000,0.000000,9.620000,22.070000,49.660000,0.000000,5.050000,0.000000,34.550000,77.740000,0.000000,0.000000,40.310000,0.000000,0.580000,0.000000,106.060000,23.990000,62.380000,948.3

