Block,Time,SALAL,DULHASTI,UNCHAHAR4,DADRI_GF,URI,DADRT2,KOLDAM,AURY_CRF,UNCHAHAR3,TEHRI,ANTA_RF,RAMPUR,CHAMERA2,RIHAND2,TANDA2,KOTESHWR,NAPP,ANTA_CRF,AURY_RF,KISHANGANGA,RAPPB,CHAMERA1,RIHAND1,PARBATI3,CHAMERA3,JHAJJAR,UNCHAHAR1,UNCHAHAR2,ANTA_GF,DHAULIGNGA,DADRI_LF,SINGRAULI_HYDRO,BSIUL,NJPC,RIHAND3,AURY_GF,SINGRAULI,RAPPC,AURY_LF,ANTA_LF,TANAKPUR,DADRI_CRF,URI2,DADRI_RF,SEWA2,BRBCL,TALA,FSTPP I & II,SASAN,KHSTPP-II,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
19,04:30-04:45,60.683591,38.152355,2.348602,0.000000,33.631870,371.249574,0.000000,0.000000,21.424747,0.000000,0.000000,0.834066,31.269456,120.287898,4.267420,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,40.761408,83.660324,0.000000,22.434239,513.983863,17.544645,17.400837,0.000000,0.000000,0.000000,0.754018,18.918797,21.553150,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.743313,0.000000,33.998240,0.000000,18.182077,16.501513,0.000000,16.135677,404.992467,142.938927,44.872550,0,0,0,0,0

20,04:45-05:00,60.683591,38.152355,2.348602,0.000000,33.631870,371.249574,0.000000,0.000000,21.424747,0.000000,0.000000,0.834066,31.269456,120.287898,4.267420,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,40.761408,83.660324,0.000000,22.434239,526.685174,17.544645,17.400837,0.000000,0.000000,0.000000,0.754018,18.918797,21.553150,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.743313,0.000000,33.998240,0.000000,18.182077,18.740770,0.000000,16.135677,404.992467,142.938927,44.872550,0,0,0,0,0

21,05:00-05:15,60.683591,38.152355,2.348602,0.000000,33.631870,366.530900,0.000000,0.000000,17.947248,0.000000,0.000000,0.983006,31.269456,120.287898,4.267420,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,40.761408,83.660324,0.000000,22.434239,438.137498,14.637349,14.575454,0.000000,10.501598,0.000000,0.754018,18.918797,25.648249,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.743313,0.000000,33.998240,0.000000,18.182077,19.341973,0.000000,16.135677,404.992467,142.938927,44.872550,0,0,0,0,0

22,05:15-05:30,60.683591,38.152355,2.348602,0.000000,33.631870,369.325045,0.000000,0.000000,21.424747,0.000000,0.000000,0.983006,31.269456,120.287898,4.267420,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,40.761408,83.660324,0.000000,22.434239,521.606205,17.544645,17.400837,0.000000,10.501598,0.000000,0.754018,18.918797,25.648249,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.743313,0.000000,33.998240,0.000000,18.182077,19.341973,0.000000,16.135677,404.992467,142.938927,44.872550,0,0,0,0,0

23,05:30-05:45,60.683591,38.152355,2.348602,0.000000,33.631870,368.283865,0.000000,0.000000,21.424747,0.000000,0.000000,0.983006,31.269456,120.287898,4.267420,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,40.761408,83.660324,0.000000,22.434239,496.163498,17.544645,17.400837,0.000000,10.501598,0.000000,0.754018,18.918797,25.648249,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,4.088222,0.000000,33.998240,0.000000,18.182077,19.341973,0.000000,16.135677,404.992467,142.938927,44.872550,0,0,0,0,0

24,05:45-06:00,60.683591,38.152355,2.348602,0.000000,33.631870,369.325045,0.000000,0.000000,21.424747,0.000000,0.000000,0.983006,31.269456,120.287898,4.267420,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,40.761408,83.660324,0.000000,22.434239,526.685174,17.544645,17.400837,0.000000,10.501598,0.000000,0.754018,18.918797,25.648249,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,4.088222,0.000000,33.998240,0.000000,18.182077,19.341973,0.000000,16.135677,404.992467,142.938927,44.872550,0,0,0,0,0

25,06:00-06:15,60.683591,38.152355,2.348602,0.000000,33.631870,369.325045,0.000000,0.000000,21.424747,0.000000,0.000000,0.983006,31.269456,120.287898,4.267420,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,40.761408,83.660324,3.688875,22.434239,526.685174,17.544645,17.400837,0.000000,10.501598,0.000000,0.754018,18.918797,25.648249,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,3.592680,0.000000,33.998240,0.000000,18.182077,19.341973,0.000000,16.135677,404.992467,142.938927,44.872550,0,0,0,0,0

26,06:15-06:30,60.683591,38.152355,2.348602,0.000000,33.631870,369.325045,0.000000,0.000000,18.808258,0.000000,0.000000,0.983006,31.269456,120.287898,4.267420,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,40.761408,83.660324,5.902200,22.434239,497.322858,15.086180,15.095754,0.000000,10.501598,0.000000,0.754018,18.918797,25.648249,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.000000,0.000000,33.998240,0.000000,18.182077,19.341973,0.000000,16.135677,404.992467,142.938927,44.872550,0,0,0,0,0

27,06:30-06:45,60.683591,38.152355,2.348602,0.000000,33.631870,428.186273,0.000000,0.000000,20.796785,0.000000,0.000000,0.983006,31.269456,120.287898,4.267420,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,40.761408,83.660324,37.903927,11.217119,526.685174,17.529658,17.400837,0.000000,10.501598,0.000000,0.754018,18.918797,25.648249,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.000000,0.000000,33.998240,0.000000,18.182077,19.341973,0.000000,16.135677,404.992467,142.938927,44.872550,0,0,0,0,0

28,06:45-07:00,60.683591,38.152355,2.348602,0.000000,33.631870,439.066688,0.000000,0.000000,17.908564,0.000000,0.000000,0.983006,31.269456,120.287898,4.267420,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,40.761408,83.660324,37.903927,11.217119,438.137498,14.637349,14.575454,0.000000,10.045007,0.000000,0.754018,18.918797,25.648249,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.000000,0.000000,33.998240,0.000000,18.182077,19.341973,0.000000,16.135677,404.992467,142.938927,44.872550,0,0,0,0,0

29,07:00-07:15,60.683591,38.152355,2.348602,0.000000,33.631870,393.801397,0.000000,0.000000,21.424747,0.000000,0.000000,0.983006,31.269456,120.287898,4.516007,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,40.761408,83.660324,37.903927,11.217119,358.055158,17.544645,17.400837,0.000000,10.501598,0.000000,0.754018,18.918797,25.648249,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.000000,0.000000,33.998240,0.000000,18.182077,19.341973,0.000000,16.135677,404.992467,114.589938,36.006197,0,0,0,0,0

30,07:15-07:30,60.683591,38.152355,2.348602,0.000000,39.504101,367.316765,0.000000,0.000000,21.424747,0.000000,0.000000,0.983006,31.269456,120.287898,5.181808,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,40.761408,83.660324,37.903927,11.217119,357.827000,17.544645,17.400837,0.000000,10.501598,0.000000,0.754018,18.918797,25.648249,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.000000,0.000000,33.998240,0.000000,18.182077,19.341973,0.000000,16.135677,404.992467,114.589938,36.006197,0,0,0,0,0

31,07:30-07:45,60.683591,38.152355,2.348602,0.000000,39.504101,367.316765,0.000000,0.000000,17.744448,0.000000,0.000000,0.983006,31.269456,120.287898,5.181808,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,40.761408,83.660324,37.903927,11.217119,357.827000,15.162213,17.400837,0.000000,10.501598,0.000000,0.754018,18.918797,25.648249,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.000000,0.000000,33.998240,0.000000,18.182077,19.341973,0.000000,16.135677,404.992467,114.589938,36.006197,0,0,0,0,0

