Time,Block,NR/2023/12168/A,NR/2023/15057/F,NR/2023/12592/A,NR/2023/15309/F,NR/2023/14746/A,NR/2023/16169/C,NR/2023/16176/C,NR/2023/14895/A,NR/2023/15402/F,NR/2023/16170/C,NR/2023/16193/C,NR/2023/12431/A,NR/2023/16157/C,NR/2023/12591/A,NR/2023/16174/C,NR/2023/13862/A,NR/2023/13635/A,NR/2023/12167/A,NR/2023/16154/C,NR/2023/16168/C,NR/2023/14737/A,NR/2023/16152/D,NR/2023/15937/F,NR/2023/14898/A,NR/2023/12053/A,NR/2023/16167/C,NR/2023/12052/A,NR/2023/14745/A,NR/2023/12422/A,ER/2023/10074/C,NR/2023/12347/A,NR/2023/16156/C,WR/2023/18197/C,NR/2023/12148/A,NR/2023/16166/C,NR/2023/16155/C,NR/2023/16172/C,Total
12,02:45-03:00,46.620000,0.580000,100.120000,4.840000,85.990000,0.000000,62.870000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,23.150000,25.030000,24.180000,8.090000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.310000,63.120000,24.180000,36.850000,0.000000,98.660000,0.000000,83.000000,22.250000,0.000000,0.000000,0,1464.71

13,03:00-03:15,46.620000,0.530000,100.120000,4.840000,85.990000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,8.090000,96.730000,62.870000,0,193.460000,77.380000,0.000000,17.310000,63.120000,24.180000,36.850000,0.000000,98.660000,0.000000,33.000000,22.250000,0.000000,0.000000,0,1292.14

14,03:15-03:30,46.620000,0.530000,100.120000,4.840000,85.990000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,8.090000,96.730000,62.870000,0,193.460000,77.380000,0.000000,17.310000,63.120000,24.180000,36.850000,0.000000,98.660000,0.000000,33.000000,22.250000,0.000000,0.000000,0,1292.14

15,03:30-03:45,46.620000,0.530000,100.120000,4.840000,85.990000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,8.090000,96.730000,62.870000,0,193.460000,77.380000,0.000000,17.310000,63.120000,24.180000,36.850000,0.000000,98.660000,0.000000,33.000000,22.250000,0.000000,0.000000,0,1292.14

16,03:45-04:00,46.620000,0.530000,100.120000,4.840000,85.990000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,8.090000,96.730000,62.870000,0,193.460000,77.380000,0.000000,17.310000,63.120000,24.180000,36.850000,0.000000,98.660000,0.000000,33.000000,22.250000,0.000000,0.000000,0,1292.14

17,04:00-04:15,46.620000,0.530000,100.120000,4.840000,85.990000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,8.090000,96.730000,62.870000,0,193.460000,77.380000,0.000000,17.220000,63.120000,24.180000,36.850000,0.000000,98.660000,0.000000,33.000000,22.250000,0.000000,0.000000,0,1292.05

18,04:15-04:30,46.620000,0.530000,100.120000,4.840000,85.990000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,8.090000,96.730000,62.870000,0,193.460000,77.380000,0.000000,17.220000,63.120000,24.180000,36.850000,0.000000,98.660000,0.000000,33.000000,22.250000,0.000000,0.000000,0,1292.05

19,04:30-04:45,46.620000,0.530000,100.120000,4.840000,85.990000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,8.090000,96.730000,62.870000,0,193.460000,77.380000,0.000000,17.220000,63.120000,24.180000,36.850000,0.000000,98.660000,0.000000,33.000000,22.250000,0.000000,0.000000,0,1292.05

20,04:45-05:00,46.620000,0.530000,100.120000,4.840000,85.990000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,6.060000,96.730000,62.870000,0,193.460000,77.380000,0.000000,17.220000,63.120000,24.180000,36.850000,0.000000,98.660000,0.000000,33.000000,22.250000,0.000000,0.000000,0,1290.02

21,05:00-05:15,46.620000,0.530000,100.120000,4.840000,85.990000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,6.060000,96.730000,62.870000,0,193.460000,77.380000,0.000000,17.130000,63.120000,24.180000,36.850000,0.000000,0.000000,0.000000,33.000000,22.250000,0.000000,0.000000,0,1191.27

22,05:15-05:30,46.620000,0.530000,100.120000,4.840000,85.990000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,6.060000,96.730000,62.870000,0,193.460000,77.380000,0.000000,17.130000,63.120000,24.180000,36.850000,0.000000,0.000000,0.000000,33.000000,22.250000,0.000000,0.000000,0,1191.27

23,05:30-05:45,46.620000,0.530000,100.120000,4.840000,85.990000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,6.060000,96.730000,62.870000,0,193.460000,77.380000,0.000000,17.130000,63.120000,24.180000,36.850000,0.000000,0.000000,0.000000,33.000000,22.250000,0.000000,0.000000,0,1191.27

24,05:45-06:00,46.620000,0.530000,100.120000,4.840000,85.990000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,6.060000,96.730000,62.870000,0,193.460000,77.380000,0.000000,17.130000,63.120000,24.180000,36.850000,0.000000,0.000000,0.000000,33.000000,22.250000,0.000000,0.000000,0,1191.27

25,06:00-06:15,46.620000,0.680000,100.120000,4.840000,0.000000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,6.060000,96.730000,62.870000,0,193.460000,77.380000,0.000000,17.030000,63.120000,24.180000,0.000000,0.000000,0.000000,0.000000,48.000000,22.250000,0.000000,0.000000,0,1083.48

26,06:15-06:30,46.620000,0.680000,100.120000,4.840000,0.000000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,6.060000,96.730000,62.870000,0,193.460000,77.380000,0.000000,17.030000,63.120000,24.180000,0.000000,0.000000,0.000000,0.000000,48.000000,22.250000,0.000000,0.000000,0,1083.48

27,06:30-06:45,46.620000,0.680000,100.120000,4.840000,0.000000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,6.060000,96.730000,62.870000,0.42,193.460000,77.380000,0.000000,17.030000,63.120000,24.180000,0.000000,0.000000,0.000000,0.000000,48.000000,22.250000,0.000000,0.000000,0,1083.9

28,06:45-07:00,46.620000,0.680000,100.120000,4.840000,0.000000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,6.060000,96.730000,62.870000,0.69,193.460000,77.380000,0.000000,17.030000,63.120000,24.180000,0.000000,0.000000,0.000000,0.000000,48.000000,22.250000,0.000000,0.000000,0,1084.17

29,07:00-07:15,46.620000,0.680000,100.120000,4.840000,0.000000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,6.060000,96.730000,62.870000,1.03,193.460000,77.380000,0.000000,16.950000,63.120000,24.180000,0.000000,0.000000,0.000000,0.000000,0.000000,22.250000,0.000000,0.000000,0,1036.43

30,07:15-07:30,46.620000,0.680000,100.120000,4.840000,0.000000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,6.060000,96.730000,62.870000,1.35,193.460000,77.380000,0.000000,16.950000,63.120000,24.180000,0.000000,0.000000,0.000000,0.000000,0.000000,22.250000,0.000000,0.000000,0,1036.75

31,07:30-07:45,46.620000,0.680000,100.120000,4.840000,0.000000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,6.060000,96.730000,62.870000,2,193.460000,77.380000,0.000000,16.950000,63.120000,24.180000,0.000000,0.000000,0.000000,0.000000,0.000000,22.250000,0.000000,0.000000,0,1037.4

32,07:45:08:00,46.620000,0.680000,100.120000,4.840000,0.000000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,6.060000,96.730000,62.870000,2.59,193.460000,77.380000,0.000000,16.950000,63.120000,24.180000,0.000000,0.000000,0.000000,0.000000,0.000000,22.250000,0.000000,0.000000,0,1037.99

33,08:00-08:15,46.620000,0.970000,100.120000,4.840000,0.000000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,6.060000,96.730000,62.870000,2.27,193.460000,77.380000,0.000000,16.850000,63.120000,24.180000,0.000000,0.000000,0.000000,0.000000,0.000000,22.250000,0.000000,38.690000,0,1076.55

34,08:15-08:30,46.620000,0.970000,100.120000,4.840000,0.000000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,6.060000,96.730000,62.870000,2.79,193.460000,77.380000,0.000000,16.850000,63.120000,24.180000,0.000000,0.000000,0.000000,0.000000,0.000000,22.250000,0.000000,38.690000,0,1077.07

35,08:30-08:45,46.620000,0.970000,100.120000,4.840000,0.000000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,6.060000,96.730000,62.870000,4.01,193.460000,77.380000,0.000000,16.850000,63.120000,24.180000,0.000000,50.000000,0.000000,0.000000,0.000000,22.250000,0.000000,38.690000,0,1128.29

36,08:45:09:00,46.620000,0.970000,100.120000,4.840000,0.000000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,6.060000,96.730000,62.870000,4.23,193.460000,77.380000,0.000000,16.850000,63.120000,24.180000,0.000000,100.000000,0.000000,0.000000,0.000000,22.250000,0.000000,38.690000,0,1178.51

37,09:00:09:15,46.620000,0.970000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,6.060000,96.730000,62.870000,4.08,193.460000,77.380000,0.000000,16.760000,63.120000,24.180000,0.000000,100.000000,0.000000,0.000000,0.000000,22.250000,0.000000,38.690000,7.74,1221.31

38,09:15-09:30,46.620000,0.970000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,4.18,193.460000,77.380000,0.000000,16.760000,63.120000,24.180000,0.000000,100.000000,0.000000,0.000000,0.000000,22.250000,0.000000,38.690000,7.74,1224.45

39,09:30-09:45,46.620000,0.970000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,3.14,193.460000,77.380000,0.000000,16.760000,63.120000,24.180000,0.000000,100.000000,0.000000,0.000000,0.000000,22.250000,0.000000,38.690000,7.74,1223.41

40,09:45-10:00,46.620000,0.970000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,3.22,193.460000,77.380000,0.000000,16.760000,63.120000,24.180000,0.000000,100.000000,0.000000,0.000000,0.000000,22.250000,0.000000,38.690000,7.74,1223.49

41,10:00-10:15,46.620000,0.970000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,1.92,193.460000,77.380000,0.000000,16.670000,63.120000,24.180000,0.000000,100.000000,90.930000,0.000000,0.000000,22.250000,0.000000,38.690000,7.74,1313.03

42,10:15-10:30,46.620000,0.970000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,1.96,193.460000,77.380000,0.000000,16.670000,63.120000,24.180000,0.000000,100.000000,90.930000,0.000000,0.000000,22.250000,0.000000,38.690000,7.74,1313.07

43,10:30-10:45,46.620000,0.970000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,2.92,193.460000,77.380000,0.000000,16.670000,63.120000,24.180000,0.000000,110.000000,90.930000,0.000000,0.000000,22.250000,0.000000,38.690000,7.74,1324.03

44,10:45-11:00,46.620000,0.970000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,5.07,193.460000,77.380000,0.000000,16.670000,63.120000,24.180000,0.000000,110.000000,90.930000,0.000000,0.000000,22.250000,0.000000,38.690000,7.74,1326.18

45,11:00-11:15,46.620000,0.970000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,4.85,193.460000,77.380000,0.000000,16.580000,63.120000,24.180000,0.000000,100.000000,90.930000,0.000000,0.000000,22.250000,0.000000,38.690000,7.74,1315.87

46,11:15-11:30,46.620000,0.970000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,3.57,193.460000,77.380000,0.000000,16.580000,63.120000,24.180000,0.000000,100.000000,90.930000,0.000000,0.000000,22.250000,0.000000,38.690000,7.74,1314.59

47,11:30-11:45,46.620000,0.970000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,5.22,193.460000,77.380000,0.000000,16.580000,63.120000,24.180000,0.000000,100.000000,90.930000,0.000000,0.000000,22.250000,0.000000,38.690000,7.74,1316.24

48,11:45-12:00,46.620000,0.970000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,5.36,193.460000,77.380000,0.000000,16.580000,63.120000,24.180000,0.000000,100.000000,90.930000,0.000000,0.000000,22.250000,0.000000,38.690000,7.74,1316.38

49,12:00-12:15,46.620000,0.970000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,5.24,193.460000,77.380000,0.000000,16.580000,63.120000,24.180000,0.000000,100.000000,90.930000,0.000000,0.000000,22.250000,0.000000,38.690000,7.74,1316.26

50,12:15-12:30,46.620000,0.970000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,3.34,193.460000,77.380000,0.000000,16.580000,63.120000,24.180000,0.000000,100.000000,90.930000,0.000000,0.000000,22.250000,0.000000,38.690000,7.74,1314.36

51,12:30-12:45,46.620000,0.970000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,4.12,193.460000,77.380000,0.000000,16.580000,63.120000,24.180000,0.000000,100.000000,90.930000,0.000000,0.000000,22.250000,0.000000,38.690000,7.74,1315.14

52,12:45-13:00,46.620000,0.970000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,7.35,193.460000,77.380000,0.000000,16.580000,63.120000,24.180000,0.000000,100.000000,90.930000,0.000000,0.000000,22.250000,0.000000,38.690000,7.74,1318.37

53,13:00-13:15,46.620000,0.970000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,8.28,193.460000,77.380000,0.000000,16.580000,63.120000,24.180000,0.000000,100.000000,90.930000,0.000000,0.000000,22.250000,0.000000,38.690000,7.74,1319.3

54,13:15-13:30,46.620000,0.970000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,6.87,193.460000,77.380000,0.000000,16.580000,63.120000,24.180000,0.000000,100.000000,90.930000,0.000000,0.000000,22.250000,0.000000,38.690000,7.74,1317.89

55,13:30-13:45,46.620000,0.970000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,5.83,193.460000,77.380000,0.000000,16.580000,63.120000,24.180000,0.000000,100.000000,90.930000,0.000000,0.000000,22.250000,0.000000,38.690000,7.74,1316.85

56,13:45-14:00,46.620000,0.970000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,7.09,193.460000,77.380000,0.000000,16.580000,63.120000,24.180000,0.000000,100.000000,90.930000,0.000000,0.000000,22.250000,0.000000,38.690000,7.74,1318.11

57,14:00-14:15,46.620000,0.970000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,23.150000,25.030000,24.180000,9.100000,96.730000,62.870000,5.46,193.460000,77.380000,0.000000,16.580000,63.120000,24.180000,0.000000,100.000000,106.400000,0.000000,0.000000,22.250000,0.000000,0.000000,7.74,1316.41

58,14:15-14:30,46.620000,0.970000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,23.150000,25.030000,24.180000,9.100000,96.730000,62.870000,7.88,193.460000,77.380000,0.000000,16.580000,63.120000,24.180000,0.000000,100.000000,106.400000,0.000000,0.000000,22.250000,0.000000,0.000000,7.74,1318.83

59,14:30-14:45,46.620000,0.970000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,23.150000,25.030000,24.180000,9.100000,96.730000,62.870000,7.25,193.460000,77.380000,0.000000,16.580000,63.120000,24.180000,0.000000,50.000000,106.400000,0.000000,0.000000,22.250000,0.000000,0.000000,7.74,1268.2

