Block,Time,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01112023/30112023/HP-09,NR/01102023/15082037/GNA_NR_2012_01,NR/03112023/30112023/HPX-TAMDLY-011123-05147,NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/01102023/05012040/L_NR_2020_02,NR/01112023/30112023/HP-10,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/26122029/SH-06,NR/01102023/31052040/LT-31,NR/03112023/30112023/IEX-231101-05680,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/21112023/30112023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_02,SR/01102023/07102043/L_NR_2018_61,WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,SR/01112023/30112023/KSEB_BYPL-NOV23,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/14082046/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14
39,09:30-09:45,1.530000,86.960000,1.550000,0.000000,0.000000,100.980000,48.200000,271.150000,8.310000,2.180000,203.700000,24.100000,30.850000,8.110000,48.200000,117.620000,25.490000,96.410000,8.110000,260.890000,7.01,26.7,39,25.53,144.62,30.83,0,46,7,23,8.9,25.22,25.22,127.64,30.84,0,8.91,93.515378,26.77,30.83,91,48.27

40,09:45-10:00,1.530000,86.960000,1.550000,0.000000,0.000000,100.980000,48.200000,271.150000,9.320000,2.180000,203.700000,24.100000,30.850000,9.090000,48.200000,117.620000,25.490000,96.410000,9.090000,260.890000,7.01,22.5,43,28.49,144.62,30.67,0,50,7,25,7.5,23.54,23.54,142.45,30.66,0,7.5,100.402094,29.63,30.67,102,52.93

41,10:00-10:15,1.610000,86.960000,1.480000,0.000000,0.000000,100.980000,48.200000,271.150000,10.220000,2.180000,203.700000,24.100000,26.030000,9.970000,48.200000,117.620000,26.030000,96.410000,9.970000,260.890000,12.1,22,46,32.64,144.62,30.67,0,52,7,26,7.33,20.91,20.91,163.23,30.66,0,7.34,106.131297,31.54,30.67,109,56.9

42,10:15-10:30,1.610000,86.960000,1.480000,0.000000,0.000000,100.980000,48.200000,271.150000,10.970000,2.180000,203.700000,24.100000,26.030000,10.710000,48.200000,117.620000,26.030000,96.410000,10.710000,260.890000,12.47,22,51,35.27,144.62,30.67,0,56,7,28,7.33,17.95,17.95,176.33,30.66,0,7.34,111.335242,33.82,30.67,119,60.33

43,10:30-10:45,1.610000,86.960000,1.480000,0.000000,0.000000,100.980000,48.200000,271.150000,11.600000,2.180000,203.700000,24.100000,26.030000,11.330000,48.200000,113.280000,26.030000,96.410000,11.330000,260.890000,13.07,22,54,39.27,144.62,30.87,0,60,7,30,7.33,17.87,17.87,196.34,30.86,0,7.34,108.349053,35.27,30.87,126,63.38

44,10:45-11:00,1.610000,86.960000,1.480000,0.000000,0.000000,100.980000,48.200000,271.150000,12.160000,2.180000,203.700000,24.100000,26.030000,11.860000,48.200000,113.280000,26.030000,96.410000,11.860000,260.890000,9.89,22,58,41.42,144.62,30.7,0,63,7,31,7.33,17.97,17.97,207.07,30.7,0,7.34,112.521936,36.87,30.7,137,65.81

45,11:00-11:15,1.610000,86.960000,1.480000,0.000000,0.000000,100.980000,48.200000,271.150000,11.010000,2.130000,203.700000,24.100000,26.030000,10.740000,48.200000,113.280000,26.030000,96.410000,10.740000,260.890000,9.78,22,52,43.18,144.62,30.37,0,59,7,29,7.33,16.36,16.36,215.87,30.36,0,7.34,115.84857,37.72,30.37,123,67.93

46,11:15-11:30,1.610000,86.960000,1.480000,0.000000,0.000000,100.980000,48.200000,271.150000,11.460000,2.130000,203.700000,24.100000,26.030000,11.180000,48.200000,113.280000,26.030000,96.410000,11.180000,260.890000,9.89,22,54,44.54,144.62,30.37,0,61,7,30,7.33,16.94,16.94,222.69,30.36,0,7.34,118.649946,38.11,30.37,126,69.85

47,11:30-11:45,1.610000,86.960000,1.480000,0.000000,0.000000,100.980000,48.200000,271.150000,11.850000,2.130000,203.700000,25.070000,26.030000,11.570000,48.200000,113.280000,26.030000,96.410000,11.570000,260.890000,9.57,22,57,45.48,144.62,30.37,0,65,7,32,7.33,16.82,16.82,227.4,30.36,0,7.34,120.099269,38.65,30.37,133,71.19

48,11:45-12:00,1.610000,86.960000,1.480000,0.000000,0.000000,100.980000,48.200000,271.150000,12.300000,2.130000,203.700000,25.070000,26.030000,12.000000,48.200000,113.280000,26.030000,96.410000,12.000000,260.890000,7.21,22,58,46.09,144.62,30.37,0,67,7,34,7.33,15.21,15.21,230.46,30.36,0,7.34,120.964972,38.67,30.37,137,72.01

49,12:00-12:15,1.690000,86.960000,1.480000,0.000000,0.000000,100.980000,48.200000,271.150000,12.690000,2.130000,203.700000,25.070000,24.650000,12.390000,48.200000,113.280000,24.650000,96.410000,12.390000,260.890000,7.21,22,63,41.5,144.62,30.37,0,73,7,37,7.33,15.25,15.25,207.5,30.36,0,7.34,120.643981,38.76,30.37,147,72.7

50,12:15-12:30,1.690000,86.960000,1.480000,0.000000,0.000000,100.980000,48.200000,271.150000,13.030000,2.130000,203.700000,25.070000,24.650000,12.710000,48.200000,113.280000,24.650000,96.410000,12.710000,260.890000,7.21,22,64,41.33,144.62,30.37,0,73,7,37,7.33,15.31,15.31,206.67,30.36,0,7.34,119.311382,39,30.37,151,73.33

51,12:30-12:45,1.690000,86.960000,1.480000,0.000000,0.000000,100.980000,48.200000,271.150000,12.970000,2.130000,203.700000,25.070000,24.650000,12.640000,48.200000,117.620000,24.650000,96.410000,12.640000,260.890000,7.21,22,70,41.5,144.62,30.37,0,73,7,37,7.33,14.81,14.81,207.5,30.36,0,7.34,117.181169,41,30.37,165,79.28

52,12:45-13:00,1.690000,86.960000,1.480000,0.000000,0.000000,100.980000,48.200000,271.150000,12.710000,2.130000,203.700000,25.070000,26.030000,12.400000,48.200000,96.410000,26.030000,96.410000,12.400000,260.890000,7.21,22,70,41.33,144.62,30.37,0,71,7,35,7.33,14.99,14.99,206.67,30.36,0,7.34,114.301977,41,30.37,165,78.9

53,13:00-13:15,1.760000,86.960000,1.550000,0.000000,0.000000,100.980000,48.200000,271.150000,12.470000,2.130000,203.700000,25.070000,26.030000,12.170000,48.200000,67.490000,26.030000,96.410000,12.170000,260.890000,7.21,22,66,46.09,144.62,30.37,0,71,7,35,7.33,15.27,15.27,230.46,30.36,0,7.34,111.08234,40,30.37,154,77.83

54,13:15-13:30,1.760000,86.960000,1.550000,0.000000,0.000000,100.980000,48.200000,271.150000,12.200000,2.130000,203.700000,25.070000,26.030000,11.910000,48.200000,67.490000,26.030000,96.410000,11.910000,260.890000,7.21,23,64,45.17,144.62,30.37,0,71,7,35,7.67,15.95,15.95,225.86,30.36,0,7.66,107.921065,39.5,30.37,151,76.42

55,13:30-13:45,1.760000,86.960000,1.550000,0.000000,0.000000,100.980000,48.200000,271.150000,11.760000,2.130000,203.700000,24.100000,26.030000,11.470000,48.200000,86.770000,26.030000,96.410000,11.470000,260.890000,7.21,24,60,44.11,144.62,30.37,0,68,7,34,8,15.93,15.93,220.57,30.36,0,8,106.345291,38.5,30.37,140,74.32

56,13:45-14:00,1.760000,86.960000,1.550000,0.000000,0.000000,100.980000,48.200000,271.150000,11.250000,2.130000,203.700000,24.100000,26.030000,10.980000,48.200000,117.620000,26.030000,96.410000,10.980000,260.890000,7.21,26,57,42.71,144.62,30.37,0,64,7,32,8.67,17.39,17.39,213.57,30.36,0,8.66,101.384521,36.5,30.37,133,72.58

57,14:00-14:15,1.760000,86.960000,1.630000,0.000000,0.000000,100.980000,48.200000,271.150000,10.880000,2.180000,203.700000,23.140000,26.030000,10.610000,48.200000,117.620000,26.030000,96.410000,10.610000,260.890000,7.21,22,54,41.52,144.62,30.37,0,59,7,29,7.33,14.98,14.98,207.59,30.36,0,7.34,95.879039,34,30.37,126,69.27

58,14:15-14:30,1.760000,86.960000,1.630000,0.000000,0.000000,100.980000,48.200000,271.150000,10.050000,2.180000,203.700000,23.140000,26.030000,9.800000,48.200000,117.620000,26.030000,96.410000,9.800000,260.890000,7.21,22,51,39.52,144.62,30.37,0,54,7,27,7.33,15.38,15.38,197.59,30.36,0,7.34,89.264679,33,30.37,119,65.78

59,14:30-14:45,1.760000,86.960000,1.630000,0.000000,0.000000,100.980000,48.200000,271.150000,9.480000,2.180000,203.700000,23.140000,26.030000,9.240000,48.200000,117.620000,26.030000,96.410000,9.240000,260.890000,7.21,22,45,38.36,144.62,30.37,0,50,7,25,7.33,16.54,16.54,191.8,30.36,0,7.34,82.183423,30,30.37,105,62.53

60,14:45-15:00,1.760000,86.960000,1.630000,0.000000,0.000000,100.980000,48.200000,271.150000,8.510000,2.180000,203.700000,23.140000,26.030000,8.300000,48.200000,117.620000,26.030000,96.410000,8.300000,260.890000,7.21,22,40,36.15,144.62,30.7,0,45,7,22,7.33,16.36,16.36,180.73,30.7,0,7.34,74.324007,26.44,30.7,95,58.11

61,15:00-15:15,1.840000,86.960000,1.710000,0.000000,0.000000,100.980000,48.200000,271.150000,7.750000,2.180000,203.700000,24.100000,26.030000,7.560000,48.200000,117.620000,26.030000,96.410000,7.560000,260.890000,7.21,22,37,34.22,144.62,30.7,0,40,7,20,7.33,15.87,15.87,171.1,30.7,0,7.34,67.777736,22.42,30.7,88,53.35

62,15:15-15:30,1.840000,86.960000,1.710000,0.000000,0.000000,100.980000,48.200000,271.150000,6.830000,2.180000,203.700000,24.100000,26.030000,6.660000,48.200000,117.620000,26.030000,96.410000,6.660000,260.890000,7.21,22,33,31.16,144.62,30.7,0,34,7,17,7.33,15.19,15.19,155.8,30.7,0,7.34,58.585721,23.31,30.7,77,47.83

63,15:30-15:45,1.840000,86.960000,1.710000,0.000000,0.000000,100.980000,48.200000,271.150000,5.790000,2.180000,203.700000,24.100000,30.850000,5.650000,48.200000,117.620000,25.490000,96.410000,5.650000,260.890000,7.21,22,28,27.59,144.62,30.87,0,27,7.18,13,7.33,16.18,16.18,137.98,30.86,0,7.34,48.897629,21,30.87,67,41.77

64,15:45-16:00,1.840000,86.960000,1.710000,0.000000,0.000000,100.980000,48.200000,271.150000,4.830000,2.180000,203.700000,24.100000,30.850000,4.710000,48.200000,117.620000,23.430000,96.410000,4.710000,260.890000,7.21,22,24,24.19,144.62,30.87,0,23,7.25,12,7.33,16.23,16.23,120.97,30.86,0,7.34,38.762095,14.05,30.87,56,36.35

65,16:00-16:15,1.920000,86.960000,1.780000,0.000000,0.000000,100.980000,48.200000,271.150000,3.710000,2.230000,203.700000,25.070000,30.850000,3.620000,48.200000,117.620000,23.430000,96.410000,3.620000,260.890000,7.21,22,19,20.67,144.62,32.67,0,17,7.36,8,7.33,17.17,17.17,103.33,33,0,7.34,28.568199,13,25,46,29.96

66,16:15-16:30,1.920000,86.960000,1.780000,0.000000,0.000000,100.980000,48.200000,271.150000,2.780000,2.230000,203.700000,25.070000,30.850000,2.710000,48.200000,117.620000,23.430000,96.410000,2.710000,260.890000,7.21,22,15,16.85,144.62,29.67,0,12,7.36,6,7.33,17.4,17.4,84.23,23.15,0,7.34,19.570724,11,13,35,23.54

67,16:30-16:45,0.000000,86.960000,1.780000,0.000000,0.000000,100.980000,48.200000,271.150000,1.860000,2.230000,203.700000,25.070000,30.850000,1.810000,48.200000,117.620000,23.430000,96.410000,1.810000,260.890000,9.06,22,12,12.89,144.62,20.87,0,8,7.47,4,7.33,20.24,20.24,64.42,13.28,0,7.34,11.633492,8,3,28,16.21

68,16:45-17:00,0.000000,86.960000,1.780000,0.000000,0.000000,100.980000,48.200000,271.150000,1.130000,2.230000,203.700000,25.070000,30.850000,1.100000,48.200000,117.620000,15.800000,96.410000,1.100000,260.890000,8.74,24.35,10,7.84,144.62,10.97,0,6,7.49,3,8.12,24.64,24.64,39.19,5.97,0,8.12,6.507363,7,1,25,8.95

